EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PtsAssisted2s,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,Fouls,FTA,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Usage,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,AtRimFGA,LongMidRangeFGA,PenaltyFG2A,Fg2aBlocked,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,PenaltyOffPossExcludingTakeFouls,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,AtRimFrequency,LongMidRangeFrequency,AtRimFG3AFrequency,PenaltyShotQualityAvg,PenaltyOffPossPct,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,OffTwoPtRebounds,OffRebounds,Rebounds,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,SecondChanceShotQualityAvg,SecondChancePointsPct,Arc3FGA,FG3A,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Arc3Frequency,Avg3ptShotDistance,AtRimFGM,LongMidRangeFGM,PtsUnassisted2s,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,DefAtRimReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Steals,LostBallSteals,ShortMidRangePctBlocked,DefCorner3ReboundPct,ShootingFouls,on,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGM,Fg3aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,SelfOReb,BadPassSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Travels,Clear Path Fouls,Loose Ball Fouls,Technical Free Throw Trips,NonShootingFoulsDrawn,BlockedAtRim,BlockedShortMidRange,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyPointsPct,PtsPutbacks,2pt And 1 Free Throw Trips,SecondChanceFtPoints,3SecondViolations,OffCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,HeaveMakes,ThreePtShootingFoulsDrawn,DefensiveGoaltends,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedCorner3,OffensiveGoaltends,BlockedArc3,Corner3PctBlocked,3pt And 1 Free Throw Trips
1544,1610612737,Chris Crawford,Chris Crawford,1544,ATL,256.0,4.0,-4.0,8,8,1.0,16,1.0,1.0,1.0,1.0,2.0,4.0,11.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,33.333333333333336,1.0,1.0,1.0,1.0,0.3766,0.5,0.5,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,1610612737,Jason Terry,Jason Terry,1891,ATL,444.0,7.0,-10.0,14,13,3.0,27,,,,3.0,,,16.0,,2.0,1.0,3.0,2.0,,,,,,,,35.29411764705882,,,,,0.4288333333333333,,,11.766666666666666,3.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3335,0.2142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2069,1610612737,Hanno Mottola,Hanno Mottola,2069,ATL,422.0,7.0,-8.0,13,12,3.0,25,1.0,1.0,1.0,1.0,,2.0,17.0,2.0,,,,,,,1.0,1.0,1.0,1.0,1.0,6.25,1.0,1.0,1.0,1.0,0.3493,,,7.6,1.0,4.0,,,,,,,,,,1.0,,,,,,,,0.0769230769230769,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1666666666666666,0.1666666666666666,1.0,0.3493,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2173,1610612737,Sean Colson,Sean Colson,2173,ATL,911.0,15.0,-17.0,28,26,3.0,54,,,,4.0,,,33.0,,1.0,,2.0,,,,,,,,,22.580645161290324,,,,,0.39047,,,17.25,7.0,12.0,,4.0,2.0,,1.0,1.0,,,,7.0,,,0.5,,0.8,0.2,0.34115,0.25,,,,,,3.0,,,,,,,,,1.0,1.0,1.0,3.0,3.0,1.0,2.0,6.0,2.0,1.0,3.0,0.2,0.0769230769230769,0.5,0.1764705882352941,0.3333333333333333,1.0,0.2,25.7,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,1610612737,Alan Henderson,Alan Henderson,673,ATL,911.0,15.0,-17.0,28,26,3.0,54,1.0,1.0,3.0,3.0,1.0,7.0,33.0,4.0,,,,,2.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.875,12.903225806451614,0.3333333333333333,1.0,1.0,1.0,0.5425333333333334,0.25,0.25,7.966666666666668,7.0,12.0,1.0,1.0,,,,,,,,7.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.25,,,,,,3.0,,,,,,,,,,,,,,,,,,3.0,3.0,,0.2307692307692307,,0.1764705882352941,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,1610612737,Dion Glover,Dion Glover,1901,ATL,304.0,5.0,-2.0,10,8,,18,,,,2.0,,,9.0,,,,1.0,,,,,,,,,30.0,,,,,0.4064,,,16.3,3.0,2.0,,2.0,1.0,,1.0,1.0,,,,3.0,,,1.0,,1.0,,0.3789,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728,1610612737,Roshown McLeod,Roshown McLeod,1728,ATL,503.0,8.0,-10.0,15,14,2.0,29,,1.0,,1.0,,,18.0,,,,,,,,,,,,,5.88235294117647,1.0,,,,0.3393,,,10.9,4.0,11.0,,,,1.0,,,,,,4.0,1.0,,,,,,,0.2666666666666666,,,,,,1.0,,,,,,,,,,,,2.0,2.0,1.0,1.0,4.0,1.0,,1.0,,,0.5,0.125,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1610612737,Dikembe Mutombo,Dikembe Mutombo,87,ATL,362.0,6.0,-6.0,11,10,,21,,,1.0,1.0,,2.0,12.0,2.0,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,18.181818181818183,,,,,0.5281,,,,4.0,7.0,1.0,,,,1.0,1.0,,1.0,,4.0,,,1.0,1.0,,1.0,,0.3636363636363636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,1610612737,DerMarr Johnson,DerMarr Johnson,2035,ATL,315.0,5.0,-8.0,9,9,,18,,,,1.0,,,12.0,,,,,,,,,,,,,11.11111111111111,,,,,0.2526,,,17.5,4.0,6.0,,1.0,1.0,,,,,,,4.0,,,,,1.0,,0.2526,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,1610612737,Lorenzen Wright,Lorenzen Wright,953,ATL,127.0,2.0,-3.0,4,4,,8,,,,1.0,1.0,1.0,4.0,,,,,1.0,2.0,1.0,,,,,0.25,50.0,,,,,0.3568,0.5,0.5,16.3,2.0,1.0,,1.0,,,,,,,,2.0,,,,,1.0,,,0.5,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,0.25,,0.2,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
