EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,PenaltyCorner3FGA,FG3A,FtPoints,SecondChanceFG2A,PenaltyFG3A,PenaltyFtPoints,PtsAssisted2s,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,FG3APct,LiveBallTurnoverPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,AtRimFG3AFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,PenaltyTurnovers,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyArc3Frequency,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,BlockedShortMidRange,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,SecondChancePointsPct,NonShootingFoulsDrawn,OffLongMidRangeReboundPct,HeaveAttempts,FTDefRebounds,2pt And 1 Free Throw Trips,DefFTReboundPct,DefCorner3ReboundPct,LostBallSteals,on,Corner3FGM,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,Offensive Fouls,Technical Free Throw Trips,BlockedLongMidRange,OffensiveGoaltends,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,AtRimPctBlocked,LongMidRangePctBlocked,DefAtRimReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,OffThreePtRebounds,SelfOReb,Travels,Clear Path Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedCorner3,Defensive 3 Seconds Violations,SecondChanceFg3Pct,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,DefensiveGoaltends,3SecondViolations,HeaveMakes
1761,1610612742,Greg Buckner,Greg Buckner,1761,DAL,128.0,2,2.0,5,5,3,5,10,1.0,1.0,1.0,1.0,2.0,2,1.0,1.0,2.0,2.0,2.0,3,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,0.3298,0.3298,1.0,4.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,1610612742,Bill Curley,Bill Curley,223,DAL,881.0,15,-10.0,32,31,23,27,63,,1.0,1.0,3.0,3.0,37,1.0,3.0,3.0,,3.0,23,0.3333333333333333,0.3333333333333333,0.25,0.25,0.25,0.3,22.857142857142858,0.25,,,0.522075,0.522075,1.0,1.6666666666666667,0.71875,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,0.25,0.5,0.5,0.5,0.5,1.0,0.25,1.0,0.5,0.5,0.25,0.75,0.5797,0.3333333333333333,0.4,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,1610612742,Howard Eisley,Howard Eisley,458,DAL,722.0,12,-11.0,28,27,19,23,55,,2.0,1.0,3.0,2.0,34,,,,,,19,0.3333333333333333,,0.25,,0.25,,24.13793103448276,0.5,,,0.4304375,0.59835,,11.733333333333334,0.6785714285714286,1.0,,,,,,,,1.0,,,1.0,,2.0,,,3.0,,3.0,,3.0,1.0,1.0,,,,,,,,1.0,1.0,0.25,1.0,,,,,,,,,,0.25,,,,24.9,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0,8.0,3.0,0.3333333333333333,0.5,0.25,1.0,1.0,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,1610612742,Loy Vaught,Loy Vaught,919,DAL,453.0,8,5.0,16,15,10,15,31,1.0,1.0,3.0,6.0,6.0,13,2.0,5.0,4.0,4.0,4.0,10,0.5,0.4,0.5,0.4,0.5,0.4,33.333333333333336,0.1666666666666666,1.0,1.0,0.4222999999999999,0.4394,0.6666666666666666,13.016666666666666,0.625,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,2.0,,,,,,,,,,,,,1.0,,1.0,,0.3333333333333333,0.5,,,0.1666666666666666,1.0,1.0,,,,0.2,1.0,,0.1666666666666666,0.5246,,,,1.0,4.0,,,,,,,,,,,,,0.6666666666666666,0.25,0.25,1.0,,,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,1.0,0.4285714285714285,0.1666666666666666,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1610612742,Hubert Davis,Hubert Davis,93,DAL,715.0,12,-12.0,25,25,20,21,50,,,,,2.0,29,,,2.0,,2.0,20,,,,,1.0,1.0,7.142857142857142,,,,,,1.0,,0.8,2.0,,,,,,,,,2.0,,,2.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,1.0,2.0,,,,,,0.125,0.125,,0.0909090909090909,0.1,,,0.25,,,,1.0,0.3333333333333333,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,1610612742,Courtney Alexander,Courtney Alexander,2042,DAL,753.0,13,-12.0,27,26,20,22,53,,,2.0,3.0,4.0,35,1.0,2.0,2.0,4.0,2.0,20,0.6666666666666666,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,13.333333333333334,,,,0.5327666666666667,0.5305,0.5,6.5,0.7407407407407407,2.0,2.0,2.0,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,0.25,,0.5,1.0,1.0,,,,0.3333333333333333,1.0,,0.75,,0.25,0.3333333333333333,43.4,,1.0,1.0,1.0,,,1.0,1.0,,1.0,2.0,,,,0.25,,,,0.25,0.3333333333333333,,,,,1.0,2.0,4.0,,4.0,,,,,,0.2222222222222222,,0.5,0.2727272727272727,,,0.3333333333333333,0.3333333333333333,,,,,,1.0,1.0,1.0,0.5,0.5,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2059,1610612742,Eduardo Najera,Eduardo Najera,2059,DAL,437.0,7,-7.0,15,15,11,11,30,,,1.0,1.0,4.0,22,,,,,,11,1.0,,1.0,,1.0,,11.76470588235294,,,,0.5083,,,,0.7333333333333333,1.0,1.0,1.0,,,,,,,2.0,,,,2.0,,,,,,,,,,,2.0,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,1610612742,Christian Laettner,Christian Laettner,363,DAL,316.0,5,-5.0,12,11,9,11,23,,1.0,2.0,3.0,4.0,13,2.0,3.0,4.0,,4.0,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,23.07692307692308,0.3333333333333333,,,0.3843333333333333,0.3843333333333333,1.0,16.866666666666667,0.75,1.0,,,,,,,,,,1.0,,,4.0,1.0,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,0.3567,,,,2.0,2.0,,,,,,,,,,,,,0.6666666666666666,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1610612742,Vernon Maxwell,Vernon Maxwell,137,DAL,17179.0,286,7.0,569,569,186,194,1138,3.0,5.0,18.0,51.0,81.0,607,3.0,12.0,17.0,22.0,17.0,186,0.3529411764705882,0.25,0.3826530612244898,0.3125,0.392156862745098,0.3269230769230769,18.4375,0.0510204081632653,0.6,0.6,0.5025846938775511,0.48194375,0.2098765432098765,11.252941176470587,0.3268892794376098,60.0,10.0,18.0,1.0,2.0,2.0,15.0,5.0,47.0,6.0,3.0,12.0,2.0,14.0,9.0,8.0,9.0,2.0,7.0,8.0,17.0,9.0,31.0,,10.0,4.0,3.0,,3.0,3.0,0.3888888888888889,0.3888888888888889,0.4795918367346938,0.5294117647058824,0.1836734693877551,0.5555555555555556,0.7142857142857143,0.5,0.1530612244897959,0.2,0.0833333333333333,1.0,0.2083333333333333,0.6632653061224489,0.4680833333333333,0.0396039603960396,0.074074074074074,24.36808510638297,5.0,28.0,32.0,7.0,32.0,5.0,15.0,20.0,9.0,5.0,45.0,3.0,0.0980392156862745,,0.2857142857142857,0.1785714285714285,0.1851851851851851,0.4,0.3265306122448979,0.2916666666666667,1.0,3.0,,1.0,10.0,18.0,28.0,1.0,29.0,1.0,,0.3333333333333333,0.2,0.25,0.0853080568720379,0.005524861878453,0.1886792452830188,0.106060606060606,0.004,,0.0579710144927536,0.1333333333333333,0.1666666666666666,,0.037037037037037,1.0,0.0161290322580645,,,1.0,,0.2727272727272727,1.0,False,3.0,10.0,2.0,3.0,13.0,2.0,1.0,3.0,36.0,3.0,10.0,5.0,3.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,0.9230769230769232,0.2765957446808511,0.25,0.2765957446808511,0.2222222222222222,0.0357142857142857,0.0597014925373134,0.2,0.2,1.0,0.3125,0.3125,0.9,0.4,0.4285714285714285,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,187377.0,3123,533.0,6100,6069,1526,1785,12169,91.0,221.0,440.0,857.0,1784.0,6121,100.0,193.0,456.0,350.0,456.0,1526,0.5134189031505251,0.5181347150259067,0.5344827586206896,0.5189003436426117,0.6015678254942058,0.6154891304347826,23.606461941493237,0.1772253408179631,0.4117647058823529,0.4504950495049505,0.493397018533441,0.4773827526132405,0.2556053811659193,9.934889148191369,0.2501639344262295,648.0,186.0,270.0,52.0,41.0,60.0,118.0,26.0,390.0,451.0,109.0,98.0,154.0,530.0,79.0,68.0,81.0,19.0,57.0,75.0,156.0,146.0,245.0,18.0,538.0,208.0,98.0,66.0,101.0,32.0,0.6022727272727273,0.6400966183574879,0.3127506014434643,0.5192307692307693,0.2165196471531676,0.6888888888888889,0.75,0.5752688172043011,0.0946271050521251,0.3561643835616438,0.2061855670103092,0.6833333333333333,0.0893470790378006,0.529270248596632,0.5031226495726497,0.1638655462184874,0.2047244094488189,25.045384615384613,163.0,366.0,272.0,72.0,266.0,49.0,132.0,173.0,74.0,32.0,387.0,43.0,0.0571761960326721,0.085972850678733,0.293504410585405,0.4453551912568306,0.4553072625698324,0.6993865030674846,0.2181234963913392,0.2474226804123711,58.0,200.0,52.0,85.0,97.0,451.0,635.0,119.0,754.0,26.0,58.0,0.5321100917431193,0.5102739726027398,0.5751445086705202,0.190456081081081,0.0395532805956258,0.1678200692041522,0.1860149355057705,0.0422735346358792,0.0507518796992481,0.2254777070063694,0.1837455830388692,0.1670480549199084,0.5742574257425742,0.1121076233183856,39.0,0.0349819059107358,6.0,87.0,49.0,0.4027777777777778,0.1702127659574468,11.0,False,49.0,102.0,30.0,24.0,151.0,37.0,51.0,34.0,429.0,24.0,102.0,41.0,31.0,10.0,26.0,11.0,24.0,10.0,22.0,24.0,6.0,1.0,0.9470198675496688,0.3871794871794872,0.3469387755102041,0.3932291666666667,0.0814814814814814,0.0218579234972677,0.1607629427792915,0.4152542372881356,0.4188034188034188,0.979591836734694,0.375,0.3763837638376384,0.931372549019608,0.2054794520547945,0.3333333333333333,0.3834586466165413,33.0,2.0,7.0,10.0,9.0,11.0,2.0,34.0,11.0,13.0,1.0,4.0,26.0,3.0,2.0,1.0,1.0,0.2972972972972973,0.0051282051282051,0.0084745762711864,0.0036764705882352,0.051051051051051,0.0368020304568527,0.0486815415821501,0.0578034682080924,0.0183946488294314,0.4835164835164835,0.6346153846153846,0.0909090909090909,0.047945205479452,0.2857142857142857,1.0,0.3,0.8888888888888888,0.3846153846153846,0.0631067961165048,,,,,
