EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PtsPutbacks,FTOffRebounds,FTDefRebounds,DefensiveGoaltends,3SecondViolations,DefFTReboundPct,OffFTReboundPct,SecondChanceArc3FGM,Blocked3s,BlockedArc3,OffensiveGoaltends,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,Clear Path Fouls,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,HeaveAttempts,BlockedCorner3,on,Defensive 3 Seconds Violations
15,1610612746,Eric Piatkowski,Eric Piatkowski,15,LAC,33915.0,565,8,1075,1082,461,410.0,134.0,2157,19.0,30.0,1.0,3.0,10.0,17.0,10.0,24.0,17.0,45.0,13.0,22.0,3.0,4.0,7.0,12.0,19.0,56.0,5.0,7.0,23.0,46.0,99.0,32.0,78.0,34,222,1138,6.0,13.0,3.0,9.0,6.0,27.0,23.0,47.0,14.0,35.0,14,102,72.0,20.0,87.0,9.0,56.0,19.0,10.0,15.0,4.0,19.0,2.0,2.0,9.0,3.0,3.0,42.0,5.0,10.0,13.0,40.0,53.0,15.0,68.0,2.0,14.0,11.0,3.0,9.0,3.0,8.0,9.0,2.0,1.0,1.0,18.0,1.0,7.0,13.0,36.0,2.0,1.0,42,3.0,6.0,12,1.0,6.0,5.0,2.0,1.0,2.0,5.0,4.0,102,461,9.0,0.782608695652174,0.782608695652174,0.90625,0.41025641025641024,0.3333333333333333,0.4,0.41025641025641024,0.46464646464646464,0.46153846153846156,0.48936170212765956,0.5310734463276836,0.4772727272727273,0.5365853658536586,0.5595854922279793,0.5,0.5555555555555556,0.4406779661016949,0.10101010101010101,0.13333333333333333,0.16666666666666666,0.044444444444444446,17.140536149471973,0.5,0.09456264775413711,0.02849002849002849,0.13541666666666666,0.050505050505050504,0.10211946050096339,0.03333333333333333,0.022222222222222223,0.024193548387096774,0.0364963503649635,0.05128205128205128,0.047619047619047616,0.05154639175257732,0.08609271523178808,0.12571428571428572,0.136986301369863,0.13043478260869565,0.023255813953488372,0.8,0.1694915254237288,0.6333333333333333,0.7307692307692307,0.8947368421052632,0.13559322033898305,0.4166666666666667,0.5,0.7,0.2542372881355932,0.37777777777777777,0.3953488372093023,0.7058823529411765,0.12429378531073447,0.5909090909090909,0.5909090909090909,0.9230769230769231,0.3163841807909605,0.3392857142857143,0.3392857142857143,0.8947368421052632,0.13636363636363635,0.3333333333333333,1.0,0.18181818181818182,0.75,0.6666666666666666,0.22727272727272727,0.2073170731707317,0.5882352941176471,0.14634146341463414,0.5833333333333334,0.2804878048780488,0.30434782608695654,0.6101694915254238,0.3392857142857143,0.47826412429378523,0.46265,0.479276219512195,0.06951871657754011,0.1111111111111111,0.012658227848101266,0.12162162162162163,0.4594594594594595,10.662626262626262,25.602564102564102,0.4288372093023256,,,,,,,,,,,,,,,,,,,,,True,
1709,1610612746,Michael Olowokandi,Michael Olowokandi,1709,LAC,21454.0,358,-49,653,653,246,203.0,97.0,1306,17.0,30.0,7.0,13.0,8.0,14.0,22.0,66.0,2.0,6.0,,,,,,,,,,,,41.0,102.0,,,18,100,677,10.0,18.0,,,3.0,23.0,14.0,35.0,,,13,41,36.0,46.0,,,,,9.0,5.0,3.0,8.0,3.0,,3.0,2.0,,19.0,5.0,28.0,9.0,42.0,59.0,37.0,96.0,3.0,4.0,3.0,1.0,10.0,3.0,4.0,24.0,3.0,6.0,8.0,34.0,4.0,11.0,21.0,41.0,6.0,5.0,28,,,9,,5.0,16.0,1.0,1.0,14.0,16.0,8.0,41,246,3.0,0.43902439024390244,0.5,,,,,,0.4019607843137255,0.5555555555555556,0.4,0.4019607843137255,0.5555555555555556,0.4,0.43103448275862066,0.5476190476190477,0.4659090909090909,,0.08823529411764706,0.1,0.09090909090909091,,19.55671447196871,0.29411764705882354,0.14685314685314685,0.11618257261410789,0.16666666666666666,0.0847457627118644,0.15,0.11,0.2608695652173913,0.038834951456310676,0.08695652173913043,0.1,,0.07936507936507936,0.16101694915254236,0.17142857142857143,0.17073170731707318,0.15384615384615385,0.058823529411764705,0.5,0.29411764705882354,0.5666666666666667,0.6296296296296297,0.5294117647058824,0.6470588235294118,0.3333333333333333,0.36666666666666664,0.36363636363636365,0.058823529411764705,0.3333333333333333,0.3333333333333333,0.5,,,,,,,,,0.7222222222222222,0.5384615384615384,0.14285714285714285,,,,,0.4,0.5714285714285714,,,,,0.29411764705882354,,0.41692156862745094,0.5198588235294118,0.4172657142857143,0.08108108108108109,0.08108108108108109,,0.23,0.41,6.830392156862746,,0.3767228177641654,10.0,4.0,8.0,1.0,4.0,0.34782608695652173,0.1111111111111111,,,,,,,,,,,,,,True,
1730,1610612746,Brian Skinner,Brian Skinner,1730,LAC,9634.0,161,-20,310,315,112,106.0,40.0,625,7.0,13.0,2.0,4.0,5.0,8.0,6.0,21.0,,6.0,,,,,,,,,,,,13.0,40.0,,,12,38,304,3.0,8.0,,,4.0,10.0,6.0,16.0,,,7,19,14.0,12.0,,,,,5.0,4.0,1.0,5.0,1.0,,1.0,,3.0,11.0,4.0,14.0,10.0,24.0,38.0,20.0,58.0,,3.0,3.0,,4.0,,1.0,7.0,2.0,3.0,,11.0,1.0,4.0,5.0,13.0,2.0,3.0,29,1.0,,10,,5.0,4.0,3.0,,1.0,4.0,1.0,19,112,2.0,0.5384615384615384,0.5833333333333334,,,,,,0.325,0.375,0.375,0.325,0.375,0.375,0.35185185185185186,0.38461538461538464,0.36538461538461536,,0.125,0.07692307692307693,0.19047619047619047,,17.90633608815427,0.36363636363636365,0.19672131147540983,0.11965811965811966,0.3448275862068966,0.125,0.2251655629139073,0.12080536912751678,0.0625,0.0425531914893617,0.2631578947368421,0.14814814814814814,,0.13793103448275862,0.18421052631578946,0.23636363636363636,0.4090909090909091,0.14285714285714285,,0.25,0.325,0.5384615384615384,0.5833333333333334,0.5714285714285714,0.525,0.2857142857142857,0.35294117647058826,0.5,0.15,,,,,,,,,,,,0.5,0.5,,,,,,0.5,0.625,,,,,0.325,,0.4483575000000001,0.46301428571428566,0.4895062499999999,0.20408163265306123,0.20408163265306123,,0.2631578947368421,0.5,6.529999999999999,,0.36129032258064514,2.0,2.0,4.0,,2.0,0.36363636363636365,0.08333333333333333,,,,,,,,,,,,,,True,
1885,1610612746,Lamar Odom,Lamar Odom,1885,LAC,35022.0,584,-14,1100,1095,413,373.0,132.0,2195,38.0,56.0,3.0,10.0,12.0,21.0,21.0,52.0,18.0,44.0,,2.0,,,,1.0,16.0,46.0,2.0,9.0,21.0,77.0,152.0,16.0,48.0,87,289,1157,3.0,14.0,1.0,2.0,9.0,18.0,26.0,55.0,9.0,22.0,41,120,60.0,94.0,36.0,12.0,46.0,16.0,7.0,52.0,19.0,71.0,11.0,8.0,32.0,8.0,12.0,161.0,5.0,14.0,15.0,75.0,101.0,21.0,122.0,4.0,20.0,13.0,7.0,30.0,6.0,20.0,15.0,,10.0,1.0,45.0,4.0,16.0,22.0,49.0,1.0,5.0,122,9.0,1.0,51,,14.0,30.0,15.0,3.0,12.0,31.0,19.0,120,413,7.0,0.38961038961038963,0.40540540540540543,0.75,0.3333333333333333,0.5,0.4090909090909091,0.3333333333333333,0.506578947368421,0.21428571428571427,0.4727272727272727,0.505,0.28125,0.512987012987013,0.5625,0.4090909090909091,0.5721153846153846,0.24,0.046052631578947366,0.10714285714285714,0.019230769230769232,,23.71946414499606,0.6666666666666666,0.17084282460136674,0.038356164383561646,0.13761467889908258,0.04854368932038835,0.16423357664233576,0.0405982905982906,0.045871559633027525,0.046153846153846156,0.023809523809523808,0.03488372093023256,0.11764705882352941,0.20175438596491227,0.1935483870967742,0.12941176470588237,0.1518987341772152,0.1,0.04081632653061224,0.6129032258064516,0.28,0.6785714285714286,0.76,0.3684210526315789,0.26,0.40384615384615385,0.4117647058823529,0.23809523809523808,0.22,0.4090909090909091,0.4090909090909091,0.6111111111111112,0.01,,,,0.23,0.34782608695652173,0.34782608695652173,0.75,0.625,0.3,,,,,0.125,0.2727272727272727,0.5714285714285714,0.012987012987012988,,0.2727272727272727,0.42857142857142855,0.52,0.34782608695652173,0.4557070351758793,0.511882142857143,0.4396059210526316,0.21074380165289255,0.26288659793814434,,0.06228373702422145,0.41522491349480967,8.31513157894737,26.35625,0.37545454545454543,6.0,2.0,11.0,,,0.2894736842105263,0.030303030303030304,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,True,
2039,1610612746,Keyon Dooling,Keyon Dooling,2039,LAC,74396.0,1240,-15,2342,2359,904,816.0,292.0,4701,62.0,112.0,,1.0,27.0,46.0,17.0,60.0,41.0,110.0,5.0,17.0,,1.0,1.0,7.0,23.0,63.0,2.0,12.0,29.0,120.0,282.0,28.0,80.0,125,449,2388,8.0,12.0,2.0,3.0,9.0,31.0,49.0,112.0,13.0,36.0,68,205,48.0,192.0,54.0,30.0,63.0,23.0,20.0,142.0,35.0,177.0,28.0,7.0,75.0,14.0,53.0,389.0,,6.0,11.0,68.0,81.0,8.0,89.0,1.0,41.0,17.0,24.0,55.0,14.0,32.0,39.0,5.0,23.0,2.0,94.0,5.0,36.0,45.0,107.0,3.0,7.0,179,9.0,,65,,29.0,10.0,1.0,5.0,4.0,11.0,8.0,205,904,15.0,0.2,0.2,0.6428571428571429,0.35,0.6666666666666666,0.3611111111111111,0.35,0.425531914893617,0.6666666666666666,0.4375,0.44751381215469616,0.7333333333333333,0.46283783783783783,0.5022371364653244,0.7380952380952381,0.5283505154639175,0.22099447513812154,0.07092198581560284,0.13392857142857142,0.08333333333333333,,19.94069681245367,0.5851063829787234,0.07003089598352215,0.007263922518159807,0.054187192118226604,,0.06729131175468483,0.005813953488372093,0.013452914798206279,0.0034129692832764505,0.0064516129032258064,,,0.06086956521739131,0.055232558139534885,0.08816120906801007,0.032467532467532464,0.12244897959183673,0.005555555555555556,0.7272727272727273,0.30939226519337015,0.5535714285714286,0.6391752577319587,0.24193548387096775,0.16574585635359115,0.2833333333333333,0.3090909090909091,0.058823529411764705,0.30386740331491713,0.37272727272727274,0.37272727272727274,0.1951219512195122,0.04696132596685083,0.29411764705882354,0.3125,1.0,0.17403314917127072,0.36507936507936506,0.3709677419354839,0.5652173913043478,0.06666666666666667,,,0.06666666666666667,,,0.13333333333333333,0.3108108108108108,0.5869565217391305,0.0472972972972973,0.14285714285714285,0.19594594594594594,0.41379310344827586,0.5303867403314917,0.36507936507936506,0.4702310773480663,0.40605833333333335,0.4634881756756757,0.15550239234449761,0.19230769230769232,,0.06904231625835189,0.45657015590200445,9.252127659574468,25.239999999999995,0.3859948761742101,,2.0,2.0,,,0.022222222222222223,0.015151515151515152,2.0,1.0,1.0,,1.0,0.5,2.0,1.0,0.025,0.058823529411764705,0.015873015873015872,,,True,
1894,1610612746,Corey Maggette,Corey Maggette,1894,LAC,40140.0,669,-4,1280,1304,479,468.0,154.0,2584,68.0,101.0,14.0,24.0,19.0,27.0,18.0,52.0,23.0,60.0,4.0,11.0,1.0,1.0,2.0,7.0,4.0,17.0,2.0,2.0,7.0,109.0,213.0,8.0,28.0,113,355,1282,17.0,34.0,1.0,3.0,13.0,50.0,30.0,57.0,4.0,14.0,39,111,108.0,110.0,24.0,,17.0,4.0,24.0,32.0,11.0,43.0,7.0,4.0,20.0,7.0,5.0,97.0,3.0,27.0,16.0,72.0,102.0,32.0,134.0,4.0,20.0,12.0,8.0,34.0,2.0,20.0,22.0,5.0,14.0,,56.0,7.0,23.0,23.0,70.0,5.0,10.0,142,17.0,7.0,59,,17.0,6.0,3.0,,3.0,6.0,5.0,111,479,11.0,0.4954128440366973,0.5684210526315789,1.0,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.5117370892018779,0.5,0.5263157894736842,0.5020746887966805,0.5,0.5070422535211268,0.58,0.5952380952380952,0.5797872340425532,0.11618257261410789,0.11267605633802817,0.09900990099009901,0.23076923076923078,0.03333333333333333,24.300341296928327,0.6071428571428571,0.133086876155268,0.05806451612903226,0.1568627450980392,0.0297029702970297,0.1368584758942457,0.053003533568904596,0.05084745762711865,0.06832298136645963,0.053763440860215055,0.03571428571428571,,0.07317073170731707,0.10526315789473684,0.18859649122807018,0.1625,0.13636363636363635,0.04040404040404041,0.8333333333333334,0.4190871369294606,0.6732673267326733,0.7472527472527473,0.5588235294117647,0.2157676348547718,0.34615384615384615,0.45,0.3333333333333333,0.24896265560165975,0.38333333333333336,0.39655172413793105,0.43478260869565216,0.04564315352697095,0.36363636363636365,0.36363636363636365,1.0,0.07053941908713693,0.23529411764705882,0.23529411764705882,1.0,0.6486486486486487,0.5833333333333334,0.07142857142857142,0.02702702702702703,1.0,1.0,0.05405405405405406,0.38028169014084506,0.7037037037037037,0.09859154929577464,0.2857142857142857,0.09859154929577464,0.2857142857142857,0.5352697095435685,0.23529411764705882,0.5020066390041493,0.49918787878787874,0.5087943661971831,0.20848056537102475,0.23137254901960785,,0.14084507042253522,0.3126760563380282,7.12394366197183,25.00357142857143,0.37421875,28.0,2.0,14.0,,,0.27450980392156865,0.02531645569620253,,,,1.0,,,,,,,,,,True,
2047,1610612746,Quentin Richardson,Quentin Richardson,2047,LAC,29751.0,496,10,950,952,359,311.0,119.0,1902,52.0,73.0,18.0,24.0,21.0,30.0,9.0,40.0,10.0,26.0,4.0,9.0,,,1.0,1.0,13.0,50.0,4.0,3.0,18.0,71.0,139.0,17.0,59.0,46,239,934,18.0,31.0,,4.0,9.0,45.0,27.0,51.0,4.0,19.0,19,85,80.0,62.0,51.0,,49.0,13.0,16.0,21.0,3.0,24.0,2.0,1.0,11.0,4.0,6.0,51.0,2.0,37.0,11.0,56.0,70.0,41.0,111.0,6.0,15.0,9.0,6.0,19.0,,8.0,9.0,1.0,11.0,,28.0,3.0,7.0,18.0,37.0,1.0,5.0,76,7.0,,35,,7.0,,,,,,,85,359,7.0,0.5633802816901409,0.7017543859649122,1.0,0.288135593220339,,0.21052631578947367,0.29310344827586204,0.5107913669064749,0.5806451612903226,0.5294117647058824,0.48737373737373735,0.5142857142857142,0.4714285714285714,0.5128755364806867,0.5113636363636364,0.48295454545454547,0.29797979797979796,0.11510791366906475,0.0958904109589041,0.175,0.07692307692307693,23.792160437556973,0.6785714285714286,0.13895781637717122,0.11011904761904762,0.14473684210526316,0.02247191011235955,0.13987473903966596,0.09176470588235294,0.10638297872340426,0.1391304347826087,0.08661417322834646,0.0273972602739726,,0.12631578947368421,0.08823529411764706,0.18604651162790697,0.14035087719298245,0.15789473684210525,0.06451612903225806,,0.3686868686868687,0.7123287671232876,0.7878787878787878,0.5576923076923077,0.20202020202020202,0.225,0.2727272727272727,0.3333333333333333,0.13131313131313133,0.38461538461538464,0.4166666666666667,0.8,0.045454545454545456,0.4444444444444444,0.4444444444444444,1.0,0.25252525252525254,0.26,0.26,1.0,0.6857142857142857,0.75,0.1111111111111111,,,,0.11428571428571428,0.42857142857142855,0.7,0.014285714285714285,1.0,0.2571428571428571,0.16666666666666666,0.6666666666666666,0.2653061224489796,0.5017279187817258,0.5228382352941177,0.5010572463768116,0.15486725663716813,0.20958083832335328,,0.18828451882845187,0.35564853556485354,5.954676258992804,25.88305084745763,0.3778947368421053,28.0,2.0,3.0,,1.0,0.07894736842105263,0.0425531914893617,,,,1.0,,,,,,,,1.0,,True,
1838,1610612746,Tyrone Nesby,Tyrone Nesby,1838,LAC,4414.0,74,1,133,134,62,39.0,22.0,267,3.0,8.0,2.0,3.0,2.0,5.0,,3.0,3.0,9.0,,,,,,,2.0,7.0,1.0,2.0,3.0,6.0,20.0,2.0,7.0,4,22,120,3.0,7.0,,1.0,2.0,8.0,2.0,8.0,2.0,3.0,4,14,6.0,6.0,6.0,,7.0,2.0,1.0,,,,,,,,,,,3.0,,5.0,5.0,3.0,8.0,1.0,3.0,3.0,,1.0,,1.0,1.0,,,1.0,2.0,,,,1.0,,,4,,,1,,1.0,3.0,2.0,,1.0,3.0,2.0,14,62,,0.5,1.0,1.0,0.2857142857142857,,0.6666666666666666,0.2857142857142857,0.3,0.42857142857142855,0.25,0.3333333333333333,0.375,0.45454545454545453,0.3793103448275862,0.4444444444444444,0.5384615384615384,0.25925925925925924,0.05,0.125,,,18.452380952380953,0.5,0.07575757575757576,0.04411764705882353,,,0.06578947368421052,0.0379746835443038,0.12,,,,,,0.038461538461538464,0.14814814814814814,,,0.05555555555555555,0.6666666666666666,0.2962962962962963,0.375,0.42857142857142855,0.3333333333333333,0.1111111111111111,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,,,,,0.25925925925925924,0.2857142857142857,0.2857142857142857,1.0,0.375,0.6666666666666666,,,,,0.125,0.45454545454545453,0.4,,,0.2727272727272727,0.6666666666666666,0.5555555555555556,0.2857142857142857,0.45985185185185184,0.45219375,0.49583636363636363,0.03571428571428571,0.047619047619047616,,0.36363636363636365,0.6363636363636364,10.105,26.9,0.46616541353383456,6.0,,,,,,,,,,,,,,,,,,,,True,
1863,1610612746,Earl Boykins,Earl Boykins,1863,LAC,1221.0,20,1,43,41,19,7.0,5.0,84,2.0,3.0,,,1.0,2.0,1.0,1.0,,2.0,,1.0,,1.0,,1.0,,1.0,,,,3.0,6.0,,2.0,2,8,31,,,,1.0,,,1.0,3.0,,1.0,1,3,2.0,4.0,,,1.0,,,1.0,,1.0,,,,,1.0,2.0,,,,2.0,2.0,,2.0,,2.0,,2.0,1.0,,1.0,,,,,1.0,,1.0,,1.0,,,4,,,2,,,,,,,,,3,19,,0.3333333333333333,0.3333333333333333,,,,,,0.5,,0.3333333333333333,0.375,,0.25,0.4,,0.3,0.25,,,,,22.916666666666668,1.0,0.13333333333333333,,,,0.10526315789473684,,,,,,,,0.14285714285714285,0.25,,,,,0.375,0.6666666666666666,0.6666666666666666,0.5,0.125,1.0,1.0,,0.25,,,,0.125,,,,0.125,,,,,,,1.0,,,,0.5,0.5,0.25,,,,0.625,,0.5581125,0.58245,0.6208625,0.2,0.25,,,0.375,7.8,24.5,0.4418604651162791,,,,,,,,,,,,,,,,,,,,,True,
685,1610612746,Cherokee Parks,Cherokee Parks,685,LAC,7676.0,128,4,239,238,92,111.0,35.0,477,10.0,13.0,4.0,4.0,4.0,4.0,2.0,5.0,9.0,17.0,,1.0,,,,1.0,,1.0,,,1.0,21.0,35.0,,2.0,2,44,267,6.0,6.0,,,,12.0,8.0,10.0,,2.0,2,18,28.0,14.0,,,1.0,,2.0,1.0,,1.0,,,,,1.0,2.0,,7.0,3.0,15.0,20.0,7.0,27.0,2.0,1.0,1.0,,1.0,,,1.0,,1.0,,2.0,1.0,,4.0,13.0,2.0,1.0,3,1.0,,1,,1.0,4.0,3.0,,1.0,4.0,2.0,18,92,1.0,0.6666666666666666,0.875,,,,,,0.6,1.0,0.8,0.5675675675675675,1.0,0.6666666666666666,0.5789473684210527,1.0,0.6923076923076923,0.05405405405405406,0.05714285714285714,0.07692307692307693,,0.058823529411764705,14.545454545454545,0.5,0.16853932584269662,0.08974358974358974,0.16666666666666666,,0.16822429906542055,0.0707070707070707,0.15,0.14285714285714285,,,,0.17391304347826086,0.17142857142857143,0.16129032258064516,0.15384615384615385,0.2,0.15384615384615385,0.5,0.35135135135135137,0.7692307692307693,0.8333333333333334,0.4,0.13513513513513514,0.4,0.4,0.5,0.4594594594594595,0.5294117647058824,0.5625,1.0,0.02702702702702703,,,,0.02702702702702703,,,,0.6666666666666666,1.0,,,,,,0.3333333333333333,1.0,0.08333333333333333,,0.08333333333333333,,0.40540540540540543,,0.4571378378378378,0.53802,0.45783333333333337,0.02702702702702703,0.02857142857142857,,0.2727272727272727,0.4090909090909091,10.962857142857143,27.75,0.38493723849372385,10.0,,2.0,,,0.2857142857142857,,,,,,,,,,,,,,,True,
