EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FtPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,LostBallSteals,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,BlockedLongMidRange,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,FG3APct,OffAtRimReboundPct,OffArc3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,ThreePtAssists,Arc3Assists,Corner3Assists,LostBallOutOfBoundsTurnovers,BlockedShortMidRange,OffensiveGoaltends,DefCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGA,Technical Free Throw Trips,3SecondViolations,LongMidRangePctBlocked,PenaltyCorner3Frequency,ShortMidRangeAssists,SecondChanceArc3FGA,PtsUnassisted3s,SecondChanceArc3Frequency,PenaltyCorner3FGM,PenaltyCorner3Accuracy,on,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,Fg3aBlocked,DefensiveGoaltends,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedArc3,Corner3PctBlocked,HeaveMakes,Clear Path Fouls,BlockedCorner3
1110,1610612751,Mark Strickland,Mark Strickland,1110,NJN,1262.0,21,1,40,40,10,9,11,80,2.0,4.0,2.0,4,4,32,1.0,1.0,2.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,10,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,13.20754716981132,0.6666666666666666,0.17647058823529413,0.15789473684210525,0.3333333333333333,0.2,0.1111111111111111,1.0,0.5,0.5,1.0,0.39845,0.3808,0.5,16.825,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1425,1610612751,Aaron Williams,Aaron Williams,1425,NJN,6440.0,107,-16,202,196,54,55,41,398,,3.0,9.0,27,29,201,2.0,6.0,4.0,14.0,8.0,13.0,20.0,4.0,4.0,1.0,,,5.0,1.0,54,0.7777777777777778,0.875,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4393939393939394,0.3333333333333333,15.384615384615383,0.8,0.14545454545454545,0.12941176470588237,0.14285714285714285,0.09090909090909091,0.17391304347826086,0.1111111111111111,,,,0.4441000000000001,0.5172333333333333,0.13793103448275862,6.281481481481482,0.26732673267326734,6.0,10.0,2.0,4.0,3.0,14.0,11.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,2.0,6.0,1.0,5.0,1.0,3.0,2.0,7.0,2.0,1.0,1.0,9.0,12.0,1.0,1.0,13.0,1.0,6.0,1.0,5.0,5.0,5.0,3.0,4.0,2.0,0.4,0.07407407407407407,0.1,0.07142857142857142,0.2857142857142857,0.16666666666666666,0.05154639175257732,0.1,0.05,0.05128205128205128,0.0967741935483871,0.047619047619047616,0.5,0.14285714285714285,0.125,0.6,0.37037037037037035,0.6,0.6666666666666666,0.8333333333333334,0.5185185185185185,0.21428571428571427,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.5,0.5,0.37037037037037035,0.38133333333333336,0.1875,0.1875,0.13793103448275862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1536,1610612751,Stephen Jackson,Stephen Jackson,1536,NJN,7734.0,129,16,254,252,97,113,40,506,1.0,12.0,15.0,34,58,210,2.0,5.0,5.0,16.0,11.0,15.0,20.0,4.0,1.0,4.0,3.0,1.0,8.0,2.0,97,0.5333333333333333,0.5714285714285714,0.4411764705882353,0.4,0.45,0.4,0.48333333333333334,0.4166666666666667,23.050847457627118,0.5,0.11458333333333333,0.10317460317460317,0.058823529411764705,0.15384615384615385,0.1388888888888889,0.24,0.08333333333333333,0.08333333333333333,1.0,0.4876091836734694,0.41756666666666664,0.08620689655172414,8.629411764705884,0.38188976377952755,10.0,15.0,1.0,3.0,4.0,7.0,13.0,14.0,6.0,27.0,14.0,2.0,1.0,11.0,11.0,9.0,2.0,22.0,2.0,3.0,,2.0,2.0,5.0,1.0,10.0,6.0,1.0,6.0,,1.0,20.0,,9.0,1.0,1.0,,1.0,1.0,27.0,3.0,0.54,0.029411764705882353,,0.14285714285714285,0.125,,0.027777777777777776,0.06666666666666667,0.08333333333333333,0.03787878787878788,0.09523809523809523,,0.14285714285714285,0.09090909090909091,0.03571428571428571,1.0,0.3,0.6666666666666666,0.6666666666666666,0.5,0.14,0.5714285714285714,0.6666666666666666,0.5,0.6,0.3333333333333333,,0.62,0.4860325,0.15254237288135594,0.20930232558139536,0.46551724137931033,5.0,8.0,1.0,4.0,4.0,12.0,3.0,6.0,5.0,16.0,1.0,6.0,3.0,6.0,15.0,1.0,11.0,4.0,4.0,2.0,2.0,1.0,1.0,0.3125,0.5,0.3333333333333333,0.42857142857142855,0.525,0.32,0.023809523809523808,0.058823529411764705,0.08,0.25,0.25,1.0,0.24,0.3333333333333333,0.3333333333333333,1.0,0.4,0.625,0.3,0.5,0.36363636363636365,25.89375,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1735,1610612751,Vladimir Stepania,Vladimir Stepania,1735,NJN,16751.0,279,5,542,536,192,209,86,1078,7.0,29.0,27.0,84,82,487,11.0,26.0,29.0,36.0,46.0,74.0,109.0,7.0,2.0,12.0,5.0,2.0,19.0,11.0,192,0.6666666666666666,0.8571428571428571,0.32142857142857145,0.4230769230769231,0.32386363636363635,0.4230769230769231,0.3942307692307692,0.453125,19.339622641509433,0.3684210526315789,0.24598930481283424,0.2591093117408907,0.16417910447761194,0.3333333333333333,0.26666666666666666,0.32954545454545453,0.2413793103448276,0.2413793103448276,1.0,0.48173465909090907,0.514005,0.35365853658536583,8.229761904761906,0.35424354243542433,16.0,39.0,7.0,20.0,4.0,16.0,25.0,26.0,15.0,33.0,18.0,12.0,6.0,11.0,16.0,5.0,6.0,37.0,6.0,26.0,3.0,18.0,10.0,35.0,5.0,10.0,8.0,18.0,47.0,8.0,3.0,34.0,2.0,10.0,8.0,11.0,6.0,11.0,10.0,33.0,7.0,0.4342105263157895,0.07142857142857142,0.15384615384615385,,0.3448275862068966,0.11538461538461539,0.11206896551724138,0.3,0.11320754716981132,0.11228070175438597,0.06666666666666667,0.12,0.2,0.35714285714285715,0.09259259259259259,0.9090909090909091,0.4431818181818182,0.41025641025641024,0.48484848484848486,0.625,0.18181818181818182,0.25,0.25,0.25,0.7692307692307693,0.35,0.14285714285714285,0.48863636363636365,0.4816928571428571,0.10416666666666667,0.10869565217391304,0.4024390243902439,5.0,13.0,,1.0,1.0,3.0,,2.0,1.0,4.0,7.0,9.0,,2.0,3.0,,3.0,1.0,2.0,3.0,4.0,,1.0,0.25,,0.25,0.34615384615384615,0.32142857142857145,0.045454545454545456,0.1388888888888889,0.09302325581395349,0.011363636363636364,,,,0.03409090909090909,0.3333333333333333,0.3333333333333333,1.0,0.4642857142857143,0.38461538461538464,0.07142857142857142,,0.3333333333333333,24.925,5.0,4.0,1.0,2.0,5.0,2.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
2109,1610612751,Eddie Gill,Eddie Gill,2109,NJN,1243.0,21,2,41,41,8,8,8,82,,,1.0,4,4,30,,,,,,,,,,1.0,,,1.0,,8,,,0.25,,0.25,,0.4,,11.76470588235294,,,,,,,,,,,0.49945000000000006,,,6.225,0.1951219512195122,1.0,2.0,,,,2.0,2.0,,,,2.0,,,3.0,3.0,1.0,2.0,6.0,,,,,,,,,,,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,,0.5,,,,,,,0.5,,0.2,0.2,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1975,1610612751,Jamel Thomas,Jamel Thomas,1975,NJN,1060.0,18,5,37,35,8,4,7,72,,4.0,2.0,8,7,23,,1.0,,2.0,3.0,3.0,4.0,2.0,1.0,,1.0,,2.0,1.0,8,0.5,0.5,0.25,,0.35,,0.35,,26.666666666666664,1.0,0.1875,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.14285714285714285,0.4,,,,0.56041,0.5431,,8.8625,0.21621621621621623,2.0,4.0,,1.0,,,,4.0,,4.0,2.0,,1.0,,,,,,,1.0,,,,1.0,,3.0,2.0,2.0,2.0,,,,,,,,,,,4.0,,0.5,0.125,0.25,,,,0.05,,,0.045454545454545456,,0.09090909090909091,,,,,0.4,0.5,0.6666666666666666,0.5,,,,,1.0,,,0.6,0.659925,,,0.5714285714285714,2.0,3.0,1.0,1.0,,1.0,,,1.0,2.0,,2.0,,,3.0,,1.0,,1.0,,1.0,,1.0,0.5,,0.5,0.5,0.5,0.2,,,0.1,1.0,1.0,1.0,0.1,,,,0.75,0.6666666666666666,,,,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
77,1610612751,Doug Overton,Doug Overton,77,NJN,1074.0,18,8,33,32,13,1,11,65,,,,2,3,26,,,3.0,,1.0,1.0,1.0,,,2.0,,,2.0,,13,,,,,0.25,1.5,0.25,1.5,17.77777777777778,,0.07692307692307693,0.0625,,,0.2,,,,,0.5674,,1.0,4.35,0.3939393939393939,,1.0,,,,1.0,,1.0,,,,,,2.0,2.0,1.0,1.0,4.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16666666666666666,,,,0.16666666666666666,,,,,,,0.8333333333333334,0.451925,,,,,,1.0,2.0,,2.0,,1.0,1.0,4.0,,,,1.0,3.0,,2.0,,,1.0,,,1.0,0.25,,0.25,,,0.6666666666666666,,,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,,,,,,0.5,,,24.9,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1496,1610612751,Keith Van Horn,Keith Van Horn,1496,NJN,2601.0,43,29,83,82,40,46,13,165,1.0,3.0,4.0,9,23,72,1.0,2.0,2.0,2.0,6.0,10.0,12.0,2.0,,2.0,2.0,,4.0,,40,0.25,0.3333333333333333,0.4444444444444444,0.5,0.625,0.5,0.6470588235294118,0.5,21.21212121212121,0.5,0.24,0.20588235294117646,0.14285714285714285,0.2857142857142857,0.2727272727272727,0.1875,0.3333333333333333,0.5,1.0,0.47415312499999995,0.4303,0.08695652173913043,10.633333333333335,0.4819277108433735,1.0,1.0,1.0,1.0,2.0,5.0,3.0,5.0,1.0,15.0,6.0,2.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,,1.0,3.0,2.0,,,,2.0,3.0,,,4.0,1.0,2.0,,2.0,1.0,2.0,,15.0,,0.6363636363636364,0.1111111111111111,,,0.42857142857142855,,0.04,0.1111111111111111,0.1,0.05714285714285714,,0.1111111111111111,,0.125,,,0.0625,1.0,1.0,,0.3125,0.4,0.4,,0.5,1.0,,0.5,0.48923181818181827,0.11764705882352941,0.2,0.6521739130434783,1.0,1.0,,1.0,4.0,6.0,4.0,5.0,4.0,7.0,,1.0,4.0,6.0,12.0,,6.0,4.0,,,1.0,,1.0,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.2,0.6363636363636364,0.4375,,0.125,0.0625,,,,0.375,0.6666666666666666,0.6666666666666666,1.0,0.09090909090909091,1.0,0.45454545454545453,0.8,0.6666666666666666,24.97142857142857,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,0.3333333333333333,0.09090909090909091,,,,,,,True,,,,,,,,,,,,,,,,
446,1610612751,Lucious Harris,Lucious Harris,446,NJN,7650.0,128,12,242,239,96,95,42,481,10.0,17.0,20.0,36,53,218,5.0,7.0,11.0,24.0,7.0,13.0,25.0,3.0,2.0,,1.0,,3.0,1.0,96,0.6,0.75,0.5555555555555556,0.7142857142857143,0.5212765957446809,0.7142857142857143,0.53,0.6875,18.213058419243985,1.0,0.0875,0.10185185185185185,0.06666666666666667,0.08333333333333333,0.11538461538461539,0.3617021276595745,0.5882352941176471,0.5882352941176471,1.0,0.46428586956521734,0.49397142857142856,0.20754716981132076,10.136111111111111,0.39669421487603307,8.0,13.0,3.0,4.0,2.0,6.0,4.0,10.0,4.0,16.0,16.0,8.0,4.0,5.0,7.0,1.0,3.0,16.0,3.0,9.0,,4.0,2.0,12.0,2.0,6.0,3.0,5.0,10.0,,,9.0,2.0,4.0,1.0,,,,,16.0,,0.47058823529411764,0.1111111111111111,0.23076923076923078,0.16666666666666666,0.125,,0.08411214953271028,0.14285714285714285,0.10344827586206896,0.08823529411764706,0.16666666666666666,0.08888888888888889,,0.15789473684210525,0.10526315789473684,,0.2765957446808511,0.6153846153846154,0.8,0.25,0.1276595744680851,0.3333333333333333,0.4,,0.5714285714285714,0.75,,0.5106382978723404,0.4462538461538462,0.08163265306122448,0.10526315789473684,0.3018867924528302,3.0,5.0,,1.0,3.0,10.0,,3.0,3.0,11.0,1.0,6.0,,4.0,9.0,1.0,9.0,3.0,3.0,,2.0,,1.0,0.2727272727272727,,0.3,0.6,0.42857142857142855,0.23404255319148937,,0.125,0.02127659574468085,,,,0.2127659574468085,0.3,0.3,1.0,0.35714285714285715,0.6,0.21428571428571427,,0.3333333333333333,26.74545454545455,2.0,2.0,,,,,0.1111111111111111,,,,,,,,,1.0,1.0,,,0.07142857142857142,1.0,,,,,,True,,,,,,,,,,,,,,,,
2066,1610612751,Soumaila Samake,Soumaila Samake,2066,NJN,1742.0,29,29,65,61,45,32,12,126,,2.0,5.0,10,12,45,3.0,3.0,6.0,2.0,2.0,2.0,5.0,1.0,,,1.0,,1.0,1.0,45,0.2,0.5,0.5,1.0,0.5,1.0,0.5,1.0,17.333333333333332,1.0,0.07142857142857142,0.06451612903225806,0.1,,0.07142857142857142,0.2,,,,0.48399000000000003,0.5481333333333334,0.5,5.38,0.6923076923076923,4.0,6.0,3.0,3.0,1.0,2.0,2.0,9.0,2.0,12.0,8.0,6.0,2.0,,,,,,,2.0,1.0,,,3.0,,1.0,1.0,2.0,3.0,,,4.0,,1.0,1.0,2.0,2.0,2.0,2.0,12.0,,0.5454545454545454,0.2,0.3333333333333333,,,0.16666666666666666,0.10526315789473684,,,0.08695652173913043,,,,,,1.0,0.6,0.6666666666666666,1.0,0.25,0.2,0.5,0.5,,1.0,1.0,,0.6,0.47794444444444445,0.09090909090909091,0.09090909090909091,1.0,4.0,5.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,0.5555555555555556,0.5555555555555556,,0.2,,,,,,,,,,0.5555555555555556,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
