EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceFtPoints,PtsPutbacks,FTOffRebounds,Travels,Blocked3s,BlockedArc3,3SecondViolations,OffFTReboundPct,OffCorner3ReboundPct,OffensiveGoaltends,Technical Free Throw Trips,DefensiveGoaltends,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedCorner3,ThreePtShootingFoulsDrawnPct,on,Corner3PctBlocked,Clear Path Fouls
1088,1610612765,Chucky Atkins,Chucky Atkins,1088,DET,68173.0,1136,-57.0,2185,2178,465,557,272.0,4363,36.0,72.0,7.0,8.0,10.0,20.0,16.0,46.0,80.0,190.0,13.0,34.0,2.0,5.0,4.0,9.0,44.0,117.0,6.0,21.0,8.0,29.0,132.0,308.0,57.0,151.0,25.0,460.0,2284,15.0,24.0,8.0,26.0,54.0,31.0,71.0,12.0,38.0,9.0,107.0,94.0,170.0,156.0,15.0,1.0,116.0,44.0,12.0,1.0,133.0,20.0,153.0,12.0,8.0,50.0,17.0,66.0,326.0,2.0,8.0,21.0,49.0,1.0,71.0,10.0,81.0,3.0,35.0,15.0,20.0,51.0,14.0,38.0,25.0,4.0,13.0,76.0,3.0,14.0,22.0,97,3.0,4.0,41.0,3.0,18.0,4.0,4.0,1.0,2.0,1.0,4.0,2.0,107.0,465,14.0,0.3560606060606061,0.3560606060606061,0.9122807017543859,0.37748344370860926,0.3076923076923077,0.3157894736842105,0.38,0.42857142857142855,0.625,0.43661971830985913,0.4738562091503268,0.54,0.44954128440366975,0.4811715481171548,0.54,0.46120689655172414,0.3289760348583878,0.006622516556291391,0.03896103896103896,0.1388888888888889,0.021739130434782608,0.005263157894736842,0.008547008547008548,22.21331194867682,0.6710526315789473,0.014285714285714285,0.05854241338112306,0.009237875288683603,0.09417040358744394,0.010471204188481676,0.0660377358490566,0.00946073793755913,0.019230769230769232,0.004901960784313725,0.006607929515418502,0.014705882352941176,0.06306306306306306,0.07264957264957266,0.047244094488188976,0.09826589595375723,0.08,0.011857707509881422,0.5,0.1568627450980392,0.5,0.5806451612903226,0.2777777777777778,0.10021786492374728,0.34782608695652173,0.35555555555555557,0.125,0.4139433551198257,0.42105263157894735,0.42328042328042326,0.4375,0.07407407407407407,0.38235294117647056,0.38235294117647056,1.0,0.2549019607843137,0.37606837606837606,0.3793103448275862,0.8863636363636364,0.16,0.875,0.5714285714285714,0.1,0.4,1.0,0.42,0.2857142857142857,0.8333333333333334,0.1834862385321101,0.5,0.08256880733944955,0.4444444444444444,0.26605504587155965,0.27586206896551724,0.485838779956427,0.3793103448275862,0.47765218340611354,0.4987181818181819,0.4571138888888888,0.0379746835443038,0.05572755417956656,0.11739130434782609,0.2326086956521739,12.904220779220784,25.50397350993378,0.2128146453089245,,,,,,,,,,,,,,,,,,True,,
1112,1610612765,Ben Wallace,Ben Wallace,1112,DET,72550.0,1209,-65.0,2324,2324,461,566,297.0,4648,81.0,144.0,26.0,45.0,12.0,21.0,9.0,39.0,5.0,19.0,,,,,,,,,,,,,95.0,202.0,,,29.0,219.0,2406,30.0,55.0,,,65.0,17.0,31.0,,,8.0,42.0,114.0,76.0,,,,,,22.0,,37.0,14.0,51.0,9.0,5.0,13.0,,24.0,116.0,20.0,107.0,65.0,228.0,42.0,335.0,128.0,463.0,6.0,42.0,32.0,10.0,25.0,6.0,16.0,26.0,3.0,9.0,51.0,6.0,10.0,47.0,82,5.0,7.0,92.0,8.0,38.0,12.0,72.0,41.0,5.0,26.0,73.0,49.0,42.0,461,8.0,0.6,0.7307692307692307,,,,,,0.47029702970297027,0.5454545454545454,0.5483870967741935,0.47029702970297027,0.5454545454545454,0.5483870967741935,0.4487704918032787,0.5,0.4375,,,0.10891089108910891,0.09722222222222222,0.20512820512820512,,,11.032161555721766,0.49019607843137253,0.5915492957746479,0.25675675675675674,0.11215932914046121,0.2719665271966527,0.10582010582010581,0.25998225377107365,0.1111111111111111,0.12449799196787148,0.10697674418604651,0.10816326530612246,0.10077519379844961,0.2422907488986784,0.2558139534883721,0.2655086848635236,0.2760416666666667,0.2553191489361702,0.07058823529411765,0.6712328767123288,0.7128712871287128,0.5625,0.6230769230769231,0.6172839506172839,0.19306930693069307,0.23076923076923078,0.2903225806451613,0.3333333333333333,0.09405940594059406,0.2631578947368421,0.2631578947368421,0.8,,,,,,,,,0.8181818181818182,0.5777777777777777,0.15384615384615385,,,,,,,0.6774193548387096,0.5714285714285714,,,,,0.7128712871287128,,0.5189262376237623,0.5225530612244899,0.5243903225806451,0.16379310344827586,0.16379310344827586,0.2968036529680365,0.1917808219178082,3.124752475247525,,0.19836488812392428,5.0,34.0,1.0,6.0,1.0,1.0,1.0,0.013513513513513514,0.11666666666666667,,,,,,,,,True,,
146,1610612765,Jud Buechler,Jud Buechler,146,DET,4531.0,76,-1.0,150,152,64,80,16.0,302,3.0,3.0,,,,,1.0,1.0,4.0,7.0,2.0,3.0,,,,,2.0,3.0,,,,,8.0,11.0,4.0,6.0,1.0,29.0,147,,,,,,2.0,4.0,,,,4.0,12.0,4.0,12.0,,,3.0,2.0,,,6.0,,6.0,,,2.0,1.0,3.0,12.0,,,2.0,3.0,,5.0,,5.0,,2.0,1.0,1.0,1.0,,,2.0,,1.0,3.0,,1.0,2.0,8,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,4.0,64,4.0,0.75,0.75,1.0,0.6666666666666666,,,0.6666666666666666,0.7272727272727273,,0.5,0.8235294117647058,,0.5,0.8529411764705882,,0.5,0.35294117647058826,,,,,,,11.976047904191617,0.3333333333333333,,0.06976744186046512,,0.14285714285714285,,0.08771929824561403,,,,,,,,0.125,0.1,0.25,,1.0,0.17647058823529413,1.0,1.0,0.6666666666666666,0.058823529411764705,1.0,1.0,1.0,0.4117647058823529,0.5714285714285714,0.5714285714285714,0.75,0.17647058823529413,0.6666666666666666,0.6666666666666666,1.0,0.17647058823529413,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,,,,,,,,0.5294117647058824,0.6666666666666666,0.509720588235294,,0.3891,0.058823529411764705,0.09090909090909091,,0.13793103448275862,12.98181818181818,24.516666666666666,0.4266666666666667,,,,1.0,,,,,,,,,,,,,,True,,
1630,1610612765,Mikki Moore,Mikki Moore,1630,DET,14564.0,243,-6.0,462,464,166,203,49.0,926,17.0,21.0,5.0,8.0,6.0,8.0,5.0,15.0,4.0,20.0,,,,,,,,,,,,,26.0,56.0,,,15.0,67.0,468,6.0,11.0,,,12.0,10.0,16.0,,,9.0,29.0,34.0,18.0,,,,,,2.0,,5.0,2.0,7.0,1.0,1.0,1.0,,4.0,16.0,4.0,14.0,5.0,21.0,7.0,33.0,18.0,51.0,1.0,5.0,4.0,1.0,3.0,1.0,1.0,7.0,,2.0,10.0,2.0,3.0,18.0,48,5.0,4.0,18.0,1.0,8.0,2.0,14.0,4.0,2.0,8.0,14.0,7.0,29.0,166,6.0,0.6538461538461539,0.85,,,,,,0.4642857142857143,0.5454545454545454,0.625,0.4642857142857143,0.5454545454545454,0.625,0.5153846153846153,0.5454545454545454,0.725,,,0.03571428571428571,,0.13333333333333333,,,14.36893203883495,0.3,0.4375,0.12352941176470589,0.08284023668639054,0.11363636363636363,0.12121212121212122,0.12149532710280374,0.0891089108910891,0.08108108108108109,0.13333333333333333,0.05747126436781609,0.125,0.10810810810810811,0.06666666666666667,0.1590909090909091,0.13793103448275862,0.06666666666666667,0.03571428571428571,0.5,0.375,0.8095238095238095,0.8095238095238095,0.7058823529411765,0.26785714285714285,0.3333333333333333,0.38461538461538464,0.6,0.35714285714285715,0.2,0.2,0.5,,,,,,,,,0.7272727272727273,0.625,,,,,,,,0.5,0.75,,,,,0.375,,0.4494160714285715,0.4988333333333333,0.48545,0.12698412698412698,0.12698412698412698,0.1791044776119403,0.43283582089552236,8.639285714285714,,0.3593073593073593,,12.0,,1.0,,,,,0.1111111111111111,1.0,,,,,,,,True,,
688,1610612765,Michael Curry,Michael Curry,688,DET,89404.0,1490,-119.0,2887,2887,706,822,353.0,5774,51.0,84.0,2.0,8.0,14.0,23.0,11.0,31.0,79.0,195.0,3.0,7.0,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,141.0,310.0,4.0,9.0,62.0,356.0,3003,6.0,30.0,1.0,2.0,19.0,30.0,64.0,1.0,2.0,25.0,88.0,206.0,76.0,12.0,,,2.0,1.0,12.0,,95.0,37.0,132.0,30.0,7.0,28.0,15.0,52.0,301.0,3.0,18.0,22.0,77.0,1.0,100.0,21.0,121.0,3.0,27.0,17.0,10.0,28.0,11.0,20.0,33.0,1.0,8.0,61.0,4.0,18.0,70.0,173,7.0,14.0,73.0,5.0,27.0,12.0,3.0,2.0,1.0,,3.0,2.0,88.0,706,18.0,0.7304964539007093,0.7410071942446043,1.0,0.4444444444444444,0.5,0.5,0.4444444444444444,0.45483870967741935,0.2,0.46875,0.4608150470219436,0.234375,0.4772727272727273,0.5042492917847026,0.2714285714285714,0.55,0.02821316614420063,,0.03870967741935484,0.09523809523809523,0.12903225806451613,,,12.515151515151516,0.45901639344262296,0.01098901098901099,0.07103321033210332,0.015332197614991482,0.07773851590106007,0.013157894736842105,0.07242136064374542,0.014978601997146932,0.013468013468013467,0.01838235294117647,0.01487603305785124,0.018404907975460124,0.05,0.0749185667752443,0.08048289738430583,0.06334841628959276,0.12903225806451613,0.018518518518518517,0.6666666666666666,0.26332288401253917,0.6071428571428571,0.6710526315789473,0.5098039215686274,0.09717868338557993,0.3548387096774194,0.4074074074074074,0.45454545454545453,0.6112852664576802,0.40512820512820513,0.40512820512820513,0.9113924050632911,0.0219435736677116,0.42857142857142855,0.42857142857142855,1.0,0.006269592476489028,0.5,0.5,1.0,0.25,0.25,,0.03125,,,0.03125,1.0,1.0,0.3484848484848485,0.6086956521739131,0.015151515151515152,,0.015151515151515152,1.0,0.29153605015673983,0.5,0.4534528213166145,0.42969444444444443,0.45690984848484856,0.07917888563049853,0.08132530120481928,0.05337078651685393,0.24719101123595505,12.138709677419358,24.1,0.2445445098718393,4.0,4.0,,5.0,,,,,,,1.0,1.0,1.0,,,,,True,,
2043,1610612765,Mateen Cleaves,Mateen Cleaves,2043,DET,15801.0,263,-46.0,526,534,178,198,59.0,1060,18.0,35.0,3.0,4.0,7.0,14.0,2.0,11.0,13.0,34.0,,,,,,,,4.0,,,,3.0,33.0,80.0,,4.0,19.0,85.0,535,4.0,8.0,,,9.0,10.0,33.0,,3.0,12.0,32.0,32.0,34.0,,,1.0,3.0,,5.0,1.0,25.0,7.0,32.0,4.0,3.0,14.0,1.0,10.0,71.0,,2.0,3.0,18.0,2.0,23.0,3.0,26.0,1.0,8.0,4.0,4.0,14.0,9.0,10.0,17.0,3.0,4.0,31.0,,11.0,7.0,32,,4.0,25.0,1.0,9.0,4.0,,,,,,,32.0,178,6.0,0.48484848484848486,0.5161290322580645,,,,,,0.4125,0.5,0.30303030303030304,0.39285714285714285,0.5,0.2777777777777778,0.4427083333333333,0.5,0.36363636363636365,0.047619047619047616,0.25,0.0625,0.11428571428571428,0.09090909090909091,,0.25,21.166666666666668,0.45161290322580644,0.10526315789473684,0.0967741935483871,0.008620689655172414,0.06666666666666667,,0.09090909090909091,0.007874015748031496,0.013513513513513514,0.018867924528301886,,,0.047619047619047616,0.05454545454545454,0.14606741573033707,0.05405405405405406,0.125,0.023809523809523808,,0.4166666666666667,0.5142857142857142,0.5806451612903226,0.2222222222222222,0.13095238095238096,0.18181818181818182,0.2,0.5,0.40476190476190477,0.38235294117647056,0.38235294117647056,0.8461538461538461,,,,,0.047619047619047616,,,,0.5,0.75,0.3333333333333333,,,,,,,0.3888888888888889,0.5,,,0.08333333333333333,,0.4642857142857143,,0.48190120481927723,0.4820285714285714,0.4591671428571429,0.09782608695652174,0.10227272727272728,0.10588235294117647,0.3764705882352941,9.05875,29.975,0.33840304182509506,1.0,4.0,1.0,1.0,,,,0.05,,,,,,,,,,True,,
376,1610612765,Eric Montross,Eric Montross,376,DET,16462.0,274,-51.0,546,548,137,141,67.0,1094,13.0,26.0,6.0,11.0,3.0,5.0,7.0,29.0,2.0,3.0,,,,,,,,,,,,,22.0,58.0,,,2.0,46.0,586,6.0,13.0,,,14.0,3.0,10.0,,,,6.0,28.0,16.0,,,,,,3.0,,4.0,6.0,10.0,5.0,1.0,1.0,,3.0,26.0,5.0,15.0,8.0,31.0,8.0,47.0,20.0,67.0,3.0,2.0,,2.0,8.0,,6.0,14.0,,2.0,22.0,2.0,8.0,25.0,56,5.0,11.0,12.0,,4.0,2.0,9.0,6.0,,3.0,9.0,6.0,6.0,137,3.0,0.6363636363636364,0.7777777777777778,,,,,,0.3793103448275862,0.46153846153846156,0.3,0.3793103448275862,0.46153846153846156,0.3,0.359375,0.4375,0.25,,,0.05172413793103448,0.11538461538461539,,,,13.804173354735152,0.36363636363636365,0.42105263157894735,0.14553990610328638,0.06912442396313365,0.16666666666666666,0.14285714285714285,0.14942528735632185,0.07936507936507936,0.09615384615384616,0.061224489795918366,0.0603448275862069,0.1111111111111111,0.09803921568627451,0.109375,0.19387755102040816,0.18421052631578946,0.1,0.09090909090909091,0.6666666666666666,0.4482758620689655,0.5,0.5652173913043478,0.46153846153846156,0.5,0.2413793103448276,0.2413793103448276,0.8571428571428571,0.05172413793103448,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,0.8461538461538461,0.5454545454545454,0.16666666666666666,,,,,,,0.5,0.6,,,,,0.4482758620689655,,0.4386,0.4916333333333333,0.45714000000000005,0.06451612903225806,0.06451612903225806,0.30434782608695654,0.13043478260869565,5.618965517241379,,0.2509157509157509,2.0,8.0,,1.0,,,2.0,,0.25,,,2.0,,,,,,True,,
693,1610612765,Joe Smith,Joe Smith,693,DET,52695.0,878,-73.0,1698,1693,316,353,213.0,3391,53.0,96.0,20.0,39.0,10.0,15.0,35.0,113.0,66.0,152.0,,,,,,,,,,,,,154.0,361.0,,,106.0,414.0,1797,28.0,60.0,,,78.0,25.0,51.0,,,34.0,84.0,196.0,112.0,,,,,,28.0,,32.0,8.0,40.0,5.0,3.0,10.0,1.0,21.0,88.0,5.0,72.0,31.0,114.0,14.0,159.0,77.0,236.0,10.0,26.0,16.0,10.0,13.0,4.0,8.0,15.0,,5.0,28.0,3.0,4.0,61.0,114,15.0,8.0,128.0,7.0,57.0,10.0,25.0,20.0,1.0,4.0,25.0,14.0,84.0,316,7.0,0.6363636363636364,0.6901408450704225,,,,,,0.4265927977839335,0.4666666666666667,0.49019607843137253,0.4265927977839335,0.4666666666666667,0.49019607843137253,0.4916864608076009,0.527027027027027,0.6,,,0.07756232686980609,0.16666666666666666,0.10619469026548672,,,23.037455105182147,0.4642857142857143,0.28,0.18037974683544303,0.100418410041841,0.1949685534591195,0.03597122302158273,0.18331226295828065,0.08995327102803738,0.1242603550295858,0.10919540229885058,0.0855614973262032,0.010309278350515464,0.15853658536585366,0.22285714285714286,0.16723549488054607,0.18548387096774194,0.22857142857142856,0.055865921787709494,0.56,0.2659279778393352,0.5520833333333334,0.6625,0.4528301886792453,0.31301939058171746,0.30973451327433627,0.3465346534653465,0.6,0.42105263157894735,0.4342105263157895,0.4342105263157895,0.803030303030303,,,,,,,,,0.65,0.5128205128205128,0.15,,,,,,,0.29411764705882354,0.6666666666666666,,,,,0.2659279778393352,,0.4370337950138504,0.5010859649122806,0.4213333333333334,0.1386861313868613,0.1386861313868613,0.18840579710144928,0.2028985507246377,10.055955678670356,,0.18610129564193167,22.0,24.0,,1.0,,,1.0,,0.09523809523809523,,,2.0,,,,,,True,,
966,1610612765,Jerome Williams,Jerome Williams,966,DET,12573.0,210,-38.0,407,406,187,200,53.0,813,10.0,25.0,2.0,7.0,4.0,11.0,6.0,11.0,6.0,19.0,,,,,,,,1.0,,,,1.0,22.0,55.0,,1.0,17.0,61.0,418,2.0,10.0,,,12.0,8.0,22.0,,1.0,13.0,29.0,20.0,24.0,,,,1.0,,7.0,,5.0,1.0,6.0,,1.0,2.0,,3.0,13.0,,20.0,5.0,39.0,2.0,46.0,21.0,67.0,3.0,11.0,8.0,3.0,8.0,1.0,5.0,10.0,,3.0,18.0,5.0,7.0,4.0,19,3.0,4.0,23.0,1.0,7.0,5.0,2.0,1.0,,1.0,2.0,2.0,29.0,187,4.0,0.45454545454545453,0.5,,,,,,0.4,0.2,0.36363636363636365,0.39285714285714285,0.2,0.34782608695652173,0.4552238805970149,0.4,0.453125,0.017857142857142856,,0.12727272727272726,0.24,0.09090909090909091,,,18.201284796573876,0.4444444444444444,0.16666666666666666,0.2635135135135135,0.11494252873563218,0.1282051282051282,,0.23529411764705882,0.10050251256281408,0.13725490196078433,0.030303030303030304,0.13333333333333333,,0.17777777777777778,0.35135135135135137,0.2727272727272727,0.14285714285714285,0.09090909090909091,0.11538461538461539,1.0,0.44642857142857145,0.4,0.5263157894736842,0.3,0.19642857142857142,0.5454545454545454,0.6,0.5,0.3392857142857143,0.3157894736842105,0.3157894736842105,0.6666666666666666,,,,,0.017857142857142856,,,,0.7,0.2857142857142857,,,,,,,,0.4782608695652174,0.36363636363636365,,,0.043478260869565216,,0.4642857142857143,,0.4569785714285715,0.48571,0.4574869565217391,0.11290322580645161,0.11475409836065574,0.19672131147540983,0.47540983606557374,8.058181818181817,31.6,0.4594594594594595,8.0,4.0,1.0,1.0,,,,0.05555555555555555,,,,,1.0,,,,,True,,
344,1610612765,Dana Barros,Dana Barros,344,DET,10116.0,169,-33.0,325,326,115,131,36.0,651,2.0,7.0,1.0,1.0,1.0,4.0,1.0,3.0,24.0,39.0,1.0,2.0,,,1.0,1.0,7.0,15.0,,1.0,2.0,5.0,27.0,49.0,8.0,17.0,4.0,82.0,350,4.0,4.0,,1.0,8.0,8.0,19.0,3.0,6.0,2.0,27.0,18.0,36.0,18.0,6.0,,15.0,7.0,1.0,,21.0,2.0,23.0,2.0,,7.0,6.0,8.0,48.0,,2.0,2.0,17.0,,19.0,2.0,21.0,1.0,5.0,2.0,3.0,10.0,,6.0,3.0,1.0,4.0,13.0,,4.0,3.0,12,,,6.0,,1.0,1.0,1.0,,1.0,,1.0,,27.0,115,4.0,0.3333333333333333,0.34615384615384615,0.75,0.47058823529411764,,0.5,0.47058823529411764,0.5510204081632653,1.0,0.42105263157894735,0.5909090909090909,0.8,0.5,0.5882352941176471,0.8,0.5,0.25757575757575757,,0.02040816326530612,0.14285714285714285,,,,21.774193548387096,0.7692307692307693,,0.14782608695652175,0.015625,0.08,,0.1357142857142857,0.01282051282051282,,0.07142857142857142,,,0.09375,0.1,0.20754716981132076,0.05555555555555555,0.14285714285714285,0.03333333333333333,,0.10606060606060606,0.2857142857142857,0.3333333333333333,,0.045454545454545456,0.3333333333333333,0.3333333333333333,,0.5909090909090909,0.6153846153846154,0.6153846153846154,0.375,0.030303030303030304,0.5,0.5,1.0,0.22727272727272727,0.4666666666666667,0.4666666666666667,0.7142857142857143,0.2,1.0,,,,,0.2,,,0.16,0.25,0.04,1.0,0.2,0.4,0.36363636363636365,0.4666666666666667,0.4449598484848485,0.49731250000000005,0.4421419999999999,0.014925373134328358,0.02,0.0975609756097561,0.32926829268292684,15.771428571428576,26.14705882352941,0.35384615384615387,,2.0,,1.0,,,,,,,2.0,,,,,,,True,,
