EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted2s,PtsUnassisted2s,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,FG3M,FG3A,SecondChanceFG3A,PenaltyFG2A,PtsAssisted3s,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,ShootingFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,LiveBallTurnoverPct,DefThreePtReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyShotQualityAvg,Avg3ptShotDistance,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FtPoints,SecondChanceFG2M,SecondChancePoints,PenaltyFG2M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,NonHeaveArc3FGA,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,Travels,SecondChanceTurnovers,Loose Ball Fouls,NonShootingFoulsDrawn,BlockedShortMidRange,PenaltyPointsExcludingTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,OffLongMidRangeReboundPct,ShortMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,SecondChancePointsPct,PenaltyPointsPct,SecondChanceCorner3FGM,PenaltyCorner3FGM,Arc3FGM,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,PenaltyFG3M,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGM,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,Blocked3s,BlockedCorner3,BlockedLongMidRange,SecondChanceFg3Pct,PenaltyFg3Pct,LongMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceArc3FGM,Fg3aBlocked,Clear Path Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,DefensiveGoaltends,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,3SecondViolations,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawn,BlockedArc3,OffensiveGoaltends,Corner3PctBlocked,ThreePtShootingFoulsDrawnPct,on,HeaveMakes
1035,1610612759,Shawnelle Scott,Shawnelle Scott,1035,SAS,1425.0,24,-6.0,42,44,17,15,2,86,2.0,3.0,1.0,1.0,2.0,3,5,6,44,1.0,4,2.0,1.0,6,6,1.0,7,1.0,1,1.0,3,1.0,4.0,2.0,2.0,2.0,2.0,2.0,17,0.6666666666666666,0.6666666666666666,0.6,0.6,0.42857142857142855,17.77777777777778,0.23076923076923078,0.06666666666666667,0.2,0.0625,0.3333333333333333,0.1,0.5,0.2,1.0,0.6,0.6666666666666666,0.6666666666666666,1.0,0.4,0.5,0.5,1.0,0.6,0.47496,0.5514,0.2857142857142857,0.2857142857142857,2.7600000000000002,0.40476190476190477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1114,1610612759,Jaren Jackson,Jaren Jackson,1114,SAS,1226.0,20,,41,42,23,14,3,83,,,,,1.0,1,5,5,41,,2,,,2,3,,3,,1,1.0,5,,,,,,,,23,1.0,1.0,0.2,0.35714285714285715,0.35714285714285715,18.181818181818183,0.10526315789473684,,0.12,,,0.2857142857142857,,,,,,,,0.14285714285714285,,,,0.2857142857142857,0.4539357142857143,0.66075,,,16.880000000000003,0.5609756097560976,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.2857142857142857,1.0,0.16666666666666666,0.16666666666666666,0.5714285714285714,0.25,0.25,1.0,0.2857142857142857,0.5,0.5,1.0,1.0,0.3186,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1760,1610612759,Derrick Dial,Derrick Dial,1760,SAS,3958.0,66,17.0,120,123,55,41,21,243,4.0,7.0,2.0,3.0,4.0,10,24,25,114,6.0,16,4.0,5.0,7,10,5.0,15,2.0,3,1.0,7,1.0,8.0,3.0,1.0,,1.0,1.0,55,0.8,0.8,0.4166666666666667,0.37037037037037035,0.4032258064516129,22.818791946308725,0.1346153846153846,0.09803921568627451,0.15151515151515152,0.07936507936507936,0.11764705882352941,0.2,0.058823529411764705,0.15,1.0,0.25925925925925924,0.5714285714285714,1.0,1.0,0.14814814814814814,0.75,0.75,0.25,0.37037037037037035,0.47280185185185186,0.5039714285714285,0.1,0.1111111111111111,10.879166666666665,0.4583333333333333,3.0,13.0,,1.0,1.0,,3.0,2.0,11.0,,4.0,6.0,,1.0,14.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,0.1111111111111111,0.3333333333333333,0.21428571428571427,0.2727272727272727,0.48148148148148145,0.23076923076923078,0.23076923076923078,1.0,0.037037037037037035,,,,0.125,0.4608964285714286,24.900000000000002,2.0,2.0,3.0,1.0,2.0,1.0,2.0,5.0,3.0,6.0,4.0,3.0,3.0,11.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,11.0,0.5,0.36363636363636365,0.375,0.2857142857142857,0.375,0.3235294117647059,0.125,0.42857142857142855,0.2,0.041666666666666664,0.3333333333333333,0.07407407407407407,1.0,1.0,0.125,0.21428571428571427,0.6666666666666666,0.07142857142857142,0.14285714285714285,0.24,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
198,1610612759,Danny Ferry,Danny Ferry,198,SAS,55556.0,926,239.0,1723,1725,484,290,206,3448,2.0,4.0,3.0,8.0,15.0,52,102,220,1587,13.0,78,26.0,26.0,77,87,33.0,120,8.0,24,5.0,93,2.0,8.0,2.0,10.0,4.0,11.0,9.0,484,0.75,0.7959183673469388,0.5098039215686274,0.5718085106382979,0.5729166666666666,11.009174311926605,0.09948320413436693,0.042483660130718956,0.08917197452229299,0.037760416666666664,0.034934497816593885,0.10784313725490197,0.07874015748031496,0.11075949367088607,0.8181818181818182,0.02127659574468085,0.5,0.5,0.5,0.0797872340425532,0.5333333333333333,0.5333333333333333,0.15789473684210525,0.4787234042553192,0.47855909090909104,0.4905815789473684,0.010526315789473684,0.019230769230769232,16.324509803921565,0.2809053975623912,42.0,83.0,16.0,41.0,4.0,37.0,86.0,6.0,24.0,108.0,30.0,39.0,10.0,7.0,87.0,7.0,13.0,11.0,16.0,1.0,39.0,8.0,0.972972972972973,0.43023255813953487,0.43529411764705883,0.4574468085106383,0.6666666666666666,0.041666666666666664,0.031007751937984496,0.44148936170212766,0.5060240963855421,0.5121951219512195,0.8333333333333334,0.21808510638297873,0.3902439024390244,0.3902439024390244,1.0,0.21052631578947367,0.4808877551020409,24.33255813953488,1.0,1.0,2.0,16.0,45.0,2.0,10.0,5.0,5.0,17.0,11.0,26.0,3.0,55.0,44.0,1.0,9.0,5.0,4.0,13.0,2.0,3.0,13.0,2.0,4.0,55.0,0.38461538461538464,0.4583333333333333,0.42105263157894735,0.52,0.425,0.5288461538461539,0.00980392156862745,,0.020833333333333332,0.06276150627615062,0.375,0.2393617021276596,0.3333333333333333,,0.10526315789473684,0.04,0.5,0.32,0.2,0.07727272727272727,0.25,2.0,6.0,21.0,4.0,2.0,1.0,10.0,3.0,6.0,1.0,21.0,3.0,4.0,3.0,1.0,2.0,3.0,15.0,1.0,1.0,1.0,2.0,0.3333333333333333,0.38461538461538464,0.012048192771084338,0.075,0.056338028169014086,0.019230769230769232,0.017699115044247787,0.023255813953488372,0.07692307692307693,0.010309278350515464,0.4666666666666667,0.4666666666666667,0.9523809523809523,0.5,1.0,0.375,0.4,0.4772727272727273,,,,,,,,,,,,,,,,,,,True,
345,1610612759,Terry Porter,Terry Porter,345,SAS,100742.0,1679,364.0,3128,3138,984,593,393,6266,48.0,83.0,5.0,14.0,44.0,110,235,573,2965,23.0,70,150.0,15.0,144,177,24.0,201,36.0,104,26.0,88,2.0,116.0,41.0,11.0,4.0,11.0,7.0,984,0.3181818181818182,0.32407407407407407,0.46808510638297873,0.5465909090909091,0.5797546012269938,16.559620217816253,0.10487982520029134,0.01342882721575649,0.1063701923076923,0.015580736543909348,0.014563106796116505,0.07608695652173914,0.10816777041942605,0.1213768115942029,0.6363636363636364,0.18863636363636363,0.5783132530120482,0.6486486486486487,0.2708333333333333,0.1,0.3181818181818182,0.3888888888888889,0.09803921568627451,0.6545454545454545,0.5071076309794991,0.49429534883720944,0.08686440677966102,0.15355805243445692,10.274468085106385,0.3145780051150895,48.0,108.0,32.0,61.0,11.0,87.0,205.0,28.0,65.0,204.0,214.0,251.0,93.0,73.0,539.0,33.0,52.0,36.0,68.0,12.0,31.0,13.0,0.7816091954022989,0.424390243902439,0.4264705882352941,0.4659090909090909,0.6538461538461539,0.1134020618556701,0.10648148148148148,0.24545454545454545,0.4444444444444444,0.45714285714285713,0.3541666666666667,0.13863636363636364,0.5245901639344263,0.5245901639344263,0.9375,0.21568627450980393,0.50005,24.76292682926829,3.0,15.0,22.0,16.0,144.0,17.0,46.0,92.0,10.0,65.0,39.0,62.0,41.0,200.0,143.0,20.0,37.0,23.0,14.0,48.0,1.0,8.0,6.0,17.0,4.0,200.0,0.43478260869565216,0.6,0.5490196078431373,0.6259842519685039,0.5803571428571429,0.6556291390728477,0.0851063829787234,0.10843373493975904,0.01818181818181818,0.009302325581395349,0.35714285714285715,0.32727272727272727,0.6,,0.3333333333333333,0.1732283464566929,0.6818181818181818,0.12598425196850394,0.36220472440944884,0.11343804537521815,0.34904013961605584,6.0,5.0,55.0,22.0,12.0,9.0,27.0,57.0,4.0,1.0,55.0,7.0,2.0,,6.0,16.0,27.0,56.0,5.0,,,3.0,0.42857142857142855,0.43548387096774194,0.027777777777777776,,0.013986013986013986,0.023728813559322035,0.01485148514851485,0.043010752688172046,0.13333333333333333,0.027649769585253458,0.3819444444444444,0.38461538461538464,0.6909090909090909,0.5454545454545454,0.8333333333333334,0.3125,0.4782608695652174,0.38461538461538464,6.0,1.0,1.0,9.0,9.0,1.0,0.004878048780487805,0.18181818181818182,0.006944444444444444,0.35294117647058826,0.5,,,,,,,,True,
70,1610612759,Steve Kerr,Steve Kerr,70,SAS,13698.0,228,12.0,416,415,138,85,68,831,,,,3.0,5.0,11,28,56,415,1.0,14,8.0,2.0,3,9,2.0,11,2.0,8,4.0,9,,7.0,,1.0,1.0,1.0,,138,0.6363636363636364,0.6363636363636364,0.39285714285714285,0.49,0.5096153846153846,12.219959266802444,0.016574585635359115,0.013333333333333334,0.03669724770642202,0.01020408163265306,0.017241379310344827,,0.029850746268656716,0.016666666666666666,,,,,,0.1,0.6,0.6,,0.44,0.45637099999999997,0.5040833333333333,,,15.953571428571427,0.3317307692307692,8.0,23.0,2.0,5.0,,9.0,22.0,4.0,10.0,24.0,16.0,22.0,8.0,5.0,50.0,5.0,5.0,2.0,6.0,2.0,5.0,2.0,0.8888888888888888,0.4090909090909091,0.4090909090909091,0.44,0.75,0.13513513513513514,0.07142857142857142,0.46,0.34782608695652173,0.34782608695652173,0.75,0.1,0.4,0.4,1.0,,0.43063125,25.09090909090909,,,,1.0,17.0,4.0,5.0,7.0,1.0,9.0,1.0,6.0,5.0,13.0,17.0,,6.0,3.0,3.0,3.0,,1.0,,2.0,,13.0,1.0,0.1,0.8,0.25,0.8,0.3333333333333333,,,,0.015384615384615385,0.3333333333333333,0.34,,,0.8,,,0.0625,0.3125,0.16071428571428573,0.23214285714285715,,1.0,7.0,1.0,2.0,1.0,2.0,3.0,,,7.0,,,1.0,,3.0,1.0,4.0,,,,,0.5,0.3333333333333333,,0.1111111111111111,,,,,0.3333333333333333,,0.4117647058823529,0.4117647058823529,0.8571428571428571,,,1.0,0.2,0.4117647058823529,2.0,,1.0,,3.0,,,,,0.5,1.0,,,,,,,,True,
990,1610612759,Malik Rose,Malik Rose,990,SAS,32941.0,549,98.0,1010,1023,322,244,140,2033,38.0,73.0,20.0,7.0,40.0,63,160,184,969,29.0,84,42.0,33.0,74,105,49.0,154,17.0,32,9.0,61,4.0,80.0,31.0,19.0,7.0,19.0,12.0,322,0.6666666666666666,0.7924528301886793,0.39375,0.39570552147239263,0.4577114427860697,20.051635111876077,0.1662921348314607,0.08991825613079019,0.17929759704251386,0.1013215859030837,0.11428571428571428,0.10344827586206896,0.14935064935064934,0.22285714285714286,0.631578947368421,0.44785276073619634,0.5205479452054794,0.6440677966101694,0.5526315789473685,0.24539877300613497,0.175,0.2413793103448276,0.6896551724137931,0.4662576687116564,0.4680361963190183,0.4791727272727273,0.1631578947368421,0.1657754010695187,7.428749999999999,0.3188118811881188,18.0,47.0,1.0,2.0,,1.0,3.0,,38.0,3.0,14.0,18.0,6.0,6.0,40.0,23.0,29.0,16.0,15.0,7.0,27.0,4.0,1.0,0.3333333333333333,0.3333333333333333,0.018404907975460124,0.46875,0.23958333333333334,0.273972602739726,0.2883435582822086,0.3829787234042553,0.391304347826087,1.0,0.012269938650306749,0.5,0.5,1.0,,0.45296125,24.03333333333333,13.0,6.0,16.0,1.0,1.0,,1.0,55.0,15.0,41.0,11.0,2.0,25.0,47.0,1.0,26.0,4.0,1.0,3.0,2.0,5.0,6.0,6.0,11.0,12.0,47.0,0.5172413793103449,0.2894736842105263,0.5172413793103449,0.275,0.5694444444444444,0.4051724137931034,0.1625,0.1917808219178082,0.09195402298850575,0.06428571428571428,0.42857142857142855,0.006134969325153374,0.65,0.23076923076923078,,0.4,0.375,0.025,0.025,0.22282608695652173,0.2554347826086957,,,,,,11.0,,,20.0,,,13.0,3.0,8.0,3.0,13.0,1.0,8.0,1.0,,,,,,0.02127659574468085,0.32,0.07894736842105263,0.14942528735632185,0.14754098360655737,0.15384615384615385,0.13043478260869565,0.041666666666666664,,,,,,,,,,,1.0,4.0,,3.0,,0.275,,,,2.0,,,,,,,True,
1495,1610612759,Tim Duncan,Tim Duncan,1495,SAS,85640.0,1427,326.0,2657,2659,831,477,320,5316,135.0,190.0,45.0,149.0,334.0,339,658,869,2505,87.0,370,308.0,83.0,248,323,107.0,430,50.0,99,32.0,96,14.0,303.0,129.0,82.0,47.0,82.0,56.0,831,0.5457227138643068,0.589171974522293,0.5151975683890577,0.5059701492537313,0.5364197530864198,30.01981505944518,0.2108843537414966,0.08829787234042553,0.21141649048625794,0.08612040133779264,0.08169014084507042,0.22784810126582278,0.19321148825065274,0.2138364779874214,0.6829268292682927,0.2835820895522388,0.7105263157894737,0.7584269662921348,0.5703703703703704,0.49850746268656715,0.44610778443113774,0.49174917491749176,0.5172413793103449,0.30149253731343284,0.4472331586826345,0.481535616438356,0.16623711340206185,0.168848167539267,8.059574468085108,0.3127587504704554,55.0,134.0,,,,,12.0,,177.0,,84.0,118.0,50.0,25.0,270.0,52.0,32.0,23.0,49.0,29.0,55.0,4.0,,,,0.01791044776119403,0.494949494949495,0.2139917695473251,0.20994475138121546,0.2,0.41044776119402987,0.4296875,0.509090909090909,,,,,,0.4448634615384614,30.141666666666666,29.0,41.0,54.0,,12.0,,7.0,191.0,50.0,125.0,94.0,7.0,85.0,273.0,10.0,49.0,34.0,23.0,11.0,9.0,13.0,10.0,10.0,34.0,33.0,273.0,0.5747126436781609,0.5310734463276836,0.5747126436781609,0.5108695652173914,0.589622641509434,0.5571428571428572,0.07446808510638298,0.06315789473684211,0.1511111111111111,0.05555555555555555,0.5369127516778524,0.01791044776119403,0.6444444444444445,0.06896551724137931,,0.29347826086956524,0.7592592592592593,,0.03804347826086957,0.14384349827387802,0.3141542002301496,,,,,,25.0,,,50.0,2.0,,20.0,4.0,23.0,18.0,9.0,9.0,20.0,2.0,,,2.0,,,0.04477611940298507,0.4107142857142857,0.03305785123966942,0.078125,0.0782122905027933,0.07792207792207792,0.22580645161290322,0.06474820143884892,,,,,,,,,,,,23.0,,,,0.09281437125748503,,,,7.0,1.0,,,,,,True,
1507,1610612759,Derek Anderson,Derek Anderson,1507,SAS,67379.0,1123,361.0,2112,2097,646,348,254,4209,56.0,100.0,14.0,12.0,40.0,117,289,447,1957,29.0,126,108.0,20.0,104,127,31.0,158,24.0,61,19.0,72,6.0,141.0,41.0,3.0,2.0,4.0,2.0,646,0.5384615384615384,0.5625,0.40484429065743943,0.4203084832904884,0.4854586129753915,21.087588210875882,0.11316648531011969,0.027247956403269755,0.10711071107110712,0.0308839190628328,0.03125,0.09583333333333334,0.08970099667774087,0.14285714285714285,0.5,0.2570694087403599,0.56,0.6292134831460674,0.5535714285714286,0.10282776349614396,0.3,0.32432432432432434,0.3888888888888889,0.5141388174807198,0.5019999999999999,0.5016693548387097,0.1011764705882353,0.12693498452012383,10.682006920415224,0.3058712121212121,49.0,149.0,14.0,30.0,1.0,31.0,100.0,7.0,91.0,78.0,98.0,139.0,50.0,23.0,319.0,15.0,53.0,34.0,37.0,12.0,33.0,13.0,0.8387096774193549,0.31,0.31958762886597936,0.2570694087403599,0.6065573770491803,0.078125,0.07801418439716312,0.38303341902313626,0.3288590604026846,0.3356164383561644,0.5102040816326531,0.07712082262210797,0.4666666666666667,0.4827586206896552,0.8571428571428571,0.027777777777777776,0.49737541666666657,25.563,5.0,20.0,37.0,10.0,70.0,6.0,22.0,120.0,9.0,31.0,35.0,32.0,55.0,146.0,67.0,17.0,41.0,25.0,16.0,25.0,,3.0,3.0,22.0,1.0,146.0,0.3103448275862069,0.38461538461538464,0.2916666666666667,0.3699186991869919,0.34615384615384615,0.4707792207792208,0.058823529411764705,0.11,0.026041666666666668,0.024475524475524476,0.5833333333333334,0.17994858611825193,0.35714285714285715,,0.16666666666666666,0.3008130081300813,0.5405405405405406,0.08130081300813008,0.17886178861788618,0.06935123042505593,0.32662192393736017,1.0,3.0,17.0,4.0,1.0,10.0,7.0,15.0,10.0,3.0,17.0,9.0,2.0,8.0,6.0,19.0,7.0,25.0,5.0,1.0,,,0.14285714285714285,0.21875,0.020134228187919462,0.16666666666666666,0.0196078431372549,0.04390243902439024,0.04827586206896552,0.03333333333333333,0.0784313725490196,0.027522935779816515,0.24285714285714285,0.2463768115942029,0.8235294117647058,1.0,1.0,0.3,0.18181818181818182,0.2537313432835821,,2.0,,7.0,16.0,,0.02,0.075,0.014285714285714285,,,,,2.0,1.0,1.0,0.03333333333333333,0.0196078431372549,True,
1498,1610612759,Antonio Daniels,Antonio Daniels,1498,SAS,35559.0,593,53.0,1108,1130,405,263,137,2238,18.0,27.0,2.0,19.0,39.0,51,97,191,1136,6.0,40,62.0,6.0,27,35,7.0,42,12.0,30,14.0,33,2.0,47.0,17.0,3.0,,5.0,3.0,405,0.39215686274509803,0.39215686274509803,0.5257731958762887,0.5678571428571428,0.593167701863354,15.194908512330946,0.05895196506550218,0.015789473684210527,0.061837455830388695,0.014492753623188406,0.02631578947368421,0.016129032258064516,0.05844155844155844,0.08888888888888889,0.6,0.19285714285714287,0.6666666666666666,0.75,0.6111111111111112,0.2785714285714286,0.48717948717948717,0.5135135135135135,0.2,0.5,0.4804989285714285,0.4873187499999999,0.11038961038961038,0.15315315315315314,9.486597938144332,0.3655234657039711,14.0,31.0,4.0,10.0,1.0,19.0,43.0,4.0,35.0,45.0,61.0,73.0,26.0,19.0,158.0,8.0,19.0,15.0,18.0,3.0,12.0,5.0,0.7894736842105263,0.4418604651162791,0.4418604651162791,0.30714285714285716,0.6,0.07407407407407407,0.0641025641025641,0.22142857142857142,0.45161290322580644,0.45161290322580644,0.2857142857142857,0.07142857142857142,0.4,0.4,1.0,0.1,0.44629130434782605,25.304651162790694,,4.0,9.0,2.0,33.0,3.0,9.0,32.0,3.0,9.0,16.0,11.0,19.0,66.0,33.0,5.0,12.0,4.0,8.0,16.0,1.0,3.0,,7.0,3.0,66.0,0.5,0.45714285714285713,0.45,0.5108695652173914,0.45,0.5689655172413793,0.05154639175257732,0.1111111111111111,0.010869565217391304,0.007352941176470588,0.2631578947368421,0.2357142857142857,,,0.3,0.1956521739130435,0.4444444444444444,0.043478260869565216,0.1956521739130435,0.04712041884816754,0.34554973821989526,,1.0,15.0,4.0,1.0,,5.0,12.0,,,15.0,1.0,,,2.0,4.0,7.0,15.0,,2.0,,,0.25,0.45454545454545453,,,,0.009708737864077669,,0.02564102564102564,0.1,0.031746031746031744,0.45454545454545453,0.45454545454545453,0.7333333333333333,,,0.5,0.4444444444444444,0.45454545454545453,1.0,,1.0,3.0,1.0,,,0.05128205128205128,,0.3333333333333333,,,,,2.0,,,,True,
