EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,SecondChanceCorner3FGA,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,Blocked2s,Blocked3s,BlockedAtRim,BlockedCorner3,BlockedShortMidRange,Blocks,RecoveredBlocks,LongMidRangePctBlocked,OffAtRimReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,PenaltyAtRimAccuracy,PenaltyCorner3FGM,DefensiveGoaltends,SecondChanceAtRimPctAssisted,PenaltyCorner3Accuracy,BlockedArc3,BlockedLongMidRange,OffCorner3ReboundPct,FTOffRebounds,3SecondViolations,Defensive 3 Seconds Violations,OffFTReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,on,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,OffensiveGoaltends
1065,1610612763,Erick Strickland,Erick Strickland,1065,VAN,11430.0,190,2.0,360,363,104,84,44,723,3.0,7.0,1.0,4.0,12.0,7.0,24,4.0,8.0,1.0,7.0,16.0,1.0,1.0,3.0,8.0,14.0,43,11.0,24.0,16.0,77,380,2.0,4.0,1.0,1.0,1.0,8.0,1.0,11.0,3.0,9.0,7.0,18.0,22.0,6.0,30.0,3.0,2.0,1.0,15.0,7.0,3.0,28.0,6.0,34.0,4.0,2.0,8.0,5.0,15.0,74.0,1.0,3.0,6.0,16.0,4.0,26.0,4.0,30.0,1.0,14.0,9.0,5.0,4.0,1.0,3.0,5.0,1.0,2.0,9.0,1.0,3.0,4.0,25,1.0,2.0,22,2.0,9.0,3.0,18.0,104,2.0,0.7857142857142857,0.8461538461538461,0.9090909090909091,0.4583333333333333,1.0,0.3333333333333333,0.4782608695652174,0.32558139534883723,0.5,0.09090909090909091,0.4552238805970149,0.7,0.275,0.5,0.6666666666666666,0.36,0.3582089552238806,0.06976744186046512,0.2857142857142857,0.08333333333333333,21.182266009852217,0.4444444444444444,0.4,0.11678832116788321,0.022058823529411766,0.23076923076923078,0.034482758620689655,0.13496932515337423,0.024242424242424242,0.024390243902439025,0.028169014084507043,0.05,0.06666666666666667,0.10869565217391304,0.14754098360655737,0.23529411764705882,0.2222222222222222,0.02631578947368421,0.1044776119402985,0.42857142857142855,0.6,0.6666666666666666,0.1791044776119403,0.3333333333333333,0.36363636363636365,0.5,0.3582089552238806,0.2916666666666667,0.2916666666666667,1.0,0.11940298507462686,0.5,0.5,1.0,0.23880597014925373,0.4375,0.4375,0.8571428571428571,0.2,1.0,1.0,0.05,0.05,0.4,0.375,0.4626865671641791,0.4666666666666667,0.4817265151515151,0.44342,0.4483605263157895,0.12162162162162163,0.18,0.1038961038961039,0.23376623376623376,13.506976744186048,25.5,0.28888888888888886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1710,1610612763,Mike Bibby,Mike Bibby,1710,VAN,38413.0,640,-72.0,1207,1213,278,263,149,2420,8.0,19.0,7.0,12.0,28.0,68.0,133,2.0,6.0,2.0,19.0,49.0,4.0,7.0,6.0,14.0,88.0,180,21.0,55.0,18.0,257,1295,7.0,12.0,4.0,8.0,1.0,27.0,14.0,32.0,6.0,16.0,9.0,55.0,90.0,86.0,57.0,6.0,4.0,,49.0,19.0,5.0,128.0,11.0,139.0,8.0,3.0,37.0,21.0,70.0,289.0,1.0,6.0,11.0,43.0,,54.0,7.0,61.0,3.0,20.0,12.0,8.0,30.0,7.0,23.0,11.0,7.0,,41.0,2.0,13.0,3.0,20,,2.0,22,,5.0,5.0,55.0,278,2.0,0.5113636363636364,0.5232558139534884,0.9047619047619048,0.38181818181818183,0.5,0.375,0.38181818181818183,0.4888888888888889,0.5833333333333334,0.4375,0.5085106382978724,0.65,0.4791666666666667,0.5204081632653061,0.65,0.5092592592592593,0.23404255319148937,0.027777777777777776,0.10526315789473684,0.07142857142857142,20.679681851048446,0.7317073170731707,,0.08921161825726141,0.011834319526627219,0.09821428571428571,0.011363636363636364,0.09090909090909091,0.011764705882352941,0.012903225806451613,0.008032128514056224,0.01694915254237288,0.11214953271028037,0.07222222222222222,0.09230769230769231,0.08235294117647059,0.14814814814814814,0.025210084033613446,0.08085106382978724,0.42105263157894735,0.47058823529411764,0.25,0.11914893617021277,0.42857142857142855,0.46153846153846156,0.16666666666666666,0.5659574468085107,0.5112781954887218,0.5151515151515151,0.6029411764705882,0.02553191489361702,0.3333333333333333,0.3333333333333333,1.0,0.20851063829787234,0.3877551020408163,0.3877551020408163,0.8947368421052632,0.35,0.5714285714285714,1.0,0.14583333333333334,0.041666666666666664,0.2916666666666667,0.42857142857142855,0.3148936170212766,0.3877551020408163,0.43654829787234034,0.465855,0.45357395833333336,0.020833333333333332,0.02702702702702703,0.10505836575875487,0.2140077821011673,15.463888888888887,25.70363636363636,0.23032311516155757,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,0.007518796992481203,0.019417475728155338,0.5,0.1,0.5,0.05,0.42857142857142855,,,,,,,,,,,,,,,,True,,,,,,,
1722,1610612763,Michael Dickerson,Michael Dickerson,1722,VAN,29939.0,499,-69.0,933,938,196,210,112,1871,14.0,27.0,9.0,11.0,31.0,34.0,83,4.0,10.0,4.0,14.0,36.0,,4.0,1.0,4.0,59.0,141,18.0,46.0,33.0,205,975,6.0,10.0,,4.0,5.0,17.0,12.0,32.0,2.0,8.0,8.0,38.0,62.0,56.0,54.0,,,,36.0,14.0,13.0,46.0,5.0,51.0,4.0,1.0,15.0,13.0,18.0,107.0,,9.0,4.0,24.0,1.0,29.0,9.0,38.0,2.0,8.0,5.0,3.0,21.0,1.0,12.0,14.0,9.0,2.0,35.0,5.0,5.0,17.0,46,,10.0,45,3.0,22.0,2.0,38.0,196,2.0,0.5254237288135594,0.5254237288135594,1.0,0.391304347826087,,0.25,0.391304347826087,0.41843971631205673,0.6,0.375,0.45989304812834225,0.42857142857142855,0.375,0.49278846153846156,0.5,0.4318181818181818,0.24598930481283424,0.09219858156028368,0.25925925925925924,0.1935483870967742,22.90292177191329,0.6,0.03225806451612903,0.0636604774535809,0.023076923076923078,0.05194805194805195,,0.06167400881057269,0.01956521739130435,0.015503875968992248,0.02197802197802198,,0.02531645569620253,0.04,0.09826589595375723,0.034482758620689655,0.10526315789473684,0.021052631578947368,0.1443850267379679,0.5185185185185185,0.7,0.5,0.1657754010695187,0.3548387096774194,0.44,0.36363636363636365,0.44385026737967914,0.40963855421686746,0.40963855421686746,0.5882352941176471,0.053475935828877004,0.4,0.4,1.0,0.1925133689839572,0.3888888888888889,0.3888888888888889,1.0,0.2857142857142857,,,0.225,0.1,0.1,0.25,0.39037433155080214,0.3888888888888889,0.45079623655913986,0.46205714285714283,0.45888974358974355,0.10679611650485436,0.1375,0.08292682926829269,0.18536585365853658,13.448226950354611,25.308695652173913,0.21007502679528403,3.0,4.0,6.0,,,,5.0,,1.0,,4.0,5.0,3.0,,0.0379746835443038,0.6,0.2857142857142857,0.75,,0.6666666666666666,1.0,2.0,0.6666666666666666,0.25,,,,,,,,,,,,True,,,,,,,
2031,1610612763,Stromile Swift,Stromile Swift,2031,VAN,15715.0,262,-56.0,480,491,126,99,64,971,21.0,36.0,10.0,7.0,27.0,2.0,8,,,,,,,,,,30.0,71,,,17.0,77,529,7.0,19.0,,,3.0,17.0,10.0,19.0,,,9.0,29.0,46.0,14.0,,,12.0,,,,11.0,3.0,3.0,6.0,2.0,1.0,,1.0,2.0,15.0,4.0,22.0,2.0,25.0,2.0,29.0,26.0,55.0,4.0,13.0,9.0,4.0,9.0,3.0,3.0,5.0,6.0,1.0,14.0,3.0,4.0,11.0,25,1.0,1.0,25,3.0,13.0,1.0,29.0,126,2.0,0.7666666666666667,0.9583333333333334,,,,,,0.4225352112676056,0.3684210526315789,0.5263157894736842,0.4225352112676056,0.3684210526315789,0.5263157894736842,0.4695121951219512,0.40476190476190477,0.58,,0.15492957746478872,0.1388888888888889,0.2222222222222222,17.32851985559567,0.6428571428571429,0.16666666666666666,0.13297872340425532,0.10526315789473684,0.06451612903225806,0.11428571428571428,0.1232876712328767,0.10655737704918032,0.16417910447761194,0.09090909090909091,0.13043478260869565,0.02631578947368421,0.11764705882352941,0.1951219512195122,0.047619047619047616,0.1,0.13333333333333333,0.5070422535211268,0.5833333333333334,0.6774193548387096,0.7142857142857143,0.38028169014084506,0.25925925925925924,0.3333333333333333,0.8571428571428571,0.11267605633802817,0.25,0.25,1.0,,,,,,,,,,,,0.5263157894736842,,,,0.5070422535211268,,0.4606591549295774,0.4973733333333333,0.47557894736842105,0.16049382716049382,0.16049382716049382,0.22077922077922077,0.37662337662337664,5.626760563380281,,0.2625,6.0,15.0,6.0,,,,16.0,1.0,6.0,,6.0,17.0,12.0,,0.046511627906976744,0.7058823529411765,0.7894736842105263,0.4,,0.6,,,,,1.0,4.0,0.08333333333333333,,,,,,,,,True,,,,,,,
763,1610612763,Tony Massenburg,Tony Massenburg,763,VAN,49139.0,819,-119.0,1534,1551,396,343,192,3085,61.0,95.0,30.0,24.0,79.0,7.0,25,,,,,,,,,,92.0,199,,,49.0,233,1632,24.0,50.0,,,13.0,61.0,24.0,54.0,,,15.0,63.0,134.0,50.0,,,34.0,,,,21.0,6.0,3.0,9.0,3.0,,2.0,1.0,3.0,21.0,13.0,60.0,18.0,104.0,13.0,135.0,75.0,210.0,5.0,10.0,7.0,3.0,22.0,2.0,2.0,26.0,20.0,3.0,48.0,7.0,11.0,73.0,122,8.0,7.0,70,8.0,37.0,2.0,63.0,396,7.0,0.7282608695652174,0.8933333333333333,,,,,,0.4623115577889447,0.48,0.4444444444444444,0.4623115577889447,0.48,0.4444444444444444,0.5065217391304347,0.5258620689655172,0.5080645161290323,,0.10552763819095477,0.1368421052631579,0.10126582278481013,15.80443433769187,0.4583333333333333,0.2765957446808511,0.16666666666666666,0.09104704097116843,0.13740458015267176,0.11926605504587157,0.16158940397350993,0.09505208333333333,0.09090909090909091,0.07861635220125786,0.13333333333333333,0.18181818181818182,0.16521739130434782,0.16030534351145037,0.15463917525773196,0.08823529411764706,0.05813953488372093,0.47738693467336685,0.6421052631578947,0.7439024390243902,0.6885245901639344,0.3969849246231156,0.3037974683544304,0.3380281690140845,0.75,0.12562814070351758,0.28,0.28,1.0,,,,,,,,,,,,0.5555555555555556,,,,0.47738693467336685,,0.4651758793969851,0.5255119047619047,0.4780370370370371,0.16228070175438597,0.16228070175438597,0.26180257510729615,0.2703862660944206,5.864321608040204,,0.258148631029987,22.0,40.0,19.0,,2.0,,27.0,1.0,7.0,1.0,19.0,28.0,13.0,,0.12121212121212122,0.4642857142857143,0.8,0.55,,0.6333333333333333,,1.0,0.22727272727272727,,,1.0,0.08823529411764706,2.0,7.0,2.0,0.05555555555555555,,,,,True,,,,,,,
3,1610612763,Grant Long,Grant Long,3,VAN,14751.0,246,-60.0,463,465,151,100,56,928,2.0,6.0,3.0,1.0,5.0,14.0,43,,1.0,,,2.0,,,,1.0,17.0,54,,3.0,15.0,49,517,1.0,5.0,,,,2.0,8.0,20.0,,1.0,11.0,27.0,28.0,6.0,,,2.0,,2.0,,,10.0,6.0,16.0,5.0,1.0,5.0,,5.0,38.0,,10.0,6.0,22.0,2.0,30.0,10.0,40.0,3.0,10.0,7.0,3.0,4.0,1.0,2.0,2.0,2.0,1.0,6.0,1.0,1.0,11.0,21,,,18,,5.0,4.0,27.0,151,2.0,0.8235294117647058,0.875,,,,,,0.3148148148148148,0.2,0.4,0.2982456140350877,0.2,0.38095238095238093,0.3712121212121212,0.2,0.5,0.05263157894736842,,,,13.559322033898306,0.6666666666666666,0.15384615384615385,0.11282051282051282,0.04950495049504951,0.13636363636363635,,0.11715481171548117,0.04291845493562232,0.044444444444444446,0.02830188679245283,,0.10869565217391304,0.17142857142857143,0.06329113924050633,0.14705882352941177,0.1,0.07692307692307693,0.10526315789473684,0.3333333333333333,0.3333333333333333,0.5,0.08771929824561403,0.2,0.2,,0.7543859649122807,0.32558139534883723,0.32558139534883723,0.9285714285714286,0.017543859649122806,,,,0.03508771929824561,,,,,,,0.14285714285714285,,0.047619047619047616,,0.15789473684210525,,0.4106710526315789,0.4554,0.3973714285714286,0.08064516129032258,0.0847457627118644,0.04081632653061224,0.5510204081632653,15.403703703703703,24.333333333333332,0.326133909287257,1.0,2.0,1.0,,,,2.0,,2.0,,,2.0,2.0,,0.09803921568627451,1.0,0.4,0.5,,0.3333333333333333,,,,,,,,,,,,,,,,True,,,,,,,
949,1610612763,Shareef Abdur-Rahim,Shareef Abdur-Rahim,949,VAN,38929.0,649,-104.0,1215,1220,282,244,151,2435,47.0,79.0,18.0,32.0,91.0,40.0,88,1.0,10.0,5.0,,4.0,,2.0,,2.0,119.0,258,1.0,14.0,89.0,330,1294,16.0,33.0,1.0,3.0,5.0,40.0,22.0,43.0,1.0,7.0,29.0,76.0,166.0,72.0,3.0,,22.0,1.0,3.0,,36.0,43.0,15.0,58.0,14.0,1.0,15.0,5.0,23.0,131.0,2.0,35.0,15.0,74.0,14.0,103.0,37.0,140.0,4.0,14.0,8.0,6.0,23.0,1.0,8.0,14.0,15.0,6.0,37.0,3.0,4.0,15.0,35,3.0,7.0,101,14.0,44.0,10.0,76.0,282,6.0,0.6974789915966386,0.7685185185185185,1.0,0.07142857142857142,0.3333333333333333,0.14285714285714285,0.07692307692307693,0.46124031007751937,0.48484848484848486,0.5116279069767442,0.4430147058823529,0.4861111111111111,0.47,0.5192307692307693,0.5263157894736842,0.5793650793650794,0.051470588235294115,0.13953488372093023,0.189873417721519,0.18681318681318682,25.089863407620417,0.6216216216216216,0.3684210526315789,0.147117296222664,0.06704980842911877,0.13761467889908258,0.024691358024691357,0.1454248366013072,0.06135986733001658,0.08670520231213873,0.05714285714285714,,0.19230769230769232,0.13917525773195877,0.13170731707317074,0.10714285714285714,0.24,0.035398230088495575,0.29044117647058826,0.5949367088607594,0.734375,0.6595744680851063,0.33455882352941174,0.3516483516483517,0.43243243243243246,0.46875,0.3235294117647059,0.45454545454545453,0.47619047619047616,0.925,0.03676470588235294,0.1,0.1,1.0,0.014705882352941176,,,,0.05555555555555555,,,0.36,0.1,0.04,,0.34191176470588236,,0.44709188191881916,0.5062983870967743,0.46991734693877557,0.1456953642384106,0.1527777777777778,0.12121212121212122,0.23030303030303031,9.841085271317827,25.935714285714283,0.23209876543209876,12.0,21.0,12.0,1.0,,7.0,17.0,1.0,5.0,,11.0,18.0,11.0,0.045454545454545456,0.057692307692307696,0.6111111111111112,0.5833333333333334,0.5714285714285714,0.027777777777777776,0.6666666666666666,1.0,2.0,0.16666666666666666,0.2,1.0,1.0,0.07692307692307693,,,,,1.0,1.0,1.0,,True,,,,,,,
1800,1610612763,Damon Jones,Damon Jones,1800,VAN,14842.0,247,-54.0,462,471,148,125,58,933,4.0,9.0,5.0,3.0,6.0,2.0,12,6.0,16.0,5.0,10.0,22.0,1.0,1.0,4.0,8.0,9.0,27,16.0,38.0,4.0,70,496,,,2.0,3.0,2.0,8.0,4.0,10.0,6.0,13.0,4.0,30.0,10.0,8.0,42.0,6.0,,,22.0,10.0,2.0,40.0,5.0,45.0,2.0,3.0,15.0,6.0,19.0,95.0,1.0,2.0,9.0,12.0,,21.0,3.0,24.0,,6.0,5.0,1.0,8.0,5.0,6.0,5.0,2.0,,13.0,1.0,6.0,1.0,7,,,6,,,3.0,30.0,148,1.0,0.5555555555555556,0.5555555555555556,0.875,0.42105263157894735,0.6666666666666666,0.46153846153846156,0.42105263157894735,0.3333333333333333,,0.4,0.5076923076923077,1.0,0.5652173913043478,0.5147058823529411,1.0,0.5769230769230769,0.5846153846153846,0.07407407407407407,0.1111111111111111,,15.225563909774435,0.6153846153846154,,0.06282722513089005,0.009900990099009901,0.19148936170212766,0.02631578947368421,0.08823529411764706,0.0125,,,0.043478260869565216,0.05555555555555555,0.06578947368421052,0.06329113924050633,0.17647058823529413,0.23076923076923078,,0.13846153846153847,0.4444444444444444,0.5,0.25,0.09230769230769231,0.5,0.5,0.6666666666666666,0.18461538461538463,0.16666666666666666,0.18181818181818182,1.0,0.24615384615384617,0.375,0.375,1.0,0.3384615384615385,0.45454545454545453,0.45454545454545453,0.8,0.3333333333333333,1.0,,0.21739130434782608,0.21739130434782608,0.34782608695652173,0.5,0.7230769230769231,0.45454545454545453,0.5129669230769232,0.50985,0.4903869565217392,,,0.11428571428571428,0.42857142857142855,10.244444444444445,24.53157894736842,0.3203463203463203,,,2.0,2.0,,,,,,,,,,0.08333333333333333,0.04878048780487805,,,,0.6666666666666666,0.4,2.0,,,0.4,,,,,,,,1.0,0.5,1.0,1.0,True,,,,,,,
236,1610612763,Kevin Edwards,Kevin Edwards,236,VAN,6330.0,106,-42.0,206,212,69,74,24,418,,3.0,2.0,1.0,4.0,6.0,17,2.0,2.0,2.0,1.0,1.0,,,1.0,1.0,7.0,24,3.0,3.0,5.0,28,222,,2.0,,,,,1.0,7.0,3.0,3.0,2.0,13.0,10.0,4.0,9.0,,,,1.0,1.0,1.0,4.0,2.0,6.0,1.0,1.0,,1.0,3.0,14.0,,2.0,3.0,5.0,,8.0,2.0,10.0,,4.0,1.0,3.0,4.0,,3.0,2.0,1.0,1.0,6.0,,1.0,5.0,7,,1.0,6,,2.0,1.0,13.0,69,,0.7142857142857143,0.7142857142857143,1.0,1.0,,1.0,1.0,0.2916666666666667,,0.14285714285714285,0.42592592592592593,,0.55,0.4666666666666667,,0.5909090909090909,0.1111111111111111,0.041666666666666664,,0.25,15.254237288135593,0.6666666666666666,,0.056818181818181816,0.022222222222222223,0.21428571428571427,,0.0784313725490196,0.019801980198019802,,0.043478260869565216,,0.045454545454545456,0.08333333333333333,0.03333333333333333,0.2222222222222222,0.2,,0.1111111111111111,,,,0.14814814814814814,0.25,0.3333333333333333,,0.6296296296296297,0.35294117647058826,0.35294117647058826,0.8333333333333334,0.07407407407407407,1.0,1.0,1.0,0.037037037037037035,1.0,1.0,1.0,,,,0.2,0.2,0.1,1.0,0.2222222222222222,1.0,0.39489259259259246,0.3429,0.41781000000000007,0.06896551724137931,0.07692307692307693,,0.4642857142857143,15.15,23.366666666666664,0.33495145631067963,,,,,,,3.0,,2.0,,1.0,3.0,1.0,,,0.3333333333333333,,,,,2.0,,,1.0,,,,,,,,,,,,True,,,,,,,
51,1610612763,Mahmoud Abdul-Rauf,Mahmoud Abdul-Rauf,51,VAN,10882.0,181,-5.0,324,338,94,68,50,662,1.0,3.0,1.0,3.0,9.0,43.0,77,,,,2.0,3.0,,,,1.0,47.0,89,2.0,3.0,6.0,106,348,7.0,9.0,,,,14.0,10.0,20.0,,1.0,1.0,21.0,56.0,38.0,3.0,3.0,2.0,,3.0,2.0,2.0,24.0,7.0,31.0,3.0,4.0,7.0,6.0,11.0,69.0,,2.0,,5.0,,5.0,2.0,7.0,,2.0,2.0,,3.0,4.0,2.0,5.0,1.0,,8.0,,,6.0,12,,,7,,2.0,1.0,21.0,94,2.0,0.5957446808510638,0.6086956521739131,0.5,0.6666666666666666,,,0.6666666666666666,0.5280898876404494,0.7777777777777778,0.5,0.5434782608695652,0.7777777777777778,0.47619047619047616,0.5526315789473685,0.7777777777777778,0.4772727272727273,0.03260869565217391,0.02247191011235955,,,26.89295039164491,0.375,,0.03676470588235294,0.012738853503184714,,,0.032467532467532464,0.011494252873563218,,0.02702702702702703,,0.034482758620689655,,0.06557377049180328,,,,0.03260869565217391,0.3333333333333333,0.3333333333333333,1.0,0.09782608695652174,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8369565217391305,0.5584415584415584,0.5733333333333334,0.6046511627906976,,,,,0.03260869565217391,0.6666666666666666,0.6666666666666666,0.5,,,,0.047619047619047616,,0.047619047619047616,,0.06521739130434782,0.6666666666666666,0.3991815217391304,0.3995222222222222,0.39747619047619054,0.02127659574468085,0.02197802197802198,0.1320754716981132,0.19811320754716982,17.306741573033705,25.7,0.29012345679012347,,,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,0.025974025974025976,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,True,,,,,,,
