EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,OffTwoPtRebounds,SelfOReb,ShootingFouls,OffTwoPtReboundPct,OffAtRimReboundPct,SelfORebPct,LongMidRangePctAssisted,ShortMidRangeFGM,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3M,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,ThreePtAssists,Arc3Assists,LongMidRangeAssists,FTDefRebounds,LostBallSteals,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,FG2APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,DefFTReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,HeaveAttempts,OffLongMidRangeReboundPct,FtPoints,SecondChanceFG2M,SecondChanceFG2A,PenaltyFtPoints,DeadBallTurnovers,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,SecondChanceFg2Pct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,NonShootingFoulsDrawn,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PtsPutbacks,ShortMidRangePctBlocked,PenaltyCorner3FGA,DefThreePtRebounds,2pt And 1 Free Throw Trips,3SecondViolations,DefThreePtReboundPct,DefCorner3ReboundPct,PenaltyCorner3Frequency,on,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceFtPoints,Corner3Assists,ShortMidRangeAssists,FTOffRebounds,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Travels,Clear Path Fouls,Loose Ball Fouls,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,DefensiveGoaltends,AtRimPctBlocked,OffFTReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,Defensive 3 Seconds Violations,Corner3PctBlocked
120,1610612757,Steven Smith,Steven Smith,120,POR,1153.0,19,-4.0,42,45,19,31,5.0,87,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,2.0,8.0,39,1.0,2.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,19,1.0,0.5,0.5,0.8,1.0,0.5714285714285714,1.0,0.5714285714285714,1.0,0.2857142857142857,19.148936170212767,1.0,0.05555555555555555,0.14285714285714285,0.05263157894736842,0.045454545454545456,0.25,0.3333333333333333,1.0,0.42857142857142855,1.0,1.0,0.6666666666666666,0.14285714285714285,0.14285714285714285,1.0,1.0,0.2857142857142857,1.0,0.5,1.0,0.7142857142857143,0.5884642857142858,0.63195,0.62365,0.5,4.9,23.1,0.4523809523809524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,1610612757,Antonio Harvey,Antonio Harvey,176,POR,322.0,5,-2.0,11,12,10,11,2.0,23,,1.0,,1.0,1.0,1.0,1.0,,,1.0,3.0,,2.0,10,,1.0,3.0,2.0,2.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,2.0,10,,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,23.076923076923077,,,,,0.2,,,,0.3333333333333333,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,,,0.3333333333333333,,0.3333333333333333,0.433,,0.433,1.0,10.566666666666666,,0.9090909090909091,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2057,1610612757,Erick Barkley,Erick Barkley,2057,POR,2241.0,37,-10.0,80,86,50,56,10.0,166,3.0,6.0,3.0,6.0,1.0,1.0,7.0,1.0,1.0,5.0,14.0,8.0,19.0,86,2.0,5.0,11.0,19.0,4.0,6.0,4.0,6.0,2.0,14.0,,2.0,3.0,,3.0,2.0,1.0,5.0,2.0,3.0,5.0,,2.0,2.0,,,,,19.0,50,,0.4,0.4,0.35714285714285715,0.45454545454545453,0.4318181818181818,0.5588235294117647,0.4318181818181818,0.5588235294117647,0.36363636363636365,30.0,1.0,0.06451612903225806,,0.06060606060606061,,,,,0.2727272727272727,0.5,0.5,0.6666666666666666,0.045454545454545456,0.3181818181818182,0.14285714285714285,0.16666666666666666,0.045454545454545456,0.5,0.35294117647058826,0.5,0.6363636363636364,0.515909090909091,0.5535,0.5353205882352942,1.0,11.228571428571428,24.6,0.625,,,,,,,,1.0,3.0,7.0,1.0,1.0,3.0,6.0,3.0,1.0,3.0,3.0,6.0,6.0,3.0,7.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.6666666666666666,0.375,0.5,0.5,0.375,0.75,0.75,0.125,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.2,0.09090909090909091,0.058823529411764705,1.0,1.0,0.3181818181818182,0.42857142857142855,0.5,0.6666666666666666,0.5,1.0,1.0,0.35294117647058826,0.5,0.42857142857142855,0.15789473684210525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,1610612757,Stacey Augmon,Stacey Augmon,278,POR,854.0,14,-12.0,30,32,12,24,3.0,62,,,,,,3.0,3.0,,,3.0,3.0,2.0,6.0,33,,1.0,1.0,2.0,6.0,,1.0,3.0,1.0,8.0,,1.0,1.0,1.0,2.0,,,1.0,,1.0,1.0,,1.0,1.0,,,,,2.0,12,,1.0,1.0,1.0,1.0,0.6,0.5,0.6,0.5,0.4,18.18181818181818,1.0,0.07692307692307693,,0.07142857142857142,0.06666666666666667,,,,,,,,,0.6,1.0,1.0,,,,,0.4,0.388425,,0.2804,0.3333333333333333,19.8,33.35,0.4,1.0,,1.0,0.1,,,1.0,,,2.0,,,,1.0,,,,,1.0,,,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,0.16666666666666666,,,0.4,,,,,,,0.5,,,,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,1610612757,Shawn Kemp,Shawn Kemp,431,POR,1528.0,25,-5.0,53,58,39,33,7.0,111,,,,,,4.0,7.0,,,4.0,7.0,,10.0,58,,2.0,2.0,6.0,4.0,4.0,1.0,2.0,,5.0,,7.0,8.0,1.0,9.0,3.0,1.0,2.0,2.0,,3.0,1.0,3.0,6.0,2.0,2.0,2.0,1.0,6.0,39,,0.5,0.5,0.5714285714285714,1.0,0.5714285714285714,1.0,0.625,1.0,,18.333333333333336,0.6666666666666666,0.3333333333333333,,0.3181818181818182,0.045454545454545456,,,0.5,,,,,,1.0,0.5714285714285714,0.5714285714285714,,,,,,0.3681857142857143,0.35895,0.32430000000000003,0.6,20.014285714285712,,0.7358490566037735,1.0,,3.0,0.0625,,,0.5,,,,,,,,,,4.0,,,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,1.0,1.0,,,,,1.0,0.3333333333333333,0.36363636363636365,,,,,,,,,,,,,0.4,,0.1,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.125,0.125,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1610612757,Greg Anthony,Greg Anthony,21,POR,941.0,16,,34,37,29,21,4.0,71,,,,,,,1.0,,,,1.0,5.0,12.0,41,,,,12.0,,,1.0,1.0,,2.0,,,,,,,,,,,,,,1.0,,,,,12.0,29,,,,,,1.0,1.2,1.0,1.2,0.8333333333333334,15.789473684210526,,,,,,,,,,,,,,0.16666666666666666,,,,,,,0.8333333333333334,0.4960666666666666,,0.5212199999999999,1.0,19.9,24.56,0.8529411764705882,,,1.0,,,,,,4.0,5.0,,,4.0,5.0,4.0,,,4.0,5.0,9.0,3.0,5.0,4.0,,,,,1.0,,,0.75,0.8,,0.8,0.8,,,,,,,,,,,,0.8333333333333334,0.8,0.8,0.75,,,,1.0,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1610612757,Detlef Schrempf,Detlef Schrempf,96,POR,1051.0,18,-3.0,38,40,15,28,4.0,78,1.0,2.0,,,1.0,,3.0,,,1.0,6.0,,3.0,36,,,2.0,1.0,,2.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,6.0,,,2.0,2.0,,2.0,,1.0,1.0,,,,,1.0,15,,,,0.16666666666666666,,0.16666666666666666,,0.21428571428571427,0.16666666666666666,,21.42857142857143,1.0,0.1875,0.16666666666666666,0.17647058823529413,0.05,0.3333333333333333,,,0.3333333333333333,0.5,0.5,,0.16666666666666666,0.5,,,,,,,0.3333333333333333,0.5079166666666667,,0.39705,0.3333333333333333,9.366666666666667,,0.39473684210526316,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.6666666666666666,,0.3,,,,,,,,,,,,,,,,1.0,,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,1610612757,Rasheed Wallace,Rasheed Wallace,739,POR,75.0,1,-3.0,2,3,1,2,,5,,,,,,,1.0,,,,1.0,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,50.0,,,,,,,,,,,,,,1.0,,,,,,,,0.384,,,,17.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,1610612757,Dale Davis,Dale Davis,905,POR,700.0,12,2.0,26,28,7,18,5.0,54,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,4.0,23,,1.0,1.0,2.0,2.0,,,,,,,1.0,2.0,,2.0,,,,,,1.0,,,1.0,,,,,2.0,7,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9.67741935483871,,0.09090909090909091,,0.07692307692307693,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,0.6138,0.6138,0.6138,0.5,,,0.2692307692307692,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,0.25,,0.14285714285714285,,,,,,,,,,,,,0.5,,,2.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,0.5,0.5,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,1610612757,Will Perdue,Will Perdue,781,POR,1175.0,20,-10.0,43,44,34,27,4.0,87,2.0,2.0,2.0,2.0,1.0,,,,,2.0,3.0,,4.0,49,,2.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,,2.0,2.0,2.0,4.0,,,,,,,,,,1.0,1.0,1.0,1.0,4.0,34,,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,,6.382978723404256,,0.13333333333333333,,0.13333333333333333,0.11764705882352941,,,1.0,0.6666666666666666,1.0,1.0,0.5,0.3333333333333333,,,,,,0.6666666666666666,1.0,0.6666666666666666,0.4603,0.56,0.4603,1.0,1.5333333333333332,,0.7906976744186046,2.0,,,0.18181818181818182,0.3333333333333333,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,0.3333333333333333,,,,,0.25,,,,,,,,,,,,,0.5,,0.2,,1.0,1.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,2.0,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
