EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,TwoPtAssists,Assists,AtRimAssists,AssistPoints,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,ShortMidRangeFGM,ShortMidRangeFGA,ThreePtAssists,Arc3Assists,Corner3Assists,FTDefRebounds,LostBallTurnovers,SecondChanceTurnovers,NonShootingFoulsDrawn,BlockedShortMidRange,RecoveredBlocks,3SecondViolations,ShortMidRangePctBlocked,DefFTReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3FGM,PenaltyArc3FGM,PenaltyFG3M,NonHeaveArc3FGM,PenaltyFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,HeaveAttempts,Fg3aBlocked,LostBallSteals,BadPassOutOfBoundsTurnovers,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Loose Ball Fouls,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,BlockedLongMidRange,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,FTOffRebounds,Technical Free Throw Trips,OffFTReboundPct,on,LostBallOutOfBoundsTurnovers,Defensive 3 Seconds Violations,OffCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Blocked3s,BlockedArc3,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffensiveGoaltends,Clear Path Fouls,BlockedCorner3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct
1500,1610612741,Ron Mercer,Ron Mercer,1500,CHI,111.0,2,-3,4,4,4,4,8,10,1.0,1,1.0,2,4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
1864,1610612741,Steve Goodrich,Steve Goodrich,1864,CHI,7910.0,132,-10,232,236,89,93,468,240,6.0,6,,12,89,0.38362068965517243,37.0,5.0,11.0,2.0,4.0,3.0,5.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,6.0,15.0,1.0,3.0,4.0,19.0,2.0,4.0,1.0,2.0,6.0,3.0,5.0,2.0,1.0,7.0,8.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,6.0,3.0,11.0,14.0,7.0,21.0,1.0,2.0,2.0,3.0,3.0,5.0,1.0,8.0,3.0,4.0,14.0,2.0,7.0,1.0,4.0,1.0,1.0,1.0,1.0,7.0,4.0,0.6666666666666666,0.8,1.0,0.3333333333333333,0.3333333333333333,0.4,0.5,0.6,0.4166666666666667,0.4,0.42857142857142855,0.4523809523809524,0.5,0.4375,0.16666666666666666,0.06666666666666667,0.09090909090909091,10.469314079422382,0.375,0.12941176470588237,0.06976744186046512,0.13043478260869565,0.041666666666666664,0.12962962962962962,0.06363636363636363,0.03571428571428571,0.03571428571428571,0.13333333333333333,0.041666666666666664,0.18181818181818182,0.12,0.10526315789473684,0.125,0.14285714285714285,0.1,0.6111111111111112,0.45454545454545453,0.5,0.6,0.2222222222222222,0.25,0.25,1.0,0.05555555555555555,1.0,1.0,1.0,0.1111111111111111,0.8,0.5,0.2,0.7142857142857143,0.6,0.2857142857142857,0.7777777777777778,0.5397194444444444,0.55479,0.5808785714285715,0.19047619047619047,0.2222222222222222,0.3157894736842105,0.3684210526315789,5.1466666666666665,24.466666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
1882,1610612741,Elton Brand,Elton Brand,1882,CHI,5310.0,88,-12,151,158,62,68,309,172,7.0,10,1.0,23,62,0.4105960264900662,27.0,4.0,7.0,2.0,2.0,1.0,2.0,6.0,14.0,,,,,,17.0,42.0,,,7.0,41.0,2.0,4.0,,,4.0,10.0,22.0,,5.0,25.0,18.0,16.0,,4.0,,3.0,2.0,4.0,2.0,7.0,3.0,10.0,14.0,9.0,23.0,2.0,2.0,2.0,3.0,1.0,4.0,1.0,7.0,1.0,2.0,5.0,,8.0,,1.0,4.0,3.0,4.0,,25.0,,0.5294117647058824,0.6,,,,0.40476190476190477,0.5,0.45454545454545453,0.40476190476190477,0.5,0.45454545454545453,0.44565217391304346,0.5,0.5,,0.07142857142857142,0.14285714285714285,28.648648648648646,0.42857142857142855,0.18518518518518517,0.1206896551724138,0.2,0.14285714285714285,0.18840579710144928,0.125,0.14285714285714285,,0.19230769230769232,0.14285714285714285,0.26666666666666666,0.11764705882352941,0.18181818181818182,0.16666666666666666,0.3333333333333333,0.09523809523809523,0.16666666666666666,0.5714285714285714,0.6666666666666666,0.5,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.8333333333333334,,,,,,0.5,1.0,,0.09090909090909091,0.5,,0.16666666666666666,0.41210714285714284,0.5559499999999999,0.3827090909090909,0.023255813953488372,0.023255813953488372,0.0975609756097561,0.6097560975609756,10.361904761904762,,7.0,21.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,0.09523809523809523,0.2,0.75,0.5,0.3333333333333333,0.3684210526315789,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
2033,1610612741,Marcus Fizer,Marcus Fizer,2033,CHI,3861.0,64,-3,112,113,35,36,225,115,2.0,3,,7,35,0.3125,15.0,4.0,10.0,2.0,4.0,1.0,3.0,2.0,6.0,,,4.0,,4.0,10.0,24.0,1.0,4.0,8.0,31.0,3.0,8.0,,,6.0,1.0,4.0,4.0,,5.0,10.0,10.0,3.0,4.0,4.0,3.0,2.0,,1.0,4.0,1.0,9.0,12.0,5.0,17.0,2.0,1.0,1.0,2.0,2.0,2.0,,4.0,,5.0,10.0,2.0,11.0,1.0,5.0,,,,,5.0,,0.5,0.625,1.0,0.25,0.25,0.4166666666666667,0.375,0.25,0.4107142857142857,0.375,0.3125,0.4696969696969697,0.3333333333333333,0.2777777777777778,0.14285714285714285,0.125,0.2,28.030303030303028,0.5,0.1875,0.09302325581395349,0.1111111111111111,0.09090909090909091,0.17543859649122806,0.09259259259259259,0.17647058823529413,,0.09090909090909091,0.09090909090909091,0.11764705882352941,0.46153846153846156,0.05555555555555555,,0.25,0.15384615384615385,0.35714285714285715,0.4,0.5,0.25,0.21428571428571427,0.3333333333333333,0.3333333333333333,,,,,,0.14285714285714285,0.5,0.5,,0.375,0.3333333333333333,0.5,0.5,0.44650535714285716,0.4971166666666667,0.46965625,0.15625,0.17857142857142858,0.1935483870967742,0.16129032258064516,7.433333333333333,25.375,4.0,8.0,1.0,1.0,,2.0,,1.0,1.0,,,,0.125,0.4,,0.2857142857142857,0.5,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,1.0,0.5,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
2037,1610612741,Jamal Crawford,Jamal Crawford,2037,CHI,2673.0,45,-11,84,87,36,47,171,83,5.0,5,2.0,10,36,0.42857142857142855,13.0,1.0,2.0,,,1.0,2.0,2.0,5.0,,,12.0,1.0,6.0,4.0,11.0,2.0,12.0,,14.0,2.0,3.0,1.0,,4.0,3.0,7.0,6.0,,12.0,2.0,6.0,6.0,2.0,11.0,1.0,1.0,2.0,,3.0,4.0,1.0,5.0,3.0,8.0,,7.0,5.0,7.0,3.0,1.0,,8.0,4.0,1.0,1.0,,,,,,,,,12.0,,0.25,0.3333333333333333,1.0,0.16666666666666666,0.18181818181818182,0.36363636363636365,0.6666666666666666,0.42857142857142855,0.30434782608695654,0.5,0.46153846153846156,0.30434782608695654,0.5,0.46153846153846156,0.5217391304347826,0.09090909090909091,,31.0,0.875,0.043478260869565216,0.08333333333333333,0.3333333333333333,,0.14285714285714285,0.06382978723404255,0.06666666666666667,0.1111111111111111,0.08333333333333333,,,,0.09090909090909091,0.25,0.5,,0.08695652173913043,0.5,0.5,1.0,0.21739130434782608,0.4,0.5,,,,,,0.5217391304347826,,,0.25,0.15384615384615385,0.5,0.46153846153846156,0.6086956521739131,0.4558727272727273,0.404675,0.46426666666666666,,,0.2857142857142857,0.8571428571428571,11.08181818181818,29.033333333333335,1.0,4.0,,,,,4.0,,,,,,,,,0.17391304347826086,0.25,0.25,,2.0,2.0,2.0,2.0,0.3333333333333333,0.16666666666666666,0.18181818181818182,1.0,,0.3333333333333333,0.18181818181818182,1.0,1.0,2.0,1.0,0.08333333333333333,0.2,0.08333333333333333,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
1736,1610612741,Corey Benjamin,Corey Benjamin,1736,CHI,1637.0,27,5,46,45,12,8,91,44,,1,,3,12,0.2608695652173913,3.0,1.0,3.0,,,,,2.0,3.0,,,3.0,,1.0,6.0,9.0,1.0,3.0,1.0,16.0,1.0,1.0,,,2.0,,,1.0,,,8.0,4.0,3.0,,3.0,,,,,,1.0,1.0,2.0,,2.0,,,,,,1.0,,1.0,,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,,0.625,1.0,,0.6666666666666666,1.0,,0.25,,,26.53061224489796,,0.05,,0.25,,0.08333333333333333,,,,,,0.2,,,0.3333333333333333,,,0.25,0.3333333333333333,0.3333333333333333,,0.25,0.6666666666666666,0.6666666666666666,1.0,,,,,0.25,,,,,,1.0,0.5,0.4684,0.3662,0.5775,0.08333333333333333,0.1111111111111111,0.125,,9.466666666666667,25.266666666666666,3.0,3.0,1.0,1.0,,,,,,,1.0,,,,1.0,0.25,1.0,1.0,0.6666666666666666,1.0,,,1.0,,0.3333333333333333,0.3333333333333333,1.0,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
1802,1610612741,Brad Miller,Brad Miller,1802,CHI,2660.0,44,-2,81,78,37,25,159,83,3.0,4,2.0,9,37,0.4567901234567901,11.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,5.0,10.0,,,11.0,21.0,2.0,2.0,,4.0,8.0,2.0,4.0,,7.0,11.0,4.0,6.0,,2.0,,3.0,,1.0,2.0,1.0,,3.0,5.0,3.0,8.0,,,,,,2.0,1.0,2.0,,2.0,7.0,,14.0,,5.0,1.0,1.0,1.0,,11.0,2.0,0.4,0.5,,,,0.5,1.0,0.5,0.5,1.0,0.5,0.6176470588235294,1.0,0.6111111111111112,,0.3,0.25,20.0,,0.125,0.034482758620689655,,0.2857142857142857,0.09090909090909091,0.08333333333333333,,0.08333333333333333,,0.2857142857142857,0.4,,0.1,,,,0.4,0.75,1.0,,0.2,0.5,0.5,1.0,,,,,,0.5,1.0,,0.25,1.0,,0.4,0.44257,0.3549,0.441675,0.3333333333333333,0.3333333333333333,0.38095238095238093,0.5238095238095238,6.69,,1.0,4.0,1.0,1.0,,2.0,,,2.0,,,,0.5,0.4,,0.4,0.25,0.5,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
2062,1610612741,A.J. Guyton,A.J. Guyton,2062,CHI,5888.0,98,2,166,170,48,59,336,164,4.0,6,1.0,14,48,0.2891566265060241,28.0,4.0,6.0,1.0,1.0,3.0,3.0,7.0,15.0,1.0,1.0,12.0,1.0,3.0,13.0,24.0,8.0,13.0,3.0,53.0,3.0,5.0,1.0,1.0,10.0,7.0,9.0,4.0,1.0,24.0,10.0,16.0,15.0,,12.0,1.0,2.0,1.0,,2.0,1.0,6.0,7.0,2.0,9.0,1.0,,,3.0,3.0,1.0,,4.0,1.0,,3.0,,4.0,,1.0,1.0,,1.0,,24.0,1.0,0.38461538461538464,0.38461538461538464,0.625,0.6153846153846154,0.6153846153846154,0.5416666666666666,0.6,0.7777777777777778,0.6756756756756757,0.75,0.8846153846153846,0.6794871794871795,0.7142857142857143,0.8571428571428571,0.35135135135135137,0.041666666666666664,0.16666666666666666,21.5,0.75,0.08571428571428572,0.031746031746031744,0.0625,,0.08139534883720931,0.025,,0.05,0.05,,0.058823529411764705,0.047619047619047616,0.125,0.07142857142857142,,0.07692307692307693,0.16216216216216217,0.6666666666666666,0.8,,0.40540540540540543,0.4666666666666667,0.4666666666666667,0.5714285714285714,0.02702702702702703,1.0,1.0,1.0,0.32432432432432434,0.16666666666666666,1.0,0.16666666666666666,0.23076923076923078,1.0,0.23076923076923078,0.5135135135135135,0.46757027027027026,0.4155333333333333,0.4648538461538462,0.02631578947368421,0.04,0.18867924528301888,0.4528301886792453,12.9,25.46153846153846,2.0,3.0,2.0,2.0,,,,1.0,1.0,,1.0,,,,1.0,0.08108108108108109,0.6666666666666666,0.6666666666666666,0.5,7.0,2.0,3.0,7.0,0.75,0.5833333333333334,0.5833333333333334,0.5714285714285714,,0.6666666666666666,0.5833333333333334,,,,,,,,,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,0.07692307692307693,1.0,,,,True,,,,,,,,,,,,,,,
1897,1610612741,Metta World Peace,Metta World Peace,1897,CHI,1885.0,31,-9,51,54,17,16,105,58,2.0,2,1.0,4,17,0.3333333333333333,11.0,1.0,2.0,,1.0,,,2.0,5.0,,,1.0,1.0,,5.0,10.0,,1.0,1.0,11.0,,1.0,1.0,,,,2.0,,,,2.0,8.0,,,1.0,,,1.0,,1.0,,2.0,2.0,1.0,3.0,,1.0,1.0,2.0,1.0,,,2.0,1.0,,4.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,0.2,0.2,,,,0.5,,,0.45454545454545453,,,0.5,,,0.09090909090909091,,,19.402985074626866,1.0,0.10526315789473684,0.038461538461538464,,,0.08,0.034482758620689655,0.1111111111111111,,,,,0.25,0.1,,,,0.18181818181818182,0.5,0.5,1.0,0.45454545454545453,0.4,0.4,,,,,,0.09090909090909091,0.5,,0.5,,,,0.2727272727272727,0.42145454545454547,0.61575,0.27615,0.09090909090909091,0.1,,,12.190000000000001,25.1,2.0,3.0,,,,,1.0,,,1.0,,,,,,0.2727272727272727,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
697,1610612741,Fred Hoiberg,Fred Hoiberg,697,CHI,4939.0,82,6,148,148,66,60,296,151,3.0,4,,9,66,0.44594594594594594,27.0,2.0,3.0,,,,,3.0,4.0,,,6.0,,2.0,5.0,8.0,,6.0,8.0,18.0,,,,2.0,2.0,3.0,4.0,2.0,3.0,9.0,6.0,4.0,,,6.0,2.0,1.0,2.0,,,2.0,7.0,11.0,1.0,12.0,,5.0,3.0,2.0,2.0,,,2.0,1.0,2.0,2.0,,10.0,1.0,4.0,,,,,9.0,,0.6,0.6,,,,0.625,,0.75,0.35714285714285715,,0.5,0.4722222222222222,1.0,0.5714285714285714,0.42857142857142855,0.25,0.3333333333333333,11.299435028248588,1.0,0.14285714285714285,,0.14285714285714285,,0.14285714285714285,,,,,,0.06666666666666667,0.2,0.15789473684210525,0.1111111111111111,0.2,,0.21428571428571427,0.6666666666666666,1.0,0.5,0.2857142857142857,0.75,0.75,0.6666666666666666,,,,,0.42857142857142855,,,,,,0.3333333333333333,0.6428571428571429,0.484075,,0.4542416666666667,0.23529411764705882,0.36363636363636365,0.1111111111111111,0.5,11.0875,25.71666666666667,,1.0,1.0,,1.0,2.0,,,1.0,,,,1.0,0.2857142857142857,,0.07142857142857142,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,0.2,True,,,,,,,,,,,,,,,
