EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceFG2A,ShortMidRangeAssists,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,HeaveAttempts,ThreePtAssists,Arc3Assists,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,BlockedLongMidRange,DefensiveGoaltends,OffensiveGoaltends,Defensive 3 Seconds Violations,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,SecondChancePointsPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,Clear Path Fouls,OffCorner3ReboundPct,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Blocked3s,BlockedArc3,on,Arc3PctBlocked,BlockedCorner3,3pt And 1 Free Throw Trips
103,1610612750,Todd Day,Todd Day,103,MIN,3989.0,66,-35,134,137,35.0,65,11,271,4.0,7.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,11.0,1.0,3.0,6.0,11,5.0,14.0,3.0,30.0,139,1.0,2.0,5.0,3.0,1.0,5.0,8.0,4.0,12.0,3.0,11.0,3.0,1.0,2.0,2.0,2.0,4.0,6.0,6.0,6.0,4.0,2.0,2.0,5.0,1.0,5.0,4.0,9.0,1.0,6,14,1.0,2.0,4.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,5.0,35.0,1.0,0.6666666666666666,0.6666666666666666,0.8,0.35714285714285715,0.35714285714285715,0.5454545454545454,0.4,0.54,0.25,0.5555555555555556,0.2777777777777778,0.56,0.09090909090909091,0.14285714285714285,24.82758620689655,0.5555555555555556,0.10526315789473684,0.09375,0.10526315789473684,0.125,0.09090909090909091,0.6666666666666666,0.28,0.5714285714285714,0.6666666666666666,0.5,0.04,1.0,1.0,1.0,0.12,0.3333333333333333,0.3333333333333333,1.0,0.12,0.6666666666666666,0.6666666666666666,1.0,0.44,0.2727272727272727,0.2727272727272727,0.6666666666666666,1.0,0.25,0.375,0.84,0.2727272727272727,0.578952,0.52215,0.50620625,0.07407407407407407,0.15384615384615385,0.16666666666666666,6.381818181818182,24.671428571428574,0.26119402985074625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1051,1610612750,Dean Garrett,Dean Garrett,1051,MIN,469.0,8,-9,18,19,,19,1,37,,,,,1.0,,2.0,,,,,,,,3,,,,,24,,,,,,,,,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,1,2,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,0.3333333333333333,,,,0.6666666666666666,,,,,,,,,,,,,,,,,0.37043333333333334,0.3893,,,,,12.799999999999999,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1725,1610612750,Rasho Nesterovic,Rasho Nesterovic,1725,MIN,74369.0,1239,2,2399,2388,427.0,611,289,4787,61.0,104.0,10.0,72.0,173.0,14.0,41.0,,,,1.0,,1.0,147.0,318,,1.0,34.0,328.0,2409,,18.0,37.0,1.0,8.0,44.0,192.0,102.0,,,,,27.0,35.0,45.0,8.0,100.0,143.0,187.0,286.0,25.0,20.0,5.0,24.0,1.0,10.0,31.0,55.0,10.0,112,189,21.0,8.0,65.0,28.0,63.0,34.0,28.0,63.0,36.0,7.0,44.0,427.0,17.0,0.6530612244897959,0.8205128205128205,,,,0.46226415094339623,0.4864864864864865,0.4608150470219436,0.47368421052631576,0.4699140401146132,0.4782608695652174,0.003134796238244514,0.08490566037735849,0.057692307692307696,14.728399562522785,0.43636363636363634,0.14973821989528796,0.14614703277236493,0.1532567049808429,0.15705128205128205,0.14136125654450263,0.5714285714285714,0.32601880877742945,0.5865384615384616,0.6224489795918368,0.4918032786885246,0.542319749216301,0.4161849710982659,0.47058823529411764,0.7361111111111112,0.12852664576802508,0.34146341463414637,0.35,0.9285714285714286,,,,,0.003134796238244514,,,,,0.2631578947368421,0.02631578947368421,0.329153605015674,,0.44315597484276725,0.5098523076923077,0.43078918918918924,0.08187134502923976,0.08211143695014662,0.13414634146341464,6.540880503144654,40.1,0.17799082951229678,69.0,4.0,28.0,48.0,7.0,35.0,1.0,71.0,60.0,1.0,10.0,6.0,4.0,23.0,4.0,92.0,3.0,22.0,22.0,99.0,10.0,2.0,14.0,8.0,8.0,5.0,7.0,1.0,1.0,2.0,3.0,0.5072463768115942,0.5072463768115942,0.5071428571428571,0.11560693641618497,0.024390243902439025,0.28205128205128205,0.06976744186046512,0.09019607843137255,0.12643678160919541,0.025477707006369428,0.08156329651656755,0.13636363636363635,0.10089020771513353,0.06047516198704104,0.03571428571428571,0.15441176470588236,0.02631578947368421,0.06944444444444445,0.6956521739130435,0.5833333333333334,0.03571428571428571,0.7,0.21646341463414634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1895,1610612750,William Avery,William Avery,1895,MIN,9847.0,164,-31,330,331,110.0,155,32,661,5.0,10.0,5.0,1.0,6.0,5.0,11.0,2.0,6.0,3.0,19.0,1.0,7.0,11.0,27,5.0,25.0,11.0,48.0,323,2.0,4.0,9.0,11.0,7.0,27.0,10.0,12.0,12.0,3.0,19.0,3.0,4.0,20.0,29.0,10.0,67.0,12.0,13.0,14.0,4.0,3.0,1.0,7.0,4.0,4.0,10.0,17.0,7.0,3,11,1.0,,13.0,4.0,2.0,1.0,1.0,2.0,2.0,,27.0,110.0,1.0,0.45454545454545453,0.45454545454545453,0.8,0.2,0.2,0.4074074074074074,0.4444444444444444,0.3557692307692308,0.5,0.41379310344827586,0.5625,0.4807692307692308,0.14814814814814814,0.1,20.380434782608695,0.4117647058823529,0.08759124087591241,0.07975460122699386,0.0625,0.09523809523809523,0.10638297872340426,1.0,0.19230769230769232,0.5,0.5555555555555556,0.4,0.11538461538461539,0.16666666666666666,0.3333333333333333,1.0,0.21153846153846154,0.45454545454545453,0.45454545454545453,0.4,0.11538461538461539,0.3333333333333333,0.3333333333333333,1.0,0.36538461538461536,0.15789473684210525,0.15789473684210525,0.6666666666666666,0.3333333333333333,0.25,0.35,0.6730769230769231,0.15789473684210525,0.4967413461538461,0.4545,0.509845,0.07272727272727272,0.13333333333333333,0.5625,9.855555555555554,25.116000000000003,0.3333333333333333,1.0,4.0,,,3.0,,2.0,8.0,,,9.0,4.0,5.0,6.0,,1.0,,1.0,,1.0,,,3.0,2.0,,1.0,3.0,,,,,,1.0,1.0,0.5,,,,0.008547008547008548,0.038461538461538464,,0.00625,0.043478260869565216,,,,0.05,,,,,,0.6,0.16666666666666666,1.0,1.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,0.36363636363636365,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,0.5,0.2857142857142857,,,,,,,,,,,True,,,
417,1610612750,Sam Mitchell,Sam Mitchell,417,MIN,16356.0,273,-79,540,537,124.0,209,60,1077,7.0,10.0,3.0,1.0,9.0,10.0,35.0,2.0,6.0,2.0,9.0,,3.0,18.0,54,4.0,15.0,13.0,61.0,585,,5.0,10.0,4.0,6.0,19.0,32.0,4.0,9.0,3.0,9.0,2.0,3.0,14.0,18.0,1.0,40.0,23.0,32.0,38.0,13.0,8.0,5.0,6.0,2.0,5.0,2.0,8.0,1.0,9,24,2.0,,17.0,8.0,3.0,2.0,1.0,3.0,2.0,,19.0,124.0,5.0,0.8888888888888888,0.8888888888888888,0.75,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.5,0.34782608695652173,0.4642857142857143,0.3961038961038961,0.5588235294117647,0.21739130434782608,0.05555555555555555,0.1,14.00329489291598,0.75,0.12234042553191489,0.13596491228070176,0.24489795918367346,0.06349206349206349,0.09210526315789473,0.6666666666666666,0.14492753623188406,0.7,0.7777777777777778,1.0,0.13043478260869565,0.1111111111111111,0.14285714285714285,1.0,0.5072463768115942,0.2857142857142857,0.2857142857142857,0.8,0.08695652173913043,0.3333333333333333,0.3333333333333333,1.0,0.13043478260869565,0.2222222222222222,0.2222222222222222,0.5,,0.21428571428571427,0.21428571428571427,0.36231884057971014,0.2222222222222222,0.4785036231884057,0.39935,0.4882285714285715,0.10526315789473684,0.13114754098360656,0.3114754098360656,13.074074074074074,24.213333333333335,0.22962962962962963,2.0,8.0,,,3.0,,,,,,4.0,3.0,1.0,5.0,2.0,3.0,1.0,8.0,1.0,6.0,,,1.0,,,1.0,1.0,,2.0,,,,,,0.2222222222222222,,0.05555555555555555,0.058823529411764705,0.013574660633484163,0.2,0.04,0.01845018450184502,0.025,0.015151515151515152,0.008695652173913044,0.05263157894736842,0.16666666666666666,0.3,,,,,1.0,,,,,1.0,,1.0,,1.0,,0.25,,,,,,0.07142857142857142,,0.3333333333333333,1.0,,,,,,,,,,True,,,
1073,1610612750,Reggie Slater,Reggie Slater,1073,MIN,2398.0,40,-8,84,84,40.0,46,9,168,2.0,3.0,1.0,1.0,1.0,,,,,,,,,3.0,4,,,5.0,11.0,95,,,1.0,,1.0,1.0,2.0,4.0,,,,,1.0,1.0,1.0,,2.0,5.0,10.0,13.0,,,,2.0,,2.0,1.0,3.0,,4,7,,1.0,6.0,2.0,,,,,,,1.0,40.0,2.0,0.3333333333333333,0.5,,,,0.75,,0.75,,0.7857142857142857,0.25,,0.25,0.3333333333333333,10.416666666666668,0.6666666666666666,0.22727272727272727,0.28125,0.2,,0.4,,0.75,0.6666666666666666,1.0,0.5,0.25,1.0,1.0,,,,,,,,,,,,,,,1.0,,0.75,,0.52485,0.5434,0.6395,0.3333333333333333,0.3333333333333333,0.09090909090909091,1.85,,0.47619047619047616,1.0,1.0,1.0,1.0,,1.0,1.0,3.0,2.0,,,,,,1.0,2.0,,4.0,1.0,3.0,,,,,,,1.0,,,,,1.0,1.0,0.75,,,0.16666666666666666,,0.06451612903225806,0.4,0.1,0.07317073170731707,,0.14285714285714285,0.05555555555555555,,0.4444444444444444,,,1.0,1.0,,,0.2727272727272727,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,True,,,
1497,1610612750,Chauncey Billups,Chauncey Billups,1497,MIN,35862.0,598,21,1134,1129,222.0,287,136,2263,25.0,59.0,15.0,10.0,31.0,33.0,61.0,10.0,23.0,19.0,40.0,7.0,6.0,68.0,151,29.0,63.0,45.0,268.0,1142,10.0,12.0,35.0,10.0,14.0,53.0,64.0,72.0,75.0,12.0,39.0,19.0,17.0,92.0,99.0,26.0,205.0,34.0,46.0,57.0,17.0,10.0,7.0,20.0,2.0,11.0,16.0,36.0,8.0,12,39,2.0,5.0,50.0,24.0,4.0,2.0,1.0,4.0,2.0,1.0,53.0,222.0,3.0,0.47058823529411764,0.47761194029850745,0.8620689655172413,0.4603174603174603,0.46774193548387094,0.4503311258278146,0.34285714285714286,0.5210280373831776,0.43333333333333335,0.5705128205128205,0.5096153846153846,0.29439252336448596,0.11258278145695365,0.22033898305084745,20.7532667179093,0.5555555555555556,0.07327586206896551,0.08014571948998178,0.07751937984496124,0.032679738562091505,0.1043956043956044,0.5,0.2757009345794392,0.423728813559322,0.5434782608695652,0.48,0.14485981308411214,0.3225806451612903,0.37037037037037035,0.4,0.2850467289719626,0.5409836065573771,0.5409836065573771,0.48484848484848486,0.10747663551401869,0.43478260869565216,0.43478260869565216,1.0,0.18691588785046728,0.475,0.475,0.7894736842105263,0.35,0.3333333333333333,0.13333333333333333,0.5700934579439252,0.48717948717948717,0.5089112676056338,0.5045921052631579,0.4848022727272727,0.10822510822510822,0.1437125748502994,0.19776119402985073,9.546357615894042,25.342857142857145,0.19576719576719576,10.0,26.0,1.0,5.0,5.0,4.0,,20.0,2.0,1.0,7.0,4.0,3.0,40.0,,11.0,,10.0,2.0,11.0,4.0,3.0,9.0,1.0,1.0,8.0,3.0,1.0,2.0,,,0.4,0.5,0.5,0.12903225806451613,,0.04878048780487805,,0.023060796645702306,0.11764705882352941,,0.01981981981981982,0.03508771929824561,0.012121212121212121,0.025252525252525252,,0.1323529411764706,0.058823529411764705,0.04040404040404041,0.25,0.2,,0.3333333333333333,0.07462686567164178,2.0,3.0,2.0,4.0,2.0,3.0,4.0,5.0,0.4,0.5,0.15,0.6666666666666666,1.0,0.2857142857142857,1.0,0.08888888888888889,0.5,0.5,,,1.0,1.0,0.015625,,,,,,True,,,
210,1610612750,Terrell Brandon,Terrell Brandon,210,MIN,49225.0,820,30,1588,1580,226.0,351,206,3168,34.0,62.0,10.0,22.0,45.0,93.0,210.0,1.0,6.0,8.0,23.0,5.0,2.0,149.0,317,9.0,29.0,45.0,370.0,1603,7.0,25.0,54.0,2.0,13.0,63.0,148.0,150.0,18.0,9.0,23.0,8.0,8.0,142.0,160.0,48.0,338.0,63.0,73.0,89.0,49.0,32.0,17.0,40.0,11.0,27.0,22.0,62.0,10.0,22,49,2.0,3.0,52.0,10.0,6.0,2.0,1.0,6.0,5.0,,63.0,226.0,5.0,0.4966442953020134,0.5068493150684932,0.6666666666666666,0.3103448275862069,0.3103448275862069,0.47003154574132494,0.46296296296296297,0.46965317919075145,0.44642857142857145,0.48480662983425415,0.4765625,0.0838150289017341,0.025236593059936908,0.11290322580645161,23.271130625686062,0.6451612903225806,0.10344827586206896,0.10013908205841446,0.08552631578947369,0.095,0.12062256809338522,0.8333333333333334,0.1791907514450867,0.5483870967741935,0.6181818181818182,0.4117647058823529,0.13005780346820808,0.4888888888888889,0.4888888888888889,0.36363636363636365,0.6069364161849711,0.44285714285714284,0.4449760765550239,0.5591397849462365,0.017341040462427744,0.16666666666666666,0.16666666666666666,1.0,0.06647398843930635,0.34782608695652173,0.34782608695652173,0.625,0.1282051282051282,0.17857142857142858,0.03571428571428571,0.2630057803468208,0.34782608695652173,0.4566549132947977,0.4364617647058824,0.42567232142857137,0.028169014084507043,0.03067484662576687,0.17027027027027028,13.590536277602526,25.12758620689655,0.14231738035264482,32.0,33.0,2.0,6.0,5.0,17.0,1.0,47.0,6.0,,18.0,12.0,6.0,61.0,3.0,13.0,,9.0,1.0,16.0,4.0,2.0,13.0,4.0,10.0,1.0,7.0,3.0,,,,0.53125,0.5897435897435898,0.5897435897435898,,0.004761904761904762,0.02127659574468085,,0.018518518518518517,0.08181818181818182,0.03529411764705882,0.020330368487928845,0.02054794520547945,0.008928571428571428,0.024096385542168676,0.01818181818181818,0.06896551724137931,0.13043478260869565,0.0223463687150838,0.15384615384615385,0.3333333333333333,,0.5,0.12702702702702703,1.0,2.0,,,3.0,,4.0,,0.5714285714285714,,0.05128205128205128,0.5,1.0,0.6,0.6666666666666666,,,,1.0,0.06666666666666667,19.0,,,,,,,,True,,,
111,1610612750,LaPhonso Ellis,LaPhonso Ellis,111,MIN,22085.0,368,8,705,695,147.0,216,91,1400,24.0,46.0,6.0,19.0,42.0,17.0,53.0,,1.0,,1.0,,,60.0,141,,2.0,28.0,148.0,682,,14.0,23.0,1.0,4.0,32.0,78.0,42.0,,,1.0,,9.0,16.0,19.0,7.0,41.0,58.0,72.0,114.0,8.0,5.0,3.0,6.0,1.0,2.0,13.0,19.0,2.0,18,57,4.0,7.0,35.0,15.0,10.0,6.0,3.0,10.0,7.0,,32.0,147.0,10.0,0.65,0.78,,,,0.425531914893617,0.6086956521739131,0.4195804195804196,0.5833333333333334,0.46540880503144655,0.5714285714285714,0.013986013986013986,0.06382978723404255,0.06521739130434782,21.65450121654501,0.3157894736842105,0.19863013698630136,0.1896551724137931,0.14130434782608695,0.2619047619047619,0.19827586206896552,0.7,0.32167832167832167,0.5217391304347826,0.5581395348837209,0.5,0.2937062937062937,0.4523809523809524,0.5135135135135135,0.6842105263157895,0.3706293706293706,0.32075471698113206,0.3269230769230769,0.8235294117647058,0.006993006993006993,,,,0.006993006993006993,,,,,0.25,,0.3356643356643357,,0.4473258741258741,0.4971392857142858,0.4281770833333334,0.0967741935483871,0.09803921568627451,0.21621621621621623,9.420567375886524,24.15,0.20851063829787234,28.0,1.0,10.0,20.0,4.0,12.0,12.0,36.0,20.0,,3.0,3.0,,8.0,3.0,39.0,,8.0,6.0,42.0,3.0,1.0,4.0,2.0,3.0,3.0,4.0,1.0,,,,0.42857142857142855,0.42857142857142855,0.5,0.11904761904761904,0.018867924528301886,0.23076923076923078,,0.12420382165605096,0.14285714285714285,0.06976744186046512,0.11764705882352941,0.14084507042253522,0.16037735849056603,0.08759124087591241,0.09090909090909091,0.13333333333333333,0.18181818181818182,0.0410958904109589,0.7142857142857143,0.5,,0.6666666666666666,0.24324324324324326,,,,1.0,,,,,,,,,,,,0.041666666666666664,,,,,,,,,,,,,True,,,
1887,1610612750,Wally Szczerbiak,Wally Szczerbiak,1887,MIN,52235.0,871,86,1680,1671,229.0,320,201,3351,44.0,69.0,9.0,18.0,53.0,81.0,140.0,2.0,7.0,4.0,11.0,3.0,2.0,143.0,262,6.0,18.0,42.0,346.0,1644,5.0,19.0,32.0,2.0,9.0,47.0,238.0,48.0,18.0,,11.0,4.0,23.0,67.0,83.0,17.0,182.0,65.0,99.0,141.0,19.0,16.0,3.0,21.0,3.0,14.0,22.0,43.0,5.0,32,74,3.0,5.0,49.0,20.0,8.0,5.0,3.0,8.0,5.0,1.0,47.0,229.0,4.0,0.8321678321678322,0.875,1.0,0.3333333333333333,0.3333333333333333,0.5458015267175572,0.59375,0.5428571428571428,0.5588235294117647,0.5714285714285714,0.6025641025641025,0.06428571428571428,0.08778625954198473,0.17391304347826086,17.935349322210637,0.4883720930232558,0.09530791788856305,0.10259579728059333,0.07909604519774012,0.09012875536480687,0.11029411764705882,0.625,0.24642857142857144,0.6376811594202898,0.7719298245614035,0.7727272727272727,0.18928571428571428,0.33962264150943394,0.4090909090909091,0.6111111111111112,0.5,0.5785714285714286,0.5869565217391305,0.9135802469135802,0.025,0.2857142857142857,0.2857142857142857,1.0,0.039285714285714285,0.36363636363636365,0.36363636363636365,1.0,0.07317073170731707,0.2647058823529412,0.058823529411764705,0.3107142857142857,0.36363636363636365,0.47493928571428573,0.45853333333333335,0.4695808823529411,0.06779661016949153,0.07220216606498195,0.13583815028901733,11.817938931297709,24.37777777777778,0.1363095238095238,36.0,17.0,7.0,9.0,7.0,22.0,6.0,53.0,14.0,,16.0,9.0,7.0,33.0,5.0,37.0,,18.0,16.0,42.0,3.0,2.0,7.0,7.0,6.0,5.0,6.0,,1.0,,,0.6111111111111112,0.573170731707317,0.5909090909090909,0.16981132075471697,0.014285714285714285,0.2909090909090909,,0.05146036161335188,0.14173228346456693,0.054945054945054944,0.05185185185185185,0.06578947368421052,0.035856573705179286,0.056962025316455694,0.05084745762711865,0.14432989690721648,0.13333333333333333,0.027777777777777776,0.21951219512195122,0.7777777777777778,,0.7777777777777778,0.1531791907514451,,2.0,,,1.0,,1.0,,0.2,,0.04878048780487805,,,0.3333333333333333,1.0,,,,2.0,0.0625,2.0,,,,,,,,True,,,
