EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,HeaveAttempts,Travels,SecondChanceTurnovers,Blocked3s,BlockedArc3,BlockedCorner3,AtRimPctBlocked,LongMidRangePctBlocked,DefensiveGoaltends,SecondChanceArc3FGM,Fg3aBlocked,Clear Path Fouls,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,on,3pt And 1 Free Throw Trips,OffensiveGoaltends,Corner3PctBlocked
120,1610612757,Steven Smith,Steven Smith,120,POR,29350.0,489,-30.0,924,930,386,381,122.0,1854,25.0,38.0,9.0,12.0,7.0,12.0,11.0,28.0,17.0,43.0,6.0,18.0,1.0,1.0,4.0,7.0,9.0,29.0,2.0,3.0,10.0,53.0,109,15.0,47.0,67.0,218,953,11.0,17.0,1.0,3.0,10.0,35.0,18.0,37,7.0,17.0,39.0,96,54.0,52.0,39.0,6.0,12.0,29.0,9.0,1.0,31.0,10.0,41.0,8.0,2.0,14.0,4.0,13.0,92.0,5.0,15.0,1.0,5.0,35.0,1.0,41.0,21.0,62.0,6.0,6.0,4.0,2.0,10.0,1.0,3.0,13.0,2.0,7.0,23.0,4.0,12.0,33.0,4.0,5.0,77.0,2.0,13.0,22.0,11.0,5.0,3.0,1.0,1.0,5.0,4.0,2.0,96,386,2.0,0.5094339622641509,0.574468085106383,0.8666666666666667,0.3191489361702128,0.3333333333333333,0.4117647058823529,0.3191489361702128,0.48623853211009177,0.6470588235294118,0.4864864864864865,0.483974358974359,0.625,0.5277777777777778,0.5588235294117647,0.7083333333333334,0.6388888888888888,0.30128205128205127,0.009174311926605505,0.03571428571428571,19.8300283286119,0.43478260869565216,0.030303030303030304,0.03225806451612903,0.09803921568627451,0.047021943573667714,0.06329113924050633,0.05154639175257732,0.09174311926605505,0.04807692307692308,0.0379746835443038,0.044444444444444446,0.05333333333333334,0.04225352112676056,0.07692307692307693,0.035398230088495575,0.0673076923076923,0.17142857142857143,0.05357142857142857,0.08695652173913043,0.07058823529411765,0.8,0.24358974358974358,0.6578947368421053,0.6578947368421053,0.48,0.1794871794871795,0.39285714285714285,0.4074074074074074,0.45454545454545453,0.27564102564102566,0.3953488372093023,0.3953488372093023,0.5882352941176471,0.11538461538461539,0.3333333333333333,0.3333333333333333,1.0,0.1858974358974359,0.3103448275862069,0.3103448275862069,0.7777777777777778,0.6,0.75,0.2222222222222222,0.05,1.0,1.0,0.1,0.2222222222222222,0.5833333333333334,0.12962962962962962,0.5714285714285714,0.18518518518518517,0.3,0.5448717948717948,0.3103448275862069,0.4848759615384615,0.5374911764705883,0.4781324074074075,0.125,0.17054263565891473,0.16055045871559634,0.44036697247706424,9.500000000000002,24.565957446808508,0.41774891774891776,,,,,,,,,,,,,,,,,,,,True,,,
1719,1610612757,Bonzi Wells,Bonzi Wells,1719,POR,38445.0,641,62.0,1188,1201,164,169,147.0,2389,80.0,113.0,20.0,26.0,10.0,14.0,8.0,31.0,26.0,72.0,2.0,9.0,1.0,2.0,,,3.0,10.0,,1.0,3.0,114.0,216,5.0,19.0,50.0,293,1158,25.0,36.0,1.0,2.0,4.0,57.0,12.0,24,1.0,3.0,12.0,39,142.0,86.0,15.0,,28.0,9.0,3.0,17.0,79.0,10.0,89.0,10.0,,47.0,14.0,18.0,188.0,5.0,33.0,,7.0,75.0,4.0,86.0,38.0,124.0,5.0,39.0,21.0,18.0,29.0,10.0,19.0,29.0,,10.0,58.0,9.0,21.0,71.0,4.0,8.0,78.0,9.0,,38.0,5.0,6.0,3.0,2.0,1.0,10.0,3.0,6.0,39,164,6.0,0.6228070175438597,0.71,1.0,0.2631578947368421,0.5,0.3333333333333333,0.2777777777777778,0.5277777777777778,0.6944444444444444,0.5,0.5170212765957447,0.6973684210526315,0.5,0.5446096654275093,0.6951219512195121,0.5735294117647058,0.08085106382978724,0.0787037037037037,0.1935483870967742,24.079528718703976,0.5,0.11428571428571428,,0.14450867052023122,0.06832298136645963,0.07142857142857142,0.08620689655172414,0.13290113452188007,0.07024029574861368,0.07042253521126761,0.06766917293233082,0.0673076923076923,0.0625,0.2,0.06369426751592357,0.16176470588235295,0.1902654867256637,0.06172839506172839,0.11764705882352941,0.05154639175257732,0.3,0.4808510638297872,0.7079646017699115,0.7843137254901961,0.6125,0.13191489361702127,0.25806451612903225,0.32,0.625,0.30638297872340425,0.3611111111111111,0.3611111111111111,0.6538461538461539,0.03829787234042553,0.2222222222222222,0.2222222222222222,1.0,0.0425531914893617,0.3,0.3,1.0,0.6842105263157895,0.7692307692307693,0.25,0.05263157894736842,0.5,1.0,,0.5185185185185185,0.7142857142857143,,,0.1111111111111111,0.3333333333333333,0.5617021276595745,0.3333333333333333,0.5107991452991453,0.5193727272727272,0.5197711538461538,0.14393939393939395,0.15510204081632653,0.1945392491467577,0.13310580204778158,7.557407407407407,25.56315789473684,0.13804713804713806,1.0,3.0,2.0,4.0,2.0,2.0,0.09734513274336283,,,,,,,,,,,,,True,,,
202,1610612757,Gary Grant,Gary Grant,202,POR,808.0,13,2.0,27,25,13,14,2.0,52,,1.0,,,,1.0,,,3.0,4.0,,,,,,,,,,,,3.0,5,,,,6,22,,,,,,,1.0,3,,,,2,6.0,,,,,,,,1.0,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,,1.0,1.0,,,,,,0.6,,0.3333333333333333,0.6,,0.3333333333333333,0.6,,0.3333333333333333,,,,17.24137931034483,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,0.8,0.75,0.75,1.0,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,0.2,,0.39998,,0.4227666666666667,,,,0.3333333333333333,15.88,,0.48148148148148145,,,,,,,,,,,,,,,,,,,,True,,,
278,1610612757,Stacey Augmon,Stacey Augmon,278,POR,71023.0,1184,19.0,2211,2231,571,552,285.0,4442,60.0,107.0,18.0,34.0,19.0,31.0,25.0,57.0,42.0,98.0,,,,,,,,4.0,,,2.0,127.0,262,,4.0,57.0,311,2226,24.0,49.0,,,4.0,52.0,36.0,68,,2.0,23.0,95,180.0,74.0,,,28.0,2.0,,13.0,77.0,21.0,98.0,18.0,3.0,35.0,14.0,28.0,217.0,11.0,49.0,,19.0,71.0,9.0,99.0,60.0,159.0,7.0,48.0,28.0,20.0,27.0,3.0,10.0,21.0,4.0,17.0,48.0,12.0,44.0,105.0,9.0,11.0,87.0,8.0,,38.0,10.0,20.0,10.0,1.0,9.0,21.0,13.0,1.0,95,571,13.0,0.7086614173228346,0.7964601769911505,,,,,,0.4847328244274809,0.4897959183673469,0.5294117647058824,0.4774436090225564,0.4897959183673469,0.5142857142857142,0.5081699346405228,0.5,0.5337078651685393,0.015037593984962405,0.04961832061068702,0.05263157894736842,13.953488372093023,0.5625,0.13432835820895522,,0.07675675675675675,0.05812574139976275,0.10734463276836158,0.06832298136645963,0.08166969147005444,0.05976095617529881,0.07725321888412018,0.042735042735042736,0.05585106382978723,0.06504065040650407,0.07894736842105263,0.07446808510638298,0.056910569105691054,0.0906801007556675,0.10948905109489052,0.1,0.056910569105691054,0.6190476190476191,0.40225563909774437,0.5607476635514018,0.6122448979591837,0.6666666666666666,0.21428571428571427,0.43859649122807015,0.46296296296296297,0.48,0.3684210526315789,0.42857142857142855,0.4329896907216495,0.9047619047619048,,,,,0.015037593984962405,,,,0.6938775510204082,0.5294117647058824,0.16666666666666666,,,,,0.44285714285714284,0.6129032258064516,,,0.02857142857142857,,0.41729323308270677,,0.4710028409090909,0.47473421052631576,0.4720413043478261,0.12837837837837837,0.13013698630136986,0.16720257234726688,0.3054662379421222,9.308015267175575,32.875,0.25825418362731795,2.0,1.0,5.0,1.0,,1.0,0.08411214953271028,0.01020408163265306,,,,,,,,,,,,True,,,
905,1610612757,Dale Davis,Dale Davis,905,POR,38083.0,635,-25.0,1175,1197,308,311,166.0,2372,52.0,82.0,12.0,25.0,7.0,15.0,10.0,37.0,13.0,27.0,,,,,,,,,,,,75.0,146,,,39.0,189,1228,15.0,29.0,,,13.0,43.0,13.0,31,,,8.0,34,112.0,38.0,,,22.0,,,12.0,20.0,4.0,24.0,3.0,1.0,5.0,3.0,12.0,52.0,12.0,52.0,3.0,13.0,88.0,12.0,113.0,67.0,180.0,9.0,12.0,8.0,4.0,12.0,3.0,6.0,10.0,2.0,6.0,22.0,5.0,30.0,46.0,3.0,,60.0,4.0,,27.0,5.0,25.0,20.0,,5.0,25.0,14.0,2.0,34,308,5.0,0.7466666666666667,0.875,,,,,,0.5136986301369864,0.5172413793103449,0.41935483870967744,0.5136986301369864,0.5172413793103449,0.41935483870967744,0.5431034482758621,0.5657894736842105,0.4358974358974359,,0.0821917808219178,0.05405405405405406,14.348462664714495,0.5454545454545454,0.3157894736842105,0.075,0.1752988047808765,0.11279826464208242,0.15294117647058825,0.1411764705882353,0.17206132879045996,0.11721611721611722,0.11864406779661017,0.12056737588652482,0.10396039603960396,0.11475409836065574,0.20833333333333334,0.1875,0.19083969465648856,0.15639810426540285,0.15942028985507245,0.125,0.15517241379310345,0.56,0.5616438356164384,0.6341463414634146,0.7123287671232876,0.7692307692307693,0.2534246575342466,0.2702702702702703,0.2857142857142857,0.5,0.18493150684931506,0.48148148148148145,0.5,0.8461538461538461,,,,,,,,,0.8620689655172413,0.48,0.16666666666666666,,,,,0.4838709677419355,0.4666666666666667,,,,,0.5616438356164384,,0.49370479452054794,0.5426185185185185,0.4682258064516129,0.15976331360946747,0.15976331360946747,0.2275132275132275,0.17989417989417988,5.57054794520548,,0.2621276595744681,,1.0,6.0,,,,0.10975609756097561,0.037037037037037035,1.0,,,,,,,,,,,True,,,
21,1610612757,Greg Anthony,Greg Anthony,21,POR,20720.0,345,12.0,643,643,140,132,89.0,1286,6.0,9.0,,,1.0,3.0,3.0,9.0,9.0,25.0,2.0,11.0,,1.0,,1.0,29.0,57.0,9.0,7.0,13.0,18.0,43,31.0,68.0,9.0,138,633,1.0,6.0,6.0,10.0,,20.0,4.0,11,7.0,14.0,2.0,31,14.0,22.0,81.0,12.0,,57.0,29.0,2.0,31.0,,31.0,,,11.0,6.0,14.0,62.0,1.0,4.0,,4.0,10.0,1.0,15.0,5.0,20.0,,19.0,14.0,5.0,16.0,3.0,10.0,10.0,3.0,6.0,26.0,7.0,6.0,25.0,,1.0,14.0,,1.0,4.0,2.0,,,,,,,,31,140,3.0,0.3888888888888889,0.3888888888888889,0.8709677419354839,0.45588235294117646,0.6,0.5,0.45588235294117646,0.4186046511627907,0.16666666666666666,0.36363636363636365,0.581081081081081,0.625,0.58,0.5897435897435898,0.625,0.5740740740740741,0.6126126126126126,0.046511627906976744,0.1111111111111111,19.29824561403509,0.6153846153846154,0.05555555555555555,,0.03861003861003861,0.017543859649122806,0.07692307692307693,0.017857142857142856,0.04501607717041801,0.017605633802816902,0.03125,0.015873015873015872,0.009900990099009901,0.024390243902439025,,0.046511627906976744,0.078125,0.009174311926605505,0.06976744186046512,0.1111111111111111,,,0.08108108108108109,0.6666666666666666,0.75,0.3333333333333333,0.08108108108108109,0.3333333333333333,0.375,,0.22522522522522523,0.36,0.36,0.5555555555555556,0.0990990990990991,0.18181818181818182,0.18181818181818182,1.0,0.5135135135135135,0.5087719298245614,0.5178571428571429,0.8620689655172413,,,,0.0625,,,0.5625,0.12,0.3333333333333333,0.04,,0.52,0.5384615384615384,0.6936936936936937,0.5087719298245614,0.4993711711711712,0.511575,0.47224799999999995,0.034782608695652174,0.0851063829787234,0.14492753623188406,0.2246376811594203,12.70232558139535,24.658823529411766,0.2177293934681182,,,,,,,0.1111111111111111,,,6.0,1.0,1.0,0.014705882352941176,0.017543859649122806,0.6666666666666666,0.8333333333333334,,,,True,,,
431,1610612757,Shawn Kemp,Shawn Kemp,431,POR,22409.0,373,-11.0,689,693,160,164,96.0,1382,18.0,37.0,3.0,6.0,3.0,7.0,5.0,20.0,37.0,89.0,,1.0,,,,1.0,1.0,3.0,,,1.0,60.0,146,1.0,4.0,32.0,155,677,7.0,16.0,,,15.0,29.0,9.0,25,,2.0,5.0,23,84.0,36.0,3.0,,4.0,3.0,1.0,7.0,23.0,5.0,28.0,4.0,1.0,9.0,3.0,11.0,61.0,4.0,17.0,,11.0,53.0,8.0,72.0,21.0,93.0,6.0,15.0,9.0,6.0,13.0,3.0,8.0,25.0,1.0,5.0,38.0,7.0,38.0,68.0,1.0,10.0,40.0,4.0,,20.0,2.0,11.0,6.0,,5.0,11.0,6.0,4.0,23,160,1.0,0.7,0.7241379310344828,1.0,0.25,,,0.25,0.410958904109589,0.4375,0.36,0.41,0.4375,0.3333333333333333,0.46130952380952384,0.6041666666666666,0.39655172413793105,0.02666666666666667,0.04794520547945205,0.1,25.846925972396487,0.34210526315789475,0.32,,0.19202898550724637,0.06159420289855073,0.21153846153846154,0.08163265306122448,0.1951219512195122,0.06461538461538462,0.0641025641025641,0.09523809523809523,0.044444444444444446,0.10256410256410256,,0.18681318681318682,0.234375,0.17355371900826447,0.175,0.3333333333333333,0.07407407407407407,0.5454545454545454,0.24666666666666667,0.4864864864864865,0.5625,0.4444444444444444,0.13333333333333333,0.25,0.2777777777777778,0.2,0.5933333333333334,0.4157303370786517,0.4157303370786517,0.8918918918918919,0.006666666666666667,,,,0.02,0.3333333333333333,0.3333333333333333,1.0,0.375,0.5,,,,,,0.25925925925925924,0.42857142857142855,0.037037037037037035,,0.037037037037037035,,0.2733333333333333,0.3333333333333333,0.44200299999999987,0.4623928571428571,0.44856481481481486,0.12048192771084337,0.12345679012345678,0.1870967741935484,0.14838709677419354,13.254109589041093,23.725,0.23222060957910015,,6.0,5.0,,,,0.13513513513513514,,2.0,,,,,,,,,,,True,,,
717,1610612757,Arvydas Sabonis,Arvydas Sabonis,717,POR,22584.0,376,86.0,708,703,117,88,69.0,1411,32.0,53.0,5.0,7.0,6.0,9.0,24.0,49.0,20.0,53.0,,,,,,,,3.0,1.0,,,76.0,155,,3.0,24.0,176,642,9.0,12.0,,1.0,2.0,20.0,11.0,24,,,8.0,30,128.0,24.0,,,6.0,3.0,,8.0,34.0,4.0,38.0,4.0,,23.0,,11.0,80.0,3.0,7.0,1.0,11.0,81.0,3.0,95.0,11.0,106.0,1.0,12.0,11.0,1.0,11.0,4.0,9.0,13.0,1.0,2.0,24.0,7.0,18.0,38.0,7.0,3.0,27.0,5.0,,14.0,2.0,21.0,13.0,1.0,7.0,21.0,15.0,2.0,30,117,3.0,0.8421052631578947,0.8767123287671232,,,,,,0.49032258064516127,0.75,0.4583333333333333,0.4810126582278481,0.6923076923076923,0.4583333333333333,0.5207100591715976,0.7142857142857143,0.5357142857142857,0.0189873417721519,0.05161290322580645,0.04081632653061224,24.46134347275032,0.4583333333333333,0.23076923076923078,0.0625,0.253125,0.026119402985074626,0.18333333333333332,0.07317073170731707,0.24210526315789474,0.032362459546925564,0.05,,0.02564102564102564,0.08823529411764706,,0.3132530120481928,0.25,0.2206896551724138,0.2127659574468085,0.07692307692307693,0.013888888888888888,0.7142857142857143,0.33544303797468356,0.6037735849056604,0.6808510638297872,0.78125,0.310126582278481,0.4897959183673469,0.5106382978723404,0.8333333333333334,0.33544303797468356,0.37735849056603776,0.37735849056603776,0.95,,,,,0.0189873417721519,,,,0.5384615384615384,0.7142857142857143,0.2,,,,0.07692307692307693,0.375,0.6666666666666666,,,,,0.35443037974683544,,0.4431272151898734,0.4940291666666667,0.44670000000000004,0.08383233532934131,0.08536585365853659,0.11363636363636363,0.17045454545454544,9.547096774193548,25.633333333333336,0.1652542372881356,,1.0,2.0,,,,0.11320754716981132,,1.0,,,,,,,,,,,True,,,
393,1610612757,Rod Strickland,Rod Strickland,393,POR,5469.0,91,-24.0,170,170,45,25,33.0,340,4.0,5.0,2.0,2.0,1.0,1.0,,7.0,5.0,12.0,,,,,,,,,,,,9.0,24,,,2.0,20,197,2.0,4.0,,,,4.0,2.0,9,,,2.0,6,4.0,14.0,,,,,,,17.0,2.0,19.0,2.0,,9.0,4.0,4.0,40.0,1.0,3.0,,,4.0,,4.0,4.0,8.0,,1.0,1.0,,8.0,2.0,7.0,3.0,,1.0,11.0,2.0,2.0,2.0,,,6.0,,,2.0,1.0,1.0,,1.0,,1.0,1.0,,6,45,,0.2222222222222222,0.2222222222222222,,,,,,0.375,0.5,0.2222222222222222,0.375,0.5,0.2222222222222222,0.37037037037037035,0.4,0.2727272727272727,,,,18.7192118226601,0.7272727272727273,,,0.06060606060606061,0.04411764705882353,,0.09090909090909091,0.0547945205479452,0.05063291139240506,0.0625,0.05,0.03125,0.1111111111111111,,0.15,,0.03571428571428571,,,,1.0,0.20833333333333334,0.8,0.8,,0.2916666666666667,,,,0.5,0.4166666666666667,0.4166666666666667,0.4,,,,,,,,,0.5,1.0,,,,,,0.1111111111111111,1.0,,,,,0.20833333333333334,,0.4347541666666666,0.43873333333333336,0.4104888888888889,0.07692307692307693,0.07692307692307693,0.2,0.3,12.633333333333333,,0.2647058823529412,,,1.0,,,,,,,,,,,,,,,,,True,,,
739,1610612757,Rasheed Wallace,Rasheed Wallace,739,POR,47097.0,785,52.0,1451,1460,355,315,180.0,2911,60.0,91.0,9.0,16.0,12.0,16.0,35.0,72.0,35.0,95.0,3.0,7.0,1.0,1.0,1.0,3.0,14.0,33.0,5.0,5.0,17.0,130.0,258,17.0,40.0,54.0,365,1442,12.0,24.0,3.0,6.0,9.0,42.0,24.0,46,6.0,20.0,20.0,86,204.0,56.0,51.0,,14.0,33.0,14.0,6.0,48.0,9.0,57.0,7.0,2.0,26.0,10.0,12.0,123.0,3.0,22.0,,22.0,99.0,9.0,130.0,25.0,155.0,6.0,25.0,14.0,11.0,33.0,5.0,25.0,18.0,2.0,8.0,51.0,18.0,27.0,49.0,1.0,4.0,66.0,5.0,,31.0,5.0,44.0,31.0,3.0,10.0,44.0,22.0,1.0,86,355,4.0,0.7846153846153846,0.8292682926829268,1.0,0.425,0.5,0.3,0.425,0.5038759689922481,0.5,0.5217391304347826,0.5218120805369127,0.55,0.5,0.5547112462006079,0.5833333333333334,0.5512820512820513,0.1342281879194631,0.023255813953488372,0.027777777777777776,22.905364677516577,0.6470588235294118,0.25,,0.16071428571428573,0.039927404718693285,0.18333333333333332,0.030927835051546393,0.1644021739130435,0.038580246913580245,0.07692307692307693,0.013793103448275862,0.032,0.0273972602739726,0.041666666666666664,0.15675675675675677,0.18497109826589594,0.14728682170542637,0.20454545454545456,0.125,0.04285714285714286,0.5,0.3053691275167785,0.6593406593406593,0.6896551724137931,0.8666666666666667,0.24161073825503357,0.4861111111111111,0.5,0.4857142857142857,0.3187919463087248,0.3684210526315789,0.3684210526315789,0.9428571428571428,0.02348993288590604,0.42857142857142855,0.42857142857142855,1.0,0.11073825503355705,0.42424242424242425,0.42424242424242425,1.0,0.5333333333333333,0.5625,0.3333333333333333,0.03333333333333333,1.0,1.0,0.16666666666666666,0.24242424242424243,0.75,0.045454545454545456,0.3333333333333333,0.25757575757575757,0.29411764705882354,0.4395973154362416,0.42424242424242425,0.46351006711409387,0.5052,0.4694840909090909,0.09567901234567901,0.10915492957746478,0.11506849315068493,0.2356164383561644,9.391860465116281,25.127500000000005,0.24465885596140594,,5.0,5.0,,,,0.04395604395604396,,3.0,2.0,,,,,0.4,1.0,1.0,,,True,,,
