EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,PtsUnassisted2s,ThreePtAssists,Arc3Assists,LongMidRangeAssists,Steals,BadPassSteals,LostBallSteals,BadPassTurnovers,AtRimPctBlocked,DefLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,FTDefRebounds,SelfOReb,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Travels,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedAtRim,BlockedLongMidRange,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,FG3APct,DefFTReboundPct,DefCorner3ReboundPct,SelfORebPct,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,Avg3ptShotDistance,Corner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,Fg3aBlocked,OffThreePtRebounds,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyFg3Pct,FG3APctBlocked,Arc3PctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,FTOffRebounds,Offensive Fouls,DefensiveGoaltends,LongMidRangePctBlocked,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3Assists,Blocked3s,BlockedArc3,on,3SecondViolations,Defensive 3 Seconds Violations,PenaltyCorner3FGM,HeaveAttempts,PenaltyCorner3Accuracy,OffensiveGoaltends,Clear Path Fouls,BlockedCorner3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct
1434,1610612741,Dragan Tarlac,Dragan Tarlac,1434,CHI,2101.0,35,-21,70,68,30,28,7,138,1.0,1.0,2.0,6.0,1.0,2.0,8.0,4.0,8.0,76,1.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,5.0,3.0,3,6,5.0,11,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,30,1.0,1.0,0.25,0.3333333333333333,0.5,0.25,0.3333333333333333,0.5,0.4,0.5,0.6666666666666666,0.125,0.16666666666666666,14.102564102564102,1.0,0.13636363636363635,0.15151515151515152,0.375,0.2,0.14285714285714285,0.3333333333333333,0.07692307692307693,0.17647058823529413,0.2,0.3333333333333333,0.6,1.0,0.125,0.75,0.3333333333333333,0.4,1.0,0.125,0.3333333333333333,0.125,0.3832875,0.4126,0.32999999999999996,0.1111111111111111,0.1111111111111111,0.5,0.5,9.675,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1500,1610612741,Ron Mercer,Ron Mercer,1500,CHI,4673.0,78,-23,148,139,31,43,16,287,7.0,1.0,3.0,5.0,25.0,17.0,37.0,10.0,44.0,160,2.0,3.0,,4.0,4.0,4.0,2.0,10.0,20.0,2.0,6.0,7.0,3.0,1.0,15.0,,2.0,4,6,,6,2.0,1.0,2.0,1.0,1.0,2.0,,11.0,4.0,1.0,,,,,10.0,31,0.5882352941176471,0.5882352941176471,0.4594594594594595,0.6666666666666666,1.0,0.4594594594594595,0.6666666666666666,1.0,0.5238095238095238,0.6666666666666666,1.0,0.05405405405405406,0.2,26.82926829268293,1.0,0.09090909090909091,,0.16666666666666666,0.10714285714285714,,,,,0.1111111111111111,,0.2,,0.1891891891891892,0.13513513513513514,0.6,0.75,0.6666666666666666,0.6756756756756757,0.3333333333333333,0.1891891891891892,0.42962702702702704,0.4907333333333333,0.48979999999999996,0.0975609756097561,0.0975609756097561,0.09090909090909091,0.22727272727272727,13.413513513513513,0.20945945945945946,4.0,1.0,2.0,2.0,10.0,14.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.6666666666666666,0.75,0.4,0.4,0.5,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1736,1610612741,Corey Benjamin,Corey Benjamin,1736,CHI,8309.0,138,-33,267,266,72,115,29,533,22.0,5.0,3.0,8.0,14.0,23.0,44.0,13.0,65.0,267,4.0,6.0,1.0,12.0,6.0,7.0,2.0,14.0,26.0,4.0,8.0,10.0,3.0,3.0,22.0,6.0,4.0,2,7,6.0,13,8.0,,10.0,2.0,8.0,13.0,,16.0,8.0,,2.0,,2.0,1.0,14.0,72,0.5652173913043478,0.5909090909090909,0.5227272727272727,0.6666666666666666,0.8571428571428571,0.4727272727272727,0.6111111111111112,0.8571428571428571,0.5161290322580645,0.6,0.875,0.09090909090909091,0.25,24.161073825503355,0.8,0.021052631578947368,0.058823529411764705,0.19047619047619047,0.05172413793103448,0.047619047619047616,0.11538461538461539,,0.06818181818181818,,,0.23076923076923078,0.5,0.4,0.14545454545454545,0.375,0.5,0.3333333333333333,0.2545454545454545,0.5555555555555556,0.6,0.5139245454545456,0.54309375,0.6111714285714286,0.12903225806451613,0.1568627450980392,0.18461538461538463,0.2153846153846154,7.16590909090909,0.2696629213483146,13.0,4.0,5.0,6.0,7.0,20.0,2.0,2.0,2.0,6.0,3.0,3.0,8.0,0.09090909090909091,0.05263157894736842,0.5909090909090909,0.65,0.6923076923076923,0.5,0.5,0.42857142857142855,0.8,0.5,0.8571428571428571,0.8333333333333334,5.0,1.0,2.0,6.0,1.0,2.0,2.0,11.0,1.0,3.0,6.0,2.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.18181818181818182,0.3333333333333333,0.18181818181818182,0.2,0.058823529411764705,0.125,0.07692307692307693,0.09090909090909091,0.10909090909090909,0.3333333333333333,0.3333333333333333,1.0,0.1111111111111111,0.2222222222222222,0.5,1.0,0.3333333333333333,24.763636363636362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
2037,1610612741,Jamal Crawford,Jamal Crawford,2037,CHI,11100.0,185,-12,362,357,129,149,43,719,7.0,1.0,5.0,12.0,23.0,15.0,42.0,3.0,48.0,343,1.0,4.0,,2.0,5.0,19.0,1.0,20.0,4.0,,25.0,27.0,10.0,7.0,56.0,2.0,4.0,13,19,3.0,22,10.0,2.0,18.0,8.0,3.0,7.0,,6.0,2.0,1.0,2.0,,2.0,1.0,20.0,129,0.13333333333333333,0.13333333333333333,0.35714285714285715,0.25,0.2631578947368421,0.36885245901639346,0.16666666666666666,0.31666666666666665,0.38095238095238093,0.16666666666666666,0.3225806451612903,,,19.75609756097561,0.5555555555555556,0.11304347826086956,0.014184397163120567,0.11428571428571428,0.11333333333333333,0.01764705882352941,0.02631578947368421,0.024390243902439025,,0.16129032258064516,0.05,0.07692307692307693,0.5,0.11475409836065574,0.19672131147540983,0.4166666666666667,0.4166666666666667,,0.3770491803278688,0.16666666666666666,0.4262295081967213,0.4371827868852459,0.45871666666666666,0.4309950000000001,0.03225806451612903,0.046511627906976744,0.041666666666666664,0.4166666666666667,12.526190476190477,0.356353591160221,2.0,,,4.0,8.0,26.0,2.0,2.0,8.0,13.0,10.0,3.0,8.0,,0.13636363636363635,0.2857142857142857,0.2857142857142857,0.5,0.34782608695652173,0.34782608695652173,0.125,,,0.13333333333333333,,4.0,,4.0,15.0,,2.0,5.0,19.0,,2.0,12.0,,15.0,4.0,2.0,2.0,8.0,2.0,,1.0,1.0,1.0,1.0,1.0,0.8,0.2631578947368421,,0.2631578947368421,0.3114754098360656,0.1,0.2222222222222222,0.05128205128205128,0.06557377049180328,0.2459016393442623,0.26666666666666666,0.2857142857142857,0.75,,0.3333333333333333,,,0.26666666666666666,25.315789473684212,1.0,2.0,3.0,9.0,3.0,11.0,3.0,1.0,1.0,4.0,4.0,0.2727272727272727,0.05263157894736842,0.06666666666666667,0.034482758620689655,0.05263157894736842,0.25,0.25,1.0,0.06666666666666667,0.3,0.3333333333333333,,,,,,,,,,,,,True,,,,,,,,,,
2053,1610612741,Dalibor Bagaric,Dalibor Bagaric,2053,CHI,15591.0,260,-57,507,499,166,194,60,1006,24.0,12.0,7.0,21.0,19.0,17.0,64.0,13.0,47.0,506,5.0,14.0,3.0,13.0,7.0,23.0,7.0,21.0,14.0,10.0,6.0,10.0,3.0,1.0,24.0,20.0,7.0,22,34,22.0,56,9.0,3.0,21.0,5.0,24.0,44.0,3.0,28.0,13.0,2.0,16.0,6.0,16.0,10.0,21.0,166,0.4117647058823529,0.5,0.265625,0.35714285714285715,0.30434782608695654,0.26153846153846155,0.35714285714285715,0.30434782608695654,0.2987012987012987,0.40625,0.37037037037037035,0.15625,0.047619047619047616,17.162872154115586,0.42857142857142855,0.13924050632911392,0.09803921568627451,0.16279069767441862,0.14427860696517414,0.08571428571428572,0.2,0.04918032786885246,0.07526881720430108,0.17777777777777778,0.21568627450980393,0.1935483870967742,0.625,0.36923076923076925,0.3230769230769231,0.3333333333333333,0.35,0.42857142857142855,0.2923076923076923,0.8571428571428571,0.38461538461538464,0.4541861538461537,0.5314916666666667,0.4425695652173914,0.17333333333333334,0.17567567567567569,0.2765957446808511,0.44680851063829785,8.13125,0.32741617357001973,9.0,4.0,4.0,8.0,1.0,20.0,4.0,4.0,2.0,9.0,7.0,2.0,6.0,0.3333333333333333,0.04838709677419355,0.375,0.5625,0.3333333333333333,0.05263157894736842,0.05555555555555555,1.0,0.3333333333333333,0.25,0.34782608695652173,0.5,1.0,,,,,,,1.0,,,,6.0,,,5.0,3.0,12.0,,4.0,3.0,1.0,10.0,,4.0,,,,,0.015384615384615385,0.17857142857142858,0.08333333333333333,0.07894736842105263,0.015384615384615385,,,,,,,,,,22.9,,,,,,,,,1.0,1.0,4.0,,,,0.024390243902439025,,,,,,,,1.0,4.0,1.0,0.05263157894736842,0.047619047619047616,0.07692307692307693,,,,,,,True,,,,,,,,,,
697,1610612741,Fred Hoiberg,Fred Hoiberg,697,CHI,5761.0,96,-32,184,172,44,57,22,356,2.0,,,1.0,8.0,5.0,11.0,8.0,27.0,191,,,1.0,1.0,1.0,2.0,1.0,6.0,10.0,,3.0,4.0,,3.0,9.0,,1.0,9,11,,11,1.0,,1.0,,4.0,7.0,,9.0,3.0,,,,,,6.0,44,1.0,1.0,0.45454545454545453,,0.5,0.5277777777777778,,0.625,0.5714285714285714,,0.625,,,10.628019323671499,1.0,0.1875,,0.08333333333333333,0.16666666666666666,,,,,0.14285714285714285,0.1875,,,0.1111111111111111,0.05555555555555555,,,,0.4444444444444444,,0.5,0.5068694444444444,0.49365,0.46976249999999997,0.14285714285714285,0.21428571428571427,0.037037037037037035,0.2222222222222222,14.9,0.2391304347826087,2.0,,,,3.0,,1.0,1.0,,4.0,3.0,1.0,1.0,,0.2222222222222222,1.0,1.0,1.0,0.375,0.375,1.0,,,,,,,3.0,7.0,,2.0,3.0,7.0,,2.0,9.0,,7.0,3.0,1.0,,,,,,3.0,,,1.0,1.0,0.42857142857142855,,0.42857142857142855,0.3888888888888889,0.125,0.5,,,0.3888888888888889,0.42857142857142855,0.42857142857142855,1.0,,1.0,,,0.42857142857142855,25.571428571428573,,,1.0,2.0,1.0,2.0,,,,,,0.5,,,,,,,,,0.5,0.5,,,,,,,,,,,,,True,,,,,,,,,,
1724,1610612741,Bryce Drew,Bryce Drew,1724,CHI,1650.0,28,-13,56,53,22,31,11,109,,,1.0,2.0,5.0,1.0,7.0,,5.0,61,,,,,1.0,6.0,,2.0,,,6.0,7.0,2.0,4.0,15.0,,,1,1,,1,,,,,,2.0,,,,,,,,,2.0,22,,,0.14285714285714285,,0.16666666666666666,0.3125,,0.16666666666666666,0.3125,,0.16666666666666666,,,12.121212121212121,,0.058823529411764705,,,0.05,,,,,,0.14285714285714285,,,,0.25,0.5,0.5,,0.625,,0.125,0.37181875000000003,,0.3379666666666667,,,,0.4,16.414285714285715,0.39285714285714285,,,,,,2.0,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,3.0,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,1.0,0.125,,,,,0.125,1.0,1.0,1.0,,,,,1.0,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
2033,1610612741,Marcus Fizer,Marcus Fizer,2033,CHI,9627.0,160,-12,310,310,90,99,29,620,24.0,2.0,19.0,33.0,7.0,39.0,64.0,8.0,92.0,288,4.0,4.0,,8.0,9.0,17.0,2.0,23.0,54.0,6.0,5.0,6.0,1.0,2.0,13.0,3.0,5.0,21,27,5.0,32,9.0,4.0,13.0,3.0,10.0,16.0,2.0,12.0,5.0,1.0,1.0,,1.0,,23.0,90,0.6923076923076923,0.75,0.609375,1.0,0.5294117647058824,0.6176470588235294,1.0,0.5833333333333334,0.6216216216216216,1.0,0.6052631578947368,0.09375,0.12121212121212122,25.58823529411765,0.6923076923076923,0.19811320754716982,0.024793388429752067,0.2,0.1984732824427481,0.034013605442176874,0.05714285714285714,0.02702702702702703,,0.08571428571428572,0.30303030303030304,0.17647058823529413,,0.35294117647058826,0.4852941176470588,0.5757575757575758,0.6551724137931034,0.8421052631578947,0.10294117647058823,0.5,0.4117647058823529,0.45831470588235296,0.5741,0.4776416666666667,0.0684931506849315,0.07246376811594203,0.08695652173913043,0.25,6.801562499999999,0.2903225806451613,16.0,2.0,3.0,6.0,4.0,24.0,1.0,1.0,2.0,1.0,1.0,,5.0,0.08333333333333333,0.21052631578947367,0.6666666666666666,0.7272727272727273,0.5,0.5714285714285714,0.5714285714285714,0.75,1.0,,0.3333333333333333,0.5,1.0,,2.0,3.0,,,2.0,4.0,,,3.0,6.0,3.0,2.0,1.0,,4.0,1.0,,,,1.0,,,0.5,0.5,,0.5,0.058823529411764705,0.06666666666666667,0.25,,0.014705882352941176,0.04411764705882353,0.6666666666666666,0.6666666666666666,0.5,,,,,0.6666666666666666,25.674999999999997,,,1.0,1.0,1.0,1.0,3.0,,2.0,1.0,,1.0,,,0.07692307692307693,0.0625,,,,,0.05555555555555555,1.0,,1.0,1.0,,,0.1,,,,,,,True,,,,,,,,,,
2062,1610612741,A.J. Guyton,A.J. Guyton,2062,CHI,4538.0,76,-36,150,151,72,59,23,301,,,1.0,2.0,13.0,5.0,15.0,7.0,20.0,152,1.0,1.0,1.0,3.0,3.0,9.0,3.0,12.0,4.0,,4.0,6.0,1.0,2.0,14.0,,,4,4,,4,3.0,,6.0,1.0,5.0,8.0,,8.0,2.0,2.0,1.0,,1.0,1.0,12.0,72,0.4,0.4,0.3333333333333333,1.0,0.3333333333333333,0.2826086956521739,0.5,0.375,0.37037037037037035,0.5,0.42857142857142855,,,18.75,0.5,0.0975609756097561,,,0.07142857142857142,,,,,0.1,,,1.0,,0.08695652173913043,0.5,0.5,,0.5652173913043478,,0.34782608695652173,0.4136869565217391,0.39790000000000003,0.3974125,0.08,0.11764705882352941,0.15,0.6,16.619999999999997,0.48,,,,,4.0,6.0,2.0,2.0,1.0,2.0,,2.0,3.0,,0.15789473684210525,,,,0.3076923076923077,0.3076923076923077,0.5,,,,,2.0,,1.0,6.0,,1.0,1.0,8.0,,1.0,3.0,,6.0,1.0,,,3.0,1.0,,,,,1.0,2.0,1.0,0.125,,0.125,0.34782608695652173,,,,0.08695652173913043,0.2608695652173913,0.16666666666666666,0.16666666666666666,1.0,,0.5,,,0.16666666666666666,25.275,,1.0,1.0,2.0,1.0,3.0,,,,1.0,1.0,0.3333333333333333,,,,,,,,0.08333333333333333,0.16666666666666666,0.5,,,,,,,,,,,,,True,,,,,,,,,,
1897,1610612741,Metta World Peace,Metta World Peace,1897,CHI,5821.0,97,3,186,187,53,53,20,373,11.0,,1.0,5.0,10.0,14.0,26.0,14.0,57.0,187,,,,3.0,1.0,6.0,7.0,18.0,18.0,2.0,5.0,5.0,2.0,1.0,10.0,2.0,1.0,8,10,2.0,12,1.0,,2.0,1.0,6.0,8.0,,19.0,8.0,2.0,2.0,1.0,2.0,1.0,18.0,53,0.6428571428571429,0.6428571428571429,0.5384615384615384,,0.16666666666666666,0.6515151515151515,1.5,0.55,0.6785714285714286,1.5,0.6428571428571429,0.07692307692307693,,21.153846153846153,0.5,0.14545454545454545,0.031746031746031744,0.07692307692307693,0.1323529411764706,0.02702702702702703,0.07142857142857142,0.047619047619047616,,,0.15,,0.5,0.3333333333333333,0.15151515151515152,0.2,0.2,,0.30303030303030304,,0.5454545454545454,0.485419696969697,0.54315,0.44148,0.2,0.24242424242424243,0.05263157894736842,0.3157894736842105,9.011538461538462,0.2849462365591398,9.0,,1.0,1.0,4.0,10.0,,,2.0,10.0,7.0,3.0,1.0,0.18181818181818182,0.29411764705882354,0.8181818181818182,1.0,0.6666666666666666,0.4,0.4,0.75,,,0.1,1.0,2.0,1.0,4.0,5.0,,,5.0,7.0,1.0,1.0,15.0,,5.0,4.0,1.0,,1.0,,1.0,1.0,,1.0,,2.0,1.0,0.7142857142857143,1.0,0.7142857142857143,0.21212121212121213,0.07142857142857142,0.25,,0.06060606060606061,0.15151515151515152,0.8,0.8,1.0,1.0,,,,0.8,24.957142857142856,1.0,,3.0,4.0,3.0,4.0,,,,,,0.75,,,,,0.5,0.5,1.0,,0.4,0.75,,,1.0,,,,1.0,1.0,1.0,,,,True,,,,,,,,,,
