EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,OpponentPoints,ThreePtAssists,Assists,Arc3Assists,AssistPoints,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,AtRimAssists,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,Corner3FGM,Corner3FGA,FTDefRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,DefFTReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Corner3Assists,LongMidRangeAssists,DefThreePtRebounds,BadPassTurnovers,PenaltyTurnovers,Offensive Fouls,SecondChanceFg3Pct,DefThreePtReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,3SecondViolations,ShortMidRangePctAssisted,Fg2aBlocked,ShortMidRangeAssists,LostBallSteals,Travels,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,DefAtRimReboundPct,on,SecondChanceFtPoints,FTOffRebounds,SelfOReb,Loose Ball Fouls,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,OffFTReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,HeaveAttempts,Fg3aBlocked,Technical Free Throw Trips,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Clear Path Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,BlockedCorner3,HeaveMakes,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted
1531,1610612744,Marc Jackson,Marc Jackson,1531,GSW,224.0,4,-2.0,8,8,8.0,16,11,1.0,1.0,1.0,3.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,1610612744,Antawn Jamison,Antawn Jamison,1712,GSW,1925.0,32,2.0,63,62,16.0,125,65,,1.0,,2.0,16.0,0.25396825396825395,7.0,10.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,8.0,1.0,1.0,1.0,1.0,8.0,15.0,1.0,1.0,5.0,24.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,3.0,12.0,8.0,8.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,7.0,3.0,10.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,12.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,0.5333333333333333,1.0,1.0,0.59375,1.0,1.125,0.631578947368421,1.0,1.0,0.0625,27.027027027027028,1.0,0.3333333333333333,0.09523809523809523,0.14285714285714285,0.3181818181818182,0.10714285714285714,0.25,0.125,0.5,0.2222222222222222,0.5555555555555556,0.25,0.75,0.75,0.6666666666666666,0.1875,0.6666666666666666,0.6666666666666666,0.5,0.375,0.375,0.6666666666666666,0.0625,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.25,1.0,0.3125,1.0,0.4436625,0.48329999999999995,0.4685,0.15789473684210525,0.16666666666666666,0.16666666666666666,0.5,9.94,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,1610612744,Mookie Blaylock,Mookie Blaylock,302,GSW,952.0,16,13.0,32,31,10.0,63,30,1.0,4.0,1.0,9.0,10.0,0.3125,4.0,3.0,,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,3.0,,5.0,,,,,,,1.0,,,,2.0,3.0,,1.0,,3.0,3.0,,,1.0,2.0,,2.0,,,2.0,2.0,2.0,,,,,,1.0,0.3333333333333333,,0.3333333333333333,1.0,,,0.625,,,0.625,,,0.75,16.666666666666668,,0.1111111111111111,,,0.1,,,,,,0.16666666666666666,,,,,,,,0.25,1.0,1.0,,0.25,,,,,,,,1.0,,0.75,,0.5439625,,0.5955,,,,,21.1,23.7,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,1610612744,Bob Sura,Bob Sura,682,GSW,1699.0,28,7.0,55,54,16.0,109,56,1.0,4.0,,9.0,16.0,0.2909090909090909,7.0,8.0,2.0,3.0,,,1.0,1.0,,1.0,,,2.0,4.0,1.0,3.0,2.0,4.0,4.0,7.0,2.0,18.0,,,3.0,1.0,1.0,1.0,3.0,,5.0,4.0,,12.0,,4.0,2.0,3.0,1.0,,1.0,,1.0,1.0,2.0,1.0,,2.0,1.0,2.0,4.0,2.0,5.0,1.0,1.0,1.0,0.5714285714285714,0.3333333333333333,0.5714285714285714,0.5,,1.0,0.7272727272727273,1.5,0.625,0.6923076923076923,1.5,0.625,0.6363636363636364,23.4375,0.5,,0.058823529411764705,,0.05,0.043478260869565216,,,,,,0.2727272727272727,0.6666666666666666,0.6666666666666666,1.0,0.09090909090909091,,,,,,,0.36363636363636365,0.5,0.5,1.0,,,0.25,1.0,0.75,0.3333333333333333,0.9090909090909091,0.5,0.5261181818181818,0.5898,0.51275,0.15384615384615385,0.3333333333333333,0.16666666666666666,0.2777777777777778,2.05,24.62857142857143,2.0,3.0,,,,,1.0,,0.2727272727272727,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,1610612744,John Coker,John Coker,715,GSW,1925.0,32,2.0,63,62,16.0,125,65,1.0,2.0,1.0,5.0,16.0,0.25396825396825395,7.0,10.0,,1.0,,1.0,,,1.0,5.0,,2.0,,,,,1.0,8.0,,,,2.0,,1.0,,,1.0,,,,,2.0,,,,,,1.0,1.0,,3.0,1.0,2.0,3.0,5.0,,,2.0,3.0,4.0,,,,1.0,1.0,,,,,0.125,,,0.125,,,0.125,,,,13.513513513513514,,0.047619047619047616,0.14285714285714285,,0.045454545454545456,0.10714285714285714,,0.125,,0.1111111111111111,,0.125,,,,0.625,0.2,0.2,0.25,,,,,,,,1.0,,,,,,0.125,,0.40986249999999996,0.5468,0.3493,,,,,10.712499999999999,,,,1.0,1.0,1.0,1.0,2.0,0.5,,,,,,,,,,,,,1.0,,,,0.2222222222222222,,,,,1.0,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,1610612744,Larry Hughes,Larry Hughes,1716,GSW,1255.0,21,5.0,39,40,7.0,79,39,2.0,5.0,,12.0,7.0,0.1794871794871795,5.0,6.0,3.0,4.0,,1.0,,,,3.0,1.0,2.0,,1.0,,,4.0,9.0,,1.0,2.0,10.0,,2.0,,,2.0,,,,,6.0,2.0,,,1.0,,3.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,2.0,1.0,,0.75,0.75,,,,,0.4444444444444444,,,0.4,,,0.45454545454545453,,,0.1,28.26086956521739,0.5,0.07142857142857142,0.08333333333333333,,0.06666666666666667,0.058823529411764705,0.25,,,0.2,,0.4,0.75,0.75,0.6666666666666666,0.3,,,0.2,0.5,1.0,1.0,0.1,,,,0.3333333333333333,,,,,,0.5,,0.53291,0.52465,0.32605,0.09090909090909091,0.1,,,8.166666666666666,25.5,,,,6.0,2.0,,1.0,,,,,,,1.0,,1.0,2.0,1.0,,,,,,,,,0.3333333333333333,,,,,2.0,1.0,4.0,1.0,0.2222222222222222,0.3333333333333333,0.5,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,1610612744,Vonteego Cummings,Vonteego Cummings,1907,GSW,1014.0,17,-8.0,33,32,6.0,65,35,,,,,6.0,0.18181818181818182,4.0,8.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0,6.0,,,3.0,,,,,,,2.0,,,,1.0,1.0,,,,1.0,3.0,3.0,1.0,4.0,,,2.0,1.0,1.0,2.0,1.0,,1.0,1.0,,1.0,,1.0,0.5,,,0.8333333333333334,1.5,,0.75,1.5,,0.3333333333333333,14.634146341463415,,0.23076923076923078,0.06666666666666667,,0.23076923076923078,0.05,,,,0.125,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,,,,,,,,0.6666666666666666,1.0,0.6010333333333334,0.594,,0.25,0.3333333333333333,0.5,,10.35,25.2,,,,1.0,,,2.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,0.16666666666666666,,1.0,1.0,,,,,,1.0,,,,,3.0,1.0,1.0,0.5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2084,1610612744,Chris Porter,Chris Porter,2084,GSW,89.0,1,-1.0,3,3,1.0,6,4,,,,,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,1610612744,Vinny Del Negro,Vinny Del Negro,219,GSW,226.0,4,-5.0,8,8,,16,9,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,1610612744,Chris Mullin,Chris Mullin,904,GSW,226.0,4,-5.0,8,8,,16,9,,,,,,,,2.0,,,,,,,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,2.0,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.5,,,0.5,,,0.5,20.0,,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,,0.5,,,,,,,,,,0.5,,0.5782,0.7233,,,,,,19.1,24.5,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
