EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,LongMidRangeFGA,FG2A,OpponentPoints,PenaltyFG2A,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,FG2APctBlocked,AtRimPctBlocked,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,LongMidRangeFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LongMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,Blocked2s,BlockedAtRim,Blocks,Corner3FGA,OffThreePtRebounds,LostBallOutOfBoundsTurnovers,LostBallTurnovers,ShootingFouls,NonShootingFoulsDrawn,BlockedShortMidRange,RecoveredBlocks,ShortMidRangePctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,Corner3Frequency,SecondChanceAtRimPctAssisted,Corner3Assists,ShortMidRangeAssists,FTDefRebounds,Loose Ball Fouls,Offensive Fouls,DefensiveGoaltends,DefFTReboundPct,OffCorner3ReboundPct,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SelfOReb,BlockedLongMidRange,SecondChanceFg3Pct,SelfORebPct,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Technical Free Throw Trips,SecondChanceTurnovers,HeaveAttempts,Travels,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,on,FTOffRebounds,Blocked3s,BlockedArc3,LongMidRangePctBlocked,OffFTReboundPct,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips,OffensiveGoaltends,3SecondViolations,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,Corner3PctBlocked
1110,1610612743,Mark Strickland,Mark Strickland,1110,DEN,391.0,7,6.0,14,13,14.0,11.0,2,27,3.0,3.0,2.0,5.0,7,5.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,0.4,0.6666666666666666,35.29411764705882,0.125,0.125,0.25,0.6,0.4,0.6,0.6,0.49012,0.49012,7.080000000000001,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
123,1610612743,Robert Pack,Robert Pack,123,DEN,4064.0,68,27.0,136,136,29.0,46.0,14,272,7.0,2.0,6.0,16.0,126,2.0,1.0,20.0,22.0,13.0,46.0,4.0,6.0,9.0,2.0,,2.0,4.0,,29.0,0.0625,0.14285714285714285,19.48051948051948,0.07692307692307693,0.09230769230769231,0.09523809523809523,0.30434782608695654,0.2608695652173913,0.5,0.6086956521739131,0.5044608695652173,0.5115875,10.01875,0.21323529411764705,5.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,7.0,1.0,2.0,10.0,4.0,7.0,2.0,34.0,3.0,3.0,6.0,1.0,1.0,2.0,1.0,6.0,2.0,18.0,9.0,3.0,2.0,7.0,4.0,2.0,2.0,7.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,7.0,1.0,4.0,6.0,1.0,0.1,0.1111111111111111,0.75,0.5714285714285714,0.5,0.5714285714285714,0.625,1.0,0.5,0.6956521739130435,1.0,0.625,0.6538461538461539,1.0,0.5,0.30434782608695654,0.5,0.05555555555555555,0.15384615384615385,0.046875,0.06666666666666667,0.08695652173913043,0.07692307692307693,0.05555555555555555,0.1111111111111111,0.25,0.7142857142857143,0.8333333333333334,0.13043478260869565,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.25,0.30434782608695654,0.5714285714285714,0.5714285714285714,0.75,0.6666666666666666,1.0,0.5,0.5,0.5,0.5714285714285714,0.49155,0.15384615384615385,0.21052631578947367,0.17647058823529413,0.17647058823529413,25.542857142857144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
145,1610612743,Tracy Murray,Tracy Murray,145,DEN,273.0,5,,10,9,10.0,9.0,1,19,,,,,7,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,10.0,,,18.181818181818183,0.16666666666666666,0.16666666666666666,0.3333333333333333,,,,1.0,0.54945,0.54945,,1.0,,,,,,,,,1.0,,1.0,,,1.0,2.0,2.0,,,,,,1.0,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,2.0,,1.0,2.0,,,,,,,,,,,,,,0.5,,0.5,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,0.5,1.0,,1.0,25.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1711,1610612743,Raef LaFrentz,Raef LaFrentz,1711,DEN,4379.0,73,22.0,142,140,25.0,16.0,19,282,11.0,1.0,8.0,24.0,129,1.0,3.0,4.0,5.0,1.0,11.0,13.0,16.0,21.0,1.0,1.0,2.0,4.0,,25.0,0.125,0.18181818181818182,20.731707317073173,0.23214285714285715,0.2191780821917808,0.2727272727272727,0.4074074074074074,0.2962962962962963,1.0,0.5185185185185185,0.48229259259259255,0.5707,8.15,0.176056338028169,6.0,3.0,4.0,1.0,,5.0,4.0,,2.0,,,10.0,,3.0,4.0,24.0,3.0,5.0,6.0,1.0,,,4.0,6.0,14.0,6.0,,,2.0,2.0,,1.0,1.0,3.0,3.0,3.0,5.0,,2.0,1.0,1.0,6.0,6.0,,1.0,6.0,1.0,0.7,0.7777777777777778,,,,,0.4166666666666667,0.6,1.0,0.37037037037037035,0.6,1.0,0.4,0.6,1.0,0.1111111111111111,0.5,0.05357142857142857,0.17647058823529413,0.07462686567164178,0.0625,0.041666666666666664,0.2777777777777778,0.125,0.23076923076923078,,0.5454545454545454,0.6666666666666666,0.18518518518518517,,,0.5,0.5,0.75,0.07407407407407407,,,,0.8,0.75,1.0,,,,0.568025,0.03571428571428571,0.04,0.25,0.25,25.5,7.0,5.0,7.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,0.2,0.18181818181818182,0.0625,0.2,0.42857142857142855,0.6666666666666666,0.037037037037037035,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
384,1610612743,Calbert Cheaney,Calbert Cheaney,384,DEN,9137.0,152,33.0,292,291,63.0,86.0,42,583,9.0,2.0,17.0,30.0,283,3.0,2.0,6.0,9.0,3.0,21.0,10.0,15.0,20.0,4.0,3.0,2.0,5.0,2.0,63.0,0.06666666666666667,0.2222222222222222,10.526315789473685,0.09174311926605505,0.09929078014184398,0.04081632653061224,0.3,0.5666666666666667,0.6666666666666666,0.3,0.4531066666666667,0.5041333333333333,11.34,0.21575342465753425,5.0,3.0,3.0,1.0,,4.0,5.0,,,,,10.0,,,1.0,21.0,3.0,3.0,6.0,1.0,,,,2.0,16.0,4.0,,,,,,3.0,1.0,1.0,3.0,4.0,5.0,1.0,3.0,1.0,3.0,14.0,2.0,,1.0,2.0,3.0,0.8,0.8,,,,,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3387096774193548,1.0,0.3333333333333333,,0.6,0.025,0.125,0.034482758620689655,,0.03571428571428571,0.14814814814814814,0.12121212121212122,0.13043478260869565,0.1111111111111111,0.5555555555555556,0.7142857142857143,0.13333333333333333,,,0.29411764705882354,0.29411764705882354,0.8,,,,,1.0,1.0,0.5,,,,0.5491,0.03225806451612903,0.03225806451612903,0.2857142857142857,0.09523809523809523,,2.0,1.0,2.0,,2.0,,,8.0,,1.0,1.0,,0.08,0.030303030303030304,0.05263157894736842,0.5,0.8,,0.6666666666666666,2.0,2.0,1.0,1.0,1.0,1.0,0.1,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1721,1610612743,Keon Clark,Keon Clark,1721,DEN,561.0,9,3.0,19,20,19.0,17.0,4,39,2.0,2.0,,2.0,14,2.0,,,,,,2.0,3.0,4.0,1.0,,,,,19.0,,,8.333333333333334,0.25,0.2222222222222222,0.25,1.0,,1.0,1.0,0.7544,0.7544,,1.0,2.0,1.0,1.0,2.0,,,,,,,,2.0,,,,4.0,1.0,1.0,2.0,2.0,,,,4.0,2.0,2.0,,,2.0,,,,,,,,1.0,1.0,,,,1.0,,,,4.0,,0.5,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.09090909090909091,,,,0.3333333333333333,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,0.5,1.0,,,,,,1.0,,,,,,,,0.5,,1.0,,0.5,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1763,1610612743,Ryan Bowen,Ryan Bowen,1763,DEN,1627.0,27,36.0,50,50,20.0,8.0,8,100,9.0,1.0,,9.0,33,1.0,,1.0,1.0,1.0,2.0,1.0,2.0,5.0,,,,1.0,1.0,20.0,,,19.35483870967742,0.047619047619047616,0.06451612903225806,,0.8181818181818182,,0.5,1.0,0.6005636363636363,0.5528,,0.4,7.0,2.0,3.0,1.0,,,,,1.0,,,7.0,1.0,2.0,2.0,19.0,2.0,3.0,4.0,1.0,1.0,1.0,,5.0,10.0,4.0,3.0,,4.0,1.0,,,,,3.0,1.0,3.0,,1.0,,1.0,3.0,2.0,2.0,2.0,5.0,1.0,0.7142857142857143,1.0,1.0,0.5,1.0,0.5,0.7777777777777778,0.6666666666666666,1.0,0.7727272727272727,0.6666666666666666,1.25,0.8636363636363636,0.6666666666666666,1.25,0.18181818181818182,1.0,0.15789473684210525,0.1,0.125,0.2,0.2,,0.16666666666666666,0.1,,0.7777777777777778,0.7777777777777778,,,,,,,0.09090909090909091,,,,1.0,0.6666666666666666,1.0,,,,0.5649666666666667,0.18181818181818182,0.2222222222222222,0.21052631578947367,0.2631578947368421,24.75,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,,,,,1.0,0.7142857142857143,0.09090909090909091,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1899,1610612743,James Posey,James Posey,1899,DEN,6777.0,113,-4.0,219,219,29.0,58.0,30,438,15.0,,12.0,29.0,226,4.0,,6.0,7.0,1.0,15.0,13.0,16.0,25.0,4.0,2.0,2.0,4.0,1.0,29.0,,,18.972332015810277,0.17567567567567569,0.16494845360824742,0.16666666666666666,0.39473684210526316,0.3157894736842105,,0.631578947368421,0.516257894736842,0.41398,8.420689655172414,0.1324200913242009,11.0,1.0,2.0,,1.0,2.0,6.0,1.0,5.0,,,18.0,2.0,9.0,12.0,54.0,1.0,3.0,9.0,1.0,,1.0,6.0,8.0,34.0,2.0,6.0,,2.0,5.0,1.0,1.0,1.0,4.0,8.0,3.0,9.0,2.0,2.0,,2.0,8.0,13.0,1.0,5.0,8.0,2.0,0.9444444444444444,1.0,1.0,0.2222222222222222,,0.2222222222222222,0.6206896551724138,0.3333333333333333,0.25,0.5526315789473685,0.625,0.2,0.6136363636363636,0.75,0.5,0.23684210526315788,0.5,0.08888888888888889,0.13043478260869565,0.08333333333333333,0.045454545454545456,0.09090909090909091,0.047619047619047616,0.30434782608695654,0.125,0.14285714285714285,0.7333333333333333,0.7333333333333333,0.05263157894736842,0.5,0.5,0.5,0.5,1.0,0.13157894736842105,0.2,0.2,1.0,0.5,0.5,,,,0.2,0.5505,0.11904761904761904,0.15151515151515152,0.16666666666666666,0.14814814814814814,24.466666666666665,1.0,,1.0,4.0,1.0,,,1.0,2.0,,1.0,,0.05555555555555555,0.125,0.07142857142857142,1.0,0.9090909090909091,0.10526315789473684,,,1.0,,1.0,2.0,,,,1.0,,1.0,0.25,0.25,1.0,0.2,,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,0.1111111111111111,1.0,0.25,1.0,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,
89,1610612743,Nick Van Exel,Nick Van Exel,89,DEN,3342.0,56,12.0,105,107,19.0,27.0,17,212,6.0,1.0,4.0,16.0,100,3.0,,10.0,11.0,6.0,23.0,2.0,4.0,5.0,1.0,,2.0,4.0,1.0,19.0,,,27.64227642276423,0.058823529411764705,0.08163265306122448,0.14285714285714285,0.20689655172413793,0.13793103448275862,0.25,0.6551724137931034,0.46471034482758616,0.3831875,7.3625,0.18095238095238095,5.0,,1.0,,3.0,6.0,1.0,5.0,11.0,1.0,1.0,9.0,6.0,13.0,1.0,37.0,,1.0,3.0,,1.0,1.0,1.0,4.0,4.0,14.0,12.0,6.0,,11.0,5.0,1.0,,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,,2.0,,,4.0,,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.46153846153846156,1.0,0.46153846153846156,0.5625,,,0.6206896551724138,0.75,0.375,0.6166666666666667,0.75,0.4,0.4482758620689655,0.5,0.022222222222222223,0.13333333333333333,0.017543859649122806,,,,,0.125,0.14285714285714285,0.8333333333333334,0.8333333333333334,0.20689655172413793,0.5,0.5,0.25,0.25,,0.3793103448275862,0.45454545454545453,0.45454545454545453,0.8,0.5,,,0.25,1.0,0.45454545454545453,0.4658,,,0.08108108108108109,0.10810810810810811,25.584615384615383,,,,2.0,,,1.0,,1.0,,,,,0.06666666666666667,,,0.2,0.06896551724137931,,1.0,1.0,,,,,,,1.0,,,0.5,0.5,,,,,,1.0,1.0,,,,1.0,,0.3333333333333333,,,,1.0,1.0,0.5,1.0,1.0,,,,,,,True,,,,,,,,,,,,,,
45,1610612743,George McCloud,George McCloud,45,DEN,2892.0,48,15.0,86,83,25.0,35.0,16,169,1.0,,5.0,8.0,84,3.0,,19.0,19.0,12.0,38.0,3.0,3.0,4.0,,,,5.0,3.0,25.0,,,15.238095238095237,0.09090909090909091,0.07142857142857142,0.1111111111111111,0.09090909090909091,0.45454545454545453,,0.36363636363636365,0.4596636363636364,0.3970666666666667,15.4375,0.29069767441860467,,,,,2.0,2.0,,1.0,3.0,,,2.0,1.0,3.0,1.0,8.0,,1.0,,,,,1.0,1.0,,4.0,3.0,,,3.0,1.0,,,3.0,1.0,,1.0,,5.0,,4.0,4.0,1.0,,,1.0,1.0,,,1.0,0.3333333333333333,,0.3333333333333333,0.25,,,0.3181818181818182,,,0.3181818181818182,,,0.2727272727272727,1.0,0.03225806451612903,,0.025,,,0.125,,,,,,0.18181818181818182,1.0,1.0,,,,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,,,,,,0.3333333333333333,,,,,0.125,25.566666666666666,,,,,,,1.0,2.0,,,,,,0.16666666666666666,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,1.0,,,0.125,,,,,,,,,,1.0,,,,,,True,,,,,,,,,,,,,,
