EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG3A,SecondChanceFtPoints,PenaltyFG3A,PenaltyFtPoints,PtsAssisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,FTOffRebounds,FTDefRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,BlockedShortMidRange,DefensiveGoaltends,3SecondViolations,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGM,Corner3Assists,BadPassOutOfBoundsTurnovers,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,AtRimPctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyCorner3FGM,SecondChanceArc3FGA,LostBallSteals,Clear Path Fouls,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Accuracy,PtsUnassisted3s,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,LostBallOutOfBoundsTurnovers,BlockedLongMidRange,Defensive 3 Seconds Violations,on,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,HeaveMakes,Fg3aBlocked,Technical Free Throw Trips,Blocked3s,BlockedArc3,SecondChanceFg3Pct,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedCorner3,Arc3PctBlocked,OffensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct
1035,1610612759,Shawnelle Scott,Shawnelle Scott,1035,SAS,643.0,11.0,-1.0,19,19,7,4,2.0,38,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,15,1.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,7,0.2,0.5,0.3333333333333333,0.2,0.5,0.3333333333333333,0.21428571428571427,0.5,0.25,36.36363636363637,0.2857142857142857,0.125,0.5,0.3333333333333333,0.1111111111111111,0.25,0.5,0.3333333333333333,1.0,1.0,0.4,0.5,0.5,0.4,0.2,1.0,0.5,0.3333333333333333,1.0,0.4,0.45687999999999995,0.6416999999999999,0.459,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.6666666666666666,6.0,0.3684210526315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1495,1610612759,Tim Duncan,Tim Duncan,1495,SAS,6104.0,102.0,-50.0,193,197,70,14,29.0,390,8.0,11.0,3.0,5.0,3.0,5.0,20.0,12.0,22.0,43.0,13.0,57.0,235,6.0,10.0,14.0,8.0,16.0,22.0,26.0,9.0,2.0,23.0,26.0,10.0,36.0,,,4.0,11.0,2.0,6.0,1.0,26.0,11.0,7.0,4.0,7.0,3.0,22.0,70,0.5116279069767442,0.6,0.5,0.4888888888888889,0.6,0.47058823529411764,0.5,0.5833333333333334,0.5,29.31034482758621,0.2839506172839506,0.1111111111111111,0.2222222222222222,0.2777777777777778,0.09278350515463918,0.06451612903225806,0.4,0.30303030303030304,0.2,0.42857142857142855,0.24444444444444444,0.7272727272727273,0.7272727272727273,0.4444444444444444,0.26666666666666666,0.5,0.6,0.29411764705882354,0.6,0.28888888888888886,0.43770222222222216,0.43093000000000004,0.43511470588235296,0.2037037037037037,0.21153846153846154,0.24561403508771928,0.38596491228070173,8.713953488372095,0.3626943005181347,10.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,18.0,6.0,1.0,3.0,6.0,1.0,7.0,1.0,4.0,1.0,1.0,15.0,1.0,1.0,1.0,7.0,5.0,2.0,1.0,1.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,0.4090909090909091,0.47368421052631576,0.044444444444444446,0.06976744186046512,0.05,0.16666666666666666,0.6363636363636364,0.25,0.09090909090909091,0.13636363636363635,0.14285714285714285,0.17857142857142858,0.25,0.05,0.25,0.5,0.5263157894736842,0.5,0.3333333333333333,0.4,0.5,0.022222222222222223,0.022222222222222223,0.058823529411764705,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1498,1610612759,Antonio Daniels,Antonio Daniels,1498,SAS,7537.0,126.0,-50.0,240,247,99,37,29.0,487,4.0,9.0,,,1.0,4.0,10.0,4.0,10.0,23.0,5.0,34.0,280,,,2.0,3.0,8.0,10.0,14.0,1.0,2.0,5.0,7.0,1.0,8.0,2.0,2.0,1.0,7.0,2.0,5.0,,8.0,3.0,,,,,10.0,99,0.43478260869565216,,0.375,0.4264705882352941,,0.34615384615384615,0.4473684210526316,0.5,0.3333333333333333,16.129032258064516,0.054945054945054944,0.010752688172043012,0.11764705882352941,0.06481481481481481,0.008771929824561403,0.02564102564102564,0.038461538461538464,0.05405405405405406,0.1,,0.2647058823529412,0.4444444444444444,0.6666666666666666,0.29411764705882354,0.11764705882352941,,,0.3076923076923077,0.25,0.5882352941176471,0.49470454545454545,0.53745,0.4924125,0.08108108108108109,0.11538461538461539,0.058823529411764705,0.29411764705882354,7.552173913043478,0.4125,5.0,1.0,3.0,8.0,4.0,11.0,2.0,5.0,1.0,6.0,,7.0,3.0,13.0,5.0,18.0,3.0,6.0,3.0,4.0,41.0,,,1.0,6.0,5.0,1.0,,,2.0,,,1.0,,,,1.0,0.3,0.3,0.3235294117647059,0.13043478260869565,,,0.8571428571428571,,,,,0.07142857142857142,0.14285714285714285,0.0625,0.25,0.5,0.5,0.2,0.25,0.25,1.0,0.08823529411764706,0.23529411764705882,0.3076923076923077,26.454545454545453,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,9.0,1.0,2.0,2.0,1.0,1.0,0.2727272727272727,0.2,0.3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.25,0.25,1.0,1.0,0.07692307692307693,0.25,0.2857142857142857,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1507,1610612759,Derek Anderson,Derek Anderson,1507,SAS,5164.0,86.0,-31.0,163,168,60,15,25.0,331,5.0,8.0,1.0,1.0,1.0,2.0,2.0,7.0,7.0,17.0,5.0,25.0,196,1.0,2.0,2.0,1.0,7.0,6.0,4.0,1.0,2.0,4.0,6.0,1.0,7.0,3.0,2.0,2.0,6.0,2.0,5.0,1.0,6.0,3.0,,,,,6.0,60,0.4117647058823529,0.5,0.14285714285714285,0.4166666666666667,0.3333333333333333,0.25,0.46296296296296297,0.3333333333333333,0.2727272727272727,16.923076923076923,0.05333333333333334,0.015151515151515152,0.25,0.07228915662650602,0.012658227848101266,,,0.03225806451612903,0.5,,0.3333333333333333,0.625,0.7142857142857143,0.08333333333333333,0.2916666666666667,0.3333333333333333,1.0,0.2,0.5,0.625,0.5159000000000001,0.584625,0.47439,0.1111111111111111,0.15,0.08,0.24,8.388235294117647,0.36809815950920244,,2.0,2.0,5.0,1.0,7.0,,3.0,1.0,10.0,,5.0,1.0,8.0,3.0,11.0,1.0,3.0,3.0,2.0,25.0,,,,4.0,2.0,2.0,1.0,,3.0,1.0,,,,,,,0.7142857142857143,0.7142857142857143,0.2916666666666667,0.058823529411764705,,,0.6666666666666666,,,,0.045454545454545456,0.125,,,0.6,,,,0.2857142857142857,0.2857142857142857,1.0,0.08333333333333333,0.20833333333333334,0.1,25.12857142857143,1.0,,2.0,1.0,,2.0,1.0,1.0,6.0,,1.0,2.0,,1.0,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.125,0.5,0.5,1.0,0.2,0.2,1.0,,0.2,,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1956,1610612759,Ira Newble,Ira Newble,1956,SAS,10917.0,182.0,-65.0,350,356,150,61,50.0,706,9.0,17.0,4.0,6.0,3.0,5.0,7.0,22.0,17.0,46.0,8.0,54.0,387,4.0,9.0,9.0,5.0,18.0,24.0,10.0,9.0,4.0,18.0,22.0,13.0,35.0,2.0,2.0,3.0,7.0,5.0,18.0,,16.0,5.0,4.0,4.0,4.0,3.0,24.0,150,0.3695652173913043,0.4444444444444444,0.2777777777777778,0.41818181818181815,0.4444444444444444,0.41304347826086957,0.42857142857142855,0.4090909090909091,0.46153846153846156,16.908212560386474,0.13138686131386862,0.0625,0.14285714285714285,0.13333333333333333,0.06285714285714286,0.06,0.1388888888888889,0.09090909090909091,0.05263157894736842,0.75,0.3090909090909091,0.5294117647058824,0.6923076923076923,0.12727272727272726,0.4,0.6666666666666666,0.6666666666666666,0.21739130434782608,0.6,0.4727272727272727,0.494479090909091,0.5522499999999999,0.5059739130434783,0.08333333333333333,0.09803921568627451,0.16666666666666666,0.4444444444444444,10.360869565217392,0.42857142857142855,1.0,7.0,9.0,,,9.0,1.0,5.0,5.0,24.0,4.0,,7.0,5.0,1.0,6.0,1.0,2.0,1.0,2.0,13.0,2.0,,,4.0,4.0,,1.0,1.0,2.0,1.0,,3.0,,,,4.0,0.7058823529411765,0.8,0.16363636363636364,0.15217391304347827,0.2857142857142857,0.045454545454545456,0.5714285714285714,,0.10526315789473684,0.0625,0.06451612903225806,0.17391304347826086,0.3333333333333333,,0.5555555555555556,0.14285714285714285,0.2,,0.3181818181818182,0.3333333333333333,1.0,0.16363636363636364,,,23.344444444444445,4.0,,5.0,,,4.0,,3.0,9.0,,,,2.0,0.75,0.4444444444444444,0.6,0.4444444444444444,0.23529411764705882,0.4444444444444444,0.4444444444444444,0.75,,,,,0.21739130434782608,,,3.0,,,,0.25,,0.6,3.0,2.0,0.06451612903225806,0.1,,,,,True,,,,,,,,,,,,,,,,,,,,
198,1610612759,Danny Ferry,Danny Ferry,198,SAS,3198.0,53.0,,108,110,52,29,10.0,218,,,,,,,3.0,10.0,7.0,13.0,2.0,19.0,105,,1.0,,3.0,7.0,7.0,2.0,4.0,3.0,2.0,6.0,5.0,11.0,,,2.0,4.0,4.0,6.0,1.0,4.0,1.0,1.0,,1.0,1.0,7.0,52,0.5384615384615384,,0.42857142857142855,0.53125,,0.375,0.5277777777777778,,0.3888888888888889,18.487394957983195,0.05555555555555555,0.12121212121212122,0.23076923076923078,0.10204081632653061,0.125,0.1111111111111111,0.09090909090909091,0.05263157894736842,0.2,1.0,,,,0.1875,0.625,,,,,0.1875,0.41115937499999994,0.3908,0.40676875000000007,0.058823529411764705,0.07142857142857142,,0.3684210526315789,14.823076923076924,0.48148148148148145,,7.0,,3.0,1.0,3.0,,1.0,1.0,12.0,,3.0,2.0,1.0,,1.0,,,,1.0,2.0,,1.0,,2.0,2.0,,,,2.0,,,1.0,1.0,,,,0.8571428571428571,0.8571428571428571,0.1875,0.15384615384615385,0.3333333333333333,0.1,0.5,0.16666666666666666,,,0.17647058823529413,,0.3333333333333333,,,,,,0.7,0.7777777777777778,0.8571428571428571,,0.1875,0.125,24.866666666666664,,,,1.0,,1.0,,,3.0,,1.0,,1.0,1.0,0.3333333333333333,,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,1.0,,,,0.3333333333333333,,,,,,,,,1.0,0.14285714285714285,0.2,,,,,True,,,,,,,,,,,,,,,,,,,,
70,1610612759,Steve Kerr,Steve Kerr,70,SAS,4042.0,67.0,-5.0,130,125,63,21,18.0,255,1.0,2.0,,,1.0,2.0,1.0,6.0,3.0,9.0,3.0,18.0,124,1.0,1.0,2.0,2.0,5.0,13.0,4.0,2.0,1.0,,1.0,2.0,3.0,6.0,3.0,,1.0,,,,4.0,,,,,,13.0,63,0.3333333333333333,1.0,0.4,0.4411764705882353,0.5,0.45454545454545453,0.47368421052631576,0.5,0.5,13.157894736842104,,0.038461538461538464,0.0625,0.01694915254237288,0.030303030303030304,,,,0.08333333333333333,,0.11764705882352941,0.5,0.5,0.058823529411764705,0.35294117647058826,,,0.18181818181818182,0.5,0.5882352941176471,0.4426176470588235,0.451025,0.4519,,,0.1111111111111111,0.7222222222222222,13.255555555555555,0.4846153846153846,,2.0,,8.0,6.0,8.0,,6.0,3.0,2.0,,8.0,,4.0,1.0,5.0,,1.0,,3.0,11.0,,,,1.0,1.0,,,1.0,,,,2.0,,,,,0.3333333333333333,0.3333333333333333,0.47058823529411764,,,,1.0,,,,0.06896551724137931,,,,,,,,0.3333333333333333,0.3333333333333333,0.5,,0.47058823529411764,0.5454545454545454,26.5625,,,,3.0,2.0,3.0,1.0,2.0,6.0,,3.0,1.0,,0.6666666666666666,0.375,0.3333333333333333,0.375,,,,,0.375,0.375,0.6666666666666666,,,0.3333333333333333,0.375,,1.0,3.0,,,0.5,,3.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
251,1610612759,Sean Elliott,Sean Elliott,251,SAS,20.0,,-2.0,1,1,1,1,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
990,1610612759,Malik Rose,Malik Rose,990,SAS,4073.0,68.0,-14.0,134,134,67,37,16.0,268,5.0,8.0,1.0,1.0,3.0,4.0,5.0,9.0,8.0,22.0,16.0,32.0,133,1.0,1.0,4.0,4.0,9.0,14.0,4.0,2.0,3.0,10.0,16.0,3.0,19.0,5.0,4.0,1.0,2.0,3.0,4.0,,18.0,7.0,2.0,,2.0,2.0,14.0,67,0.36363636363636365,1.0,0.4444444444444444,0.3333333333333333,1.0,0.36363636363636365,0.48484848484848486,1.0,0.4666666666666667,22.727272727272727,0.23809523809523808,0.038461538461538464,0.17647058823529413,0.22033898305084745,0.045454545454545456,0.06666666666666667,0.07142857142857142,0.16666666666666666,0.18181818181818182,1.0,0.3333333333333333,0.625,0.8333333333333334,0.20833333333333334,0.375,1.0,1.0,0.36363636363636365,0.75,0.4166666666666667,0.4649520833333334,0.729,0.5072227272727273,0.22580645161290322,0.2413793103448276,0.125,0.4375,8.945454545454545,0.5,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,6.0,12.0,,2.0,5.0,1.0,1.0,2.0,,1.0,,,5.0,,3.0,,1.0,1.0,,,,1.0,1.0,,2.0,2.0,,,1.0,0.75,0.75,0.08333333333333333,0.22727272727272727,0.4,0.1111111111111111,0.5,0.375,,0.1,,0.4375,0.16666666666666666,,0.6,0.2,0.3333333333333333,1.0,0.2222222222222222,0.25,1.0,,0.08333333333333333,0.18181818181818182,25.549999999999997,,,,,,,,,,,,1.0,1.0,,,,,0.25,,,,,,,,,,,,,1.0,,1.0,,,,1.0,0.07142857142857142,,0.14285714285714285,,,,True,,,,,,,,,,,,,,,,,,,,
345,1610612759,Terry Porter,Terry Porter,345,SAS,2662.0,44.0,-22.0,87,89,35,22,16.0,176,1.0,1.0,,,1.0,1.0,,2.0,1.0,3.0,,5.0,91,,,,1.0,2.0,2.0,,1.0,,6.0,6.0,3.0,9.0,3.0,1.0,1.0,3.0,2.0,5.0,,,,,,,,2.0,35,0.3333333333333333,,0.5,0.4166666666666667,,0.3333333333333333,0.4166666666666667,,0.3333333333333333,8.256880733944953,0.21428571428571427,0.023255813953488372,,0.17142857142857143,0.0392156862745098,,0.2222222222222222,0.23076923076923078,,,0.16666666666666666,1.0,1.0,,0.3333333333333333,,,0.3333333333333333,1.0,0.6666666666666666,0.515625,0.5358,0.5428000000000001,,,,0.4,12.966666666666667,0.40229885057471265,,,1.0,2.0,,3.0,,1.0,,2.0,,2.0,1.0,7.0,,7.0,,1.0,1.0,5.0,14.0,1.0,,1.0,2.0,2.0,,,1.0,3.0,,,,,,,1.0,1.0,1.0,0.5,0.3333333333333333,,0.5,0.6666666666666666,,0.2,,0.05555555555555555,0.16666666666666666,,0.3333333333333333,1.0,,,,,,,0.16666666666666666,0.3333333333333333,,24.2,,1.0,1.0,1.0,,1.0,1.0,,3.0,,1.0,,,1.0,0.3333333333333333,,0.3333333333333333,,,,,0.5,0.5,1.0,1.0,0.3333333333333333,,0.5,,,2.0,,,,,,1.0,0.125,,0.3333333333333333,1.0,,,True,,,,,,,,,,,,,,,,,,,,
