EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,PtsPutbacks,FTOffRebounds,FTDefRebounds,SelfOReb,Offensive Fouls,BlockedLongMidRange,DefensiveGoaltends,3SecondViolations,DefFTReboundPct,OffFTReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,OffensiveGoaltends,SecondChanceArc3FGM,Clear Path Fouls,Arc3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedArc3,HeaveAttempts,on,ThreePtShootingFoulsDrawn,BlockedCorner3,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations
15,1610612746,Eric Piatkowski,Eric Piatkowski,15,LAC,35602.0,593,-80,1169,1177,377,439.0,133,2346,18.0,28.0,3.0,6.0,9.0,11.0,35.0,21.0,53,6.0,14.0,1.0,2.0,2.0,6.0,19.0,51.0,3.0,5.0,11.0,50,116,25.0,65.0,47,222,1259,5.0,17,1.0,5.0,5.0,18.0,14.0,32,7.0,17.0,20.0,69,72.0,28.0,72.0,3.0,51.0,19.0,7.0,1.0,23.0,5.0,28.0,2.0,3.0,11.0,3.0,9.0,61.0,2.0,9,12.0,40,52,11,63,18.0,14.0,4.0,12.0,3.0,7.0,6.0,1.0,5.0,2.0,18,1.0,3.0,15.0,41,4.0,52,4.0,8.0,17,7.0,3.0,1.0,2.0,3.0,1.0,69,377,11.0,0.72,0.72,0.96,0.38461538461538464,0.2,0.4117647058823529,0.38461538461538464,0.43103448275862066,0.29411764705882354,0.4375,0.48342541436464087,0.29545454545454547,0.5,0.5323383084577115,0.32608695652173914,0.5862068965517241,0.35911602209944754,0.015384615384615385,0.0603448275862069,0.07142857142857142,0.08571428571428572,0.03773584905660377,0.07142857142857142,16.565809379727686,0.6666666666666666,0.08639308855291576,0.020361990950226245,0.12371134020618557,0.02040816326530612,0.09285714285714286,0.020370370370370372,0.03225806451612903,0.011494252873563218,0.022857142857142857,0.025974025974025976,0.03508771929824561,0.08,0.12643678160919541,0.10294117647058823,0.1724137931034483,0.3333333333333333,0.15469613259668508,0.6428571428571429,0.6923076923076923,0.8333333333333334,0.19337016574585636,0.3142857142857143,0.34375,0.45454545454545453,0.292817679558011,0.39622641509433965,0.4117647058823529,0.7619047619047619,0.07734806629834254,0.42857142857142855,0.46153846153846156,1.0,0.281767955801105,0.37254901960784315,0.37254901960784315,0.9473684210526315,0.13636363636363635,0.09090909090909091,0.5,1.0,0.13636363636363635,0.1836734693877551,0.6666666666666666,0.12244897959183673,0.3333333333333333,0.22448979591836735,0.45454545454545453,0.5138121546961326,0.37254901960784315,0.4744265193370164,0.46803823529411764,0.46078571428571424,0.08762886597938144,0.13178294573643412,0.08108108108108109,0.3108108108108108,11.323275862068968,25.736923076923077,0.32249786142001713,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1709,1610612746,Michael Olowokandi,Michael Olowokandi,1709,LAC,32606.0,543,-63,1019,1016,279,325.0,137,2035,21.0,38.0,16.0,6.0,14.0,38.0,98.0,2.0,7,,,,,,,,,,,,61,143,,,20,142,1066,10.0,26,,,5.0,25.0,13.0,28,,,11.0,37,62.0,60.0,,,,,14.0,,11.0,7.0,18.0,7.0,,6.0,2.0,3.0,43.0,8.0,34,10.0,61,78,45,123,15.0,12.0,3.0,19.0,3.0,7.0,33.0,2.0,12.0,9.0,52,2.0,12.0,36.0,65,6.0,36,2.0,,11,8.0,35.0,13.0,20.0,35.0,24.0,37,279,3.0,0.5081967213114754,0.5636363636363636,,,,,,0.42657342657342656,0.38461538461538464,0.4642857142857143,0.42657342657342656,0.38461538461538464,0.4642857142857143,0.44375,0.4166666666666667,0.47435897435897434,,,0.0979020979020979,0.07894736842105263,0.10204081632653061,0.14285714285714285,,17.920540997464073,0.36538461538461536,0.13232104121475055,0.08673469387755102,0.1388888888888889,0.09302325581395349,0.13320825515947468,0.08786610878661087,0.20512820512820512,0.06043956043956044,0.05303030303030303,0.07142857142857142,0.12698412698412698,0.15819209039548024,0.10759493670886076,0.10909090909090909,0.23529411764705882,0.6857142857142857,0.26573426573426573,0.5526315789473685,0.6,0.6666666666666666,0.6853146853146853,0.3877551020408163,0.4318181818181818,0.4473684210526316,0.04895104895104895,0.2857142857142857,0.3333333333333333,,,,,,,,,,0.6153846153846154,,,,,0.5,0.42857142857142855,,,,,0.26573426573426573,,0.42201748251748256,0.5034913043478262,0.44003214285714287,0.07236842105263158,0.07236842105263158,0.176056338028169,0.2605633802816901,6.57202797202797,,0.27379784102060845,6.0,12.0,3.0,7.0,2.0,9.0,2.0,2.0,6.0,0.25,0.06976744186046512,0.1875,0.029850746268656716,0.375,0.16666666666666666,,,,,,,,,,True,,,,
1730,1610612746,Brian Skinner,Brian Skinner,1730,LAC,7806.0,130,-44,249,248,84,95.0,32,497,5.0,9.0,4.0,3.0,4.0,4.0,15.0,,4,,,,,,,,,,,,9,28,,,6,24,259,2.0,6,,,,4.0,4.0,8,,,4.0,12,10.0,8.0,,,,,4.0,,4.0,,4.0,,,1.0,,3.0,8.0,2.0,7,3.0,23,28,11,39,3.0,3.0,,5.0,,,5.0,2.0,5.0,1.0,10,,4.0,6.0,16,2.0,11,1.0,,4,2.0,2.0,1.0,1.0,2.0,,12,84,3.0,0.5555555555555556,0.625,,,,,,0.32142857142857145,0.3333333333333333,0.5,0.32142857142857145,0.3333333333333333,0.5,0.36363636363636365,0.3333333333333333,0.5,,,0.14285714285714285,0.1111111111111111,0.2,,,14.982578397212542,0.5,0.22549019607843138,0.07,0.125,0.14285714285714285,0.20634920634920634,0.07894736842105263,0.05555555555555555,0.021739130434782608,0.1388888888888889,0.14285714285714285,0.15384615384615385,0.23529411764705882,0.2619047619047619,0.10526315789473684,0.2,,0.32142857142857145,0.5555555555555556,0.625,0.6,0.5357142857142857,0.26666666666666666,0.3333333333333333,0.5,0.14285714285714285,,,,,,,,,,,,0.6666666666666666,,,,,0.5,0.75,,,,,0.32142857142857145,,0.44801785714285713,0.48782,0.49986249999999993,0.12903225806451613,0.12903225806451613,0.16666666666666666,0.5,6.757142857142857,,0.3373493975903614,1.0,2.0,2.0,2.0,,2.0,,,,0.25,0.11764705882352941,,,0.25,,,,,,,,,,,True,,,,
1894,1610612746,Corey Maggette,Corey Maggette,1894,LAC,81678.0,1361,-91,2604,2633,849,943.0,313,5237,129.0,197.0,54.0,34.0,50.0,37.0,112.0,42.0,122,7.0,20.0,1.0,2.0,3.0,10.0,10.0,36.0,2.0,6.0,13.0,208,431,17.0,56.0,223,690,2701,42.0,78,1.0,4.0,25.0,112.0,51.0,106,9.0,23.0,79.0,208,216.0,200.0,48.0,3.0,36.0,10.0,49.0,,65.0,17.0,82.0,13.0,4.0,31.0,17.0,17.0,181.0,13.0,72,35.0,143,203,88,291,35.0,22.0,13.0,58.0,6.0,31.0,48.0,14.0,27.0,3.0,106,11.0,39.0,54.0,140,10.0,288,23.0,7.0,116,36.0,9.0,5.0,4.0,9.0,6.0,208,849,24.0,0.5192307692307693,0.6171428571428571,0.9411764705882353,0.30357142857142855,0.25,0.391304347826087,0.30357142857142855,0.48259860788863107,0.5384615384615384,0.4811320754716981,0.4794661190965092,0.5304878048780488,0.5,0.5543831168831169,0.5833333333333334,0.5722222222222222,0.11498973305954825,,0.1136890951276102,0.1116751269035533,0.21428571428571427,0.02459016393442623,,24.195710455764075,0.5471698113207547,0.13414634146341464,0.07331975560081466,0.1590909090909091,0.065,0.13841368584758942,0.07191201353637902,0.084070796460177,0.07506702412868632,0.06527415143603134,0.0718562874251497,0.06909090909090909,0.12303664921465969,0.1882640586797066,0.17177914110429449,0.12280701754385964,0.6666666666666666,0.40451745379876797,0.6548223350253807,0.7371428571428571,0.5581395348837209,0.2299794661190965,0.33035714285714285,0.42045454545454547,0.40540540540540543,0.25051334702258726,0.3442622950819672,0.35294117647058826,0.5,0.04106776180698152,0.35,0.35,1.0,0.07392197125256673,0.2777777777777778,0.2777777777777778,0.9,0.6585365853658537,0.024390243902439025,0.5,1.0,0.024390243902439025,0.3875968992248062,0.68,0.07751937984496124,0.3,0.10077519379844961,0.46153846153846156,0.5195071868583162,0.2777777777777778,0.4954272073921971,0.5018633333333332,0.5077348837209301,0.2,0.22137404580152673,0.16231884057971013,0.30144927536231886,7.390951276102089,24.932142857142846,0.326036866359447,34.0,66.0,3.0,25.0,10.0,16.0,,,,0.23809523809523808,0.024193548387096774,0.030303030303030304,0.04784688995215311,0.6296296296296297,0.08823529411764706,1.0,,,,,,,,,True,,,,
2039,1610612746,Keyon Dooling,Keyon Dooling,2039,LAC,40140.0,669,-4,1280,1304,479,468.0,154,2584,34.0,58.0,1.0,13.0,22.0,10.0,31.0,24.0,64,3.0,10.0,,1.0,1.0,3.0,11.0,37.0,1.0,9.0,17.0,68,153,14.0,47.0,60,238,1282,6.0,8,1.0,2.0,8.0,23.0,25.0,61,10.0,20.0,35.0,115,30.0,106.0,27.0,15.0,37.0,11.0,8.0,2.0,90.0,17.0,107.0,12.0,5.0,48.0,7.0,35.0,231.0,,4,4.0,41,45,6,51,22.0,10.0,12.0,30.0,8.0,17.0,22.0,4.0,13.0,,52,2.0,17.0,29.0,65,,80,5.0,,29,13.0,6.0,1.0,3.0,6.0,4.0,115,479,8.0,0.22058823529411764,0.22058823529411764,0.6428571428571429,0.2978723404255319,0.5,0.5,0.2978723404255319,0.4444444444444444,0.75,0.4098360655737705,0.445,0.75,0.49382716049382713,0.5021097046413502,0.7666666666666667,0.5528846153846154,0.235,0.0425531914893617,0.05228758169934641,0.06896551724137931,0.12903225806451613,,0.1,19.726962457337883,0.5769230769230769,0.07578558225508318,0.008602150537634409,0.0392156862745098,,0.06998444790046657,0.007067137809187279,0.00847457627118644,0.006211180124223602,0.010752688172043012,,0.056910569105691054,0.06315789473684211,0.09649122807017543,0.0125,0.13636363636363635,0.6666666666666666,0.29,0.5862068965517241,0.6296296296296297,0.23529411764705882,0.155,0.3225806451612903,0.37037037037037035,0.1,0.32,0.375,0.375,0.25,0.05,0.3,0.3333333333333333,1.0,0.185,0.2972972972972973,0.3055555555555556,0.5454545454545454,0.1,0.1,,,0.1,0.2716049382716049,0.5909090909090909,0.037037037037037035,0.3333333333333333,0.20987654320987653,0.5294117647058824,0.525,0.2972972972972973,0.45992525,0.39475,0.44655,0.12946428571428573,0.1638418079096045,0.09663865546218488,0.4831932773109244,9.500653594771242,25.353191489361706,0.37421875,,,2.0,,,4.0,2.0,,,,0.02531645569620253,,,,,,1.0,1.0,0.02702702702702703,1.0,1.0,,,,True,,,,
976,1610612746,Jeff McInnis,Jeff McInnis,976,LAC,40941.0,682,-74,1313,1319,391,503.0,155,2632,17.0,28.0,,8.0,13.0,47.0,97.0,31.0,79,,1.0,,1.0,,,14.0,45.0,1.0,7.0,20.0,95,204,14.0,46.0,48,280,1403,5.0,12,1.0,2.0,5.0,18.0,30.0,52,7.0,20.0,25.0,106,50.0,140.0,33.0,9.0,45.0,14.0,9.0,,81.0,22.0,103.0,20.0,2.0,31.0,19.0,31.0,228.0,,11,9.0,37,47,11,58,17.0,8.0,9.0,20.0,1.0,13.0,3.0,,7.0,,23,3.0,5.0,15.0,58,2.0,59,3.0,4.0,19,10.0,1.0,,1.0,2.0,,106,391,18.0,0.2631578947368421,0.26881720430107525,0.7857142857142857,0.30434782608695654,0.5,0.35,0.30434782608695654,0.46568627450980393,0.4166666666666667,0.5769230769230769,0.464,0.4642857142857143,0.5625,0.5018115942028986,0.5294117647058824,0.6162790697674418,0.184,,0.04411764705882353,0.03571428571428571,0.07216494845360824,0.012658227848101266,,19.89354624085163,0.8695652173913043,0.07115384615384615,0.021653543307086614,0.07964601769911504,,0.07266982622432859,0.018151815181518153,0.039603960396039604,0.028037383177570093,0.0051813471502590676,,0.0821917808219178,0.05102040816326531,0.08426966292134831,0.10975609756097561,,,0.112,0.6071428571428571,0.6296296296296297,0.17647058823529413,0.388,0.4845360824742268,0.5222222222222223,0.23404255319148937,0.316,0.3924050632911392,0.3974358974358974,0.3548387096774194,0.004,,,,0.18,0.3111111111111111,0.3111111111111111,0.7857142857142857,,0.07142857142857142,,,0.07142857142857142,0.18055555555555555,0.6153846153846154,,,0.2777777777777778,0.35,0.296,0.3111111111111111,0.4267746987951808,0.4196392857142857,0.4234746478873239,0.07142857142857142,0.08636363636363636,0.06428571428571428,0.37857142857142856,11.115196078431373,26.358695652173907,0.2977913175932978,,4.0,,1.0,3.0,1.0,,,,0.017543859649122806,,,0.024,,,,1.0,,,1.0,1.0,1.0,1.0,,True,,,,
1838,1610612746,Tyrone Nesby,Tyrone Nesby,1838,LAC,2587.0,43,-13,84,86,42,39.0,14,170,,,,,,,5.0,1.0,4,,,,,,,1.0,7.0,1.0,1.0,4.0,1,9,1.0,7.0,4,9,93,,2,,1.0,,,,3,1.0,4.0,4.0,7,2.0,,3.0,,7.0,1.0,2.0,,,,,,,,,,,,2,,1,1,2,3,,,,1.0,,,,,1.0,,1,1.0,,1.0,3,,4,,,2,,,,,,,7,42,2.0,1.0,1.0,1.0,0.14285714285714285,,0.25,0.14285714285714285,0.1111111111111111,,,0.15625,,0.21428571428571427,0.25,,0.3888888888888889,0.4375,,0.2222222222222222,,0.4,,,18.627450980392158,1.0,0.037037037037037035,0.05714285714285714,,,0.02857142857142857,0.043478260869565216,,0.11764705882352941,,,,,0.08333333333333333,,,,,,,,0.3125,,,,0.25,0.25,0.25,1.0,,,,,0.4375,0.14285714285714285,0.14285714285714285,1.0,,,,,0.3333333333333333,,,,,0.5714285714285714,0.25,0.4375,0.14285714285714285,0.413459375,0.40565,0.4109214285714286,0.1111111111111111,0.18181818181818182,,0.7777777777777778,12.68888888888889,26.785714285714285,0.5,,,,,1.0,,,,,,,,0.08333333333333333,,,,,,,,,,,,True,,,,
1863,1610612746,Earl Boykins,Earl Boykins,1863,LAC,3158.0,53,-16,89,95,14,31.0,12,184,3.0,5.0,1.0,,1.0,3.0,8.0,2.0,5,,,,,,,,3.0,,,1.0,8,18,,3.0,3,19,106,2.0,2,,,1.0,5.0,1.0,4,,1.0,,2,4.0,12.0,,,3.0,,,,13.0,1.0,14.0,1.0,,8.0,1.0,4.0,29.0,,2,,3,3,2,5,,,,4.0,,3.0,,,1.0,,4,,,,5,,3,2.0,1.0,2,,,,,,,2,14,1.0,0.25,0.25,,,,,,0.4444444444444444,1.0,0.25,0.38095238095238093,1.0,0.2,0.42857142857142855,1.25,0.2,0.14285714285714285,,,,,,,24.271844660194173,1.0,0.08108108108108109,0.05714285714285714,,,0.06666666666666667,0.045454545454545456,,0.08333333333333333,0.07142857142857142,,0.07692307692307693,,0.13333333333333333,,,,0.23809523809523808,0.6,0.6,,0.38095238095238093,0.375,0.375,0.3333333333333333,0.23809523809523808,0.4,0.4,0.5,,,,,0.14285714285714285,,,,0.5,,,,,0.2,,,,0.2,,0.38095238095238093,,0.4315857142857143,0.407,0.36386,0.09523809523809523,0.1111111111111111,0.2631578947368421,0.10526315789473684,9.63888888888889,26.8,0.15730337078651685,1.0,,,,2.0,,,,,,,,0.15384615384615385,1.0,,,,,,,,,,,True,,,,
1885,1610612746,Lamar Odom,Lamar Odom,1885,LAC,32690.0,545,25,1052,1059,353,403.0,128,2111,42.0,62.0,16.0,10.0,17.0,17.0,49.0,17.0,48,,2.0,,,,,19.0,51.0,2.0,7.0,24.0,76,159,19.0,53.0,62,271,1061,16.0,23,,2.0,6.0,38.0,20.0,46,7.0,24.0,31.0,92,60.0,92.0,39.0,18.0,50.0,19.0,7.0,,70.0,8.0,78.0,5.0,3.0,43.0,11.0,16.0,164.0,3.0,21,15.0,76,99,25,124,16.0,12.0,4.0,33.0,5.0,22.0,17.0,4.0,11.0,,50,3.0,15.0,21.0,52,4.0,84,10.0,,34,13.0,22.0,10.0,9.0,24.0,15.0,92,353,9.0,0.39473684210526316,0.4411764705882353,0.6842105263157895,0.3584905660377358,,0.2916666666666667,0.36538461538461536,0.4779874213836478,0.6956521739130435,0.43478260869565216,0.49292452830188677,0.64,0.4357142857142857,0.5441767068273092,0.6333333333333333,0.5054945054945055,0.25,,0.0440251572327044,0.06451612903225806,0.04081632653061224,0.020833333333333332,,24.56861133935908,0.66,0.18401937046004843,0.056910569105691054,0.14423076923076922,0.03529411764705882,0.1760154738878143,0.05286343612334802,0.09,0.045454545454545456,0.043795620437956206,0.02702702702702703,0.23636363636363636,0.1958041958041958,0.1375,0.1375,0.16666666666666666,0.625,0.29245283018867924,0.6774193548387096,0.7241379310344828,0.40476190476190477,0.23113207547169812,0.3469387755102041,0.3617021276595745,0.11764705882352941,0.22641509433962265,0.3541666666666667,0.3617021276595745,0.6470588235294118,0.009433962264150943,,,,0.24056603773584906,0.37254901960784315,0.37254901960784315,0.6842105263157895,0.64,,,,0.08,0.24285714285714285,0.5882352941176471,,,0.34285714285714286,0.2916666666666667,0.5424528301886793,0.38,0.4682754761904762,0.5112630434782609,0.44742101449275357,0.1440677966101695,0.18579234972677597,0.14022140221402213,0.33948339483394835,8.29622641509434,27.16792452830188,0.3355513307984791,12.0,16.0,1.0,8.0,11.0,5.0,3.0,,,0.2,0.017857142857142856,0.09090909090909091,0.102803738317757,0.75,0.25,,,,,,,2.0,2.0,1.0,True,,,,
685,1610612746,Cherokee Parks,Cherokee Parks,685,LAC,14777.0,246,-58,458,467,103,147.0,52,925,11.0,14.0,2.0,2.0,2.0,5.0,14.0,19.0,39,,1.0,,1.0,,,,1.0,,,1.0,35,67,,2.0,10,80,505,3.0,6,,1.0,,6.0,6.0,12,,1.0,3.0,15,62.0,8.0,,,1.0,,2.0,,11.0,,11.0,,,4.0,2.0,5.0,22.0,1.0,7,5.0,26,35,8,43,5.0,5.0,,4.0,,3.0,1.0,,1.0,,5,1.0,1.0,11.0,30,3.0,13,1.0,,6,1.0,5.0,1.0,4.0,5.0,3.0,15,103,3.0,0.8857142857142857,0.9117647058823529,,,,,,0.5223880597014925,0.5,0.5,0.5072463768115942,0.42857142857142855,0.46153846153846156,0.5333333333333333,0.42857142857142855,0.5357142857142857,0.028985507246376812,,0.029850746268656716,0.07142857142857142,0.07142857142857142,,,15.384615384615383,0.8,0.15294117647058825,0.035175879396984924,0.125,0.02857142857142857,0.14761904761904762,0.03418803418803419,0.05405405405405406,0.024390243902439025,0.0375,0.03571428571428571,0.15384615384615385,0.19047619047619047,0.11764705882352941,0.14814814814814814,0.07692307692307693,0.6,0.2028985507246377,0.7857142857142857,0.8461538461538461,0.8181818181818182,0.2028985507246377,0.35714285714285715,0.38461538461538464,0.6,0.5652173913043478,0.48717948717948717,0.48717948717948717,1.0,0.014492753623188406,,,,0.014492753623188406,,,,0.2857142857142857,0.14285714285714285,,,,0.15384615384615385,1.0,,,0.07692307692307693,,0.2318840579710145,,0.4343913043478261,0.4752416666666666,0.3873038461538462,0.08108108108108109,0.08333333333333333,0.075,0.1875,12.647761194029849,27.5,0.22489082969432314,1.0,2.0,,4.0,2.0,1.0,,1.0,,0.2222222222222222,,,0.06451612903225806,0.5,,,,,,,,,,,True,,,,
