EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,Technical Free Throw Trips,NonShootingFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Assists,OffThreePtRebounds,FTDefRebounds,Offensive Fouls,AtRimPctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChanceFtPoints,PtsPutbacks,FTOffRebounds,SelfOReb,SecondChanceTurnovers,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg2Pct,OffFTReboundPct,OffAtRimReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3PctAssisted,DefensiveGoaltends,BlockedLongMidRange,on,Travels,Defensive 3 Seconds Violations,LongMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Clear Path Fouls,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,3SecondViolations,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,BlockedCorner3,Arc3PctBlocked,HeaveMakes
128,1610612762,David Benoit,David Benoit,128,UTA,1850.0,31,-14.0,63,64,30,46,7,127,2.0,2,1.0,1,2.0,4,4.0,4.0,1.0,1.0,8.0,10,1.0,2.0,18,85,3.0,4,1.0,1.0,7,10.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,3,1.0,3.0,1.0,2.0,7,30,1,0.625,0.625,0.8,0.75,0.7272727272727273,0.6,0.75,0.5833333333333334,0.09090909090909091,0.1,0.25,18.571428571428573,1.0,0.11764705882352941,0.25,0.14285714285714285,0.14285714285714285,0.1111111111111111,0.25,0.18181818181818182,1.0,1.0,0.5,0.36363636363636365,0.5,0.6666666666666666,0.5,0.36363636363636365,1.0,1.0,0.75,0.09090909090909091,0.2,1.0,0.2,0.2727272727272727,0.4198681818181818,0.44183000000000006,0.16666666666666666,0.18181818181818182,0.3888888888888889,10.59,24.8,0.47619047619047616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1521,1610612762,Jacque Vaughn,Jacque Vaughn,1521,UTA,4915.0,82,-19.0,159,154,73,107,21,313,3.0,7,2.0,3,,1,2.0,6.0,6.0,4.0,5.0,14,6.0,5.0,21,167,3.0,8,4.0,2.0,11,6.0,4.0,5.0,,8.0,11.0,2.0,25.0,,7.0,7.0,9.0,2.0,,4.0,1.0,3,,11.0,,4.0,11,73,1,0.6,0.6,0.35714285714285715,0.375,0.4,0.375,0.4,0.35714285714285715,0.3,,,15.934065934065934,0.5,0.14,,0.12280701754385964,0.15789473684210525,0.13043478260869565,,0.35,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.05,,,,0.3,0.3333333333333333,0.3333333333333333,0.5,0.3,0.25,0.6666666666666666,0.3333333333333333,0.65,0.5128842105263158,0.5001363636363636,0.16666666666666666,0.2222222222222222,0.5238095238095238,8.614285714285716,28.683333333333334,0.4591194968553459,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.25,0.4,0.5,0.375,0.03636363636363636,0.030303030303030304,0.058823529411764705,0.038461538461538464,0.125,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,0.5,0.25,0.4,0.5393,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
180,1610612762,John Crotty,John Crotty,180,UTA,4385.0,73,-7.0,153,147,96,122,23,300,3.0,8,2.0,6,1.0,5,1.0,11.0,4.0,1.0,5.0,24,5.0,12.0,28,158,2.0,17,2.0,8.0,15,4.0,6.0,4.0,3.0,10.0,13.0,6.0,29.0,1.0,5.0,7.0,10.0,1.0,,6.0,4.0,8,1.0,14.0,,5.0,15,96,3,0.4,0.4,0.20833333333333334,0.11764705882352941,0.27586206896551724,0.18421052631578946,0.3888888888888889,0.3125,0.1724137931034483,0.125,0.2,23.204419889502763,0.16666666666666666,0.11904761904761904,0.125,0.12,0.14285714285714285,0.09090909090909091,,0.27586206896551724,0.375,0.5,0.3333333333333333,0.1724137931034483,0.2,0.25,1.0,0.3793103448275862,0.09090909090909091,0.09090909090909091,,0.13793103448275862,0.3157894736842105,0.3333333333333333,0.05263157894736842,0.4482758620689655,0.4592327586206896,0.46815000000000007,0.14705882352941177,0.1724137931034483,0.5357142857142857,10.933333333333335,24.7,0.6274509803921569,1.0,1.0,,,,2.0,2.0,,,,1.0,6.0,,,1.0,3.0,2.0,,4.0,2.0,3.0,1.0,1.0,,2.0,1.0,5.0,1.0,3.0,,2.0,1.0,0.4,,0.5,0.4,,,0.03508771929824561,0.04477611940298507,0.06666666666666667,0.037037037037037035,0.16666666666666666,0.25,0.25,1.0,0.5,,,,0.25,0.5409,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.1,0.1,0.125,1.0,0.034482758620689655,1.0,1.0,1.0,0.05263157894736842,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1909,1610612762,Scott Padgett,Scott Padgett,1909,UTA,7565.0,126,2.0,252,248,144,180,37,500,11.0,21,6.0,12,1.0,3,1.0,10.0,9.0,8.0,13.0,34,9.0,15.0,56,246,8.0,19,8.0,9.0,37,12.0,14.0,8.0,6.0,3.0,5.0,2.0,12.0,1.0,11.0,20.0,39.0,7.0,,10.0,13.0,21,,20.0,,8.0,37,144,5,0.46153846153846156,0.6666666666666666,0.38235294117647056,0.42105263157894735,0.47674418604651164,0.5185185185185185,0.5283018867924528,0.5606060606060606,0.20930232558139536,0.17647058823529413,0.3333333333333333,21.21212121212121,0.7,0.14285714285714285,0.058823529411764705,0.1276595744680851,0.07407407407407407,0.18421052631578946,0.07692307692307693,0.4883720930232558,0.5238095238095238,0.6875,0.45454545454545453,0.06976744186046512,0.3333333333333333,0.5,,0.23255813953488372,0.1,0.1,1.0,0.20930232558139536,0.4444444444444444,0.5,0.2962962962962963,0.6976744186046512,0.48479761904761887,0.48904807692307695,0.1568627450980392,0.19047619047619047,0.6607142857142857,6.741176470588235,31.211111111111116,0.5714285714285714,11.0,5.0,1.0,1.0,4.0,5.0,15.0,1.0,1.0,16.0,4.0,15.0,,1.0,5.0,2.0,2.0,,1.0,18.0,19.0,6.0,5.0,1.0,1.0,7.0,3.0,2.0,5.0,,2.0,1.0,0.5555555555555556,1.0,0.5,0.625,0.40625,0.4444444444444444,0.2,0.1651376146788991,0.04,0.2631578947368421,0.16666666666666666,0.5555555555555556,0.5555555555555556,1.0,0.6875,0.0625,1.0,0.5,0.625,0.48217333333333345,0.2857142857142857,,,,,,,8.0,,0.23809523809523808,0.4444444444444444,,,,,,,,,,4.0,5.0,3.0,8.0,1.0,2.0,4.0,3.0,1.0,2.0,3.0,3.0,0.3333333333333333,0.07142857142857142,0.25925925925925924,0.11764705882352941,1.0,0.36363636363636365,0.25,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,
731,1610612762,Greg Ostertag,Greg Ostertag,731,UTA,4322.0,72,-18.0,135,139,48,88,18,274,3.0,4,1.0,2,1.0,4,1.0,2.0,,,5.0,10,,3.0,13,147,2.0,3,,2.0,6,6.0,4.0,,2.0,,,,,2.0,3.0,6.0,8.0,2.0,1.0,6.0,4.0,9,1.0,6.0,,1.0,6,48,2,0.6,0.75,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6,,0.2,0.25,12.258064516129032,0.3333333333333333,0.06521739130434782,0.2222222222222222,0.09090909090909091,0.058823529411764705,0.07692307692307693,,0.4,0.75,1.0,0.6666666666666666,0.4,0.25,0.3333333333333333,,0.2,0.5,0.5,1.0,,0.6666666666666666,0.5,,0.4,0.42447,0.5295,0.09090909090909091,0.09090909090909091,0.46153846153846156,6.319999999999999,,0.35555555555555557,1.0,,,,,,1.0,,,2.0,,,,,,,,,,2.0,2.0,2.0,2.0,,1.0,1.0,4.0,,1.0,,2.0,,,,,,1.0,1.0,0.043478260869565216,0.03571428571428571,,,,,,,1.0,,,,,0.5416,0.15384615384615385,,,,,,,1.0,2.0,0.25,0.16666666666666666,,,0.5,,,,,,,1.0,1.0,,2.0,,,,7.0,1.0,6.0,7.0,3.0,1.0,,0.125,,0.42857142857142855,1.0,,,1.0,,True,,,,,,,,,,,,,,,,,,,,,,
923,1610612762,Donyell Marshall,Donyell Marshall,923,UTA,2079.0,35,7.0,74,69,51,49,8,143,,1,,1,2.0,5,1.0,2.0,2.0,2.0,3.0,8,2.0,3.0,12,65,1.0,4,2.0,3.0,8,4.0,2.0,2.0,3.0,3.0,3.0,3.0,6.0,1.0,4.0,8.0,11.0,1.0,1.0,2.0,3.0,4,,6.0,,1.0,8,51,1,0.6666666666666666,0.6666666666666666,0.375,0.25,0.45,0.4166666666666667,0.46153846153846156,0.5,0.2,0.375,0.4,18.29268292682927,0.5,0.18181818181818182,0.14285714285714285,0.1724137931034483,0.14285714285714285,0.25,0.16666666666666666,0.1,,,,0.5,0.4,0.6666666666666666,0.5,0.2,0.5,0.5,1.0,0.2,0.16666666666666666,,0.3333333333333333,0.3,0.396635,0.40974166666666667,0.09090909090909091,0.1111111111111111,0.6666666666666666,10.7625,25.25,0.6891891891891891,1.0,1.0,,,1.0,1.0,2.0,,,1.0,1.0,3.0,,,1.0,,,,,3.0,3.0,2.0,,2.0,,,1.0,,2.0,,2.0,1.0,0.5,,0.5,0.5,,0.125,0.13043478260869565,0.11538461538461539,0.125,0.2,0.14285714285714285,0.5,0.5,1.0,0.5,,,0.5,0.5,0.46385,0.08333333333333333,,,,,,,3.0,,1.0,0.375,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
935,1610612762,Bryon Russell,Bryon Russell,935,UTA,3459.0,58,10.0,114,114,74,78,19,228,4.0,6,1.0,3,,1,1.0,5.0,2.0,1.0,5.0,12,5.0,6.0,19,111,1.0,6,4.0,6.0,11,8.0,2.0,2.0,2.0,5.0,5.0,3.0,10.0,2.0,5.0,7.0,10.0,1.0,1.0,1.0,2.0,6,,6.0,,1.0,11,74,4,0.8,0.8,0.4166666666666667,0.16666666666666666,0.38235294117647056,0.25,0.475,0.4230769230769231,0.29411764705882354,0.16666666666666666,,15.217391304347828,1.0,0.1388888888888889,0.18181818181818182,0.14893617021276595,0.07692307692307693,0.3076923076923077,0.2222222222222222,0.35294117647058826,0.6666666666666666,1.0,1.0,0.058823529411764705,,,,0.29411764705882354,0.2,0.2,,0.11764705882352941,0.3,0.3333333333333333,0.1,0.6470588235294118,0.5198617647058823,0.51325,0.05555555555555555,0.07692307692307693,0.5789473684210527,9.016666666666667,23.779999999999998,0.6491228070175439,,,,,,1.0,,,,2.0,1.0,3.0,,,,,,,2.0,3.0,3.0,2.0,1.0,1.0,,,,,,,2.0,1.0,0.2,,0.25,0.2,,1.0,0.075,0.061224489795918366,,,,,,,,,,,,,0.10526315789473684,1.0,3.0,1.0,3.0,,,,,0.3333333333333333,,,,,0.17647058823529413,0.3333333333333333,0.3333333333333333,1.0,0.3,0.3333333333333333,,,2.0,,,,,,,,,,,,0.2,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
304,1610612762,John Stockton,John Stockton,304,UTA,1526.0,25,22.0,49,52,33,31,9,101,3.0,3,3.0,3,1.0,2,,,5.0,3.0,4.0,5,5.0,2.0,13,40,4.0,5,3.0,,8,4.0,4.0,5.0,1.0,3.0,6.0,2.0,15.0,1.0,1.0,2.0,4.0,1.0,,2.0,,1,,2.0,,1.0,8,33,1,0.5,0.5,0.8,0.8,0.55,0.5,0.5909090909090909,0.5,0.5,0.2,0.5,20.634920634920636,0.5,0.07142857142857142,0.125,0.09090909090909091,,0.14285714285714285,0.14285714285714285,0.3,1.0,1.0,0.3333333333333333,0.2,0.5,1.0,1.0,,,,,0.5,0.375,1.0,0.375,0.8,0.49505999999999994,0.49083750000000004,0.09090909090909091,0.16666666666666666,0.6153846153846154,3.4599999999999995,25.02,0.673469387755102,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,5.0,,3.0,,,1.0,3.0,1.0,1.0,,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,,2.0,,,1.0,0.2,1.0,,0.2,1.25,1.25,0.058823529411764705,0.08695652173913043,0.3333333333333333,,,0.2,0.2,1.0,0.5,0.5,1.0,,0.2,0.460125,0.38461538461538464,,,,,2.0,1.0,,,,,0.16666666666666666,0.16666666666666666,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,
178,1610612762,Olden Polynice,Olden Polynice,178,UTA,458.0,8,11.0,14,15,13,15,5,29,1.0,1,1.0,1,,1,,,,,1.0,2,,,2,7,1.0,1,,,2,,2.0,,,,,,,,2.0,3.0,4.0,,,,1.0,2,,,,,2,13,1,,,0.5,1.0,0.5,1.0,0.5,1.0,,,,8.695652173913043,,0.4,,0.3333333333333333,,0.5,,0.5,1.0,1.0,,0.5,,,,,,,,,1.0,1.0,,0.5,0.48725,0.6295,,,1.0,6.9,,0.9285714285714286,1.0,,,,,,1.0,,,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,0.09090909090909091,0.08333333333333333,,,,,,,1.0,,,,,0.6295,1.0,,,,,,,1.0,,,0.3333333333333333,,,,,,,,,,1.0,1.0,,2.0,,,,,,,,,1.0,,0.25,,,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1900,1610612762,Quincy Lewis,Quincy Lewis,1900,UTA,1190.0,20,6.0,37,36,16,31,5,73,1.0,1,1.0,1,1.0,1,2.0,5.0,,,4.0,7,,,8,28,1.0,2,,,2,4.0,4.0,,,,1.0,,3.0,,1.0,1.0,2.0,,,,1.0,3,,,,,2,16,2,0.5,0.5,0.5714285714285714,0.5,0.5714285714285714,0.5,0.5714285714285714,0.5,,,,15.909090909090908,,0.125,,0.09090909090909091,,0.16666666666666666,,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,,0.7142857142857143,0.4,0.4,0.5,,0.5,1.0,,0.14285714285714285,0.4091714285714286,0.5052,,,0.25,14.885714285714286,,0.43243243243243246,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,0.05555555555555555,0.05,,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
