EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,OpponentPoints,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,ThreePtAssists,Arc3Assists,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFtPoints,PenaltyFG3M,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Offensive Fouls,NonShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceArc3FGA,SecondChanceFG3A,LongMidRangeAssists,BadPassSteals,DefCorner3ReboundPct,SecondChanceArc3Frequency,LostBallTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,OffShortMidRangeReboundPct,BlockedShortMidRange,on,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,HeaveAttempts,Fg3aBlocked,Corner3Assists,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,BlockedLongMidRange,DefensiveGoaltends,3SecondViolations,SecondChanceFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,OffCorner3ReboundPct,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,BlockedCorner3,SecondChanceAtRimPctAssisted,SecondChanceCorner3PctAssisted,Clear Path Fouls,3pt And 1 Free Throw Trips,OffensiveGoaltends,Defensive 3 Seconds Violations
109,1610612747,Robert Horry,Robert Horry,109,LAL,467.0,8.0,5.0,17,18,17.0,18,1.0,35,17.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,0.16666666666666666,0.09090909090909091,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,1610612747,Devean George,Devean George,1904,LAL,1194.0,20.0,5.0,45,46,29.0,28,5.0,91,49.0,,1.0,,3.0,3.0,5.0,9.0,,,,,29.0,0.13636363636363635,0.13333333333333333,,,0.6444444444444445,2.0,5.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0,7.0,2.0,6.0,10.0,2.0,4.0,4.0,2.0,5.0,1.0,6.0,10.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,6.0,3.0,10.0,1.0,0.2857142857142857,0.5,0.4,0.2222222222222222,0.5,0.3333333333333333,0.4166666666666667,0.5,0.5555555555555556,0.2222222222222222,27.45098039215686,1.0,0.5,0.18181818181818182,0.125,0.25,0.2,0.25,0.16666666666666666,0.25,0.14285714285714285,0.2222222222222222,0.14285714285714285,0.14285714285714285,0.5555555555555556,0.4,0.4,0.2222222222222222,0.2222222222222222,1.0,0.5,0.6666666666666666,0.5,0.16666666666666666,0.7777777777777778,0.4791833333333334,0.5309,0.5097166666666667,0.25,0.3,0.4,1.0,5.114285714285714,26.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2098,1610612747,Slava Medvedenko,Slava Medvedenko,2098,LAL,2240.0,37.0,-1.0,88,89,60.0,48,10.0,177,95.0,1.0,2.0,1.0,5.0,5.0,8.0,9.0,1.0,1.0,1.0,,60.0,0.13157894736842105,0.1568627450980392,0.16666666666666666,,0.6818181818181818,7.0,10.0,1.0,2.0,5.0,6.0,10.0,1.0,1.0,11.0,24.0,1.0,7.0,32.0,1.0,3.0,3.0,6.0,11.0,1.0,3.0,18.0,6.0,2.0,1.0,1.0,1.0,,1.0,,3.0,,1.0,,,1.0,,3.0,,1.0,2.0,9.0,12.0,5.0,18.0,4.0,0.4583333333333333,0.3333333333333333,0.5454545454545454,0.5,0.3333333333333333,0.625,0.5161290322580645,0.375,0.6,0.04,33.333333333333336,,,0.03333333333333333,0.23076923076923078,,0.02564102564102564,0.09090909090909091,,,0.08333333333333333,0.14285714285714285,0.3333333333333333,,0.4,0.7,0.875,0.4,0.04,0.6666666666666666,0.5,0.5,0.8333333333333334,0.08333333333333333,0.44,0.514046,0.5466,0.5643625,0.16666666666666666,0.1724137931034483,0.09375,0.5625,8.883333333333333,24.6,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,16.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,0.7272727272727273,0.8,1.0,1.0,1.0,1.0,0.125,0.2,0.25,0.6666666666666666,0.7142857142857143,0.16,0.25,0.3333333333333333,0.3,0.3,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2130,1610612747,Mike Penberthy,Mike Penberthy,2130,LAL,2000.0,33.0,1.0,76,76,49.0,35,9.0,152,81.0,5.0,5.0,5.0,10.0,2.0,2.0,3.0,,,,,49.0,0.05555555555555555,0.041666666666666664,,,0.6447368421052632,1.0,1.0,,,1.0,1.0,1.0,6.0,5.0,2.0,2.0,6.0,2.0,15.0,,,,2.0,2.0,5.0,2.0,12.0,4.0,,6.0,,,,1.0,,,,1.0,,,,,3.0,,2.0,,1.0,2.0,,12.0,1.0,1.0,,1.0,0.8125,,0.7142857142857143,0.8333333333333334,,0.75,0.75,13.48314606741573,,,0.038461538461538464,,,0.029411764705882353,,0.1111111111111111,,0.08333333333333333,0.07142857142857142,,,0.125,1.0,1.0,0.125,0.75,,,0.14285714285714285,1.0,0.7142857142857143,0.875,0.49414375,,0.4928642857142857,,,,0.8,9.3,25.883333333333336,,,1.0,3.0,2.0,3.0,,2.0,,9.0,3.0,,2.0,2.0,3.0,3.0,,1.0,,,1.0,0.5,0.4,0.5,,,,1.0,,,,,1.0,1.0,,0.5,0.5,1.0,0.4,0.5,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,1610612747,Brian Shaw,Brian Shaw,216,LAL,1718.0,29.0,1.0,65,67,40.0,26,7.0,132,72.0,5.0,5.0,2.0,10.0,4.0,6.0,8.0,,,,,40.0,0.13333333333333333,0.14634146341463414,0.1111111111111111,,0.6153846153846154,,,,,,,2.0,1.0,,3.0,3.0,1.0,,6.0,,,,2.0,2.0,,,4.0,4.0,,1.0,,,1.0,1.0,,2.0,,2.0,1.0,,,,1.0,,1.0,,2.0,,,4.0,2.0,1.0,,1.0,0.75,,1.0,0.75,,1.0,0.25,6.578947368421052,,,0.047619047619047616,0.18181818181818182,0.14285714285714285,0.07142857142857142,,0.14285714285714285,0.14285714285714285,0.18181818181818182,0.1,0.14285714285714285,1.0,,,,0.5,0.25,,,,,,0.25,0.423025,0.561,0.37295,,,,0.6666666666666666,14.566666666666668,25.4,1.0,1.0,2.0,,,,,,2.0,,,,1.0,,1.0,1.0,,,0.3333333333333333,0.3333333333333333,,,,,,,,1.0,,0.25,1.0,1.0,1.0,1.0,0.5,,,,,,1.0,1.0,3.0,1.0,0.25,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,1610612747,Horace Grant,Horace Grant,270,LAL,57.0,1.0,-3.0,3,3,3.0,3,,6,5.0,,,,,,,,,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,1610612747,Isaiah Rider,Isaiah Rider,375,LAL,556.0,9.0,6.0,23,24,22.0,7,1.0,47,18.0,,,,,1.0,2.0,2.0,,,,,22.0,0.1111111111111111,0.15384615384615385,0.25,,0.9565217391304348,1.0,2.0,,,1.0,2.0,,1.0,1.0,1.0,3.0,1.0,,2.0,,,,1.0,3.0,1.0,,2.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,2.0,,0.3333333333333333,,0.3333333333333333,0.25,,0.25,0.25,,0.25,0.25,15.384615384615383,,,,0.25,,,,,,,,1.0,,0.5,0.5,0.5,,0.25,,,0.5,0.5,0.25,0.75,0.5969625,,0.5969625,,,,1.0,2.5,24.8,,1.0,,,,,,,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,1610612747,Kobe Bryant,Kobe Bryant,977,LAL,725.0,12.0,-6.0,30,30,21.0,27,4.0,60,36.0,,1.0,,3.0,1.0,1.0,1.0,,,,,21.0,0.09090909090909091,0.07692307692307693,,,0.7,,1.0,,,,,4.0,1.0,1.0,3.0,7.0,1.0,1.0,7.0,,,,3.0,5.0,1.0,,6.0,6.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,,1.0,,2.0,2.0,1.0,6.0,2.0,0.42857142857142855,,0.6,0.375,,0.5,0.3888888888888889,,0.5,0.125,28.571428571428573,,,,,,,,,,,0.16666666666666666,,,0.125,,,0.5,0.125,,,,,0.16666666666666666,0.25,0.42054375,,0.401475,0.1111111111111111,0.125,,0.8571428571428571,12.742857142857142,24.2,1.0,2.0,2.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,0.25,0.5,0.5,0.5,0.5,,,,,,,,,,1.0,,,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,1610612747,Shaquille O'Neal,Shaquille O'Neal,406,LAL,540.0,9.0,-1.0,20,22,14.0,18,2.0,42,29.0,1.0,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,14.0,,,,1.0,0.7,2.0,3.0,,1.0,,,,,,2.0,3.0,,4.0,8.0,,1.0,,,,,4.0,4.0,,,,,,,1.0,,,,1.0,,,,,,,,,2.0,7.0,1.0,4.0,1.0,0.6666666666666666,,,0.6666666666666666,,,0.6666666666666666,,0.6666666666666666,,26.08695652173913,,,0.14285714285714285,,,0.14285714285714285,,,,,,,,1.0,0.6666666666666666,1.0,,,1.0,,,,,1.0,0.6038666666666667,0.596,,0.3333333333333333,0.3333333333333333,,0.5,,,,,,,,,,,4.0,,,1.0,,,,,,3.0,1.0,1.0,,,,,0.3333333333333333,0.3333333333333333,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,1610612747,Ron Harper,Ron Harper,166,LAL,122.0,2.0,-2.0,5,6,2.0,3,1.0,11,7.0,,,,,,,,,,,,2.0,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
