EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,DefThreePtRebounds,Steals,BadPassSteals,Charge Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefThreePtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,Corner3FGA,PenaltyCorner3FGA,OffThreePtRebounds,OffRebounds,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,Corner3Frequency,PenaltyCorner3Frequency,SecondChanceAtRimFGM,Corner3FGM,PenaltyCorner3FGM,SecondChanceFG2M,PenaltyFG3M,FTDefRebounds,LostBallSteals,BlockedShortMidRange,PenaltyFg3Pct,SecondChanceFg2Pct,DefFTReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,PenaltyCorner3Accuracy,SecondChanceFtPoints,PtsPutbacks,OffTwoPtRebounds,SelfOReb,Loose Ball Fouls Drawn,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceTurnovers,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyArc3FGM,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Accuracy,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,OffLongMidRangeReboundPct,on,LongMidRangeAssists,Technical Free Throw Trips,Blocked3s,BlockedArc3,BlockedLongMidRange,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,HeaveAttempts,Fg3aBlocked,FTOffRebounds,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,BlockedCorner3,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,OffFTReboundPct,LongMidRangePctAssisted,HeaveMakes,LongMidRangePctBlocked,OffensiveGoaltends,Clear Path Fouls
1626164,1610612756,Devin Booker,Devin Booker,1626164,PHX,2172.0,36,-13,78,79,24.0,27,10.0,157,2.0,5.0,1.0,1.0,2.0,2.0,6.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,5.0,12.0,2.0,8.0,9.0,25.0,85,1.0,1.0,1.0,3.0,1.0,3.0,1.0,7.0,9.0,2.0,8.0,6.0,8.0,2.0,5.0,4.0,3.0,7.0,2.0,1.0,2.0,2.0,17.0,2.0,2.0,2.0,4.0,3.0,4.0,1.0,1.0,1.0,8.0,1.0,1.0,3.0,1.0,1.0,11.0,10.0,2.0,5.0,1.0,9.0,24.0,1.0,1.0,0.2,0.2,1.0,0.25,1.0,0.25,0.4166666666666667,0.3333333333333333,0.4,0.75,0.25,0.5208333333333334,0.75,0.5625,0.4,0.4166666666666667,0.6,0.3333333333333333,35.16483516483516,0.5,0.08,0.0555555555555555,0.1538461538461538,0.25,0.4,1.0,0.5,0.3,0.3333333333333333,0.5,0.05,1.0,1.0,0.4,0.25,0.25,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.25,0.65,0.25,0.491135,0.49395,0.52925,0.217391304347826,0.3333333333333333,0.12,0.36,7.75,26.525,0.3076923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
1628367,1610612756,Josh Jackson,Josh Jackson,1628367,PHX,2211.0,37,-24,80,81,16.0,41,5.0,161,,3.0,,,,1.0,4.0,1.0,3.0,1.0,4.0,,,1.0,2.0,10.0,1.0,4.0,,7.0,99,,,,,1.0,1.0,1.0,,2.0,,4.0,3.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,,2.0,,7.0,1.0,3.0,3.0,5.0,3.0,1.0,,2.0,,6.0,,,5.0,2.0,,2.0,,,,,2.0,16.0,1.0,,,,1.0,0.25,,0.25,0.2,1.0,0.25,,0.5,0.25,,0.5,0.2857142857142857,0.2,0.6666666666666666,,23.25581395348837,0.8333333333333334,0.04,0.0833333333333333,,0.2142857142857142,,,,0.2857142857142857,0.25,0.25,0.2142857142857142,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.25,0.25,1.0,,,,,,,0.5,0.5,0.25,0.4867214285714286,,0.4401,,,,0.2857142857142857,8.7,25.9,0.2,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.1818181818181818,0.1111111111111111,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
1628969,1610612756,Mikal Bridges,Mikal Bridges,1628969,PHX,2134.0,36,-11,78,77,21.0,31,7.0,155,4.0,6.0,,,,,1.0,,,,,,,,4.0,7.0,,2.0,4.0,12.0,89,,,,,,,2.0,2.0,2.0,6.0,2.0,,,,1.0,4.0,,4.0,,,1.0,3.0,8.0,3.0,3.0,4.0,1.0,1.0,3.0,,,,4.0,,1.0,6.0,,2.0,4.0,6.0,2.0,3.0,1.0,2.0,21.0,1.0,1.0,0.75,0.75,,,,,0.5714285714285714,,0.4444444444444444,,,0.5454545454545454,,0.3333333333333333,0.2222222222222222,0.1428571428571428,0.1666666666666666,,17.441860465116278,0.25,0.1428571428571428,0.09375,0.125,0.6666666666666666,0.6666666666666666,0.8,0.75,0.1111111111111111,,,,,,,,,,,,,,,,,0.8888888888888888,,0.5939111111111112,,0.5844,0.3,0.375,,0.1666666666666666,2.585714285714286,22.7,0.2692307692307692,,1.0,1.0,1.0,,,,,,,,0.1428571428571428,,,2.0,2.0,1.0,1.0,0.0625,0.0303030303030303,0.0833333333333333,0.1666666666666666,0.2222222222222222,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
203933,1610612756,T.J. Warren,T.J. Warren,203933,PHX,3707.0,62,-46,133,136,31.0,60,9.0,269,7.0,11.0,1.0,2.0,4.0,4.0,8.0,,2.0,1.0,4.0,,1.0,2.0,11.0,21.0,5.0,10.0,4.0,41.0,170,2.0,,1.0,4.0,2.0,4.0,3.0,,7.0,12.0,10.0,15.0,4.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,5.0,3.0,9.0,10.0,2.0,2.0,2.0,,,,4.0,,1.0,7.0,2.0,1.0,2.0,4.0,,2.0,,7.0,31.0,1.0,,0.5454545454545454,0.5454545454545454,1.0,0.5,,0.5,0.5238095238095238,0.5,0.5967741935483871,0.6666666666666666,0.5,0.6212121212121212,0.6666666666666666,0.5,0.3225806451612903,,,,25.517241379310345,0.5,0.0769230769230769,0.1034482758620689,0.1,0.3548387096774194,0.6363636363636364,0.6363636363636364,0.4285714285714285,0.2580645161290322,0.5,0.5,0.064516129032258,,,0.1290322580645161,0.25,0.25,1.0,0.3333333333333333,0.3333333333333333,,,0.5714285714285714,0.5,0.2857142857142857,0.6774193548387096,0.25,0.5128967741935484,0.4013,0.56925,0.0606060606060606,0.0869565217391304,0.0975609756097561,0.1707317073170731,6.671428571428571,24.04,0.2330827067669172,3.0,2.0,1.0,1.0,,,4.0,2.0,4.0,3.0,0.1578947368421052,0.0833333333333333,0.1333333333333333,0.75,6.0,1.0,1.0,1.0,0.0333333333333333,0.0158730158730158,,,0.1935483870967742,0.1428571428571428,1.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0,0.3333333333333333,1.0,0.4285714285714285,0.125,0.25,0.75,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2199,1610612756,Tyson Chandler,Tyson Chandler,2199,PHX,5340.0,89,-67,193,197,48.0,82,17.0,390,8.0,12.0,4.0,,,,,,,,,,,,8.0,12.0,,,10.0,26.0,239,4.0,,,9.0,,,,3.0,3.0,12.0,4.0,,,,,4.0,2.0,6.0,,2.0,3.0,1.0,14.0,19.0,32.0,39.0,2.0,1.0,5.0,1.0,1.0,,7.0,1.0,11.0,21.0,1.0,4.0,17.0,18.0,1.0,7.0,3.0,3.0,48.0,3.0,2.0,0.75,1.0,,,,,0.6666666666666666,,0.6666666666666666,0.5,,0.6190476190476191,0.6428571428571429,0.375,,,,,12.61682242990654,0.2857142857142857,0.3454545454545454,0.3373493975903614,0.4285714285714285,1.0,0.6666666666666666,0.6666666666666666,0.75,,,,,,,,,,,1.0,,,,,,,1.0,,0.641075,0.6103750000000001,,0.3888888888888889,0.3888888888888889,0.3461538461538461,0.1153846153846153,1.125,,0.2487046632124352,9.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,0.3214285714285714,0.2666666666666666,0.4090909090909091,1.0,,,1.0,7.0,0.0227272727272727,0.075268817204301,0.032258064516129,0.25,,,2.0,,,2.0,,4.0,1.0,,,0.5,0.4444444444444444,,,,,,,0.5,,5.0,4.0,6.0,2.0,2.0,0.1224489795918367,0.1666666666666666,0.1111111111111111,0.5,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
1629059,1610612756,Elie Okobo,Elie Okobo,1629059,PHX,1473.0,25,-4,56,54,14.0,26,4.0,110,2.0,5.0,,,,1.0,1.0,,,,1.0,,,1.0,3.0,6.0,,2.0,1.0,7.0,61,,,,,1.0,1.0,1.0,,2.0,4.0,2.0,,1.0,,,4.0,2.0,6.0,1.0,1.0,4.0,,14.0,1.0,1.0,2.0,3.0,3.0,,,,,3.0,2.0,1.0,4.0,,,2.0,2.0,,1.0,,2.0,14.0,1.0,,0.6666666666666666,0.6666666666666666,,,,,0.5,1.0,0.375,,0.5,0.3888888888888889,,0.5,0.25,,,,19.672131147540984,1.0,0.0714285714285714,0.0476190476190476,,0.625,0.4,0.4,0.5,0.125,1.0,1.0,,,,0.125,,,,,,,,,,0.5,0.875,,0.54149375,,0.460675,0.1111111111111111,0.1428571428571428,,0.2857142857142857,3.083333333333333,24.25,0.25,,,,,,1.0,,,,,,,,,1.0,,,1.0,,0.0434782608695652,,0.25,0.125,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,0.0714285714285714,0.1428571428571428,,0.2,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
203477,1610612756,Isaiah Canaan,Isaiah Canaan,203477,PHX,1865.0,31,-29,63,66,19.0,21,8.0,129,1.0,3.0,,1.0,1.0,,,1.0,1.0,1.0,6.0,,1.0,2.0,2.0,4.0,2.0,8.0,,10.0,75,,1.0,3.0,3.0,1.0,1.0,4.0,,8.0,,4.0,6.0,6.0,1.0,,,1.0,1.0,1.0,,,,3.0,5.0,7.0,8.0,3.0,1.0,1.0,1.0,2.0,,4.0,,,,,,,,,,,8.0,19.0,,,,,1.0,0.25,0.3333333333333333,0.25,0.5,1.0,0.4166666666666667,0.5,0.8,0.4166666666666667,0.5,0.8,0.6666666666666666,,,,21.91780821917808,0.75,0.2272727272727272,0.2,0.1538461538461538,0.25,0.3333333333333333,0.3333333333333333,,,,,0.0833333333333333,1.0,1.0,0.5,0.1666666666666666,0.1666666666666666,1.0,,0.3333333333333333,,,0.2,1.0,0.4,0.9166666666666666,0.1666666666666666,0.5584125000000001,0.5712,0.52868,,,0.3,0.8,5.95,25.225,0.3015873015873015,2.0,1.0,,,,,,,,,0.1538461538461538,0.25,0.0909090909090909,,2.0,2.0,1.0,1.0,0.0434782608695652,0.0263157894736842,,0.4,0.1666666666666666,0.4,,1.0,1.0,,2.0,,1.0,,0.5,,,0.125,0.5,,0.5,0.5,1.0,,0.5,,,,,,,,,,,1.0,2.0,1.0,0.6666666666666666,0.5,1.0,0.5,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2772,1610612756,Trevor Ariza,Trevor Ariza,2772,PHX,3416.0,57,-50,123,128,26.0,44,14.0,251,4.0,6.0,1.0,1.0,1.0,,3.0,,1.0,2.0,6.0,,,3.0,4.0,10.0,2.0,9.0,1.0,15.0,149,1.0,,,3.0,1.0,1.0,3.0,,2.0,2.0,6.0,6.0,6.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,,8.0,3.0,6.0,8.0,1.0,1.0,,,,,1.0,,1.0,3.0,,,3.0,1.0,1.0,1.0,,2.0,26.0,,,0.25,0.3333333333333333,1.0,0.2222222222222222,,0.2222222222222222,0.4,1.0,0.3684210526315789,1.0,0.25,0.3947368421052631,1.5,0.25,0.4736842105263157,0.1,,0.3333333333333333,14.388489208633096,1.0,0.0857142857142857,0.087719298245614,0.0476190476190476,0.3157894736842105,0.6666666666666666,0.6666666666666666,0.25,0.1578947368421052,,,0.0526315789473684,,,0.3157894736842105,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,0.25,1.0,0.75,0.7894736842105263,0.3333333333333333,0.5243973684210527,0.591,0.4966375,0.0526315789473684,0.1,0.2,0.1333333333333333,5.59,24.444444444444443,0.2113821138211382,2.0,1.0,1.0,,,,1.0,,1.0,1.0,0.0909090909090909,,0.1176470588235294,1.0,3.0,,1.0,2.0,0.0294117647058823,0.0294117647058823,0.0434782608695652,0.2857142857142857,0.1578947368421052,,1.0,,,1.0,,1.0,,1.0,,1.0,0.25,,,,,,,1.0,,1.0,2.0,1.0,,,0.0294117647058823,0.0555555555555555,,,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2037,1610612756,Jamal Crawford,Jamal Crawford,2037,PHX,2194.0,37,-50,81,83,19.0,40,2.0,164,,,,,,1.0,2.0,1.0,2.0,2.0,7.0,,,4.0,2.0,4.0,3.0,9.0,6.0,19.0,120,,,,,,,5.0,3.0,9.0,,4.0,3.0,7.0,2.0,,1.0,1.0,2.0,,1.0,1.0,,5.0,3.0,4.0,4.0,2.0,1.0,1.0,,1.0,,3.0,1.0,1.0,3.0,,,4.0,6.0,,1.0,1.0,9.0,19.0,,,,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.5,,0.5,,0.6,0.59375,,0.6428571428571429,0.6923076923076923,,,,21.176470588235293,0.6666666666666666,0.1578947368421052,0.1538461538461538,0.25,,,,,0.1538461538461538,0.5,0.5,0.1538461538461538,0.5,0.5,0.5384615384615384,0.2857142857142857,0.2857142857142857,,,,,,,,0.8,0.6923076923076923,0.2857142857142857,0.469076923076923,,0.50961,0.1333333333333333,0.2,,0.4736842105263157,12.474999999999998,24.866666666666664,0.2345679012345679,1.0,1.0,1.0,,,,,,,,0.1428571428571428,0.1428571428571428,0.2,,2.0,1.0,,,,,,,0.1538461538461538,0.2,,1.0,1.0,,2.0,,,,0.4,,,,,,0.5,0.5,1.0,,1.0,,,,,,,,,,,,,1.0,,,,0.25,6.0,1.0,1.0,0.1,,True,,,,,,,,,,,,,,,,,,,,,,,,
201583,1610612756,Ryan Anderson,Ryan Anderson,201583,PHX,1364.0,23,-22,49,51,15.0,20,6.0,100,,1.0,1.0,,1.0,1.0,2.0,,,1.0,3.0,,,2.0,1.0,3.0,1.0,5.0,,5.0,61,1.0,,,,1.0,3.0,3.0,,5.0,2.0,,3.0,3.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,5.0,1.0,2.0,7.0,,,,,,,,,,,,,1.0,,,,,5.0,15.0,,,1.0,1.0,1.0,0.2,,0.2,0.3333333333333333,0.3333333333333333,0.3125,,0.4166666666666667,0.3125,,0.4166666666666667,0.625,,,,14.285714285714285,,0.0769230769230769,0.0952380952380952,,0.125,,,,0.25,0.5,0.5,,,,0.375,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,0.1666666666666666,,0.3333333333333333,0.75,0.3333333333333333,0.49881875,0.5182,0.4849166666666666,,,,1.0,9.366666666666667,25.42,0.3061224489795918,1.0,,,,,,,,,,0.125,,0.1666666666666666,,2.0,1.0,1.0,5.0,0.0833333333333333,0.2083333333333333,0.1428571428571428,0.25,0.25,0.1666666666666666,,,,,1.0,,,,0.3333333333333333,,,,,1.0,,,,,,,,4.0,,,0.3333333333333333,0.1666666666666666,0.5,,,,,1.0,,,,0.5,,,,,0.5,True,,,,,,,,,,,,,,,,,,,,,,,,
