EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,FoulsDrawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,TwoPtAssists,ShortMidRangeAssists,Steals,BadPassSteals,Blocked2s,BlockedAtRim,Blocks,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChancePointsPct,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,PtsUnassisted2s,PtsUnassisted3s,Fg2aBlocked,Fouls,BlockedShortMidRange,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Fg2Pct,FG2APctBlocked,ShortMidRangePctBlocked,DefLongMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Blocked3s,BlockedArc3,AtRimFGA,PenaltyFG2M,PenaltyFG2A,PtsAssisted2s,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,AtRimPctBlocked,AtRimFrequency,ShortMidRangePctAssisted,FtPoints,PenaltyFtPoints,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,on,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,PtsPutbacks,HeaveAttempts,Fg3aBlocked,Corner3Assists,AtRimAssists,LongMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedCorner3,DefensiveGoaltends,Defensive 3 Seconds Violations,SecondChanceFg2Pct,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceShotQualityAvg,ThreePtShootingFoulsDrawnPct,FTOffRebounds,Charge Fouls Drawn,3SecondViolations,OffFTReboundPct,3pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedLongMidRange,LongMidRangePctBlocked,HeaveMakes,OffensiveGoaltends
1626163,1610612766,Frank Kaminsky,Frank Kaminsky,1626163,CHA,465.0,8,-3,16,15,11,15,1.0,31,1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,17,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,11,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.375,0.75,0.3,0.5,0.75,29.41176470588235,0.25,0.2,0.14285714285714285,0.1111111111111111,0.2,0.5,0.25,0.75,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.75,0.3333333333333333,0.483425,0.521775,1.0,16.0,25.633333333333336,0.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628370,1610612766,Malik Monk,Malik Monk,1628370,CHA,465.0,8,-3,16,15,11,15,1.0,31,,1.0,3.0,1.0,3.0,,1.0,3.0,3.0,17,1.0,3.0,3.0,3.0,3.0,1.0,,1.0,,2.0,,,,,,,,,3.0,11,,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,1.0,17.64705882352941,,,,,,,,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.55645,0.55645,1.0,,25.3,0.6875,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628407,1610612766,Dwayne Bacon,Dwayne Bacon,1628407,CHA,465.0,8,-3,16,15,11,15,1.0,31,,1.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,17,1.0,2.0,3.0,,2.0,1.0,,,,,,2.0,2.0,,2.0,1.0,,,3.0,11,,,0.5,0.5,0.5,0.625,0.75,0.625,0.75,0.5,23.52941176470588,0.5,,0.2857142857142857,,,0.5,,0.5,0.5,0.5,,1.0,0.5,0.5,0.5,0.4648,0.50895,0.6,9.45,25.55,0.6875,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628970,1610612766,Miles Bridges,Miles Bridges,1628970,CHA,293.0,5,-4,10,10,5,10,1.0,20,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629147,1610612766,Joe Chealey,Joe Chealey,1629147,CHA,465.0,8,-3,16,15,11,15,1.0,31,1.0,,,,,3.0,,,2.0,17,,,2.0,,,,1.0,1.0,1.0,3.0,,,,,,,,,2.0,11,,,,,,0.3333333333333333,0.5,0.3333333333333333,0.5,,17.64705882352941,,,,,,,0.3333333333333333,,,,,,,0.3333333333333333,,0.40173333333333333,0.4091,1.0,8.866666666666667,,0.6875,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628984,1610612766,Devonte' Graham,Devonte' Graham,1628984,CHA,172.0,3,1,6,5,6,5,,11,,,,,,,,,1.0,6,,,1.0,,,,,,,,,,,,,1.0,2.0,,1.0,6,,,,,,,,0.5,0.5,,16.666666666666668,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101107,1610612766,Marvin Williams,Marvin Williams,101107,CHA,127985.0,2133,-6,4345,4316,842,754,477.0,8661,23.0,88.0,255.0,12.0,41.0,270.0,140.0,382.0,756.0,4908,22.0,66.0,133.0,417.0,254.0,88.0,40.0,92.0,28.0,224.0,38.0,166.0,331.0,76.0,407.0,89.0,86.0,16.0,133.0,831,15.0,0.9928571428571429,0.36649214659685864,0.3333333333333333,0.3674540682414698,0.5291411042944786,0.4444444444444444,0.546242774566474,0.5076335877862596,0.5858895705521472,15.06318793314309,0.1494149414941494,0.038539553752535496,0.15422157149829185,0.03515263644773358,0.03970223325062035,0.15104166666666666,0.0352760736196319,0.3911042944785276,0.34509803921568627,0.34782608695652173,0.9886363636363636,0.37962962962962965,0.2926829268292683,0.7745398773006135,0.3464566929133858,0.5243991538461538,0.4968646226415093,0.17592592592592593,6.025185185185186,25.15418848167539,0.19378596087456848,8.0,30.0,11.0,44.0,90.0,52.0,7.0,71.0,52.0,58.0,43.0,61.0,0.25,0.4336734693877551,0.44554455445544555,0.30612244897959184,0.26666666666666666,0.875,0.11904761904761904,52.0,124.0,135.0,64.0,3.0,18.0,156.0,15.0,35.0,13.0,0.5,0.06666666666666667,0.04032258064516129,0.16532258064516128,0.5737704918032787,0.1901840490797546,0.41935483870967744,0.4369747899159664,3.0,1.0,123.0,15.0,42.0,206.0,0.762962962962963,0.8442622950819673,0.35714285714285715,0.10569105691056911,0.18865030674846625,0.7884615384615384,66.0,37.0,24.0,0.03994082840236687,0.08247422680412371,False,73.0,17.0,37.0,8.0,19.0,10.0,52.0,127.0,3.0,14.0,10.0,25.0,26.0,54.0,5.0,26.0,1.0,3.0,12.0,35.0,10.0,38.0,150.0,15.0,10.0,19.0,22.0,4.0,12.0,25.0,4.0,10.0,2.0,2.0,47.0,8.0,2.0,76.0,1.0,9.0,11.0,12.0,4.0,3.0,3.0,2.0,2.0,1.0,0.48148148148148145,0.007853403141361256,0.007874015748031496,0.00784313725490196,0.46808510638297873,0.16483516483516483,0.03231292517006803,0.15991471215351813,0.03740157480314961,0.03537735849056604,0.01639344262295082,0.03333333333333333,0.13987473903966596,0.16032608695652173,0.15841584158415842,0.02857142857142857,0.5934959349593496,0.6636363636363637,0.7397260273972602,0.43478260869565216,0.43478260869565216,0.8,0.19478527607361965,0.4094488188976378,0.4126984126984127,1.0,0.37755102040816324,0.4594594594594595,0.11764705882352941,0.14285714285714285,0.21428571428571427,1.0,0.17592592592592593,0.42105263157894735,0.23148148148148148,0.4,0.5235638461538462,0.007792207792207792,,,,,,,,,,
1626163,1610612766,Frank Kaminsky,Frank Kaminsky,1626163,CHA,44822.0,747,45,1536,1513,465,416,156.0,3049,7.0,48.0,124.0,10.0,26.0,158.0,49.0,136.0,402.0,1690,10.0,29.0,102.0,147.0,124.0,48.0,23.0,62.0,11.0,147.0,19.0,64.0,123.0,38.0,161.0,79.0,105.0,8.0,100.0,463,7.0,1.0,0.3602941176470588,0.3448275862068966,0.3602941176470588,0.5493197278911565,0.5205479452054794,0.5964391691394659,0.5730337078651685,0.46258503401360546,22.157092614302464,0.165374677002584,0.05475504322766571,0.16329479768786126,0.05040871934604905,0.054945054945054944,0.20634920634920634,0.023809523809523808,0.4217687074829932,0.3870967741935484,0.3870967741935484,1.0,0.3561643835616438,0.38461538461538464,0.7687074829931972,0.3870967741935484,0.5038848639455782,0.4922972602739726,0.2537313432835821,4.9537974683544315,25.72794117647058,0.302734375,2.0,4.0,2.0,5.0,42.0,39.0,5.0,12.0,8.0,12.0,7.0,12.0,0.4,0.6538461538461539,0.65625,0.15384615384615385,0.5,1.0,0.1044776119402985,29.0,61.0,88.0,50.0,,12.0,68.0,5.0,7.0,6.0,0.5569620253164557,0.0759493670886076,0.04918032786885246,0.09473684210526316,0.5833333333333334,0.20748299319727892,0.47540983606557374,0.5,,,90.0,23.0,44.0,126.0,0.7159090909090909,0.7777777777777778,0.5227272727272727,0.1,0.30612244897959184,0.6551724137931034,79.0,26.0,50.0,0.1580547112462006,0.2617801047120419,False,59.0,12.0,16.0,15.0,23.0,,1.0,12.0,,1.0,,3.0,14.0,21.0,8.0,14.0,,,12.0,24.0,10.0,18.0,49.0,10.0,3.0,4.0,19.0,2.0,10.0,22.0,3.0,9.0,1.0,4.0,41.0,2.0,12.0,34.0,4.0,3.0,6.0,3.0,4.0,17.0,2.0,,1.0,1.0,0.6666666666666666,,,,0.4634146341463415,0.2631578947368421,0.046511627906976744,0.16065573770491803,0.047058823529411764,0.05384615384615385,0.034482758620689655,0.05405405405405406,0.1746987951807229,0.15246636771300448,0.18292682926829268,0.02112676056338028,0.6555555555555556,0.7283950617283951,0.7457627118644068,,,,0.04081632653061224,0.08333333333333333,0.08333333333333333,1.0,0.6153846153846154,0.75,0.3333333333333333,0.038461538461538464,,,0.3150684931506849,0.6521739130434783,0.0410958904109589,,0.5306263157894735,0.014492753623188406,1.0,2.0,2.0,0.02702702702702703,,,,,,
1628370,1610612766,Malik Monk,Malik Monk,1628370,CHA,75015.0,1250,-39,2602,2577,750,656,250.0,5179,57.0,87.0,256.0,25.0,71.0,256.0,108.0,327.0,650.0,2943,30.0,100.0,192.0,291.0,250.0,87.0,26.0,116.0,21.0,258.0,8.0,56.0,121.0,16.0,137.0,88.0,102.0,11.0,190.0,748,5.0,0.8981481481481481,0.3302752293577982,0.3,0.3364485981308411,0.48027444253859347,0.4578313253012048,0.5175718849840255,0.5161290322580645,0.5608919382504288,24.49050086355786,0.08358208955223881,0.014466546112115732,0.10008554319931566,0.013082583810302535,0.013793103448275862,0.11504424778761062,0.09777015437392796,0.4391080617495712,0.33984375,0.3438735177865613,0.8850574712643678,0.42771084337349397,0.352112676056338,0.7770154373927959,0.348,0.517283304347826,0.5013606918238993,0.2953846153846154,7.483593750000002,25.99051987767584,0.28823981552651806,7.0,13.0,7.0,15.0,39.0,90.0,15.0,36.0,28.0,18.0,11.0,18.0,0.4666666666666667,0.4852941176470588,0.527027027027027,0.38235294117647056,0.5384615384615384,1.0,0.06,21.0,73.0,118.0,134.0,33.0,27.0,106.0,6.0,13.0,4.0,0.4609375,0.10546875,0.1095890410958904,0.08666666666666667,0.7222222222222222,0.12521440823327615,0.2876712328767123,0.3230769230769231,,,126.0,31.0,66.0,102.0,0.4322033898305085,0.4358974358974359,0.4696969696969697,0.14285714285714285,0.21612349914236706,0.2857142857142857,90.0,40.0,39.0,0.06991869918699187,0.1368421052631579,False,77.0,3.0,8.0,20.0,33.0,20.0,21.0,71.0,,2.0,5.0,29.0,6.0,19.0,6.0,2.0,6.0,5.0,5.0,70.0,5.0,8.0,61.0,4.0,5.0,8.0,53.0,9.0,41.0,33.0,5.0,12.0,4.0,9.0,86.0,6.0,20.0,64.0,4.0,3.0,2.0,2.0,6.0,10.0,4.0,,1.0,1.0,0.3157894736842105,0.01529051987767584,0.028169014084507043,0.01171875,0.6162790697674418,0.05714285714285714,0.011940298507462687,0.12224448897795591,0.013333333333333334,0.009345794392523364,0.01282051282051282,0.01694915254237288,0.05782312925170068,0.13216957605985039,0.08163265306122448,0.016025641025641024,0.6111111111111112,0.7129629629629629,0.5324675324675324,0.3508771929824561,0.35714285714285715,0.2,0.12178387650085763,0.29577464788732394,0.30434782608695654,0.9523809523809523,0.23529411764705882,0.375,0.3333333333333333,0.058823529411764705,,,0.19879518072289157,0.6060606060606061,0.1746987951807229,0.1724137931034483,0.48048,0.012121212121212121,,1.0,,,1.0,4.0,1.0,0.017543859649122806,,
1628407,1610612766,Dwayne Bacon,Dwayne Bacon,1628407,CHA,45049.0,751,-19,1515,1535,417,359,160.0,3050,26.0,23.0,55.0,5.0,11.0,168.0,37.0,85.0,311.0,1760,7.0,17.0,71.0,84.0,55.0,23.0,26.0,47.0,19.0,120.0,4.0,38.0,79.0,8.0,87.0,41.0,46.0,2.0,71.0,410,1.0,0.7567567567567568,0.43529411764705883,0.4117647058823529,0.43529411764705883,0.5474308300395256,0.5648148148148148,0.5675182481751825,0.5916666666666667,0.3359683794466403,17.198581560283685,0.09743589743589744,0.012738853503184714,0.10584958217270195,0.01094391244870041,0.015444015444015444,0.1095890410958904,0.10276679841897234,0.21739130434782608,0.41818181818181815,0.41818181818181815,0.6086956521739131,0.2037037037037037,0.45454545454545453,0.6719367588932806,0.41818181818181815,0.5172484189723322,0.5177814814814814,0.2282958199356913,6.630357142857142,25.263529411764708,0.27524752475247527,2.0,6.0,3.0,9.0,22.0,21.0,4.0,12.0,10.0,4.0,3.0,4.0,0.3333333333333333,0.5833333333333334,0.6111111111111112,0.3333333333333333,0.3333333333333333,0.5,0.0707395498392283,17.0,57.0,83.0,64.0,27.0,13.0,71.0,1.0,2.0,4.0,0.49404761904761907,0.07738095238095238,0.08771929824561403,0.12903225806451613,0.5,0.22529644268774704,0.2982456140350877,0.3269230769230769,,,85.0,20.0,37.0,102.0,0.6144578313253012,0.6296296296296297,0.5405405405405406,0.09411764705882353,0.3359683794466403,0.47058823529411764,34.0,10.0,23.0,0.08455882352941177,0.12299465240641712,False,59.0,5.0,7.0,16.0,21.0,7.0,14.0,30.0,1.0,3.0,2.0,6.0,6.0,9.0,1.0,4.0,,,7.0,14.0,3.0,4.0,38.0,3.0,4.0,2.0,7.0,3.0,5.0,11.0,2.0,2.0,1.0,3.0,18.0,,5.0,33.0,1.0,1.0,1.0,2.0,2.0,4.0,,,,,0.6666666666666666,,,,0.3888888888888889,0.09375,0.009592326139088728,0.11585365853658537,0.005813953488372093,0.019230769230769232,,,0.06622516556291391,0.12109375,0.09722222222222222,0.03361344537815126,0.6941176470588235,0.7662337662337663,0.6271186440677966,0.2692307692307692,0.2692307692307692,0.8571428571428571,0.11857707509881422,0.4666666666666667,0.4666666666666667,1.0,0.3888888888888889,0.7142857142857143,0.4,0.16666666666666666,0.3333333333333333,1.0,0.3888888888888889,0.7619047619047619,0.1111111111111111,0.3333333333333333,0.5364500000000001,,,,,,,,,,,
