EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsAssisted3s,PtsPutbacks,Corner3Assists,SelfOReb,Steals,BadPassSteals,StepOutOfBoundsTurnovers,DefensiveGoaltends,Assisted3sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffAtRimReboundPct,OffCorner3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChancePointsPct,LostBallSteals,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,RecoveredBlocks,OffLongMidRangeReboundPct,BlocksRecoveredPct,Charge Fouls Drawn,3SecondViolations,Corner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,SecondChanceArc3FGM,SecondChanceFG3M,Charge Fouls,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedLongMidRange,LongMidRangePctBlocked,Technical Free Throw Trips,SecondChanceAtRimPctAssisted,on,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3FGA,HeaveAttempts,FTOffRebounds,Clear Path Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,OffensiveGoaltends,Defensive 3 Seconds Violations,OffFTReboundPct,LongMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,BlockedCorner3
1627735,1610612757,Wade Baldwin IV,Wade Baldwin IV,1627735,POR,4398.0,73,-50.0,157,154,58.0,67.0,19.0,311,5.0,12.0,1.0,4.0,4.0,1.0,6.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,4.0,8.0,23.0,2.0,7.0,8.0,30.0,176,1.0,1.0,5.0,7.0,2.0,5.0,8.0,24.0,2.0,14.0,6.0,6.0,1.0,4.0,6.0,4.0,10.0,4.0,4.0,2.0,24.0,1.0,1.0,4.0,4.0,2.0,10.0,2.0,12.0,7.0,3.0,5.0,4.0,2.0,1.0,11.0,1.0,5.0,2.0,6.0,7.0,1.0,11.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,24.0,58.0,3.0,2.0,0.125,0.125,0.2857142857142857,0.4,0.2857142857142857,0.3478260869565217,0.7142857142857143,0.3666666666666666,0.6666666666666666,0.4285714285714285,0.7058823529411765,0.2333333333333333,0.1739130434782608,0.1666666666666666,0.3333333333333333,25.414364640883974,0.6363636363636364,0.4,0.1111111111111111,0.0185185185185185,0.0851063829787234,0.0333333333333333,0.0963855421686747,0.0238095238095238,0.0555555555555555,0.0434782608695652,0.0666666666666666,0.0833333333333333,0.2222222222222222,0.075,0.1428571428571428,0.4,0.4166666666666667,0.5,0.2,0.2,0.1666666666666666,0.25,0.1666666666666666,0.4,0.4,0.0333333333333333,1.0,1.0,0.2,0.1666666666666666,0.1666666666666666,0.5,0.5,0.3333333333333333,1.0,0.0833333333333333,1.0,0.3333333333333333,0.25,0.6333333333333333,0.1666666666666666,0.4805433333333333,0.5803,0.4559458333333334,0.1212121212121212,0.1538461538461538,0.8,7.234782608695652,25.714285714285715,0.3694267515923566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
1627774,1610612757,Jake Layman,Jake Layman,1627774,POR,2922.0,49,-31.0,106,101,32.0,47.0,14.0,207,5.0,7.0,2.0,2.0,3.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,5.0,,,1.0,6.0,9.0,1.0,6.0,3.0,18.0,111,3.0,,2.0,3.0,,2.0,3.0,7.0,8.0,4.0,,5.0,1.0,,1.0,1.0,2.0,,1.0,,5.0,2.0,1.0,3.0,2.0,,5.0,3.0,8.0,2.0,,2.0,1.0,,,3.0,1.0,1.0,,,2.0,,4.0,,1.0,1.0,,,,,7.0,32.0,,1.0,0.6666666666666666,0.8,0.1666666666666666,,0.1666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.4,0.5294117647058824,0.5,0.4,,,,16.0,0.6666666666666666,,0.0869565217391304,0.0285714285714285,0.12,0.0952380952380952,0.1041666666666666,0.0535714285714285,,0.0588235294117647,0.1,,0.125,0.1111111111111111,0.1428571428571428,0.4666666666666667,0.7142857142857143,0.7142857142857143,0.6,0.0666666666666666,1.0,1.0,0.0666666666666666,,,0.0666666666666666,,,0.3333333333333333,0.2,0.2,0.6666666666666666,,0.6,0.6666666666666666,0.2,,0.2,,0.8666666666666667,0.2,0.5484733333333334,0.6115,0.5506800000000001,0.0625,0.1,0.3888888888888889,4.422222222222222,24.55,0.3018867924528302,2.0,2.0,2.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.75,0.0666666666666666,0.25,0.125,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
1628380,1610612757,Zach Collins,Zach Collins,1628380,POR,7326.0,122,-36.0,261,252,94.0,89.0,29.0,513,8.0,16.0,2.0,2.0,3.0,5.0,11.0,,2.0,,1.0,,,5.0,10.0,,1.0,2.0,13.0,29.0,5.0,11.0,8.0,49.0,268,5.0,,6.0,8.0,1.0,2.0,6.0,21.0,16.0,10.0,,10.0,5.0,3.0,3.0,2.0,5.0,2.0,2.0,1.0,12.0,1.0,4.0,8.0,9.0,1.0,18.0,5.0,23.0,3.0,1.0,1.0,2.0,2.0,,5.0,,1.0,5.0,10.0,10.0,1.0,9.0,1.0,4.0,1.0,9.0,5.0,4.0,9.0,21.0,94.0,1.0,1.0,0.6153846153846154,0.6666666666666666,0.4545454545454545,0.5,0.4545454545454545,0.4482758620689655,0.75,0.5125,0.75,0.5568181818181818,0.8076923076923077,0.275,0.1034482758620689,0.125,0.0909090909090909,16.723549488054605,0.6,0.1,0.1607142857142857,0.0439560439560439,0.1142857142857142,0.025,0.1349206349206349,0.0381679389312977,0.064516129032258,,0.125,0.1739130434782608,0.2222222222222222,0.135593220338983,,0.4,0.5,0.5714285714285714,0.625,0.275,0.4545454545454545,0.5,0.05,,,0.025,,,0.25,0.5,0.5,0.4,,0.3,0.6666666666666666,,,0.2,0.5,0.675,0.5,0.48028875,0.4428599999999999,0.433755,0.0930232558139534,0.125,0.4285714285714285,5.237931034482758,25.227272727272727,0.3601532567049808,1.0,1.0,,2.0,15.0,2.0,,1.0,3.0,2.0,,,1.0,0.2,0.2,0.2,0.027027027027027,0.1111111111111111,0.0588235294117647,0.6,1.0,0.5,0.0408163265306122,1.0,3.0,1.0,1.0,6.0,0.0434782608695652,0.6666666666666666,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
1628403,1610612757,Caleb Swanigan,Caleb Swanigan,1628403,POR,8702.0,145,-60.0,309,300,106.0,113.0,37.0,609,11.0,20.0,8.0,2.0,4.0,2.0,14.0,,5.0,1.0,3.0,,,,2.0,1.0,,,13.0,39.0,1.0,5.0,6.0,35.0,327,12.0,1.0,3.0,9.0,,,1.0,7.0,12.0,14.0,,2.0,,6.0,3.0,4.0,7.0,3.0,1.0,2.0,18.0,3.0,10.0,19.0,16.0,4.0,39.0,13.0,52.0,7.0,,2.0,9.0,5.0,2.0,16.0,4.0,7.0,13.0,22.0,12.0,,7.0,1.0,4.0,,,,,,7.0,106.0,,,0.4615384615384615,0.6666666666666666,0.2,,0.2,0.3333333333333333,0.3333333333333333,0.3295454545454545,0.3333333333333333,0.3723404255319149,0.3888888888888889,0.1136363636363636,0.1538461538461538,0.15,0.2142857142857142,17.897727272727273,0.4375,0.3636363636363636,0.2352941176470588,0.0909090909090909,0.2317073170731707,0.06,0.2333333333333333,0.08125,0.088235294117647,0.05,0.1923076923076923,0.2307692307692307,0.3125,0.2352941176470588,0.2142857142857142,0.4545454545454545,0.55,0.6470588235294118,0.5454545454545454,0.3181818181818182,0.1428571428571428,0.1818181818181818,0.1136363636363636,,,0.0681818181818181,0.3333333333333333,0.3333333333333333,0.0454545454545454,,,0.6153846153846154,0.0769230769230769,0.4444444444444444,0.5,,,,,0.5681818181818182,,0.4863090909090909,0.5174272727272726,0.4322444444444444,0.0851063829787234,0.0952380952380952,0.2,6.012820512820513,24.28,0.343042071197411,4.0,4.0,2.0,10.0,3.0,8.0,1.0,1.0,4.0,3.0,1.0,,1.0,0.3333333333333333,0.3076923076923077,0.3571428571428571,0.1304347826086956,0.1,0.0434782608695652,,,0.5,0.2857142857142857,1.0,2.0,5.0,4.0,,0.0333333333333333,,1.0,1.0,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
1629014,1610612757,Anfernee Simons,Anfernee Simons,1629014,POR,1768.0,29,-12.0,65,63,25.0,23.0,8.0,128,2.0,3.0,,1.0,1.0,1.0,3.0,,,,1.0,,1.0,,3.0,,,,3.0,6.0,,4.0,1.0,7.0,78,,,1.0,2.0,,1.0,1.0,3.0,2.0,4.0,,3.0,,,1.0,1.0,2.0,1.0,1.0,,5.0,,,3.0,,,3.0,,3.0,,2.0,,2.0,,,2.0,,1.0,,3.0,4.0,,4.0,,2.0,,,,,,3.0,25.0,2.0,,0.3333333333333333,0.3333333333333333,,,,0.5,0.5,0.3,0.3333333333333333,0.2916666666666667,0.375,0.4,,,,19.178082191780824,,,,,0.1304347826086956,,0.0857142857142857,,,,,,,0.1363636363636363,,0.3,0.6666666666666666,0.6666666666666666,0.5,0.3,0.3333333333333333,0.3333333333333333,,,,0.1,,,0.3,,,,,0.3333333333333333,1.0,0.3333333333333333,,,,0.7,,0.473845,,0.57645,0.1666666666666666,0.25,0.4285714285714285,4.9,25.475,0.3846153846153846,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,0.25,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
203552,1610612757,Seth Curry,Seth Curry,203552,POR,4151.0,69,-6.0,146,143,30.0,42.0,15.0,289,1.0,4.0,1.0,,1.0,1.0,2.0,,9.0,2.0,3.0,,,5.0,9.0,1.0,1.0,1.0,2.0,15.0,7.0,12.0,2.0,27.0,135,2.0,1.0,,1.0,1.0,1.0,2.0,5.0,2.0,2.0,6.0,9.0,5.0,2.0,,2.0,2.0,2.0,,,6.0,,1.0,4.0,2.0,,6.0,1.0,7.0,2.0,,2.0,1.0,,,3.0,,,1.0,4.0,6.0,1.0,2.0,,1.0,,,,,,5.0,30.0,1.0,,0.5,0.5,0.5833333333333334,1.0,0.5833333333333334,0.1333333333333333,,0.4629629629629629,0.75,0.4821428571428571,0.8333333333333334,0.4444444444444444,0.1333333333333333,0.5,,18.78787878787879,0.6666666666666666,,0.0555555555555555,0.0178571428571428,0.1111111111111111,,0.0833333333333333,0.0129870129870129,,,,0.0666666666666666,0.125,0.1111111111111111,0.1111111111111111,0.1481481481481481,0.25,0.5,,0.074074074074074,0.5,0.5,0.3333333333333333,,,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.5,,,,0.5,1.0,0.5925925925925926,0.5555555555555556,0.4885925925925926,0.566675,0.51935,0.0357142857142857,0.0625,0.1851851851851851,13.159999999999998,25.508333333333336,0.2054794520547945,,,,3.0,15.0,,,,,,,,0.7142857142857143,,0.5,0.5,0.0384615384615384,,,1.0,0.6,,0.1111111111111111,,,,1.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,
203917,1610612757,Nik Stauskas,Nik Stauskas,203917,POR,6584.0,110,-55.0,233,227,84.0,98.0,25.0,460,2.0,9.0,1.0,1.0,3.0,4.0,7.0,,5.0,3.0,4.0,2.0,3.0,8.0,19.0,3.0,2.0,6.0,6.0,21.0,11.0,23.0,3.0,48.0,254,1.0,3.0,2.0,4.0,4.0,9.0,3.0,19.0,4.0,8.0,,19.0,8.0,3.0,6.0,2.0,8.0,2.0,4.0,2.0,18.0,,2.0,5.0,2.0,,7.0,2.0,9.0,2.0,,1.0,1.0,1.0,,3.0,,2.0,1.0,3.0,4.0,,4.0,,1.0,1.0,2.0,,,2.0,19.0,84.0,,1.0,0.3333333333333333,0.3333333333333333,0.4782608695652174,0.4444444444444444,0.4782608695652174,0.2857142857142857,0.5,0.5113636363636364,0.6153846153846154,0.5217391304347826,0.6333333333333333,0.5227272727272727,0.1428571428571428,0.2222222222222222,,18.70229007633588,0.6666666666666666,,0.0408163265306122,0.0232558139534883,0.0769230769230769,,0.0614035087719298,0.0165289256198347,0.0689655172413793,,,0.0476190476190476,0.1,0.0909090909090909,,0.2045454545454545,0.2222222222222222,0.2857142857142857,0.5,0.1590909090909091,0.5714285714285714,0.5714285714285714,0.1136363636363636,,,0.0909090909090909,0.75,0.75,0.4318181818181818,0.4210526315789473,0.4210526315789473,0.25,0.75,0.2307692307692307,0.3333333333333333,0.2307692307692307,0.6666666666666666,0.4615384615384615,0.3333333333333333,0.7272727272727273,0.4210526315789473,0.5008022727272726,0.5235000000000001,0.5263076923076923,0.0222222222222222,0.0454545454545454,0.3958333333333333,8.161904761904761,25.52608695652174,0.3605150214592275,,,1.0,4.0,33.0,,,,2.0,1.0,,,1.0,,0.375,0.4,,,,0.25,1.0,,0.0833333333333333,1.0,,,1.0,2.0,,1.0,,,1.0,,,,1.0,1.0,,0.3333333333333333,0.3333333333333333,1.0,2.0,0.2,,,True,,,,,,,,,,,,,,,,,,,,,
1629018,1610612757,Gary Trent Jr.,Gary Trent Jr.,1629018,POR,1177.0,20,-3.0,42,41,23.0,2.0,4.0,83,1.0,2.0,,,1.0,,3.0,1.0,3.0,,1.0,,1.0,2.0,4.0,1.0,2.0,3.0,2.0,8.0,2.0,5.0,,10.0,38,,1.0,1.0,4.0,2.0,4.0,,8.0,2.0,2.0,3.0,4.0,2.0,,,,,,,,,,,1.0,3.0,,4.0,,4.0,1.0,,,,1.0,,1.0,,,1.0,1.0,2.0,,2.0,,,1.0,,,,,8.0,23.0,,1.0,0.5,0.5,0.4,0.5,0.4,0.25,0.25,0.3846153846153846,0.5,0.3571428571428571,0.4444444444444444,0.3846153846153846,,,,31.91489361702128,1.0,,0.2727272727272727,,0.0833333333333333,,0.1739130434782608,,,,,0.2857142857142857,0.5,0.1,,0.1538461538461538,0.5,0.5,1.0,0.2307692307692307,,,0.2307692307692307,0.3333333333333333,0.3333333333333333,0.0769230769230769,,,0.3076923076923077,0.5,0.5,,1.0,0.125,,0.125,,0.375,0.6666666666666666,0.5384615384615384,0.5,0.4858961538461538,0.5547,0.4961125,,,0.8,11.0125,24.98,0.5476190476190477,,,,3.0,3.0,,,,,,,,0.5,,1.5,1.5,,,,,0.5,,0.3,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,
203086,1610612757,Meyers Leonard,Meyers Leonard,203086,POR,775.0,13,-8.0,27,28,6.0,7.0,4.0,55,,1.0,,,,,,,,,1.0,,,1.0,2.0,,,,,1.0,1.0,3.0,2.0,5.0,24,,,,,,,,,,,,2.0,1.0,,1.0,,1.0,,1.0,,2.0,2.0,,2.0,3.0,,5.0,2.0,7.0,,,,1.0,,,1.0,,,,1.0,1.0,,2.0,,1.0,,,,,,,6.0,,,,,0.3333333333333333,,0.3333333333333333,,,0.375,,0.5,,0.75,,,,18.18181818181818,,,0.3333333333333333,,0.2,0.25,0.2631578947368421,0.1176470588235294,,0.2857142857142857,1.0,,0.1666666666666666,0.1428571428571428,0.3333333333333333,0.25,,,,,,,,,,0.25,,,0.5,0.5,0.5,,,,,,,,,1.0,0.5,0.569825,,,0.2,0.5,,0.7,24.666666666666668,0.2222222222222222,,,,,3.0,,,,1.0,,,,1.0,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
202323,1610612757,Evan Turner,Evan Turner,202323,POR,3550.0,59,-2.0,126,121,42.0,27.0,13.0,247,2.0,5.0,,1.0,1.0,1.0,3.0,3.0,6.0,,1.0,,,,1.0,,,,6.0,14.0,,2.0,5.0,17.0,116,,,4.0,6.0,,,2.0,10.0,,12.0,,1.0,,1.0,5.0,8.0,13.0,5.0,5.0,,34.0,,1.0,7.0,7.0,2.0,16.0,1.0,17.0,2.0,2.0,2.0,3.0,,,5.0,,1.0,2.0,8.0,6.0,1.0,6.0,,3.0,,1.0,1.0,,1.0,10.0,42.0,1.0,,,,,,,0.4285714285714285,0.6666666666666666,0.375,0.6666666666666666,0.4473684210526316,0.7142857142857143,0.125,0.0714285714285714,0.2,,17.39130434782609,0.4,0.3333333333333333,0.2333333333333333,0.0227272727272727,0.2413793103448276,,0.2372881355932203,0.0161290322580645,,,0.2727272727272727,0.2307692307692307,0.1666666666666666,0.2916666666666667,,0.3125,0.4,0.5,,0.1875,0.3333333333333333,0.3333333333333333,0.375,0.5,0.5,0.0625,,,0.0625,,,,,0.1666666666666666,1.0,,,,,0.4375,,0.5136,,0.4975,0.1578947368421052,0.1764705882352941,0.5882352941176471,9.007142857142856,24.05,0.3333333333333333,,,1.0,1.0,,,3.0,,3.0,2.0,,,,,,0.5,0.0555555555555555,,,,,,0.0588235294117647,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
