EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Fouls,Offensive Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Fg3aBlocked,SelfOReb,ShootingFouls,Loose Ball Fouls,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,FG3APctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,LongMidRangePctAssisted,SecondChanceCorner3FGA,PenaltyArc3FGM,Fg2aBlocked,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,FG2APctBlocked,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceCorner3Frequency,PenaltyArc3Accuracy,PtsUnassisted3s,LostBallSteals,2pt And 1 Free Throw Trips,AtRimPctBlocked,Blocked3s,BlockedArc3,FTOffRebounds,OffFTReboundPct,on,BlockedLongMidRange
120,1610612757,Steven Smith,Steven Smith,120,POR,5580.0,93.0,-13,176,175,57.0,43.0,16.0,351,8.0,9.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,11.0,18.0,2.0,6.0,15.0,43.0,200,1.0,3.0,1.0,1.0,1.0,6.0,3.0,4.0,1.0,3.0,11.0,20.0,8.0,14.0,6.0,2.0,5.0,1.0,4.0,2.0,6.0,1.0,1.0,2.0,2.0,14.0,1.0,3.0,1.0,2.0,1.0,4.0,4.0,8.0,2.0,2.0,6.0,1.0,1.0,3.0,5.0,9.0,1.0,3.0,2.0,2.0,16.0,4.0,1.0,5.0,20.0,57.0,0.36363636363636365,0.4,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6111111111111112,0.3333333333333333,0.75,0.5833333333333334,0.625,0.6428571428571429,0.65,0.6,0.75,0.25,20.0,0.6666666666666666,0.16666666666666666,0.03571428571428571,0.05084745762711865,0.038461538461538464,0.037037037037037035,0.036585365853658534,0.046511627906976744,0.13333333333333333,0.034482758620689655,0.043478260869565216,0.09090909090909091,0.05,0.375,0.8888888888888888,0.8888888888888888,0.375,0.08333333333333333,0.5,0.5,1.0,0.2916666666666667,0.2857142857142857,0.2857142857142857,0.041666666666666664,1.0,1.0,1.0,0.20833333333333334,0.2,0.2,1.0,0.25,1.0,0.25,1.0,1.0,0.14285714285714285,1.0,0.14285714285714285,1.0,0.2857142857142857,0.625,0.2,0.5170979166666666,0.4545333333333333,0.5172214285714285,0.04,0.05263157894736842,0.13953488372093023,0.46511627906976744,8.822222222222223,25.133333333333336,0.32386363636363635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
176,1610612757,Antonio Harvey,Antonio Harvey,176,POR,24.0,,-3,1,1,,1.0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
717,1610612757,Arvydas Sabonis,Arvydas Sabonis,717,POR,6275.0,105.0,-17,199,196,57.0,43.0,20.0,395,5.0,6.0,4.0,5.0,1.0,2.0,2.0,4.0,7.0,17.0,,,,,,2.0,,,,14.0,27.0,,2.0,6.0,34.0,219,5.0,6.0,,,,10.0,6.0,10.0,,,4.0,16.0,14.0,14.0,,10.0,2.0,,5.0,3.0,8.0,3.0,,4.0,1.0,19.0,4.0,4.0,3.0,13.0,1.0,17.0,8.0,25.0,1.0,1.0,2.0,,1.0,,1.0,2.0,,1.0,12.0,,8.0,,,4.0,16.0,57.0,0.5,0.7777777777777778,,,,,,0.5185185185185185,0.8333333333333334,0.6,0.4827586206896552,0.8333333333333334,0.6,0.5151515151515151,0.8333333333333334,0.6153846153846154,0.06896551724137931,15.765765765765764,1.0,0.16666666666666666,0.203125,0.06349206349206349,0.1,0.11428571428571428,0.1702127659574468,0.08163265306122448,0.1875,0.03225806451612903,0.06666666666666667,0.13793103448275862,0.13043478260869565,0.20689655172413793,0.8333333333333334,0.8333333333333334,0.2,0.13793103448275862,0.5,0.5,,0.5862068965517241,0.4117647058823529,0.4117647058823529,,,,,0.06896551724137931,,,,0.8333333333333334,0.8,,,,0.2,0.5,,,,0.27586206896551724,,0.4464982758620689,0.57805,0.46152999999999994,,,0.29411764705882354,0.47058823529411764,13.87037037037037,25.25,0.2864321608040201,1.0,1.0,7.0,1.0,7.0,5.0,2.0,7.0,1.0,1.0,0.5,0.5,0.4,0.17647058823529413,0.3333333333333333,0.07142857142857142,0.14285714285714285,0.8571428571428571,,,,,,,,,,,,,,,,,,,,True,
739,1610612757,Rasheed Wallace,Rasheed Wallace,739,POR,5767.0,96.0,-8,184,181,55.0,37.0,19.0,365,4.0,8.0,1.0,3.0,,1.0,6.0,14.0,,7.0,,2.0,,1.0,3.0,7.0,,2.0,2.0,10.0,29.0,3.0,9.0,4.0,33.0,198,1.0,3.0,,3.0,,2.0,2.0,8.0,2.0,3.0,2.0,12.0,10.0,10.0,9.0,2.0,7.0,3.0,5.0,1.0,6.0,,1.0,1.0,2.0,13.0,,5.0,7.0,5.0,1.0,13.0,5.0,18.0,1.0,1.0,2.0,,,2.0,2.0,4.0,,1.0,7.0,1.0,6.0,,2.0,1.0,12.0,55.0,0.5,0.5555555555555556,1.0,0.3333333333333333,,0.6666666666666666,0.3333333333333333,0.3448275862068966,0.3333333333333333,0.25,0.3815789473684211,0.16666666666666666,0.45454545454545453,0.4024390243902439,0.16666666666666666,0.5,0.23684210526315788,21.844660194174757,0.5,0.2,0.08333333333333333,0.08771929824561403,0.25925925925925924,,0.13793103448275862,0.05555555555555555,0.0625,0.07407407407407407,,0.13793103448275862,0.2,0.21052631578947367,0.5,0.5,0.5,0.3684210526315789,0.42857142857142855,0.46153846153846156,0.5,0.18421052631578946,,,0.05263157894736842,,,,0.18421052631578946,0.42857142857142855,0.42857142857142855,1.0,0.5,0.3333333333333333,0.3333333333333333,,,0.09090909090909091,,0.09090909090909091,,0.18181818181818182,0.4473684210526316,0.42857142857142855,0.45459078947368425,0.5594699999999999,0.4370727272727273,0.05,0.06451612903225806,0.06060606060606061,0.36363636363636365,8.87241379310345,24.811111111111114,0.29891304347826086,,2.0,3.0,1.0,2.0,,2.0,2.0,1.0,,,,,0.06666666666666667,,0.08333333333333333,0.5,,1.0,2.0,1.0,2.0,1.0,0.034482758620689655,0.07142857142857142,0.14285714285714285,0.42857142857142855,0.16666666666666666,1.0,,,,,,,,,True,
937,1610612757,Scottie Pippen,Scottie Pippen,937,POR,5613.0,94.0,-24,178,176,48.0,37.0,18.0,354,3.0,6.0,,,1.0,1.0,3.0,5.0,3.0,6.0,1.0,4.0,,1.0,2.0,12.0,,,,9.0,17.0,3.0,16.0,5.0,32.0,192,,,,,,,2.0,3.0,,1.0,1.0,5.0,2.0,16.0,6.0,,12.0,2.0,5.0,,5.0,,,1.0,1.0,10.0,1.0,1.0,4.0,9.0,,13.0,2.0,15.0,8.0,5.0,2.0,2.0,1.0,5.0,1.0,7.0,1.0,2.0,13.0,1.0,8.0,,4.0,1.0,5.0,48.0,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.1875,,,0.1875,0.5294117647058824,,0.6666666666666666,0.4090909090909091,,0.5,0.4444444444444444,,0.5,0.48484848484848486,21.717171717171716,0.2857142857142857,,0.15254237288135594,0.01694915254237288,0.13793103448275862,0.03225806451612903,0.14772727272727273,0.022222222222222223,,,0.038461538461538464,0.11538461538461539,0.13636363636363635,0.18181818181818182,0.5,0.6,,0.15151515151515152,0.6,0.75,,0.18181818181818182,0.5,0.5,0.12121212121212122,0.25,0.25,1.0,0.36363636363636365,0.16666666666666666,0.16666666666666666,0.5,,,,,,0.25,1.0,0.25,,,0.6666666666666666,0.16666666666666666,0.5033257575757576,,0.459075,0.11428571428571428,0.21052631578947367,,0.15625,9.382352941176471,24.543750000000003,0.2696629213483146,,1.0,4.0,1.0,1.0,1.0,,1.0,1.0,4.0,,,,0.125,0.23529411764705882,0.05263157894736842,1.0,0.3333333333333333,,,2.0,3.0,1.0,0.11764705882352941,0.2,0.0625,0.14285714285714285,,,3.0,3.0,2.0,0.16666666666666666,,,,,True,
21,1610612757,Greg Anthony,Greg Anthony,21,POR,508.0,8.0,-10,16,15,2.0,9.0,2.0,31,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,1.0,1.0,2.0,,3.0,25,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,2.0,,,1.0,0.5,,,0.5,,,,0.5,,,0.5,,,0.6666666666666666,16.666666666666668,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,0.6666666666666666,,0.48101666666666665,,,,,,,23.6,23.75,0.125,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
278,1610612757,Stacey Augmon,Stacey Augmon,278,POR,660.0,11.0,12,23,21,5.0,4.0,2.0,44,3.0,4.0,,,1.0,1.0,,1.0,,,,,,,,,,,,3.0,5.0,,,2.0,8.0,16,,,,,,,1.0,1.0,,,1.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,,1.0,1.0,3.0,5.0,0.6666666666666666,0.6666666666666666,,,,,,0.6,,1.0,0.6,,1.0,0.6666666666666666,,1.5,,19.23076923076923,,,,,,,,,,,,,,0.8,0.75,0.75,0.6666666666666666,0.2,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,0.8,,0.6518999999999999,,0.5622,0.2,0.2,,0.375,1.5,,0.21739130434782608,,,2.0,1.0,,,,,,,,,,,,,,,,,1.0,,,0.2,1.0,,,,,,,1.0,,,,,,True,
96,1610612757,Detlef Schrempf,Detlef Schrempf,96,POR,978.0,16.0,-15,30,32,6.0,9.0,3.0,62,,,,,,,,,2.0,2.0,1.0,1.0,,,,,,,,2.0,2.0,1.0,1.0,,7.0,42,1.0,1.0,,,,2.0,1.0,1.0,,,,2.0,4.0,,3.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,2.0,6.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.1666666666666667,1.0,1.0,1.1666666666666667,1.0,1.0,0.3333333333333333,9.09090909090909,,0.5,,,,,,,,,,,,,,,,,,,,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,0.3333333333333333,,0.4669666666666667,0.4208,0.4208,,,0.2857142857142857,0.2857142857142857,17.45,22.8,0.2,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,True,
757,1610612757,Damon Stoudamire,Damon Stoudamire,757,POR,5603.0,93.0,-19,176,171,52.0,32.0,18.0,347,5.0,11.0,1.0,2.0,1.0,2.0,2.0,4.0,4.0,9.0,,,,,2.0,11.0,,1.0,4.0,11.0,24.0,2.0,11.0,10.0,38.0,196,1.0,2.0,,1.0,,2.0,3.0,5.0,2.0,4.0,,12.0,8.0,14.0,,2.0,11.0,2.0,6.0,3.0,9.0,1.0,2.0,3.0,3.0,21.0,,1.0,1.0,3.0,2.0,6.0,1.0,7.0,2.0,2.0,6.0,,3.0,1.0,3.0,7.0,,3.0,4.0,1.0,10.0,,5.0,,12.0,52.0,0.36363636363636365,0.4,,0.18181818181818182,,0.5,0.18181818181818182,0.4583333333333333,0.5,0.6,0.4,0.3333333333333333,0.6666666666666666,0.475,0.3333333333333333,0.6666666666666666,0.3142857142857143,23.979591836734695,0.8571428571428571,0.4,0.05172413793103448,0.017543859649122806,0.041666666666666664,,0.04878048780487805,0.011235955056179775,0.07692307692307693,,,0.07692307692307693,,0.3142857142857143,0.45454545454545453,0.45454545454545453,0.6,0.11428571428571428,0.5,0.5,0.5,0.2571428571428571,0.4444444444444444,0.4444444444444444,,,,,0.3142857142857143,0.18181818181818182,0.18181818181818182,,0.6666666666666666,0.5,0.3333333333333333,,,0.2222222222222222,0.5,,,0.4444444444444444,0.6285714285714286,0.18181818181818182,0.5185928571428571,0.55955,0.49958888888888886,0.125,0.1724137931034483,0.05263157894736842,0.3157894736842105,8.3625,24.845454545454547,0.29545454545454547,,1.0,2.0,1.0,,,,1.0,,1.0,,,,,0.05555555555555555,0.045454545454545456,,,,2.0,,,,,,,0.14285714285714285,,0.5,6.0,,,,1.0,1.0,,,True,
393,1610612757,Rod Strickland,Rod Strickland,393,POR,367.0,6.0,12,12,12,3.0,,2.0,24,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,2.0,4.0,4,,,,,,,,,,,,,2.0,,,,,,1.0,,1.0,,,,1.0,2.0,,,,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,1.0,,4.0,,2.0,,,3.0,1.0,1.0,,,,,,1.0,,,1.0,,,0.6666666666666666,,,,20.0,,,0.25,,,,0.125,,,,,0.3333333333333333,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.4005,,,0.6666666666666666,0.6666666666666666,,,20.4,,0.25,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,True,
