EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceFtPoints,HeaveAttempts,FTOffRebounds,FTDefRebounds,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,Technical Free Throw Trips,LongMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,DefCorner3ReboundPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,3SecondViolations,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,DefensiveGoaltends,OffCorner3ReboundPct,on,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct
1541,1610612761,Alvin Williams,Alvin Williams,1541,TOR,27665.0,461,31.0,838,837,238,204,124,1675,8.0,13.0,1.0,2.0,2.0,3.0,13.0,27.0,34.0,83.0,2.0,9.0,23.0,1.0,3.0,3.0,6.0,55.0,123,9.0,25.0,16.0,153.0,855,6.0,13.0,1.0,3.0,15.0,10.0,27.0,3.0,6.0,12.0,41.0,60.0,50.0,18.0,9.0,2.0,23.0,9.0,3.0,35.0,12.0,47.0,8.0,4.0,9.0,10.0,16.0,106.0,1.0,5.0,5.0,23.0,28.0,6.0,34.0,2.0,15.0,9.0,6.0,11.0,9.0,3.0,2.0,1.0,14.0,2.0,2.0,10.0,31.0,2.0,22.0,2.0,7.0,5.0,7.0,1.0,1.0,1.0,2.0,4.0,8.0,6.0,41.0,238,8.0,0.5454545454545454,0.5555555555555556,0.6666666666666666,0.36,0.3333333333333333,0.5,0.36,0.44715447154471544,0.46153846153846156,0.37037037037037035,0.46283783783783783,0.46875,0.4393939393939394,0.48417721518987344,0.46875,0.5,0.16891891891891891,0.024390243902439025,0.15384615384615385,0.037037037037037035,17.40890688259109,0.7857142857142857,0.06906906906906907,0.014124293785310734,0.08620689655172414,0.012195121951219513,0.07161125319693094,0.013761467889908258,0.011627906976744186,0.012345679012345678,0.016042780748663103,0.013888888888888888,0.1038961038961039,0.04,0.07633587786259542,0.11363636363636363,0.024691358024691357,0.75,0.08783783783783784,0.6153846153846154,0.7272727272727273,0.25,0.18243243243243243,0.48148148148148145,0.5,0.46153846153846156,0.5608108108108109,0.40963855421686746,0.40963855421686746,0.6470588235294118,0.013513513513513514,0.1554054054054054,0.391304347826087,0.391304347826087,0.6666666666666666,0.125,0.5,0.1875,0.3333333333333333,1.0,0.09090909090909091,0.6666666666666666,0.18181818181818182,0.5,0.25675675675675674,0.391304347826087,0.4276077702702703,0.3988035714285714,0.4070151515151515,0.0457516339869281,0.0546875,0.09803921568627451,0.2679738562091503,14.60650406504065,25.444000000000003,0.2840095465393795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
164,1610612761,Chris Childs,Chris Childs,164,TOR,21421.0,357,-4.0,644,641,184,113,88,1285,8.0,18.0,,,3.0,5.0,3.0,7.0,10.0,27.0,,14.0,34.0,2.0,5.0,5.0,10.0,21.0,52,14.0,34.0,18.0,102.0,672,1.0,4.0,2.0,5.0,12.0,6.0,17.0,5.0,10.0,8.0,35.0,22.0,20.0,33.0,9.0,,32.0,14.0,4.0,65.0,12.0,77.0,8.0,4.0,16.0,12.0,37.0,166.0,,1.0,6.0,27.0,34.0,2.0,36.0,,9.0,4.0,5.0,23.0,20.0,11.0,3.0,2.0,34.0,5.0,7.0,17.0,45.0,3.0,21.0,,5.0,5.0,3.0,,,,1.0,2.0,3.0,1.0,35.0,184,5.0,0.5238095238095238,0.5238095238095238,0.7857142857142857,0.4117647058823529,0.4,0.5,0.4375,0.40384615384615385,0.25,0.35294117647058826,0.4883720930232558,0.4444444444444444,0.5,0.5260416666666666,0.5454545454545454,0.546875,0.3953488372093023,0.07692307692307693,0.16666666666666666,,17.356475300400533,0.6764705882352942,0.10756972111553785,0.003861003861003861,0.12244897959183673,,0.11,0.0031446540880503146,,0.016666666666666666,,,0.11764705882352941,0.12631578947368421,0.08571428571428572,0.08571428571428572,,0.3333333333333333,0.20930232558139536,0.4444444444444444,0.5333333333333333,0.375,0.08139534883720931,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.313953488372093,0.37037037037037035,0.38461538461538464,0.7,,0.3953488372093023,0.4117647058823529,0.4117647058823529,0.7857142857142857,,,0.5555555555555556,0.4,1.0,0.18518518518518517,0.6,0.37037037037037035,0.5,0.6046511627906976,0.4375,0.4729898809523809,0.4281833333333333,0.4566959999999999,0.054945054945054944,0.08771929824561403,0.11764705882352941,0.3431372549019608,11.076923076923077,27.691176470588236,0.2857142857142857,4.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,0.037037037037037035,0.058823529411764705,0.05,0.21428571428571427,,,,,,,,,,,,,,,,,,True,,
1713,1610612761,Vince Carter,Vince Carter,1713,TOR,32447.0,541,29.0,977,976,257,226,137,1953,47.0,82.0,19.0,35.0,12.0,23.0,28.0,65.0,22.0,72.0,10.0,19.0,51.0,,,2.0,12.0,97.0,219,25.0,61.0,58.0,327.0,1014,25.0,49.0,2.0,3.0,70.0,25.0,64.0,3.0,14.0,26.0,85.0,90.0,104.0,51.0,24.0,28.0,51.0,19.0,13.0,46.0,10.0,56.0,8.0,2.0,13.0,,33.0,122.0,3.0,34.0,10.0,31.0,41.0,37.0,78.0,13.0,20.0,17.0,3.0,12.0,4.0,15.0,8.0,,27.0,1.0,7.0,19.0,45.0,5.0,74.0,10.0,32.0,10.0,20.0,,,9.0,3.0,8.0,20.0,14.0,85.0,257,8.0,0.4639175257731959,0.5421686746987951,0.68,0.4098360655737705,0.6666666666666666,0.21428571428571427,0.4098360655737705,0.4429223744292237,0.5102040816326531,0.390625,0.48035714285714287,0.5384615384615384,0.3782051282051282,0.5240384615384616,0.5932203389830508,0.45698924731182794,0.21785714285714286,0.0593607305936073,0.10975609756097561,0.03076923076923077,29.710780017528485,0.4444444444444444,0.07948717948717948,0.08629441624365482,0.14084507042253522,0.030927835051546393,0.08893709327548807,0.07535641547861507,0.09473684210526316,0.12371134020618557,0.06435643564356436,0.03488372093023256,0.03296703296703297,0.07482993197278912,0.1118421052631579,0.1320754716981132,0.09154929577464789,0.7,0.29285714285714287,0.573170731707317,0.6438356164383562,0.425531914893617,0.23214285714285715,0.4307692307692308,0.4444444444444444,0.5,0.2571428571428571,0.3055555555555556,0.3142857142857143,0.5,0.03571428571428571,0.18214285714285713,0.37254901960784315,0.37254901960784315,0.631578947368421,0.6730769230769231,0.5428571428571428,,,,0.2948717948717949,0.5217391304347826,0.15384615384615385,0.16666666666666666,0.5107142857142857,0.37254901960784315,0.46751053571428575,0.5132804347826088,0.44459807692307696,0.10596026490066225,0.13278008298755187,0.21406727828746178,0.2599388379204893,8.796803652968036,25.265573770491805,0.263050153531218,14.0,,,,2.0,5.0,3.0,,0.027777777777777776,,,0.16666666666666666,6.0,2.0,3.0,1.0,2.0,1.0,0.6,0.6,0.8333333333333334,0.10526315789473684,0.057692307692307696,0.6666666666666666,0.5,0.02564102564102564,0.5,,,True,,
1721,1610612761,Keon Clark,Keon Clark,1721,TOR,5246.0,87,-1.0,154,162,40,36,22,316,5.0,10.0,,1.0,3.0,6.0,2.0,10.0,,1.0,,,,,,,,7.0,21,,,10.0,24.0,175,,2.0,,,4.0,3.0,10.0,,,8.0,14.0,8.0,6.0,,,,,,4.0,2.0,3.0,5.0,2.0,1.0,,,2.0,13.0,,5.0,2.0,9.0,14.0,5.0,19.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,11.0,14.0,,17.0,1.0,7.0,2.0,3.0,,,1.0,1.0,1.0,3.0,2.0,14.0,40,2.0,0.5714285714285714,0.5714285714285714,,,,,,0.3333333333333333,,0.3,0.3333333333333333,,0.3,0.41379310344827586,0.5,0.4666666666666667,,0.19047619047619047,0.3,0.1,18.333333333333332,0.5,0.13432835820895522,0.0847457627118644,0.2,,0.14285714285714285,0.06578947368421052,0.16666666666666666,0.09523809523809523,0.038461538461538464,,0.15,0.21052631578947367,0.07142857142857142,0.2857142857142857,0.2,0.6666666666666666,0.47619047619047616,0.5,0.7142857142857143,0.8,0.47619047619047616,0.2,0.2222222222222222,,0.047619047619047616,,,,,,,,,0.5,,,,,0.6,0.5,,,0.47619047619047616,,0.44230952380952376,0.47819999999999996,0.44467999999999996,0.25925925925925924,0.25925925925925924,0.16666666666666666,0.5833333333333334,5.785714285714286,,0.2597402597402597,4.0,,,3.0,,,2.0,,,0.375,,,,,,,,,,,,,,,,,,1.0,,True,,
213,1610612761,Antonio Davis,Antonio Davis,213,TOR,28266.0,471,37.0,854,846,202,180,122,1700,31.0,59.0,8.0,14.0,3.0,8.0,22.0,46.0,23.0,44.0,,,,,,,,76.0,149,,,41.0,193.0,876,12.0,22.0,,,28.0,16.0,29.0,,,15.0,47.0,96.0,56.0,,,10.0,,,17.0,16.0,7.0,23.0,7.0,,6.0,3.0,7.0,53.0,7.0,32.0,9.0,71.0,91.0,41.0,132.0,2.0,9.0,4.0,5.0,8.0,4.0,13.0,4.0,,21.0,4.0,6.0,13.0,33.0,5.0,51.0,5.0,25.0,3.0,22.0,,,14.0,2.0,6.0,22.0,12.0,47.0,202,,0.631578947368421,0.676056338028169,,,,,,0.5100671140939598,0.5454545454545454,0.5517241379310345,0.5100671140939598,0.5454545454545454,0.5517241379310345,0.561046511627907,0.5833333333333334,0.6351351351351351,,0.11409395973154363,0.23728813559322035,0.043478260869565216,19.31931931931932,0.38095238095238093,0.20579710144927535,0.09221902017291066,0.14285714285714285,0.08433734939759036,0.19607843137254902,0.09069767441860466,0.11627906976744186,0.07142857142857142,0.0903954802259887,0.0958904109589041,0.12658227848101267,0.21052631578947367,0.24812030075187969,0.1276595744680851,0.03571428571428571,0.5454545454545454,0.3959731543624161,0.5254237288135594,0.6888888888888889,0.5483870967741935,0.3087248322147651,0.4782608695652174,0.5,0.5,0.2953020134228188,0.5227272727272727,0.5348837209302325,0.8695652173913043,,,,,,0.6363636363636364,0.5714285714285714,,,,0.27586206896551724,0.375,,,0.3959731543624161,,0.44793020134228184,0.4923850000000001,0.42378965517241385,0.14792899408284024,0.14792899408284024,0.14507772020725387,0.24352331606217617,8.100671140939598,,0.23653395784543327,4.0,,2.0,11.0,4.0,4.0,7.0,,0.022727272727272728,0.4074074074074074,0.08333333333333333,0.1875,,,,,,,,,,0.125,,,,,,,,True,,
376,1610612761,Eric Montross,Eric Montross,376,TOR,906.0,15,-15.0,28,28,5,20,4,56,,1.0,,,,,,,,,,,,,,,,,1,,,,,35,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,2.0,2.0,1.0,,4.0,4.0,3.0,7.0,,,,,1.0,1.0,1.0,,,2.0,1.0,1.0,,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,,5,1.0,,,,,,,,,,,,,,,,,,,,,9.375,0.5,0.2857142857142857,0.1,,0.5,0.2857142857142857,0.21428571428571427,,,0.25,0.3333333333333333,,0.42857142857142855,0.5,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.7044,,,,,,,0.9,,0.17857142857142858,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,True,,
891,1610612761,Charles Oakley,Charles Oakley,891,TOR,22706.0,378,-2.0,688,686,170,158,90,1374,4.0,8.0,3.0,5.0,1.0,2.0,1.0,4.0,38.0,85.0,2.0,2.0,6.0,,2.0,1.0,3.0,43.0,97,3.0,8.0,14.0,109.0,717,5.0,14.0,,2.0,14.0,6.0,17.0,1.0,3.0,8.0,23.0,80.0,6.0,9.0,,4.0,6.0,2.0,3.0,13.0,6.0,19.0,6.0,,4.0,6.0,3.0,44.0,2.0,17.0,3.0,41.0,50.0,20.0,70.0,3.0,12.0,6.0,6.0,15.0,12.0,5.0,3.0,1.0,20.0,4.0,7.0,16.0,28.0,,17.0,,3.0,5.0,7.0,,,3.0,2.0,2.0,7.0,4.0,23.0,170,3.0,0.9302325581395349,0.975609756097561,1.0,0.375,,0.3333333333333333,0.375,0.44329896907216493,0.35714285714285715,0.35294117647058826,0.4523809523809524,0.3125,0.375,0.4778761061946903,0.3888888888888889,0.4791666666666667,0.0761904761904762,0.030927835051546393,0.25,0.25,16.604244694132333,0.75,0.15355805243445692,0.059233449477351915,0.06,0.03278688524590164,0.138801261829653,0.05459770114942529,0.05970149253731343,0.06557377049180328,0.05660377358490566,,0.16071428571428573,0.13592233009708737,0.16666666666666666,0.05555555555555555,0.05357142857142857,0.5714285714285714,0.0761904761904762,0.5,0.6666666666666666,0.5,0.0380952380952381,0.25,0.3333333333333333,1.0,0.8095238095238095,0.4470588235294118,0.4470588235294118,0.9736842105263158,0.01904761904761905,0.05714285714285714,0.3333333333333333,0.3333333333333333,1.0,0.3125,0.6,0.125,,,0.1,0.5,0.15,0.3333333333333333,0.1523809523809524,0.3333333333333333,0.4146509523809524,0.45047692307692305,0.415235,0.027777777777777776,0.03,0.12844036697247707,0.21100917431192662,16.383505154639174,24.9375,0.24709302325581395,4.0,,1.0,6.0,4.0,,3.0,1.0,,0.3333333333333333,0.058823529411764705,0.07142857142857142,1.0,,,,,,0.5,0.5,1.0,0.3333333333333333,,,,,,1.0,0.3333333333333333,True,,
2050,1610612761,Morris Peterson,Morris Peterson,2050,TOR,5234.0,87,9.0,161,157,7,30,18,318,4.0,5.0,,,,,,2.0,7.0,15.0,1.0,2.0,5.0,,,,,11.0,22,3.0,6.0,2.0,33.0,168,,,,,,,1.0,,,,,14.0,8.0,9.0,,,5.0,2.0,2.0,11.0,2.0,13.0,2.0,,3.0,1.0,7.0,28.0,1.0,,,8.0,8.0,1.0,9.0,,5.0,3.0,2.0,2.0,2.0,3.0,,,5.0,,1.0,5.0,9.0,,2.0,,1.0,,,,,,,,,,,7,3.0,0.6363636363636364,0.6363636363636364,1.0,0.5,,,0.5,0.5,,,0.5535714285714286,,,0.5689655172413793,,,0.21428571428571427,0.09090909090909091,0.2,0.5,18.681318681318682,0.4,0.12698412698412698,,,0.06666666666666667,0.10526315789473684,0.013157894736842105,,,,0.07142857142857142,,0.3076923076923077,,,,,0.17857142857142858,0.8,1.0,0.5,0.07142857142857142,,,,0.5357142857142857,0.4666666666666667,0.4666666666666667,0.7142857142857143,0.03571428571428571,0.17857142857142858,0.4,0.4,1.0,,,,,,,,,,0.39285714285714285,0.4,0.48097321428571427,,0.3819,0.034482758620689655,0.043478260869565216,,,12.745454545454548,24.516666666666666,0.043478260869565216,,,,,2.0,1.0,1.0,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,True,,
209,1610612761,Dell Curry,Dell Curry,209,TOR,9849.0,164,24.0,295,299,92,106,40,594,2.0,2.0,1.0,1.0,1.0,1.0,,4.0,11.0,19.0,9.0,9.0,27.0,2.0,2.0,1.0,6.0,13.0,25,14.0,36.0,10.0,78.0,314,1.0,2.0,2.0,2.0,8.0,4.0,9.0,3.0,8.0,5.0,22.0,22.0,4.0,42.0,,,26.0,9.0,1.0,6.0,1.0,7.0,1.0,,3.0,1.0,2.0,15.0,,2.0,2.0,10.0,12.0,2.0,14.0,,4.0,,4.0,4.0,3.0,4.0,1.0,,8.0,,2.0,3.0,8.0,,12.0,,2.0,1.0,1.0,,,,,1.0,1.0,,22.0,92,2.0,0.8461538461538461,0.8461538461538461,1.0,0.3888888888888889,1.0,0.375,0.4,0.52,0.5,0.4444444444444444,0.5573770491803278,1.0,0.5,0.5625,1.0,0.5263157894736842,0.5901639344262295,0.04,,0.25,20.991253644314867,0.5,0.08064516129032258,0.018867924528301886,0.09090909090909091,,0.0821917808219178,0.013888888888888888,0.045454545454545456,,0.022222222222222223,,0.0625,0.13043478260869565,0.043478260869565216,0.1111111111111111,,,0.03278688524590164,1.0,1.0,1.0,0.06557377049180328,,,,0.3114754098360656,0.5789473684210527,0.5789473684210527,0.8181818181818182,0.14754098360655737,0.4426229508196721,0.3333333333333333,0.3333333333333333,1.0,0.25,1.0,0.5,1.0,1.0,0.058823529411764705,1.0,0.35294117647058826,0.16666666666666666,0.6229508196721312,0.34615384615384615,0.45838416666666665,0.5617166666666668,0.42365937500000006,0.031746031746031744,0.07407407407407407,0.10256410256410256,0.28205128205128205,15.879999999999997,26.56388888888889,0.31186440677966104,,1.0,,,4.0,,1.0,6.0,,,,,5.0,,,2.0,2.0,,0.5555555555555556,0.5555555555555556,1.0,1.0,,,,0.11764705882352941,1.0,,,True,,
966,1610612761,Jerome Williams,Jerome Williams,966,TOR,8495.0,142,37.0,246,248,90,57,40,494,7.0,13.0,2.0,3.0,4.0,4.0,,2.0,,2.0,,,,,,,,7.0,17,,,10.0,24.0,244,2.0,4.0,,,5.0,4.0,4.0,,,4.0,12.0,10.0,4.0,,,2.0,,,3.0,6.0,1.0,7.0,,1.0,3.0,,3.0,15.0,3.0,14.0,3.0,18.0,23.0,18.0,41.0,1.0,8.0,6.0,2.0,3.0,,2.0,3.0,1.0,5.0,,3.0,5.0,19.0,,20.0,2.0,10.0,1.0,5.0,,,2.0,,3.0,5.0,3.0,12.0,90,3.0,0.7142857142857143,0.8333333333333334,,,,,,0.4117647058823529,0.5,1.0,0.4117647058823529,0.5,1.0,0.46153846153846156,0.4166666666666667,0.75,,0.17647058823529413,0.23076923076923078,,10.689655172413794,0.6,0.1875,0.15053763440860216,0.15789473684210525,0.10344827586206896,0.1826086956521739,0.13934426229508196,0.19047619047619047,0.1111111111111111,0.15555555555555556,0.10714285714285714,0.2222222222222222,0.11764705882352941,0.22857142857142856,0.1875,0.14285714285714285,0.6,0.7647058823529411,0.5384615384615384,0.7,0.7142857142857143,0.11764705882352941,,,,0.11764705882352941,,,,,,,,,0.75,0.6666666666666666,,,,1.0,1.0,,,0.7647058823529411,,0.503394117647059,0.50485,0.540275,0.4,0.4,0.20833333333333334,0.5,2.911764705882353,,0.36585365853658536,1.0,,1.0,2.0,,1.0,7.0,,,0.4,0.14285714285714285,,,,,,,,,,,0.5,,,,,,,,True,,
