EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted3s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGA,SecondChanceAtRimFGA,LongMidRangeFGA,LongMidRangeAssists,OffTwoPtRebounds,OffRebounds,LostBallTurnovers,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,AtRimFrequency,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,Fg2aBlocked,OffThreePtRebounds,FG2APctBlocked,AtRimPctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,Arc3FGM,FG2M,FtPoints,SecondChanceFG2M,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGM,DefThreePtRebounds,FTDefRebounds,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,DefFTReboundPct,DefThreePtReboundPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyArc3FGA,PenaltyFG3A,Steals,BadPassSteals,DeadBallTurnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,DefArc3ReboundPct,PenaltyArc3Frequency,ShortMidRangeAssists,NonShootingFoulsDrawn,ThreePtAssists,Corner3Assists,PenaltyTurnovers,ShortMidRangeFGM,Arc3Assists,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Blocked2s,BlockedAtRim,Blocks,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,on,SecondChanceAtRimFGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,PenaltyFtPoints,PtsPutbacks,Offensive Fouls,Technical Free Throw Trips,BlockedLongMidRange,SecondChanceFg3Pct,PenaltyFg3Pct,OffAtRimReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,DefAtRimReboundPct,SecondChanceCorner3FGA,SelfOReb,BlockedShortMidRange,RecoveredBlocks,ShortMidRangePctBlocked,SelfORebPct,BlocksRecoveredPct,SecondChanceCorner3Frequency,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,PtsUnassisted3s,LostBallSteals,2pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,FTOffRebounds,OffFTReboundPct
120,1610612757,Steven Smith,Steven Smith,120,POR,894.0,15,-21.0,26,28,7.0,7.0,4.0,54,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,42,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,7.0,1.0,0.3333333333333333,0.3333333333333333,0.375,0.375,0.75,16.666666666666668,1.0,0.25,0.16666666666666666,0.6666666666666666,0.25,0.25,1.0,1.0,1.0,0.5,0.75,0.4777625,9.1,24.76666666666667,0.2692307692307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,1610612757,Stacey Augmon,Stacey Augmon,278,POR,551.0,9,-25.0,13,16,,2.0,3.0,29,1.0,,,,3.0,,,,28,2.0,,,1.0,1.0,,2.0,2.0,2.0,3.0,1.0,,1.0,,,,,,,,23.52941176470588,1.0,0.3333333333333333,0.2857142857142857,,0.3333333333333333,,,,,,0.3333333333333333,0.4285333333333334,7.733333333333333,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.1,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.4622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,1610612757,Rod Strickland,Rod Strickland,393,POR,541.0,9,-15.0,13,14,,1.0,4.0,27,1.0,,,,3.0,,,,20,1.0,,,,,,,,,1.0,,,,,,,,,,,16.666666666666668,,,,,0.3333333333333333,,,,,,0.3333333333333333,0.43649999999999994,7.866666666666667,,,1.0,,1.0,,,1.0,,,0.09090909090909091,,,0.3333333333333333,0.3333333333333333,,,1.0,1.0,0.3333333333333333,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,1610612757,Rasheed Wallace,Rasheed Wallace,739,POR,1077.0,18,-20.0,32,32,7.0,5.0,5.0,64,2.0,,,2.0,7.0,1.0,2.0,14.0,44,1.0,3.0,2.0,,,,,1.0,3.0,3.0,,,,7.0,1.0,0.5,0.5,0.6111111111111112,0.6363636363636364,0.2222222222222222,28.94736842105263,,0.09090909090909091,0.11764705882352941,0.3333333333333333,0.2222222222222222,,,,,0.2222222222222222,0.3333333333333333,0.44871666666666665,13.642857142857142,25.15,0.21875,1.0,,4.0,,,,,,,,,0.1111111111111111,0.4444444444444444,,0.3772,,,,,,,1.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,6.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,0.75,0.75,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.16666666666666666,1.0,1.0,1.0,1.0,0.75,0.75,0.6666666666666666,0.5,0.5,1.0,1.0,1.0,0.5,0.6547,0.18181818181818182,0.2222222222222222,0.14285714285714285,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,1610612757,Dale Davis,Dale Davis,905,POR,1180.0,20,-31.0,34,37,7.0,7.0,5.0,71,1.0,,,1.0,1.0,,1.0,1.0,55,,,1.0,,,,,,1.0,4.0,1.0,,2.0,7.0,,,,,0.16666666666666666,0.5,12.5,0.5,,0.05555555555555555,,0.5,,,,,0.5,0.5,0.234475,12.8,31.8,0.20588235294117646,,,,,2.0,3.0,1.0,0.15384615384615385,0.17647058823529413,0.2857142857142857,,,,,,,1.0,,,0.25,0.25,,,,,,,1.0,,,,1.0,,,,,1.0,,2.0,1.0,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,,,,0.234475,0.3333333333333333,0.5,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,1.0,1.0,0.2,0.5,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1610612757,Detlef Schrempf,Detlef Schrempf,96,POR,230.0,4,2.0,6,7,,1.0,1.0,13,,,,,,,,2.0,5,,,,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,0.5,,28.57142857142857,,0.3333333333333333,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,1610612757,Damon Stoudamire,Damon Stoudamire,757,POR,502.0,8,-19.0,17,19,7.0,6.0,1.0,36,1.0,,,,2.0,,,,33,,,,,1.0,,3.0,,,,2.0,1.0,2.0,7.0,,,,,,,22.22222222222222,1.0,,,,0.5,,,,,,,0.4124,14.1,,0.4117647058823529,,,1.0,,,,1.0,,,,,,0.5,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3962,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,2.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,1610612757,Scottie Pippen,Scottie Pippen,937,POR,861.0,14,-18.0,27,29,7.0,6.0,2.0,56,1.0,,,1.0,2.0,,1.0,4.0,40,,,1.0,1.0,2.0,,5.0,,2.0,2.0,2.0,2.0,4.0,7.0,,,,0.6666666666666666,0.6666666666666666,0.3333333333333333,23.333333333333336,0.5,,0.0625,,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,0.4067,12.55,25.7,0.25925925925925924,,,1.0,1.0,,,,,,,,,0.3333333333333333,,,,,,,,,,,,1.0,,2.0,,,,1.0,1.0,2.0,2.0,2.0,,1.0,1.0,,,2.0,0.5,0.5,1.0,,1.0,,0.5,,0.5,0.5,0.16666666666666666,,,,,1.0,1.0,,,,,,,,0.4048,,,,0.5,1.0,1.0,,,2.0,,,,,,0.2,0.5,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,1610612757,Antonio Harvey,Antonio Harvey,176,POR,64.0,1,-8.0,2,3,,,,5,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1610612757,Steven Smith,Steven Smith,120,POR,6440.0,107,-16.0,208,206,89.0,68.0,19.0,414,4.0,1.0,1.0,7.0,22.0,3.0,8.0,48.0,231,4.0,9.0,7.0,4.0,6.0,2.0,14.0,3.0,6.0,11.0,6.0,1.0,9.0,89.0,1.0,0.375,0.375,0.55,0.6111111111111112,0.26666666666666666,19.565217391304348,0.6666666666666666,0.04477611940298507,0.052083333333333336,0.043478260869565216,0.13333333333333333,0.03333333333333333,1.0,1.0,1.0,0.23333333333333334,0.6333333333333333,0.51005,8.154545454545454,25.0,0.42788461538461536,11.0,2.0,7.0,2.0,4.0,5.0,5.0,0.057971014492753624,0.05,,0.08333333333333333,0.36666666666666664,0.23333333333333334,0.4,0.487475,,1.0,,,0.03225806451612903,0.04,8.0,1.0,3.0,2.0,2.0,12.0,15.0,1.0,6.0,4.0,8.0,25.0,10.0,14.0,2.0,2.0,1.0,16.0,1.0,25.0,0.4166666666666667,0.45454545454545453,0.5454545454545454,0.25,0.5,0.5,0.5384615384615384,0.5,0.6388888888888888,0.16666666666666666,0.06896551724137931,,0.7272727272727273,0.7272727272727273,0.375,0.2857142857142857,0.2857142857142857,,0.2857142857142857,0.2857142857142857,1.0,0.23076923076923078,0.3333333333333333,0.2857142857142857,0.5008999999999999,0.03225806451612903,0.043478260869565216,0.125,0.5208333333333334,4.0,5.0,2.0,2.0,3.0,1.0,,3.0,,,0.08695652173913043,0.3076923076923077,,5.0,2.0,1.0,3.0,2.0,1.0,1.0,,1.0,,1.0,0.5,0.5,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,11.0,2.0,2.0,4.0,1.0,1.0,0.4,0.1111111111111111,0.06060606060606061,0.5,0.2,1.0,1.0,0.07692307692307693,1.0,0.25,,,,,,,,,,,,,,,,,,,,
