EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,NonHeaveArc3FGA,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,ShortMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,FG2M,PenaltyFG2M,PtsUnassisted2s,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,AtRimFGM,PenaltyAtRimFGM,LongMidRangeFGM,LongMidRangeFGA,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,LostBallSteals,LostBallTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,FG2APctBlocked,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,OffThreePtRebounds,DefThreePtRebounds,SelfOReb,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefThreePtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimAccuracy,SecondChancePointsPct,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFtPoints,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,PenaltyTurnovers,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,FTOffRebounds,AtRimPctBlocked,OffFTReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,BlockedShortMidRange,SecondChanceArc3Frequency,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,ShortMidRangePctAssisted,FTDefRebounds,DefFTReboundPct,on,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Corner3Assists,SecondChanceTurnovers,Offensive Fouls,Technical Free Throw Trips,BlockedLongMidRange,SecondChanceFg3Pct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,DefCorner3ReboundPct,SecondChanceCorner3Frequency,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,Blocked3s,BlockedArc3
120,1610612757,Steven Smith,Steven Smith,120,POR,956.0,16,-4,29,32,17.0,20.0,6.0,61,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,37,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,17.0,0.2,0.3333333333333333,0.5,16.666666666666668,1.0,0.2,0.08333333333333333,0.16666666666666666,0.0625,0.3333333333333333,0.6666666666666666,0.25,0.25,0.5,0.5,0.5,0.5,0.75,0.48521250000000005,0.5863,0.55925,1.0,4.55,25.950000000000003,0.5862068965517241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1610612757,Greg Anthony,Greg Anthony,21,POR,282.0,5,4,8,9,7.0,7.0,1.0,17,,,,2.0,,,2.0,,,2.0,9,,2.0,,,2.0,,,,,,,,,,,,,,2.0,7.0,0.5,0.5,,22.22222222222222,,,,,,,,,1.0,,,,,,0.383,,0.383,1.0,9.85,,0.875,1.0,1.0,1.0,2.0,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,1610612757,Stacey Augmon,Stacey Augmon,278,POR,1675.0,28,-3,52,56,21.0,25.0,7.0,108,6.0,1.0,2.0,2.0,,,10.0,,2.0,10.0,54,2.0,3.0,,1.0,5.0,,1.0,3.0,3.0,1.0,4.0,1.0,,1.0,,1.0,2.0,1.0,5.0,21.0,0.45454545454545453,0.8333333333333334,,18.0327868852459,1.0,0.13043478260869565,0.0625,0.10344827586206896,0.043478260869565216,,0.16666666666666666,0.6,0.2,,0.5,0.6666666666666666,,0.6,0.54272,0.4622,0.4814333333333334,0.5,5.04,,0.40384615384615385,,4.0,2.0,2.0,0.4,0.6666666666666666,0.4,0.6666666666666666,,,3.0,1.0,1.0,2.0,6.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.75,0.75,0.1,0.5,0.16666666666666666,0.2222222222222222,0.5,0.5,0.6666666666666666,0.2,0.5,0.5,1.0,0.5,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,1610612757,Arvydas Sabonis,Arvydas Sabonis,717,POR,660.0,11,12,23,21,5.0,4.0,2.0,44,2.0,2.0,2.0,1.0,1.0,,4.0,1.0,1.0,7.0,16,2.0,3.0,,1.0,5.0,1.0,1.0,2.0,3.0,2.0,5.0,,,,,,2.0,1.0,5.0,5.0,0.5833333333333334,0.625,0.2,23.076923076923077,,0.3333333333333333,0.25,0.3,0.25,,,0.4,0.2,0.2,1.0,0.6666666666666666,,0.6,0.51997,0.5778,0.5660999999999999,0.7142857142857143,8.2,24.8,0.21739130434782608,1.0,3.0,2.0,4.0,0.75,0.6666666666666666,0.6,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,3.0,1.0,1.0,,1.0,7.0,,,,2.0,,,,0.3333333333333333,0.5,,,,0.3333333333333333,0.5,0.5,,0.2,1.0,1.0,1.0,0.5,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.25,0.25,0.5,0.25,0.3333333333333333,0.25,0.5,1.0,0.5,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1610612757,Detlef Schrempf,Detlef Schrempf,96,POR,544.0,9,11,17,20,16.0,18.0,1.0,37,,,,,1.0,1.0,,1.0,2.0,5.0,13,,,1.0,2.0,5.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,4.0,2.0,5.0,16.0,0.8333333333333334,0.8333333333333334,1.0,22.22222222222222,1.0,0.08333333333333333,,0.07692307692307693,,,,,,1.0,,,1.0,1.0,0.5439,,0.5439,1.0,,24.5,0.9411764705882353,,,,,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,0.25,,,,,0.4,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,1610612757,Will Perdue,Will Perdue,781,POR,186.0,3,5,5,6,5.0,6.0,1.0,11,,,,,,,,,,,2,,,,,,,1.0,,1.0,1.0,2.0,,,,,,2.0,,,5.0,,,,16.666666666666668,,,0.5,0.2,0.5,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,1610612757,Rod Strickland,Rod Strickland,393,POR,1125.0,19,3,34,36,14.0,13.0,6.0,70,2.0,,1.0,1.0,,,6.0,,4.0,8.0,29,1.0,2.0,,2.0,4.0,,,2.0,2.0,2.0,4.0,2.0,1.0,1.0,,1.0,6.0,1.0,4.0,14.0,0.4444444444444444,0.6666666666666666,,23.80952380952381,1.0,0.11764705882352941,,0.09090909090909091,0.058823529411764705,,,0.3333333333333333,0.16666666666666666,,,0.5,,0.3333333333333333,0.4833166666666666,,0.59495,0.5,9.75,,0.4117647058823529,,2.0,1.0,2.0,0.3333333333333333,0.5,0.3333333333333333,0.5,,,1.0,1.0,1.0,3.0,2.0,1.0,2.0,,2.0,,,,2.0,4.0,1.0,1.0,1.0,1.0,,,2.0,0.5,0.5,0.16666666666666666,,,0.25,0.5,1.0,,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.25,0.25,,,,,1.0,,,,,,,,,,,0.2,,0.2,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,0.5,0.5,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,1610612757,Rasheed Wallace,Rasheed Wallace,739,POR,1130.0,19,-3,37,37,10.0,11.0,6.0,74,,,,1.0,2.0,,3.0,2.0,,2.0,34,,,,,,2.0,,4.0,4.0,,4.0,,,,,1.0,,,,10.0,0.2,,0.4,13.333333333333332,,0.3076923076923077,,0.2222222222222222,,,1.0,,0.2,0.4,,,,0.4,0.44530000000000003,0.56865,,,16.066666666666666,24.9,0.2702702702702703,,1.0,,,0.3333333333333333,,0.2,,,,,,1.0,2.0,2.0,,,,,,,,,,,,2.0,2.0,,,,1.0,1.0,,,,0.14285714285714285,,,,0.4,0.5,0.5,1.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,0.4,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,1610612757,Dale Davis,Dale Davis,905,POR,551.0,9,-25,13,16,,2.0,3.0,29,,,,,1.0,1.0,,1.0,1.0,1.0,28,,,1.0,,,1.0,1.0,,,2.0,2.0,,,,,,2.0,,,,0.25,,1.0,11.76470588235294,,,0.125,,0.2,,,,,1.0,,,1.0,1.0,0.07815,,0.07815,,,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,1.0,,1.0,,,,,0.3333333333333333,,,,,,,,,,0.5,1.0,,,,,1.0,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,1610612757,Scottie Pippen,Scottie Pippen,937,POR,722.0,12,-10,24,26,2.0,7.0,2.0,50,,,,,3.0,,1.0,3.0,1.0,9.0,26,,1.0,,,2.0,3.0,,,1.0,,1.0,2.0,1.0,2.0,2.0,5.0,2.0,,2.0,2.0,0.9,1.0,0.75,37.03703703703704,0.4,,,0.07692307692307693,,,,,,0.75,,,,0.75,0.52365,,0.405,0.2222222222222222,19.8,24.866666666666664,0.08333333333333333,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,1.0,,1.0,,,2.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,0.25,1.0,1.0,,,0.2,0.5,,,,,,1.0,,1.0,1.0,1.0,,,,,0.25,,,,,0.25,,,,,2.0,,2.0,,,3.0,2.0,,,0.5,0.6666666666666666,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,,0.6666666666666666,,,,,,3.0,1.0,,,3.0,2.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
