EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,SecondChanceFG2A,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,Rebounds,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,AtRimFrequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,SecondChanceShotQualityAvg,ShortMidRangeFGA,ShortMidRangeFrequency,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PtsUnassisted2s,FtPoints,PenaltyFtPoints,ShortMidRangeAssists,BadPassSteals,LostBallTurnovers,FTA,NonShootingFoulsDrawn,on,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGM,Corner3FGM,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,SelfOReb,Travels,SecondChanceTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceFtPoints,HeaveAttempts,FTOffRebounds,FTDefRebounds,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,Technical Free Throw Trips,LongMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,3SecondViolations,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,DefensiveGoaltends,OffCorner3ReboundPct
145,1610612761,Tracy Murray,Tracy Murray,145,TOR,301.0,5.0,-13,14,14,13.0,11.0,1.0,28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,20,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,13.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,33.333333333333336,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3952833333333334,0.3952833333333334,1.0,18.5,28.5,0.9285714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,1610612761,Michael Stewart,Michael Stewart,1565,TOR,227.0,4.0,-8,12,11,12.0,11.0,1.0,23,,,,,,,,1.0,,,13,,1.0,,,,,,,,,,,,,,12.0,,,,,,,,,,7.692307692307692,,,,,,,,,,1.0,0.2918,0.2918,,3.2,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,1.0,1.0,1.0,1.0,0.2918,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721,1610612761,Keon Clark,Keon Clark,1721,TOR,123.0,2.0,-9,5,5,5.0,3.0,1.0,10,,,,,,,,1.0,,,11,,1.0,,,,,,,,,,,1.0,1.0,,5.0,,,,,,,,,,16.666666666666668,,,,,,,,,,,0.3711,0.3711,,13.8,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1610612761,Dell Curry,Dell Curry,209,TOR,301.0,5.0,-13,14,14,13.0,11.0,1.0,28,,1.0,,,,,,1.0,,,20,,1.0,,,,,,,1.0,1.0,2.0,2.0,1.0,1.0,,13.0,,,,,,,,,,20.0,0.5,1.0,,,,,,,,,0.3584,0.3584,,16.3,,0.9285714285714286,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,1610612761,Eric Montross,Eric Montross,376,TOR,111.0,2.0,-7,5,4,5.0,3.0,1.0,9,,,,,,,1.0,1.0,,2.0,9,1.0,1.0,,2.0,2.0,,,,,,,,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,16.666666666666668,,,,,,,,,,,0.3088,0.3088,1.0,7.7,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,1610612761,Morris Peterson,Morris Peterson,2050,TOR,161.0,3.0,-4,8,9,8.0,8.0,,17,1.0,1.0,,,,,1.0,1.0,,2.0,9,1.0,1.0,,2.0,,,,,,,,,,,2.0,8.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,12.5,,1.0,1.0,1.0,,,,,,,0.3552,0.3552,1.0,21.7,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,1610612761,Jerome Williams,Jerome Williams,966,TOR,223.0,4.0,-7,10,11,9.0,8.0,,21,,,,,,,,,,1.0,14,,,,1.0,,,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,9.0,,,,,,,0.5,0.5,,20.0,1.0,,,,,,,,,,,,1.0,,,0.9,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,1610612761,Chris Childs,Chris Childs,164,TOR,29.0,,-2,1,1,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,1610612761,Charles Oakley,Charles Oakley,891,TOR,29.0,,-2,1,1,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,1610612761,Alvin Williams,Alvin Williams,1541,TOR,29125.0,485.0,31,882,886,260.0,240.0,129.0,1768,36.0,87.0,4.0,1.0,24.0,7.0,59.0,132.0,28.0,165.0,903,11.0,30.0,8.0,44.0,66.0,24.0,15.0,6.0,12.0,10.0,16.0,4.0,11.0,34.0,44.0,260.0,0.559322033898305,0.5689655172413793,0.44696969696969696,0.36666666666666664,0.4625,0.40789473684210525,0.4824561403508772,0.46808510638297873,0.175,18.0327868852459,0.75,0.54375,0.41379310344827586,0.41379310344827586,0.6666666666666666,0.025,0.15,0.02631578947368421,0.18421052631578946,0.275,0.42889343750000003,0.40806578947368416,0.26666666666666666,14.323484848484847,25.332142857142856,0.2947845804988662,16.0,2.0,4.0,13.0,5.0,5.0,6.0,35.0,0.03787878787878788,0.25,0.013513513513513514,0.013186813186813187,0.011627906976744186,0.1,0.125,0.10526315789473684,0.3988035714285714,29.0,0.18125,37.0,50.0,18.0,113.0,,4.0,14.0,0.4827586206896552,0.5,0.42857142857142855,52.0,17.0,13.0,10.0,9.0,2.0,25.0,5.0,False,9.0,1.0,2.0,1.0,9.0,1.0,3.0,3.0,10.0,6.0,1.0,3.0,15.0,3.0,21.0,9.0,2.0,9.0,13.0,9.0,4.0,9.0,1.0,6.0,23.0,29.0,2.0,1.0,2.0,3.0,2.0,7.0,1.0,7.0,1.0,1.0,1.0,2.0,4.0,8.0,6.0,9.0,0.7,0.35714285714285715,0.3333333333333333,0.375,0.35714285714285715,0.46153846153846156,0.46875,0.46875,0.034482758620689655,0.06647398843930635,0.0967741935483871,0.011764705882352941,0.07107843137254902,0.01098901098901099,0.015544041450777202,0.013513513513513514,0.1,0.038461538461538464,0.07352941176470588,0.10869565217391304,0.0625,0.023529411764705882,0.75,0.5625,0.75,0.3333333333333333,0.25,0.25,1.0,0.375,0.375,0.6666666666666666,0.5,0.1875,0.3333333333333333,1.0,0.5,0.42857142857142855,0.375,0.04819277108433735,0.051094890510948905,0.034482758620689655,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,
