EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceTurnovers,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg3Pct,AtRimPctBlocked,OffAtRimReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,HeaveAttempts,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,Corner3Assists,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,PenaltyFg3Pct,OffLongMidRangeReboundPct,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,DefCorner3ReboundPct,LostBallOutOfBoundsTurnovers,BlockedAtRim,OffensiveGoaltends,BadPassOutOfBoundsTurnovers,OffCorner3ReboundPct,on,FTOffRebounds,OffFTReboundPct
147,1610612754,Jalen Rose,Jalen Rose,147,IND,8293.0,138,-15.0,246,240,58.0,40.0,33.0,486,3.0,4.0,2.0,3.0,1.0,9.0,33.0,8.0,20.0,3.0,6.0,1.0,2.0,9.0,2.0,4.0,20.0,57.0,5.0,15.0,3.0,58.0,256,3.0,8.0,3.0,1.0,7.0,3.0,14.0,4.0,2.0,8.0,26.0,14.0,15.0,4.0,9.0,2.0,4.0,6.0,2.0,8.0,2.0,2.0,2.0,2.0,18.0,1.0,2.0,2.0,8.0,2.0,12.0,3.0,15.0,3.0,6.0,4.0,2.0,3.0,1.0,5.0,2.0,2.0,8.0,3.0,2.0,14.0,2.0,3.0,3.0,1.0,1.0,1.0,8.0,58.0,2.0,0.65,0.7222222222222222,1.0,0.3333333333333333,0.3333333333333333,0.3508771929824561,0.375,0.21428571428571427,0.3819444444444444,0.2727272727272727,0.16666666666666666,0.3972602739726027,0.3181818181818182,0.21052631578947367,0.20833333333333334,0.07017543859649122,0.09090909090909091,0.05,28.62190812720848,0.375,0.3333333333333333,0.08080808080808081,0.01818181818181818,0.09090909090909091,0.03125,0.08264462809917356,0.02112676056338028,0.03571428571428571,0.045454545454545456,0.11627906976744186,0.07142857142857142,0.13333333333333333,0.06976744186046512,0.05555555555555555,0.75,0.75,0.3333333333333333,0.4583333333333333,0.2727272727272727,0.3,0.4444444444444444,0.2777777777777778,0.4,0.42105263157894735,1.0,0.08333333333333333,0.5,0.5,1.0,0.125,0.2222222222222222,0.2222222222222222,1.0,0.2727272727272727,0.6666666666666666,0.5,0.09090909090909091,0.18181818181818182,0.05555555555555555,0.2222222222222222,0.2638888888888889,0.2222222222222222,0.42213402777777775,0.46119166666666667,0.376725,0.013888888888888888,0.017543859649122806,0.1206896551724138,0.13793103448275862,11.417543859649122,25.673333333333332,0.23577235772357724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1506,1610612754,Austin Croshere,Austin Croshere,1506,IND,6241.0,104,3.0,183,177,64.0,38.0,34.0,360,8.0,12.0,2.0,2.0,4.0,1.0,2.0,1.0,6.0,,2.0,1.0,2.0,4.0,2.0,1.0,10.0,20.0,2.0,6.0,12.0,38.0,183,2.0,2.0,3.0,1.0,8.0,2.0,5.0,2.0,4.0,8.0,12.0,8.0,6.0,,4.0,2.0,3.0,5.0,,5.0,,4.0,1.0,,10.0,2.0,1.0,,7.0,1.0,8.0,3.0,11.0,1.0,3.0,1.0,2.0,5.0,2.0,1.0,3.0,,6.0,4.0,2.0,10.0,3.0,1.0,13.0,3.0,6.0,2.0,8.0,64.0,2.0,0.6,0.6,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.4,0.5,0.7,0.2857142857142857,0.6129032258064516,0.8,0.4444444444444444,0.23076923076923078,0.15,,,16.894977168949772,0.8333333333333334,0.5,0.08860759493670886,0.012195121951219513,,0.07692307692307693,0.0707070707070707,0.027777777777777776,,0.10526315789473684,0.09375,0.08333333333333333,,0.09090909090909091,0.46153846153846156,0.6666666666666666,0.8888888888888888,0.625,0.07692307692307693,0.5,0.5,,0.23076923076923078,0.16666666666666666,0.16666666666666666,1.0,0.07692307692307693,,,,0.15384615384615385,0.5,0.5,1.0,0.4,1.0,0.5,0.2,0.4,0.5714285714285714,0.14285714285714285,0.6923076923076923,0.5,0.4714557692307692,0.5045333333333334,0.4494642857142857,0.20689655172413793,0.2608695652173913,0.21052631578947367,0.21052631578947367,6.779999999999999,24.599999999999998,0.34972677595628415,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,0.3333333333333333,0.25,0.08333333333333333,0.09090909090909091,0.5,0.5,1.0,0.25,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,True,,
1733,1610612754,Al Harrington,Al Harrington,1733,IND,1646.0,27,-16.0,50,50,11.0,3.0,10.0,100,1.0,3.0,,,1.0,,5.0,,1.0,,,,,2.0,,2.0,1.0,9.0,,2.0,1.0,3.0,64,,1.0,,,,,1.0,2.0,,,,2.0,,,1.0,,3.0,1.0,1.0,2.0,1.0,1.0,,,5.0,,1.0,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,3.0,4.0,,,2.0,,1.0,,,11.0,,,,,,,0.1111111111111111,,,0.09090909090909091,,,0.125,,,0.18181818181818182,0.3333333333333333,0.2,,19.672131147540984,,,0.05555555555555555,0.03571428571428571,,,0.045454545454545456,0.03225806451612903,0.05,,,0.2,,,0.2727272727272727,0.3333333333333333,1.0,,0.45454545454545453,,,,0.09090909090909091,,,,,,,,0.18181818181818182,,,,,,,,,0.3333333333333333,0.6666666666666666,0.45454545454545453,,0.36652499999999993,0.4219,0.349925,0.08333333333333333,0.1,,,9.722222222222221,33.900000000000006,0.22,,,,,,,,,,,0.6666666666666666,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,
397,1610612754,Reggie Miller,Reggie Miller,397,IND,9020.0,150,4.0,268,263,67.0,49.0,41.0,531,6.0,7.0,2.0,2.0,1.0,4.0,10.0,11.0,30.0,3.0,8.0,,11.0,21.0,2.0,8.0,21.0,47.0,14.0,29.0,21.0,105.0,277,3.0,7.0,2.0,4.0,10.0,5.0,11.0,9.0,9.0,31.0,26.0,16.0,36.0,4.0,21.0,11.0,,7.0,2.0,9.0,1.0,3.0,1.0,3.0,20.0,2.0,4.0,3.0,10.0,,13.0,6.0,19.0,2.0,3.0,3.0,,6.0,1.0,2.0,5.0,1.0,8.0,,,1.0,,1.0,23.0,1.0,5.0,3.0,31.0,67.0,,0.6190476190476191,0.6842105263157895,0.8571428571428571,0.4827586206896552,0.4827586206896552,0.44680851063829785,0.42857142857142855,0.45454545454545453,0.5526315789473685,0.3333333333333333,0.55,0.5952380952380952,0.45454545454545453,0.6458333333333334,0.3815789473684211,,,,29.39297124600639,0.75,,0.08333333333333333,0.03333333333333333,0.13636363636363635,0.058823529411764705,0.09154929577464789,0.03896103896103896,0.03278688524590164,0.08,0.0392156862745098,0.13725490196078433,0.1875,0.05,0.09210526315789473,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.13157894736842105,0.4,0.4,0.75,0.39473684210526316,0.36666666666666664,0.36666666666666664,0.5454545454545454,0.10526315789473684,0.375,0.375,0.6666666666666666,0.27631578947368424,0.5238095238095238,0.5238095238095238,0.9090909090909091,0.2222222222222222,1.0,,,0.2222222222222222,0.05,0.4,0.47368421052631576,0.5238095238095238,0.4582934210526316,0.42017857142857146,0.4043875,0.07407407407407407,0.09803921568627451,0.09523809523809523,0.29523809523809524,13.461702127659576,25.655172413793103,0.25,,1.0,,,,2.0,2.0,2.0,2.0,,,,0.05555555555555555,1.0,,,,0.05,,1.0,3.0,4.0,6.0,1.0,5.0,1.0,0.4444444444444444,0.0425531914893617,1.0,0.375,0.03333333333333333,,,,,,,,,,True,,
696,1610612754,Travis Best,Travis Best,696,IND,9779.0,163,-10.0,290,286,74.0,55.0,44.0,576,6.0,8.0,,,3.0,2.0,13.0,8.0,15.0,,,,1.0,3.0,1.0,2.0,16.0,36.0,1.0,3.0,4.0,39.0,302,1.0,2.0,1.0,2.0,7.0,3.0,12.0,2.0,2.0,11.0,10.0,22.0,3.0,2.0,3.0,1.0,,23.0,14.0,37.0,11.0,4.0,6.0,13.0,88.0,1.0,5.0,5.0,8.0,,13.0,6.0,19.0,1.0,4.0,1.0,3.0,5.0,4.0,1.0,1.0,,6.0,2.0,5.0,15.0,2.0,1.0,4.0,,,2.0,11.0,74.0,5.0,0.3125,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.5,0.25,0.44871794871794873,0.8333333333333334,0.32142857142857145,0.47560975609756095,0.875,0.36666666666666664,0.07692307692307693,,,,13.905325443786984,0.8333333333333334,,0.06349206349206349,0.03787878787878788,0.19230769230769232,0.027777777777777776,0.08552631578947369,0.03571428571428571,0.045454545454545456,0.038461538461538464,0.07407407407407407,0.05555555555555555,0.16666666666666666,0.047619047619047616,0.20512820512820512,0.75,0.75,0.16666666666666666,0.3333333333333333,0.15384615384615385,0.15384615384615385,0.5,0.38461538461538464,0.5333333333333333,0.5333333333333333,0.375,,,,,0.07692307692307693,0.3333333333333333,0.5,1.0,,,,,0.3333333333333333,0.21428571428571427,0.14285714285714285,0.28205128205128205,0.3333333333333333,0.44235512820512823,0.3898,0.43901428571428575,,,0.1794871794871795,0.28205128205128205,10.58611111111111,27.0,0.25517241379310346,1.0,,1.0,1.0,1.0,,,,,1.0,,,0.05555555555555555,,1.0,1.0,0.3333333333333333,,,,1.0,1.0,,3.0,,,0.5,0.0392156862745098,,0.5,,1.0,0.3333333333333333,0.3333333333333333,0.25,,,,,,True,,
979,1610612754,Jermaine O'Neal,Jermaine O'Neal,979,IND,8227.0,137,-10.0,243,245,52.0,44.0,33.0,488,8.0,10.0,3.0,4.0,6.0,6.0,17.0,1.0,6.0,,,,,1.0,,,15.0,33.0,,1.0,4.0,34.0,253,3.0,5.0,,2.0,8.0,5.0,9.0,,2.0,12.0,16.0,14.0,,4.0,1.0,,5.0,4.0,1.0,5.0,,2.0,,2.0,11.0,1.0,9.0,5.0,25.0,1.0,31.0,10.0,41.0,,,,,1.0,1.0,3.0,,,4.0,1.0,9.0,12.0,1.0,,8.0,,2.0,2.0,12.0,52.0,,0.5333333333333333,0.6153846153846154,,,,0.45454545454545453,0.6,0.5555555555555556,0.4411764705882353,0.6,0.5555555555555556,0.4473684210526316,0.6666666666666666,0.6,0.029411764705882353,0.15151515151515152,0.23529411764705882,,15.000000000000002,0.25,0.2,0.23809523809523808,0.08108108108108109,0.22727272727272727,0.037037037037037035,0.23622047244094488,0.07246376811594203,0.037037037037037035,0.05,0.2553191489361702,0.25,0.125,,0.29411764705882354,0.8,0.8888888888888888,0.5,0.5,0.35294117647058826,0.46153846153846156,0.5,0.17647058823529413,0.16666666666666666,0.16666666666666666,1.0,,,,,0.029411764705882353,,,,0.8,0.75,,,,0.6666666666666666,,0.3235294117647059,,0.443189705882353,0.5121800000000001,0.4877444444444445,0.05555555555555555,0.05714285714285714,0.23529411764705882,0.35294117647058826,7.245454545454545,26.1,0.2139917695473251,4.0,,,,1.0,9.0,3.0,9.0,3.0,,0.1,0.15384615384615385,0.14285714285714285,0.3333333333333333,,,0.6666666666666666,,,,,,,1.0,,,,0.11363636363636363,,,,,,,0.5,1.0,6.0,1.0,,,True,,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,2588.0,43,11.0,77,77,17.0,22.0,9.0,154,4.0,6.0,2.0,2.0,1.0,,,,2.0,,,,,,,,4.0,8.0,,,,8.0,78,2.0,2.0,,,4.0,1.0,2.0,,,2.0,6.0,2.0,,2.0,,,2.0,2.0,,2.0,,1.0,1.0,,4.0,,2.0,,5.0,1.0,6.0,2.0,8.0,,,,,,,2.0,,,2.0,,3.0,7.0,1.0,1.0,,,,,2.0,17.0,1.0,0.75,1.0,,,,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,,0.25,,,11.627906976744185,,0.5,0.11627906976744186,0.06451612903225806,,,0.09803921568627451,0.05263157894736842,0.1,,0.125,0.13043478260869565,,,0.75,0.6666666666666666,1.0,0.75,,,,,0.25,,,,,,,,,,,,1.0,1.0,0.5,,,0.5,,0.75,,0.47337500000000005,0.53565,0.40605,,,0.5,0.25,5.487500000000001,,0.22077922077922077,1.0,,,,,3.0,2.0,3.0,3.0,,0.3333333333333333,,,1.0,,,1.0,,,,,,,,,,,0.05263157894736842,,,,,,,,,1.0,,1.0,,True,,
365,1610612754,Derrick McKey,Derrick McKey,365,IND,1573.0,26,,45,46,27.0,24.0,9.0,91,1.0,2.0,,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,4.0,1.0,1.0,,5.0,46,,1.0,,,,,2.0,1.0,,3.0,2.0,,3.0,,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,,,7.0,2.0,1.0,,4.0,,4.0,3.0,7.0,,1.0,,1.0,,,,,,,,3.0,5.0,1.0,,,,,,3.0,27.0,,1.0,1.0,1.0,1.0,1.0,0.25,,,0.5,,0.5,0.5,,0.5,0.2,0.25,,,9.433962264150942,,,0.16666666666666666,0.058823529411764705,,0.18181818181818182,0.14285714285714285,0.10714285714285714,0.16666666666666666,0.14285714285714285,0.25,0.16666666666666666,,,0.4,0.5,1.0,1.0,0.2,,,,0.2,,,,,,,,0.2,1.0,1.0,1.0,1.0,,,,,0.3333333333333333,0.3333333333333333,0.6,1.0,0.44620000000000004,0.337,0.39176666666666665,,,,0.6,6.1499999999999995,25.3,0.6,,,,,,,,,,,0.5,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,0.25,True,,
64,1610612754,Sam Perkins,Sam Perkins,64,IND,1027.0,17,-13.0,32,30,,,4.0,62,,,,,,,3.0,1.0,1.0,,,,,3.0,,,1.0,4.0,,3.0,,2.0,35,,1.0,,,,,,,,,2.0,,,,3.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,4.0,,,,,,,,,,,,3.0,3.0,,,,,,,,,,1.0,1.0,,,,0.25,,,0.14285714285714285,,,0.14285714285714285,,,0.42857142857142855,,,,18.91891891891892,,0.3333333333333333,0.09090909090909091,0.05555555555555555,1.0,,0.16666666666666666,0.047619047619047616,,,,0.3333333333333333,1.0,,,,,,0.42857142857142855,,,,0.14285714285714285,1.0,1.0,1.0,,,,,0.42857142857142855,,,,,,,,,,,0.42857142857142855,,0.38887857142857146,0.4083,,,,,,13.350000000000001,28.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,True,,
440,1610612754,Zan Tabak,Zan Tabak,440,IND,459.0,8,-4.0,15,15,,,3.0,30,,,,,,,4.0,,,,,,,,,,,4.0,,,,,14,,2.0,,,,,,,,,,,,,,,3.0,,,,,,,,,1.0,1.0,,,,,2.0,2.0,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.75,,21.05263157894737,,,,0.09090909090909091,,1.0,,0.16666666666666666,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.3971,0.4235,,,,,,7.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,1.0,True,,
