EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyArc3FGA,PenaltyFG3A,OffAtRimReboundPct,PenaltyArc3Frequency,SecondChanceAtRimFGM,OffThreePtRebounds,FTDefRebounds,LongMidRangePctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceAtRimAccuracy,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawnPct,FTOffRebounds,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,BlockedLongMidRange,OffFTReboundPct,PenaltyArc3FGM,PenaltyFG3M,Technical Free Throw Trips,PenaltyFg3Pct,PenaltyArc3Accuracy,on,3SecondViolations,Corner3PctBlocked,Blocked3s,BlockedArc3
1503,1610612753,Tracy McGrady,Tracy McGrady,1503,ORL,7279.0,121,-13.0,237,242,65.0,98.0,28,479,8.0,21.0,2.0,2.0,6.0,7.0,17.0,12.0,32.0,2.0,6.0,1.0,27.0,70.0,2.0,6.0,26.0,86.0,269,2.0,7.0,1.0,4.0,8.0,3.0,15.0,14.0,20.0,20.0,34.0,3.0,3.0,2.0,6.0,2.0,5.0,14.0,8.0,22.0,7.0,1.0,11.0,1.0,2.0,52.0,3.0,4.0,7.0,11.0,3.0,14,2.0,6.0,4.0,2.0,3.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,6.0,1.0,1.0,29.0,5.0,12.0,5.0,3.0,1.0,2.0,3.0,3.0,20.0,65.0,2.0,0.37037037037037035,0.38461538461538464,0.5,0.3333333333333333,0.3333333333333333,0.38571428571428573,0.2857142857142857,0.2,0.39473684210526316,0.25,0.2,0.48863636363636365,0.4,0.47619047619047616,0.07894736842105263,0.07142857142857142,0.19047619047619047,0.058823529411764705,33.941605839416056,0.6,0.06363636363636363,0.03225806451612903,0.15384615384615385,0.08088235294117647,0.024793388429752067,0.08,0.023255813953488372,0.03571428571428571,0.08163265306122448,0.06060606060606061,0.13636363636363635,0.25,0.047619047619047616,1.0,0.27631578947368424,0.38095238095238093,0.47058823529411764,0.375,0.2236842105263158,0.4117647058823529,0.4375,0.14285714285714285,0.42105263157894735,0.375,0.375,0.5,0.07894736842105263,0.3333333333333333,0.3333333333333333,0.5,0.25,0.125,0.4,0.3333333333333333,0.35526315789473684,0.3333333333333333,0.43520328947368436,0.45246,0.43785333333333326,0.14457831325301204,0.15584415584415584,0.09302325581395349,0.23255813953488372,10.278571428571425,25.916666666666668,0.2742616033755274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1607,1610612753,Troy Hudson,Troy Hudson,1607,ORL,1916.0,32,1.0,56,62,11.0,44.0,7,118,2.0,3.0,,1.0,1.0,1.0,2.0,1.0,4.0,,2.0,1.0,4.0,9.0,,2.0,2.0,10.0,60,,1.0,1.0,,,2.0,2.0,2.0,6.0,6.0,2.0,,,,2.0,,,4.0,1.0,5.0,1.0,,1.0,1.0,2.0,11.0,5.0,,1.0,1.0,5.0,6,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,2.0,,,1.0,,,,,,6.0,11.0,1.0,0.75,0.75,,,,0.4444444444444444,,1.0,0.36363636363636365,,0.6666666666666666,0.4166666666666667,,0.75,0.18181818181818182,,,,18.30985915492958,1.0,0.037037037037037035,0.16666666666666666,,0.029411764705882353,0.13513513513513514,,0.2,,0.08333333333333333,,,,,,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.5,0.18181818181818182,0.5,0.5,1.0,0.36363636363636365,0.25,0.25,1.0,0.18181818181818182,,,,,0.5,0.3333333333333333,1.0,0.45454545454545453,,0.4713181818181818,0.474275,0.54895,,,,0.6,9.633333333333333,24.4,0.19642857142857142,1.0,1.0,0.2222222222222222,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1720,1610612753,Michael Doleac,Michael Doleac,1720,ORL,1509.0,25,-1.0,44,46,16.0,27.0,9,90,3.0,6.0,4.0,,1.0,,,,5.0,,,,3.0,11.0,,,,6.0,48,2.0,4.0,,,4.0,,2.0,,,,6.0,,,4.0,,,2.0,,1.0,1.0,,1.0,,,,3.0,3.0,1.0,1.0,4.0,4.0,8,1.0,3.0,1.0,2.0,1.0,,1.0,,,1.0,1.0,4.0,5.0,,,,,,,,,,,,,16.0,1.0,,,,,,0.2727272727272727,0.5,,0.2727272727272727,0.5,,0.2727272727272727,0.5,,,0.18181818181818182,0.16666666666666666,,21.428571428571427,1.0,0.06666666666666667,0.11538461538461539,0.16666666666666666,0.09523809523809523,0.13333333333333333,0.5,0.058823529411764705,,0.1,,0.25,,0.16666666666666666,,0.5454545454545454,0.5,0.6,,,,,,0.45454545454545453,,,,,,,,1.0,,0.5,,0.5454545454545454,,0.5276363636363637,0.5781333333333333,0.5433,,,0.6666666666666666,,8.445454545454545,,0.36363636363636365,,,0.14285714285714285,,2.0,1.0,2.0,0.2,0.5,0.25,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1727,1610612753,Pat Garrity,Pat Garrity,1727,ORL,3342.0,56,14.0,99,101,37.0,49.0,15,200,1.0,2.0,,1.0,1.0,,1.0,2.0,7.0,7.0,9.0,1.0,3.0,10.0,8.0,13.0,3.0,33.0,107,1.0,3.0,1.0,,5.0,1.0,4.0,,2.0,4.0,2.0,24.0,,,9.0,7.0,,,2.0,2.0,2.0,,,,,6.0,,,1.0,1.0,,1,,,,,,,,1.0,,1.0,1.0,2.0,7.0,1.0,1.0,3.0,,,,,,,,,2.0,37.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6153846153846154,0.6153846153846154,0.3,0.3333333333333333,0.25,0.6521739130434783,0.625,0.14285714285714285,0.6875,0.625,0.14285714285714285,0.5652173913043478,,,,21.186440677966104,,0.02702702702702703,,,0.018867924528301886,,,,0.1,,,,,,,0.08695652173913043,0.5,0.5,,0.043478260869565216,,,,0.30434782608695654,0.2857142857142857,0.2857142857142857,1.0,0.391304347826087,0.7777777777777778,1.0,1.0,,0.25,0.14285714285714285,1.0,0.6521739130434783,0.7777777777777778,0.4483630434782609,0.36025,0.42488571428571426,0.041666666666666664,,0.15151515151515152,0.06060606060606061,13.040000000000001,24.66923076923077,0.37373737373737376,,3.0,,,,,,,,,,,1.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,0.15384615384615385,0.2222222222222222,0.17391304347826086,0.25,0.25,1.0,1.0,1.0,0.42857142857142855,0.07142857142857142,,,,,,,,,,,,True,,,,
448,1610612753,Bo Outlaw,Bo Outlaw,448,ORL,8032.0,134,,258,265,71.0,111.0,33,523,16.0,20.0,3.0,3.0,5.0,,5.0,,1.0,,,,16.0,26.0,,,2.0,34.0,286,2.0,5.0,,,4.0,3.0,7.0,,6.0,22.0,10.0,,,2.0,,,3.0,5.0,4.0,9.0,4.0,,3.0,1.0,1.0,22.0,9.0,7.0,20.0,31.0,11.0,42,1.0,5.0,3.0,2.0,4.0,2.0,4.0,5.0,,9.0,4.0,12.0,15.0,2.0,,11.0,1.0,5.0,1.0,6.0,3.0,2.0,6.0,3.0,6.0,71.0,2.0,0.6875,0.7333333333333333,,,,0.6153846153846154,0.4,0.42857142857142855,0.6153846153846154,0.4,0.42857142857142855,0.5483870967741935,0.4,0.375,,0.11538461538461539,0.05,0.4,13.201320132013203,0.4444444444444444,0.1724137931034483,0.08571428571428572,0.23333333333333334,0.18493150684931506,0.07352941176470588,0.037037037037037035,0.12,0.07142857142857142,0.24074074074074073,0.14705882352941177,0.2,0.4,0.14285714285714285,0.5,0.7692307692307693,0.8,0.8421052631578947,0.6875,0.19230769230769232,,,,0.038461538461538464,,,,,,,,0.6,,0.7142857142857143,0.6,0.7692307692307693,,0.5225307692307692,0.49773999999999996,0.5057857142857143,0.16666666666666666,0.16666666666666666,0.11764705882352941,0.17647058823529413,2.0653846153846156,,0.2751937984496124,,,0.07142857142857142,,2.0,1.0,4.0,,0.3333333333333333,0.03225806451612903,0.03571428571428571,0.6666666666666666,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.0,0.1,,,,,,True,,,,
244,1610612753,Dee Brown,Dee Brown,244,ORL,2169.0,36,-5.0,69,71,13.0,46.0,6,140,,,,,,,1.0,,1.0,2.0,6.0,,,2.0,2.0,6.0,,6.0,86,,,,,,,,,,,,6.0,,,6.0,2.0,1.0,1.0,,1.0,,,1.0,,,2.0,,1.0,,1.0,,1,,1.0,1.0,,,,,,,,,3.0,3.0,,,,,,,,,,,,,13.0,,,,1.0,0.3333333333333333,0.3333333333333333,,,,0.375,,,0.375,,,0.75,0.5,,1.0,10.666666666666666,,,,0.1111111111111111,0.023255813953488372,,,,,,,0.125,,,,,,,,0.125,,,,0.125,,,,0.75,0.3333333333333333,0.3333333333333333,1.0,,,,,0.75,0.3333333333333333,0.50089375,,,,,,,11.55,25.433333333333334,0.18840579710144928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
353,1610612753,Darrell Armstrong,Darrell Armstrong,353,ORL,7201.0,120,-3.0,231,239,68.0,91.0,30,470,5.0,5.0,,1.0,1.0,2.0,5.0,2.0,10.0,5.0,14.0,2.0,9.0,20.0,7.0,16.0,11.0,50.0,259,,,2.0,,,2.0,6.0,7.0,20.0,6.0,12.0,15.0,6.0,,14.0,5.0,2.0,11.0,4.0,15.0,3.0,1.0,7.0,,4.0,34.0,,5.0,10.0,16.0,4.0,20,1.0,6.0,1.0,5.0,8.0,1.0,7.0,1.0,1.0,9.0,1.0,2.0,6.0,,,12.0,,,5.0,1.0,,1.0,1.0,,20.0,68.0,1.0,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.4375,0.4375,0.45,,0.3333333333333333,0.5416666666666666,,0.5,0.5853658536585366,,0.5882352941176471,0.4444444444444444,0.1,,0.2,18.38235294117647,0.8888888888888888,0.09345794392523364,,0.19230769230769232,0.11278195488721804,0.03305785123966942,,,0.11538461538461539,0.12244897959183673,0.03125,0.22727272727272727,,0.05555555555555555,,0.1388888888888889,1.0,1.0,0.4,0.1388888888888889,0.4,0.5,,0.2777777777777778,0.2,0.2222222222222222,0.5,0.3888888888888889,0.35714285714285715,0.35714285714285715,0.6,,1.0,0.07692307692307693,1.0,0.5833333333333334,0.35714285714285715,0.5049527777777778,0.52845,0.4757269230769231,,,,0.4,10.465,25.168750000000003,0.2943722943722944,7.0,7.0,,0.5384615384615384,,4.0,1.0,0.1,0.08333333333333333,0.14285714285714285,0.16,,2.0,2.0,,,,,,,,,0.05555555555555555,1.0,1.0,1.0,,,,,,,,,,,3.0,3.0,2.0,0.42857142857142855,0.42857142857142855,True,,,,
2034,1610612753,Mike Miller,Mike Miller,2034,ORL,4201.0,70,4.0,142,145,37.0,39.0,17,287,4.0,6.0,1.0,1.0,2.0,,3.0,2.0,8.0,4.0,10.0,2.0,6.0,17.0,5.0,11.0,3.0,30.0,155,1.0,2.0,2.0,,5.0,1.0,3.0,2.0,7.0,8.0,4.0,15.0,,2.0,10.0,4.0,,3.0,1.0,4.0,,1.0,1.0,,2.0,9.0,3.0,,10.0,10.0,4.0,14,1.0,,,,1.0,,1.0,2.0,,3.0,1.0,6.0,11.0,1.0,1.0,4.0,,2.0,,2.0,1.0,1.0,2.0,2.0,7.0,37.0,2.0,0.6666666666666666,0.8,1.0,0.45454545454545453,0.45454545454545453,0.35294117647058826,0.5,0.3333333333333333,0.48214285714285715,0.625,0.35714285714285715,0.5,0.625,0.4375,0.39285714285714285,,,,20.245398773006137,0.3333333333333333,0.15384615384615385,0.06,,0.12345679012345678,0.0625,,0.125,0.15384615384615385,0.09375,0.25,,,0.0625,1.0,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.75,0.10714285714285714,,,,0.2857142857142857,0.25,0.25,0.5,0.35714285714285715,0.4,0.4444444444444444,1.0,0.25,0.5,0.2857142857142857,0.5,0.6071428571428571,0.4,0.5145625,0.4537,0.5612857142857143,0.06666666666666667,0.10526315789473684,0.16666666666666666,0.23333333333333334,10.847058823529412,25.518181818181816,0.2605633802816901,4.0,4.0,,0.5714285714285714,1.0,1.0,,,,0.07142857142857142,0.07692307692307693,1.0,1.0,1.0,,1.0,1.0,1.0,,0.5,0.09090909090909091,0.1,0.03571428571428571,1.0,1.0,1.0,0.5,1.0,,,,,,1.0,,,1.0,1.0,,0.25,0.25,True,,,,
692,1610612753,Andrew DeClercq,Andrew DeClercq,692,ORL,2854.0,48,-16.0,99,99,9.0,20.0,12,198,7.0,11.0,5.0,,,1.0,3.0,,,,,,8.0,14.0,,,4.0,20.0,119,2.0,5.0,,1.0,5.0,,,1.0,1.0,8.0,8.0,,,4.0,,,,1.0,,1.0,,,1.0,,,2.0,4.0,1.0,5.0,7.0,7.0,14,2.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,,9.0,14.0,1.0,1.0,8.0,,4.0,,1.0,,1.0,1.0,,1.0,9.0,1.0,0.5,0.6666666666666666,,,,0.5714285714285714,0.4,,0.5714285714285714,0.4,,0.5555555555555556,0.35714285714285715,0.5,,,,,17.24137931034483,0.5,0.10416666666666667,0.11764705882352941,0.2,0.11320754716981132,0.15555555555555556,0.09090909090909091,0.06666666666666667,,0.045454545454545456,0.21052631578947367,0.2,,0.3333333333333333,,0.7857142857142857,0.6363636363636364,0.6363636363636364,0.42857142857142855,0.21428571428571427,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,1.0,,,,0.7857142857142857,,0.5441214285714285,0.5811666666666667,,0.2222222222222222,0.2222222222222222,0.25,0.05,2.4857142857142853,,0.09090909090909091,,,0.25,,2.0,3.0,1.0,,0.16666666666666666,0.2727272727272727,0.2727272727272727,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
680,1610612753,John Amaechi,John Amaechi,680,ORL,819.0,14,2.0,28,29,14.0,23.0,1,57,2.0,2.0,,2.0,2.0,,2.0,,1.0,,,,2.0,5.0,,,,4.0,25,,,,,,2.0,4.0,,4.0,4.0,,,,,,,,1.0,,1.0,,,1.0,,,2.0,,1.0,1.0,2.0,,2,,2.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,4.0,14.0,1.0,1.0,1.0,,,,0.4,,0.5,0.4,,0.5,0.4,,0.5,,,,,17.24137931034483,,0.1,,0.25,0.14285714285714285,,,,,0.14285714285714285,,0.3333333333333333,,,1.0,0.4,1.0,1.0,1.0,0.4,,,,0.2,,,,,,,,,,0.5,1.0,0.4,,0.44211999999999996,,0.48385,,,,1.0,5.340000000000001,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
