EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,NonShootingPenaltyNonTakeFouls,LiveBallTurnoverPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,ShortMidRangeFrequency,FtPoints,PenaltyFtPoints,OffThreePtRebounds,OffRebounds,SecondChanceTurnovers,PenaltyTurnovers,FTA,NonShootingFoulsDrawn,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,SecondChanceFG2A,FTOffRebounds,ThreePtShootingFoulsDrawn,OffFTReboundPct,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,AtRimAssists,Steals,BadPassSteals,Technical Free Throw Trips,FG3APct,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,FTDefRebounds,DefFTReboundPct,SecondChanceFtPoints,SecondChancePoints,OffTwoPtRebounds,DeadBallTurnovers,LostBallTurnovers,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,SecondChanceTsPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,BlocksRecoveredPct,SecondChancePointsPct,on,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG2M,SecondChanceFG3A,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,DefThreePtRebounds,SelfOReb,LostBallSteals,Travels,ShootingFouls,Loose Ball Fouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,BlockedShortMidRange,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefThreePtReboundPct,DefArc3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,TwoPtShootingFoulsDrawnPct,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,BadPassOutOfBoundsTurnovers,SecondChanceFg3Pct,AtRimPctBlocked,OffAtRimReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,HeaveAttempts,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,OffCorner3ReboundPct,PenaltyArc3Accuracy,PenaltyCorner3FGM,PtsUnassisted3s,Corner3Assists,OffLongMidRangeReboundPct,PenaltyCorner3Accuracy,LostBallOutOfBoundsTurnovers,OffensiveGoaltends,DefCorner3ReboundPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked
147,1610612754,Jalen Rose,Jalen Rose,147,IND,398.0,7.0,-2.0,15,15,7.0,7.0,1.0,30,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,15,2.0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.76470588235294,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.4787,0.4787,1.0,7.8,0.4666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,1610612754,Austin Croshere,Austin Croshere,1506,IND,335.0,6.0,-1.0,14,13,7.0,6.0,1.0,27,,,,,1.0,1.0,1.0,2.0,2.0,12,,,,2.0,,,,,3.0,3.0,3.0,,7.0,1.0,1.0,0.5,,0.5,,0.5,,18.75,0.5,0.5,0.3333333333333333,,,,,0.5,1.0,1.0,1.0,,,,0.33895,,,13.55,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,301.0,5.0,-4.0,10,11,10.0,11.0,2.0,21,,,,,,,,1.0,2.0,11,,1.0,2.0,,,,,,2.0,2.0,3.0,2.0,10.0,,,,,,,0.5,0.5,33.333333333333336,0.4,0.4,0.6666666666666666,,,,,,,,,,,,0.3335,0.3335,1.0,4.3,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,1610612754,Reggie Miller,Reggie Miller,397,IND,377.0,6.0,-1.0,15,14,7.0,6.0,1.0,29,,,,,1.0,3.0,1.0,3.0,4.0,14,,1.0,,2.0,,,,,,,1.0,,7.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,,0.5,,23.52941176470588,,,,,,,,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,0.3921333333333334,0.3523,,20.333333333333332,0.4666666666666667,,,,,,,,,,,2.0,,,1.0,,,3.0,,,,,1.0,1.0,1.0,1.0,0.4144,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,1610612754,Tyus Edney,Tyus Edney,721,IND,552.0,9.0,-3.0,21,21,13.0,13.0,3.0,42,2.0,3.0,2.0,2.0,,1.0,2.0,6.0,4.0,21,2.0,5.0,4.0,4.0,3.0,3.0,2.0,6.0,,,,4.0,13.0,1.0,1.0,0.3333333333333333,0.4,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.3333333333333333,28.0,,,,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,0.14285714285714285,,,,0.3333333333333333,1.0,0.5714285714285714,0.45135000000000003,0.439375,1.0,6.033333333333334,0.6190476190476191,2.0,,,,1.0,1.0,,,,0.2857142857142857,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.16666666666666666,28.6,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,1610612754,Derrick McKey,Derrick McKey,365,IND,26.0,,1.0,3,2,3.0,2.0,,5,,,,,,,,,,3,,,,,1.0,1.0,,2.0,,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,1610612754,Jermaine O'Neal,Jermaine O'Neal,979,IND,225.0,4.0,,8,8,,,1.0,16,,,,,,,,,1.0,7,,,,,,,,,1.0,1.0,2.0,,,,,,,,,0.5,,30.0,0.2,0.2,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,,0.5,0.3333333333333333,,,1.0,,,1.0,,,2.0,1.0,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.5,0.3333333333333333,1.0,0.5,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,1610612754,Al Harrington,Al Harrington,1733,IND,175.0,3.0,-2.0,6,7,6.0,7.0,2.0,13,,,,,,,,,,7,,,,,1.0,1.0,,2.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,1610612754,Jonathan Bender,Jonathan Bender,1886,IND,175.0,3.0,-2.0,6,7,6.0,7.0,2.0,13,,1.0,,1.0,,,,1.0,,7,,1.0,,,,,,,,,,,6.0,,,,,,,,,12.5,,,,1.0,,,,,,,,1.0,,1.0,0.4623,0.4623,,2.6,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,1610612754,Travis Best,Travis Best,696,IND,42.0,1.0,,1,1,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
