EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,3SecondViolations,OffAtRimReboundPct,FTDefRebounds,DefFTReboundPct,Corner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,Corner3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,PenaltyArc3FGM,PenaltyFG3M,Technical Free Throw Trips,PenaltyFg3Pct,PenaltyArc3Accuracy,FTOffRebounds,LostBallOutOfBoundsTurnovers,Travels,BlockedLongMidRange,OffFTReboundPct,on,Blocked3s,BlockedArc3
1503,1610612753,Tracy McGrady,Tracy McGrady,1503,ORL,10643.0,177,-33.0,350,347,98,147.0,41,697,14.0,30.0,1.0,3.0,5.0,11.0,12.0,29.0,23.0,54.0,1.0,1.0,2.0,9.0,1.0,2.0,49.0,113.0,2.0,10.0,31.0,135.0,398.0,3.0,8.0,1.0,4.0,10.0,9.0,28.0,3.0,16.0,34.0,36.0,62.0,3.0,3.0,4.0,9.0,2.0,6.0,1.0,21.0,12.0,33.0,8.0,4.0,14.0,3.0,4.0,78.0,2.0,4.0,5.0,15.0,20.0,6.0,26.0,2.0,7.0,5.0,2.0,6.0,1.0,2.0,2.0,4.0,8.0,1.0,3.0,3.0,11.0,1.0,1.0,38.0,8.0,17.0,6.0,5.0,1.0,4.0,5.0,4.0,34.0,98,3.0,0.3673469387755102,0.3829787234042553,0.5,0.2,0.2,0.4336283185840708,0.375,0.32142857142857145,0.42276422764227645,0.3333333333333333,0.2903225806451613,0.4891304347826087,0.45454545454545453,0.4473684210526316,0.08130081300813008,0.1,0.05309734513274336,0.13333333333333333,0.034482758620689655,0.018518518518518517,0.1111111111111111,36.5,0.75,0.09933774834437085,0.029850746268656716,0.15625,0.044444444444444446,0.1092896174863388,0.0335195530726257,0.05263157894736842,0.03125,0.05128205128205128,0.02857142857142857,0.11428571428571428,0.13043478260869565,0.14814814814814814,0.2,0.03076923076923077,0.8,0.24390243902439024,0.4666666666666667,0.5384615384615384,0.35714285714285715,0.23577235772357724,0.41379310344827586,0.42857142857142855,0.16666666666666666,0.43902439024390244,0.42592592592592593,0.4339622641509434,0.4782608695652174,0.008130081300813009,0.07317073170731707,0.2222222222222222,0.25,0.5,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.3548387096774194,0.45454545454545453,0.03225806451612903,0.06451612903225806,0.3252032520325203,0.2222222222222222,0.42797073170731714,0.4631166666666667,0.43561129032258067,0.12878787878787878,0.13934426229508196,0.07407407407407407,0.2518518518518518,10.908849557522123,25.55,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1607,1610612753,Troy Hudson,Troy Hudson,1607,ORL,2232.0,37,-1.0,74,73,20,39.0,7,147,3.0,7.0,,,2.0,4.0,,2.0,1.0,5.0,,,,3.0,1.0,2.0,4.0,14.0,,3.0,3.0,11.0,70.0,,2.0,1.0,1.0,1.0,3.0,7.0,2.0,1.0,7.0,4.0,4.0,,,,3.0,,,,5.0,,5.0,,,1.0,1.0,3.0,10.0,,4.0,,3.0,3.0,4.0,7.0,,1.0,1.0,,,,,1.0,,1.0,,,,2.0,,,4.0,,,2.0,,,,,,7.0,20,2.0,0.5,0.5,,,,0.2857142857142857,,0.42857142857142855,0.23529411764705882,,0.3333333333333333,0.2894736842105263,0.125,0.35,0.17647058823529413,,,,,,,21.839080459770116,,0.08571428571428572,0.12121212121212122,,,0.075,0.09523809523809523,,0.125,,,0.125,0.125,,,,,0.4117647058823529,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.11764705882352941,,,,0.29411764705882354,0.2,0.2,1.0,,0.17647058823529413,,,,,,0.3333333333333333,0.4444444444444444,0.5,,0.2222222222222222,0.5882352941176471,,0.46772647058823535,0.474275,0.4671111111111111,,,0.09090909090909091,0.6363636363636364,7.107142857142857,24.5,0.2702702702702703,1.0,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1720,1610612753,Michael Doleac,Michael Doleac,1720,ORL,1972.0,33,-7.0,62,62,17,31.0,10,124,1.0,2.0,1.0,2.0,,1.0,,,2.0,6.0,,,,,,,3.0,8.0,,,,6.0,65.0,1.0,2.0,,,2.0,,3.0,,,,4.0,2.0,,,2.0,,,,,,1.0,1.0,,1.0,,,,3.0,1.0,1.0,,1.0,5.0,2.0,7.0,,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,7.0,8.0,,,,,,,,,,,,,17,1.0,0.6666666666666666,1.0,,,,0.375,0.5,,0.375,0.5,,0.375,0.5,,,,,,,,,12.32876712328767,1.0,0.043478260869565216,0.034482758620689655,,0.1111111111111111,0.034482758620689655,0.05263157894736842,,0.047619047619047616,0.1111111111111111,,0.09090909090909091,,,,,,0.25,0.5,0.5,,,,,,0.75,0.3333333333333333,0.3333333333333333,1.0,,,,,,1.0,0.5,,0.3333333333333333,,,,0.25,,0.43266250000000006,0.5714,0.45326666666666665,,,0.3333333333333333,,13.275000000000002,,0.27419354838709675,,,4.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,True,,
1727,1610612753,Pat Garrity,Pat Garrity,1727,ORL,5934.0,99,-19.0,190,183,63,85.0,23,373,2.0,2.0,,,1.0,1.0,1.0,1.0,2.0,7.0,5.0,3.0,6.0,12.0,2.0,,5.0,10.0,7.0,17.0,4.0,35.0,219.0,,1.0,2.0,,6.0,2.0,4.0,3.0,1.0,5.0,4.0,6.0,21.0,,,12.0,6.0,,3.0,,,,,,,,,,1.0,,,4.0,4.0,1.0,5.0,,,,,,,,1.0,,1.0,,1.0,3.0,11.0,1.0,1.0,5.0,,,1.0,1.0,1.0,,1.0,,5.0,63,1.0,0.4,0.4,1.0,0.4117647058823529,0.4117647058823529,0.5,,0.5,0.5740740740740741,1.0,0.2857142857142857,0.603448275862069,1.0,0.3125,0.6296296296296297,0.17647058823529413,,,,,0.16666666666666666,14.018691588785046,,0.05555555555555555,,,0.03333333333333333,0.044444444444444446,0.00980392156862745,,,0.041666666666666664,0.058823529411764705,0.03125,0.08695652173913043,,,,,0.07407407407407407,1.0,1.0,0.5,0.037037037037037035,1.0,1.0,,0.25925925925925924,0.2857142857142857,0.2857142857142857,0.5,0.18518518518518517,0.4444444444444444,0.5,0.6,1.0,,,0.6666666666666666,0.14285714285714285,1.0,0.42857142857142855,,0.7037037037037037,0.5,0.4767314814814815,0.55455,0.4270285714285715,0.03571428571428571,,0.17142857142857143,0.14285714285714285,13.63,24.670588235294115,0.33157894736842103,,,,,1.0,2.0,2.0,1.0,1.0,0.2,0.2,0.25,1.0,1.0,1.0,0.05555555555555555,,,,,,,,,,,True,,
244,1610612753,Dee Brown,Dee Brown,244,ORL,2937.0,49,3.0,97,94,24,52.0,8,191,,,,,,,,1.0,,1.0,2.0,,2.0,7.0,,,,2.0,4.0,9.0,,12.0,107.0,,,,,,,,,,,,,12.0,,,7.0,2.0,1.0,,4.0,,4.0,,,1.0,1.0,2.0,8.0,,,2.0,1.0,3.0,,3.0,,1.0,1.0,,1.0,,1.0,,,1.0,,,3.0,3.0,,,,,,,,,,,,,24,,,,1.0,0.4444444444444444,0.4444444444444444,,,,0.5454545454545454,,,0.5454545454545454,,,0.8181818181818182,,0.5,,1.0,,,11.428571428571429,1.0,0.023255813953488372,,0.2,,0.05660377358490566,,,,,,0.047619047619047616,,0.2222222222222222,,,,,,,,0.09090909090909091,,,,0.09090909090909091,,,,0.18181818181818182,0.6363636363636364,0.2857142857142857,0.2857142857142857,1.0,,,,,,,,0.8181818181818182,0.2857142857142857,0.5151590909090908,,,,,,,11.55,25.0,0.24742268041237114,,,,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,True,,
353,1610612753,Darrell Armstrong,Darrell Armstrong,353,ORL,9252.0,154,-33.0,305,304,92,129.0,39,609,5.0,5.0,,,1.0,1.0,1.0,6.0,2.0,11.0,3.0,,4.0,13.0,2.0,5.0,8.0,22.0,6.0,16.0,12.0,46.0,355.0,,1.0,2.0,1.0,1.0,2.0,7.0,5.0,7.0,17.0,6.0,10.0,12.0,6.0,,13.0,4.0,2.0,,14.0,4.0,18.0,3.0,1.0,8.0,,6.0,40.0,3.0,1.0,5.0,11.0,17.0,4.0,21.0,,8.0,2.0,6.0,9.0,2.0,7.0,2.0,2.0,11.0,,2.0,2.0,10.0,1.0,,13.0,,,5.0,2.0,,2.0,2.0,1.0,17.0,92,3.0,0.375,0.375,0.6666666666666666,0.375,0.375,0.36363636363636365,,0.2857142857142857,0.4473684210526316,,0.4166666666666667,0.5,,0.53125,0.42105263157894735,,0.09090909090909091,,0.16666666666666666,0.09090909090909091,,15.29745042492918,0.8181818181818182,0.08208955223880597,0.008547008547008548,0.17857142857142858,0.07142857142857142,0.09876543209876543,0.025157232704402517,0.030303030303030304,,0.08333333333333333,0.09090909090909091,0.1016949152542373,0.047619047619047616,0.20833333333333334,,,0.5,0.13157894736842105,1.0,1.0,0.4,0.15789473684210525,0.16666666666666666,0.2,,0.2894736842105263,0.18181818181818182,0.2,0.5,0.07894736842105263,0.34210526315789475,0.3076923076923077,0.3076923076923077,0.5,,,0.6666666666666666,0.08333333333333333,1.0,,0.4166666666666667,0.5526315789473685,0.3076923076923077,0.49821973684210513,0.46259999999999996,0.4634041666666667,,,0.021739130434782608,0.3695652173913043,10.54090909090909,25.1625,0.3016393442622951,,,1.0,0.07692307692307693,2.0,,,,,,0.6666666666666666,0.6666666666666666,1.0,,,,2.0,2.0,3.0,0.4,0.4,,,,,,True,,
448,1610612753,Bo Outlaw,Bo Outlaw,448,ORL,7279.0,121,-13.0,237,242,65,98.0,28,479,15.0,19.0,1.0,2.0,3.0,5.0,,5.0,,1.0,,,,,,,15.0,25.0,,,2.0,32.0,269.0,1.0,4.0,,,2.0,3.0,7.0,,,6.0,22.0,8.0,,,2.0,,,3.0,,4.0,3.0,7.0,3.0,,3.0,,1.0,17.0,1.0,7.0,5.0,18.0,26.0,9.0,35.0,1.0,5.0,3.0,2.0,4.0,2.0,4.0,5.0,,9.0,2.0,4.0,12.0,14.0,2.0,,11.0,1.0,5.0,1.0,6.0,3.0,2.0,6.0,3.0,6.0,65,1.0,0.7333333333333333,0.7857142857142857,,,,0.6,0.25,0.42857142857142855,0.6,0.25,0.42857142857142855,0.5333333333333333,0.25,0.375,,,0.12,0.05263157894736842,0.4,,,14.233576642335766,0.4444444444444444,0.16363636363636364,0.07526881720430108,0.19230769230769232,0.03571428571428571,0.16911764705882354,0.06611570247933884,0.04,0.09302325581395349,0.04,0.07142857142857142,0.22448979591836735,0.15151515151515152,0.13636363636363635,0.5,0.14285714285714285,0.5,0.76,0.7894736842105263,0.8333333333333334,0.7333333333333333,0.2,,,,0.04,,,,,,,,,0.5,0.5,,0.7142857142857143,0.6,,,0.76,,0.522548,0.4916499999999999,0.5057857142857143,0.1724137931034483,0.1724137931034483,0.0625,0.1875,2.148,,0.2742616033755274,,0.08,3.0,0.3333333333333333,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,0.1,True,,
2034,1610612753,Mike Miller,Mike Miller,2034,ORL,6505.0,108,-29.0,218,219,57,77.0,23,437,7.0,11.0,2.0,2.0,1.0,2.0,2.0,6.0,3.0,12.0,2.0,,4.0,13.0,2.0,4.0,12.0,29.0,6.0,15.0,3.0,45.0,257.0,2.0,2.0,2.0,,7.0,2.0,4.0,4.0,2.0,6.0,16.0,8.0,18.0,,4.0,13.0,4.0,2.0,,5.0,2.0,7.0,1.0,1.0,2.0,1.0,2.0,16.0,1.0,3.0,1.0,12.0,13.0,4.0,17.0,1.0,,,,1.0,,1.0,2.0,,3.0,1.0,1.0,7.0,13.0,1.0,1.0,4.0,,2.0,,3.0,1.0,2.0,3.0,2.0,6.0,57,2.0,0.6666666666666666,0.8,1.0,0.4,0.4,0.41379310344827586,1.0,0.5,0.4772727272727273,0.875,0.25,0.4891304347826087,0.875,0.3333333333333333,0.3409090909090909,,0.06896551724137931,0.09090909090909091,,0.08333333333333333,,20.081967213114755,0.3333333333333333,0.12903225806451613,0.0410958904109589,0.05,0.03571428571428571,0.11504424778761062,0.039603960396039604,,0.09090909090909091,0.041666666666666664,0.16666666666666666,0.06666666666666667,0.2,0.058823529411764705,,0.045454545454545456,0.6666666666666666,0.25,0.6363636363636364,0.7,0.7142857142857143,0.13636363636363635,0.3333333333333333,0.3333333333333333,0.5,0.2727272727272727,0.25,0.2727272727272727,0.6666666666666666,0.045454545454545456,0.29545454545454547,0.3076923076923077,0.3076923076923077,1.0,0.5,1.0,0.5,0.25,0.5,,0.5,0.5909090909090909,0.3076923076923077,0.49562840909090916,0.5323333333333333,0.49164375,0.043478260869565216,0.06451612903225806,0.15555555555555556,0.13333333333333333,10.26551724137931,25.466666666666665,0.26146788990825687,,,,,2.0,1.0,1.0,,0.5,,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,True,,
680,1610612753,John Amaechi,John Amaechi,680,ORL,1375.0,23,-3.0,46,45,20,23.0,2,91,3.0,3.0,,,2.0,2.0,,3.0,,1.0,,,,,,,3.0,7.0,,,2.0,8.0,42.0,,,,2.0,2.0,2.0,4.0,,,4.0,4.0,2.0,,,,,,,,1.0,,1.0,,,1.0,,,2.0,,1.0,1.0,1.0,2.0,1.0,3.0,,3.0,1.0,2.0,,,,,,,,,,1.0,1.0,,2.0,,1.0,,2.0,1.0,1.0,2.0,2.0,4.0,20,1.0,0.6666666666666666,0.6666666666666666,,,,0.42857142857142855,,0.5,0.42857142857142855,,0.5,0.5,1.0,0.5,,,,,,,,16.666666666666668,,0.058823529411764705,0.058823529411764705,0.2,,0.09090909090909091,0.05,0.16666666666666666,,,,0.07692307692307693,,0.25,,,1.0,0.42857142857142855,1.0,1.0,0.6666666666666666,0.42857142857142855,,,,0.14285714285714285,,,,,,,,,,,,0.5,1.0,,,0.42857142857142855,,0.43122857142857146,,0.48385,0.125,0.125,0.25,0.5,5.6000000000000005,,0.43478260869565216,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
690,1610612753,Don Reid,Don Reid,690,ORL,1413.0,24,-16.0,47,45,15,29.0,5,92,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,1.0,1.0,,4.0,4.0,,1.0,2.0,10.0,67.0,1.0,1.0,1.0,,2.0,1.0,1.0,,,2.0,6.0,2.0,,,2.0,1.0,,,,,,,,,,,,,1.0,4.0,2.0,3.0,6.0,5.0,11.0,,1.0,,1.0,,1.0,,2.0,,2.0,1.0,,6.0,9.0,1.0,1.0,6.0,,3.0,,2.0,1.0,1.0,2.0,2.0,2.0,15,,0.75,1.0,,,,1.0,1.0,1.0,0.8,0.5,1.0,0.625,0.5,1.0,0.2,,,,,,,18.51851851851852,,0.16666666666666666,0.2,0.4,0.25,0.21739130434782608,0.20833333333333334,0.25,0.14285714285714285,0.5,0.6666666666666666,0.125,,0.25,1.0,,1.0,0.4,1.0,1.0,0.5,0.4,1.0,1.0,1.0,,,,,,0.2,,,,0.5,1.0,0.5,1.0,1.0,,,0.6,,0.42813999999999997,0.48360000000000003,0.4233,0.375,0.42857142857142855,0.2,0.2,2.6,25.7,0.3191489361702128,,0.2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,
