EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2A,PtsUnassisted2s,ThreePtAssists,Assists,Arc3Assists,AssistPoints,Fouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,SecondChanceCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,PtsUnassisted3s,TwoPtAssists,LongMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,SelfOReb,NonShootingFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,DefThreePtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,SelfORebPct,SecondChanceArc3Accuracy,PenaltyArc3Accuracy,Steals,BadPassSteals,SecondChanceTurnovers,OffLongMidRangeReboundPct,ShortMidRangeAssists,Travels,Offensive Fouls,Loose Ball Fouls,AtRimPctBlocked,DefCorner3ReboundPct,LostBallSteals,BadPassTurnovers,Blocked2s,BlockedShortMidRange,Blocks,Defensive 3 Seconds Violations,LongMidRangePctBlocked,BlockedAtRim,RecoveredBlocks,BlocksRecoveredPct,on,AtRimPctAssisted,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Assists,AtRimAssists,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,FTOffRebounds,LostBallOutOfBoundsTurnovers,DefensiveGoaltends,3SecondViolations,OffFTReboundPct,Blocked3s,BlockedArc3,Fg3aBlocked,Clear Path Fouls,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy
137,1610612742,Vernon Maxwell,Vernon Maxwell,137,DAL,411.0,7,-4.0,12,13,4.0,10.0,3.0,25,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,14.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,20.0,0.6666666666666666,0.5,0.5,0.3333333333333333,1.0,0.3333333333333333,0.42283333333333334,0.5715,0.3139,17.3,22.9,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,1576.0,26,2.0,47,47,22.0,12.0,7.0,94,2.0,3.0,,,4.0,7.0,4.0,18.0,55.0,1.0,2.0,2.0,,,,,1.0,22.0,,0.5714285714285714,0.5,0.6,0.36363636363636365,32.72727272727273,0.2727272727272727,0.6666666666666666,0.6666666666666666,,,0.5454545454545454,0.48010909090909093,0.621375,0.48266666666666663,9.414285714285715,24.275,0.46808510638297873,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,6.0,6.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,6.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,9.0,1.0,5.0,6.0,0.75,1.0,1.0,0.25,0.25,1.0,0.5,0.5,0.3333333333333333,0.5,0.6,0.14285714285714285,0.5,0.6666666666666666,0.5,0.2222222222222222,0.06666666666666667,0.19047619047619047,0.047619047619047616,0.16666666666666666,0.125,0.5,0.16666666666666666,0.18181818181818182,0.5,0.5,0.18181818181818182,0.5,1.0,1.0,1.0,0.36363636363636365,0.25,0.25,1.0,0.5,1.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.25,0.3333333333333333,0.45454545454545453,0.16666666666666666,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,1610612742,Michael Finley,Michael Finley,714,DAL,1645.0,27,4.0,49,49,22.0,12.0,7.0,98,3.0,5.0,,,4.0,9.0,5.0,19.0,55.0,1.0,3.0,4.0,,1.0,,2.0,,22.0,,0.4444444444444444,0.6071428571428571,0.6333333333333333,0.35714285714285715,26.315789473684212,0.35714285714285715,0.6,0.6,,,0.35714285714285715,0.45495357142857146,0.46945,0.46329000000000004,15.788888888888888,24.9,0.4489795918367347,,,,,,,1.0,4.0,3.0,5.0,1.0,2.0,3.0,2.0,1.0,2.0,,5.0,,2.0,2.0,8.0,4.0,6.0,,5.0,3.0,,2.0,1.0,,2.0,3.0,5.0,,,,,,,,2.0,,,8.0,0.5,0.5,0.6666666666666666,0.6,0.6,0.5,,0.8333333333333334,0.6,0.8333333333333334,0.6666666666666666,,,,,0.05,0.125,0.08695652173913043,0.13636363636363635,0.16666666666666666,,,0.14285714285714285,,,,0.2857142857142857,0.25,0.25,1.0,0.3333333333333333,0.35714285714285715,0.6,0.6,0.6666666666666666,,,0.3333333333333333,,,0.4,0.6,,,0.2631578947368421,0.42105263157894735,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.16666666666666666,0.5,0.16666666666666666,0.3333333333333333,0.2857142857142857,1.0,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1610612742,Mark Bryant,Mark Bryant,95,DAL,2025.0,34,3.0,60,60,26.0,20.0,9.0,120,,,,,1.0,2.0,,2.0,65.0,,,2.0,,,,,6.0,26.0,2.0,0.5,0.5,0.5,,4.285714285714286,,,,,,0.5,0.49185,,,4.05,,0.43333333333333335,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,1.0,,2.0,,,,,,,2.0,,,,2.0,1.0,2.0,3.0,3.0,6.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,0.6666666666666666,0.045454545454545456,0.09523809523809523,0.037037037037037035,0.10714285714285714,0.14285714285714285,0.09090909090909091,,,0.5,1.0,1.0,0.5,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,0.14285714285714285,,0.16666666666666666,,,,,1.0,1.0,1.0,0.09090909090909091,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,1610612742,Steve Nash,Steve Nash,959,DAL,1505.0,25,,44,44,19.0,9.0,7.0,88,2.0,2.0,,,5.0,7.0,2.0,16.0,55.0,1.0,3.0,10.0,2.0,6.0,2.0,14.0,1.0,19.0,,0.7142857142857143,0.7222222222222222,0.8,0.2222222222222222,23.076923076923077,0.2222222222222222,1.0,1.0,,,0.5555555555555556,0.46557777777777776,0.57615,0.5090625,6.7,24.95,0.4318181818181818,2.0,3.0,,,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,,,,3.0,3.0,1.0,3.0,9.0,,,,2.0,1.0,,,2.0,,2.0,,2.0,,,2.0,,2.0,1.0,,3.0,1.0,1.0,9.0,,,,0.5,0.5,,1.0,1.5,0.75,1.5,0.9,,,,,0.1111111111111111,,0.09523809523809523,,,0.25,,,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.5,0.5,,,0.2222222222222222,0.5,0.5,,,,1.0,0.5,1.0,0.25,0.5,0.1111111111111111,0.14285714285714285,0.1875,0.5625,1.0,,1.0,,3.0,4.0,2.0,,,,1.0,1.0,,,,,,,,1.0,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916,1610612742,Calvin Booth,Calvin Booth,1916,DAL,126.0,2,,3,3,,,1.0,6,,1.0,,,,1.0,,,2.0,,,,,,,,1.0,,,,,,,25.0,1.0,,,,,,0.3864,,,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2059,1610612742,Eduardo Najera,Eduardo Najera,2059,DAL,449.0,7,1.0,13,13,4.0,8.0,2.0,26,,1.0,,,1.0,3.0,,2.0,10.0,,,,,,,,2.0,4.0,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,20.0,0.3333333333333333,,,,,0.3333333333333333,0.43393333333333334,,,9.6,,0.3076923076923077,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,0.3333333333333333,,,,,0.16666666666666666,0.16666666666666666,0.14285714285714285,,,,,0.3333333333333333,,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.5,,,,,,,,,,,0.25,,,,1.0,1.0,0.5,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,1610612742,Howard Eisley,Howard Eisley,458,DAL,833.0,14,-6.0,26,27,12.0,11.0,3.0,53,,2.0,,,,2.0,,,28.0,,1.0,,,1.0,,2.0,2.0,12.0,,,,,,13.793103448275863,1.0,,,,,,0.4279,,0.4361,21.15,,0.46153846153846156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,1610612742,Wang Zhi-zhi,Wang Zhi-zhi,1917,DAL,323.0,5,1.0,10,10,4.0,8.0,1.0,20,1.0,2.0,,,1.0,2.0,1.0,7.0,8.0,,,2.0,,,,,,4.0,,0.5,0.8333333333333334,0.875,0.3333333333333333,45.45454545454545,0.6666666666666666,0.5,0.5,,,0.3333333333333333,0.4167,,,17.5,25.1,0.4,,,,,,,,,1.0,1.0,,,1.0,2.0,,,,,,,2.0,2.0,,3.0,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,2.0,,,2.0,,,1.0,1.0,1.0,,,,,,1.0,,,1.0,,0.5,,0.25,,,0.5,,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,,1.0,,,,0.2857142857142857,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,1610612742,Juwan Howard,Juwan Howard,436,DAL,1120.0,19,7.0,32,31,17.0,10.0,5.0,63,,2.0,,,1.0,4.0,,2.0,33.0,,2.0,2.0,1.0,1.0,1.0,3.0,2.0,17.0,1.0,0.25,0.25,0.25,,13.157894736842104,0.5,,,,,,0.37887499999999996,,0.4088,11.775,,0.53125,,,,,,,1.0,2.0,,,,,,,,,,,1.0,,,2.0,,,,,,1.0,,1.0,,2.0,,2.0,1.0,,,,1.0,1.0,,,,,2.0,,,,,,,0.5,,0.5,,0.5,0.25,,1.0,,0.09090909090909091,,0.14285714285714285,,,,,0.25,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,0.3333333333333333,,,,0.3333333333333333,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
