EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2A,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,SecondChanceCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FtPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,OffTwoPtRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,DefFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,SecondChanceAtRimFGM,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG2M,SecondChanceFG3M,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,DefThreePtRebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Loose Ball Fouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceCorner3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Corner3Assists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,AtRimAssists,LostBallSteals,2pt And 1 Free Throw Trips,BlockedAtRim,SecondChanceTurnovers,FTOffRebounds,OffFTReboundPct,BadPassTurnovers,on,Offensive Fouls,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,Travels,Defensive 3 Seconds Violations,LostBallOutOfBoundsTurnovers,DefensiveGoaltends,3SecondViolations,Blocked3s,BlockedArc3,Fg3aBlocked,Clear Path Fouls,FG3APctBlocked,Arc3PctBlocked
137,1610612742,Vernon Maxwell,Vernon Maxwell,137,DAL,1035.0,17,6,30,30,5.0,21,7,60,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3,3.0,2.0,28,1.0,1.0,2.0,2.0,4.0,1.0,5.0,1.0,1.0,3.0,11.0,1.0,3.0,3.0,1.0,4,1.0,2.0,5.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5,16.216216216216218,0.3333333333333333,0.14285714285714285,0.21428571428571427,0.05263157894736842,0.2,0.5,1.0,0.16666666666666666,0.3333333333333333,0.5,0.5,0.16666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.5366333333333333,0.5715,0.3139,11.633333333333333,24.3,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,622.0,10,8,24,22,15.0,22,4,46,3.0,2.0,3.0,,,,5.0,7,,15.0,24,,4.0,6.0,,,,,,,,,,,3.0,2.0,5,1.0,2.0,15.0,0.7142857142857143,0.7142857142857143,0.6818181818181818,,39.285714285714285,,,,0.2222222222222222,,,,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6666666666666666,,,,0.42857142857142855,0.5476714285714286,0.6991,0.57965,8.914285714285715,,0.625,2.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,2.0,10.0,4.0,2.0,3.0,1.0,1.0,1.0,8.0,3.0,1.0,10.0,1.0,0.4,0.4,1.0,1.0,0.25,0.8333333333333334,1.0,0.2222222222222222,0.4,0.5,0.6666666666666666,0.6666666666666666,0.14285714285714285,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.3,0.3,0.06666666666666667,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
2059,1610612742,Eduardo Najera,Eduardo Najera,2059,DAL,2506.0,42,26,82,83,35.0,56,17,165,8.0,1.0,3.0,2.0,1.0,2.0,6.0,13,4.0,21.0,80,2.0,2.0,6.0,2.0,1.0,,1.0,,1.0,,2.0,1.0,4.0,8.0,7.0,15,2.0,8.0,35.0,0.46153846153846156,0.6176470588235294,0.6176470588235294,0.23529411764705882,17.647058823529413,0.16666666666666666,0.1,0.25,0.16666666666666666,0.125,0.1111111111111111,0.16666666666666666,0.47058823529411764,0.17647058823529413,0.3333333333333333,0.3333333333333333,0.11764705882352941,0.11764705882352941,0.14285714285714285,0.7058823529411765,0.5035470588235293,0.5233333333333333,0.48061999999999994,5.838461538461539,23.95,0.4268292682926829,4.0,4.0,1.0,1.0,1.0,2.0,,5.0,,10.0,1.0,,8.0,6.0,6.0,,,1.0,1.0,,,,8.0,3.0,0.5,0.6,0.5,0.8,0.7142857142857143,0.8,,0.1875,0.2,,0.5,0.6666666666666666,0.11764705882352941,0.5,0.5,1.0,1.0,0.5714285714285714,0.2,1.0,,,0.47619047619047616,0.38095238095238093,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,6.0,3.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.75,1.0,0.6666666666666666,0.75,0.4,0.7142857142857143,0.15384615384615385,0.25,1.0,0.5,0.125,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.6,1.0,0.25,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.14285714285714285,1.0,1.0,0.2,1.0,0.4,0.5,0.5,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
458,1610612742,Howard Eisley,Howard Eisley,458,DAL,2074.0,35,22,62,64,24.0,37,13,126,1.0,1.0,1.0,,,6.0,2.0,2,6.0,13.0,62,1.0,,2.0,6.0,3.0,1.0,4.0,,3.0,,9.0,,1.0,1.0,,1,1.0,1.0,24.0,1.0,0.8125,0.8125,0.75,12.82051282051282,0.045454545454545456,,0.03571428571428571,,,,,0.125,0.125,1.0,1.0,,0.75,,0.875,0.55258125,0.52425,0.527,9.4,25.150000000000002,0.3870967741935484,1.0,,,,,,,,,3.0,,,6.0,2.0,,,,,,,,,6.0,,0.5,0.5,,1.0,1.5,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,0.23076923076923078,0.46153846153846156,,,,,,3.0,1.0,1.0,2.0,3.0,3.0,,1.0,2.0,3.0,3.0,6.0,,3.0,,,1.0,1.0,2.0,2.0,,,,,,0.3333333333333333,0.5,1.0,0.6666666666666666,0.5,,1.5,,,0.5,,,,0.1111111111111111,,,,,,,,0.5,0.5,0.3333333333333333,,,1.0,1.0,1.0,,,1.0,0.6666666666666666,0.5,1.0,1.0,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
762,1610612742,Shawn Bradley,Shawn Bradley,762,DAL,272.0,5,3,7,10,1.0,3,2,17,1.0,,1.0,,,,,2,,,8,,,,,,,,,,,,,,,1.0,1,,,1.0,,,,,18.181818181818183,,,,0.16666666666666666,,,,0.5,0.5,,,,,,0.5,0.47745000000000004,0.5544,,7.65,,0.14285714285714285,,1.0,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
1761,1610612742,Greg Buckner,Greg Buckner,1761,DAL,1306.0,22,17,41,43,14.0,27,11,84,6.0,1.0,2.0,1.0,,1.0,6.0,11,2.0,17.0,42,,2.0,4.0,1.0,1.0,1.0,2.0,1.0,,,5.0,1.0,3.0,4.0,2.0,6,1.0,2.0,14.0,0.5454545454545454,0.5769230769230769,0.5666666666666667,0.15384615384615385,28.846153846153847,0.25,0.1111111111111111,0.1875,0.09090909090909091,0.125,,0.25,0.46153846153846156,0.15384615384615385,0.5,0.5,0.07692307692307693,0.07692307692307693,,0.6153846153846154,0.5474192307692308,0.3364,0.50615,5.136363636363636,23.85,0.34146341463414637,4.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,,2.0,1.0,2.0,4.0,8.0,1.0,1.0,1.0,2.0,1.0,4.0,,2.0,4.0,,0.6666666666666666,0.8,0.5,0.5,0.5,0.5,0.5,0.07692307692307693,,0.2,0.6666666666666666,0.8,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,,,0.11764705882352941,0.23529411764705882,1.0,,,,,1.0,,,,,1.0,1.0,,,,3.0,,2.0,1.0,1.0,,,,,,,,,,,1.0,0.5,,,0.5,0.5,0.5,0.09090909090909091,0.16666666666666666,,,0.3333333333333333,,0.4,,,,0.5,,,,1.0,1.0,1.0,0.5,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
1917,1610612742,Wang Zhi-zhi,Wang Zhi-zhi,1917,DAL,1350.0,22,16,40,42,18.0,31,8,82,1.0,1.0,3.0,,,2.0,2.0,4,2.0,10.0,42,,,4.0,2.0,,1.0,1.0,1.0,,,3.0,,1.0,1.0,,1,,1.0,18.0,0.5,0.5833333333333334,0.7142857142857143,0.3333333333333333,16.666666666666668,0.08333333333333333,,0.058823529411764705,,,0.2,,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,0.5,0.425875,,,13.375,24.8,0.45,1.0,,,,,,3.0,,,,,2.0,2.0,,,,,1.0,,3.0,1.0,1.0,2.0,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.16666666666666666,0.25,,0.2,,,,,,1.0,,,,,1.0,,,,,3.0,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,0.5,,,0.5,,,,,1.0,,,,,,,1.0,,,,,0.5,0.5,1.0,,,,,,,,,,0.5,,,,,1.0,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,
1916,1610612742,Calvin Booth,Calvin Booth,1916,DAL,676.0,11,1,23,23,11.0,14,3,46,2.0,,1.0,,,,1.0,4,,2.0,19,,1.0,,,,,,,,,,,1.0,2.0,1.0,3,,2.0,11.0,0.25,0.25,0.25,,14.814814814814813,0.16666666666666666,,0.125,0.09090909090909091,,0.5,,0.5,0.25,,,,,,0.5,0.5524749999999999,0.5925,0.8422,7.625,,0.4782608695652174,,1.0,,1.0,1.0,1.0,,1.0,,,,,,2.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,0.3333333333333333,0.1,0.25,,,,0.25,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
95,1610612742,Mark Bryant,Mark Bryant,95,DAL,449.0,7,1,13,13,4.0,8,2,26,,,,,,,,1,,,10,,,,,,,,,,,,,1.0,2.0,1.0,3,,,4.0,,,,,13.333333333333334,0.25,,0.16666666666666666,0.14285714285714285,,0.3333333333333333,,,,,,,,,,0.366,,,8.1,,0.3076923076923077,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,0.16666666666666666,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,
436,1610612742,Juwan Howard,Juwan Howard,436,DAL,856.0,14,15,32,31,23.0,23,7,63,3.0,,,,,,3.0,4,,10.0,35,,4.0,4.0,,,1.0,1.0,1.0,,,3.0,1.0,1.0,1.0,4.0,5,1.0,3.0,23.0,0.75,0.75,0.8333333333333334,,15.384615384615383,0.125,0.5,0.1111111111111111,0.2727272727272727,0.5,1.0,,0.75,,,,,,,0.75,0.606025,0.66755,0.606025,2.075,,0.71875,2.0,2.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,4.0,3.0,2.0,8.0,2.0,2.0,,,,,4.0,2.0,,8.0,,0.3333333333333333,0.5,0.75,0.75,0.6666666666666666,0.8,,0.2222222222222222,0.16666666666666666,,0.6666666666666666,0.6666666666666666,0.25,1.0,1.0,,,1.0,0.75,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.4,0.8,1.0,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,1.0,1.0,1.0,,,,,,,0.5,0.5,,,,,0.5,,,,,,0.5,,,,,,,0.5,,,,,,,,,,,,,,,,,,1.0,0.5,,True,,,,,,,,,,,,,,,,,,,,,
