EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,Corner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,Points,OpponentPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,HeaveAttempts,ShortMidRangeAssists,LongMidRangeAssists,DefThreePtRebounds,FTDefRebounds,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,ShortMidRangeFGM,ShortMidRangeFGA,FtPoints,LostBallOutOfBoundsTurnovers,FTA,TwoPtShootingFoulsDrawn,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyArc3FGA,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,Fg2aBlocked,2pt And 1 Free Throw Trips,BlockedAtRim,SecondChanceTsPct,FG2APctBlocked,LongMidRangePctBlocked,ShortMidRangePctAssisted,PenaltyArc3Frequency,SecondChancePointsPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFtPoints,OffThreePtRebounds,OffRebounds,SecondChanceTurnovers,NonShootingFoulsDrawn,3SecondViolations,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Offensive Fouls,ShortMidRangePctBlocked,SecondChanceAtRimFGM,SecondChanceFG2M,PtsUnassisted3s,PtsPutbacks,OffTwoPtRebounds,SecondChanceFg2Pct,SecondChanceEfgPct,OffTwoPtReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceAtRimAccuracy,AtRimPctBlocked,Loose Ball Fouls,OffAtRimReboundPct,OffShortMidRangeReboundPct,on,Corner3Assists,SelfOReb,SelfORebPct,BlockedLongMidRange,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyArc3Accuracy,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceArc3FGA,SecondChanceArc3Frequency
105,1610612748,Dan Majerle,Dan Majerle,105,MIA,1846.0,31.0,-18.0,52.0,56.0,10.0,15.0,4.0,108.0,1.0,2.0,5.0,2.0,6.0,6.0,72.0,6.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,10.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,10.714285714285714,0.18181818181818182,0.16666666666666666,0.4,0.25,0.07692307692307693,0.16666666666666666,0.8333333333333334,0.4,0.4,1.0,1.0,0.4,0.55835,24.299999999999997,0.19230769230769232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1853,1610612748,Anthony Carter,Anthony Carter,1853,MIA,4200.0,70.0,-44.0,128.0,132.0,27.0,44.0,9.0,260.0,,,1.0,,1.0,18.0,150.0,,,,9.0,2.0,11.0,2.0,2.0,24.0,3.0,6.0,6.0,2.0,,4.0,9.0,27.0,,,,0.47368421052631576,0.47368421052631576,0.05263157894736842,21.16788321167883,0.06382978723404255,0.07017543859649122,,0.14285714285714285,0.07142857142857142,,0.05263157894736842,,,,0.21052631578947367,,0.4132888888888889,40.1,0.2109375,1.0,3.0,1.0,8.0,15.0,9.0,18.0,1.0,1.0,3.0,2.0,8.0,10.0,1.0,1.0,6.0,1.0,2.0,2.0,7.0,1.0,6.0,3.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.4444444444444444,0.4444444444444444,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7,0.4,0.1,0.1111111111111111,1.0,0.15789473684210525,0.3333333333333333,0.3333333333333333,0.7894736842105263,0.5333333333333333,0.5333333333333333,0.5,1.0,0.526,0.37126666666666663,0.1111111111111111,15.383333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
193,1610612748,Anthony Mason,Anthony Mason,193,MIA,3024.0,50.0,-41.0,94.0,97.0,20.0,24.0,5.0,191.0,,,,,,8.0,113.0,,,,,1.0,1.0,1.0,,3.0,2.0,2.0,2.0,1.0,1.0,,1.0,20.0,,,,0.6,0.6666666666666666,,11.11111111111111,0.0625,0.05,0.125,,0.05,,,,,,,,0.39614000000000005,,0.2127659574468085,,,,2.0,3.0,3.0,5.0,,,,,4.0,2.0,,,,,,,1.0,2.0,1.0,4.0,,,5.0,1.0,,,,,,,0.6666666666666666,0.6666666666666666,0.6,,,,0.2,,,,,,,,0.6,0.6666666666666666,0.6666666666666666,1.0,,,,,13.8,1.0,2.0,2.0,2.0,2.0,1.0,0.4,0.5,0.5,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
2067,1610612748,Eddie House,Eddie House,2067,MIA,1533.0,26.0,-7.0,48.0,48.0,22.0,33.0,5.0,96.0,1.0,,2.0,,3.0,18.0,50.0,,2.0,,2.0,,2.0,,,4.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,22.0,,,,0.4375,0.5,0.1875,37.73584905660377,0.11764705882352941,0.15,,0.2,0.14285714285714285,0.0625,0.125,,,,0.3125,,0.45587500000000003,24.2,0.4583333333333333,2.0,2.0,,4.0,10.0,7.0,13.0,,2.0,3.0,4.0,6.0,8.0,,,2.0,1.0,,,2.0,,,,2.0,,2.0,2.0,1.0,,1.0,,4.0,,0.42857142857142855,0.42857142857142855,0.5384615384615384,0.6666666666666666,0.4,0.4,1.0,,0.3333333333333333,0.3333333333333333,,0.125,1.0,1.0,0.625,0.4,0.4444444444444444,0.5,,,0.44665999999999995,0.2222222222222222,14.484615384615385,1.0,1.0,4.0,,5.0,3.0,0.0625,1.0,1.0,0.16666666666666666,0.2,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.07692307692307693,0.1,1.0,0.4,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
258,1610612748,Brian Grant,Brian Grant,258,MIA,2765.0,46.0,-44.0,81.0,88.0,23.0,32.0,5.0,169.0,,,,,,8.0,115.0,,,,,1.0,1.0,1.0,,3.0,7.0,8.0,11.0,,,1.0,4.0,23.0,,,,0.2857142857142857,0.4,,18.6046511627907,0.25,0.24242424242424243,0.2,0.4,0.2222222222222222,,,,,,0.5714285714285714,,0.45491428571428566,,0.2839506172839506,1.0,4.0,,1.0,3.0,2.0,7.0,,2.0,2.0,8.0,4.0,,,,,1.0,,,4.0,,3.0,2.0,1.0,,6.0,1.0,3.0,1.0,3.0,1.0,8.0,1.0,1.0,1.0,0.2857142857142857,1.0,1.0,0.8,0.6666666666666666,,0.2,0.2,0.3333333333333333,0.5714285714285714,0.25,0.25,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,,,0.43855,1.0,8.000000000000002,,,4.0,1.0,6.0,2.0,,,,0.2222222222222222,0.2222222222222222,,,,,,,2.0,,,,,,,1.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,0.375,0.1,0.2857142857142857,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
297,1610612748,Alonzo Mourning,Alonzo Mourning,297,MIA,2257.0,38.0,-18.0,72.0,70.0,8.0,12.0,4.0,142.0,,,,,,14.0,77.0,,,,,,,,,,4.0,5.0,5.0,,,1.0,3.0,8.0,,,,0.4,0.5,,21.05263157894737,0.16,0.14705882352941177,0.14285714285714285,,0.2,,,,,,0.3,,0.45600000000000007,,0.1111111111111111,2.0,3.0,,1.0,4.0,4.0,10.0,,1.0,1.0,6.0,6.0,2.0,,,,1.0,,,1.0,,1.0,1.0,,,2.0,,3.0,1.0,3.0,1.0,6.0,,0.75,0.75,0.4,1.0,1.0,0.75,0.5,,0.1111111111111111,0.125,0.3333333333333333,0.3,0.6666666666666666,0.6666666666666666,0.4,0.25,0.25,1.0,,,0.5887,0.42857142857142855,8.82,1.0,3.0,6.0,,8.0,3.0,0.3,0.3333333333333333,0.5,0.23076923076923078,0.23076923076923078,,,,,1.0,,2.0,,0.1,,,,,1.0,1.0,4.0,,,,1.0,,,,,,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
224,1610612748,Eddie Jones,Eddie Jones,224,MIA,2770.0,46.0,-30.0,85.0,90.0,22.0,23.0,3.0,175.0,,4.0,8.0,4.0,8.0,32.0,97.0,9.0,8.0,4.0,4.0,,4.0,,1.0,8.0,6.0,9.0,10.0,,,1.0,4.0,22.0,0.75,0.5,0.5,0.6521739130434783,0.6666666666666666,0.34782608695652173,32.95454545454545,0.18181818181818182,0.1951219512195122,0.125,,0.23809523809523808,,0.34782608695652173,0.5,0.5,0.75,0.43478260869565216,0.5,0.4488173913043479,25.099999999999998,0.25882352941176473,2.0,2.0,1.0,7.0,11.0,9.0,15.0,2.0,3.0,5.0,6.0,8.0,10.0,,,3.0,2.0,1.0,,4.0,,3.0,1.0,1.0,,5.0,1.0,,,,,6.0,1.0,0.4444444444444444,0.5,0.6,0.6,0.5,0.5,0.8,1.0,0.25,0.14285714285714285,,0.08695652173913043,1.0,1.0,0.4782608695652174,0.6363636363636364,0.6363636363636364,0.42857142857142855,0.5,0.4707,0.4318833333333334,0.1875,14.793333333333331,,2.0,2.0,,2.0,1.0,0.08695652173913043,,,0.041666666666666664,0.0625,1.0,,2.0,1.0,,,,0.5,,,,0.16666666666666666,0.0625,1.0,1.0,,,1.0,,,,,0.03333333333333333,,,0.5,0.16666666666666666,1.0,1.0,,1.0,1.0,3.0,2.0,1.0,0.5,0.5,0.043478260869565216,0.07142857142857142,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
896,1610612748,Tim Hardaway,Tim Hardaway,896,MIA,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1477,1610612748,Bruce Bowen,Bruce Bowen,1477,MIA,1580.0,26.0,-11.0,50.0,50.0,,12.0,4.0,100.0,,,1.0,,1.0,,45.0,,1.0,,,,,,,,1.0,1.0,1.0,,,1.0,2.0,,,,,,,0.2,11.11111111111111,0.05555555555555555,0.043478260869565216,,,0.08333333333333333,,0.2,,,,0.6,,0.56053,24.1,,,2.0,,,1.0,,4.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,0.4,,,0.2,,,,,0.4027,,,6.9,,1.0,,,,,0.2,,,,,,,,,1.0,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,True,,,,,,,,,,,,,,,,,,,,,,,
920,1610612748,A.C. Green,A.C. Green,920,MIA,525.0,9.0,-5.0,15.0,15.0,2.0,13.0,3.0,30.0,,,,,,,16.0,,,,1.0,,1.0,,,2.0,,,1.0,,,1.0,4.0,2.0,,,,,,,5.555555555555555,,,,,,,,,,,,,,,0.13333333333333333,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.1111111111111111,,,,,,,,,,,,1.0,,,0.14285714285714285,,,,,1.0,0.3333333333333333,,True,,,,,,,,,,,,,,,,,,,,,,,
