EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LostBallTurnovers,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG3APctBlocked,Corner3PctBlocked,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,FTOffRebounds,OffFTReboundPct,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,HeaveAttempts,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Travels,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,OffCorner3ReboundPct,PtsUnassisted3s,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,Arc3PctBlocked,on
1563,1610612755,Kevin Ollie,Kevin Ollie,1563,PHI,4864.0,81,-22,149,152,73,71,17,301,1.0,3.0,5.0,7.0,11.0,8,19,5.0,21,167,1.0,1.0,2.0,4.0,4.0,8.0,1.0,9,14.0,2.0,2.0,11.0,4.0,15.0,1.0,3.0,4.0,2.0,5.0,34.0,1.0,5,5,1.0,6,2.0,2.0,2.0,3.0,1.0,5.0,1.0,1.0,3.0,6,6.0,2.0,1.0,9,73,3.0,0.875,0.875,0.42105263157894735,1.0,0.5,0.42105263157894735,1.0,0.5,0.4772727272727273,1.0,0.5,0.10526315789473684,0.3333333333333333,0.2,15.882352941176471,0.4,0.078125,0.017241379310344827,0.0641025641025641,0.014705882352941176,0.09090909090909091,0.09090909090909091,0.03333333333333333,0.13043478260869565,0.15789473684210525,0.3333333333333333,0.5,1.0,0.2631578947368421,0.5789473684210527,0.6363636363636364,0.6363636363636364,0.8571428571428571,0.15789473684210525,0.3925842105263159,0.4054,0.35038749999999996,0.09523809523809523,0.09523809523809523,0.19047619047619047,0.42857142857142855,12.15263157894737,0.4899328859060403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1908,1610612755,Jumaine Jones,Jumaine Jones,1908,PHI,22765.0,379,-21,672,688,128,128,114,1360,27.0,35.0,22.0,5.0,23.0,40,80,11.0,109,711,11.0,23.0,6.0,31.0,4.0,9.0,6.0,17,60.0,20.0,5.0,9.0,6.0,15.0,5.0,1.0,5.0,3.0,1.0,36.0,27.0,36,45,30.0,75,9.0,1.0,6.0,4.0,2.0,13.0,,2.0,14.0,30,17.0,7.0,2.0,17,128,2.0,0.75,0.967741935483871,0.5,0.4782608695652174,0.4444444444444444,0.45794392523364486,0.5,0.4230769230769231,0.47391304347826085,0.5344827586206896,0.53125,0.0625,0.08571428571428572,0.09090909090909091,15.763546798029559,0.6923076923076923,0.13090909090909092,0.084375,0.11898016997167139,0.07792207792207792,0.041666666666666664,0.11864406779661017,0.16806722689075632,0.09278350515463918,0.32710280373831774,0.7714285714285715,0.84375,0.6296296296296297,0.205607476635514,0.21495327102803738,0.21739130434782608,0.21739130434782608,1.0,0.5794392523364486,0.4910635514018692,0.4966395833333333,0.4902999999999999,0.061946902654867256,0.08139534883720931,0.28440366972477066,0.1559633027522936,7.96875,0.19047619047619047,9.0,14.0,2.0,3.0,8.0,2.0,10.0,1.0,1.0,4.0,17.0,1.0,1.0,4.0,6.0,27.0,1.0,2.0,1.0,4.0,18.0,18.0,17.0,4.0,2.0,3.0,6.0,3.0,2.0,9.0,7.0,2.0,3.0,3.0,1.0,1.0,8.0,4.0,1.0,3.0,8.0,5.0,1.0,0.2222222222222222,0.5,0.25,0.2222222222222222,0.2523364485981308,0.07407407407407407,0.2,0.23076923076923078,0.07692307692307693,0.046153846153846156,0.08955223880597014,0.10526315789473684,0.061224489795918366,0.0625,0.14285714285714285,0.037037037037037035,0.625,0.36363636363636365,0.4,1.0,0.09345794392523364,0.2,0.25,1.0,0.1588785046728972,0.23529411764705882,0.23529411764705882,1.0,0.56,0.6428571428571429,0.04,1.0,1.0,0.04,0.23076923076923078,0.6666666666666666,0.3076923076923077,0.25,0.23529411764705882,25.19259259259259,,,,,,,,,,,,,,,,,,,,,,,,,,True
1928,1610612755,Todd MacCulloch,Todd MacCulloch,1928,PHI,2414.0,40,6,69,69,12,9,19,138,8.0,11.0,2.0,,,8,13,4.0,20,83,5.0,6.0,3.0,13.0,3.0,3.0,1.0,7,8.0,8.0,3.0,1.0,2.0,3.0,1.0,1.0,,1.0,,8.0,5.0,4,5,6.0,11,1.0,,,,,1.0,,,2.0,3,4.0,3.0,,7,12,,0.5,1.0,0.6153846153846154,0.8333333333333334,1.0,0.6153846153846154,0.8333333333333334,1.0,0.7142857142857143,0.9285714285714286,1.1666666666666667,0.23076923076923078,0.18181818181818182,0.5,16.853932584269664,1.0,0.17391304347826086,0.15151515151515152,0.16666666666666666,0.1282051282051282,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.125,0.8461538461538461,0.7272727272727273,0.8888888888888888,0.5,0.15384615384615385,,,,,0.8461538461538461,0.5055307692307692,0.58454,0.5091,0.21428571428571427,0.21428571428571427,0.65,0.35,1.353846153846154,0.17391304347826086,5.0,6.0,3.0,3.0,,,,,,,,,,,,,,,,,,8.0,,,,,1.0,,1.0,,,,1.0,1.0,,2.0,1.0,1.0,,,1.0,,,,,,,,,,,0.14285714285714285,,0.14285714285714285,0.17647058823529413,,0.16666666666666666,,0.5,,,,,,,,,,,,,1.0,0.8333333333333334,,,,,1.0,1.0,,,,,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,True
243,1610612755,Aaron McKie,Aaron McKie,243,PHI,48247.0,804,21,1451,1445,369,326,230,2896,33.0,50.0,69.0,38.0,95.0,91,214,45.0,293,1529,15.0,28.0,4.0,46.0,26.0,59.0,15.0,91,104.0,78.0,26.0,103.0,10.0,113.0,8.0,2.0,34.0,41.0,28.0,236.0,17.0,63,84,19.0,103,21.0,6.0,15.0,19.0,2.0,40.0,4.0,2.0,18.0,62,59.0,22.0,8.0,91,369,8.0,0.5714285714285714,0.6190476190476191,0.4252336448598131,0.5357142857142857,0.4406779661016949,0.46441947565543074,0.5675675675675675,0.4935064935064935,0.49829351535836175,0.5897435897435898,0.5229885057471264,0.12149532710280374,0.18,0.18840579710144928,19.270833333333332,0.525,0.11454545454545455,0.02631578947368421,0.11204481792717087,0.02509907529722589,0.0547945205479452,0.09649122807017543,0.06374501992031872,0.1945945945945946,0.18726591760299627,0.66,0.8048780487804879,0.5454545454545454,0.25842696629213485,0.35580524344569286,0.4,0.4175824175824176,0.7631578947368421,0.3857677902621723,0.4434674812030075,0.47389843749999994,0.4400947368421052,0.08070175438596491,0.09523809523809523,0.15699658703071673,0.310580204778157,10.868224299065421,0.25430737422467264,9.0,13.0,10.0,13.0,20.0,15.0,25.0,2.0,4.0,7.0,28.0,5.0,1.0,8.0,22.0,53.0,4.0,9.0,8.0,18.0,66.0,14.0,27.0,7.0,1.0,2.0,17.0,4.0,2.0,30.0,13.0,17.0,6.0,5.0,9.0,5.0,3.0,,,3.0,3.0,1.0,1.0,0.41509433962264153,0.4444444444444444,0.4444444444444444,0.4230769230769231,0.19850187265917604,0.018867924528301886,0.04,0.13333333333333333,0.10365853658536585,0.018018018018018018,0.015267175572519083,0.02100840336134454,0.024096385542168676,0.1111111111111111,0.06896551724137931,0.016,0.3333333333333333,0.2898550724637681,0.35714285714285715,0.25,0.09363295880149813,0.6,0.625,1.0,0.10486891385767791,0.25,0.25,1.0,0.35135135135135137,0.6923076923076923,0.10810810810810811,0.5,1.0,0.13513513513513514,0.16883116883116883,0.7692307692307693,0.1038961038961039,0.125,0.25925925925925924,25.805660377358496,,,0.2222222222222222,7.0,10.0,2.0,1.0,1.0,1.0,0.042105263157894736,0.4,1.0,0.12987012987012986,0.7,0.018518518518518517,,,,,,,,,,,True
87,1610612755,Dikembe Mutombo,Dikembe Mutombo,87,PHI,58894.0,982,22,1769,1774,451,401,283,3543,56.0,95.0,107.0,2.0,5.0,102,207,115.0,319,1840,35.0,63.0,45.0,115.0,23.0,40.0,43.0,89,100.0,104.0,14.0,9.0,8.0,17.0,5.0,3.0,5.0,1.0,3.0,42.0,99.0,151,203,113.0,316,17.0,,3.0,19.0,,36.0,12.0,6.0,25.0,56,148.0,62.0,18.0,89,451,3.0,0.49019607843137253,0.6493506493506493,0.4927536231884058,0.5555555555555556,0.575,0.49038461538461536,0.5555555555555556,0.5609756097560976,0.5778985507246377,0.6460674157303371,0.664179104477612,0.06763285024154589,0.11578947368421053,0.028037383177570093,14.821852731591449,0.4722222222222222,0.21540656205420827,0.12515802781289506,0.203559510567297,0.11815252416756176,0.14772727272727273,0.1506849315068493,0.2334384858044164,0.23109243697478993,0.4567307692307692,0.5894736842105263,0.6666666666666666,0.44642857142857145,0.5144230769230769,0.02403846153846154,0.4,0.4,1.0,0.46153846153846156,0.44626322115384615,0.5167894736842105,0.4420890243902439,0.24031007751937986,0.24124513618677043,0.3605015673981191,0.27899686520376177,5.000966183574878,0.25494629734313173,29.0,49.0,15.0,18.0,44.0,,,,,,1.0,,,1.0,,1.0,,,,1.0,,50.0,1.0,,,11.0,32.0,20.0,7.0,15.0,9.0,6.0,14.0,7.0,6.0,12.0,72.0,45.0,2.0,25.0,72.0,45.0,,,,,,0.004807692307692308,,,0.47619047619047616,0.16161616161616163,0.07857142857142857,0.12225705329153605,0.11486486486486487,0.09345794392523364,0.15432098765432098,0.19444444444444445,0.07692307692307693,0.625,0.411214953271028,0.4230769230769231,0.5227272727272727,,,,,0.004807692307692308,,,,0.7777777777777778,0.5918367346938775,,,,,0.43902439024390244,0.8333333333333334,0.024390243902439025,,,25.6,3.0,0.046153846153846156,0.13793103448275862,,,,,,,,,,,,,4.0,1.0,1.0,8.0,0.030303030303030304,,,,,,True
1934,1610612755,Rodney Buford,Rodney Buford,1934,PHI,2356.0,39,11,72,72,39,28,16,144,,2.0,1.0,1.0,6.0,2,9,2.0,12,67,1.0,3.0,,5.0,1.0,6.0,,8,2.0,2.0,,,,,,,,,,,3.0,4,4,4.0,8,1.0,,1.0,2.0,,3.0,,1.0,3.0,12,2.0,1.0,,8,39,2.0,0.5,0.5,0.2222222222222222,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.625,0.4444444444444444,0.46153846153846156,0.625,0.4444444444444444,,,,17.97752808988764,0.3333333333333333,0.12121212121212122,0.0967741935483871,0.10526315789473684,0.10526315789473684,0.1111111111111111,0.1111111111111111,0.15384615384615385,0.09090909090909091,0.16666666666666666,,,,0.08333333333333333,0.5,0.16666666666666666,0.16666666666666666,1.0,0.4166666666666667,0.4403708333333334,0.44415000000000004,0.43207222222222225,0.07692307692307693,0.1,0.4166666666666667,0.6666666666666666,12.133333333333335,0.5416666666666666,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,,2.0,1.0,,1.0,,,,,,,,,2.0,,,,,,,,0.5,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.25,,,,,0.14285714285714285,0.125,0.07142857142857142,0.16666666666666666,,,,,1.0,1.0,,0.08333333333333333,1.0,1.0,,0.16666666666666666,0.5,0.5,1.0,0.25,,0.25,1.0,,,0.1111111111111111,,0.2222222222222222,0.5,0.5,25.266666666666666,,,,1.0,1.0,,,,,,,,0.1111111111111111,1.0,,,,,,,3.0,,,,,True
1952,1610612755,Raja Bell,Raja Bell,1952,PHI,5667.0,94,17,173,181,66,60,20,354,6.0,7.0,7.0,,1.0,8,15,7.0,29,179,,3.0,,,2.0,3.0,3.0,10,12.0,4.0,2.0,5.0,,5.0,,,2.0,1.0,2.0,10.0,3.0,5,6,4.0,10,2.0,1.0,,3.0,1.0,5.0,,3.0,7.0,17,13.0,4.0,3.0,10,66,2.0,0.75,0.75,0.5333333333333333,,0.6666666666666666,0.55,,0.875,0.5576923076923077,,0.7142857142857143,0.13333333333333333,,0.2857142857142857,15.656565656565657,0.4,0.078125,0.05555555555555555,0.07692307692307693,0.043478260869565216,0.07142857142857142,0.058823529411764705,0.1,,0.35,0.8571428571428571,0.8571428571428571,0.8333333333333334,0.35,0.05,,,,0.6,0.512485,0.38749999999999996,0.48475,0.17391304347826086,0.2222222222222222,,0.3448275862068966,4.6866666666666665,0.3815028901734104,,,2.0,2.0,2.0,2.0,3.0,,,,2.0,,,,2.0,5.0,,,1.0,1.0,6.0,,2.0,,,,1.0,,,13.0,7.0,6.0,2.0,,,1.0,,,,,,,1.0,0.4,,1.0,0.4,0.25,,,,0.07142857142857142,,0.08,,,0.07692307692307693,,,,0.2857142857142857,0.4,0.5,0.15,0.6666666666666666,0.6666666666666666,1.0,0.1,,,,,,,,,,0.5,1.0,,,,24.0,1.0,0.08333333333333333,,1.0,1.0,,,,,,,,0.25,1.0,,,,,,,,,,,,True
947,1610612755,Allen Iverson,Allen Iverson,947,PHI,55526.0,925,24,1677,1676,414,360,268,3353,67.0,123.0,122.0,82.0,221.0,188,466,145.0,644,1749,14.0,43.0,7.0,44.0,35.0,104.0,65.0,165,144.0,232.0,37.0,114.0,13.0,127.0,5.0,8.0,44.0,27.0,43.0,267.0,12.0,55,84,13.0,97,38.0,7.0,23.0,22.0,2.0,60.0,6.0,13.0,11.0,51,186.0,58.0,27.0,165,414,5.0,0.3829787234042553,0.3850267379679144,0.4034334763948498,0.32558139534883723,0.33653846153846156,0.4214527027027027,0.33636363636363636,0.373134328358209,0.4700149925037481,0.3793103448275862,0.4764705882352941,0.07939914163090128,0.13008130081300814,0.12295081967213115,36.49598393574297,0.6333333333333333,0.08283132530120482,0.016042780748663103,0.0989399293286219,0.014772727272727272,0.02976190476190476,0.09154929577464789,0.08783783783783784,0.07079646017699115,0.20777027027027026,0.5447154471544715,0.6261682242990654,0.3283582089552239,0.20608108108108109,0.3733108108108108,0.37104072398190047,0.3813953488372093,0.43902439024390244,0.4206081081081081,0.4572333898305085,0.4205775510204082,0.4610675373134328,0.096875,0.11350293542074363,0.06832298136645963,0.2562111801242236,11.170600858369095,0.24686940966010734,5.0,8.0,18.0,34.0,39.0,6.0,20.0,1.0,1.0,35.0,106.0,11.0,9.0,27.0,41.0,126.0,3.0,12.0,10.0,30.0,93.0,2.0,105.0,35.0,3.0,1.0,29.0,,4.0,47.0,30.0,17.0,15.0,1.0,10.0,13.0,5.0,1.0,2.0,2.0,6.0,4.0,0.7560975609756098,0.3253968253968254,0.25,0.3333333333333333,0.328,0.21283783783783783,0.023809523809523808,,,0.15675675675675677,0.007575757575757576,0.016611295681063124,0.007168458781362007,,0.17763157894736842,0.06060606060606061,0.0125,0.6666666666666666,0.319672131147541,0.3644859813084112,0.358974358974359,0.033783783783783786,0.3,0.3,0.6666666666666666,0.17905405405405406,0.330188679245283,0.33980582524271846,0.7714285714285715,0.14545454545454545,0.625,0.01818181818181818,1.0,,0.2,0.2537313432835821,0.5294117647058824,0.20149253731343283,0.3333333333333333,0.3333333333333333,26.296825396825394,,,0.2,1.0,3.0,2.0,1.0,19.0,4.0,0.027149321266968326,0.18181818181818182,1.0,0.022388059701492536,0.3333333333333333,0.031007751937984496,2.0,,,,0.03125,30.0,1.0,1.0,1.0,0.02830188679245283,True
238,1610612755,Tyrone Hill,Tyrone Hill,238,PHI,40757.0,679,17,1219,1219,255,206,195,2438,28.0,50.0,77.0,1.0,13.0,55,140,32.0,142,1245,11.0,27.0,6.0,28.0,5.0,24.0,11.0,21,92.0,18.0,20.0,6.0,3.0,9.0,3.0,,3.0,2.0,1.0,21.0,42.0,79,102,49.0,151,7.0,1.0,4.0,15.0,2.0,22.0,4.0,2.0,26.0,71,44.0,16.0,8.0,21,255,5.0,0.8363636363636363,0.92,0.39285714285714285,0.4074074074074074,0.20833333333333334,0.39285714285714285,0.4074074074074074,0.20833333333333334,0.44375,0.45161290322580644,0.3387096774193548,0.14285714285714285,0.16,0.15584415584415584,12.525808671713696,0.3181818181818182,0.15581854043392504,0.07446808510638298,0.14803149606299212,0.07413010590015129,0.12,0.15384615384615385,0.17857142857142858,0.12849162011173185,0.35714285714285715,0.56,0.6666666666666666,0.8214285714285714,0.55,0.09285714285714286,0.07692307692307693,0.07692307692307693,1.0,0.35714285714285715,0.43742928571428574,0.4993115384615384,0.4255208333333333,0.10526315789473684,0.10526315789473684,0.19718309859154928,0.14788732394366197,6.702857142857144,0.20918785890073832,7.0,17.0,1.0,7.0,26.0,,,,,,,,,,,,,,,,,10.0,,,,7.0,15.0,8.0,3.0,11.0,7.0,4.0,3.0,18.0,8.0,4.0,10.0,9.0,,1.0,10.0,5.0,,,,,,,,,0.3333333333333333,0.1171875,0.07216494845360824,0.06302521008403361,0.05970149253731343,0.06493506493506493,0.11764705882352941,0.11538461538461539,0.046153846153846156,0.5,0.33766233766233766,0.4,0.8461538461538461,,,,,,,,,0.6296296296296297,0.4117647058823529,,,,,0.2916666666666667,0.14285714285714285,,,,,,,0.2857142857142857,,,,,,,,,,,,,2.0,,,,0.1,,,,,,True
727,1610612755,Eric Snow,Eric Snow,727,PHI,38621.0,644,54,1152,1149,337,303,181,2301,21.0,43.0,59.0,37.0,85.0,81,187,35.0,197,1164,12.0,23.0,4.0,28.0,22.0,55.0,27.0,71,112.0,50.0,16.0,75.0,15.0,90.0,10.0,5.0,25.0,16.0,34.0,195.0,19.0,30,54,22.0,76,26.0,5.0,18.0,13.0,2.0,39.0,2.0,7.0,24.0,57,46.0,20.0,4.0,71,337,5.0,0.691358024691358,0.717948717948718,0.43315508021390375,0.5217391304347826,0.4,0.421875,0.5217391304347826,0.38596491228070173,0.4602803738317757,0.56,0.4863013698630137,0.0855614973262032,0.23255813953488372,0.1016949152542373,18.521229868228403,0.6666666666666666,0.06772009029345373,0.037698412698412696,0.09168081494057725,0.03709949409780776,0.02586206896551724,0.053763440860215055,0.08415841584158416,0.05405405405405406,0.22395833333333334,0.4883720930232558,0.6363636363636364,0.5238095238095238,0.3072916666666667,0.4427083333333333,0.43529411764705883,0.43529411764705883,0.8108108108108109,0.25,0.41824192708333335,0.4143380952380952,0.41067894736842103,0.09523809523809523,0.0975609756097561,0.14213197969543148,0.3604060913705584,11.114973262032086,0.2925347222222222,3.0,4.0,9.0,16.0,23.0,,1.0,,,,4.0,,,2.0,,5.0,,,,2.0,,6.0,4.0,,,3.0,24.0,,6.0,24.0,9.0,15.0,8.0,,4.0,2.0,1.0,,,1.0,1.0,1.0,,,,,,0.026041666666666668,,,,0.1643835616438356,0.033707865168539325,0.05154639175257732,0.030927835051546393,0.04285714285714286,0.15,0.23076923076923078,0.06521739130434782,1.0,0.3898305084745763,0.4339622641509434,0.6521739130434783,0.005208333333333333,,,,0.020833333333333332,,,,0.17391304347826086,0.75,,,,,0.2807017543859649,0.5625,0.03508771929824561,,,27.68,,,0.3333333333333333,,,,,,,,,,,,,1.0,1.0,,,,,,,,,True
