EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,BadPassOutOfBoundsTurnovers,RecoveredBlocks,SecondChanceFg3Pct,AtRimPctBlocked,OffAtRimReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,HeaveAttempts,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,OffCorner3ReboundPct,PenaltyArc3Accuracy,PenaltyCorner3FGM,PtsUnassisted3s,Corner3Assists,FTOffRebounds,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,OffFTReboundPct,OffLongMidRangeReboundPct,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,DefCorner3ReboundPct,BlockedAtRim,OffensiveGoaltends,on,LostBallOutOfBoundsTurnovers
147,1610612754,Jalen Rose,Jalen Rose,147,IND,9093.0,152,-14,278,270,81.0,64.0,37.0,548,4.0,5.0,2.0,3.0,1.0,2.0,11.0,31.0,10.0,23.0,3.0,6.0,1.0,2.0,10.0,2.0,4.0,25.0,59.0,5.0,16.0,7.0,72.0,296,4.0,8.0,3.0,1.0,9.0,7.0,18.0,4.0,4.0,18.0,32.0,18.0,15.0,4.0,10.0,2.0,3.0,8.0,2.0,10.0,2.0,3.0,2.0,3.0,22.0,1.0,2.0,1.0,9.0,2.0,12.0,3.0,15.0,3.0,5.0,4.0,1.0,4.0,2.0,5.0,2.0,2.0,9.0,1.0,3.0,3.0,15.0,2.0,3.0,7.0,1.0,2.0,2.0,1.0,1.0,1.0,18.0,81.0,2.0,0.64,0.6956521739130435,1.0,0.3125,0.3125,0.423728813559322,0.5,0.3888888888888889,0.43333333333333335,0.36363636363636365,0.3181818181818182,0.46153846153846156,0.4090909090909091,0.375,0.21333333333333335,0.05084745762711865,0.06451612903225806,0.043478260869565216,27.102803738317757,0.4444444444444444,0.25,0.07758620689655173,0.017699115044247787,0.05,0.025,0.07352941176470588,0.0196078431372549,0.03389830508474576,0.03571428571428571,0.10638297872340426,0.0784313725490196,0.07142857142857142,0.07142857142857142,0.06666666666666667,0.8,0.8,0.5,0.41333333333333333,0.3548387096774194,0.3793103448275862,0.45454545454545453,0.30666666666666664,0.43478260869565216,0.45454545454545453,0.9,0.08,0.5,0.5,1.0,0.13333333333333333,0.2,0.2,1.0,0.2727272727272727,0.6666666666666666,0.5,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.5,0.18181818181818182,0.28,0.2,0.4253633333333333,0.47019166666666673,0.3873840909090909,0.02631578947368421,0.03333333333333333,0.125,0.25,11.742372881355934,25.7625,0.29136690647482016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1506,1610612754,Austin Croshere,Austin Croshere,1506,IND,6985.0,116,2,213,206,85.0,61.0,38.0,419,8.0,11.0,2.0,2.0,1.0,3.0,,3.0,2.0,7.0,,3.0,,2.0,6.0,2.0,3.0,10.0,21.0,2.0,9.0,12.0,38.0,221,2.0,2.0,2.0,1.0,8.0,2.0,5.0,4.0,5.0,9.0,12.0,8.0,6.0,2.0,6.0,2.0,2.0,6.0,,6.0,,4.0,2.0,,12.0,3.0,2.0,,11.0,2.0,13.0,5.0,18.0,1.0,4.0,2.0,2.0,7.0,4.0,1.0,3.0,,8.0,4.0,6.0,6.0,13.0,2.0,,13.0,3.0,5.0,3.0,2.0,2.0,2.0,9.0,85.0,3.0,0.6,0.6666666666666666,1.0,0.2222222222222222,0.2222222222222222,0.47619047619047616,1.0,0.4,0.43333333333333335,0.875,0.2222222222222222,0.5428571428571428,1.0,0.375,0.3,0.09523809523809523,,,16.862745098039216,0.875,0.5,0.11578947368421053,0.023529411764705882,,0.08823529411764706,0.09734513274336283,0.04201680672268908,0.022727272727272728,0.12,0.08333333333333333,0.13636363636363635,,0.0625,0.36666666666666664,0.7272727272727273,0.8888888888888888,0.5,0.1,,,,0.23333333333333334,0.2857142857142857,0.2857142857142857,1.0,0.1,,,,0.2,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,,,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.47024666666666665,0.5640333333333334,0.42230555555555555,0.15625,0.21739130434782608,0.21052631578947367,0.23684210526315788,7.704761904761902,24.988888888888887,0.39906103286384975,1.0,1.0,1.0,1.0,1.0,0.5,0.18181818181818182,0.1,0.13333333333333333,0.5,0.5,1.0,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,True,
1733,1610612754,Al Harrington,Al Harrington,1733,IND,1893.0,32,-20,60,56,25.0,10.0,12.0,116,1.0,3.0,,,,1.0,1.0,7.0,,,,,,,2.0,,2.0,2.0,10.0,,2.0,1.0,5.0,81,,1.0,,,,1.0,3.0,2.0,,2.0,,4.0,,,1.0,,4.0,,1.0,1.0,1.0,,,,3.0,1.0,2.0,,1.0,,1.0,3.0,4.0,,,,,,,1.0,,,1.0,,1.0,3.0,7.0,1.0,1.0,2.0,,1.0,,,,,2.0,25.0,2.0,,,,,,0.2,,0.3333333333333333,0.16666666666666666,,0.2,0.19230769230769232,,0.2,0.16666666666666666,0.4,0.2857142857142857,,19.444444444444446,,,0.047619047619047616,0.08,,0.125,0.041666666666666664,0.09090909090909091,0.1111111111111111,0.14285714285714285,,0.16666666666666666,,,0.25,0.3333333333333333,1.0,,0.5833333333333334,0.14285714285714285,0.2,,,,,,,,,,0.16666666666666666,,,,,,,,,0.2,,0.4,0.4166666666666667,,0.3642681818181818,0.4219,0.3511125,0.07692307692307693,0.09090909090909091,,0.4,8.629999999999999,33.900000000000006,0.4166666666666667,,,,,,,0.6666666666666666,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,
365,1610612754,Derrick McKey,Derrick McKey,365,IND,1924.0,32,5,57,60,34.0,32.0,10.0,117,1.0,2.0,,1.0,,1.0,,1.0,,,,,,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,6.0,58,,1.0,,,,,1.0,1.0,1.0,4.0,2.0,,3.0,,1.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,,,9.0,3.0,1.0,,3.0,1.0,4.0,4.0,8.0,,1.0,,1.0,,,1.0,,,1.0,,,4.0,7.0,1.0,1.0,2.0,,,1.0,,,,4.0,34.0,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,0.625,,0.75,0.6,,0.6666666666666666,0.25,0.3333333333333333,,,8.823529411764705,,0.25,0.09375,0.0625,,0.1875,0.08571428571428572,0.125,0.14285714285714285,0.09090909090909091,0.2,0.0625,,,0.5,0.5,1.0,1.0,0.25,,,,,,,,,,,,0.25,1.0,1.0,1.0,1.0,,,,,0.5,,0.5,0.75,1.0,0.45775,0.337,0.38765000000000005,,,,0.6666666666666666,2.9666666666666663,25.3,0.5964912280701754,,,,,,,0.5,,,,,,,,1.0,1.0,1.0,0.4,1.0,,,,,,,,,,,,,,,,,True,
397,1610612754,Reggie Miller,Reggie Miller,397,IND,10579.0,176,-9,322,316,97.0,79.0,48.0,638,8.0,9.0,2.0,2.0,1.0,2.0,5.0,12.0,13.0,34.0,3.0,9.0,,12.0,26.0,2.0,12.0,26.0,55.0,15.0,35.0,28.0,125.0,342,3.0,8.0,2.0,4.0,10.0,8.0,15.0,14.0,14.0,45.0,34.0,18.0,39.0,4.0,26.0,12.0,,7.0,3.0,10.0,2.0,3.0,1.0,3.0,23.0,2.0,4.0,3.0,10.0,,13.0,7.0,20.0,2.0,3.0,3.0,,9.0,3.0,2.0,6.0,1.0,11.0,,1.0,,3.0,,1.0,30.0,2.0,8.0,4.0,2.0,2.0,2.0,45.0,97.0,1.0,0.6538461538461539,0.7083333333333334,0.8666666666666667,0.42857142857142855,0.42857142857142855,0.4727272727272727,0.375,0.5333333333333333,0.5388888888888889,0.3,0.5344827586206896,0.594059405940594,0.4166666666666667,0.6428571428571429,0.3888888888888889,,,,29.787234042553195,0.8181818181818182,,0.06993006993006994,0.02962962962962963,0.125,0.045454545454545456,0.07784431137724551,0.0335195530726257,0.028985507246376812,0.0625,0.034482758620689655,0.1111111111111111,0.17647058823529413,0.041666666666666664,0.1,0.8888888888888888,0.8888888888888888,0.75,0.13333333333333333,0.4166666666666667,0.4166666666666667,0.8,0.37777777777777777,0.38235294117647056,0.38235294117647056,0.5384615384615384,0.1,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.28888888888888886,0.46153846153846156,0.46153846153846156,0.9166666666666666,0.2,1.0,,,0.2,0.06896551724137931,0.5,0.41379310344827586,0.4888888888888889,0.46153846153846156,0.45900166666666675,0.41945625000000003,0.41187068965517243,0.09278350515463918,0.13114754098360656,0.08,0.36,13.203636363636365,25.611428571428572,0.30124223602484473,2.0,,,,2.0,,,,0.045454545454545456,1.0,,,0.06896551724137931,,4.0,5.0,0.35714285714285715,,0.3333333333333333,1.0,6.0,1.0,1.0,5.0,1.0,0.25,0.03773584905660377,0.5,0.027777777777777776,,,,,,,True,
696,1610612754,Travis Best,Travis Best,696,IND,9020.0,150,4,268,263,67.0,49.0,41.0,531,6.0,7.0,,,1.0,2.0,1.0,12.0,7.0,13.0,,,,1.0,2.0,1.0,2.0,14.0,32.0,1.0,2.0,4.0,35.0,277,1.0,2.0,1.0,2.0,7.0,3.0,11.0,2.0,2.0,11.0,6.0,22.0,3.0,2.0,2.0,1.0,,22.0,14.0,36.0,11.0,3.0,6.0,13.0,86.0,1.0,5.0,4.0,8.0,,12.0,6.0,18.0,1.0,4.0,1.0,3.0,3.0,3.0,1.0,,,4.0,1.0,1.0,5.0,15.0,2.0,1.0,4.0,,,2.0,,,,11.0,67.0,5.0,0.21428571428571427,0.23076923076923078,1.0,0.5,0.5,0.4375,0.5,0.2727272727272727,0.45588235294117646,0.8333333333333334,0.34615384615384615,0.4861111111111111,0.875,0.39285714285714285,0.058823529411764705,,,,12.779552715654953,0.75,,0.06666666666666667,0.041666666666666664,0.18181818181818182,0.029411764705882353,0.08450704225352113,0.03896103896103896,0.04918032786885246,0.04,0.0784313725490196,0.058823529411764705,0.125,0.05555555555555555,0.20588235294117646,0.8571428571428571,0.8571428571428571,0.16666666666666666,0.35294117647058826,0.08333333333333333,0.08333333333333333,,0.38235294117647056,0.5384615384615384,0.5384615384615384,0.2857142857142857,,,,,0.058823529411764705,0.5,1.0,1.0,,,,,0.3333333333333333,0.15384615384615385,0.5,0.15384615384615385,0.2647058823529412,0.5,0.44456176470588243,0.3898,0.43398461538461536,,,0.2,0.3142857142857143,10.3125,26.3,0.25,,1.0,1.0,,,1.0,,,0.05555555555555555,,1.0,1.0,,,1.0,1.0,0.5,,0.5,,,3.0,,,,,0.0425531914893617,,,1.0,0.5,0.5,0.3333333333333333,,,True,
979,1610612754,Jermaine O'Neal,Jermaine O'Neal,979,IND,8664.0,144,-6,259,260,59.0,54.0,37.0,519,8.0,9.0,4.0,5.0,4.0,5.0,6.0,18.0,2.0,8.0,,,,,1.0,,,16.0,35.0,,1.0,5.0,37.0,278,4.0,6.0,,3.0,11.0,5.0,8.0,,2.0,12.0,14.0,18.0,,6.0,1.0,,3.0,4.0,2.0,6.0,1.0,3.0,,1.0,14.0,2.0,8.0,5.0,28.0,2.0,35.0,10.0,45.0,,,,,3.0,2.0,3.0,1.0,,6.0,2.0,,9.0,13.0,1.0,1.0,10.0,,2.0,3.0,10.0,3.0,10.0,12.0,59.0,,0.4375,0.5384615384615384,,,,0.45714285714285713,0.6666666666666666,0.625,0.4444444444444444,0.6666666666666666,0.625,0.45121951219512196,0.6875,0.6666666666666666,0.027777777777777776,0.08571428571428572,0.16666666666666666,,15.562913907284768,0.5,0.4,0.2413793103448276,0.07339449541284404,0.25,0.0625,0.2426470588235294,0.07092198581560284,0.05555555555555555,0.08333333333333333,0.26,0.24489795918367346,0.13333333333333333,,0.25,0.8888888888888888,0.8888888888888888,0.375,0.5,0.3333333333333333,0.4,0.5,0.2222222222222222,0.25,0.25,0.5,,,,,0.027777777777777776,,,,0.8333333333333334,0.8,,,,0.625,0.8,,0.2777777777777778,,0.4350263888888889,0.5121800000000001,0.49546250000000003,0.05263157894736842,0.05405405405405406,0.2972972972972973,0.32432432432432434,8.36,26.1,0.2277992277992278,,,,,4.0,,,0.18181818181818182,0.17647058823529413,0.4,,,,,,,,,,,,1.0,,,,,0.06818181818181818,,,,,,0.6,7.0,1.0,True,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,2883.0,48,10,88,88,28.0,33.0,9.0,176,4.0,6.0,2.0,2.0,1.0,1.0,,1.0,,2.0,,,,,,,,4.0,9.0,,,,8.0,87,2.0,2.0,,,4.0,1.0,3.0,,,2.0,6.0,2.0,,2.0,,,2.0,2.0,,2.0,,1.0,1.0,,4.0,,2.0,,7.0,1.0,8.0,2.0,10.0,,,,,,,2.0,,,2.0,,,3.0,7.0,1.0,1.0,,,,,3.0,2.0,3.0,2.0,28.0,1.0,0.75,1.0,,,,0.4444444444444444,1.0,0.3333333333333333,0.4444444444444444,1.0,0.3333333333333333,0.4444444444444444,1.0,0.3333333333333333,,0.2222222222222222,,,11.34020618556701,,0.5,0.14285714285714285,0.05714285714285714,,,0.12280701754385964,0.046511627906976744,0.07692307692307693,,0.11764705882352941,0.18518518518518517,,,0.6666666666666666,0.6666666666666666,1.0,0.75,0.1111111111111111,,,,0.2222222222222222,,,,,,,,,,,,1.0,1.0,0.5,,,0.3333333333333333,1.0,,0.6666666666666666,,0.4578333333333333,0.53565,0.38186666666666663,,,0.5,0.25,5.355555555555556,,0.3181818181818182,,,,1.0,3.0,,0.3333333333333333,,,1.0,,,,,,,,,,,,,,,,,0.05,,,,,,,1.0,,True,
721,1610612754,Tyus Edney,Tyus Edney,721,IND,377.0,6,-1,15,14,7.0,6.0,1.0,29,1.0,2.0,,,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,4.0,,,,2.0,14,,,,,,1.0,3.0,,,2.0,2.0,,,,,,,3.0,,3.0,,1.0,,2.0,6.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,2.0,7.0,1.0,1.0,1.0,,,,0.25,,0.3333333333333333,0.25,,0.3333333333333333,0.25,,0.3333333333333333,,,,,23.52941176470588,,,,,,,,,,,,,,,0.5,0.5,0.5,1.0,0.25,,,,0.25,,,,,,,,,,,,,,,,,0.3333333333333333,1.0,,0.5,,0.5036,,0.4970666666666667,,,,1.0,7.15,,0.4666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
64,1610612754,Sam Perkins,Sam Perkins,64,IND,964.0,16,-14,33,31,,6.0,4.0,64,,,,,,,,3.0,1.0,1.0,,,,1.0,4.0,,,1.0,4.0,1.0,4.0,,5.0,40,,1.0,,,,,,,,,2.0,,3.0,,4.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,2.0,1.0,3.0,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,1.0,1.0,1.0,0.25,0.25,0.25,,,0.3125,,,0.3125,,,0.5,,,,21.05263157894737,,,0.09090909090909091,0.05263157894736842,1.0,,0.16666666666666666,0.045454545454545456,,,,0.25,1.0,,,,,,0.375,,,,0.125,1.0,1.0,1.0,,,,,0.5,0.25,0.25,1.0,,,,,,,,,0.5,0.25,0.41331875,0.4083,,,,,,13.350000000000001,27.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,True,
