EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,FG2A,OpponentPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,Usage,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,LongMidRangeFGA,FG2M,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,BlockedAtRim,3SecondViolations,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyOffPossPct,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,FG3APct,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,Avg3ptShotDistance,LongMidRangeFGM,Corner3FGM,FTDefRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,Loose Ball Fouls,DefensiveGoaltends,DefFTReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,FtPoints,SecondChanceFtPoints,PenaltyFG2M,PenaltyPoints,LostBallTurnovers,SecondChanceTurnovers,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefCorner3ReboundPct,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,AtRimAssists,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGA,PenaltyFG3A,PenaltyFtPoints,2pt And 1 Free Throw Trips,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,Corner3Assists,LostBallOutOfBoundsTurnovers,NonShootingFoulsDrawn,AtRimPctBlocked,SecondChanceAtRimPctAssisted,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,on,OffAtRimReboundPct,PenaltyArc3FGA,Travels,OffCorner3ReboundPct,PenaltyArc3Frequency,Technical Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3,BlockedLongMidRange,LongMidRangePctBlocked,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,PenaltyFg3Pct,PenaltyArc3Accuracy,HeaveAttempts,PenaltyCorner3FGM,PenaltyCorner3Accuracy
1073,1610612750,Reggie Slater,Reggie Slater,1073,MIN,148.0,2,1.0,5,6,6,1,11,1.0,1.0,4,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,16.666666666666668,1.0,0.5,0.6666666666666666,1.0,0.5,1.0,1.0,0.3654,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1725,1610612750,Rasho Nesterovic,Rasho Nesterovic,1725,MIN,2949.0,49,-7.0,92,97,35,13,189,7.0,13.0,96,1.0,6.0,7.0,12.0,3.0,,3.0,2.0,15.094339622641508,0.17647058823529413,0.1,0.1590909090909091,,0.125,0.6666666666666666,0.5384615384615384,0.4527923076923077,7.700000000000001,14.0,3.0,3.0,1.0,1.0,2.0,3.0,5.0,10.0,2.0,4.0,4.0,1.0,8.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,9.0,1.0,3.0,1.0,14.0,1.0,0.8,1.0,0.38461538461538464,0.5,0.38461538461538464,0.5,0.38461538461538464,0.5,0.15384615384615385,0.2857142857142857,0.3333333333333333,0.11363636363636363,0.1,0.17647058823529413,0.08333333333333333,0.3,0.17647058823529413,0.16666666666666666,0.23076923076923078,1.0,1.0,0.6666666666666666,0.2857142857142857,0.4,1.0,0.23076923076923078,0.25,1.0,0.23076923076923078,0.4627,0.3298,0.4,0.15217391304347827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1895,1610612750,William Avery,William Avery,1895,MIN,148.0,2,1.0,5,6,6,1,11,,,4,,,,,,,,,33.333333333333336,,,,,,,,0.489225,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,1.5,0.75,1.5,,,,,,,,,,,,,,,,,,,,,1.0,0.52245,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
324,1610612750,Anthony Peeler,Anthony Peeler,324,MIN,2261.0,38,-10.0,70,73,24,9,143,3.0,11.0,75,1.0,5.0,7.0,7.0,,,,,21.25,0.19230769230769232,0.125,0.17647058823529413,0.3333333333333333,0.14285714285714285,,0.1875,0.452153125,14.854545454545452,7.0,,1.0,,,,7.0,1.0,8.0,,,,1.0,,2.0,,,4.0,,4.0,,1.0,3.0,8.0,,,,2.0,,,,1.0,1.0,,1.0,4.0,,,,7.0,,,,0.09090909090909091,,0.25,,0.25,,,,,,,,,0.125,0.16666666666666666,,0.0625,,,,,,,0.4375,,,0.375,,0.1962,,0.1,3.0,,2.0,,,2.0,5.0,,,6.0,2.0,,1.0,0.4,,0.4,0.3125,0.1875,0.125,,,,,,,,23.68,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
417,1610612750,Sam Mitchell,Sam Mitchell,417,MIN,470.0,8,5.0,14,17,13,4,31,,,8,,1.0,1.0,1.0,,,,,,0.16666666666666666,,0.1,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,0.21428571428571427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
111,1610612750,LaPhonso Ellis,LaPhonso Ellis,111,MIN,619.0,10,,18,22,9,4,40,,2.0,19,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,22.727272727272727,,0.3333333333333333,0.1111111111111111,,,1.0,,0.38025,17.5,3.0,,,,,,2.0,2.0,5.0,,,1.0,1.0,4.0,,,,,,,,,,,2.0,2.0,,1.0,1.0,1.0,,1.0,2.0,,,,,,1.0,3.0,,1.0,1.0,1.0,,1.0,,0.8333333333333334,0.5,,,0.5,0.2222222222222222,0.2222222222222222,0.4,,,,,,,,,,,,1.0,,,,,0.3742,0.2,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.4,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1497,1610612750,Chauncey Billups,Chauncey Billups,1497,MIN,623.0,10,,18,21,8,4,39,2.0,5.0,19,,1.0,1.0,2.0,,,,,22.727272727272727,0.16666666666666666,,0.125,,,,0.4,0.39899999999999997,14.8,3.0,,,,,,3.0,1.0,2.0,,,,,,2.0,,,2.0,,2.0,,1.0,,4.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,3.0,,,,0.2,,0.2,,0.2,,,,,0.1111111111111111,0.1111111111111111,,0.25,,0.3333333333333333,0.25,,,,,,,,0.6,,,,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1732,1610612750,Felipe Lopez,Felipe Lopez,1732,MIN,688.0,11,3.0,22,24,11,4,46,3.0,5.0,21,,1.0,1.0,1.0,,,,,26.923076923076923,0.125,,0.1,1.0,,,0.5,0.48724166666666663,8.98,7.0,1.0,1.0,,,1.0,1.0,2.0,5.0,,,,1.0,4.0,,,,2.0,,2.0,,,2.0,4.0,,,,,,1.0,1.0,,1.0,,,,,,,7.0,,1.0,1.0,0.4,,0.3333333333333333,,0.4166666666666667,,,,1.0,,,,,,,,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,,,0.3333333333333333,,0.686525,,0.3181818181818182,1.0,,,,,,1.0,,,,,,,,,,0.16666666666666666,0.16666666666666666,,,,,,,,,23.0,,,,,,,,,,,,,,1.0,,1.0,3.0,,,1.0,1.0,3.0,1.0,0.5,0.75,,,0.16666666666666666,0.2,0.6,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1887,1610612750,Wally Szczerbiak,Wally Szczerbiak,1887,MIN,2479.0,41,-12.0,78,80,22,9,158,2.0,12.0,88,2.0,,3.0,4.0,,,,,21.59090909090909,,0.3333333333333333,0.058823529411764705,,0.4,,0.16666666666666666,0.4704,9.325,11.0,4.0,5.0,1.0,2.0,1.0,5.0,7.0,22.0,1.0,2.0,4.0,2.0,8.0,6.0,,1.0,1.0,1.0,2.0,,,1.0,5.0,1.0,1.0,,2.0,,1.0,,2.0,3.0,,,1.0,1.0,,,11.0,,0.5714285714285714,0.5714285714285714,0.5833333333333334,0.5,0.5833333333333334,0.5,0.6875,0.6666666666666666,0.08333333333333333,,0.3333333333333333,0.02702702702702703,0.024390243902439025,,0.05,,,,0.4166666666666667,0.8,1.0,0.5,0.5,0.5,1.0,0.4166666666666667,1.0,0.5,0.4166666666666667,0.5096,0.5692,0.18181818181818182,0.14102564102564102,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,,1.0,0.5,0.4,0.4,,,,8.0,2.0,1.0,8.0,1.0,,10.0,2.0,8.0,0.5,0.5,0.6666666666666666,,0.5,0.16666666666666666,0.16666666666666666,0.36363636363636365,,1.0,2.0,,,6.0,2.0,1.0,0.5,,1.0,1.0,4.0,0.2,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,
210,1610612750,Terrell Brandon,Terrell Brandon,210,MIN,2178.0,36,-8.0,69,70,21,8,139,4.0,16.0,73,,3.0,3.0,4.0,1.0,,1.0,,21.794871794871796,0.1111111111111111,,0.09090909090909091,,,,0.25,0.45373125,14.5375,11.0,2.0,2.0,,,1.0,10.0,6.0,12.0,1.0,3.0,2.0,2.0,6.0,6.0,,,4.0,,4.0,,1.0,1.0,8.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,2.0,3.0,,1.0,,11.0,,0.5,0.5,0.375,0.3333333333333333,0.375,0.3333333333333333,0.375,0.3333333333333333,,,,0.029411764705882353,0.02631578947368421,0.09090909090909091,,,0.21428571428571427,0.1,0.125,1.0,1.0,,0.25,0.25,,0.625,,,0.125,0.41665,0.5227,0.16666666666666666,0.15942028985507245,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,0.3,0.3,,,,,,1.0,2.0,,,,,2.0,0.5,0.5,0.5,,1.0,,,0.16666666666666666,2.0,1.0,1.0,,,,,0.5,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
