EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Usage,LiveBallTurnoverPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,FtPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,FTA,TwoPtShootingFoulsDrawn,SecondChanceTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG2M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,ShortMidRangeAssists,DeadBallTurnovers,Travels,PenaltyTurnovers,Fouls,Offensive Fouls,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,PenaltyPointsPct,Avg3ptShotDistance,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,FG3M,SecondChanceFG2A,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGM,AtRimAssists,FTDefRebounds,ShootingFouls,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefFTReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG3A,SelfOReb,LostBallOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,Blocked2s,BlockedShortMidRange,Blocks,SecondChanceFg2Pct,SecondChanceEfgPct,ShortMidRangePctBlocked,DefAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,SecondChanceArc3Frequency,SecondChanceAtRimFGM,PenaltyAtRimFGM,Loose Ball Fouls,BlockedLongMidRange,RecoveredBlocks,BlocksRecoveredPct,AtRimPctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,PtsPutbacks,ThreePtAssists,Arc3Assists,LostBallSteals,SecondChanceTurnovers,LongMidRangePctBlocked,FTOffRebounds,OffFTReboundPct,on,Corner3FGM,Corner3FGA,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,Corner3Assists,BadPassOutOfBoundsTurnovers,SecondChanceFg3Pct,PenaltyFg3Pct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,BlockedAtRim,OffensiveGoaltends,3SecondViolations,OffCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsUnassisted3s,HeaveAttempts,ThreePtShootingFoulsDrawn,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked
133,1610612766,David Wesley,David Wesley,133,CHH,547.0,9,-4.0,18,19,5.0,7.0,37,1.0,2.0,1.0,2.0,2.0,17,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,5.0,1.0,1.0,0.5,0.5,0.5,22.22222222222222,1.0,1.0,0.5,0.5,1.0,0.4149,21.0,0.2777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1610612766,P.J. Brown,P.J. Brown,136,CHH,1321.0,22,1.0,42,42,12.0,21.0,84,,2.0,,2.0,1.0,39,,,,,,,,,,12.0,,,,,0.16666666666666666,6.0,,1.0,,,,0.35619999999999996,18.85,0.2857142857142857,6.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,0.5,0.1,0.11764705882352941,0.2,0.13333333333333333,0.09090909090909091,0.25,0.09090909090909091,0.2,0.3333333333333333,0.35619999999999996,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,1610612766,Baron Davis,Baron Davis,1884,CHH,888.0,15,-6.0,27,26,10.0,14.0,53,1.0,2.0,3.0,6.0,6.0,30,,2.0,2.0,1.0,4.0,,,,3.0,10.0,,,0.5,0.375,0.375,29.72972972972973,,0.25,0.5,0.5,,0.52885,5.066666666666666,0.37037037037037035,7.0,,,,2.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,0.0625,,,0.05,0.2,,,,0.45818333333333333,,,,2.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,6.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,0.5,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.25,0.5,0.5,0.6666666666666666,0.25,0.3333333333333333,0.3333333333333333,0.75,0.3333333333333333,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,1610612766,Hersey Hawkins,Hersey Hawkins,765,CHH,2908.0,48,4.0,90,90,34.0,32.0,180,,1.0,2.0,4.0,12.0,86,2.0,4.0,4.0,2.0,8.0,,,,,34.0,0.5,0.5,0.5,0.4375,0.5,10.0,,0.125,,,,0.4391125,10.3,0.37777777777777777,16.0,5.0,1.0,1.0,2.0,1.0,,7.0,8.0,1.0,9.0,3.0,3.0,7.0,2.0,0.25,0.21212121212121213,0.029411764705882353,,0.175,0.023255813953488372,,,0.25,,0.4070666666666667,0.2,0.3333333333333333,0.08333333333333333,,1.0,1.0,4.0,1.0,4.0,,1.0,3.0,2.0,4.0,1.0,,,,,4.0,,3.0,,,0.2,0.5,0.25,1.0,0.125,,,0.5,0.3333333333333333,0.3333333333333333,0.625,0.25,24.75,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.25,0.25,1.0,0.16666666666666666,0.3076923076923077,0.25,1.0,1.0,0.5,0.25,0.25,1.0,1.0,0.25,0.4383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,1610612766,Derrick Coleman,Derrick Coleman,934,CHH,1671.0,28,9.0,48,49,5.0,7.0,97,1.0,3.0,4.0,10.0,12.0,47,8.0,3.0,3.0,1.0,6.0,2.0,,2.0,3.0,5.0,1.0,1.0,0.4,0.3076923076923077,0.4,29.508196721311474,0.6666666666666666,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,0.4503346153846154,9.5,0.10416666666666667,10.0,4.0,3.0,5.0,1.0,3.0,1.0,4.0,5.0,3.0,8.0,2.0,2.0,5.0,3.0,0.5,0.21052631578947367,0.1875,0.3333333333333333,0.22727272727272727,0.13043478260869565,0.2857142857142857,0.16666666666666666,0.25,,0.42245,0.2,0.25,0.4166666666666667,,3.0,,3.0,1.0,3.0,,1.0,,,3.0,3.0,1.0,1.0,,,3.0,,,,,,0.23076923076923078,0.3,0.6666666666666666,0.23076923076923078,,,0.23076923076923078,,0.5,0.46153846153846156,,24.833333333333332,1.0,3.0,4.0,,,2.0,,,,1.0,,2.0,,,,,,,,,0.125,0.3076923076923077,0.75,1.0,1.0,,,,0.3333333333333333,,0.5241,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,1610612766,Jamaal Magloire,Jamaal Magloire,2048,CHH,1102.0,18,-8.0,37,36,26.0,24.0,73,1.0,2.0,3.0,7.0,8.0,37,4.0,,,,,,,,,26.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.4,22.727272727272727,,0.2857142857142857,0.5,0.5,1.0,0.4429857142857143,8.885714285714284,0.7027027027027027,6.0,2.0,,2.0,6.0,2.0,,2.0,2.0,2.0,4.0,,,6.0,1.0,0.5,0.14285714285714285,0.1111111111111111,,0.125,0.1,,0.08333333333333333,0.25,,0.44565000000000005,0.125,0.125,0.25,2.0,3.0,3.0,,,,3.0,,8.0,2.0,,,,,,,1.0,,8.0,0.5,0.5,0.4444444444444444,,,,0.42857142857142855,0.6666666666666666,0.6666666666666666,,0.5,,0.42857142857142855,1.0,,1.0,,2.0,,,1.0,2.0,,,,,,,2.0,1.0,,,,,0.3333333333333333,,0.2857142857142857,,,,,,,1.0,,0.5673,,1.0,,,,,2.0,1.0,2.0,1.0,1.0,,0.2,,,,1.0,2.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.6666666666666666,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,1610612766,Jamal Mashburn,Jamal Mashburn,469,CHH,1576.0,26,16.0,49,49,8.0,15.0,98,1.0,6.0,3.0,9.0,10.0,37,2.0,6.0,6.0,4.0,12.0,,,,2.0,8.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.45454545454545453,23.21428571428571,,0.6666666666666666,0.16666666666666666,0.16666666666666666,,0.42172222222222217,11.222222222222221,0.16326530612244897,5.0,4.0,,,1.0,,1.0,3.0,4.0,1.0,5.0,,,4.0,2.0,,0.17647058823529413,,0.2,0.18181818181818182,0.05263157894736842,,,0.1111111111111111,,0.2958,0.18181818181818182,0.18181818181818182,,1.0,2.0,,,,,,,,4.0,,,1.0,2.0,,,,,,,,,,,,0.2222222222222222,0.5,0.5,,,,0.2222222222222222,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,0.3333333333333333,0.1111111111111111,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,0.3333333333333333,,,,,,,,,1.0,,,,1.0,0.2,0.2,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,1610612766,Eddie Robinson,Eddie Robinson,1944,CHH,1907.0,32,10.0,54,57,11.0,12.0,111,8.0,11.0,13.0,19.0,26.0,56,18.0,2.0,3.0,,7.0,2.0,1.0,1.0,2.0,11.0,0.6923076923076923,0.75,0.6842105263157895,0.6842105263157895,0.6842105263157895,30.000000000000004,1.0,0.5789473684210527,0.7272727272727273,0.8,0.875,0.43417894736842105,11.147368421052633,0.2037037037037037,12.0,,,4.0,5.0,3.0,1.0,2.0,3.0,6.0,9.0,2.0,1.0,,,0.6666666666666666,0.10526315789473684,0.15,0.16666666666666666,0.12,0.23076923076923078,0.1111111111111111,0.2857142857142857,,0.3333333333333333,0.45772,,,0.15384615384615385,4.0,6.0,2.0,,,,3.0,,6.0,8.0,,1.0,1.0,,,,1.0,,6.0,0.6,0.6,0.6,,0.05263157894736842,,0.3157894736842105,0.6666666666666666,0.6666666666666666,,0.4,,0.3157894736842105,0.23076923076923078,,3.0,1.0,2.0,,,3.0,,,,1.0,,,,,,,,,,,0.125,0.10526315789473684,0.5,0.5,,,,,1.0,,0.52505,,2.0,,1.0,,,,,,0.6666666666666666,0.6666666666666666,,0.25,,0.2,,2.0,2.0,,,,,0.5,0.6666666666666666,0.5,1.0,3.0,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.09090909090909091,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,1610612766,Otis Thorpe,Otis Thorpe,901,CHH,624.0,10,-2.0,20,20,18.0,10.0,40,,2.0,,3.0,,20,,,,,,,,,1.0,18.0,,,,,,15.384615384615383,,0.6666666666666666,,,,0.35916666666666663,16.400000000000002,0.9,5.0,,,,3.0,1.0,,,,2.0,2.0,,,,,,,0.1111111111111111,,,0.1,0.3333333333333333,,,,0.35916666666666663,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,1610612766,Elden Campbell,Elden Campbell,922,CHH,886.0,15,2.0,27,26,3.0,,53,,,1.0,2.0,5.0,27,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,2.0,3.0,1.0,1.0,0.5,0.5,0.625,18.75,0.5,,,,,0.5334,5.65,0.1111111111111111,5.0,3.0,2.0,4.0,,,1.0,2.0,3.0,,3.0,,,4.0,1.0,1.0,0.2,,0.5,0.25,,,,,,,0.3333333333333333,0.3333333333333333,0.8,1.0,1.0,,,,,,,1.0,,,,,1.0,,1.0,3.0,1.0,1.0,,,0.5,,,,0.5,1.0,1.0,,,,0.5,0.2,,1.0,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,0.2,0.5,,,,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,,0.5,1.0,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
