EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG3A,PtsAssisted2s,NonHeaveArc3FGA,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,SecondChanceArc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,FG3M,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Travels,Defensive 3 Seconds Violations,LostBallOutOfBoundsTurnovers,DefensiveGoaltends,3SecondViolations,Blocked3s,BlockedArc3,Fg3aBlocked,Clear Path Fouls,FG3APctBlocked,Arc3PctBlocked,on,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,FTOffRebounds,OffFTReboundPct
137,1610612742,Vernon Maxwell,Vernon Maxwell,137,DAL,1124.0,19,-18.0,36,36,14,24,7.0,72,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,52,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,14,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,9.30232558139535,0.08333333333333333,0.07142857142857142,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.4676,0.429,2.9,24.95,0.3888888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,23941.0,399,-26.0,736,732,219,231,95.0,1468,22.0,35.0,42.0,5.0,11.0,56.0,117.0,46.0,234.0,790,6.0,13.0,70.0,42.0,47.0,67.0,81.0,5.0,14.0,37.0,2.0,219,6.0,0.625,0.6862745098039216,0.47863247863247865,0.46319018404907975,0.5689655172413793,0.2822085889570552,25.46948356807512,0.16607773851590105,0.16857142857142857,0.15853658536585366,0.2147239263803681,0.6285714285714286,0.6666666666666666,0.45454545454545453,0.25766871165644173,0.23809523809523808,0.28205128205128205,0.49693251533742333,0.4869674846625767,0.4974089743589744,10.500000000000002,24.519565217391307,0.297554347826087,5.0,7.0,8.0,10.0,8.0,25.0,26.0,57.0,2.0,4.0,1.0,1.0,2.0,11.0,1.0,5.0,13.0,83.0,8.0,15.0,1.0,7.0,26.0,14.0,26.0,6.0,26.0,72.0,42.0,36.0,3.0,10.0,11.0,9.0,8.0,6.0,14.0,5.0,1.0,4.0,3.0,1.0,34.0,5.0,9.0,12.0,8.0,14.0,2.0,11.0,6.0,5.0,9.0,3.0,3.0,6.0,3.0,3.0,12.0,6.0,94.0,8.0,2.0,3.0,40.0,3.0,7.0,8.0,3.0,1.0,4.0,8.0,5.0,72.0,0.9230769230769231,0.2826086956521739,0.16666666666666666,0.46153846153846156,0.2826086956521739,0.5333333333333333,0.5384615384615384,0.4523809523809524,0.5897435897435898,0.5416666666666666,0.6792452830188679,0.07692307692307693,0.05714285714285714,0.24,0.017543859649122806,0.6428571428571429,0.2857142857142857,0.029900332225913623,0.1791044776119403,0.05434782608695652,0.035623409669211195,0.05,0.03773584905660377,0.008695652173913044,0.047619047619047616,0.125,0.19090909090909092,0.14285714285714285,0.22916666666666666,0.05263157894736842,0.023529411764705882,0.625,0.15337423312883436,0.32,0.42105263157894735,0.875,0.3496932515337423,0.45614035087719296,0.4642857142857143,0.6923076923076923,0.024539877300613498,0.5,0.5,1.0,0.2619047619047619,0.2619047619047619,0.9090909090909091,0.3333333333333333,0.7142857142857143,0.4,0.047619047619047616,0.2,1.0,0.2564102564102564,0.8,0.05128205128205128,0.5,0.45454545454545453,0.2619047619047619,0.49501333333333336,0.2193877551020408,0.2684563758389262,0.06382978723404255,0.1111111111111111,0.3076923076923077,,,,,,,,,,,,True,,,,
1916,1610612742,Calvin Booth,Calvin Booth,1916,DAL,6214.0,104,-28.0,192,187,76,72,25.0,379,8.0,15.0,,,,13.0,28.0,,34.0,216,,,16.0,,4.0,8.0,21.0,3.0,4.0,18.0,2.0,76,2.0,0.6153846153846154,1.0,0.4642857142857143,0.4642857142857143,0.53125,,16.0,0.06666666666666667,0.0975609756097561,0.0625,0.5357142857142857,0.5333333333333333,0.6666666666666666,0.375,,,,0.5357142857142857,0.4989321428571429,0.4684125,5.628571428571428,,0.3958333333333333,5.0,8.0,2.0,3.0,2.0,6.0,3.0,7.0,,,,,,,,,,8.0,6.0,10.0,,,12.0,3.0,8.0,,5.0,11.0,10.0,,,10.0,,3.0,1.0,,1.0,,,,,1.0,2.0,4.0,9.0,4.0,,13.0,,5.0,5.0,,1.0,,,1.0,,3.0,6.0,1.0,9.0,1.0,,,4.0,,1.0,5.0,3.0,,2.0,5.0,3.0,11.0,,,,,,0.6,0.375,0.6,0.375,0.6,0.55,0.10714285714285714,0.2,,,0.25,,0.11842105263157894,0.18181818181818182,0.13333333333333333,0.12264150943396226,0.19230769230769232,0.043478260869565216,0.1111111111111111,0.14285714285714285,,0.08333333333333333,0.05,0.13333333333333333,0.2857142857142857,,0.6,0.21428571428571427,0.3333333333333333,0.3333333333333333,1.0,0.25,0.42857142857142855,0.42857142857142855,1.0,,,,,,,,0.8,0.625,,,,,0.375,0.6666666666666666,,,,,0.5424,0.12903225806451613,0.12903225806451613,,0.35294117647058826,0.3235294117647059,1.0,2.0,,,,,,,,,,True,,,,
436,1610612742,Juwan Howard,Juwan Howard,436,DAL,20526.0,342,-10.0,625,621,179,180,84.0,1246,16.0,34.0,,,,43.0,117.0,,112.0,661,,,44.0,,33.0,50.0,75.0,5.0,12.0,32.0,3.0,179,6.0,0.5116279069767442,0.55,0.36752136752136755,0.36752136752136755,0.42105263157894735,,19.835841313269494,0.13253012048192772,0.14052287581699346,0.16455696202531644,0.2905982905982906,0.47058823529411764,0.6153846153846154,0.625,,,,0.2905982905982906,0.4535521367521367,0.40702692307692306,7.982905982905984,,0.2864,3.0,9.0,3.0,4.0,20.0,60.0,7.0,23.0,,,,,,,,,,26.0,5.0,17.0,,3.0,13.0,14.0,26.0,,9.0,37.0,42.0,,,6.0,,16.0,6.0,5.0,11.0,5.0,,4.0,2.0,,27.0,5.0,20.0,10.0,7.0,25.0,2.0,6.0,3.0,3.0,7.0,,4.0,3.0,,2.0,12.0,4.0,35.0,3.0,,,15.0,,4.0,4.0,,,4.0,4.0,2.0,37.0,,,,,,0.29411764705882354,0.5384615384615384,0.29411764705882354,0.5384615384615384,0.34210526315789475,0.5606060606060606,0.13675213675213677,0.23529411764705882,0.08333333333333333,0.13043478260869565,0.5833333333333334,0.3181818181818182,0.07547169811320754,0.17543859649122806,0.06172839506172839,0.07225433526011561,0.08,0.10112359550561797,0.04950495049504951,0.06666666666666667,,0.07954545454545454,0.15853658536585366,0.1794871794871795,0.16666666666666666,0.034482758620689655,0.5,0.5128205128205128,0.3333333333333333,0.36363636363636365,0.45,0.19658119658119658,0.30434782608695654,0.35,0.42857142857142855,,,,,,,,0.5294117647058824,0.3333333333333333,,,,,0.15384615384615385,0.75,,,,,0.5153062500000001,0.11627906976744186,0.11627906976744186,,0.11607142857142858,0.33035714285714285,,2.0,1.0,1.0,1.0,,,,,,,True,,,,
714,1610612742,Michael Finley,Michael Finley,714,DAL,22658.0,378,-25.0,699,693,198,212,88.0,1392,16.0,37.0,36.0,5.0,14.0,45.0,129.0,41.0,163.0,748,7.0,15.0,22.0,36.0,26.0,33.0,45.0,10.0,20.0,17.0,5.0,198,1.0,0.24444444444444444,0.25,0.3488372093023256,0.39705882352941174,0.44054054054054054,0.2411764705882353,25.40272614622057,0.0959409594095941,0.09580838323353294,0.13157894736842105,0.21764705882352942,0.43243243243243246,0.5333333333333333,0.3125,0.21176470588235294,0.23809523809523808,0.2916666666666667,0.4588235294117647,0.4728479411764706,0.430615625,11.097674418604651,24.90731707317073,0.2832618025751073,2.0,5.0,4.0,8.0,9.0,30.0,20.0,62.0,1.0,5.0,2.0,,1.0,14.0,3.0,6.0,15.0,28.0,4.0,14.0,3.0,4.0,21.0,13.0,33.0,6.0,20.0,64.0,68.0,30.0,15.0,2.0,14.0,9.0,29.0,8.0,37.0,8.0,,11.0,7.0,11.0,82.0,2.0,10.0,6.0,1.0,12.0,5.0,12.0,11.0,1.0,10.0,3.0,10.0,,,3.0,6.0,,36.0,5.0,,,10.0,1.0,9.0,1.0,,,1.0,2.0,,64.0,0.6666666666666666,0.36585365853658536,0.42857142857142855,0.4,0.36585365853658536,0.2857142857142857,0.3939393939393939,0.40476190476190477,0.4583333333333333,0.45652173913043476,0.5423728813559322,0.06976744186046512,0.1891891891891892,0.03333333333333333,0.016129032258064516,0.5,0.037037037037037035,0.03460207612456748,0.09523809523809523,0.023809523809523808,0.032171581769437,0.06756756756756757,0.00980392156862745,0.035398230088495575,0.02564102564102564,,0.04672897196261682,0.125,0.1111111111111111,0.05555555555555555,0.05,,0.17647058823529413,0.3,0.3103448275862069,0.4444444444444444,0.36470588235294116,0.3225806451612903,0.32786885245901637,0.1,0.029411764705882353,0.2,0.2,1.0,0.3888888888888889,0.3888888888888889,0.6428571428571429,0.23809523809523808,0.4,0.5,0.09523809523809523,0.6,0.6666666666666666,0.16666666666666666,0.5,0.020833333333333332,,0.42857142857142855,0.3888888888888889,0.46754117647058824,0.0625,0.07462686567164178,0.023809523809523808,0.12883435582822086,0.39263803680981596,,,2.0,,,1.0,1.0,,,,,True,,,,
959,1610612742,Steve Nash,Steve Nash,959,DAL,19502.0,325,-22.0,598,596,168,174,82.0,1194,10.0,21.0,37.0,4.0,16.0,25.0,58.0,37.0,122.0,650,4.0,16.0,10.0,37.0,16.0,23.0,28.0,12.0,22.0,16.0,2.0,168,1.0,0.2,0.2,0.43103448275862066,0.5157894736842106,0.5607476635514018,0.3894736842105263,18.454935622317596,0.07048458149779736,0.07692307692307693,0.027777777777777776,0.22105263157894736,0.47619047619047616,0.5555555555555556,0.2,0.3894736842105263,0.4444444444444444,0.5517241379310345,0.6105263157894737,0.49990368421052633,0.495798275862069,9.077586206896552,24.664864864864864,0.2809364548494983,,1.0,4.0,6.0,6.0,16.0,9.0,21.0,,,,,,16.0,2.0,5.0,16.0,24.0,1.0,5.0,2.0,,8.0,8.0,13.0,5.0,14.0,45.0,40.0,30.0,18.0,,16.0,6.0,46.0,13.0,59.0,11.0,2.0,20.0,13.0,13.0,131.0,3.0,2.0,6.0,1.0,5.0,1.0,4.0,3.0,1.0,10.0,6.0,4.0,6.0,1.0,7.0,4.0,1.0,27.0,1.0,,2.0,7.0,,6.0,1.0,1.0,,,1.0,,45.0,0.625,0.43243243243243246,0.5,0.3125,0.43243243243243246,0.2,0.6153846153846154,0.4444444444444444,0.5344827586206896,0.4444444444444444,0.625,0.10344827586206896,0.14285714285714285,0.125,0.047619047619047616,0.45454545454545453,0.05,0.007874015748031496,0.1016949152542373,0.0375,0.014970059880239521,,0.011494252873563218,0.01020408163265306,0.04,,0.10344827586206896,0.07352941176470588,0.12195121951219512,0.05555555555555555,0.02127659574468085,,0.16842105263157894,0.375,0.42857142857142855,0.3333333333333333,0.22105263157894736,0.42857142857142855,0.45,0.1111111111111111,,,,,0.43243243243243246,0.4444444444444444,0.625,0.1111111111111111,,,,0.5,0.5,0.20689655172413793,0.6666666666666666,,,0.3125,0.43243243243243246,0.4305083333333333,0.06930693069306931,0.109375,,0.06557377049180328,0.36885245901639346,2.0,,1.0,,,,,1.0,1.0,0.02702702702702703,0.02702702702702703,True,,,,
458,1610612742,Howard Eisley,Howard Eisley,458,DAL,7660.0,128,-20.0,237,235,77,83,25.0,472,4.0,5.0,12.0,2.0,3.0,5.0,16.0,15.0,23.0,248,2.0,4.0,4.0,12.0,7.0,8.0,9.0,8.0,11.0,12.0,2.0,77,2.0,0.4,0.4,0.3125,0.3064516129032258,0.3484848484848485,0.4838709677419355,16.417910447761194,0.07777777777777778,0.07339449541284404,0.09090909090909091,0.16129032258064516,0.8,0.8,0.25,0.3870967741935484,0.6666666666666666,0.3333333333333333,0.6451612903225806,0.5012693548387097,0.45935,10.212499999999999,24.473333333333336,0.32489451476793246,,,1.0,1.0,,6.0,1.0,5.0,,3.0,,,1.0,3.0,,1.0,3.0,4.0,,1.0,,,,1.0,5.0,1.0,4.0,9.0,6.0,6.0,3.0,,3.0,1.0,11.0,1.0,12.0,1.0,,6.0,1.0,4.0,25.0,1.0,,1.0,,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,6.0,5.0,,4.0,,,,,,2.0,1.0,,1.0,,1.0,,9.0,0.6666666666666666,0.2,,0.25,0.2,,0.2,,0.2777777777777778,,0.4090909090909091,0.0625,,0.16666666666666666,,0.2727272727272727,,,0.05263157894736842,0.03571428571428571,0.008264462809917356,,,,,0.14285714285714285,0.05555555555555555,0.09375,0.06666666666666667,,0.045454545454545456,,0.1935483870967742,,,,0.16129032258064516,0.2,0.2,1.0,0.0967741935483871,,,,0.25,0.25,0.6666666666666666,,,,,,,0.1111111111111111,1.0,0.1111111111111111,,0.3333333333333333,0.25,0.5718,,,,,0.391304347826087,1.0,,1.0,,,,,,,,,True,,,,
762,1610612742,Shawn Bradley,Shawn Bradley,762,DAL,13220.0,220,3.0,398,401,102,93,48.0,799,16.0,22.0,,,,24.0,43.0,,57.0,417,,,34.0,,34.0,41.0,61.0,8.0,10.0,35.0,1.0,102,4.0,0.7083333333333334,0.9444444444444444,0.5581395348837209,0.5581395348837209,0.59375,,12.831858407079647,0.19540229885057472,0.18269230769230768,0.23404255319148937,0.5116279069767442,0.7272727272727273,0.7272727272727273,0.6875,,,,0.5116279069767442,0.4916,0.4942571428571428,6.0,,0.2562814070351759,7.0,12.0,3.0,5.0,6.0,13.0,2.0,8.0,,,,,,,,,,9.0,10.0,18.0,,3.0,23.0,3.0,7.0,,7.0,13.0,14.0,,,12.0,,1.0,4.0,1.0,5.0,1.0,,3.0,1.0,,11.0,3.0,17.0,4.0,3.0,20.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,,,2.0,18.0,7.0,11.0,1.0,,,1.0,,5.0,25.0,22.0,,3.0,25.0,15.0,13.0,,,,,,0.5555555555555556,0.42857142857142855,0.5555555555555556,0.42857142857142855,0.575,0.5909090909090909,0.023255813953488372,,0.07692307692307693,,0.2,0.3333333333333333,0.10967741935483871,0.11764705882352941,0.06818181818181818,0.10050251256281408,0.25,0.06,0.07246376811594203,0.05,0.25,0.14925373134328357,0.21666666666666667,0.08333333333333333,0.2,0.17647058823529413,0.6,0.3023255813953488,0.46153846153846156,0.5,0.6666666666666666,0.18604651162790697,0.25,0.25,1.0,,,,,,,,0.6666666666666666,0.5833333333333334,0.2857142857142857,,,,0.7142857142857143,0.6,,,,,0.540225,0.023255813953488372,0.023255813953488372,,0.40350877192982454,0.22807017543859648,1.0,1.0,1.0,2.0,2.0,,,,,,,True,,,,
2059,1610612742,Eduardo Najera,Eduardo Najera,2059,DAL,622.0,10,8.0,24,22,15,22,4.0,46,1.0,1.0,,,,1.0,2.0,,2.0,24,,,2.0,,1.0,1.0,1.0,,,3.0,,15,2.0,1.0,1.0,0.5,0.5,0.5,,7.142857142857142,0.2,0.14285714285714285,0.5,0.5,1.0,1.0,1.0,,,,0.5,0.44225,0.44225,10.5,,0.625,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,,,2.0,,,,,,,1.0,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,0.5,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,0.5,1.0,,,,,,,,,,1.0,,,,,,,,,,,,True,,,,
95,1610612742,Mark Bryant,Mark Bryant,95,DAL,1576.0,26,2.0,47,47,22,12,7.0,94,1.0,1.0,,,,1.0,1.0,,2.0,55,,,,,,1.0,3.0,,,6.0,,22,2.0,,,1.0,1.0,1.0,,1.8181818181818181,,,,1.0,1.0,1.0,,,,,1.0,0.6177,,,,0.46808510638297873,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,2.0,,,,,,2.0,,,2.0,,,,,,,,,,,,1.0,1.0,,1.0,2.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,0.5,0.06666666666666667,,0.16666666666666666,0.09523809523809523,,0.16666666666666666,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,True,,,,
