EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ThreePtAssists,Arc3Assists,Corner3Assists,NonShootingPenaltyNonTakeFouls,LongMidRangeFGA,AtRimAssists,LongMidRangeAssists,OffTwoPtRebounds,OffRebounds,Steals,LostBallSteals,Technical Free Throw Trips,NonShootingFoulsDrawn,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,LongMidRangeFrequency,BlockedShortMidRange,RecoveredBlocks,Defensive 3 Seconds Violations,BlocksRecoveredPct,ShortMidRangeFGM,LongMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,Corner3FGM,PenaltyCorner3FGM,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,LiveBallTurnovers,LostBallTurnovers,LiveBallTurnoverPct,DefThreePtRebounds,DefThreePtReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceFtPoints,on,PtsUnassisted2s,PtsUnassisted3s,FTDefRebounds,2pt And 1 Free Throw Trips,DefFTReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,Fg2aBlocked,3SecondViolations,FG2APctBlocked,LongMidRangePctBlocked,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,OffThreePtRebounds,SelfOReb,BadPassSteals,LostBallOutOfBoundsTurnovers,Travels,Loose Ball Fouls,DefensiveGoaltends,AtRimPctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3FGA,SecondChanceFG3A,BadPassTurnovers,BlockedLongMidRange,ShortMidRangePctBlocked,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3FGA,SecondChanceArc3Frequency,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffCorner3ReboundPct
128,1610612762,David Benoit,David Benoit,128,UTA,887.0,15,-7,25,27,13,15,3.0,52,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,6.0,31,1.0,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,13,1.0,1.0,0.5,1.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.5,0.3333333333333333,32.14285714285714,0.07692307692307693,0.07142857142857142,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,1.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.8333333333333334,0.6297,0.6876000000000001,0.14285714285714285,0.2,0.6666666666666666,1.4,23.1,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,1610612762,Jacque Vaughn,Jacque Vaughn,1521,UTA,154.0,3,1,4,4,4,4,,8,,,,,,,,,,,,,7,,,,,,,,2.0,,6.0,,,,,,,,,1.0,3.0,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,1610612762,John Crotty,John Crotty,180,UTA,1103.0,18,-9,30,35,17,21,4.0,65,,2.0,,,,,,,3.0,,3.0,3.0,41,,,,3.0,3.0,,2.0,3.0,,7.0,2.0,2.0,3.0,,,,,,,3.0,,3.0,,1.0,1.0,1.0,3.0,17,,,,,,,0.25,1.0,,11.76470588235294,0.11764705882352941,0.1111111111111111,,0.6666666666666666,,,,,,,,,0.6666666666666666,0.5000333333333333,,,,1.0,7.3,,0.5666666666666667,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09090909090909091,0.07142857142857142,0.25,0.16666666666666666,0.125,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,1610612762,Karl Malone,Karl Malone,252,UTA,502.0,8,2,15,16,9,14,2.0,31,,,,,,,,,2.0,,2.0,2.0,19,,2.0,,2.0,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,2.0,,1.0,,1.0,2.0,9,,,,,,,0.3333333333333333,0.3333333333333333,,17.64705882352941,0.14285714285714285,0.14285714285714285,,,,,,,,,,,,0.38739999999999997,0.38739999999999997,,,1.0,15.15,,0.6,,,,,2.0,,,,,,,,1.0,,,,,0.5,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,1610612762,Danny Manning,Danny Manning,330,UTA,747.0,12,-11,22,24,10,13,2.0,46,,,,,1.0,,,2.0,3.0,,,4.0,28,,,,,,4.0,1.0,1.0,,2.0,,,,1.0,3.0,3.0,,1.0,2.0,6.0,2.0,,,1.0,,1.0,,10,1.0,1.0,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,26.08695652173913,,,,,,,,0.3333333333333333,,,,,,0.3685333333333333,,,,,14.333333333333334,,0.45454545454545453,,,,2.0,2.0,1.0,,,,2.0,2.0,,,,,,,,0.6666666666666666,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.3345,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,1610612762,Bryon Russell,Bryon Russell,935,UTA,542.0,9,-3,14,18,7,15,2.0,32,,,,,,1.0,1.0,,,3.0,1.0,10.0,23,,,2.0,1.0,7.0,,,1.0,,3.0,,,,,,,,,,,,2.0,,,,,7.0,7,,,,,1.5,1.5,1.25,1.1666666666666667,1.0,25.0,,,,,,,,,0.3333333333333333,,,0.5,1.0,0.51515,0.47475,,,0.7,,23.5,0.5,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,9.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2052,1610612762,DeShawn Stevenson,DeShawn Stevenson,2052,UTA,502.0,8,-4,14,15,8,4,2.0,29,1.0,1.0,1.0,1.0,,,,1.0,2.0,,,2.0,14,1.0,1.0,,,2.0,2.0,,,,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,2.0,8,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,,18.75,0.14285714285714285,0.125,,0.5,1.0,1.0,1.0,,,1.0,1.0,,0.5,0.4699,0.5449,,,1.0,9.35,,0.5714285714285714,,,,,1.0,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,1610612762,Greg Ostertag,Greg Ostertag,731,UTA,596.0,10,-7,16,18,9,6,3.0,34,,1.0,,1.0,,,,,1.0,,,,19,,1.0,,,,,1.0,1.0,,2.0,3.0,4.0,5.0,,,,,,,1.0,,2.0,1.0,1.0,1.0,1.0,,9,,,,,,,,,,10.526315789473685,0.375,0.4444444444444444,,1.0,,,,,,1.0,,,1.0,0.5786,0.5786,0.5,0.5,,,,0.5625,,,,,,1.0,,1.0,1.0,,,,,0.14285714285714285,0.1,,0.5,0.4,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,1610612762,Donyell Marshall,Donyell Marshall,923,UTA,164.0,3,-7,3,6,1,3,1.0,9,,,,,1.0,,,,1.0,1.0,2.0,2.0,10,,,,2.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,,2.0,1,,,,,,,0.3333333333333333,1.0,0.5,60.0,,,,,,,,0.5,,,,,0.5,0.377025,,,,1.0,6.4,24.9,0.3333333333333333,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,0.5,,,,,,,,,,,,,,,2.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,1610612762,John Stockton,John Stockton,304,UTA,31.0,1,-2,1,1,1,1,1.0,2,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
