EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsUnassisted3s,ShortMidRangeAssists,DefensiveGoaltends,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTOffRebounds,Blocked3s,BlockedArc3,OffFTReboundPct,SecondChanceAtRimPctAssisted,HeaveAttempts,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,BlockedLongMidRange,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,Technical Free Throw Trips,BlockedCorner3,FG3APctBlocked,Arc3PctBlocked,on
124,1610612758,Vlade Divac,Vlade Divac,124,SAC,12474.0,208,3,434,434,106.0,60.0,44,868,17.0,34.0,5.0,10.0,2.0,3.0,7.0,21.0,3.0,13.0,1.0,3.0,1.0,2.0,27.0,68,1.0,3.0,27.0,84.0,435,8.0,17.0,4.0,20.0,6.0,11.0,1.0,2.0,11.0,26.0,34.0,20.0,3.0,16.0,3.0,1.0,7.0,9.0,8.0,17.0,6.0,2.0,6.0,3.0,42.0,2.0,15.0,7.0,31.0,7.0,45.0,17.0,62.0,1.0,8.0,5.0,3.0,12.0,7.0,5.0,5.0,1.0,17.0,2.0,5.0,14.0,24,3.0,1.0,34.0,2.0,14.0,4.0,11.0,7.0,4.0,11.0,5.0,2.0,26.0,106.0,2.0,0.6296296296296297,0.8947368421052632,1.0,0.3333333333333333,0.5,0.3333333333333333,0.39705882352941174,0.47058823529411764,0.5454545454545454,0.4014084507042254,0.47058823529411764,0.5769230769230769,0.4827586206896552,0.5,0.65,0.04225352112676056,0.10294117647058823,0.17647058823529413,0.047619047619047616,21.095334685598377,0.7058823529411765,0.4666666666666667,0.18128654970760233,0.0872093023255814,0.175,0.05405405405405406,0.18009478672985782,0.08133971291866028,0.09615384615384616,0.08888888888888889,0.08,0.034482758620689655,0.125,0.08571428571428572,0.16923076923076924,0.23943661971830985,0.1875,0.125,0.027777777777777776,0.45454545454545453,0.4788732394366197,0.5,0.6071428571428571,0.7058823529411765,0.29577464788732394,0.3333333333333333,0.35,0.2857142857142857,0.18309859154929578,0.23076923076923078,0.23076923076923078,1.0,0.04225352112676056,0.3333333333333333,0.3333333333333333,1.0,0.5882352941176471,0.5,0.23076923076923078,0.6666666666666666,0.15384615384615385,0.5,0.5211267605633803,0.3333333333333333,0.47997816901408447,0.46332000000000007,0.4759038461538462,0.1686746987951807,0.175,0.23809523809523808,0.30952380952380953,5.939705882352941,24.53333333333333,0.24423963133640553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1517,1610612758,Bobby Jackson,Bobby Jackson,1517,SAC,9283.0,155,30,295,299,86.0,98.0,54,594,6.0,11.0,1.0,2.0,2.0,4.0,3.0,5.0,6.0,14.0,1.0,2.0,,1.0,15.0,30,3.0,9.0,8.0,47.0,287,2.0,4.0,,4.0,4.0,6.0,1.0,2.0,3.0,14.0,6.0,24.0,6.0,2.0,2.0,1.0,1.0,12.0,5.0,17.0,3.0,2.0,7.0,3.0,39.0,1.0,4.0,2.0,12.0,,14.0,5.0,19.0,,7.0,5.0,2.0,5.0,3.0,2.0,2.0,,7.0,,2.0,7.0,16,1.0,1.0,12.0,,4.0,2.0,,,,,,,14.0,86.0,2.0,0.2,0.21428571428571427,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5,0.6666666666666666,0.5,0.5,0.6875,0.5222222222222223,0.5,0.6363636363636364,0.23076923076923078,0.03333333333333333,,0.2,14.168937329700272,0.7142857142857143,,0.1111111111111111,0.028368794326241134,0.06060606060606061,0.043478260869565216,0.09929078014184398,0.03048780487804878,0.02564102564102564,0.0392156862745098,0.0196078431372549,0.08333333333333333,,0.18181818181818182,0.14285714285714285,0.025,0.07692307692307693,,,,0.28205128205128205,0.5454545454545454,0.5454545454545454,0.16666666666666666,0.1282051282051282,0.6,0.75,,0.358974358974359,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.05128205128205128,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.125,,0.5128205128205128,0.5,0.4839461538461538,0.45765,0.48421250000000005,0.09302325581395349,0.11764705882352941,0.0851063829787234,0.2978723404255319,9.656666666666668,23.711111111111116,0.29152542372881357,2.0,7.0,1.0,1.0,3.0,2.0,1.0,0.1794871794871795,0.2857142857142857,0.2857142857142857,0.5,0.125,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1715,1610612758,Jason Williams,Jason Williams,1715,SAC,10852.0,181,-10,382,382,105.0,43.0,34,764,5.0,12.0,,,1.0,2.0,3.0,4.0,6.0,13.0,9.0,27.0,2.0,6.0,14.0,29,11.0,30.0,7.0,68.0,369,,,,3.0,2.0,5.0,2.0,6.0,5.0,15.0,10.0,18.0,21.0,,27.0,9.0,2.0,21.0,2.0,23.0,1.0,1.0,13.0,5.0,48.0,,,5.0,11.0,,16.0,,16.0,,8.0,4.0,4.0,12.0,11.0,8.0,1.0,2.0,20.0,1.0,4.0,4.0,13,,2.0,7.0,1.0,3.0,1.0,,,,,,,15.0,105.0,3.0,0.35714285714285715,0.35714285714285715,0.6363636363636364,0.36666666666666664,0.3333333333333333,0.36666666666666664,0.4827586206896552,,0.4,0.5169491525423728,1.5,0.45454545454545453,0.5483870967741935,1.5,0.5769230769230769,0.5084745762711864,0.06896551724137931,0.16666666666666666,,19.294117647058822,0.6,,0.06832298136645963,,0.1388888888888889,,0.08121827411167512,,,,,,,0.02857142857142857,0.05,0.10606060606060606,0.11538461538461539,0.2,,,0.2033898305084746,0.4166666666666667,0.5,0.6,0.06779661016949153,0.75,0.75,,0.22033898305084745,0.46153846153846156,0.46153846153846156,0.3333333333333333,0.4576271186440678,0.3333333333333333,0.3333333333333333,0.5555555555555556,,,0.18181818181818182,0.5,0.5454545454545454,0.3333333333333333,0.711864406779661,0.3333333333333333,0.5210974576271187,0.59265,0.4764090909090909,0.04918032786885246,0.0967741935483871,0.04411764705882353,0.22058823529411764,9.648275862068965,25.293333333333333,0.27486910994764396,2.0,3.0,,,12.0,3.0,,0.05084745762711865,0.6666666666666666,0.6666666666666666,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,True
185,1610612758,Chris Webber,Chris Webber,185,SAC,20896.0,348,25,705,706,215.0,168.0,93,1411,34.0,56.0,11.0,17.0,11.0,16.0,17.0,62.0,25.0,77.0,,1.0,,1.0,76.0,195,,1.0,34.0,186.0,700,15.0,34.0,9.0,39.0,21.0,44.0,,1.0,14.0,56.0,72.0,80.0,,22.0,1.0,,5.0,20.0,5.0,25.0,4.0,1.0,12.0,5.0,55.0,4.0,29.0,6.0,41.0,11.0,58.0,34.0,92.0,14.0,9.0,4.0,5.0,15.0,6.0,16.0,9.0,3.0,31.0,2.0,8.0,14.0,29,1.0,5.0,49.0,7.0,24.0,4.0,7.0,5.0,2.0,8.0,7.0,,56.0,215.0,3.0,0.47368421052631576,0.5538461538461539,,,,,0.38974358974358975,0.4411764705882353,0.4772727272727273,0.3877551020408163,0.4411764705882353,0.4666666666666667,0.42857142857142855,0.5,0.5185185185185185,0.00510204081632653,0.02564102564102564,0.05357142857142857,0.03225806451612903,30.024213075060533,0.4838709677419355,0.34375,0.15073529411764705,0.09797297297297297,0.08695652173913043,0.06666666666666667,0.1378299120234604,0.09269662921348315,0.1566265060240964,0.14285714285714285,0.02459016393442623,0.06818181818181818,0.0625,0.13043478260869565,0.15789473684210525,0.1574074074074074,0.09433962264150944,0.0625,0.12280701754385964,0.875,0.2857142857142857,0.6071428571428571,0.6415094339622641,0.38235294117647056,0.3163265306122449,0.27419354838709675,0.2833333333333333,0.23529411764705882,0.39285714285714285,0.3246753246753247,0.3246753246753247,0.76,0.00510204081632653,,,,0.5,0.6470588235294118,0.35555555555555557,0.6875,0.022222222222222223,,0.29081632653061223,,0.4366311224489796,0.4707645161290323,0.45121555555555565,0.11267605633802817,0.11320754716981132,0.20967741935483872,0.3010752688172043,9.38051282051282,25.3,0.3049645390070922,,,,,,3.0,,,,,,,,,,,,6.0,2.0,,,,,1.0,1.0,1.0,0.05555555555555555,0.18181818181818182,,,,,,,,,,,,,,,,True
978,1610612758,Peja Stojakovic,Peja Stojakovic,978,SAC,17423.0,290,39,594,598,197.0,153.0,75,1192,22.0,33.0,4.0,7.0,8.0,10.0,6.0,22.0,14.0,41.0,6.0,22.0,3.0,12.0,42.0,96,9.0,25.0,58.0,169.0,593,6.0,16.0,10.0,25.0,16.0,31.0,4.0,13.0,31.0,75.0,36.0,48.0,21.0,8.0,21.0,6.0,9.0,3.0,,3.0,,,1.0,1.0,6.0,2.0,15.0,3.0,28.0,2.0,33.0,17.0,50.0,4.0,5.0,5.0,,8.0,2.0,9.0,6.0,2.0,17.0,3.0,7.0,8.0,16,2.0,,60.0,1.0,20.0,9.0,3.0,2.0,1.0,3.0,3.0,,75.0,197.0,6.0,0.42857142857142855,0.47368421052631576,0.7777777777777778,0.36,0.3076923076923077,0.375,0.4375,0.375,0.5161290322580645,0.45867768595041325,0.4411764705882353,0.5,0.5633333333333334,0.5681818181818182,0.635593220338983,0.2066115702479339,0.09375,0.15151515151515152,0.13636363636363635,24.0981240981241,0.47058823529411764,0.09090909090909091,0.11914893617021277,0.0635593220338983,0.05263157894736842,0.03773584905660377,0.10616438356164383,0.058823529411764705,0.1,0.058823529411764705,0.04081632653061224,0.046511627906976744,,0.10344827586206896,0.08139534883720931,0.16483516483516483,0.06976744186046512,,0.06666666666666667,1.0,0.2727272727272727,0.6666666666666666,0.7857142857142857,0.5909090909090909,0.18181818181818182,0.2727272727272727,0.3157894736842105,,0.33884297520661155,0.34146341463414637,0.35,0.35714285714285715,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.6666666666666666,0.4117647058823529,0.5714285714285714,0.22727272727272727,0.8,0.2727272727272727,0.25,0.4793388429752066,0.2857142857142857,0.4707995833333333,0.4761321428571429,0.4696465116279068,0.14893617021276595,0.17391304347826086,0.14792899408284024,0.4437869822485207,10.046875000000002,26.243999999999996,0.33164983164983164,3.0,3.0,1.0,1.0,6.0,1.0,,0.024793388429752067,1.0,1.0,1.0,0.022727272727272728,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,0.058823529411764705,1.0,1.0,,,,,,1.0,1.0,0.024390243902439025,0.038461538461538464,,,,,,,,,,,,True
2045,1610612758,Hedo Turkoglu,Hedo Turkoglu,2045,SAC,6759.0,113,13,223,217,70.0,76.0,32,440,,3.0,,,,1.0,1.0,6.0,7.0,13.0,4.0,6.0,3.0,3.0,8.0,22,6.0,11.0,10.0,44.0,225,2.0,2.0,,7.0,1.0,3.0,4.0,4.0,6.0,20.0,2.0,14.0,15.0,2.0,6.0,4.0,4.0,9.0,1.0,10.0,1.0,,6.0,3.0,21.0,2.0,3.0,3.0,14.0,,17.0,5.0,22.0,1.0,2.0,1.0,1.0,2.0,1.0,,1.0,,2.0,,1.0,8.0,15,,,10.0,,2.0,3.0,1.0,,,1.0,1.0,,20.0,70.0,2.0,0.125,0.14285714285714285,0.8333333333333334,0.5454545454545454,1.0,0.5454545454545454,0.36363636363636365,1.0,0.3333333333333333,0.5151515151515151,0.875,1.0,0.5789473684210527,0.875,1.0,0.3333333333333333,0.18181818181818182,0.6666666666666666,0.3333333333333333,15.209125475285171,1.0,,0.18421052631578946,0.03225806451612903,0.16666666666666666,0.1111111111111111,0.18085106382978725,0.04504504504504504,,0.02857142857142857,0.05714285714285714,0.1,0.125,0.22727272727272727,0.18181818181818182,0.15625,0.21428571428571427,,0.06666666666666667,1.0,0.09090909090909091,,,,0.18181818181818182,0.16666666666666666,0.25,,0.3939393939393939,0.5384615384615384,0.5384615384615384,0.14285714285714285,0.18181818181818182,0.6666666666666666,0.6666666666666666,0.75,,,0.14285714285714285,,0.42857142857142855,1.0,0.42424242424242425,0.6666666666666666,0.44662878787878785,0.38455,0.4500285714285715,0.05714285714285714,0.08333333333333333,0.1590909090909091,0.45454545454545453,13.763636363636364,24.381818181818186,0.31390134529147984,2.0,5.0,1.0,1.0,3.0,,,0.15151515151515152,0.4,0.4,1.0,0.14285714285714285,1.0,,1.0,1.0,2.0,,,0.5,0.25,,,,,,,,,,,,1.0,1.0,1.0,0.25,1.0,1.0,,,,,,True
468,1610612758,Jon Barry,Jon Barry,468,SAC,2266.0,38,17,76,74,36.0,30.0,16,150,2.0,2.0,,,1.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,3.0,5.0,7,1.0,4.0,,13.0,78,1.0,1.0,,2.0,2.0,2.0,1.0,3.0,,7.0,8.0,2.0,3.0,,3.0,1.0,,2.0,1.0,3.0,,1.0,2.0,,7.0,,2.0,,,,,2.0,2.0,,1.0,,1.0,2.0,1.0,1.0,1.0,,3.0,,2.0,1.0,6,,1.0,,,,,,,,,,,7.0,36.0,2.0,0.8,0.8,1.0,0.25,0.3333333333333333,0.25,0.7142857142857143,1.0,1.0,0.5909090909090909,1.0,0.7,0.5909090909090909,1.0,0.7,0.36363636363636365,,,,14.583333333333334,0.6666666666666666,,,0.058823529411764705,,,,0.04878048780487805,,,0.18181818181818182,,,,,,,,,,0.18181818181818182,1.0,1.0,1.0,0.36363636363636365,0.5,0.5,1.0,0.09090909090909091,1.0,1.0,,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,,,0.2,1.0,0.6,0.3333333333333333,0.5454545454545454,0.3333333333333333,0.4811409090909091,,0.49579000000000006,,,0.15384615384615385,0.5384615384615384,7.657142857142857,24.9,0.47368421052631576,,1.0,,,,,,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
57,1610612758,Doug Christie,Doug Christie,57,SAC,17355.0,289,-9,590,597,185.0,139.0,75,1187,16.0,30.0,2.0,3.0,6.0,14.0,,4.0,4.0,15.0,4.0,10.0,,2.0,20.0,49,5.0,17.0,23.0,78.0,597,2.0,3.0,4.0,11.0,8.0,21.0,,2.0,6.0,22.0,12.0,28.0,12.0,4.0,10.0,4.0,7.0,21.0,5.0,26.0,3.0,2.0,8.0,12.0,57.0,,6.0,7.0,21.0,,28.0,6.0,34.0,2.0,19.0,10.0,9.0,13.0,9.0,4.0,4.0,,17.0,1.0,8.0,17.0,30,1.0,1.0,25.0,3.0,9.0,2.0,7.0,3.0,3.0,8.0,7.0,,22.0,185.0,4.0,0.3,0.3333333333333333,0.8,0.29411764705882354,,0.29411764705882354,0.40816326530612246,0.6666666666666666,0.38095238095238093,0.4166666666666667,0.7,0.34782608695652173,0.5,0.7857142857142857,0.40384615384615385,0.25757575757575757,0.14285714285714285,0.16666666666666666,0.5,13.372093023255815,0.7647058823529411,,0.09333333333333334,0.024,0.109375,,0.09688581314878893,0.020066889632107024,0.07042253521126761,0.014084507042253521,,,,0.08928571428571429,0.038461538461538464,0.14285714285714285,0.10204081632653061,0.13333333333333333,0.0625,0.875,0.45454545454545453,0.5333333333333333,0.64,0.3125,0.06060606060606061,,,,0.22727272727272727,0.26666666666666666,0.26666666666666666,0.25,0.15151515151515152,0.4,0.4444444444444444,0.75,0.6,0.6666666666666666,0.6086956521739131,0.42857142857142855,0.08695652173913043,,0.7121212121212122,0.4,0.5391238461538461,0.5911700000000001,0.5529886363636365,0.136986301369863,0.16363636363636364,0.14102564102564102,0.28205128205128205,6.2857142857142865,25.33529411764706,0.3135593220338983,1.0,7.0,,,3.0,1.0,,0.10606060606060606,0.14285714285714285,0.14285714285714285,1.0,,,1.0,1.0,1.0,2.0,2.0,1.0,0.5,0.2,1.0,,,1.0,,,,,1.0,,0.05555555555555555,,1.0,1.0,0.2,,,1.0,3.0,1.0,0.058823529411764705,0.1,True
1444,1610612758,Lawrence Funderburke,Lawrence Funderburke,1444,SAC,211.0,4,-10,5,4,,,2,9,,1.0,,1.0,,,,,,1.0,,,,,,2,,,,,12,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,2.0,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.57142857142857,,,,0.2,,,,0.2,,0.5,,,,,,,,,,,0.5,,,,,,,,0.5,,,,,,,,1.0,,,,,,0.5,,0.45925,0.5419,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1513,1610612758,Scot Pollard,Scot Pollard,1513,SAC,6961.0,116,27,221,219,75.0,73.0,40,440,13.0,16.0,7.0,9.0,5.0,5.0,2.0,4.0,,1.0,,,,,15.0,21,,,6.0,36.0,204,7.0,10.0,2.0,16.0,7.0,8.0,,,3.0,17.0,16.0,14.0,,14.0,,,1.0,1.0,,1.0,,,,1.0,2.0,1.0,13.0,2.0,16.0,6.0,24.0,15.0,39.0,,1.0,1.0,,1.0,,2.0,1.0,,3.0,,1.0,15.0,23,2.0,2.0,11.0,2.0,4.0,3.0,4.0,,4.0,4.0,3.0,,17.0,75.0,2.0,0.5333333333333333,1.0,,,,,0.7142857142857143,0.7,0.875,0.7142857142857143,0.7,0.875,0.6923076923076923,0.6666666666666666,0.7727272727272727,,0.047619047619047616,0.0625,,10.294117647058822,0.3333333333333333,0.46153846153846156,0.17777777777777778,0.12745098039215685,0.1,0.05263157894736842,0.16363636363636364,0.11570247933884298,0.11538461538461539,0.13157894736842105,0.13157894736842105,0.09090909090909091,,0.12903225806451613,0.14814814814814814,0.25,0.06666666666666667,0.2,,0.75,0.7619047619047619,0.8125,0.8666666666666667,0.46153846153846156,0.19047619047619047,0.5,0.5,1.0,0.047619047619047616,,,,,,,,0.9,0.7777777777777778,0.625,1.0,,,0.7619047619047619,,0.5149666666666667,0.54428,0.4899875,0.17391304347826086,0.17391304347826086,0.4444444444444444,0.4722222222222222,1.8285714285714287,,0.3393665158371041,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.14285714285714285,,,,,,,,,,,,,,,,,True
