EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,SecondChanceFtPoints,Travels,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,FG3APct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Avg3ptShotDistance,Arc3FGA,PenaltyFG2M,PenaltyPoints,NonHeaveArc3FGA,ThreePtAssists,Corner3Assists,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,2pt And 1 Free Throw Trips,BlockedLongMidRange,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,Arc3Frequency,PenaltyPointsPct,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,PenaltyFG3M,PenaltyFG3A,NonHeaveArc3FGM,BadPassSteals,BadPassOutOfBoundsTurnovers,PenaltyFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,NonHeaveArc3Accuracy,PtsUnassisted3s,Arc3Assists,LongMidRangeAssists,DefCorner3ReboundPct,PenaltyFtPoints,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3FGA,HeaveAttempts,NonShootingFoulsDrawn,3SecondViolations,AtRimPctBlocked,PenaltyArc3Frequency,on,Technical Free Throw Trips,PenaltyAtRimFGM,PenaltyAtRimAccuracy,DefensiveGoaltends,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,PenaltyArc3FGM,PenaltyArc3Accuracy,OffArc3ReboundPct
1073,1610612750,Reggie Slater,Reggie Slater,1073,MIN,3082.0,51,12.0,90,92,16.0,61,16,182,3.0,8.0,1.0,3.0,2.0,3.0,7.0,1.0,6.0,16.0,1.0,13.0,86,1.0,4.0,2.0,3.0,8.0,4.0,2.0,2.0,1.0,4.0,1.0,7.0,1.0,9.0,5.0,14.0,1.0,2.0,2.0,3.0,1.0,3.0,8.0,15.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,16.0,2.0,0.6666666666666666,0.8,0.375,0.25,0.375,0.25,0.38235294117647056,0.25,0.125,0.2857142857142857,18.867924528301884,0.25,0.175,0.10526315789473684,0.1111111111111111,0.16666666666666666,0.16326530612244897,0.11363636363636363,0.09090909090909091,0.16666666666666666,0.06666666666666667,0.3333333333333333,0.18181818181818182,0.18181818181818182,0.16666666666666666,0.14285714285714285,0.16666666666666666,1.0,0.5,0.375,0.375,0.6666666666666666,0.4375,0.42857142857142855,0.6,0.6666666666666666,0.0625,0.75,0.3333333333333333,0.6666666666666666,0.5,0.4440625000000001,0.481,0.42053333333333337,0.058823529411764705,0.058823529411764705,0.15384615384615385,4.2875000000000005,0.17777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
111,1610612750,LaPhonso Ellis,LaPhonso Ellis,111,MIN,661.0,11,2.0,18,18,3.0,8,4,36,1.0,1.0,,,,1.0,1.0,2.0,3.0,4.0,1.0,7.0,19,,,1.0,,6.0,,,,,1.0,,,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,2.0,1.0,,,,,,,,3.0,,1.0,1.0,0.75,,0.75,,0.7,0.5,,,27.272727272727273,,,0.1111111111111111,,,,0.1111111111111111,,,0.3333333333333333,,,,,,1.0,,0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.5,,,,0.25,0.47782499999999994,,,0.2,0.2,0.14285714285714285,11.725,0.16666666666666666,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1497,1610612750,Chauncey Billups,Chauncey Billups,1497,MIN,228.0,4,-2.0,6,6,3.0,4,1,12,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1732,1610612750,Felipe Lopez,Felipe Lopez,1732,MIN,1359.0,23,,41,41,10.0,26,10,82,,1.0,,1.0,,,1.0,3.0,1.0,5.0,1.0,6.0,36,,2.0,3.0,1.0,2.0,,,,,2.0,,2.0,1.0,3.0,2.0,5.0,,2.0,2.0,,,,1.0,1.0,,,2.0,1.0,,,,,,,,10.0,,1.0,1.0,0.2,,0.35714285714285715,0.5,0.375,0.5,,,15.686274509803921,0.5,0.11764705882352941,0.08333333333333333,,,0.1,0.07692307692307693,0.3333333333333333,,,,,,0.25,,,,0.14285714285714285,,,,0.14285714285714285,,,,0.42857142857142855,0.3333333333333333,,,0.42857142857142855,0.4681571428571428,0.5494,0.2649,0.125,0.16666666666666666,0.5,12.080000000000002,0.24390243902439024,1.0,,,0.3333333333333333,0.3333333333333333,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,4.0,1.0,0.5,1.0,0.5,0.2857142857142857,0.2857142857142857,0.5,0.5,1.0,0.3333333333333333,1.0,1.0,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1887,1610612750,Wally Szczerbiak,Wally Szczerbiak,1887,MIN,1549.0,26,,43,45,9.0,36,6,88,,1.0,,,,1.0,1.0,6.0,5.0,8.0,3.0,13.0,51,1.0,2.0,2.0,1.0,8.0,2.0,,,,,1.0,3.0,1.0,5.0,,5.0,,,,,,2.0,,,,,3.0,2.0,1.0,1.0,1.0,,,2.0,2.0,9.0,,0.8,0.8,0.625,0.5,0.5555555555555556,0.5,0.65,0.5,,,24.489795918367346,1.0,0.17647058823529413,,0.25,,0.19047619047619047,,,,,,,,0.3,0.5,,1.0,0.1111111111111111,,,,0.1111111111111111,1.0,1.0,1.0,0.6666666666666666,,,,0.2222222222222222,0.42856666666666665,0.3604,0.3626,0.2,0.2222222222222222,0.15384615384615385,15.4125,0.20930232558139536,4.0,,,0.6666666666666666,0.6666666666666666,0.75,,,,,,1.0,,,,1.0,2.0,,1.0,5.0,,,,,0.1111111111111111,,,,,,,,24.8,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
324,1610612750,Anthony Peeler,Anthony Peeler,324,MIN,1723.0,29,12.0,49,51,6.0,35,6,100,,1.0,,,,,1.0,2.0,2.0,4.0,,13.0,50,,,,,,4.0,,,,,1.0,1.0,,2.0,,2.0,,2.0,1.0,1.0,,1.0,2.0,3.0,,,,,1.0,,,,1.0,1.0,,6.0,,,,0.5,,0.65,,0.65,,,,20.0,,0.043478260869565216,,0.16666666666666666,,0.06896551724137931,,,,,,,0.16666666666666666,,0.2,,,0.1,,,,0.1,,,,0.2,,,,0.7,0.51128,,0.5631,,,,9.525,0.12244897959183673,2.0,,,1.0,1.0,,2.0,3.0,,,3.0,6.0,,,9.0,1.0,1.0,1.0,,2.0,1.0,0.5,,0.5,0.6,0.3,0.6666666666666666,0.6666666666666666,1.0,,,,24.166666666666668,3.0,,3.0,3.0,,,,,,,,,,3.0,,1.5,1.5,,0.3,0.23076923076923078,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,True,,,,,,,,,
210,1610612750,Terrell Brandon,Terrell Brandon,210,MIN,2378.0,40,9.0,70,70,13.0,41,14,140,2.0,4.0,,,1.0,1.0,4.0,9.0,8.0,17.0,,19.0,68,,,,4.0,6.0,10.0,,1.0,,1.0,1.0,3.0,,4.0,1.0,5.0,,1.0,,,,3.0,,,,,,,,,,,,,,13.0,,0.375,0.375,0.47058823529411764,,0.5277777777777778,,0.5277777777777778,,0.058823529411764705,0.25,25.0,,0.1111111111111111,0.03125,0.16666666666666666,,0.12121212121212122,0.02857142857142857,,0.14285714285714285,,,0.3333333333333333,,,,,,0.2222222222222222,0.5,0.5,1.0,0.2222222222222222,0.25,0.3333333333333333,1.0,0.5,,,0.25,0.2777777777777778,0.47631944444444446,,0.481725,,,,11.929411764705883,0.18571428571428572,5.0,,,0.5555555555555556,0.5555555555555556,,,,,,1.0,1.0,,,,10.0,11.0,1.0,4.0,23.0,,1.0,,1.0,0.05555555555555555,,,,,,,,24.7,1.0,2.0,4.0,1.0,1.0,,3.0,2.0,1.0,1.0,2.0,,,4.0,0.5,0.5,0.5,1.0,0.05555555555555555,0.21052631578947367,,,1.0,,,1.0,1.0,,,1.0,1.0,,,,1.0,3.0,1.0,5.0,1.0,,,,,,,,,,,,,True,,,,,,,,,
417,1610612750,Sam Mitchell,Sam Mitchell,417,MIN,1533.0,26,12.0,47,47,7.0,25,10,94,,,,,,,,2.0,1.0,2.0,2.0,4.0,35,,,,,2.0,,,,,1.0,,3.0,,3.0,1.0,4.0,,1.0,1.0,,,,,1.0,,,2.0,1.0,,,,,,,,7.0,,1.0,1.0,0.5,,0.5,,0.6666666666666666,,,,5.2631578947368425,,0.13043478260869565,0.047619047619047616,,,0.10714285714285714,0.041666666666666664,,,0.1111111111111111,,0.3333333333333333,,,,,,,,,,,,,,1.0,,,,,0.37245,,,0.3333333333333333,0.3333333333333333,,18.75,0.14893617021276595,1.0,,,0.5,0.5,1.0,,,,,,,,,,2.0,2.0,1.0,,4.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,1.0,,,0.5,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,True,,,,,,,,,
1895,1610612750,William Avery,William Avery,1895,MIN,476.0,8,5.0,14,16,,16,1,30,1.0,1.0,,,,,2.0,1.0,2.0,4.0,,7.0,10,,,3.0,,,4.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,0.5,,0.5833333333333334,1.5,0.5833333333333334,1.5,,,40.0,,0.1111111111111111,,,,0.09090909090909091,,,,,,,,0.25,,,1.0,0.16666666666666666,1.0,1.0,,0.3333333333333333,,,,0.16666666666666666,,,,0.5,0.46235833333333337,0.52245,,,,0.42857142857142855,9.1,,1.0,,,1.0,1.0,,,1.0,,,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,,4.0,1.0,0.5,1.0,0.5,0.3333333333333333,0.16666666666666666,,,,,,,24.35,1.0,,,1.0,,,,,,,,,1.0,,,,,,0.16666666666666666,,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,True,,,,,,,,,
708,1610612750,Kevin Garnett,Kevin Garnett,708,MIN,2273.0,38,9.0,67,68,13.0,47,11,135,1.0,4.0,1.0,2.0,,2.0,3.0,6.0,5.0,13.0,6.0,16.0,63,1.0,3.0,2.0,3.0,8.0,2.0,2.0,1.0,,3.0,2.0,9.0,,11.0,3.0,14.0,,,,2.0,,2.0,,2.0,,,6.0,2.0,3.0,,,1.0,2.0,3.0,2.0,13.0,2.0,0.8,1.0,0.38461538461538464,0.3333333333333333,0.35714285714285715,0.3333333333333333,0.47058823529411764,0.3333333333333333,0.07692307692307693,,24.358974358974358,,0.3103448275862069,0.10714285714285714,0.3333333333333333,,0.3142857142857143,0.09375,0.2222222222222222,,0.08333333333333333,,0.25,0.5555555555555556,0.16666666666666666,0.5,,0.6666666666666666,0.2857142857142857,0.25,0.3333333333333333,,0.21428571428571427,0.6666666666666666,0.6666666666666666,1.0,0.42857142857142855,0.6666666666666666,0.5,,0.35714285714285715,0.44643076923076924,0.5069666666666667,0.3752,0.125,0.13333333333333333,0.125,11.423076923076922,0.19402985074626866,2.0,,,0.3333333333333333,0.3333333333333333,1.0,,,,,,1.0,,,,2.0,4.0,,1.0,10.0,,,,,0.07142857142857142,,,,,,,,68.0,1.0,2.0,6.0,,2.0,2.0,,,,1.0,,,,6.0,0.6666666666666666,0.5,0.6,,0.07142857142857142,0.375,,,,,1.0,,,,,,,,,,,,,1.0,,2.0,,,,,,1.0,1.0,1.0,1.0,0.25,0.25,True,,,,,,,,,
