EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,FTDefRebounds,Steals,BadPassSteals,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,DefFTReboundPct,OffLongMidRangeReboundPct,BlocksRecoveredPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,SelfOReb,LostBallTurnovers,3SecondViolations,OffShortMidRangeReboundPct,SelfORebPct,ShortMidRangePctAssisted,SecondChanceArc3FGA,SecondChanceFG3A,LostBallSteals,SecondChanceArc3Frequency,HeaveAttempts,FTOffRebounds,OffFTReboundPct,DefCorner3ReboundPct,PtsUnassisted3s,OffThreePtRebounds,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,ThreePtShootingFoulsDrawnPct,Travels,BlockedLongMidRange,BlockedShortMidRange,OffCorner3ReboundPct,on,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,Fg3aBlocked,SecondChanceFg3Pct,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,Arc3PctBlocked,OffensiveGoaltends
1563,1610612755,Kevin Ollie,Kevin Ollie,1563,PHI,7261.0,121,-25.0,233,238,140,137,25,471,2.0,6.0,1.0,1.0,1.0,2.0,1.0,8.0,7.0,13.0,10,27,13.0,33,258,2.0,2.0,3.0,7.0,5.0,13.0,8.0,18.0,14,6.0,2.0,3.0,16.0,7.0,23.0,3.0,4.0,6.0,3.0,7.0,53.0,2.0,1.0,6.0,7,2.0,9,4.0,3.0,4.0,4.0,1.0,8.0,1.0,4.0,4,12,1.0,14.0,2.0,6.0,2.0,18.0,140,6.0,0.7,0.7777777777777778,0.37037037037037035,1.0,0.38461538461538464,0.37037037037037035,1.0,0.38461538461538464,0.5,1.1666666666666667,0.5294117647058824,0.1111111111111111,0.16666666666666666,0.25,15.471698113207548,0.5,0.06896551724137931,0.024390243902439025,0.04,0.0625,0.02040816326530612,0.11764705882352941,0.06666666666666667,0.047619047619047616,0.1,0.047619047619047616,0.2222222222222222,0.3333333333333333,0.4,0.5,0.2962962962962963,0.125,0.16666666666666666,0.48148148148148145,0.5384615384615384,0.5384615384615384,0.8571428571428571,0.5,1.0,0.15384615384615385,0.5,0.2222222222222222,0.4059296296296296,0.51335,0.3919923076923077,0.1935483870967742,0.1935483870967742,0.21212121212121213,0.5454545454545454,10.548148148148151,0.6008583690987125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1908,1610612755,Jumaine Jones,Jumaine Jones,1908,PHI,3120.0,52,-17.0,102,108,68,78,7,210,2.0,2.0,,,1.0,1.0,,1.0,,4.0,2,7,4.0,14,114,,1.0,2.0,2.0,1.0,5.0,4.0,12.0,2,2.0,,,,,,,,,,,,1.0,1.0,2.0,6,1.0,7,1.0,,1.0,1.0,,2.0,,,2,5,,4.0,,1.0,1.0,12.0,68,,0.5,0.5,0.2857142857142857,,0.2,0.5,,0.5,0.5833333333333334,0.5,0.6,,,,12.389380530973453,0.5,0.06451612903225806,0.029411764705882353,0.08333333333333333,0.06976744186046512,0.024390243902439025,,0.16666666666666666,,0.07142857142857142,0.1,0.2,1.0,1.0,0.5,0.1,,,0.4,,,,,,0.125,1.0,0.5,0.428045,0.364,0.43525625,0.09090909090909091,0.125,0.14285714285714285,0.8571428571428571,10.057142857142859,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,6.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3,0.5,0.058823529411764705,1.0,0.1,1.0,1.0,1.0,0.2,0.5,0.5,1.0,0.125,1.0,0.25,0.5,0.5,25.366666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1928,1610612755,Todd MacCulloch,Todd MacCulloch,1928,PHI,1802.0,30,5.0,59,61,50,44,6,120,5.0,6.0,3.0,4.0,4.0,5.0,1.0,3.0,,,6,9,3.0,15,57,3.0,4.0,,6.0,5.0,8.0,2.0,12.0,6,6.0,6.0,1.0,1.0,,1.0,,,1.0,,,2.0,5.0,,4.0,4,5.0,9,2.0,,1.0,1.0,,3.0,,3.0,1,3,2.0,4.0,,2.0,,12.0,50,2.0,0.5,1.0,0.6666666666666666,0.75,0.625,0.6666666666666666,0.75,0.625,0.6818181818181818,0.75,0.6666666666666666,0.1111111111111111,,0.3333333333333333,20.28985507246377,0.6666666666666666,0.26666666666666666,0.23809523809523808,,0.18181818181818182,0.21739130434782608,0.5,0.5,,0.4,,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.4,0.3333333333333333,0.3333333333333333,0.5,,,,,1.0,0.75,0.625,0.8,0.6666666666666666,0.530411111111111,0.5929,0.5281374999999999,0.18181818181818182,0.18181818181818182,0.4,0.8,2.433333333333333,0.847457627118644,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.16666666666666666,0.5,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1934,1610612755,Rodney Buford,Rodney Buford,1934,PHI,1497.0,25,6.0,55,48,48,37,5,103,1.0,1.0,,,1.0,1.0,1.0,2.0,1.0,7.0,3,10,,9,45,1.0,2.0,,2.0,3.0,10.0,,9.0,4,2.0,2.0,,1.0,,1.0,,,,1.0,,2.0,1.0,2.0,,2,1.0,3,,,,1.0,,1.0,,1.0,1,3,,,,,,9.0,48,1.0,0.6666666666666666,1.0,0.3,0.5,0.3,0.375,0.3333333333333333,0.375,0.375,0.3333333333333333,0.375,,,,21.666666666666668,,,0.0625,0.25,0.09523809523809523,0.05263157894736842,,,,,0.3333333333333333,0.08333333333333333,1.0,1.0,1.0,0.16666666666666666,0.5,0.5,0.5833333333333334,0.14285714285714285,0.14285714285714285,1.0,,,0.08333333333333333,1.0,0.25,0.39235,0.4124833333333333,0.39235,,,0.2222222222222222,1.0,13.580000000000002,0.8727272727272727,,,,,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.16666666666666666,,,1.0,,,,,0.16666666666666666,0.5,0.5,1.0,,,0.16666666666666666,0.5,0.5,24.799999999999997,,,,0.2,,,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1952,1610612755,Raja Bell,Raja Bell,1952,PHI,1652.0,28,,54,61,44,46,7,115,2.0,3.0,,,2.0,3.0,,,1.0,1.0,3,4,1.0,10,63,,,,,3.0,4.0,1.0,10.0,2,4.0,,,2.0,,2.0,,,1.0,,1.0,4.0,,1.0,,1,1.0,2,1.0,,,,,1.0,,1.0,1,3,,1.0,1.0,1.0,,10.0,44,2.0,0.3333333333333333,0.3333333333333333,0.75,,0.75,0.5,,0.5625,0.5555555555555556,,0.625,,,,16.129032258064516,1.0,,,0.1111111111111111,0.045454545454545456,,,,,,,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,,,,0.1111111111111111,1.0,1.0,,,,0.375,0.6666666666666666,0.8888888888888888,0.471125,0.2364,0.45672142857142856,0.1111111111111111,0.25,,1.0,5.05,0.8148148148148148,1.0,2.0,1.0,2.0,,3.0,,2.0,1.0,5.0,1.0,4.0,3.0,2.0,,,1.0,,,,,,,1.0,0.2,0.25,0.25,0.5555555555555556,,,,0.2222222222222222,0.5,0.5,1.0,0.3333333333333333,,,,0.25,0.5,0.25,,,34.940000000000005,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
243,1610612755,Aaron McKie,Aaron McKie,243,PHI,4630.0,77,-8.0,150,147,72,68,13,297,6.0,9.0,,,2.0,4.0,3.0,5.0,3.0,12.0,12,26,10.0,49,162,2.0,2.0,,4.0,3.0,9.0,7.0,22.0,12,12.0,,2.0,10.0,,10.0,,,2.0,3.0,5.0,20.0,,1.0,10.0,11,,11,2.0,1.0,1.0,2.0,,4.0,,1.0,1,6,2.0,12.0,,4.0,2.0,22.0,72,2.0,0.5,0.5,0.46153846153846156,1.0,0.3333333333333333,0.5416666666666666,1.0,0.46875,0.5833333333333334,1.0,0.55,0.07692307692307693,0.2222222222222222,,26.900584795321638,0.5,0.17543859649122806,,0.0625,0.1506849315068493,,,0.18181818181818182,0.12903225806451613,0.26666666666666666,0.07142857142857142,0.25,0.6666666666666666,0.8571428571428571,0.5,0.1388888888888889,0.6,0.6,0.3333333333333333,0.25,0.25,1.0,,,0.25,0.5,0.5277777777777778,0.4676342857142856,0.35735,0.47912,0.1,0.13333333333333333,0.08163265306122448,0.4489795918367347,10.042307692307693,0.48,4.0,5.0,3.0,4.0,1.0,5.0,,3.0,5.0,10.0,3.0,7.0,15.0,4.0,1.0,,3.0,2.0,1.0,,,,,1.0,0.5,0.42857142857142855,0.5555555555555556,0.2777777777777778,,,,0.1388888888888889,0.8,0.8,1.0,0.1388888888888889,0.2,0.2,1.0,0.25,0.75,0.1875,,0.25,29.23,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
248,1610612755,George Lynch,George Lynch,248,PHI,1836.0,31,-16.0,59,60,45,40,7,119,1.0,1.0,,,,,,1.0,,,1,2,2.0,4,63,,,,,,,2.0,2.0,2,,,1.0,1.0,1.0,2.0,1.0,,1.0,,,5.0,2.0,2.0,5.0,8,2.0,10,,,,2.0,,2.0,,,3,5,1.0,2.0,,1.0,,2.0,45,,1.0,1.0,0.5,,,0.5,,,0.6666666666666666,,1.0,0.5,,1.0,7.692307692307692,,0.1724137931034483,0.07692307692307693,0.4,0.20588235294117646,0.06896551724137931,,,0.21428571428571427,0.15384615384615385,0.25,0.5,1.0,1.0,1.0,0.5,,,,,,,,,,,0.5,0.53975,,,0.3333333333333333,0.3333333333333333,,0.5,5.8,0.7627118644067796,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,0.07142857142857142,,,,,,,,,,,,,,,,,,2.0,0.1111111111111111,,,,,,,,,,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
727,1610612755,Eric Snow,Eric Snow,727,PHI,1277.0,21,-15.0,42,47,33,34,6,89,,,,,,,1.0,2.0,,,1,2,,2,49,,,,,,,,,2,,,1.0,,,,,,,,,,,2.0,2.0,4,,4,,,,,,,,,2,6,,,,,,,33,1.0,1.0,1.0,0.5,,,0.5,,,0.5,,,0.5,,0.5,4.0,,0.1111111111111111,,0.3333333333333333,0.16666666666666666,,,,0.125,0.125,0.3333333333333333,,,,,1.0,0.5,1.0,,,,,,,,,,0.3833,,,,,,,12.7,0.7857142857142857,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
947,1610612755,Allen Iverson,Allen Iverson,947,PHI,4684.0,78,-24.0,151,148,76,71,18,299,3.0,5.0,,,2.0,3.0,2.0,7.0,11.0,22.0,16,34,20.0,67,177,1.0,2.0,3.0,5.0,7.0,13.0,17.0,40.0,16,16.0,,2.0,4.0,1.0,5.0,,1.0,1.0,1.0,2.0,11.0,1.0,2.0,2.0,4,2.0,6,4.0,,4.0,3.0,,7.0,,4.0,1,7,,26.0,,5.0,6.0,40.0,76,,0.5,0.5,0.47058823529411764,0.5,0.5384615384615384,0.5,0.5,0.5476190476190477,0.5677966101694916,0.8333333333333334,0.6451612903225806,0.058823529411764705,0.2,,37.93103448275862,0.5714285714285714,0.03333333333333333,0.017241379310344827,0.18181818181818182,0.056338028169014086,0.02857142857142857,,,0.07407407407407407,,0.2,0.10638297872340426,0.6,0.75,0.3333333333333333,0.14893617021276595,0.2857142857142857,0.2857142857142857,0.46808510638297873,0.5,0.5238095238095238,0.5454545454545454,,,0.14285714285714285,0.6666666666666666,0.3829787234042553,0.41938191489361704,0.3847,0.4185142857142857,0.11320754716981132,0.1282051282051282,0.07462686567164178,0.5970149253731343,13.970588235294118,0.5033112582781457,,2.0,,,5.0,11.0,3.0,8.0,5.0,13.0,3.0,8.0,9.0,11.0,5.0,,5.0,5.0,3.0,,,,,0.6,0.38461538461538464,0.375,0.38461538461538464,0.2765957446808511,,,,0.0425531914893617,,,,0.23404255319148937,0.45454545454545453,0.45454545454545453,0.6,,,0.38095238095238093,0.375,0.45454545454545453,26.46153846153846,1.0,,,0.05555555555555555,0.041666666666666664,0.5,,,,,,,,,6.0,1.0,1.0,1.0,0.045454545454545456,0.08333333333333333,0.1111111111111111,0.07142857142857142,,,,,True,,,,,,,,,,,,,,,,,,,,
238,1610612755,Tyrone Hill,Tyrone Hill,238,PHI,2710.0,45,-11.0,80,89,33,44,12,169,1.0,2.0,,1.0,,,1.0,2.0,1.0,3.0,3,7,2.0,8,96,,1.0,,,1.0,4.0,2.0,4.0,6,,,,,1.0,1.0,1.0,,,,,3.0,3.0,2.0,5.0,9,3.0,12,,,,2.0,,2.0,,,3,8,2.0,4.0,,1.0,1.0,4.0,33,1.0,1.0,1.0,0.42857142857142855,,0.25,0.375,,0.2,0.4,,0.2857142857142857,,,,13.043478260869565,,0.14705882352941177,0.10714285714285714,0.2222222222222222,0.16279069767441862,0.0967741935483871,0.25,0.1,0.26666666666666666,,0.2857142857142857,0.25,0.5,0.5,1.0,0.25,0.5,0.5,0.375,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,0.375,0.4457142857142857,0.4132,0.3749,0.1111111111111111,0.125,,0.5,10.114285714285714,0.4125,,,,,,1.0,,1.0,,1.0,,1.0,,,,2.0,,,1.0,4.0,4.0,4.0,1.0,,,,,0.125,1.0,0.08333333333333333,0.25,,,,,0.125,,,,,,0.2,,,60.6,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,True,,,,,,,,,,,,,,,,,,,,
