EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,ShootingFouls,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,Usage,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,Loose Ball Fouls,Blocked3s,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceTurnovers,SelfOReb,OffensiveGoaltends,SelfORebPct,SecondChanceCorner3FGA,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,AtRimPctBlocked,DefCorner3ReboundPct,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Fg3aBlocked,BlockedArc3,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Technical Free Throw Trips,DefensiveGoaltends,Offensive Fouls,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,on,3pt And 1 Free Throw Trips,3SecondViolations
1032,1610612749,Darvin Ham,Darvin Ham,1032,MIL,1854.0,31,-9,58,60,11.0,27,8,118,2.0,2.0,2.0,2.0,1.0,5.0,64,1.0,1.0,4.0,2.0,3.0,3.0,2.0,5.0,2.0,1.0,1.0,4.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,2.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.5,4.545454545454545,0.17647058823529413,0.16666666666666666,0.14285714285714285,0.06896551724137931,0.16666666666666666,0.14285714285714285,0.2222222222222222,1.0,1.0,1.0,1.0,1.0,0.5468,0.5,0.5,0.2,0.1896551724137931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1501,1610612749,Tim Thomas,Tim Thomas,1501,MIL,14561.0,243,2,440,444,109.0,149,59,884,15.0,19.0,24.0,52.0,33.0,117.0,447,8.0,16.0,36.0,3.0,20.0,28.0,13.0,41.0,3.0,2.0,1.0,17.0,27.0,38.0,2.0,17.0,3.0,3.0,1.0,4.0,109.0,1.0,0.75,0.9,0.46153846153846156,0.5526315789473685,0.6223404255319149,0.6666666666666666,20.46783625730994,0.1092896174863388,0.046875,0.1031390134529148,0.05309734513274336,0.0196078431372549,0.14814814814814814,0.10810810810810811,0.25,0.7894736842105263,0.7894736842105263,0.6666666666666666,0.5657894736842105,0.45555131578947367,0.18681318681318682,0.2537313432835821,0.13675213675213677,0.24772727272727274,4.0,6.0,5.0,7.0,8.0,19.0,1.0,14.0,5.0,8.0,1.0,2.0,7.0,16.0,2.0,3.0,8.0,12.0,24.0,4.0,6.0,2.0,7.0,13.0,4.0,10.0,9.0,35.0,12.0,36.0,8.0,16.0,7.0,1.0,12.0,6.0,18.0,4.0,2.0,3.0,5.0,4.0,42.0,9.0,1.0,3.0,5.0,7.0,4.0,4.0,2.0,3.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,35.0,1.0,0.5,0.4,0.5,0.6666666666666666,0.5384615384615384,0.5,0.5652173913043478,0.625,0.3157894736842105,0.019230769230769232,0.05263157894736842,0.6363636363636364,0.22727272727272727,0.07142857142857142,0.05555555555555555,0.075,0.05,0.014285714285714285,0.11538461538461539,0.15384615384615385,0.07272727272727272,0.09090909090909091,1.0,0.25,0.42105263157894735,0.4444444444444444,0.875,0.18421052631578946,0.07142857142857142,0.07142857142857142,1.0,0.10526315789473684,0.625,0.625,1.0,0.21052631578947367,0.4375,0.4375,1.0,0.75,0.6666666666666666,0.25,0.30434782608695654,0.7142857142857143,0.08695652173913043,0.5,0.34782608695652173,0.375,0.4375,0.5590999999999999,0.4414065217391304,0.29914529914529914,8.124999999999998,25.195833333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1747,1610612749,Rafer Alston,Rafer Alston,1747,MIL,353.0,6,-7,11,11,7.0,11,1,22,,,,1.0,,,16,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,25.0,,,,,,,,,,,,,0.5211,,,,0.6363636363636364,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,1.0,,,2.0,,,,,,,2.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5211,,4.7,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
281,1610612749,Scott Williams,Scott Williams,281,MIL,3018.0,50,10,95,90,17.0,21,14,185,1.0,4.0,5.0,14.0,,10.0,85,,2.0,8.0,3.0,8.0,10.0,8.0,18.0,4.0,3.0,1.0,3.0,8.0,,,,,4.0,1.0,4.0,17.0,2.0,0.8,1.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.2,13.157894736842106,0.21052631578947367,0.2727272727272727,0.2,0.14814814814814814,0.2222222222222222,0.35714285714285715,0.13333333333333333,0.2857142857142857,0.25,0.25,,0.2857142857142857,0.42635000000000006,,,0.2,0.17894736842105263,1.0,4.0,1.0,3.0,3.0,4.0,1.0,6.0,,,,,,,,,,,,1.0,5.0,,2.0,4.0,,,,4.0,2.0,,2.0,,,,1.0,1.0,2.0,1.0,,,,1.0,5.0,5.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,3.0,2.0,,4.0,,,,,0.2,0.5,0.2,0.5,0.5,,,,,0.2,,0.11627906976744186,0.14285714285714285,0.23076923076923078,0.15384615384615385,,0.5,0.1111111111111111,0.2,0.5,0.2857142857142857,0.75,0.75,1.0,0.42857142857142855,0.16666666666666666,0.16666666666666666,1.0,,,,,,,,,0.8,0.25,,0.75,0.3333333333333333,,,,,,0.5267000000000001,0.4796,0.4,10.335714285714285,,,1.0,1.0,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
283,1610612749,Lindsey Hunter,Lindsey Hunter,283,MIL,17433.0,291,-3,531,533,127.0,176,74,1064,2.0,5.0,16.0,46.0,8.0,64.0,535,2.0,2.0,20.0,,24.0,29.0,2.0,31.0,14.0,2.0,12.0,8.0,24.0,11.0,,2.0,2.0,3.0,1.0,3.0,127.0,5.0,0.625,0.625,0.34782608695652173,0.2828282828282828,0.3076923076923077,0.1111111111111111,18.75,0.10810810810810811,,0.10622710622710622,0.007142857142857143,,0.13636363636363635,0.14285714285714285,0.050505050505050504,0.4,0.5,,0.5858585858585859,0.45643989898989895,0.029411764705882353,0.041666666666666664,0.03125,0.2391713747645951,,,,,3.0,13.0,11.0,28.0,,8.0,,1.0,8.0,45.0,5.0,2.0,11.0,8.0,53.0,,2.0,6.0,1.0,7.0,2.0,12.0,6.0,14.0,12.0,15.0,,45.0,8.0,6.0,20.0,14.0,34.0,11.0,3.0,7.0,5.0,8.0,82.0,2.0,,5.0,,11.0,6.0,2.0,,5.0,,13.0,2.0,,,,2.0,,2.0,,14.0,0.625,0.1509433962264151,0.16666666666666666,0.1509433962264151,,0.14285714285714285,,0.21052631578947367,0.30434782608695654,0.5353535353535354,0.13043478260869565,0.38461538461538464,0.8461538461538461,,,0.00980392156862745,0.09803921568627451,,0.023255813953488372,,,0.03076923076923077,0.1,0.6666666666666666,0.13131313131313133,0.23076923076923078,0.375,0.3333333333333333,0.2828282828282828,0.39285714285714285,0.39285714285714285,0.8181818181818182,0.08080808080808081,,,,0.45454545454545453,0.17777777777777778,0.17777777777777778,0.625,,,0.625,,,0.05263157894736842,,0.5789473684210527,0.18181818181818182,0.17777777777777778,0.4585125,0.4405947368421053,0.21875,13.641304347826084,25.866037735849055,,,,,1.0,9.0,1.0,1.0,0.2,0.09090909090909091,0.125,0.018518518518518517,,,,,,,,,,,,,,,,,,,True,,
299,1610612749,Glenn Robinson,Glenn Robinson,299,MIL,8325.0,139,-13,261,258,74.0,104,33,519,4.0,11.0,27.0,59.0,6.0,72.0,274,,2.0,38.0,1.0,14.0,19.0,7.0,26.0,3.0,2.0,1.0,7.0,11.0,8.0,,3.0,1.0,2.0,2.0,3.0,74.0,2.0,0.7037037037037037,0.7037037037037037,0.4576271186440678,0.4520547945205479,0.4675324675324675,0.16666666666666666,29.801324503311257,0.1320754716981132,0.03125,0.13636363636363635,0.05185185185185185,0.037037037037037035,0.06666666666666667,0.075,0.1506849315068493,0.36363636363636365,0.5,0.75,0.3424657534246575,0.41131449275362314,0.039473684210526314,0.04838709677419355,0.027777777777777776,0.2835249042145594,,2.0,,3.0,15.0,32.0,8.0,16.0,,,,,4.0,14.0,1.0,2.0,8.0,4.0,14.0,1.0,5.0,1.0,4.0,12.0,2.0,8.0,6.0,20.0,16.0,12.0,,12.0,4.0,8.0,14.0,2.0,16.0,1.0,1.0,8.0,2.0,4.0,34.0,6.0,,4.0,1.0,10.0,3.0,3.0,,7.0,1.0,13.0,1.0,,1.0,,,,1.0,,20.0,1.0,0.2857142857142857,0.25,0.3333333333333333,0.2,0.3333333333333333,0.16666666666666666,0.35,0.43478260869565216,0.1917808219178082,0.13559322033898305,0.125,0.7692307692307693,0.08333333333333333,,0.05825242718446602,0.15384615384615385,0.038461538461538464,0.06521739130434782,0.06451612903225806,,0.25,0.1,0.3333333333333333,0.4383561643835616,0.46875,0.5357142857142857,0.6666666666666666,0.2191780821917808,0.5,0.5333333333333333,0.75,,,,,0.1917808219178082,0.2857142857142857,0.3076923076923077,1.0,0.3333333333333333,,0.16666666666666666,0.15,,,,0.4,0.25,0.3333333333333333,0.4932666666666667,0.394971875,0.2777777777777778,9.68813559322034,34.33571428571429,1.0,1.0,,0.03333333333333333,,,2.0,,0.2727272727272727,0.3333333333333333,,,2.0,1.0,1.0,0.07142857142857142,0.0625,0.07142857142857142,,,,,,,,,,,,,True,,
998,1610612749,Mark Pope,Mark Pope,998,MIL,223.0,4,-6,6,7,3.0,7,1,13,1.0,1.0,1.0,1.0,,2.0,8,,,2.0,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,3.0,,1.0,1.0,1.0,1.0,1.0,,14.285714285714285,,,0.2,,,,,1.0,1.0,1.0,1.0,1.0,0.7953,,,,0.5,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,1.0,1.0,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,0.7953,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,True,,
208,1610612749,Sam Cassell,Sam Cassell,208,MIL,6265.0,104,-28,199,200,40.0,70,26,399,2.0,6.0,15.0,41.0,14.0,47.0,210,2.0,2.0,4.0,,7.0,12.0,2.0,14.0,,,,3.0,20.0,18.0,1.0,5.0,4.0,,,,40.0,7.0,0.13333333333333333,0.13333333333333333,0.36585365853658536,0.375,0.4519230769230769,0.3333333333333333,27.074235807860262,0.0945945945945946,,0.10891089108910891,0.018018018018018018,,0.10714285714285714,0.1111111111111111,0.13636363636363635,0.3333333333333333,0.4,,0.20454545454545456,0.4360279069767442,0.10416666666666667,0.1111111111111111,0.0425531914893617,0.20100502512562815,,,1.0,1.0,7.0,20.0,6.0,15.0,1.0,1.0,,,,2.0,,,1.0,1.0,3.0,,2.0,,2.0,5.0,,1.0,6.0,10.0,26.0,3.0,,1.0,,2.0,20.0,,20.0,,,9.0,4.0,7.0,40.0,2.0,,4.0,1.0,7.0,4.0,3.0,,3.0,1.0,10.0,1.0,3.0,,,,,,,10.0,1.0,0.3333333333333333,,0.5,,0.4,,0.3333333333333333,0.5,0.06818181818181818,0.04878048780487805,,0.7,0.08333333333333333,,0.023255813953488372,0.14814814814814814,,,0.07407407407407407,,0.05263157894736842,0.14285714285714285,,0.45454545454545453,0.35,0.35,,0.3409090909090909,0.4,0.42857142857142855,0.3333333333333333,0.022727272727272728,1.0,1.0,1.0,0.045454545454545456,,,,,,,0.16666666666666666,1.0,,,0.16666666666666666,,,0.39405,0.45099999999999996,0.2127659574468085,11.282926829268293,32.666666666666664,1.0,,,,,,2.0,,0.16666666666666666,0.16666666666666666,,,1.0,1.0,,0.3333333333333333,0.06666666666666667,0.5,1.0,1.0,,,,,,,,,,,True,,
679,1610612749,Jason Caffey,Jason Caffey,679,MIL,12094.0,202,-20,361,363,65.0,86,57,724,11.0,23.0,20.0,50.0,19.0,59.0,360,8.0,22.0,34.0,6.0,22.0,29.0,20.0,49.0,3.0,2.0,1.0,8.0,29.0,27.0,3.0,12.0,3.0,3.0,3.0,4.0,65.0,2.0,0.85,0.9444444444444444,0.4,0.4,0.47580645161290325,0.6470588235294118,15.972222222222221,0.14193548387096774,0.10714285714285714,0.13297872340425532,0.09223300970873786,0.13333333333333333,0.21739130434782608,0.13432835820895522,0.46,0.4782608695652174,0.5789473684210527,0.8181818181818182,0.46,0.45327599999999996,0.2033898305084746,0.2033898305084746,0.3728813559322034,0.18005540166204986,2.0,5.0,1.0,4.0,8.0,22.0,1.0,5.0,,,,,,,,,,,,7.0,12.0,,1.0,6.0,,,11.0,13.0,6.0,,4.0,,,5.0,9.0,2.0,11.0,1.0,1.0,4.0,5.0,,24.0,13.0,1.0,3.0,4.0,2.0,2.0,5.0,,,,7.0,1.0,7.0,1.0,,,,4.0,,13.0,,,,,0.5833333333333334,0.16666666666666666,0.5833333333333334,0.16666666666666666,0.5909090909090909,,0.1,0.045454545454545456,0.2857142857142857,0.3333333333333333,0.09090909090909091,0.08666666666666667,0.09090909090909091,0.15789473684210525,0.06666666666666667,0.057692307692307696,,0.07142857142857142,0.04,1.0,0.44,0.36363636363636365,0.38095238095238093,0.875,0.1,0.2,0.2,1.0,,,,,,,,,0.4166666666666667,0.4,,0.6666666666666666,0.25,,,,,,0.43965,0.45315,0.22033898305084745,5.497999999999999,,1.0,3.0,,0.12,,,1.0,,0.17391304347826086,0.25,,,,,1.0,,,,,,3.0,,,,,,,,,,True,,
911,1610612749,Ervin Johnson,Ervin Johnson,911,MIL,10946.0,182,23,326,333,80.0,108,46,659,12.0,20.0,16.0,29.0,7.0,39.0,319,3.0,15.0,24.0,4.0,40.0,49.0,21.0,70.0,1.0,1.0,,8.0,19.0,15.0,1.0,5.0,3.0,12.0,8.0,12.0,80.0,3.0,0.75,0.9230769230769231,0.5517241379310345,0.5517241379310345,0.5416666666666666,0.4166666666666667,10.909090909090908,0.25806451612903225,0.0851063829787234,0.22994652406417113,0.125,0.05555555555555555,0.21951219512195122,0.296875,0.6896551724137931,0.6,0.6666666666666666,0.6666666666666666,0.6896551724137931,0.4812482758620689,0.15151515151515152,0.15151515151515152,0.38461538461538464,0.24539877300613497,5.0,12.0,1.0,4.0,4.0,9.0,,,,,,,,,,,,,,6.0,15.0,,1.0,5.0,,,5.0,7.0,8.0,,6.0,,,3.0,1.0,,1.0,,,,1.0,,2.0,17.0,,3.0,6.0,3.0,2.0,3.0,,1.0,1.0,6.0,2.0,6.0,,,,4.0,8.0,,7.0,,,,,0.4,0.2,0.4,0.2,0.35,,0.10344827586206896,0.1111111111111111,0.5,0.35294117647058826,,0.14049586776859505,0.09375,0.23076923076923078,0.16666666666666666,0.04878048780487805,0.18181818181818182,0.24,0.125,0.6666666666666666,0.3103448275862069,0.4444444444444444,0.5,1.0,,,,,,,,,,,,,0.8,0.4166666666666667,,0.8,0.25,,,,,,0.5119333333333334,0.5389,0.1794871794871795,2.531034482758621,,1.0,,,,,,2.0,,0.1,,,,,,,,,,,,,0.4,,,,,,,,,True,,
