EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LostBallSteals,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,AtRimAssists,OffTwoPtRebounds,OffRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,2pt And 1 Free Throw Trips,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyPointsPct,Travels,Blocked2s,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefAtRimReboundPct,BlocksRecoveredPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,FTOffRebounds,FTDefRebounds,SelfOReb,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,OffFTReboundPct,OffAtRimReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,ShortMidRangeAssists,BadPassTurnovers,Technical Free Throw Trips,Blocked3s,BlockedArc3,AtRimPctBlocked,SecondChanceFtPoints,SecondChanceTurnovers,AtRimPctAssisted,BlockedAtRim,DefCorner3ReboundPct,on,Arc3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,NonHeaveArc3FGM,Arc3Assists,SecondChanceFg3Pct,PenaltyFg3Pct,LongMidRangePctBlocked,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,OffThreePtRebounds,OffensiveGoaltends,3SecondViolations,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsUnassisted3s,HeaveAttempts,ThreePtShootingFoulsDrawn,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,LostBallOutOfBoundsTurnovers,FG3APctBlocked,Corner3PctBlocked
133,1610612766,David Wesley,David Wesley,133,CHH,2302.0,38,-13.0,69,68,10.0,9.0,16.0,137,2.0,3.0,1.0,3.0,2.0,8.0,1.0,5.0,14.0,1.0,1.0,11.0,73.0,2.0,2.0,4.0,1.0,6.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,10.0,0.6,0.6,0.35714285714285715,1.0,0.3333333333333333,1.0,0.3235294117647059,1.0,0.06666666666666667,0.07142857142857142,0.3333333333333333,21.176470588235293,1.0,0.05,0.23076923076923078,0.12121212121212122,0.1,0.25,0.2,0.6666666666666666,0.6666666666666666,0.2,0.3333333333333333,0.5,1.0,0.5333333333333333,0.25,0.25,1.0,0.06666666666666667,0.26666666666666666,0.4493366666666666,0.3858,0.4309,0.0625,0.06666666666666667,0.36363636363636365,12.885714285714286,26.3,0.14492753623188406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1610612766,P.J. Brown,P.J. Brown,136,CHH,471.0,8,-5.0,13,13,,,3.0,26,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,1610612766,Baron Davis,Baron Davis,1884,CHH,1842.0,31,-6.0,54,52,9.0,4.0,12.0,106,1.0,2.0,,1.0,,1.0,3.0,1.0,4.0,4.0,4.0,9.0,47.0,,,,1.0,,2.0,3.0,,5.0,,5.0,,4.0,10.0,1.0,2.0,3.0,5.0,2.0,2.0,,,1.0,,,5.0,3.0,,9.0,,,0.25,,0.3125,,0.45,,0.5,,,17.1875,,0.10526315789473684,0.1,0.10344827586206896,0.125,0.125,0.25,0.5,0.5,0.125,,,,0.125,,,,0.375,0.75,0.44505,0.4785,0.4232666666666667,0.3,0.5,,7.875,25.849999999999998,0.16666666666666666,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,0.25,0.25,1.0,0.3333333333333333,0.5,0.05714285714285714,0.05405405405405406,0.08333333333333333,0.06666666666666667,0.14285714285714285,0.125,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,1610612766,Jamaal Magloire,Jamaal Magloire,2048,CHH,1117.0,19,,36,34,28.0,17.0,7.0,70,1.0,1.0,,1.0,1.0,1.0,,2.0,3.0,,1.0,5.0,34.0,,,,3.0,2.0,2.0,,,,,,,,,,1.0,1.0,3.0,,,,,1.0,,,4.0,1.0,1.0,28.0,0.5,0.5,0.6666666666666666,,0.6666666666666666,,0.5,,,,,13.953488372093023,,0.06666666666666667,,0.05,,,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,1.0,,0.3333333333333333,0.40313333333333334,,0.40313333333333334,0.25,0.25,,9.466666666666667,,0.7777777777777778,,1.0,1.0,,,,,,,2.0,,1.0,5.0,,,2.0,2.0,,1.0,,5.0,,,,0.6666666666666666,0.6666666666666666,0.5,0.15384615384615385,0.125,0.25,0.14285714285714285,,,,,,,0.3333333333333333,1.0,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,1610612766,Otis Thorpe,Otis Thorpe,901,CHH,3455.0,58,-20.0,104,104,34.0,20.0,23.0,208,2.0,3.0,,4.0,,2.0,,2.0,9.0,,,4.0,107.0,2.0,2.0,4.0,3.0,,4.0,,,,,,,,,3.0,6.0,11.0,17.0,,,,,2.0,2.0,8.0,,,,34.0,,,0.2222222222222222,1.0,0.2222222222222222,1.0,0.2222222222222222,1.0,,,,8.661417322834646,,0.15789473684210525,0.16666666666666666,0.16071428571428573,0.1875,0.1875,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4444444444444444,,,,0.2222222222222222,,,,,0.3333333333333333,0.4236222222222222,0.54465,0.35916666666666663,,,1.0,8.866666666666667,,0.3269230769230769,,,,,,,,,,,,,,,,5.0,6.0,,2.0,,,,,,,,,0.0847457627118644,0.078125,0.0625,0.03571428571428571,0.16666666666666666,,,,,,,,,,,,,,,,0.1,,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,0.16666666666666666,0.2,0.14285714285714285,1.0,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,1610612766,Jamal Mashburn,Jamal Mashburn,469,CHH,1950.0,32,-22.0,56,61,14.0,9.0,13.0,117,1.0,7.0,2.0,5.0,6.0,12.0,1.0,9.0,24.0,1.0,7.0,25.0,70.0,1.0,5.0,2.0,6.0,6.0,12.0,1.0,3.0,3.0,,3.0,,,6.0,,4.0,4.0,4.0,1.0,,2.0,1.0,4.0,2.0,4.0,9.0,3.0,1.0,14.0,0.3333333333333333,0.3333333333333333,0.375,0.2,0.36,0.2,0.43103448275862066,0.2,0.04,0.125,,47.142857142857146,0.5,0.23529411764705882,,0.13793103448275862,0.1111111111111111,,0.28,0.14285714285714285,0.25,0.2,0.4,0.4,,0.48,0.5,0.5,0.5,0.04,0.32,0.40805600000000014,0.4394,0.36295714285714287,0.10714285714285714,0.1111111111111111,0.08,10.762500000000001,27.8,0.25,1.0,,,,,,1.0,,,4.0,1.0,3.0,11.0,,2.0,,,,2.0,,11.0,,,,0.6666666666666666,0.5714285714285714,0.6111111111111112,,,,,0.5,,,,,,,,0.14285714285714285,0.44,,1.0,1.0,,2.0,2.0,0.25,1.0,,2.0,,,,,2.0,,1.0,1.0,,,,,0.4,,1.0,1.0,1.0,1.0,1.0,0.42857142857142855,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,1610612766,Elden Campbell,Elden Campbell,922,CHH,1888.0,31,-14.0,55,56,4.0,2.0,12.0,111,3.0,7.0,1.0,3.0,,4.0,,4.0,14.0,,4.0,12.0,57.0,3.0,4.0,8.0,1.0,2.0,6.0,,3.0,,,,,,,,,,7.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,,4.0,0.25,0.5,0.2857142857142857,0.75,0.2857142857142857,0.75,0.375,0.8,,0.21428571428571427,,28.35820895522388,0.6666666666666666,,,,,,0.5,0.42857142857142855,0.75,0.21428571428571427,0.3333333333333333,0.3333333333333333,,0.2857142857142857,,,,,0.5,0.4687214285714285,0.456775,0.3895,0.125,0.125,0.6666666666666666,7.064285714285714,,0.07272727272727272,,,,,,,,,,,,,,,,7.0,7.0,,1.0,,,,,,,,,0.1891891891891892,0.18421052631578946,0.25,0.10526315789473684,,,,,,,,,,,,,,,,,,,2.0,2.0,4.0,,,,,1.0,1.0,,,,0.3,,0.5,1.0,,,,,,0.42857142857142855,2.0,1.0,0.3333333333333333,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,1610612766,Eddie Robinson,Eddie Robinson,1944,CHH,2392.0,40,-9.0,71,72,15.0,11.0,14.0,143,3.0,3.0,,3.0,1.0,8.0,,4.0,14.0,,2.0,10.0,75.0,,3.0,,,6.0,2.0,,1.0,1.0,,1.0,,1.0,2.0,3.0,4.0,7.0,8.0,1.0,,,,,,1.0,2.0,1.0,,15.0,0.75,0.75,0.2857142857142857,,0.2857142857142857,,0.3333333333333333,,,0.07142857142857142,0.3333333333333333,17.647058823529413,,0.17391304347826086,0.17647058823529413,0.175,0.2,0.13333333333333333,0.21428571428571427,1.0,1.0,0.21428571428571427,,,,0.5714285714285714,0.125,0.125,1.0,,0.21428571428571427,0.4459857142857143,0.3897333333333333,,0.06666666666666667,0.06666666666666667,,12.2,,0.2112676056338028,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,0.02564102564102564,0.023809523809523808,,0.05555555555555555,0.2857142857142857,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,1.0,0.5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,1610612766,Hersey Hawkins,Hersey Hawkins,765,CHH,624.0,10,-2.0,20,20,18.0,10.0,5.0,40,,1.0,,,,1.0,,,2.0,,1.0,1.0,20.0,,1.0,,2.0,,,,1.0,1.0,,1.0,,1.0,2.0,,2.0,2.0,2.0,,,,,,1.0,2.0,2.0,1.0,,18.0,,,,,,,0.16666666666666666,,,0.5,,11.538461538461538,,0.18181818181818182,,0.18181818181818182,0.6666666666666666,,0.5,,,,,,,0.5,,,,,0.5,0.376,0.4383,0.376,0.3333333333333333,0.3333333333333333,,9.3,,0.9,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,0.16666666666666666,,,,,,,,,,,0.5,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,1610612766,Derrick Coleman,Derrick Coleman,934,CHH,198.0,3,-3.0,6,6,2.0,,2.0,12,,1.0,,,,,,,1.0,,2.0,2.0,9.0,,,2.0,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,2.0,1.0,,2.0,,,,,,,0.5,1.0,,1.0,,25.0,,,,,,,1.0,,,,,,,,,,,,1.0,0.4383,,,0.5,0.5,1.0,,,0.3333333333333333,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,0.3333333333333333,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,1.0,2.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
