EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,BadPassOutOfBoundsTurnovers,RecoveredBlocks,SecondChanceFg3Pct,AtRimPctBlocked,DefAtRimReboundPct,BlocksRecoveredPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,OffCorner3ReboundPct,PenaltyArc3Accuracy,PenaltyCorner3FGM,PtsUnassisted3s,Corner3Assists,FTOffRebounds,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,OffFTReboundPct,OffLongMidRangeReboundPct,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,LostBallOutOfBoundsTurnovers,BlockedAtRim,DefCorner3ReboundPct,on,OffAtRimReboundPct,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffensiveGoaltends
147,1610612754,Jalen Rose,Jalen Rose,147,IND,9880.0,165,-29,300,295,88.0,71.0,40.0,595,4.0,5.0,2.0,3.0,1.0,2.0,11.0,35.0,10.0,23.0,3.0,6.0,1.0,2.0,10.0,2.0,4.0,25.0,63.0,5.0,16.0,7.0,72.0,322,4.0,9.0,3.0,1.0,9.0,7.0,18.0,4.0,4.0,18.0,32.0,18.0,15.0,4.0,10.0,2.0,4.0,9.0,2.0,11.0,2.0,3.0,3.0,3.0,24.0,1.0,2.0,2.0,11.0,2.0,15.0,3.0,18.0,3.0,6.0,4.0,2.0,4.0,2.0,5.0,2.0,2.0,9.0,1.0,3.0,4.0,18.0,2.0,3.0,7.0,1.0,2.0,2.0,1.0,1.0,1.0,18.0,88.0,3.0,0.64,0.6956521739130435,1.0,0.3125,0.3125,0.3968253968253968,0.4444444444444444,0.3888888888888889,0.41139240506329117,0.3333333333333333,0.3181818181818182,0.43902439024390244,0.375,0.375,0.20253164556962025,0.06349206349206349,0.08571428571428572,0.043478260869565216,26.300578034682083,0.4444444444444444,0.2,0.08943089430894309,0.016,0.08333333333333333,0.023809523809523808,0.08843537414965986,0.017964071856287425,0.03125,0.034482758620689655,0.13725490196078433,0.07407407407407407,0.125,0.06666666666666667,0.06329113924050633,0.8,0.8,0.5,0.4430379746835443,0.3142857142857143,0.34375,0.45454545454545453,0.2911392405063291,0.43478260869565216,0.45454545454545453,0.9,0.0759493670886076,0.5,0.5,1.0,0.12658227848101267,0.2,0.2,1.0,0.25,0.6666666666666666,0.5,0.08333333333333333,0.16666666666666666,0.09090909090909091,0.5,0.18181818181818182,0.26582278481012656,0.2,0.42185000000000006,0.4492928571428572,0.3873840909090909,0.025,0.03125,0.125,0.25,11.46984126984127,25.7625,0.29333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1506,1610612754,Austin Croshere,Austin Croshere,1506,IND,6677.0,111,-16,203,198,80.0,60.0,31.0,401,7.0,9.0,3.0,3.0,1.0,2.0,1.0,4.0,2.0,7.0,,4.0,1.0,1.0,4.0,2.0,3.0,10.0,20.0,1.0,8.0,12.0,35.0,212,3.0,3.0,3.0,1.0,10.0,2.0,4.0,5.0,5.0,9.0,10.0,10.0,3.0,2.0,4.0,1.0,2.0,5.0,,5.0,,3.0,2.0,,10.0,3.0,1.0,,9.0,3.0,12.0,4.0,16.0,,3.0,2.0,1.0,6.0,4.0,2.0,2.0,,8.0,3.0,5.0,6.0,15.0,3.0,1.0,14.0,2.0,5.0,3.0,2.0,2.0,2.0,9.0,80.0,3.0,0.5,0.5555555555555556,1.0,0.125,0.125,0.5,1.0,0.5,0.4107142857142857,0.75,0.2222222222222222,0.5147058823529411,0.8333333333333334,0.375,0.2857142857142857,0.1,,,17.647058823529413,0.75,0.5,0.10588235294117647,0.012658227848101266,,0.09090909090909091,0.08737864077669903,0.03571428571428571,0.025,0.13043478260869565,0.06060606060606061,0.125,,,0.32142857142857145,0.7777777777777778,1.0,0.42857142857142855,0.14285714285714285,0.25,0.25,,0.25,0.2857142857142857,0.2857142857142857,1.0,0.14285714285714285,,,,0.14285714285714285,0.25,0.25,1.0,0.5,1.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.5,0.3333333333333333,0.6071428571428571,0.25,0.46465535714285705,0.524,0.4479222222222222,0.16129032258064516,0.21739130434782608,0.2857142857142857,0.2571428571428571,8.385,24.7125,0.39408866995073893,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2222222222222222,0.16666666666666666,0.5,0.5,1.0,0.2222222222222222,,,,,,,,,,,,,,,,,,,True,,,,,,
1733,1610612754,Al Harrington,Al Harrington,1733,IND,1550.0,26,-25,46,45,20.0,11.0,7.0,91,1.0,2.0,,,,,1.0,4.0,,1.0,,,,,,,,2.0,7.0,,,,4.0,65,,,,,,1.0,2.0,,,2.0,,4.0,,,,,2.0,1.0,,1.0,,1.0,,,2.0,1.0,1.0,,,,,2.0,2.0,,,,,,,1.0,,,1.0,,1.0,1.0,6.0,1.0,1.0,,,,,,,,2.0,20.0,2.0,,,,,,0.2857142857142857,,0.5,0.2857142857142857,,0.5,0.2857142857142857,,0.5,,0.2857142857142857,0.25,,14.814814814814813,,,,0.05263157894736842,,0.14285714285714285,,0.07692307692307693,0.07142857142857142,0.16666666666666666,,,,,0.2857142857142857,0.5,1.0,,0.5714285714285714,0.25,0.3333333333333333,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,0.2857142857142857,,0.3529857142857143,,0.3523,,,,0.5,9.857142857142858,,0.43478260869565216,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
365,1610612754,Derrick McKey,Derrick McKey,365,IND,1499.0,25,-1,48,48,33.0,26.0,7.0,96,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,6.0,46,,,,,,,1.0,1.0,1.0,4.0,2.0,,3.0,,1.0,1.0,,3.0,,3.0,,3.0,,,6.0,2.0,,,1.0,1.0,2.0,2.0,4.0,,1.0,,1.0,,,1.0,,,1.0,,,1.0,4.0,1.0,1.0,2.0,,,1.0,,,,4.0,33.0,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,0.625,,0.75,0.6,,0.6666666666666666,0.25,,,,10.909090909090908,,0.2,0.045454545454545456,,,0.13333333333333333,0.037037037037037035,0.07142857142857142,,,,0.09090909090909091,,,0.25,1.0,1.0,1.0,0.25,,,,0.25,,,,,,,,0.25,1.0,1.0,1.0,,,,,,,,0.5,0.5,1.0,0.47350000000000003,,0.41915,,,,0.6666666666666666,7.266666666666666,25.3,0.6875,,,,,,,,,,,,,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,True,,,,,,
397,1610612754,Reggie Miller,Reggie Miller,397,IND,9093.0,152,-14,278,270,81.0,64.0,37.0,548,7.0,8.0,2.0,2.0,1.0,2.0,4.0,7.0,9.0,26.0,2.0,8.0,,12.0,25.0,2.0,11.0,20.0,41.0,14.0,33.0,21.0,103.0,296,3.0,6.0,2.0,2.0,8.0,5.0,8.0,13.0,9.0,34.0,28.0,12.0,36.0,4.0,25.0,12.0,,6.0,3.0,9.0,2.0,3.0,,3.0,21.0,2.0,4.0,2.0,9.0,,11.0,7.0,18.0,2.0,2.0,2.0,,7.0,2.0,2.0,5.0,1.0,9.0,,1.0,,3.0,,1.0,23.0,1.0,6.0,3.0,,,,34.0,81.0,1.0,0.7,0.7777777777777778,0.8571428571428571,0.42424242424242425,0.42424242424242425,0.4878048780487805,0.5,0.625,0.5540540540540541,0.375,0.5952380952380952,0.6024096385542169,0.4444444444444444,0.68,0.44594594594594594,,,,28.660436137071652,0.7777777777777778,,0.07758620689655173,0.035398230088495575,0.1,0.05,0.08088235294117647,0.0392156862745098,0.03389830508474576,0.07142857142857142,0.0425531914893617,0.11764705882352941,0.14285714285714285,0.05,0.10810810810810811,0.875,0.875,0.7142857142857143,0.0945945945945946,0.5714285714285714,0.5714285714285714,1.0,0.35135135135135137,0.34615384615384615,0.34615384615384615,0.5555555555555556,0.10810810810810811,0.25,0.25,0.5,0.33783783783783783,0.48,0.48,0.9166666666666666,0.25,1.0,,,0.25,0.09523809523809523,0.5,0.5238095238095238,0.5540540540540541,0.48,0.46830405405405406,0.4531083333333334,0.4269380952380952,0.0875,0.13043478260869565,0.07766990291262135,0.3300970873786408,12.914634146341463,25.624242424242425,0.29136690647482016,2.0,,,,,,,0.05555555555555555,,,,0.09523809523809523,4.0,5.0,0.38461538461538464,,0.36363636363636365,1.0,6.0,1.0,1.0,3.0,1.0,0.25,0.043478260869565216,0.5,0.029411764705882353,,,,True,,,,,,
979,1610612754,Jermaine O'Neal,Jermaine O'Neal,979,IND,8002.0,133,-29,238,240,51.0,45.0,30.0,478,6.0,8.0,2.0,3.0,2.0,4.0,5.0,16.0,1.0,7.0,,,,,1.0,,,12.0,31.0,,1.0,4.0,28.0,261,2.0,4.0,,3.0,7.0,2.0,6.0,,2.0,6.0,10.0,14.0,,4.0,1.0,,4.0,4.0,2.0,6.0,1.0,2.0,,2.0,14.0,2.0,7.0,6.0,26.0,2.0,34.0,9.0,43.0,,,,,3.0,2.0,3.0,1.0,,6.0,1.0,1.0,8.0,12.0,1.0,1.0,8.0,,1.0,3.0,9.0,3.0,9.0,6.0,51.0,,0.4166666666666667,0.5,,,,0.3870967741935484,0.5,0.3333333333333333,0.375,0.5,0.3333333333333333,0.3888888888888889,0.5833333333333334,0.42857142857142855,0.03125,0.12903225806451613,0.1875,,15.32846715328467,0.5,0.2857142857142857,0.2708333333333333,0.07,0.3,0.06666666666666667,0.27586206896551724,0.06923076923076923,0.061224489795918366,0.09523809523809523,0.27906976744186046,0.275,0.14285714285714285,,0.25,0.75,0.8571428571428571,0.5,0.5,0.3125,0.38461538461538464,0.4,0.21875,0.14285714285714285,0.14285714285714285,,,,,,0.03125,,,,0.75,0.6666666666666666,,,,0.6666666666666666,0.5,,0.28125,,0.4304421875,0.4897666666666667,0.48313333333333336,0.030303030303030304,0.03125,0.25,0.21428571428571427,8.274193548387094,26.1,0.21428571428571427,,,,,4.0,,0.125,0.23076923076923078,0.4444444444444444,,,,,,,,,,,1.0,,,,,0.0975609756097561,,,1.0,6.0,0.6666666666666666,True,,,,,,
696,1610612754,Travis Best,Travis Best,696,IND,8293.0,138,-15,246,240,58.0,40.0,33.0,486,5.0,7.0,,,1.0,3.0,2.0,12.0,7.0,11.0,,,,,1.0,,,14.0,30.0,,1.0,4.0,32.0,256,1.0,2.0,,2.0,4.0,3.0,11.0,,2.0,8.0,10.0,18.0,,2.0,1.0,,,18.0,13.0,31.0,11.0,2.0,6.0,10.0,75.0,1.0,5.0,5.0,7.0,,12.0,6.0,18.0,1.0,4.0,1.0,3.0,4.0,3.0,1.0,1.0,,5.0,,2.0,5.0,14.0,2.0,1.0,4.0,,,2.0,,,,8.0,58.0,4.0,0.35714285714285715,0.38461538461538464,,,,0.4666666666666667,0.5,0.2727272727272727,0.45161290322580644,0.5,0.2727272727272727,0.48484848484848486,0.6666666666666666,0.3333333333333333,0.03225806451612903,,,,13.42756183745583,0.8,,0.0707070707070707,0.045454545454545456,0.22727272727272727,0.03125,0.09917355371900827,0.04225352112676056,0.05357142857142857,0.045454545454545456,0.06976744186046512,0.07142857142857142,0.2,0.058823529411764705,0.22580645161290322,0.7142857142857143,0.7142857142857143,0.2,0.3870967741935484,0.16666666666666666,0.16666666666666666,0.5,0.3548387096774194,0.6363636363636364,0.6363636363636364,0.42857142857142855,,,,,0.03225806451612903,,,,,,,,,0.2727272727272727,0.3333333333333333,,0.25806451612903225,,0.4379596774193549,0.34950000000000003,0.43116363636363636,,,0.125,0.25,10.036666666666665,28.4,0.23577235772357724,,,,,,,,0.07142857142857142,,,,,,,,,,,,2.0,,,,,0.045454545454545456,,,,,0.2857142857142857,True,,,,,,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,2296.0,38,4,70,70,20.0,23.0,6.0,140,3.0,4.0,1.0,1.0,,,,1.0,,2.0,,,,,,,,3.0,7.0,,,,6.0,74,1.0,1.0,,,2.0,,2.0,,,,4.0,2.0,,2.0,,,1.0,1.0,,1.0,,,1.0,,2.0,,2.0,,3.0,1.0,4.0,2.0,6.0,,,,,,,2.0,,,2.0,,,3.0,6.0,1.0,1.0,,,,,2.0,1.0,2.0,,20.0,1.0,0.6666666666666666,1.0,,,,0.42857142857142855,1.0,,0.42857142857142855,1.0,,0.42857142857142855,1.0,,,0.14285714285714285,,,11.842105263157894,,0.5,0.08571428571428572,0.07407407407407407,,,0.07317073170731707,0.058823529411764705,0.08333333333333333,,,0.15789473684210525,,,0.5714285714285714,0.75,1.0,0.6666666666666666,0.14285714285714285,,,,0.2857142857142857,,,,,,,,,,,,1.0,1.0,,,,,,,0.5714285714285714,,0.4621571428571429,0.6338,0.35405,,,0.3333333333333333,,6.242857142857143,,0.2857142857142857,,,,1.0,2.0,,0.25,,1.0,,,,,,,,,,,,,,,,0.07142857142857142,,,,1.0,,True,,,,,,
721,1610612754,Tyus Edney,Tyus Edney,721,IND,398.0,7,-2,15,15,7.0,7.0,1.0,30,1.0,2.0,,,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,4.0,,,,2.0,15,,,,,,1.0,3.0,,,2.0,2.0,,,,,,,3.0,,3.0,,1.0,,2.0,6.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,2.0,7.0,1.0,1.0,1.0,,,,0.25,,0.3333333333333333,0.25,,0.3333333333333333,0.25,,0.3333333333333333,,,,,23.52941176470588,,,,,,,,,,,,,,,0.5,0.5,0.5,1.0,0.25,,,,0.25,,,,,,,,,,,,,,,,,0.3333333333333333,1.0,,0.5,,0.5036,,0.4970666666666667,,,,1.0,7.15,,0.4666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
64,1610612754,Sam Perkins,Sam Perkins,64,IND,1178.0,20,-15,39,37,,6.0,5.0,76,,,,,,,,3.0,1.0,1.0,,,,1.0,4.0,,,1.0,4.0,1.0,4.0,,5.0,46,,1.0,,,,,,,,,2.0,,3.0,,4.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,4.0,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,1.0,1.0,1.0,0.25,0.25,0.25,,,0.3125,,,0.3125,,,0.5,,,,17.77777777777778,,0.25,0.07692307692307693,0.047619047619047616,1.0,,0.14285714285714285,0.041666666666666664,,,,0.25,1.0,,,,,,0.375,,,,0.125,1.0,1.0,1.0,,,,,0.5,0.25,0.25,1.0,,,,,,,,,0.5,0.25,0.41331875,0.4083,,,,,,13.350000000000001,27.875,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,,,,,,True,,,,,,
