EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,LostBallTurnovers,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,PenaltyFtPoints,PtsPutbacks,FTOffRebounds,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,SecondChanceFg2Pct,OffFTReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SelfOReb,Travels,2pt And 1 Free Throw Trips,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceArc3FGA,Corner3Assists,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,OffLongMidRangeReboundPct,SecondChanceArc3Frequency,ThreePtShootingFoulsDrawnPct,PenaltyArc3FGA,SecondChanceFtPoints,SecondChanceTurnovers,Offensive Fouls,BlockedShortMidRange,PenaltyArc3Frequency,FTDefRebounds,DefFTReboundPct,on,DefensiveGoaltends,SecondChanceArc3FGM,PenaltyArc3FGM,HeaveAttempts,Technical Free Throw Trips,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,OffCorner3ReboundPct,LongMidRangePctBlocked,3SecondViolations,SecondChanceCorner3PctAssisted
145,1610612761,Tracy Murray,Tracy Murray,145,TOR,161.0,3,-4.0,8,9,8,8,17,1.0,1.0,1.0,1.0,2.0,9,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,1.0,1.0,1.0,1.0,1.0,0.3925,0.3925,1.0,18.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1565,1610612761,Michael Stewart,Michael Stewart,1565,TOR,149.0,2,-2.0,8,8,8,8,16,,,,,,7,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
2050,1610612761,Morris Peterson,Morris Peterson,2050,TOR,6528.0,109,11.0,203,202,34,68,405,10.0,19.0,14.0,26.0,43.0,210,2.0,4.0,7.0,16.0,6.0,3.0,2.0,2.0,6.0,1.0,5.0,10.0,7.0,34,0.5714285714285714,0.5714285714285714,0.5384615384615384,0.5,0.5714285714285714,0.5833333333333334,0.581081081081081,0.5833333333333334,18.695652173913047,0.3333333333333333,0.5428571428571428,0.5263157894736842,0.5263157894736842,0.6,0.46539428571428565,0.43321666666666664,0.16279069767441862,13.634615384615385,0.16748768472906403,24.0,4.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,6.0,4.0,9.0,3.0,1.0,1.0,3.0,1.0,2.0,12.0,9.0,3.0,6.0,2.0,2.0,13.0,2.0,15.0,2.0,4.0,2.0,7.0,32.0,1.0,1.0,2.0,8.0,10.0,2.0,12.0,3.0,2.0,4.0,2.0,1.0,4.0,2.0,3.0,0.75,0.4444444444444444,1.0,0.5,0.4444444444444444,1.5,1.5,0.2571428571428571,0.07692307692307693,0.2,0.5,0.10810810810810811,0.012987012987012988,0.1111111111111111,0.058823529411764705,0.10869565217391304,0.02127659574468085,0.047619047619047616,0.06666666666666667,0.26666666666666666,0.09090909090909091,0.14285714285714285,0.14285714285714285,0.8,1.0,0.5,0.05714285714285714,0.08571428571428572,0.6666666666666666,0.6666666666666666,0.5,0.17142857142857143,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.5,0.4,0.3333333333333333,0.56835,0.05405405405405406,0.07142857142857142,0.06976744186046512,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
209,1610612761,Dell Curry,Dell Curry,209,TOR,385.0,6,1.0,16,18,16,16,34,,1.0,,1.0,,13,,1.0,,,2.0,,2.0,1.0,3.0,3.0,1.0,1.0,,16,,,,,,,,,22.22222222222222,0.6666666666666666,1.0,,,,0.3584,0.3584,,16.3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,1.0,,1.0,4.0,,,1.0,,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.3333333333333333,,0.2,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
966,1610612761,Jerome Williams,Jerome Williams,966,TOR,2268.0,38,17.0,68,71,25,35,139,,1.0,6.0,12.0,16.0,69,3.0,5.0,7.0,8.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,7.0,25,0.6666666666666666,0.8,0.5,0.6,0.5,0.6,0.5333333333333333,0.5833333333333334,20.253164556962023,1.0,0.08333333333333333,,,,0.46455,0.5238400000000001,0.4375,3.5083333333333333,0.36764705882352944,10.0,5.0,8.0,3.0,,,,,,,,,,,4.0,,,4.0,,,4.0,,,,,3.0,,,,,,,,,1.0,1.0,1.0,3.0,4.0,3.0,7.0,1.0,,,,,6.0,2.0,,,,,,,0.6666666666666666,0.6666666666666666,,0.25,0.375,,0.13043478260869565,0.045454545454545456,0.125,0.125,0.12903225806451613,0.06666666666666667,0.14285714285714285,0.14285714285714285,,,0.3333333333333333,0.6666666666666666,0.625,1.0,0.6,0.25,,,,,,,,,,,,,0.6666666666666666,,0.43983333333333335,0.14285714285714285,0.14285714285714285,0.25,,1.0,2.0,2.0,3.0,5.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.125,0.2,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1721,1610612761,Keon Clark,Keon Clark,1721,TOR,800.0,13,-5.0,24,24,12,20,48,,1.0,3.0,6.0,9.0,32,2.0,5.0,5.0,,,,,,1.0,,2.0,2.0,5.0,12,,,0.5,0.4,0.5,0.4,0.6428571428571429,0.5,28.57142857142857,,0.16666666666666666,,,,0.43723333333333336,0.4239,0.5555555555555556,7.316666666666667,0.5,4.0,2.0,2.0,3.0,,,,,,,,,,,3.0,,,4.0,,,6.0,,,,,1.0,1.0,,1.0,,1.0,,,2.0,,2.0,1.0,1.0,2.0,2.0,4.0,,,1.0,,,3.0,2.0,,,,,,,1.0,1.0,,0.16666666666666666,,0.3333333333333333,0.2,0.2222222222222222,0.25,,0.2222222222222222,0.2,,,0.5,1.0,,0.3333333333333333,1.0,1.0,,0.5,,,,,,,,,,,,,0.3333333333333333,,0.518,0.2857142857142857,0.2857142857142857,0.4444444444444444,,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,,,,,,,1.0,,,,,0.3333333333333333,0.5,,0.5,1.0,0.4,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1541,1610612761,Alvin Williams,Alvin Williams,1541,TOR,5426.0,90,5.0,166,166,20,51,332,6.0,12.0,15.0,25.0,34.0,171,2.0,3.0,5.0,16.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,5.0,20,0.5333333333333333,0.5333333333333333,0.6,0.6666666666666666,0.532258064516129,0.5,0.53125,0.5,17.98941798941799,1.0,0.3870967741935484,0.5,0.5,0.5,0.4505338709677419,0.39264999999999994,0.14705882352941177,12.163999999999998,0.12048192771084337,20.0,3.0,5.0,8.0,1.0,2.0,,,,1.0,,4.0,1.0,6.0,1.0,,1.0,,,1.0,14.0,3.0,,4.0,,2.0,9.0,2.0,11.0,1.0,1.0,2.0,6.0,24.0,,1.0,3.0,1.0,4.0,1.0,5.0,,,,,,3.0,,1.0,1.0,0.16666666666666666,,,0.16666666666666666,,,0.1935483870967742,0.08,0.4,,0.015384615384615385,0.015625,0.1875,,0.04938271604938271,0.0125,,,,0.18181818181818182,0.2,0.16129032258064516,0.6,1.0,0.6666666666666666,0.25806451612903225,0.06451612903225806,0.5,0.5,1.0,0.12903225806451613,,,,,,0.25,,0.3548387096774194,,0.371975,0.03125,,,24.96666666666667,1.0,,,1.0,1.0,6.0,,1.0,1.0,,,,1.0,,2.0,1.0,,,,0.05,0.5,0.75,0.75,0.5,,,0.25,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.029411764705882353,0.5,0.14285714285714285,,,,,,,,,True,,,,,,,,,,,,,
164,1610612761,Chris Childs,Chris Childs,164,TOR,1427.0,24,13.0,42,43,8,20,85,,,,,3.0,42,,,,,,,,,,,,5.0,,8,,,,,0.75,,0.75,,4.25531914893617,,,,,,0.57945,,,,0.19047619047619047,5.0,,,,,,,,,,1.0,2.0,1.0,2.0,,,,,,,,,3.0,2.0,1.0,,4.0,1.0,5.0,1.0,,,4.0,11.0,,,,2.0,2.0,,2.0,,,,,1.0,,,1.0,,0.5,,,0.5,,,1.0,,,,0.125,,,,0.10526315789473684,,,,,,,,,,,,,,,,1.0,0.5,0.5,,,,,,1.0,0.5,,,,,24.95,,,,,,,,,,,,,,,,,,,0.25,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1713,1610612761,Vince Carter,Vince Carter,1713,TOR,5234.0,87,9.0,161,157,7,30,318,7.0,16.0,20.0,41.0,55.0,168,1.0,2.0,2.0,16.0,5.0,,1.0,1.0,5.0,,1.0,5.0,2.0,7,0.4,0.47058823529411764,0.4878048780487805,0.5,0.5,0.25,0.5092592592592593,0.25,32.417582417582416,0.2,0.3076923076923077,0.4375,0.4375,0.42857142857142855,0.4794230769230769,0.536825,0.03636363636363636,9.253658536585366,0.043478260869565216,18.0,9.0,17.0,8.0,,1.0,,,,,4.0,10.0,4.0,11.0,3.0,,,9.0,,2.0,24.0,12.0,,10.0,4.0,2.0,9.0,2.0,11.0,1.0,3.0,,6.0,24.0,,8.0,1.0,8.0,9.0,8.0,17.0,5.0,1.0,4.0,1.0,,5.0,3.0,,1.0,0.36363636363636365,,,0.36363636363636365,0.4444444444444444,0.45,0.21153846153846154,0.04878048780487805,0.11764705882352941,,0.12698412698412698,0.13114754098360656,0.07692307692307693,,0.11842105263157894,0.10526315789473684,0.11764705882352941,,0.11538461538461539,,0.25,0.3269230769230769,0.5294117647058824,0.6,0.3333333333333333,0.15384615384615385,0.019230769230769232,,,,0.19230769230769232,0.4,0.4,1.0,,,,,0.5384615384615384,0.4,0.5289125,0.05555555555555555,0.06976744186046512,0.16363636363636364,24.918181818181814,,4.0,8.0,1.0,2.0,4.0,4.0,9.0,,6.0,,,3.0,,3.0,3.0,0.4444444444444444,,0.058823529411764705,0.2,1.0,0.5,0.5,0.5,0.8888888888888888,0.5,0.5,0.5,2.0,,1.0,0.3333333333333333,0.07692307692307693,,1.0,,,,,0.0625,,,2.0,1.0,1.0,1.0,3.0,0.5,,,True,,,,,,,,,,,,,
213,1610612761,Antonio Davis,Antonio Davis,213,TOR,4859.0,81,6.0,152,149,9,29,301,3.0,7.0,14.0,27.0,36.0,157,1.0,1.0,2.0,18.0,4.0,1.0,,,2.0,,4.0,6.0,2.0,9,0.6428571428571429,0.6923076923076923,0.5185185185185185,1.0,0.5185185185185185,1.0,0.5806451612903226,1.0,18.96551724137931,,0.25925925925925924,0.42857142857142855,0.42857142857142855,1.0,0.4581333333333334,0.4885,0.05555555555555555,8.318518518518518,0.05921052631578947,19.0,5.0,11.0,9.0,,,,,,,,,,,8.0,,,6.0,,,10.0,,,,,5.0,4.0,1.0,5.0,1.0,2.0,1.0,1.0,11.0,1.0,4.0,3.0,12.0,17.0,5.0,22.0,3.0,1.0,2.0,1.0,1.0,10.0,6.0,,,,,,,0.6666666666666666,0.75,,0.18518518518518517,0.45454545454545453,,0.2033898305084746,0.0625,0.2727272727272727,0.07692307692307693,0.21428571428571427,0.06493506493506493,0.16666666666666666,0.08333333333333333,0.2692307692307692,0.2857142857142857,0.25,0.4074074074074074,0.45454545454545453,0.8333333333333334,0.6,0.3333333333333333,,,,,,,,,,,,,0.4074074074074074,,0.5387333333333334,0.1935483870967742,0.1935483870967742,0.16666666666666666,,,1.0,2.0,1.0,1.0,6.0,2.0,3.0,,2.0,,,4.0,4.0,4.0,1.0,0.6666666666666666,,0.07142857142857142,0.21052631578947367,0.25,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.5,1.0,1.0,1.0,,2.0,,0.125,,,,,,,0.03125,,,,2.0,,,,,2.0,0.4,True,,,,,,,,,,,,,
