EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2A,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Fouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,SecondChanceCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,FG3M,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,AtRimAssists,OffTwoPtRebounds,SelfOReb,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,PenaltyPointsPct,Steals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,LiveBallTurnoverPct,BlocksRecoveredPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,Corner3Assists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,ShootingFouls,SecondChanceFg3Pct,PenaltyFg3Pct,LongMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Fg2aBlocked,DefThreePtRebounds,BadPassSteals,Loose Ball Fouls,BlockedShortMidRange,FG2APctBlocked,AtRimPctBlocked,DefThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceFtPoints,FTOffRebounds,OffFTReboundPct,AtRimPctAssisted,on,BadPassTurnovers,Offensive Fouls,NonShootingPenaltyNonTakeFouls,FTDefRebounds,SecondChanceTurnovers,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,Travels,Defensive 3 Seconds Violations,LostBallOutOfBoundsTurnovers,DefensiveGoaltends,3SecondViolations,Blocked3s,BlockedArc3,Fg3aBlocked,Clear Path Fouls,FG3APctBlocked,Arc3PctBlocked
137,1610612742,Vernon Maxwell,Vernon Maxwell,137,DAL,894.0,15,7.0,27,26,4.0,23,6.0,53,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,22,1.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,9.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,0.3333333333333333,0.2,0.2,0.4,15.15151515151515,0.2222222222222222,0.2,0.15384615384615385,0.05555555555555555,0.25,0.5,0.2,0.4,0.5,0.5,0.2,0.2,1.0,0.6,0.5237499999999999,0.5715,0.3139,11.633333333333333,24.2,0.14814814814814814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,1610612742,Greg Buckner,Greg Buckner,1761,DAL,996.0,17,17.0,31,31,10.0,22,8.0,62,2.0,,1.0,,,1.0,3.0,6.0,1.0,11.0,33,,2.0,4.0,1.0,2.0,1.0,3.0,1.0,,1.0,7.0,1.0,3.0,3.0,2.0,5.0,1.0,10.0,0.5,0.6428571428571429,0.6111111111111112,0.14285714285714285,23.076923076923077,0.2727272727272727,0.16666666666666666,0.23076923076923078,0.125,0.16666666666666666,,0.2857142857142857,0.14285714285714285,,,,0.14285714285714285,,0.42857142857142855,0.4996642857142857,,0.50615,6.133333333333333,24.4,0.3225806451612903,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.1,0.2,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.18181818181818182,0.36363636363636365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1916,1610612742,Calvin Booth,Calvin Booth,1916,DAL,293.0,5,2.0,10,11,5.0,11,1.0,21,,,,,,,,1.0,,,11,,,,,,,,,,,,,,,,,,5.0,,,,,9.090909090909092,,,,,,,,,,,,,,,0.3451,0.3451,,13.2,,0.5,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,1610612742,Wang Zhi-zhi,Wang Zhi-zhi,1917,DAL,1464.0,24,18.0,45,46,18.0,35,9.0,91,1.0,1.0,3.0,,,2.0,2.0,6.0,2.0,10.0,47,,,4.0,2.0,,1.0,1.0,1.0,,,3.0,,2.0,2.0,,2.0,1.0,18.0,0.3333333333333333,0.4375,0.5555555555555556,0.25,18.51851851851852,0.15384615384615385,,0.1111111111111111,,,0.2,0.125,0.375,0.3333333333333333,0.3333333333333333,,0.25,,0.375,0.41416875,,,11.566666666666668,24.8,0.4,1.0,,,,,,2.0,1.0,1.0,3.0,,,,,2.0,2.0,,3.0,,1.0,,,,3.0,1.0,2.0,,,1.0,0.5,0.5,,,,,,1.0,,,,0.16666666666666666,,1.0,1.0,0.25,,,,0.5,0.5,1.0,,,,,0.5,,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
458,1610612742,Howard Eisley,Howard Eisley,458,DAL,1463.0,24,18.0,45,46,18.0,35,9.0,91,1.0,2.0,2.0,,,6.0,3.0,3.0,6.0,15.0,47,1.0,,2.0,6.0,1.0,1.0,2.0,,1.0,,5.0,,,,,,1.0,18.0,1.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,20.37037037037037,,,,,,,0.1111111111111111,0.2222222222222222,1.0,1.0,,0.6666666666666666,,0.7777777777777778,0.5081111111111112,0.52425,0.527,11.800000000000002,25.05,0.4,1.0,,,,,,,3.0,3.0,,,,3.0,,,6.0,4.0,3.0,,3.0,,,,,,6.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.5,,,1.5,1.0,1.5,1.0,,,,,,1.0,1.0,,,,,0.5,0.5,0.3333333333333333,,,,,0.5,0.2,0.4,,,1.0,1.0,2.0,2.0,,,,,,,0.5,,,,1.0,1.0,2.0,3.0,1.0,2.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
2059,1610612742,Eduardo Najera,Eduardo Najera,2059,DAL,1350.0,22,16.0,40,42,18.0,31,8.0,82,4.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,4.0,13.0,42,2.0,,2.0,2.0,,,,,,,,,1.0,4.0,3.0,7.0,2.0,18.0,0.4,0.7222222222222222,0.7222222222222222,0.4444444444444444,18.75,0.08333333333333333,,0.23529411764705882,0.16666666666666666,,,0.4444444444444444,0.1111111111111111,1.0,1.0,0.2222222222222222,0.2222222222222222,0.25,0.8888888888888888,0.5269444444444444,0.5218333333333333,0.5062,4.38,23.95,0.45,1.0,1.0,2.0,,,,,1.0,3.0,,1.0,2.0,8.0,,,6.0,2.0,6.0,,1.0,,3.0,,,,6.0,0.5,0.5,0.6666666666666666,0.75,0.75,0.5,,1.0,1.0,1.0,1.0,0.2727272727272727,,,0.2,,0.25,0.5,,,,,0.5,0.5,1.0,0.5,0.5,,,0.5,0.6153846153846154,0.46153846153846156,1.0,,,,,,,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,,,,1.0,1.0,0.6666666666666666,1.0,0.25,1.0,1.0,0.6666666666666666,0.5,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.4,0.5,0.6,0.25,0.5,0.5,0.6666666666666666,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1610612742,Mark Bryant,Mark Bryant,95,DAL,323.0,5,1.0,10,10,4.0,8,1.0,20,,,,,,,,1.0,,,8,,,,,,,,,,,,,1.0,1.0,,1.0,,4.0,,,,,9.090909090909092,0.5,,0.25,,,0.5,,,,,,,,,0.366,,,8.1,,0.4,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,145.0,2,,4,5,4.0,5,,9,1.0,,,,,,2.0,2.0,,6.0,6,,2.0,2.0,,,,,,,,,,,,,,,4.0,1.0,1.0,1.0,,75.0,,,,,,,0.5,,,,,,,0.5,0.6377,,0.6377,7.3,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,2.0,,,,2.0,2.0,6.0,2.0,,,,,,,2.0,,6.0,0.5,0.5,,,,,1.0,,1.0,,1.0,,,,,,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,0.5,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
714,1610612742,Michael Finley,Michael Finley,714,DAL,31.0,1,2.0,2,1,,1,,3,,,,,,,,,,2.0,3,,,,,,,,,,,,,,,,,,,,,1.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
436,1610612742,Juwan Howard,Juwan Howard,436,DAL,361.0,6,9.0,11,12,9.0,4,3.0,23,1.0,,,,,,1.0,1.0,,6.0,16,,1.0,,,,1.0,1.0,1.0,,,3.0,1.0,1.0,1.0,2.0,3.0,2.0,9.0,1.0,1.0,1.0,,21.428571428571427,0.25,0.5,0.25,0.3333333333333333,0.5,1.0,1.0,,,,,,,1.0,0.7179,,0.7179,,,0.8181818181818182,1.0,,,1.0,1.0,,,,,4.0,,,2.0,1.0,2.0,4.0,2.0,,,,,,,4.0,,4.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,0.3333333333333333,0.6666666666666666,,,,,,,,2.0,1.0,,1.0,,,,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,
