EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,SelfOReb,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG3APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,FTOffRebounds,FTDefRebounds,BlockedShortMidRange,Defensive 3 Seconds Violations,DefFTReboundPct,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,3SecondViolations,DefensiveGoaltends,OffensiveGoaltends,on,ThreePtShootingFoulsDrawn,BlockedCorner3,ThreePtShootingFoulsDrawnPct,Clear Path Fouls
123,1610612740,Robert Pack,Robert Pack,123,NOH,2198.0,37,-1,71,73,29,9,5,144,1.0,5.0,1.0,1.0,1.0,3.0,4,4.0,9,8.0,16.0,78,2.0,2.0,4.0,1.0,2.0,4.0,6.0,6.0,2.0,1.0,4.0,2.0,6.0,1.0,1.0,4.0,14.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,10.0,2.0,3.0,6.0,29,1.0,0.75,0.75,0.4444444444444444,1.0,0.5,0.4444444444444444,1.0,0.5,0.5714285714285714,1.0,0.6,0.1111111111111111,0.2,19.48051948051948,0.02857142857142857,0.024390243902439025,0.058823529411764705,0.5555555555555556,0.2,0.25,0.4444444444444444,0.75,0.75,1.0,0.5,1.0,0.5,0.5555555555555556,0.4790666666666667,0.4619,0.4616,0.18181818181818182,0.18181818181818182,0.25,0.375,8.444444444444445,0.4084507042253521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
133,1610612740,David Wesley,David Wesley,133,NOH,66912.0,1115,151,2101,2085,546,488,304,4186,39.0,69.0,1.0,2.0,12.0,82.0,191,126.0,282,71.0,485.0,2098,7.0,22.0,45.0,15.0,47.0,36.0,111.0,196.0,56.0,15.0,72.0,18.0,90.0,13.0,5.0,24.0,198.0,38.0,47.0,61.0,38.0,12.0,7.0,21.0,45.0,77.0,98.0,33.0,18.0,111.0,546,11.0,0.7777777777777778,0.7903225806451613,0.44680851063829785,0.3181818181818182,0.3191489361702128,0.5012106537530266,0.4318181818181818,0.46875,0.5284463894967177,0.46875,0.5336538461538461,0.05319148936170213,0.11594202898550725,20.498162515312373,0.046228710462287104,0.047619047619047616,0.051515151515151514,0.16707021791767554,0.5652173913043478,0.639344262295082,0.46246973365617433,0.4293193717277487,0.43617021276595747,0.8048780487804879,0.045454545454545456,0.5,0.15,0.48426150121065376,0.5022476941747572,0.4716176470588234,0.5107393750000001,0.07517084282460136,0.10714285714285714,0.09278350515463918,0.2288659793814433,13.527304964539004,0.2598762494050452,7.0,5.0,22.0,24.0,55.0,3.0,6.0,4.0,13.0,30.0,76.0,5.0,16.0,11.0,20.0,54.0,131.0,8.0,22.0,7.0,15.0,33.0,150.0,12.0,4.0,1.0,75.0,30.0,2.0,27.0,21.0,9.0,5.0,9.0,14.0,2.0,26.0,24.0,14.0,3.0,10.0,1.0,4.0,7.0,36.0,5.0,7.0,7.0,3.0,3.0,1.0,1.0,1.0,2.0,4.0,3.0,0.9259259259259259,0.4122137404580153,0.36363636363636365,0.45454545454545453,0.4153846153846154,0.3171912832929782,0.015267175572519083,0.18181818181818182,0.015706806282722512,0.01818181818181818,0.013157894736842105,0.5333333333333333,0.006097560975609756,0.05454545454545454,0.041666666666666664,0.013513513513513514,0.003861003861003861,0.00423728813559322,0.009230769230769232,0.05555555555555555,0.041044776119402986,0.044642857142857144,0.04504504504504504,0.07407407407407407,0.009302325581395349,0.75,0.7435897435897436,0.053268765133171914,0.22727272727272727,0.2777777777777778,0.6,0.13317191283292978,0.43636363636363634,0.4444444444444444,0.9583333333333334,0.18401937046004843,0.39473684210526316,0.4,0.9,0.13636363636363635,0.5,0.6666666666666666,0.36363636363636365,0.3125,1.0,0.5833333333333334,0.1625,0.3076923076923077,0.25,0.55,0.4,24.48396946564885,,,,,,,,,,,,True,,,,
1884,1610612740,Baron Davis,Baron Davis,1884,NOH,113586.0,1893,161,3509,3502,935,871,506,7011,131.0,239.0,16.0,28.0,55.0,58.0,160,233.0,515,93.0,856.0,3532,25.0,55.0,91.0,47.0,111.0,40.0,227.0,164.0,302.0,38.0,260.0,60.0,320.0,39.0,21.0,131.0,700.0,106.0,130.0,186.0,91.0,52.0,23.0,44.0,140.0,148.0,131.0,59.0,13.0,227.0,935,24.0,0.351931330472103,0.36444444444444446,0.4524271844660194,0.45454545454545453,0.42342342342342343,0.4780701754385965,0.44623655913978494,0.4869791666666667,0.5,0.4595959595959596,0.5254629629629629,0.07378640776699029,0.09623430962343096,24.269005847953217,0.07449051300070274,0.07542722451384797,0.10281923714759536,0.29949874686716793,0.5481171548117155,0.6064814814814815,0.20050125313283207,0.3625,0.36942675159235666,0.3620689655172414,0.3010752688172043,0.5714285714285714,0.2864583333333333,0.6541353383458647,0.5039137909319897,0.5080981012658228,0.4846502631578947,0.06998813760379596,0.10535714285714286,0.10630841121495327,0.2651869158878505,7.785825242718442,0.2664576802507837,30.0,44.0,116.0,13.0,33.0,1.0,2.0,4.0,10.0,86.0,250.0,10.0,36.0,27.0,71.0,99.0,283.0,11.0,38.0,8.0,31.0,81.0,207.0,90.0,16.0,2.0,248.0,86.0,4.0,41.0,88.0,14.0,39.0,22.0,56.0,10.0,39.0,96.0,71.0,6.0,25.0,2.0,11.0,33.0,51.0,3.0,12.0,14.0,,21.0,1.0,1.0,10.0,5.0,22.0,15.0,0.696969696969697,0.3498233215547703,0.2894736842105263,0.38271604938271603,0.35231316725978645,0.35463659147869675,0.014134275618374558,0.10344827586206896,0.01875,0.030303030303030304,0.012,0.6857142857142857,0.028077753779697623,0.08029197080291971,0.04057971014492753,0.030565167243367934,0.04215456674473068,0.01699029126213592,0.025454545454545455,0.046153846153846156,0.05,0.05789473684210526,0.0918918918918919,0.056179775280898875,0.024390243902439025,0.6818181818181818,0.3816793893129771,0.14536340852130325,0.3793103448275862,0.4230769230769231,0.25,0.041353383458646614,0.3939393939393939,0.40625,1.0,0.3132832080200501,0.344,0.3481781376518219,0.6511627906976745,0.021505376344086023,0.5,1.0,0.3870967741935484,0.2777777777777778,1.0,0.5454545454545454,0.052083333333333336,0.4,0.3697916666666667,0.38028169014084506,0.3467741935483871,25.465371024734985,3.0,2.0,6.0,2.0,0.019230769230769232,0.02857142857142857,0.023529411764705882,0.25,,,,True,,,,
2048,1610612740,Jamaal Magloire,Jamaal Magloire,2048,NOH,75955.0,1266,153,2352,2344,572,503,346,4696,119.0,194.0,40.0,58.0,48.0,3.0,21,164.0,323,105.0,433.0,2367,45.0,74.0,116.0,39.0,66.0,46.0,124.0,204.0,124.0,31.0,29.0,9.0,38.0,7.0,2.0,11.0,85.0,176.0,234.0,368.0,29.0,9.0,4.0,41.0,70.0,152.0,149.0,58.0,23.0,124.0,572,15.0,0.6219512195121951,0.7669172932330827,0.5077399380804953,0.6081081081081081,0.5909090909090909,0.5046153846153846,0.6081081081081081,0.5909090909090909,0.549492385786802,0.6444444444444445,0.6391752577319587,0.09597523219814241,0.12371134020618557,16.818016709044677,0.18487394957983194,0.18672566371681415,0.19106699751861042,0.5969230769230769,0.6134020618556701,0.7,0.06461538461538462,0.14285714285714285,0.15,1.0,0.7837837837837838,0.6896551724137931,0.7272727272727273,0.6030769230769231,0.5023456790123455,0.5356461538461539,0.5334954545454546,0.15633423180592992,0.15718157181571815,0.2678983833718245,0.2863741339491917,3.752012383900929,0.24319727891156462,32.0,42.0,108.0,,1.0,,,,,,1.0,,,,,,2.0,,,26.0,,,,,62.0,1.0,,,,8.0,10.0,21.0,111.0,35.0,134.0,12.0,20.0,29.0,17.0,3.0,12.0,10.0,10.0,12.0,67.0,25.0,19.0,12.0,,53.0,,,40.0,3.0,53.0,29.0,,,,,,0.006153846153846154,,0.05555555555555555,0.047619047619047616,,,0.4142857142857143,0.11974110032362459,0.19662921348314608,0.09292035398230089,0.11448395490026018,0.14383561643835616,0.1323529411764706,0.09090909090909091,0.09696969696969697,0.17064846416382254,0.19140625,0.23728813559322035,0.11666666666666667,0.09302325581395349,0.5471698113207547,0.6134453781512605,0.3323076923076923,0.3888888888888889,0.4117647058823529,0.6190476190476191,0.003076923076923077,,,,0.003076923076923077,,,,,,,,,,0.6666666666666666,,,,,,34.1,2.0,23.0,10.0,5.0,0.38333333333333336,0.028985507246376812,0.08196721311475409,0.175,5.0,,,True,,,,
469,1610612740,Jamal Mashburn,Jamal Mashburn,469,NOH,97354.0,1623,141,3011,3003,838,749,429,6014,70.0,132.0,10.0,16.0,40.0,98.0,273,253.0,611,159.0,821.0,3037,29.0,65.0,110.0,83.0,182.0,83.0,282.0,194.0,312.0,45.0,161.0,52.0,213.0,34.0,18.0,72.0,478.0,171.0,214.0,248.0,37.0,15.0,12.0,41.0,108.0,97.0,193.0,65.0,31.0,282.0,838,10.0,0.383399209486166,0.3975409836065574,0.41407528641571195,0.4461538461538462,0.45604395604395603,0.4491180461329715,0.5388888888888889,0.45852534562211983,0.495721271393643,0.5729166666666666,0.5324427480916031,0.07364975450081833,0.2196969696969697,26.33674630261661,0.14074074074074075,0.13736263736263737,0.15873015873015872,0.1791044776119403,0.5303030303030303,0.6796116504854369,0.3704206241519674,0.358974358974359,0.3712121212121212,0.45918367346938777,0.17777777777777778,0.625,0.18433179723502305,0.35006784260515605,0.44979108843537424,0.46556625,0.43285790697674437,0.08259212198221093,0.09833585476550681,0.13398294762484775,0.34348355663824603,11.029459901800326,0.2783128528727997,22.0,85.0,206.0,8.0,26.0,2.0,5.0,2.0,7.0,44.0,100.0,11.0,20.0,9.0,28.0,52.0,126.0,13.0,25.0,13.0,11.0,35.0,144.0,12.0,18.0,2.0,98.0,44.0,,28.0,61.0,6.0,27.0,29.0,34.0,3.0,22.0,67.0,38.0,5.0,29.0,4.0,8.0,20.0,44.0,7.0,18.0,15.0,16.0,6.0,,,3.0,2.0,6.0,3.0,0.9230769230769231,0.4126984126984127,0.52,0.3142857142857143,0.41935483870967744,0.17096336499321574,,0.03398058252427184,0.03296703296703297,,,0.6203703703703703,0.022804054054054054,0.12033195020746888,0.01948051948051948,0.022117962466487937,0.03428571428571429,0.010899182561307902,0.023554603854389723,0.02564102564102564,0.09921671018276762,0.16158536585365854,0.11515151515151516,0.13157894736842105,0.0078125,0.5,0.45714285714285713,0.27951153324287653,0.41262135922330095,0.4271356783919598,0.23529411764705882,0.035278154681139755,0.3076923076923077,0.3076923076923077,1.0,0.13568521031207598,0.44,0.44,0.9090909090909091,0.05555555555555555,0.4,1.0,0.2222222222222222,0.55,0.7272727272727273,0.55,0.03225806451612903,0.2857142857142857,0.12903225806451613,0.32142857142857145,0.4489795918367347,24.917460317460314,1.0,14.0,1.0,4.0,0.16091954022988506,0.011494252873563218,,,,,,True,,,,
136,1610612740,P.J. Brown,P.J. Brown,136,NOH,83075.0,1385,138,2571,2564,686,620,378,5135,70.0,121.0,29.0,49.0,34.0,34.0,72,151.0,284,109.0,411.0,2612,41.0,66.0,108.0,39.0,73.0,40.0,118.0,220.0,82.0,21.0,55.0,20.0,75.0,16.0,4.0,28.0,170.0,197.0,249.0,385.0,41.0,9.0,3.0,25.0,47.0,108.0,133.0,55.0,15.0,118.0,686,15.0,0.7284768211920529,0.8870967741935484,0.5316901408450704,0.6212121212121212,0.5342465753424658,0.5298245614035088,0.6212121212121212,0.527027027027027,0.5905172413793104,0.675,0.6020408163265306,0.07394366197183098,0.1322314049586777,13.118565260710728,0.18761904761904763,0.18775181305398872,0.16589861751152074,0.4245614035087719,0.5785123966942148,0.6666666666666666,0.25263157894736843,0.4722222222222222,0.4722222222222222,0.9705882352941176,0.7424242424242424,0.5918367346938775,0.4594594594594595,0.4280701754385965,0.4650322807017545,0.5270648148148148,0.468677027027027,0.16516516516516516,0.16566265060240964,0.26277372262773724,0.2871046228710462,7.362323943661973,0.26682224815246985,20.0,47.0,91.0,,,,,,,,1.0,,,,1.0,,1.0,,,26.0,,1.0,,,54.0,,1.0,,,7.0,20.0,28.0,103.0,36.0,136.0,9.0,32.0,22.0,12.0,3.0,10.0,1.0,7.0,10.0,44.0,12.0,14.0,7.0,,39.0,,,30.0,1.0,39.0,29.0,,,,,,0.0035087719298245615,,0.054945054945054944,,,,0.46808510638297873,0.10228401191658391,0.18848167539267016,0.10894941634241245,0.10363924050632911,0.07643312101910828,0.12292358803986711,0.10714285714285714,0.10256410256410256,0.19879518072289157,0.20774647887323944,0.19548872180451127,0.1724137931034483,0.08035714285714286,0.7435897435897436,0.5428571428571428,0.3192982456140351,0.5164835164835165,0.5465116279069767,0.8297872340425532,,,,,0.0035087719298245615,,,,,,,,,,0.5882352941176471,,,0.013513513513513514,,,26.7,5.0,16.0,8.0,3.0,0.24242424242424243,0.07042253521126761,0.12903225806451613,0.06896551724137931,3.0,7.0,,True,,,,
1714,1610612740,Robert Traylor,Robert Traylor,1714,NOH,17586.0,293,6,534,536,159,168,95,1070,22.0,44.0,10.0,21.0,13.0,6.0,12,29.0,70,10.0,68.0,541,10.0,24.0,20.0,5.0,20.0,1.0,11.0,38.0,20.0,6.0,14.0,1.0,15.0,1.0,,7.0,31.0,31.0,49.0,85.0,14.0,6.0,,3.0,9.0,59.0,22.0,9.0,3.0,11.0,159,3.0,0.6551724137931034,0.9047619047619048,0.4142857142857143,0.4166666666666667,0.25,0.4142857142857143,0.4166666666666667,0.25,0.41975308641975306,0.4,0.25,0.08571428571428572,0.13636363636363635,13.777089783281733,0.14761904761904762,0.16342412451361868,0.15306122448979592,0.6285714285714286,0.5,0.5789473684210527,0.17142857142857143,0.5,0.5,1.0,0.875,0.47619047619047616,0.65,0.6285714285714286,0.48951000000000006,0.538704761904762,0.484055,0.11538461538461539,0.11538461538461539,0.29411764705882354,0.16176470588235295,4.887142857142857,0.29775280898876405,4.0,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,1.0,6.0,6.0,28.0,11.0,36.0,3.0,8.0,6.0,1.0,,5.0,1.0,4.0,1.0,36.0,5.0,2.0,1.0,,13.0,,,11.0,,13.0,9.0,,,,,,,,,,,,0.6666666666666666,0.11864406779661017,0.23404255319148937,0.12,0.11888111888111888,0.16216216216216217,0.16417910447761194,0.05263157894736842,0.13333333333333333,0.140625,0.14583333333333334,0.1935483870967742,0.3125,0.08571428571428572,0.6923076923076923,0.5909090909090909,0.2,0.07142857142857142,0.07142857142857142,,,,,,,,,,,,,,,,0.3076923076923077,,,,,,,2.0,7.0,2.0,1.0,0.3888888888888889,0.07692307692307693,,0.1,,1.0,,True,,,,
2040,1610612740,Jerome Moiso,Jerome Moiso,2040,NOH,8942.0,149,-19,270,276,57,67,47,546,17.0,26.0,7.0,11.0,6.0,1.0,6,22.0,43,6.0,50.0,276,7.0,13.0,16.0,4.0,9.0,2.0,10.0,34.0,10.0,3.0,4.0,2.0,6.0,2.0,,2.0,14.0,27.0,35.0,55.0,2.0,,1.0,2.0,12.0,18.0,14.0,7.0,1.0,10.0,57,,0.7727272727272727,0.9444444444444444,0.5116279069767442,0.5384615384615384,0.4444444444444444,0.5116279069767442,0.5384615384615384,0.4444444444444444,0.5102040816326531,0.5714285714285714,0.4166666666666667,0.06976744186046512,0.07692307692307693,18.654434250764528,0.2231404958677686,0.23404255319148937,0.15517241379310345,0.6046511627906976,0.6538461538461539,0.7083333333333334,0.13953488372093023,0.16666666666666666,0.16666666666666666,1.0,0.8461538461538461,0.6363636363636364,0.6666666666666666,0.6046511627906976,0.4897162790697674,0.54132,0.48814444444444455,0.14583333333333334,0.14583333333333334,0.32,0.2,4.4255813953488365,0.2111111111111111,4.0,4.0,11.0,,,,,,,,,,,,,,,,,2.0,,,,,8.0,,,,,1.0,1.0,4.0,16.0,6.0,20.0,3.0,2.0,10.0,6.0,,4.0,,1.0,6.0,7.0,,1.0,2.0,,12.0,,,3.0,,12.0,5.0,,,,,,,,0.09090909090909091,,,,0.8333333333333334,0.13333333333333333,0.3,0.18181818181818182,0.14084507042253522,0.1388888888888889,0.1875,0.09615384615384616,0.16666666666666666,0.27586206896551724,0.29411764705882354,0.23076923076923078,0.42857142857142855,0.17647058823529413,0.4166666666666667,0.7058823529411765,0.2558139534883721,0.36363636363636365,0.4,1.0,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,2.0,9.0,1.0,0.4,,0.25,0.42857142857142855,,1.0,,True,,,,
2042,1610612740,Courtney Alexander,Courtney Alexander,2042,NOH,32334.0,539,-22,984,990,309,273,131,1974,29.0,50.0,5.0,10.0,13.0,29.0,77,64.0,149,54.0,215.0,1006,9.0,20.0,20.0,17.0,34.0,28.0,77.0,96.0,32.0,8.0,15.0,4.0,19.0,4.0,,7.0,42.0,22.0,34.0,51.0,13.0,3.0,3.0,11.0,24.0,47.0,66.0,28.0,7.0,77.0,309,6.0,0.75,0.8135593220338984,0.42953020134228187,0.45,0.5,0.46264367816091956,0.4090909090909091,0.5975609756097561,0.5270935960591133,0.43478260869565216,0.7,0.053691275167785234,0.1,19.982394366197184,0.05301204819277108,0.06490872210953347,0.06806282722513089,0.28735632183908044,0.58,0.6444444444444445,0.4425287356321839,0.37662337662337664,0.38666666666666666,0.896551724137931,0.45454545454545453,0.5,0.3170731707317073,0.43103448275862066,0.48384281609195406,0.4639394736842105,0.4837878048780488,0.14285714285714285,0.16374269005847952,0.09302325581395349,0.3581395348837209,10.765771812080539,0.31402439024390244,11.0,6.0,22.0,5.0,13.0,,,4.0,5.0,6.0,12.0,,2.0,1.0,2.0,11.0,25.0,,2.0,2.0,5.0,7.0,33.0,,10.0,,12.0,6.0,,6.0,2.0,1.0,15.0,10.0,17.0,3.0,10.0,13.0,8.0,3.0,5.0,,2.0,10.0,17.0,4.0,4.0,6.0,2.0,4.0,,,3.0,,4.0,1.0,1.0,0.44,,0.7142857142857143,0.44,0.14367816091954022,,0.045454545454545456,0.025974025974025976,,,0.5416666666666666,0.038461538461538464,0.1282051282051282,0.010752688172043012,0.033126293995859216,0.024390243902439025,0.039603960396039604,0.04819277108433735,0.014084507042253521,0.042735042735042736,0.037383177570093455,0.16,0.07142857142857142,0.033707865168539325,0.25,0.6896551724137931,0.12643678160919541,0.2727272727272727,0.2857142857142857,0.3333333333333333,0.07471264367816093,0.38461538461538464,0.38461538461538464,1.0,0.06896551724137931,0.5,0.5,1.0,,,,0.09090909090909091,,,0.8461538461538461,0.12195121951219512,0.8,0.04878048780487805,0.5,0.5,24.379999999999995,1.0,2.0,1.0,,0.05128205128205128,0.034482758620689655,,,,,,True,,,,
248,1610612740,George Lynch,George Lynch,248,NOH,29673.0,495,32,905,905,215,198,131,1810,24.0,39.0,8.0,13.0,12.0,11.0,29,40.0,82,11.0,118.0,911,10.0,19.0,23.0,8.0,19.0,5.0,27.0,64.0,16.0,8.0,16.0,8.0,24.0,4.0,4.0,10.0,56.0,57.0,77.0,117.0,27.0,13.0,,10.0,22.0,55.0,19.0,7.0,3.0,27.0,215,2.0,0.8,0.9411764705882353,0.4878048780487805,0.5263157894736842,0.42105263157894735,0.5144230769230769,0.47619047619047616,0.4230769230769231,0.5221238938053098,0.5,0.43548387096774194,0.0975609756097561,0.1794871794871795,12.593283582089551,0.1574585635359116,0.15681818181818183,0.1464968152866242,0.375,0.6153846153846154,0.75,0.27884615384615385,0.3793103448275862,0.3793103448275862,1.0,0.6190476190476191,0.6153846153846154,0.46153846153846156,0.5865384615384616,0.5040461165048544,0.49149333333333334,0.5262499999999999,0.06363636363636363,0.07954545454545454,0.19491525423728814,0.2288135593220339,7.817073170731708,0.23756906077348067,6.0,5.0,14.0,7.0,15.0,,1.0,2.0,5.0,2.0,7.0,,1.0,,2.0,9.0,22.0,,2.0,3.0,2.0,7.0,24.0,3.0,12.0,1.0,6.0,2.0,,3.0,3.0,8.0,32.0,12.0,40.0,2.0,14.0,12.0,9.0,1.0,3.0,2.0,5.0,3.0,30.0,3.0,4.0,1.0,,6.0,,,5.0,1.0,6.0,2.0,0.8888888888888888,0.4090909090909091,,0.2857142857142857,0.42857142857142855,0.21153846153846154,,0.07142857142857142,,,,0.5454545454545454,0.0881542699724518,0.15384615384615385,0.09195402298850575,0.08888888888888889,0.1,0.0782608695652174,0.08695652173913043,0.11475409836065574,0.13043478260869565,0.2111111111111111,0.11764705882352941,0.2222222222222222,0.043478260869565216,0.3333333333333333,0.6666666666666666,0.1346153846153846,0.35714285714285715,0.38461538461538464,1.0,0.14423076923076922,0.4666666666666667,0.4666666666666667,0.8571428571428571,0.0673076923076923,0.2857142857142857,0.2857142857142857,1.0,0.047619047619047616,,,0.047619047619047616,,,0.5,0.19230769230769232,0.4,0.07692307692307693,,0.3333333333333333,24.55909090909091,,8.0,,2.0,0.25806451612903225,,0.038461538461538464,0.25,1.0,1.0,1.0,True,,,,
