EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Corner3Assists,LongMidRangePctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PtsUnassisted3s,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,on,HeaveAttempts,Fg3aBlocked,3pt And 1 Free Throw Trips,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,Clear Path Fouls,BlockedCorner3
1890,1610612756,Shawn Marion,Shawn Marion,1890,PHX,30039.0,501,-71.0,955,968,144.0,105,129.0,1923,35.0,55.0,7.0,16.0,7.0,8.0,17.0,51.0,32.0,65.0,7.0,15.0,1.0,2.0,9.0,28.0,1.0,4.0,2.0,6.0,84.0,171.0,16.0,43.0,23.0,239.0,976,10.0,27.0,1.0,4.0,1.0,24.0,14.0,21.0,3.0,8.0,8.0,45.0,106.0,62.0,48.0,16.0,28.0,9.0,9.0,21.0,2.0,23.0,2.0,12.0,1.0,8.0,48.0,2.0,30.0,18.0,65.0,9.0,92.0,32.0,124.0,11.0,28.0,19.0,9.0,15.0,7.0,8.0,14.0,4.0,7.0,2.0,29.0,3.0,3.0,13.0,23,1.0,1.0,28.0,2.0,4.0,10.0,3.0,21.0,1.0,1.0,13.0,4.0,4.0,22.0,13.0,1.0,45.0,144.0,1.0,0.6309523809523809,0.6973684210526315,1.0,0.37209302325581395,0.25,0.375,0.37209302325581395,0.49122807017543857,0.37037037037037035,0.6666666666666666,0.5046728971962616,0.3709677419354839,0.6379310344827587,0.5222222222222223,0.375,0.6875,0.20093457943925233,0.05263157894736842,0.09090909090909091,0.0784313725490196,22.759856630824373,0.5172413793103449,0.3103448275862069,0.17287234042553193,0.0702576112412178,0.24,0.03225806451612903,0.18403547671840353,0.065439672801636,0.08208955223880597,0.06060606060606061,0.06832298136645963,0.023255813953488372,0.05263157894736842,0.14285714285714285,0.1619047619047619,0.20125786163522014,0.2,0.4,0.10576923076923077,0.5909090909090909,0.2570093457943925,0.6363636363636364,0.7,0.7142857142857143,0.2383177570093458,0.3333333333333333,0.3617021276595745,0.5294117647058824,0.3037383177570093,0.49230769230769234,0.49230769230769234,0.59375,0.07009345794392523,0.4666666666666667,0.4666666666666667,1.0,0.1308411214953271,0.32142857142857145,0.32142857142857145,1.0,0.5161290322580645,0.4375,0.12903225806451613,0.25,1.0,0.27586206896551724,0.875,0.06896551724137931,0.5,0.20689655172413793,0.3333333333333333,0.45794392523364486,0.32142857142857145,0.49102686915887844,0.49448333333333333,0.48333620689655177,0.04504504504504504,0.055865921787709494,0.100418410041841,0.18828451882845187,9.700584795321639,24.3,0.15078534031413612,,,,,,,,,,,,,,,,,True,,,,,,,,
2054,1610612756,Jake Tsakalidis,Jake Tsakalidis,2054,PHX,32545.0,542,-74.0,1038,1044,161.0,115,137.0,2082,36.0,73.0,8.0,22.0,4.0,9.0,18.0,52.0,7.0,10.0,,,,,,,,,,,61.0,135.0,,,39.0,161.0,1051,12.0,29.0,,,12.0,36.0,7.0,17.0,,,10.0,24.0,90.0,32.0,,20.0,,,25.0,13.0,,13.0,,8.0,,5.0,26.0,11.0,34.0,10.0,64.0,3.0,77.0,45.0,122.0,3.0,6.0,2.0,4.0,8.0,5.0,6.0,18.0,1.0,2.0,2.0,26.0,1.0,3.0,39.0,80,8.0,5.0,58.0,6.0,,30.0,2.0,17.0,,,12.0,,5.0,17.0,10.0,,24.0,161.0,3.0,0.7377049180327869,0.8823529411764706,,,,,,0.45185185185185184,0.41379310344827586,0.4117647058823529,0.45185185185185184,0.41379310344827586,0.4117647058823529,0.5,0.47368421052631576,0.5,,0.18518518518518517,0.2602739726027397,0.11538461538461539,15.480132450331126,0.3076923076923077,0.09375,0.15384615384615385,0.07439824945295405,0.12195121951219512,0.15942028985507245,0.14859437751004015,0.08555133079847908,0.08163265306122448,0.06993006993006994,0.0718562874251497,0.14583333333333334,0.19047619047619047,0.12396694214876033,0.20689655172413793,0.13966480446927373,0.15625,,0.061224489795918366,0.5882352941176471,0.5407407407407407,0.4931506849315068,0.6666666666666666,0.7777777777777778,0.3851851851851852,0.34615384615384615,0.391304347826087,0.6111111111111112,0.07407407407407407,0.7,0.7,0.8571428571428571,,,,,,,,,0.7586206896551724,0.36363636363636365,,,,0.5294117647058824,0.4444444444444444,,,,,0.5407407407407407,,0.4904296296296296,0.5136499999999999,0.4728882352941176,0.18867924528301888,0.18867924528301888,0.2236024844720497,0.14906832298136646,4.122962962962964,,0.15510597302504817,1.0,3.0,4.0,,,,,,,,,,,,,,True,,,,,,,,
2061,1610612756,Dan Langhi,Dan Langhi,2061,PHX,1690.0,28,-11.0,48,49,14.0,10,6.0,97,3.0,3.0,1.0,1.0,1.0,1.0,,,2.0,5.0,,,,,,1.0,,,,,5.0,8.0,,1.0,,10.0,50,2.0,2.0,,,,4.0,2.0,3.0,,,,4.0,8.0,2.0,,2.0,1.0,,,1.0,,1.0,,,1.0,,2.0,,1.0,2.0,4.0,,6.0,1.0,7.0,,,,,1.0,,1.0,1.0,,,1.0,2.0,1.0,,,2,,,,,,,,,,,,,,,,,4.0,14.0,,0.8,1.0,,,,,,0.625,1.0,0.6666666666666666,0.5555555555555556,1.0,0.6666666666666666,0.5555555555555556,1.0,0.6666666666666666,0.1111111111111111,,,,20.0,0.5,,0.13793103448275862,0.07142857142857142,0.4,,0.17647058823529413,0.05555555555555555,0.16666666666666666,,,,,0.16666666666666666,,0.1875,0.3333333333333333,0.5,,,0.3333333333333333,1.0,1.0,0.6666666666666666,,,,,0.5555555555555556,0.4,0.4,1.0,,,,,0.1111111111111111,,,,0.5,1.0,,,,0.3333333333333333,1.0,,,,,0.4444444444444444,,0.48568333333333336,0.5159,0.4267,,,0.4,0.4,11.2,24.2,0.2916666666666667,,,,,,,,,,,,,,,,,True,,,,,,,,
2207,1610612756,Joe Johnson,Joe Johnson,2207,PHX,10469.0,174,-18.0,327,327,55.0,54,45.0,654,4.0,17.0,2.0,5.0,1.0,3.0,7.0,13.0,9.0,29.0,3.0,6.0,1.0,2.0,,4.0,,,,1.0,20.0,59.0,3.0,10.0,5.0,54.0,319,3.0,9.0,2.0,2.0,,12.0,3.0,9.0,1.0,3.0,4.0,13.0,12.0,28.0,9.0,6.0,4.0,,6.0,15.0,2.0,17.0,1.0,8.0,1.0,6.0,36.0,1.0,6.0,6.0,7.0,,13.0,7.0,20.0,4.0,4.0,2.0,2.0,4.0,,2.0,2.0,,2.0,1.0,6.0,,,4.0,12,2.0,,8.0,,,3.0,1.0,,,,,,,,,,13.0,55.0,,0.3,0.35294117647058826,1.0,0.3,1.0,0.3333333333333333,0.3,0.3389830508474576,0.3333333333333333,0.3333333333333333,0.35507246376811596,0.5454545454545454,0.375,0.3698630136986301,0.5454545454545454,0.43333333333333335,0.14492753623188406,0.1016949152542373,0.23529411764705882,0.07692307692307693,20.680628272251308,0.6666666666666666,,0.05,0.04,0.1935483870967742,0.043478260869565216,0.07602339181286549,0.04046242774566474,0.06382978723404255,0.05,0.015873015873015872,,0.09090909090909091,0.024390243902439025,0.046511627906976744,0.07142857142857142,0.20833333333333334,0.14285714285714285,0.10256410256410256,,0.2463768115942029,0.23529411764705882,0.3076923076923077,,0.18840579710144928,0.5384615384615384,0.5833333333333334,,0.42028985507246375,0.3103448275862069,0.32142857142857145,0.6666666666666666,0.08695652173913043,0.5,0.5,1.0,0.057971014492753624,,,,0.45454545454545453,0.4,,,,0.25,0.3333333333333333,0.16666666666666666,0.5,0.08333333333333333,,0.391304347826087,,0.46702246376811596,0.49044999999999994,0.4682458333333333,0.041666666666666664,0.04838709677419355,0.2222222222222222,0.24074074074074073,11.284745762711866,25.3,0.16819571865443425,,,,2.0,2.0,1.0,0.034482758620689655,0.18181818181818182,1.0,1.0,,,,,,,True,,,,,,,,
950,1610612756,Stephon Marbury,Stephon Marbury,950,PHX,28206.0,470,-79.0,902,907,144.0,89,126.0,1809,47.0,80.0,4.0,9.0,6.0,12.0,12.0,28.0,22.0,70.0,,3.0,,,7.0,24.0,,1.0,2.0,4.0,81.0,178.0,7.0,27.0,24.0,207.0,929,6.0,16.0,,1.0,5.0,17.0,9.0,22.0,2.0,4.0,8.0,32.0,74.0,88.0,6.0,2.0,24.0,7.0,17.0,89.0,11.0,100.0,4.0,36.0,16.0,37.0,211.0,1.0,9.0,5.0,12.0,,17.0,10.0,27.0,2.0,18.0,12.0,6.0,31.0,6.0,21.0,17.0,2.0,10.0,1.0,48.0,3.0,8.0,10.0,30,2.0,6.0,29.0,5.0,,15.0,2.0,2.0,,,1.0,,1.0,2.0,1.0,,32.0,144.0,3.0,0.4567901234567901,0.4625,0.2857142857142857,0.25925925925925924,,0.5,0.25925925925925924,0.4550561797752809,0.375,0.4090909090909091,0.44634146341463415,0.35294117647058826,0.46153846153846156,0.4769585253456221,0.425,0.5161290322580645,0.13170731707317074,0.09550561797752809,0.1625,0.10714285714285714,25.04725897920605,0.6458333333333334,,0.03380281690140845,0.022167487684729065,0.07692307692307693,0.015873015873015872,0.04047619047619048,0.021321961620469083,0.03787878787878788,0.0078125,0.02054794520547945,,0.05,0.028846153846153848,0.04081632653061224,0.032679738562091505,0.1,,0.02,0.5,0.3902439024390244,0.5875,0.7014925373134329,0.5106382978723404,0.13658536585365855,0.42857142857142855,0.48,0.16666666666666666,0.34146341463414637,0.3142857142857143,0.3188405797101449,0.5,0.014634146341463415,,,,0.11707317073170732,0.2916666666666667,0.2916666666666667,0.2857142857142857,0.5294117647058824,0.4444444444444444,0.058823529411764705,,,0.46153846153846156,0.5,,,0.15384615384615385,0.5,0.5219512195121951,0.2916666666666667,0.5055565853658536,0.48402142857142855,0.5108615384615385,0.06976744186046512,0.0797872340425532,0.0821256038647343,0.15458937198067632,8.592134831460674,25.037037037037038,0.15964523281596452,,,,,,7.0,0.014285714285714285,,,,15.0,0.25,,,,,True,,,,,,,,
358,1610612756,Anfernee Hardaway,Anfernee Hardaway,358,PHX,25176.0,420,-46.0,814,813,102.0,70,103.0,1627,13.0,28.0,4.0,7.0,4.0,6.0,9.0,31.0,28.0,63.0,,,,,,6.0,,2.0,,2.0,50.0,122.0,,6.0,19.0,119.0,827,5.0,16.0,,2.0,5.0,15.0,6.0,15.0,,2.0,2.0,14.0,56.0,44.0,,8.0,6.0,,5.0,58.0,6.0,64.0,4.0,31.0,9.0,18.0,134.0,,12.0,5.0,40.0,2.0,47.0,12.0,59.0,1.0,23.0,12.0,11.0,14.0,5.0,13.0,14.0,2.0,1.0,3.0,28.0,3.0,3.0,23.0,37,1.0,4.0,24.0,2.0,,11.0,1.0,2.0,,,1.0,,1.0,2.0,1.0,,14.0,102.0,3.0,0.56,0.6086956521739131,,,,,,0.4098360655737705,0.3125,0.4,0.390625,0.2777777777777778,0.35294117647058826,0.42805755395683454,0.375,0.3684210526315789,0.046875,0.040983606557377046,0.10714285714285714,0.06451612903225806,17.803837953091683,0.5,0.07407407407407407,0.12539184952978055,0.03380281690140845,0.08064516129032258,,0.11811023622047244,0.029850746268656716,0.05263157894736842,0.03389830508474576,0.016260162601626018,,,0.06593406593406594,0.13636363636363635,0.15714285714285714,0.10416666666666667,,0.0136986301369863,0.5,0.21875,0.4642857142857143,0.52,0.23076923076923078,0.2421875,0.2903225806451613,0.3103448275862069,0.4444444444444444,0.4921875,0.4444444444444444,0.4444444444444444,0.75,,,,,0.046875,,,,0.3888888888888889,0.5714285714285714,0.1111111111111111,,,0.35294117647058826,0.6666666666666666,,,0.11764705882352941,,0.265625,,0.45845624999999995,0.4743566666666667,0.4908529411764706,0.08695652173913043,0.08396946564885496,0.12605042016806722,0.11764705882352941,11.802459016393446,25.316666666666666,0.12530712530712532,,,,,,2.0,,,,,,,1.0,0.14285714285714285,,,True,,,,,,,,
2405,1610612756,Amar'e Stoudemire,Amar'e Stoudemire,2405,PHX,18115.0,302,-52.0,596,594,85.0,53,78.0,1190,30.0,49.0,6.0,11.0,4.0,6.0,12.0,40.0,1.0,6.0,,1.0,,,,,,,,,43.0,95.0,,1.0,28.0,114.0,615,6.0,17.0,,,1.0,13.0,6.0,12.0,,,7.0,19.0,52.0,34.0,,8.0,,,15.0,10.0,2.0,12.0,2.0,3.0,5.0,2.0,26.0,2.0,17.0,7.0,45.0,7.0,59.0,20.0,79.0,2.0,6.0,4.0,2.0,11.0,,1.0,15.0,1.0,10.0,2.0,26.0,3.0,3.0,9.0,28,2.0,9.0,48.0,8.0,1.0,24.0,4.0,11.0,,,7.0,,4.0,11.0,7.0,3.0,19.0,85.0,,0.6046511627906976,0.6666666666666666,,,,,,0.45263157894736844,0.35294117647058826,0.5,0.4479166666666667,0.35294117647058826,0.5,0.49137931034482757,0.38235294117647056,0.5588235294117647,0.010416666666666666,0.15789473684210525,0.1836734693877551,0.15,20.579710144927535,0.4230769230769231,0.3181818181818182,0.20179372197309417,0.06589147286821706,0.1346153846153846,0.05714285714285714,0.1890909090909091,0.06484641638225255,0.075,0.053763440860215055,0.07058823529411765,0.041666666666666664,0.09090909090909091,0.1527777777777778,0.25396825396825395,0.20454545454545456,0.15384615384615385,0.07692307692307693,0.05405405405405406,0.6363636363636364,0.5104166666666666,0.6122448979591837,0.75,0.6666666666666666,0.4166666666666667,0.3,0.35294117647058826,0.4166666666666667,0.0625,0.16666666666666666,0.16666666666666666,1.0,0.010416666666666666,,,,,,,,0.6470588235294118,0.5454545454545454,,,,0.5,0.6666666666666666,,,,,0.5208333333333334,,0.49430572916666665,0.53694,0.46341666666666664,0.21428571428571427,0.21621621621621623,0.11403508771929824,0.16666666666666666,4.186315789473683,23.4,0.14261744966442952,,,,,,,,,,,,0.3333333333333333,,,1.0,0.058823529411764705,True,,,,,,,,
2418,1610612756,Casey Jacobsen,Casey Jacobsen,2418,PHX,4161.0,69,-4.0,133,135,41.0,30,13.0,268,2.0,5.0,,,,2.0,,1.0,2.0,5.0,2.0,8.0,,3.0,2.0,4.0,,1.0,1.0,1.0,4.0,11.0,4.0,12.0,2.0,22.0,120,1.0,1.0,1.0,3.0,,5.0,1.0,4.0,1.0,4.0,,5.0,6.0,2.0,12.0,,4.0,2.0,1.0,2.0,2.0,4.0,,,,2.0,10.0,,,,8.0,,8.0,,8.0,,3.0,3.0,,5.0,,3.0,2.0,1.0,2.0,,7.0,,4.0,1.0,4,,1.0,2.0,,,1.0,,,,,,,,,,,5.0,41.0,,0.75,0.75,1.0,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.36363636363636365,1.0,0.25,0.43478260869565216,0.625,0.3125,0.4583333333333333,0.625,0.3125,0.5217391304347826,0.09090909090909091,0.2,,20.12987012987013,0.7142857142857143,,0.14285714285714285,,,,0.1095890410958904,,,,,,,0.2857142857142857,,0.17391304347826086,,,,,0.21739130434782608,0.4,0.5,0.5,0.043478260869565216,,,,0.21739130434782608,0.4,0.4,1.0,0.34782608695652173,0.25,0.25,1.0,0.17391304347826086,0.5,0.5,1.0,,,0.25,,,0.25,,0.375,,0.125,1.0,0.7391304347826086,0.5,0.5620804347826087,0.5388999999999999,0.57089375,0.041666666666666664,0.08333333333333333,0.22727272727272727,0.22727272727272727,9.218181818181819,23.849999999999998,0.3082706766917293,,,,1.0,2.0,2.0,,0.5,0.5,1.0,,,,,,,True,,,,,,,,
448,1610612756,Bo Outlaw,Bo Outlaw,448,PHX,2008.0,33,,60,68,19.0,23,9.0,128,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,48,,1.0,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,2.0,4.0,,3.0,,6.0,2.0,8.0,3.0,11.0,,1.0,1.0,,2.0,2.0,2.0,2.0,,,,4.0,,1.0,1.0,3,,,2.0,,,1.0,,4.0,,,4.0,,,4.0,1.0,,,19.0,1.0,,,,,,,,,,,,,,0.25,,,,,,,8.108108108108109,0.5,0.6666666666666666,0.1935483870967742,0.1,,,0.17647058823529413,0.07692307692307693,,0.18181818181818182,0.09090909090909091,,,0.1,,0.3125,,,,0.25,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,0.5605,0.5605,,0.5,0.5,,,,,0.31666666666666665,,,,,,,,,,,,,,,,,True,,,,,,,,
339,1610612756,Tom Gugliotta,Tom Gugliotta,339,PHX,10012.0,167,-8.0,307,303,38.0,20,39.0,610,4.0,10.0,1.0,5.0,1.0,1.0,5.0,8.0,16.0,34.0,,,,,,,,,,,25.0,52.0,,,,50.0,309,3.0,8.0,,,,6.0,3.0,8.0,,,,6.0,38.0,12.0,,4.0,,,1.0,10.0,,10.0,,7.0,,3.0,20.0,1.0,10.0,,26.0,4.0,30.0,12.0,42.0,2.0,5.0,5.0,,8.0,2.0,6.0,4.0,,2.0,1.0,12.0,,1.0,9.0,11,,,,,,,,2.0,,,2.0,,,2.0,1.0,,6.0,38.0,,0.76,0.8260869565217391,,,,,,0.4807692307692308,0.375,0.375,0.4807692307692308,0.375,0.375,0.4807692307692308,0.375,0.375,,0.019230769230769232,0.1,,18.028169014084508,0.6666666666666666,0.5714285714285714,0.1984732824427481,0.07462686567164178,,0.05263157894736842,0.17687074829931973,0.0718954248366013,0.06666666666666667,0.03571428571428571,0.09836065573770492,0.07142857142857142,,0.21212121212121213,0.16666666666666666,0.20967741935483872,,,0.08,0.5,0.19230769230769232,0.4,0.4444444444444444,0.5,0.15384615384615385,0.625,0.625,0.4,0.6538461538461539,0.47058823529411764,0.47058823529411764,0.9375,,,,,,,,,0.625,0.2,,,,0.125,1.0,,,,,0.19230769230769232,,0.4482519230769231,0.5252166666666667,0.437725,,,0.12,0.12,13.159615384615384,,0.1237785016286645,,1.0,4.0,,,,,,,,,,,,1.0,0.14285714285714285,True,,,,,,,,
