EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FTDefRebounds,Travels,BlockedShortMidRange,3SecondViolations,Defensive 3 Seconds Violations,DefFTReboundPct,SecondChanceFtPoints,HeaveAttempts,Corner3Assists,SecondChanceTurnovers,DefensiveGoaltends,OffCorner3ReboundPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,FTOffRebounds,OffensiveGoaltends,OffFTReboundPct,Clear Path Fouls,BlockedCorner3,SecondChanceCorner3PctAssisted,on,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked
15,1610612746,Eric Piatkowski,Eric Piatkowski,15,LAC,21067.0,351,-15,657,652,216,179,92,1309,19.0,34.0,4.0,6.0,3.0,5.0,3.0,8,7.0,21.0,9.0,21.0,1.0,1.0,1.0,3.0,14.0,39.0,1.0,6.0,8.0,18.0,29,63,23.0,60.0,34.0,161,700,6.0,11.0,2.0,7.0,18.0,8.0,13,9.0,21.0,7.0,50.0,38,20.0,63.0,6.0,4.0,39.0,14.0,7,8.0,3.0,11.0,3.0,4.0,2.0,2.0,25.0,1.0,15.0,10.0,15,25,16.0,41,2.0,7.0,4.0,3.0,9.0,6.0,6.0,9.0,1.0,3.0,18,7.0,13,25,1.0,1.0,44.0,3.0,7.0,16.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,50.0,216,3.0,0.6551724137931034,0.7037037037037037,0.9130434782608695,0.38333333333333336,0.2857142857142857,0.42857142857142855,0.38333333333333336,0.4603174603174603,0.5454545454545454,0.6153846153846154,0.516260162601626,0.5,0.6323529411764706,0.5607142857142857,0.5,0.6282051282051282,0.4878048780487805,0.1111111111111111,0.11764705882352941,0.25,0.047619047619047616,20.899470899470902,0.5,0.06097560975609756,0.06048387096774194,0.15151515151515152,0.013888888888888888,0.08012820512820513,0.05,0.039473684210526314,0.06896551724137931,0.07058823529411765,0.017543859649122806,0.047619047619047616,0.05263157894736842,0.07476635514018691,0.16666666666666666,0.1111111111111111,0.03125,0.6666666666666666,0.2764227642276423,0.5588235294117647,0.6333333333333333,0.631578947368421,0.06504065040650407,0.375,0.5,1.0,0.17073170731707318,0.3333333333333333,0.35,0.5714285714285714,0.17073170731707318,0.42857142857142855,0.42857142857142855,0.8888888888888888,0.3170731707317073,0.358974358974359,0.358974358974359,0.9285714285714286,0.3333333333333333,0.6666666666666666,0.5,0.05555555555555555,1.0,0.3333333333333333,0.16666666666666666,1.0,0.14705882352941177,0.6,0.08823529411764706,0.3333333333333333,0.5294117647058824,0.4444444444444444,0.7642276422764228,0.358974358974359,0.5384617886178862,0.49680357142857146,0.5246970588235295,0.11764705882352941,0.21052631578947367,0.11180124223602485,0.3105590062111801,7.426984126984126,24.948333333333334,0.3287671232876712,,,,,,,,,,,,,,,,,,,,,,True,,,,
1709,1610612746,Michael Olowokandi,Michael Olowokandi,1709,LAC,7021.0,117,-43,214,211,75,54,16,425,3.0,4.0,,,2.0,2.0,12.0,30,,2.0,,,,,,,,,,,,,15,36,,,5.0,35,211,1.0,2.0,,,2.0,5.0,11,,,4.0,14.0,14,16.0,,,2.0,,,2,2.0,,2.0,,1.0,,1.0,4.0,,4.0,4.0,14,23,4.0,27,1.0,,,,2.0,,1.0,9.0,2.0,1.0,11,4.0,4,9,1.0,3.0,10.0,,,3.0,2.0,7.0,,,5.0,,7.0,4.0,14.0,75,1.0,0.4666666666666667,0.5,,,,,,0.4166666666666667,0.5,0.45454545454545453,0.4166666666666667,0.5,0.45454545454545453,0.4268292682926829,0.3333333333333333,0.5,,0.05555555555555555,0.25,0.03333333333333333,,22.608695652173914,0.18181818181818182,0.14583333333333334,0.046511627906976744,0.19047619047619047,,0.15384615384615385,0.038461538461538464,,0.02702702702702703,0.08571428571428572,,0.18518518518518517,0.15625,0.10810810810810811,0.13333333333333333,0.3333333333333333,0.05263157894736842,0.5714285714285714,0.1111111111111111,0.75,1.0,1.0,0.8333333333333334,0.4,0.41379310344827586,0.3333333333333333,0.05555555555555555,,,,,,,,,,,,,,,,,,,,0.18181818181818182,1.0,,,,,0.1111111111111111,,0.3970194444444445,0.45645,0.39480909090909094,0.07692307692307693,0.07692307692307693,0.05714285714285714,0.4,8.177777777777777,,0.35046728971962615,5.0,3.0,2.0,1.0,2.0,0.5,,,,,,,,,,,,,,,,True,,,,
1762,1610612746,Tremaine Fowlkes,Tremaine Fowlkes,1762,LAC,4923.0,82,7,147,149,44,40,26,296,2.0,6.0,,3.0,1.0,2.0,1.0,4,2.0,7.0,,1.0,,,,1.0,,,,,,,5,17,,1.0,12.0,22,135,,3.0,,,,1.0,4,,1.0,6.0,8.0,8,2.0,,,,,,5,3.0,,3.0,,1.0,1.0,1.0,6.0,,2.0,4.0,8,12,2.0,14,,2.0,1.0,1.0,1.0,,1.0,,,,1,,5,13,2.0,,14.0,,,6.0,1.0,,,,,,,,8.0,44,,0.8,0.8,,,,,,0.29411764705882354,,0.25,0.2777777777777778,,0.2,0.44,,0.5,0.05555555555555555,0.29411764705882354,0.5,0.25,0.14285714285714285,14.857142857142858,1.0,0.13333333333333333,0.028985507246376812,0.2,,0.15,0.025,0.047619047619047616,0.047619047619047616,,,0.1111111111111111,0.2777777777777778,0.041666666666666664,0.23529411764705882,,,,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.2222222222222222,0.25,0.3333333333333333,,0.3888888888888889,0.2857142857142857,0.3333333333333333,1.0,0.05555555555555555,,,,,,,,1.0,,,,,,,,0.4,0.5,0.2,,,,0.3888888888888889,,0.4475777777777778,0.5579000000000001,0.47598,0.25,0.2608695652173913,,0.36363636363636365,10.717647058823532,22.2,0.29931972789115646,,,,,,,,,,,,,,,,,,,,,,True,,,,
1889,1610612746,Andre Miller,Andre Miller,1889,LAC,62407.0,1040,-289,1983,1981,502,367,280,3964,49.0,96.0,5.0,16.0,13.0,25.0,36.0,122,34.0,92.0,1.0,4.0,,,1.0,1.0,4.0,22.0,1.0,4.0,,6.0,119,310,5.0,26.0,96.0,349,2242,10.0,37.0,1.0,4.0,27.0,29.0,72,1.0,7.0,31.0,92.0,78,160.0,12.0,3.0,6.0,20.0,4.0,29,151.0,24.0,175.0,20.0,70.0,20.0,61.0,374.0,4.0,36.0,20.0,58,79,40.0,119,10.0,36.0,26.0,10.0,44.0,8.0,26.0,19.0,1.0,18.0,63,16.0,22,65,1.0,9.0,115.0,10.0,5.0,51.0,9.0,3.0,,,2.0,1.0,3.0,1.0,92.0,502,9.0,0.3277310924369748,0.33620689655172414,0.8,0.19230769230769232,0.25,0.14285714285714285,0.20833333333333334,0.38387096774193546,0.2702702702702703,0.4027777777777778,0.37648809523809523,0.2804878048780488,0.3860759493670886,0.44559585492227977,0.3068181818181818,0.46842105263157896,0.07738095238095238,0.0935483870967742,0.14583333333333334,0.11475409836065574,0.010869565217391304,19.470945359930617,0.6984126984126984,0.0807799442896936,0.04265402843601896,0.10695187165775401,0.023529411764705882,0.0861878453038674,0.03944773175542406,0.024691358024691357,0.05054151624548736,0.04938271604938271,0.027972027972027972,0.05027932960893855,0.06938775510204082,0.10884353741496598,0.11971830985915492,0.06666666666666667,0.05555555555555555,0.3333333333333333,0.2857142857142857,0.5104166666666666,0.5975609756097561,0.42857142857142855,0.3630952380952381,0.29508196721311475,0.3333333333333333,0.08333333333333333,0.27380952380952384,0.3695652173913043,0.37362637362637363,0.4411764705882353,0.011904761904761904,0.25,0.25,1.0,0.06547619047619048,0.18181818181818182,0.18181818181818182,0.75,0.3902439024390244,0.3125,0.4,,,0.0975609756097561,0.25,1.0,0.31645569620253167,0.52,0.012658227848101266,1.0,0.0759493670886076,,0.3630952380952381,0.2,0.4544121257485029,0.4423914285714286,0.4457173076923077,0.13527851458885942,0.1452991452991453,0.07736389684813753,0.2636103151862464,8.922580645161291,27.96153846153846,0.25315179021684314,1.0,,,,2.0,0.01694915254237288,4.0,2.0,4.0,4.0,,,,,,,,,,,,True,,,,
399,1610612746,Sean Rooks,Sean Rooks,399,LAC,80603.0,1343,-310,2531,2539,675,530,349,5070,27.0,43.0,14.0,20.0,10.0,12.0,18.0,56,80.0,197.0,,,,,,,,1.0,,1.0,,,125,296,,1.0,47.0,297,2802,24.0,41.0,,1.0,67.0,32.0,67,,,22.0,86.0,184,66.0,,,22.0,1.0,,7,56.0,13.0,69.0,11.0,35.0,15.0,6.0,151.0,12.0,41.0,34.0,107,163,53.0,216,8.0,34.0,28.0,6.0,43.0,15.0,31.0,23.0,1.0,12.0,66,25.0,106,174,8.0,1.0,58.0,4.0,,24.0,7.0,44.0,,,23.0,5.0,44.0,22.0,86.0,675,16.0,0.736,0.8070175438596491,,,,,,0.4222972972972973,0.5853658536585366,0.47761194029850745,0.4208754208754209,0.5714285714285714,0.47761194029850745,0.4583333333333333,0.6442307692307693,0.5375,0.003367003367003367,0.02364864864864865,0.09302325581395349,0.05357142857142857,,13.31967213114754,0.6515151515151515,0.11192468619246862,0.0393852065321806,0.14107883817427386,0.05106382978723404,0.11779448621553884,0.041536050156739814,0.06557377049180328,0.026627218934911243,0.03015075376884422,0.05128205128205128,0.12048192771084337,0.12745098039215685,0.09476309226932668,0.12834224598930483,0.18518518518518517,0.048484848484848485,0.5,0.1447811447811448,0.627906976744186,0.6923076923076923,0.4444444444444444,0.18855218855218855,0.32142857142857145,0.33962264150943394,0.5,0.6632996632996633,0.40609137055837563,0.40609137055837563,0.8875,,,,,0.003367003367003367,,,,0.47619047619047616,0.7,0.14285714285714285,,,0.023809523809523808,,,0.1791044776119403,0.8333333333333334,,,,,0.14814814814814814,,0.41951666666666665,0.4777125000000001,0.4127149253731343,0.07570977917981073,0.0759493670886076,0.2255892255892256,0.2895622895622896,13.896621621621627,25.2,0.26669300671671275,22.0,2.0,16.0,2.0,5.0,0.29333333333333333,19.0,,2.0,4.0,2.0,0.05,,,,,,,,,,True,,,,
2039,1610612746,Keyon Dooling,Keyon Dooling,2039,LAC,14855.0,248,-70,454,459,136,133,59,913,5.0,16.0,,,3.0,4.0,4.0,11,21.0,40.0,,5.0,,,,1.0,6.0,23.0,1.0,3.0,2.0,7.0,30,67,6.0,28.0,12.0,90,488,1.0,2.0,1.0,3.0,7.0,12.0,19,2.0,8.0,5.0,35.0,12,48.0,15.0,3.0,,23.0,6.0,6,13.0,5.0,18.0,4.0,3.0,3.0,7.0,41.0,2.0,1.0,3.0,16,19,3.0,22,,4.0,3.0,1.0,3.0,3.0,3.0,10.0,2.0,,13,3.0,8,21,1.0,3.0,18.0,1.0,3.0,6.0,2.0,2.0,,,1.0,1.0,2.0,1.0,35.0,136,2.0,0.2,0.2,0.8333333333333334,0.21428571428571427,0.3333333333333333,0.25,0.21428571428571427,0.44776119402985076,0.5,0.631578947368421,0.4105263157894737,0.5,0.5555555555555556,0.43137254901960786,0.5833333333333334,0.5645161290322581,0.29473684210526313,0.08955223880597014,0.375,,,22.243713733075435,0.23076923076923078,0.08290155440414508,0.006211180124223602,0.07894736842105263,0.03333333333333333,0.08225108225108226,0.013574660633484163,,0.02040816326530612,,0.044444444444444446,0.06818181818181818,0.07692307692307693,0.09278350515463918,0.06666666666666667,0.125,,0.5,0.16842105263157894,0.3125,0.5,0.4,0.11578947368421053,0.36363636363636365,0.36363636363636365,,0.42105263157894735,0.525,0.525,0.19047619047619047,0.05263157894736842,,,,0.24210526315789474,0.2608695652173913,0.2727272727272727,0.8333333333333334,,,,,,0.6,0.3333333333333333,1.0,0.14814814814814814,0.75,0.037037037037037035,,0.25925925925925924,0.2857142857142857,0.4631578947368421,0.2608695652173913,0.4690205263157895,0.4622,0.46227962962962965,0.06,0.08333333333333333,0.07777777777777778,0.3888888888888889,12.617910447761194,25.014285714285716,0.29955947136563876,,,,,,,2.0,,1.0,,,,1.0,0.03571428571428571,0.043478260869565216,,,,,,,True,,,,
1894,1610612746,Corey Maggette,Corey Maggette,1894,LAC,46875.0,781,-241,1498,1497,328,235,201,2995,74.0,122.0,11.0,21.0,18.0,27.0,11.0,30,39.0,111.0,4.0,11.0,,1.0,2.0,3.0,19.0,65.0,5.0,11.0,4.0,18.0,124,263,23.0,76.0,116.0,433,1697,17.0,35.0,5.0,12.0,65.0,27.0,48,6.0,21.0,28.0,100.0,140,108.0,60.0,9.0,12.0,65.0,19.0,26,47.0,4.0,51.0,4.0,21.0,7.0,19.0,106.0,3.0,30.0,19.0,73,97,36.0,133,6.0,21.0,18.0,3.0,28.0,6.0,14.0,26.0,9.0,14.0,54,10.0,20,61,1.0,5.0,144.0,11.0,9.0,64.0,9.0,4.0,,,1.0,3.0,4.0,3.0,100.0,328,5.0,0.5645161290322581,0.5932203389830508,0.8695652173913043,0.3026315789473684,0.4166666666666667,0.2857142857142857,0.3026315789473684,0.4714828897338403,0.4857142857142857,0.5625,0.46755162241887904,0.5212765957446809,0.5217391304347826,0.5324189526184538,0.5614035087719298,0.5892857142857143,0.22418879056047197,0.09885931558935361,0.11475409836065574,0.3333333333333333,0.018018018018018018,26.255049047893827,0.5185185185185185,0.12966252220248667,0.04559270516717325,0.14393939393939395,0.02631578947368421,0.13237410071942446,0.042746113989637305,0.060109289617486336,0.03317535545023697,0.045454545454545456,0.030927835051546393,0.11724137931034483,0.12041884816753927,0.14537444933920704,0.16346153846153846,0.07142857142857142,0.036585365853658534,0.75,0.35988200589970504,0.6065573770491803,0.6851851851851852,0.5540540540540541,0.08849557522123894,0.36666666666666664,0.55,0.45454545454545453,0.3274336283185841,0.35135135135135137,0.3577981651376147,0.6153846153846154,0.032448377581120944,0.36363636363636365,0.36363636363636365,0.75,0.19174041297935104,0.2923076923076923,0.2923076923076923,0.8947368421052632,0.44680851063829785,0.5238095238095238,0.2727272727272727,0.02127659574468085,,0.23404255319148937,0.45454545454545453,0.8,0.391304347826087,0.6666666666666666,0.043478260869565216,0.6666666666666666,0.2608695652173913,0.2222222222222222,0.584070796460177,0.2923076923076923,0.5162176991150442,0.5230955555555555,0.5337123188405798,0.16326530612244897,0.20253164556962025,0.15011547344110854,0.23094688221709006,9.177946768060835,25.14605263157895,0.21895861148197596,5.0,3.0,,,,0.12195121951219512,16.0,,,3.0,,,,,,3.0,1.0,0.08823529411764706,,,,True,,,,
2047,1610612746,Quentin Richardson,Quentin Richardson,2047,LAC,25767.0,429,-54,790,808,243,231,118,1598,37.0,77.0,10.0,20.0,10.0,23.0,4.0,21,10.0,21.0,1.0,7.0,,2.0,,1.0,15.0,59.0,1.0,4.0,3.0,18.0,51,119,16.0,66.0,30.0,180,832,10.0,22.0,1.0,6.0,25.0,14.0,31,3.0,19.0,11.0,48.0,48,54.0,42.0,6.0,18.0,57.0,15.0,7,14.0,4.0,18.0,3.0,5.0,2.0,7.0,40.0,2.0,23.0,16.0,39,56,27.0,83,5.0,12.0,8.0,4.0,10.0,1.0,4.0,9.0,2.0,6.0,19,8.0,19,35,1.0,2.0,42.0,4.0,,18.0,5.0,,,,,,,,48.0,243,6.0,0.47058823529411764,0.5714285714285714,0.875,0.24242424242424243,0.16666666666666666,0.15789473684210525,0.25,0.42857142857142855,0.45454545454545453,0.45161290322580644,0.40540540540540543,0.4107142857142857,0.37,0.4411764705882353,0.4166666666666667,0.42105263157894735,0.3567567567567568,0.058823529411764705,0.06493506493506493,0.09523809523809523,,24.134199134199132,0.5263157894736842,0.13087248322147652,0.07395498392282958,0.19047619047619047,0.020202020202020204,0.14397905759162305,0.06097560975609756,0.05504587155963303,0.0761904761904762,0.09278350515463918,0.012658227848101266,0.09333333333333334,0.15053763440860216,0.13846153846153847,0.20967741935483872,0.13636363636363635,0.04672897196261682,,0.41621621621621624,0.4805194805194805,0.5138888888888888,0.4864864864864865,0.11351351351351352,0.19047619047619047,0.21052631578947367,0.5,0.11351351351351352,0.47619047619047616,0.47619047619047616,0.4,0.03783783783783784,0.14285714285714285,0.14285714285714285,1.0,0.31891891891891894,0.2542372881355932,0.25862068965517243,0.8666666666666667,0.7142857142857143,0.5,0.1,0.07142857142857142,,0.14285714285714285,0.25,1.0,0.46,0.43478260869565216,0.02,,0.36,0.16666666666666666,0.772972972972973,0.2631578947368421,0.5261599447513814,0.5566134615384615,0.5320606382978723,0.09045226130653267,0.13533834586466165,0.1388888888888889,0.26666666666666666,4.919327731092436,27.019696969696973,0.30759493670886073,1.0,3.0,,1.0,,0.034482758620689655,2.0,2.0,1.0,5.0,1.0,0.05,1.0,0.015151515151515152,0.01694915254237288,2.0,,0.09523809523809523,,,,True,,,,
2060,1610612746,Marko Jaric,Marko Jaric,2060,LAC,21120.0,352,-25,649,652,267,234,85,1301,19.0,35.0,3.0,6.0,7.0,14.0,2.0,7,6.0,20.0,3.0,7.0,,,2.0,3.0,8.0,35.0,,2.0,5.0,17.0,27,62,11.0,42.0,22.0,109,685,3.0,7.0,,2.0,9.0,11.0,24,7.0,20.0,17.0,60.0,22,32.0,33.0,,2.0,34.0,8.0,1,28.0,9.0,37.0,7.0,17.0,3.0,8.0,83.0,2.0,9.0,7.0,19,26,11.0,37,4.0,31.0,23.0,8.0,15.0,4.0,11.0,11.0,1.0,4.0,26,10.0,11,29,2.0,3.0,27.0,,1.0,5.0,8.0,3.0,1.0,1.0,2.0,,4.0,3.0,60.0,267,5.0,0.4074074074074074,0.4230769230769231,1.0,0.2619047619047619,,0.35,0.2682926829268293,0.43548387096774194,0.42857142857142855,0.4583333333333333,0.4182692307692308,0.3333333333333333,0.48863636363636365,0.46153846153846156,0.4090909090909091,0.5555555555555556,0.40384615384615385,0.016129032258064516,,0.14285714285714285,,19.324324324324323,0.5769230769230769,0.07421875,0.038461538461538464,0.09722222222222222,0.029411764705882353,0.07926829268292683,0.03642384105960265,0.08108108108108109,0.0273972602739726,0.011494252873563218,0.017857142857142856,0.03571428571428571,0.08064516129032258,0.1,0.10909090909090909,0.058823529411764705,0.06349206349206349,0.75,0.33653846153846156,0.5428571428571428,0.5428571428571428,0.3684210526315789,0.0673076923076923,0.2857142857142857,0.3333333333333333,0.5,0.19230769230769232,0.3,0.3,0.5,0.0673076923076923,0.42857142857142855,0.42857142857142855,1.0,0.33653846153846156,0.22857142857142856,0.22857142857142856,1.0,0.6666666666666666,0.5,0.3333333333333333,,,0.2222222222222222,,,0.3181818181818182,0.5,0.06818181818181818,0.6666666666666666,0.38636363636363635,0.29411764705882354,0.7403846153846154,0.23529411764705882,0.5161514563106796,0.5220785714285714,0.5118058139534885,0.045871559633027525,0.07462686567164178,0.08256880733944955,0.5504587155963303,7.148387096774194,25.84761904761905,0.41140215716486905,,2.0,1.0,,1.0,,3.0,1.0,2.0,2.0,,0.08333333333333333,,,,,,,,,,True,,,,
1882,1610612746,Elton Brand,Elton Brand,1882,LAC,39843.0,664,-128,1258,1268,353,250,190,2526,80.0,125.0,31.0,49.0,20.0,33.0,43.0,117,13.0,40.0,,,,,,,,1.0,,,,1.0,136,282,,1.0,75.0,347,1411,35.0,62.0,,,93.0,30.0,65,,1.0,32.0,92.0,154,118.0,,,58.0,,,15,30.0,17.0,47.0,14.0,14.0,3.0,13.0,111.0,9.0,80.0,14.0,82,108,89.0,197,12.0,24.0,10.0,14.0,21.0,3.0,10.0,22.0,4.0,11.0,43,11.0,19,45,3.0,7.0,101.0,14.0,,45.0,12.0,32.0,1.0,,18.0,1.0,33.0,17.0,92.0,353,5.0,0.5661764705882353,0.719626168224299,,,,,,0.48226950354609927,0.5645161290322581,0.46153846153846156,0.48056537102473496,0.5645161290322581,0.45454545454545453,0.5322085889570553,0.6283783783783784,0.5287356321839081,0.0035335689045936395,0.05319148936170213,0.064,0.05128205128205128,0.025,24.898785425101213,0.4883720930232558,0.16872427983539096,0.15655577299412915,0.1206896551724138,0.07627118644067797,0.15946843853820597,0.14149443561208266,0.21019108280254778,0.1511627906976744,0.11538461538461539,0.08653846153846154,0.1652892561983471,0.15,0.18536585365853658,0.11235955056179775,0.14814814814814814,0.0916030534351145,0.5151515151515151,0.4416961130742049,0.64,0.6837606837606838,0.5,0.4134275618374558,0.36752136752136755,0.38738738738738737,0.6046511627906976,0.1413427561837456,0.325,0.3333333333333333,0.8461538461538461,,,,,0.0035335689045936395,,,,0.7903225806451613,0.6326530612244898,0.06451612903225806,,,,,,0.5,0.6060606060606061,,,0.015151515151515152,,0.4452296819787986,,0.4756425531914893,0.5066525423728813,0.4827953846153847,0.14331210191082802,0.14376996805111822,0.2680115273775216,0.26512968299711814,6.084397163120566,42.4,0.28060413354531,12.0,3.0,13.0,2.0,1.0,0.3157894736842105,23.0,1.0,3.0,2.0,,,,,,,,,1.0,1.0,,True,,,,
