EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FTOffRebounds,FTDefRebounds,Blocked3s,BlockedArc3,BlockedAtRim,BlockedCorner3,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,DefFTReboundPct,OffFTReboundPct,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,on,Clear Path Fouls,HeaveMakes,Corner3PctBlocked
1088,1610612765,Chucky Atkins,Chucky Atkins,1088,DET,52275.0,871,127,1567,1573,459,466,212,3140,23.0,52.0,2.0,5.0,8.0,18.0,5.0,18.0,23.0,71.0,19.0,43.0,4.0,9.0,1.0,3.0,30.0,95.0,4.0,15.0,3.0,29.0,51.0,141,49.0,138.0,30.0,279.0,1501,4.0,13.0,8.0,24.0,2.0,34.0,13.0,46.0,4.0,32.0,21.0,59.0,42.0,60.0,135.0,12.0,2.0,5.0,90.0,30.0,8.0,81.0,31.0,112.0,23.0,8.0,34.0,18.0,29.0,255.0,7.0,8.0,9.0,34.0,43.0,15.0,58.0,3.0,19.0,7.0,12.0,27.0,7.0,21.0,23.0,6.0,6.0,2.0,50.0,6.0,10.0,20.0,65,3.0,5.0,37.0,3.0,3.0,11.0,1.0,6.0,3.0,2.0,1.0,3.0,3.0,1.0,59.0,459,5.0,0.4117647058823529,0.42,0.9183673469387755,0.35507246376811596,0.3333333333333333,0.125,0.3684210526315789,0.3617021276595745,0.3076923076923077,0.2826086956521739,0.44623655913978494,0.43243243243243246,0.24358974358974358,0.4710884353741497,0.4473684210526316,0.3277777777777778,0.4946236559139785,0.05673758865248227,0.11538461538461539,0.05555555555555555,0.014084507042253521,18.838992332968235,0.54,0.05214723926380368,0.014184397163120567,0.07964601769911504,0.03482587064676617,0.05620915032679739,0.0196078431372549,0.017142857142857144,0.011627906976744186,0.013824884792626729,0.035211267605633804,0.03389830508474576,0.046511627906976744,0.04,0.06428571428571428,0.10588235294117647,0.019230769230769232,1.0,0.1863799283154122,0.4423076923076923,0.5,0.2608695652173913,0.06451612903225806,0.2777777777777778,0.29411764705882354,0.2,0.25448028673835127,0.323943661971831,0.32857142857142857,0.6086956521739131,0.15412186379928317,0.4418604651162791,0.4418604651162791,0.9473684210526315,0.34050179211469533,0.3157894736842105,0.3157894736842105,0.9,0.13513513513513514,0.4,0.24324324324324326,0.4444444444444444,1.0,0.40540540540540543,0.26666666666666666,1.0,0.23076923076923078,0.4444444444444444,0.038461538461538464,0.3333333333333333,0.3717948717948718,0.10344827586206896,0.6810035842293907,0.3333333333333333,0.4939430656934306,0.5189140000000001,0.4631904109589041,0.041666666666666664,0.0738255033557047,0.007194244604316547,0.12186379928315412,0.2114695340501792,10.600000000000001,26.069565217391307,0.2929164007657945,,,,,,,,,,,,,,,,,,True,,,
1112,1610612765,Ben Wallace,Ben Wallace,1112,DET,172287.0,2871,223,5173,5196,1464,1341,625,10369,168.0,284.0,59.0,106.0,47.0,81.0,21.0,68.0,20.0,79.0,,1.0,,,,1.0,1.0,5.0,,,1.0,3.0,209.0,431,1.0,6.0,85.0,506.0,5126,64.0,121.0,,,22.0,150.0,57.0,118.0,1.0,4.0,35.0,152.0,264.0,154.0,3.0,,90.0,1.0,4.0,1.0,22.0,95.0,25.0,120.0,21.0,4.0,33.0,12.0,50.0,265.0,68.0,224.0,97.0,654.0,833.0,293.0,1126.0,19.0,104.0,59.0,45.0,47.0,12.0,32.0,41.0,7.0,15.0,6.0,88.0,18.0,25.0,114.0,179,15.0,8.0,189.0,13.0,,73.0,,28.0,225.0,17.0,59.0,230.0,135.0,4.0,152.0,1464,15.0,0.631578947368421,0.8048780487804879,1.0,0.16666666666666666,,0.25,0.2,0.48491879350348027,0.5289256198347108,0.4830508474576271,0.4816933638443936,0.5289256198347108,0.47950819672131145,0.4819047619047619,0.5319148936170213,0.4634146341463415,0.013729977116704805,0.05104408352668213,0.045774647887323945,0.1323529411764706,,10.35647913498902,0.5340909090909091,0.3050373134328358,0.11795681937862032,0.260752688172043,0.11409395973154363,0.29848966613672495,0.11703406813627254,0.13108614232209737,0.13873873873873874,0.09506172839506173,0.10961968680089486,0.12751677852348994,0.2578512396694215,0.31527093596059114,0.32903225806451614,0.2631578947368421,0.09595959595959595,0.5869565217391305,0.6498855835240275,0.5915492957746479,0.6199261992619927,0.6428571428571429,0.15560640732265446,0.3088235294117647,0.3559322033898305,0.47619047619047616,0.18077803203661327,0.25316455696202533,0.25316455696202533,0.7,0.002288329519450801,,,,0.011441647597254004,0.2,0.2,1.0,0.8760330578512396,0.5566037735849056,,,,,,,0.6639344262295082,0.5802469135802469,0.00819672131147541,,0.02459016393442623,0.3333333333333333,0.6636155606407322,0.25,0.4931134174311927,0.5214522935779816,0.4953495867768595,0.14688128772635814,0.14867617107942974,,0.2964426877470356,0.30039525691699603,4.66983758700696,31.350000000000005,0.28300792576841294,1.0,82.0,5.0,4.0,149.0,1.0,15.0,1.0,3.0,0.5256410256410257,0.006211180124223602,0.25287356321839083,0.1694915254237288,,,,,True,,,
1442,1610612765,Zeljko Rebraca,Zeljko Rebraca,1442,DET,16979.0,283,32,499,502,101,78,54,1001,13.0,22.0,5.0,6.0,2.0,2.0,24.0,47.0,7.0,14.0,,,,,,,,,,,,,44.0,83,,,13.0,101.0,461,8.0,15.0,,,2.0,18.0,9.0,13.0,,,8.0,26.0,62.0,26.0,,,8.0,,,,8.0,6.0,2.0,8.0,2.0,,4.0,2.0,,18.0,2.0,15.0,3.0,28.0,31.0,17.0,48.0,1.0,4.0,4.0,,6.0,,3.0,19.0,,3.0,5.0,25.0,,5.0,19.0,52,7.0,11.0,19.0,1.0,,7.0,,3.0,11.0,,2.0,11.0,8.0,1.0,26.0,101,6.0,0.7045454545454546,0.775,,,,,,0.5301204819277109,0.5333333333333333,0.6923076923076923,0.5301204819277109,0.5333333333333333,0.6923076923076923,0.5489130434782609,0.5625,0.7222222222222222,,0.0963855421686747,0.18181818181818182,0.06382978723404255,0.07142857142857142,20.855614973262032,0.24,0.12389380530973451,0.0847457627118644,0.125,0.05128205128205128,0.124,0.0787037037037037,0.08333333333333333,0.03389830508474576,0.12857142857142856,0.0625,,0.08771929824561403,0.11267605633802817,0.15306122448979592,0.13333333333333333,0.03225806451612903,0.7272727272727273,0.26506024096385544,0.5909090909090909,0.7222222222222222,0.6923076923076923,0.5662650602409639,0.5106382978723404,0.5454545454545454,0.7083333333333334,0.1686746987951807,0.5,0.5384615384615384,0.7142857142857143,,,,,,,,,0.4,0.8333333333333334,,,,,,,0.15384615384615385,1.0,,,,,0.26506024096385544,,0.4256951807228916,0.4458384615384615,0.3851923076923077,0.07865168539325842,0.07865168539325842,,0.1782178217821782,0.25742574257425743,8.18433734939759,,0.20240480961923848,,,,,9.0,,,,2.0,,,0.1111111111111111,0.4,,,,,True,,,
1888,1610612765,Richard Hamilton,Richard Hamilton,1888,DET,127238.0,2121,133,3863,3862,1157,1011,428,7725,158.0,266.0,17.0,31.0,50.0,77.0,95.0,227.0,193.0,466.0,15.0,38.0,3.0,6.0,2.0,7.0,15.0,59.0,4.0,11.0,4.0,19.0,446.0,959,30.0,97.0,358.0,1340.0,3823,52.0,101.0,7.0,17.0,29.0,154.0,115.0,241.0,6.0,26.0,186.0,434.0,478.0,414.0,84.0,6.0,34.0,1.0,58.0,15.0,77.0,129.0,37.0,166.0,26.0,11.0,57.0,28.0,44.0,369.0,13.0,47.0,39.0,135.0,179.0,62.0,241.0,15.0,51.0,33.0,18.0,79.0,17.0,39.0,86.0,14.0,40.0,10.0,165.0,9.0,49.0,61.0,198,4.0,37.0,426.0,27.0,24.0,148.0,,67.0,11.0,5.0,4.0,11.0,7.0,1.0,434.0,1157,31.0,0.5358744394618834,0.5571095571095571,0.9333333333333333,0.30927835051546393,0.4117647058823529,0.23076923076923078,0.3125,0.46506777893639206,0.5148514851485149,0.47717842323651455,0.4649621212121212,0.5296610169491526,0.46441947565543074,0.5305466237942122,0.5708955223880597,0.5756756756756757,0.09185606060606061,0.08029197080291971,0.15413533834586465,0.06607929515418502,0.045064377682403435,32.308398347865996,0.47878787878787876,0.08448060075093868,0.03328611898016997,0.14233576642335766,0.03217821782178218,0.09294871794871795,0.03303964757709251,0.051351351351351354,0.03598971722365039,0.021439509954058193,0.0297029702970297,0.039603960396039604,0.1050328227571116,0.07956989247311828,0.07396449704142012,0.1261682242990654,0.03006012024048096,0.6363636363636364,0.2518939393939394,0.5939849624060151,0.7022222222222222,0.47468354430379744,0.21496212121212122,0.4185022026431718,0.4481132075471698,0.43157894736842106,0.4412878787878788,0.41416309012875535,0.4337078651685393,0.6373056994818653,0.03598484848484849,0.39473684210526316,0.39473684210526316,0.9333333333333333,0.05587121212121212,0.2542372881355932,0.25862068965517243,0.9333333333333333,0.2627118644067797,0.5483870967741935,0.05084745762711865,0.5,1.0,0.09322033898305085,0.36363636363636365,1.0,0.2883895131086142,0.6493506493506493,0.026217228464419477,0.2857142857142857,0.07116104868913857,0.21052631578947367,0.34375,0.25862068965517243,0.45747753554502374,0.45827119565217384,0.46241992481203004,0.12574341546304163,0.13703703703703704,,0.11492537313432835,0.3238805970149254,11.056100104275286,25.029896907216497,0.29950815428423505,2.0,5.0,,,2.0,,,,,0.04672897196261682,0.017699115044247787,0.2,0.29411764705882354,1.0,0.010309278350515464,0.01694915254237288,,True,,,
2419,1610612765,Tayshaun Prince,Tayshaun Prince,2419,DET,9626.0,160,-35,288,289,53,63,33,577,3.0,7.0,,,,,4.0,6.0,2.0,9.0,1.0,3.0,,,,,6.0,9.0,1.0,1.0,2.0,2.0,9.0,22,7.0,12.0,5.0,44.0,310,2.0,2.0,1.0,1.0,1.0,8.0,,,2.0,2.0,4.0,10.0,8.0,10.0,21.0,,,,9.0,6.0,2.0,5.0,1.0,6.0,1.0,,,4.0,1.0,13.0,,1.0,1.0,8.0,11.0,1.0,12.0,,2.0,1.0,1.0,1.0,1.0,1.0,4.0,,,1.0,5.0,,1.0,8.0,12,,2.0,9.0,1.0,,3.0,,2.0,1.0,,1.0,2.0,1.0,,10.0,53,,0.4444444444444444,0.4444444444444444,1.0,0.5833333333333334,1.0,1.0,0.5833333333333334,0.4090909090909091,1.0,,0.5735294117647058,1.1666666666666667,1.5,0.5789473684210527,1.0,1.0,0.35294117647058826,0.09090909090909091,0.2857142857142857,,,13.271604938271604,0.2,0.064,0.00909090909090909,0.07142857142857142,,0.06474820143884892,0.006896551724137931,,,0.02,,,0.0967741935483871,0.04878048780487805,0.05660377358490566,,,0.5,0.20588235294117646,0.42857142857142855,0.6,0.3333333333333333,0.17647058823529413,0.6666666666666666,0.6666666666666666,0.25,0.2647058823529412,0.2222222222222222,0.2222222222222222,1.0,0.08823529411764706,0.3333333333333333,0.3333333333333333,1.0,0.2647058823529412,0.6666666666666666,0.6666666666666666,1.0,,,,,,0.3333333333333333,1.0,1.0,,,,,1.0,1.0,0.5588235294117647,0.6666666666666666,0.48412499999999986,0.43585,0.512175,0.08333333333333333,0.125,,0.18181818181818182,0.22727272727272727,10.113636363636363,25.141666666666666,0.1840277777777778,,2.0,1.0,1.0,,,,,,0.2,,0.5,,,,,,True,,,
468,1610612765,Jon Barry,Jon Barry,468,DET,52487.0,875,181,1559,1565,502,460,218,3124,20.0,38.0,2.0,4.0,7.0,10.0,3.0,10.0,47.0,82.0,10.0,38.0,2.0,3.0,3.0,11.0,41.0,89.0,8.0,16.0,10.0,21.0,70.0,130,51.0,127.0,44.0,337.0,1520,7.0,15.0,10.0,19.0,1.0,45.0,22.0,33.0,13.0,32.0,25.0,108.0,64.0,76.0,105.0,48.0,4.0,,89.0,41.0,8.0,92.0,19.0,111.0,8.0,11.0,46.0,27.0,19.0,241.0,10.0,9.0,12.0,60.0,80.0,20.0,100.0,8.0,34.0,24.0,10.0,41.0,3.0,33.0,7.0,1.0,8.0,,48.0,5.0,10.0,25.0,62,,2.0,52.0,3.0,11.0,15.0,,7.0,8.0,4.0,1.0,8.0,5.0,,108.0,502,11.0,0.45714285714285713,0.47058823529411764,0.6862745098039216,0.4015748031496063,0.5263157894736842,0.40625,0.4015748031496063,0.5384615384615384,0.4666666666666667,0.6666666666666666,0.5700389105058365,0.6470588235294118,0.6384615384615384,0.5942028985507246,0.6470588235294118,0.6883116883116883,0.49416342412451364,0.06153846153846154,0.13157894736842105,0.1,0.024390243902439025,17.6566757493188,0.8541666666666666,0.0947867298578199,0.016363636363636365,0.10526315789473684,0.04291845493562232,0.0963855421686747,0.024265644955300127,0.02127659574468085,0.011560693641618497,0.015873015873015872,0.05263157894736842,0.016129032258064516,0.08284023668639054,0.05813953488372093,0.1232876712328767,0.0975609756097561,0.06504065040650407,0.625,0.14785992217898833,0.5263157894736842,0.6060606060606061,0.2,0.038910505836575876,0.3,0.3333333333333333,1.0,0.31906614785992216,0.573170731707317,0.5875,0.5319148936170213,0.14785992217898833,0.2631578947368421,0.2631578947368421,0.9,0.3463035019455253,0.4606741573033708,0.47126436781609193,0.6341463414634146,0.11764705882352941,0.5,0.08823529411764706,0.6666666666666666,0.5,0.47058823529411764,0.5,0.625,0.15384615384615385,0.7,0.16923076923076924,0.2727272727272727,0.3230769230769231,0.47619047619047616,0.642023346303502,0.4606741573033708,0.4944939688715953,0.46888809523809527,0.48448923076923067,0.055762081784386616,0.1056338028169014,,0.13353115727002968,0.32047477744807124,12.550769230769234,25.323622047244093,0.32200128287363694,1.0,8.0,,,3.0,,,,,0.125,0.017857142857142856,0.125,,2.0,0.015748031496062992,0.02247191011235955,,True,,,
688,1610612765,Michael Curry,Michael Curry,688,DET,78181.0,1303,-61,2333,2376,387,356,223,4709,26.0,50.0,5.0,10.0,3.0,5.0,1.0,9.0,41.0,96.0,4.0,20.0,,,1.0,3.0,11.0,28.0,1.0,2.0,1.0,2.0,68.0,155,15.0,48.0,29.0,210.0,2353,7.0,20.0,1.0,2.0,4.0,21.0,8.0,16.0,2.0,5.0,6.0,28.0,120.0,16.0,45.0,,4.0,,28.0,11.0,9.0,64.0,29.0,93.0,21.0,8.0,15.0,12.0,37.0,215.0,2.0,11.0,7.0,83.0,93.0,13.0,106.0,2.0,39.0,21.0,18.0,18.0,4.0,12.0,21.0,1.0,6.0,4.0,39.0,3.0,5.0,53.0,142,4.0,12.0,38.0,2.0,,16.0,,4.0,4.0,2.0,1.0,4.0,3.0,,28.0,387,6.0,0.8823529411764706,0.9090909090909091,1.0,0.3125,0.5,0.4,0.3125,0.43870967741935485,0.35,0.5,0.4458128078817734,0.38636363636363635,0.5238095238095238,0.4751131221719457,0.45652173913043476,0.56,0.23645320197044334,0.05806451612903226,0.18,,,10.034735623311462,0.46153846153846156,0.08333333333333333,0.012672811059907835,0.041916167664670656,0.00904977375565611,0.07738607050730868,0.011937557392102846,0.02403846153846154,0.004366812227074236,0.01160092807424594,0.011695906432748537,,0.08783783783783784,0.09926470588235294,0.07009345794392523,0.032,0.01818181818181818,0.75,0.24630541871921183,0.52,0.6341463414634146,0.8076923076923077,0.04433497536945813,0.1111111111111111,0.1111111111111111,1.0,0.4729064039408867,0.4270833333333333,0.4270833333333333,0.926829268292683,0.09852216748768473,0.2,0.2,1.0,0.13793103448275862,0.39285714285714285,0.39285714285714285,1.0,0.45454545454545453,0.5,,,,0.09090909090909091,0.5,1.0,0.23809523809523808,0.6,0.14285714285714285,0.3333333333333333,0.09523809523809523,0.5,0.4827586206896552,0.39285714285714285,0.4827327586206897,0.5003738095238096,0.46687857142857137,0.07373271889400922,0.09467455621301775,,0.1,0.13333333333333333,12.542580645161289,25.035416666666666,0.16588084012001714,,3.0,,,1.0,,,,,0.06976744186046512,,0.07142857142857142,0.6,,,,,True,,,
722,1610612765,Corliss Williamson,Corliss Williamson,722,DET,77639.0,1294,263,2325,2319,830,801,345,4644,130.0,219.0,28.0,54.0,43.0,72.0,91.0,229.0,22.0,91.0,2.0,6.0,1.0,3.0,1.0,3.0,,3.0,,1.0,,1.0,243.0,539,2.0,9.0,156.0,648.0,2245,37.0,84.0,1.0,4.0,13.0,90.0,81.0,175.0,1.0,4.0,63.0,228.0,292.0,194.0,6.0,,42.0,1.0,2.0,,43.0,38.0,29.0,67.0,19.0,10.0,18.0,7.0,13.0,163.0,18.0,63.0,15.0,103.0,127.0,82.0,209.0,20.0,21.0,8.0,13.0,34.0,3.0,22.0,44.0,9.0,12.0,6.0,78.0,13.0,27.0,56.0,151,13.0,21.0,197.0,16.0,,84.0,,23.0,14.0,3.0,5.0,15.0,7.0,,228.0,830,25.0,0.6008230452674898,0.6576576576576577,1.0,0.2222222222222222,0.25,0.25,0.25,0.45083487940630795,0.44047619047619047,0.46285714285714286,0.4489051094890511,0.4375,0.46089385474860334,0.5070422535211268,0.46875,0.5135135135135135,0.016423357664233577,0.07977736549165121,0.0730593607305936,0.10480349344978165,0.03296703296703297,26.055312954876275,0.4358974358974359,0.10774058577405858,0.0738569753810082,0.08287292817679558,0.0594059405940594,0.10378188214599825,0.07006920415224914,0.10820895522388059,0.06315789473684211,0.05333333333333334,0.06578947368421052,0.04,0.08679245283018867,0.08791208791208792,0.1339712918660287,0.06428571428571428,0.07782101167315175,0.4666666666666667,0.39963503649635035,0.593607305936073,0.6403940886699507,0.676923076923077,0.41788321167883213,0.39737991266375544,0.44390243902439025,0.5054945054945055,0.16605839416058393,0.24175824175824176,0.25,0.5454545454545454,0.010948905109489052,0.3333333333333333,0.3333333333333333,1.0,0.005474452554744526,,,,0.6136363636363636,0.5185185185185185,0.03409090909090909,0.3333333333333333,1.0,0.011363636363636364,,,0.4022346368715084,0.5972222222222222,0.01675977653631285,0.3333333333333333,0.00558659217877095,,0.41605839416058393,,0.45575639853747707,0.506863768115942,0.4534724719101126,0.13636363636363635,0.13838550247116968,,0.1388888888888889,0.35185185185185186,6.562337662337665,26.344444444444445,0.35698924731182796,1.0,9.0,1.0,,6.0,1.0,,,4.0,0.10227272727272728,0.011111111111111112,0.14634146341463414,0.2857142857142857,,,,,True,,,
1497,1610612765,Chauncey Billups,Chauncey Billups,1497,DET,112330.0,1872,111,3394,3404,983,835,388,6798,71.0,140.0,3.0,8.0,21.0,47.0,34.0,75.0,69.0,184.0,30.0,61.0,3.0,7.0,8.0,14.0,88.0,246.0,7.0,24.0,24.0,83.0,174.0,399,118.0,307.0,244.0,946.0,3399,11.0,24.0,10.0,31.0,12.0,64.0,41.0,102.0,32.0,97.0,127.0,305.0,86.0,262.0,195.0,159.0,4.0,2.0,244.0,88.0,44.0,189.0,38.0,227.0,27.0,11.0,75.0,29.0,85.0,492.0,8.0,21.0,31.0,148.0,184.0,29.0,213.0,9.0,48.0,22.0,26.0,71.0,15.0,44.0,33.0,2.0,27.0,3.0,104.0,4.0,22.0,44.0,114,3.0,11.0,274.0,15.0,11.0,96.0,2.0,41.0,12.0,2.0,6.0,14.0,10.0,,305.0,983,16.0,0.2471264367816092,0.25,0.5508474576271186,0.38436482084690554,0.3225806451612903,0.32989690721649484,0.38688524590163936,0.43609022556390975,0.4583333333333333,0.4019607843137255,0.4971671388101983,0.4727272727272727,0.4472361809045226,0.5681544028950543,0.5161290322580645,0.5741444866920152,0.4348441926345609,0.11027568922305764,0.2,0.13333333333333333,0.03260869565217391,24.207792207792206,0.6826923076923077,0.10647482014388489,0.016881028938906754,0.12653061224489795,0.021220159151193633,0.10948012232415902,0.017890191239975324,0.02976190476190476,0.008595988538681949,0.014311270125223614,0.02768166089965398,,0.08333333333333333,0.10677083333333333,0.12207357859531773,0.13227513227513227,0.025,0.7142857142857143,0.19830028328611898,0.5071428571428571,0.6339285714285714,0.15492957746478872,0.10623229461756374,0.4533333333333333,0.5230769230769231,0.11764705882352941,0.26062322946175637,0.375,0.38764044943820225,0.4057971014492754,0.08640226628895184,0.4918032786885246,0.4918032786885246,0.7666666666666667,0.34844192634560905,0.35772357723577236,0.36065573770491804,0.4772727272727273,0.14545454545454545,0.375,0.12727272727272726,0.42857142857142855,0.6666666666666666,0.43636363636363634,0.2916666666666667,0.8571428571428571,0.23618090452261306,0.44680851063829785,0.07035175879396985,0.5714285714285714,0.41708542713567837,0.2891566265060241,0.6331444759206799,0.36065573770491804,0.49144601139601135,0.47895000000000004,0.48561717948717953,0.12436548223350254,0.2,0.006493506493506494,0.06765327695560254,0.3224101479915433,10.443358395989971,25.699022801302934,0.2896287566293459,,5.0,2.0,2.0,4.0,,,,,0.05555555555555555,,0.10714285714285714,0.3333333333333333,2.0,0.006514657980456026,0.008130081300813009,1.0,True,,,
2246,1610612765,Mehmet Okur,Mehmet Okur,2246,DET,33165.0,553,64,966,986,236,250,154,1952,26.0,49.0,9.0,19.0,4.0,7.0,19.0,53.0,15.0,34.0,1.0,4.0,,,,,15.0,43.0,,1.0,5.0,11.0,60.0,136,16.0,47.0,35.0,203.0,970,14.0,33.0,,1.0,10.0,38.0,11.0,20.0,5.0,11.0,11.0,48.0,68.0,52.0,48.0,,16.0,1.0,42.0,15.0,12.0,16.0,13.0,29.0,10.0,3.0,7.0,6.0,3.0,71.0,16.0,26.0,9.0,50.0,65.0,42.0,107.0,7.0,12.0,9.0,3.0,13.0,2.0,6.0,16.0,,7.0,5.0,29.0,3.0,5.0,44.0,69,7.0,6.0,52.0,8.0,,26.0,,4.0,9.0,,4.0,9.0,5.0,,48.0,236,4.0,0.5666666666666667,0.6538461538461539,1.0,0.3404255319148936,,0.45454545454545453,0.34782608695652173,0.4411764705882353,0.42424242424242425,0.55,0.45901639344262296,0.4117647058823529,0.5967741935483871,0.4951219512195122,0.475,0.631578947368421,0.2568306010928962,0.08823529411764706,0.12244897959183673,0.11320754716981132,,20.17241379310345,0.4482758620689655,0.12626262626262627,0.06951871657754011,0.11538461538461539,0.12403100775193798,0.12447257383966245,0.08349900596421471,0.06557377049180328,0.08620689655172414,0.058823529411764705,0.13,0.10344827586206896,0.08823529411764706,0.13675213675213677,0.14124293785310735,0.15,0.07446808510638298,0.5555555555555556,0.2677595628415301,0.5306122448979592,0.6046511627906976,0.5769230769230769,0.2896174863387978,0.3584905660377358,0.40425531914893614,0.5263157894736842,0.18579234972677597,0.4411764705882353,0.4411764705882353,0.6,0.02185792349726776,0.25,0.25,1.0,0.23497267759562843,0.3488372093023256,0.3488372093023256,1.0,0.5588235294117647,0.47368421052631576,,,,0.029411764705882353,,,0.22580645161290322,0.5714285714285714,,,0.3548387096774194,0.45454545454545453,0.5245901639344263,0.35714285714285715,0.46353214285714284,0.4712021739130435,0.45089,0.12935323383084577,0.16883116883116883,,0.18719211822660098,0.23645320197044334,7.952205882352941,25.829787234042552,0.2443064182194617,,6.0,,,5.0,,,,1.0,0.15,,,0.2222222222222222,,,,,True,,,
