EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Clear Path Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,HeaveAttempts,OffThreePtRebounds,BlockedAtRim,BlockedLongMidRange,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,Defensive 3 Seconds Violations,FoulsDrawn,Offensive Fouls Drawn,Blocked3s,BlockedCorner3,3SecondViolations,OffCorner3ReboundPct,OffensiveGoaltends,BlockedArc3,DefensiveGoaltends,on,Corner3PctBlocked
1065,1610612754,Erick Strickland,Erick Strickland,1065,IND,38246.0,637,-28,1196,1196,336,310,162,2392,25,42,5.0,6.0,7.0,10.0,7.0,20.0,18.0,49.0,7.0,14.0,3.0,3.0,1.0,3.0,22.0,63.0,3.0,6.0,7.0,18.0,50,111,29.0,77.0,30.0,217,1239,8.0,11.0,6.0,9.0,2.0,36.0,11.0,22.0,8.0,21.0,14.0,60,52,48,72.0,15.0,10.0,63.0,22.0,5.0,1.0,96.0,13.0,109,11.0,2.0,36.0,20.0,40.0,231,12.0,1.0,10.0,50.0,3.0,63,13.0,76,2.0,20.0,11.0,9.0,35.0,9.0,23.0,18.0,2.0,12.0,2.0,53,3.0,18,12.0,50,1.0,3.0,5.0,41.0,3.0,2.0,4.0,14.0,2.0,5.0,1.0,1.0,1.0,1.0,60,336,10.0,0.52,0.5777777777777777,0.8275862068965517,0.37662337662337664,0.6666666666666666,0.38095238095238093,0.37662337662337664,0.45045045045045046,0.7272727272727273,0.5,0.4973404255319149,0.85,0.5348837209302325,0.5220588235294118,0.9,0.59,0.4095744680851064,0.012987012987012988,0.04504504504504504,0.11904761904761904,0.015873015873015872,18.502519798416127,0.660377358490566,0.08823529411764706,0.02702702702702703,0.10183299389002037,0.024390243902439025,0.08695652173913043,0.09900990099009901,0.02054794520547945,0.028037383177570093,0.020833333333333332,0.024896265560165973,0.09271523178807947,0.10795454545454546,0.10365853658536585,0.08791208791208792,0.08333333333333333,0.0196078431372549,1.0,0.22340425531914893,0.5952380952380952,0.6756756756756757,0.52,0.10638297872340426,0.35,0.35,0.42857142857142855,0.26063829787234044,0.3673469387755102,0.3673469387755102,0.5555555555555556,0.07446808510638298,0.5,0.5,0.8571428571428571,0.3351063829787234,0.3492063492063492,0.3548387096774194,0.8181818181818182,0.3,0.8333333333333334,0.4,0.15,1.0,0.6666666666666666,0.3,0.5,1.0,0.23255813953488372,0.7,0.06976744186046512,0.3333333333333333,0.4186046511627907,0.3888888888888889,0.6329787234042553,0.3492063492063492,0.49270860215053763,0.5461763157894738,0.4909797619047619,0.08040201005025126,0.11475409836065574,0.025974025974025976,0.16589861751152074,0.2764976958525346,10.072072072072068,25.32207792207792,0.2809364548494983,,,,,,,,,,,,,,,,,,,True,
1500,1610612754,Ron Mercer,Ron Mercer,1500,IND,100222.0,1670,24,3140,3162,1064,1002,411,6302,58,103,6.0,14.0,15.0,26.0,21.0,62.0,162.0,416.0,,4.0,,1.0,,1.0,3.0,12.0,,1.0,1.0,6.0,241,581,3.0,16.0,65.0,556,3212,26.0,57.0,,2.0,3.0,55.0,73.0,182.0,1.0,7.0,33.0,182,364,118,6.0,3.0,10.0,10.0,3.0,17.0,,80.0,32.0,112,30.0,2.0,31.0,13.0,36.0,256,23.0,2.0,21.0,100.0,1.0,122,32.0,154,7.0,49.0,34.0,15.0,31.0,6.0,18.0,23.0,4.0,13.0,8.0,54,3.0,18,50.0,123,,5.0,4.0,81.0,7.0,,6.0,27.0,,14.0,14.0,5.0,14.0,6.0,182,1064,23.0,0.7551867219917012,0.7711864406779662,0.6666666666666666,0.1875,,0.14285714285714285,0.21428571428571427,0.41480206540447506,0.45614035087719296,0.4010989010989011,0.4112227805695142,0.4406779661016949,0.3941798941798942,0.43740095087163233,0.4583333333333333,0.43509615384615385,0.02680067001675042,,0.029259896729776247,0.11650485436893204,,18.886131789357595,0.5740740740740741,0.01,0.01834862385321101,0.07892659826361484,0.018326693227091632,0.07142857142857142,0.07751441383728379,0.02029769959404601,0.024305555555555556,0.010416666666666666,0.02058319039451115,0.06896551724137931,0.08728179551122195,0.08043478260869565,0.0684931506849315,0.08,0.021406727828746176,0.42857142857142855,0.17252931323283083,0.5631067961165048,0.6373626373626373,0.6206896551724138,0.10385259631490787,0.3387096774193548,0.3559322033898305,0.5238095238095238,0.6968174204355109,0.3894230769230769,0.391304347826087,0.8333333333333334,0.006700167504187605,,,,0.020100502512562814,0.25,0.25,0.6666666666666666,0.23728813559322035,0.42857142857142855,0.6666666666666666,0.01694915254237288,,,0.01694915254237288,,,0.13756613756613756,0.5769230769230769,0.005291005291005291,,0.031746031746031744,0.16666666666666666,0.19932998324958123,0.3,0.43107487394957966,0.451711320754717,0.41592593582887705,0.04376012965964344,0.04492512479201331,,0.09892086330935251,0.3273381294964029,14.430808950086051,27.89375,0.33885350318471336,2.0,7.0,7.0,2.0,0.04838709677419355,0.004807692307692308,0.03139013452914798,0.040697674418604654,,,,,,,,,,,True,
1506,1610612754,Austin Croshere,Austin Croshere,1506,IND,24850.0,414,9,771,774,217,188,97,1545,21,38,5.0,11.0,2.0,5.0,7.0,14.0,13.0,45.0,3.0,9.0,,,1.0,1.0,15.0,33.0,1.0,2.0,3.0,7.0,41,97,18.0,42.0,34.0,170,771,5.0,13.0,1.0,2.0,3.0,16.0,9.0,24.0,4.0,8.0,5.0,35,48,34,51.0,3.0,10.0,33.0,15.0,10.0,1.0,35.0,7.0,42,6.0,1.0,13.0,7.0,15.0,91,20.0,,10.0,59.0,6.0,75,22.0,97,1.0,3.0,3.0,,8.0,,4.0,7.0,1.0,4.0,2.0,15,2.0,5,18.0,29,,1.0,3.0,41.0,6.0,,2.0,21.0,,2.0,9.0,5.0,9.0,6.0,35,217,3.0,0.5853658536585366,0.6666666666666666,0.9444444444444444,0.42857142857142855,0.5,0.5,0.42857142857142855,0.422680412371134,0.38461538461538464,0.375,0.4892086330935252,0.43333333333333335,0.46875,0.5384615384615384,0.47058823529411764,0.47297297297297297,0.302158273381295,0.023809523809523808,0.10309278350515463,0.18421052631578946,0.030303030303030304,19.256756756756754,0.5333333333333333,0.23076923076923078,,0.18849840255591055,0.06309148264984227,0.125,0.17557251908396945,0.05714285714285714,0.09859154929577464,0.011627906976744186,0.075,0.20388349514563106,0.18867924528301888,0.17307692307692307,0.14285714285714285,0.058823529411764705,0.014705882352941176,0.6666666666666666,0.2733812949640288,0.5526315789473685,0.6774193548387096,0.42857142857142855,0.10071942446043165,0.5,0.6363636363636364,0.5714285714285714,0.3237410071942446,0.28888888888888886,0.28888888888888886,0.8461538461538461,0.06474820143884892,0.3333333333333333,0.3333333333333333,1.0,0.23741007194244604,0.45454545454545453,0.46875,0.9333333333333333,0.7333333333333333,0.45454545454545453,,,,,0.13333333333333333,0.5,,0.15625,0.4,0.03125,1.0,0.21875,0.42857142857142855,0.5755395683453237,0.45454545454545453,0.47634712230215825,0.516726923076923,0.45085937499999995,0.13636363636363635,0.1875,,0.09411764705882353,0.20588235294117646,10.404123711340203,25.123809523809523,0.2814526588845655,,2.0,4.0,,0.21428571428571427,,0.029411764705882353,0.03773584905660377,1.0,,,,,,,,,,True,
1733,1610612754,Al Harrington,Al Harrington,1733,IND,62273.0,1038,-13,1929,1941,664,624,251,3870,72,128,19.0,41.0,25.0,40.0,43.0,104.0,50.0,125.0,1.0,3.0,,,,1.0,2.0,11.0,,1.0,,4.0,165,357,3.0,14.0,92.0,431,1995,30.0,66.0,,1.0,16.0,76.0,48.0,109.0,,5.0,38.0,134,174,156,9.0,,32.0,9.0,2.0,35.0,1.0,46.0,12.0,58,9.0,3.0,24.0,3.0,19.0,128,57.0,1.0,21.0,114.0,14.0,149,64.0,213,9.0,30.0,16.0,14.0,33.0,5.0,11.0,39.0,4.0,22.0,8.0,72,6.0,27,44.0,123,,13.0,17.0,119.0,9.0,,,49.0,,15.0,12.0,7.0,13.0,11.0,134,664,15.0,0.5272727272727272,0.5838926174496645,1.0,0.21428571428571427,,,0.25,0.46218487394957986,0.45454545454545453,0.44036697247706424,0.4568733153638814,0.44776119402985076,0.42105263157894735,0.505868544600939,0.48717948717948717,0.48905109489051096,0.03773584905660377,0.07142857142857142,0.09803921568627451,0.1796875,0.09090909090909091,22.361921867983835,0.4583333333333333,0.22950819672131148,0.01694915254237288,0.15363881401617252,0.07270408163265306,0.11229946524064172,0.14531754574811626,0.06923076923076923,0.11046511627906977,0.06451612903225806,0.06043956043956044,0.15966386554621848,0.14035087719298245,0.15942028985507245,0.09154929577464789,0.17777777777777778,0.055900621118012424,0.8461538461538461,0.3450134770889488,0.5625,0.6857142857142857,0.4861111111111111,0.2803234501347709,0.41346153846153844,0.4574468085106383,0.4418604651162791,0.33692722371967654,0.4,0.4065040650406504,0.66,0.008086253369272238,0.3333333333333333,0.3333333333333333,1.0,0.029649595687331536,0.18181818181818182,0.2,1.0,0.6119402985074627,0.4634146341463415,0.10526315789473684,,,,0.014925373134328358,,,0.3508771929824561,0.625,0.008771929824561403,,0.03508771929824561,,0.38274932614555257,0.2222222222222222,0.4505794037940381,0.49966166666666667,0.4416401785714286,0.1192214111922141,0.12342569269521411,,0.17633410672853828,0.3109048723897912,9.447899159663864,29.835714285714285,0.34421980300673927,2.0,6.0,3.0,2.0,0.09615384615384616,0.016,0.047619047619047616,0.05263157894736842,3.0,1.0,1.0,1.0,1.0,2.0,0.03225806451612903,,,,True,
1802,1610612754,Brad Miller,Brad Miller,1802,IND,41420.0,690,45,1305,1312,501,433,157,2617,56,79,21.0,31.0,23.0,29.0,15.0,43.0,25.0,60.0,,,,,,,1.0,6.0,,2.0,1.0,4.0,96,182,1.0,6.0,90.0,285,1326,23.0,38.0,,2.0,10.0,56.0,39.0,66.0,1.0,4.0,51.0,132,122,70,3.0,,28.0,6.0,1.0,22.0,,48.0,2.0,50,1.0,1.0,24.0,3.0,21.0,102,43.0,1.0,16.0,102.0,13.0,131,49.0,180,1.0,18.0,12.0,6.0,28.0,5.0,18.0,15.0,1.0,10.0,2.0,43,4.0,15,33.0,63,,11.0,2.0,117.0,12.0,,3.0,44.0,,19.0,14.0,1.0,14.0,13.0,132,501,5.0,0.6354166666666666,0.7439024390243902,1.0,0.16666666666666666,,0.25,0.16666666666666666,0.5274725274725275,0.6052631578947368,0.5909090909090909,0.5186170212765957,0.575,0.5785714285714286,0.5941422594142259,0.6363636363636364,0.6683673469387755,0.031914893617021274,,0.12087912087912088,0.13924050632911392,,18.888144675150702,0.6511627906976745,0.40625,0.024390243902439025,0.1878453038674033,0.08793456032719836,0.12903225806451613,0.17691154422788605,0.08304498269896193,0.09243697478991597,0.11450381679389313,0.07112970711297072,0.16568047337278108,0.20670391061452514,0.18974358974358974,0.10989010989010989,0.18181818181818182,0.014925373134328358,0.9285714285714286,0.42021276595744683,0.7088607594936709,0.8235294117647058,0.5892857142857143,0.22872340425531915,0.3488372093023256,0.45454545454545453,0.26666666666666666,0.3191489361702128,0.4166666666666667,0.423728813559322,0.96,,,,,0.031914893617021274,0.16666666666666666,0.16666666666666666,1.0,0.775,0.6774193548387096,0.19047619047619047,,,,0.05,,,0.4142857142857143,0.7931034482758621,,,0.05714285714285714,0.25,0.4521276595744681,0.16666666666666666,0.4703388297872342,0.5188486486486485,0.4629557142857142,0.2,0.205607476635514,,0.19649122807017544,0.4631578947368421,8.473626373626372,25.0,0.3839080459770115,,5.0,12.0,1.0,0.23255813953488372,0.016666666666666666,0.056179775280898875,0.043478260869565216,1.0,,,,,3.0,0.1,1.0,,,True,
1897,1610612754,Metta World Peace,Metta World Peace,1897,IND,39398.0,657,74,1243,1267,477,438,171,2510,60,88,7.0,18.0,24.0,38.0,10.0,41.0,17.0,36.0,3.0,10.0,,1.0,2.0,6.0,9.0,35.0,2.0,3.0,4.0,14.0,87,165,12.0,45.0,73.0,283,1243,13.0,29.0,2.0,4.0,9.0,41.0,31.0,62.0,6.0,20.0,29.0,109,80,94,27.0,9.0,12.0,35.0,9.0,14.0,,65.0,6.0,71,4.0,2.0,16.0,10.0,39.0,148,34.0,,14.0,52.0,4.0,70,35.0,105,10.0,44.0,26.0,18.0,25.0,6.0,10.0,21.0,1.0,15.0,5.0,46,7.0,17,20.0,76,,10.0,7.0,99.0,13.0,,1.0,47.0,,8.0,19.0,4.0,20.0,10.0,109,477,18.0,0.45977011494252873,0.49382716049382713,0.75,0.26666666666666666,0.5,0.3,0.26666666666666666,0.5272727272727272,0.4482758620689655,0.5,0.5,0.48484848484848486,0.4878048780487805,0.5595238095238095,0.5394736842105263,0.5454545454545454,0.21428571428571427,,0.08484848484848485,0.07954545454545454,,20.665742024965326,0.5434782608695652,0.09302325581395349,,0.10077519379844961,0.0709812108559499,0.11864406779661017,0.10410094637223975,0.06227758007117438,0.10185185185185185,0.06134969325153374,0.0625,0.08,0.13815789473684212,0.08994708994708994,0.12941176470588237,0.09090909090909091,0.10638297872340426,0.5,0.41904761904761906,0.6818181818181818,0.7407407407407407,0.5166666666666667,0.19523809523809524,0.24390243902439024,0.2777777777777778,0.4,0.17142857142857143,0.4722222222222222,0.5,0.29411764705882354,0.047619047619047616,0.3,0.3,0.6666666666666666,0.16666666666666666,0.2571428571428571,0.2571428571428571,0.7777777777777778,0.5454545454545454,0.3888888888888889,0.2857142857142857,0.030303030303030304,,,0.09090909090909091,0.6666666666666666,1.0,0.4634146341463415,0.631578947368421,0.07317073170731707,0.3333333333333333,0.17073170731707318,0.2857142857142857,0.6333333333333333,0.2571428571428571,0.511587857142857,0.4921078125,0.5247603658536585,0.19262295081967212,0.23618090452261306,,0.14487632508833923,0.38515901060070673,6.545454545454544,24.92222222222222,0.3837489943684634,,1.0,11.0,4.0,0.12195121951219512,0.05555555555555555,0.012048192771084338,0.015625,,,,1.0,,,,,1.0,,True,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,30284.0,505,-19,927,946,247,278,150,1873,23,45,12.0,25.0,4.0,5.0,6.0,23.0,8.0,35.0,,,,,,,,1.0,,,,1.0,37,103,,1.0,23.0,97,940,12.0,33.0,,,16.0,40.0,7.0,17.0,,1.0,11.0,25,40,34,,,22.0,,,11.0,,26.0,6.0,32,5.0,1.0,14.0,2.0,10.0,70,56.0,2.0,17.0,76.0,12.0,105,68.0,173,2.0,19.0,11.0,8.0,12.0,1.0,6.0,11.0,,6.0,4.0,23,4.0,7,26.0,68,,8.0,4.0,44.0,6.0,,,18.0,,7.0,15.0,5.0,15.0,9.0,25,247,5.0,0.5405405405405406,0.7692307692307693,,,,,,0.3592233009708738,0.36363636363636365,0.4117647058823529,0.3557692307692308,0.36363636363636365,0.3888888888888889,0.3943089430894309,0.45454545454545453,0.46296296296296297,0.009615384615384616,,0.10679611650485436,0.13333333333333333,,13.141314131413141,0.5217391304347826,0.34285714285714286,0.05405405405405406,0.2,0.13526570048309178,0.20987654320987653,0.2017353579175705,0.13778705636743216,0.1276595744680851,0.09009009009009009,0.16267942583732056,0.184,0.1623931623931624,0.2463768115942029,0.2413793103448276,0.13043478260869565,0.037037037037037035,0.6,0.4326923076923077,0.5111111111111111,0.5897435897435898,0.34782608695652173,0.22115384615384615,0.2608695652173913,0.3157894736842105,0.6666666666666666,0.33653846153846156,0.22857142857142856,0.23529411764705882,1.0,,,,,0.009615384615384616,,,,0.7575757575757576,0.48,0.08333333333333333,,,,,,,0.2777777777777778,0.8,,,0.05555555555555555,,0.4423076923076923,,0.45602718446601925,0.49465161290322585,0.418,0.15517241379310345,0.1565217391304348,,0.41237113402061853,0.25773195876288657,7.939805825242721,55.8,0.2664509169363538,1.0,10.0,10.0,,0.17391304347826086,0.02857142857142857,0.15384615384615385,0.12244897959183673,1.0,,,,,,0.25,,,,True,
2056,1610612754,Primoz Brezec,Primoz Brezec,2056,IND,3455.0,58,-8,114,111,52,48,12,225,6,10,4.0,6.0,4.0,8.0,1.0,5.0,1.0,8.0,,,,,,,,1.0,,,,1.0,8,23,,1.0,6.0,22,110,4.0,6.0,,,3.0,11.0,5.0,15.0,,1.0,4.0,14,4,12,,,6.0,,,2.0,,1.0,,1,,,1.0,,,2,4.0,1.0,2.0,3.0,,5,7.0,12,1.0,,,,3.0,,1.0,1.0,,2.0,,4,1.0,3,3.0,8,,1.0,,10.0,2.0,,,5.0,,1.0,2.0,1.0,2.0,2.0,14,52,4.0,0.25,0.4,,,,,,0.34782608695652173,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3125,0.39285714285714285,0.7857142857142857,0.3684210526315789,0.041666666666666664,,0.08695652173913043,0.2,,25.0,0.75,,0.3333333333333333,0.075,0.0975609756097561,0.18181818181818182,0.09803921568627451,0.1276595744680851,0.42857142857142855,0.1,,,0.07142857142857142,0.15384615384615385,0.25,,0.07692307692307693,1.0,0.4166666666666667,0.6,0.75,0.3333333333333333,0.20833333333333334,0.2,0.2,,0.3333333333333333,0.125,0.125,,,,,,0.041666666666666664,,,,1.0,0.6666666666666666,,,,,,,,0.5,0.5,,,0.0625,,0.4583333333333333,,0.43358695652173906,0.5453666666666667,0.44906666666666667,0.18518518518518517,0.19230769230769232,,0.5,0.6363636363636364,8.221739130434784,40.6,0.45614035087719296,1.0,2.0,1.0,,,,0.3333333333333333,0.25,,,,,,,0.5,1.0,,,True,
2224,1610612754,Jamaal Tinsley,Jamaal Tinsley,2224,IND,37616.0,627,-57,1203,1215,458,453,146,2418,23,40,2.0,3.0,9.0,18.0,19.0,42.0,15.0,43.0,1.0,4.0,1.0,1.0,,1.0,11.0,38.0,,2.0,3.0,14.0,57,125,12.0,42.0,31.0,181,1286,5.0,6.0,1.0,3.0,2.0,15.0,28.0,59.0,3.0,15.0,19.0,84,46,68,33.0,3.0,4.0,38.0,11.0,10.0,,137.0,13.0,150,11.0,2.0,60.0,31.0,46.0,313,16.0,3.0,11.0,39.0,3.0,53,21.0,74,2.0,40.0,13.0,27.0,41.0,14.0,32.0,19.0,2.0,9.0,,60,3.0,20,15.0,51,1.0,1.0,2.0,46.0,2.0,,,17.0,,7.0,5.0,1.0,7.0,5.0,84,458,9.0,0.40350877192982454,0.41818181818181815,0.9166666666666666,0.2857142857142857,0.3333333333333333,0.2,0.2857142857142857,0.456,0.8333333333333334,0.4745762711864407,0.4491017964071856,0.7222222222222222,0.4391891891891892,0.47883597883597884,0.75,0.4827586206896552,0.25149700598802394,,0.08,0.1,,18.161925601750546,0.6833333333333333,0.07317073170731707,0.06521739130434782,0.08041237113402062,0.03375527426160337,0.10679611650485436,0.08503401360544217,0.03278688524590164,0.016260162601626018,0.04827586206896552,0.03398058252427184,0.06875,0.04794520547945205,0.11731843575418995,0.12,0.07142857142857142,0.024096385542168676,0.7142857142857143,0.23952095808383234,0.575,0.6388888888888888,0.391304347826087,0.25149700598802394,0.4523809523809524,0.5135135135135135,0.3684210526315789,0.25748502994011974,0.3488372093023256,0.35714285714285715,0.4666666666666667,0.023952095808383235,0.25,0.25,1.0,0.2275449101796407,0.2894736842105263,0.2894736842105263,0.9090909090909091,0.3333333333333333,0.6666666666666666,1.0,0.1111111111111111,1.0,1.0,0.2222222222222222,,,0.24324324324324326,0.5,0.013513513513513514,,0.1891891891891892,0.21428571428571427,0.49101796407185627,0.2894736842105263,0.47591067073170723,0.52143125,0.4460669014084506,0.09340659340659341,0.12142857142857143,,0.08287292817679558,0.46408839779005523,9.9896,26.13095238095238,0.38071487946799665,,2.0,2.0,2.0,0.11904761904761904,0.023255813953488372,0.02666666666666667,,,,,2.0,,,0.1,,2.0,,True,
397,1610612754,Reggie Miller,Reggie Miller,397,IND,31038.0,517,51,982,973,365,343,119,1955,21,27,,2.0,9.0,11.0,5.0,8.0,17.0,43.0,4.0,13.0,1.0,1.0,1.0,3.0,22.0,58.0,2.0,3.0,7.0,25.0,43,78,26.0,71.0,62.0,226,992,,3.0,3.0,4.0,,9.0,21.0,28.0,8.0,28.0,40.0,106,76,10,69.0,9.0,,57.0,22.0,2.0,,43.0,4.0,47,2.0,2.0,16.0,15.0,12.0,98,4.0,,5.0,37.0,,42,7.0,49,2.0,14.0,8.0,6.0,10.0,,7.0,2.0,,3.0,,12,2.0,4,7.0,18,,,2.0,70.0,1.0,1.0,8.0,16.0,1.0,15.0,,,,,106,365,4.0,0.8837209302325582,0.8837209302325582,0.8846153846153846,0.36619718309859156,0.75,0.2857142857142857,0.37142857142857144,0.5512820512820513,,0.75,0.5503355704697986,0.6428571428571429,0.5892857142857143,0.6145251396648045,0.6428571428571429,0.6891891891891891,0.47651006711409394,,0.02564102564102564,0.037037037037037035,,16.872791519434628,0.8333333333333334,,,0.09585492227979274,0.010526315789473684,0.05747126436781609,0.08879492600422834,0.014925373134328358,0.02830188679245283,0.009259259259259259,,0.07079646017699115,0.11904761904761904,0.09523809523809523,0.05,0.07407407407407407,0.02666666666666667,,0.18120805369127516,0.7777777777777778,0.8076923076923077,0.9047619047619048,0.053691275167785234,0.625,0.625,0.8,0.28859060402684567,0.3953488372093023,0.40476190476190477,0.8823529411764706,0.087248322147651,0.3076923076923077,0.3076923076923077,0.75,0.38926174496644295,0.3793103448275862,0.3793103448275862,0.9090909090909091,0.2857142857142857,,,0.14285714285714285,1.0,,0.42857142857142855,0.6666666666666666,1.0,0.19642857142857142,0.8181818181818182,0.05357142857142857,0.3333333333333333,0.44642857142857145,0.28,0.6577181208053692,0.38596491228070173,0.49427871621621633,0.49203749999999996,0.4829081818181818,0.10365853658536585,0.17204301075268819,0.014084507042253521,0.03982300884955752,0.4690265486725664,11.997435897435897,25.85211267605634,0.37169042769857435,1.0,3.0,,,,0.023255813953488372,0.033707865168539325,0.0410958904109589,,,,,,,,,,,True,
