EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,HeaveAttempts,Arc3Assists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,FTDefRebounds,SelfOReb,BadPassSteals,LostBallTurnovers,Offensive Fouls,BlockedAtRim,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LongMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,SecondChancePointsPct,Corner3FGM,PenaltyCorner3FGM,SecondChanceFtPoints,PenaltyFG3M,2pt And 1 Free Throw Trips,PenaltyFg3Pct,ShortMidRangePctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,SecondChanceArc3FGA,PenaltyArc3FGM,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,NonShootingFoulsDrawn,OffCorner3ReboundPct,SecondChanceArc3Frequency,PenaltyArc3Accuracy,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,Defensive 3 Seconds Violations,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,on,SecondChanceCorner3FGM,Fg3aBlocked,ThreePtShootingFoulsDrawn,BlockedLongMidRange,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,OffensiveGoaltends,Blocked3s,BlockedArc3,Clear Path Fouls,3SecondViolations,3pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedCorner3,HeaveMakes
1005,1610612742,Walt Williams,Walt Williams,1005,DAL,2289.0,38,-5,73,73,24,28,10,146,2.0,4,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,7,1.0,5.0,3.0,14.0,79,1.0,1.0,1.0,2.0,3.0,1.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,1.0,2.0,3.0,5.0,1.0,6,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,7.0,1.0,6.0,3.0,1.0,1.0,1.0,3.0,24,3.0,0.5,0.5,1.0,0.2,0.2,0.5714285714285714,0.5,0.4583333333333333,0.2,0.4666666666666667,0.25,0.4166666666666667,0.14285714285714285,0.25,20.0,0.5,0.5,0.10714285714285714,0.4,0.15151515151515152,0.1,0.08333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5,0.6666666666666666,0.25,0.6666666666666666,0.6666666666666666,1.0,0.16666666666666666,0.25,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0.2,0.4,0.2,0.75,0.3333333333333333,0.5471625,0.608,0.5635899999999999,0.2,0.3,0.21428571428571427,8.428571428571429,23.98,0.3287671232876712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1505,1610612742,Tariq Abdul-Wahad,Tariq Abdul-Wahad,1505,DAL,12214.0,204,19,402,404,121,190,42,806,18.0,26,6.0,9.0,6.0,17.0,,,,,1.0,1.0,27.0,57,,1.0,3.0,57.0,426,9.0,,8.0,15.0,1.0,2.0,18.0,46.0,8.0,,,,4.0,11.0,10.0,21.0,3.0,5.0,2.0,52.0,,3.0,18.0,26.0,14.0,40,6.0,2.0,5.0,3.0,2.0,1.0,7.0,1.0,16.0,26.0,4.0,6.0,3.0,3.0,2.0,3.0,18.0,121,3.0,0.8518518518518519,1.0,,,,0.47368421052631576,0.5333333333333333,0.46551724137931033,0.5,0.4672131147540984,0.5294117647058824,0.017241379310344827,0.07017543859649122,0.07692307692307693,15.011037527593817,0.7142857142857143,,0.11920529801324503,0.07142857142857142,0.10880829015544041,0.16216216216216217,0.17307692307692307,0.04838709677419355,0.029411764705882353,0.4482758620689655,0.6923076923076923,0.75,0.29310344827586204,0.35294117647058826,0.4,1.0,,0.017241379310344827,,,,0.6666666666666666,,0.5625,,0.0625,0.46551724137931033,,0.5013543859649123,0.5167,0.55516,0.04918032786885246,0.05,0.3157894736842105,7.652631578947367,52.5,0.3009950248756219,5.0,7.0,3.0,14.0,5.0,10.0,8.0,1.0,7.0,4.0,2.0,12.0,5.0,1.0,4.0,2.0,1.0,1.0,1.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.11764705882352941,0.23809523809523808,0.07643312101910828,0.06666666666666667,0.0748663101604278,0.05128205128205128,0.07547169811320754,0.09230769230769231,0.08695652173913043,0.25,0.04,0.3333333333333333,0.7777777777777778,0.2413793103448276,0.21428571428571427,0.21428571428571427,1.0,0.8333333333333334,0.2,0.7777777777777778,0.17543859649122806,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1711,1610612742,Raef LaFrentz,Raef LaFrentz,1711,DAL,4779.0,80,1,155,157,50,65,18,312,5.0,7,2.0,1.0,7.0,12.0,5.0,,4.0,,,,12.0,21,3.0,5.0,1.0,34.0,170,4.0,,3.0,5.0,4.0,,12.0,22.0,2.0,9.0,,,1.0,2.0,,2.0,,1.0,,4.0,,3.0,2.0,7.0,1.0,8,4.0,,,,,,,,8.0,15.0,3.0,1.0,1.0,3.0,1.0,3.0,12.0,50,2.0,0.9166666666666666,1.0,1.0,0.6,0.6,0.5714285714285714,0.6,0.6346153846153846,0.6666666666666666,0.6538461538461539,0.6666666666666666,0.19230769230769232,0.047619047619047616,,14.525139664804469,,,0.03636363636363636,0.15,0.06666666666666667,0.1,0.045454545454545456,,0.1875,0.2692307692307692,0.7142857142857143,0.7142857142857143,0.46153846153846156,0.5833333333333334,0.5833333333333334,1.0,0.19230769230769232,,,,,0.5,,0.1111111111111111,0.4444444444444444,,0.46153846153846156,,0.48858269230769225,0.48743333333333333,0.5131833333333333,0.038461538461538464,0.047619047619047616,0.35294117647058826,11.371428571428572,23.119999999999997,0.3225806451612903,2.0,1.0,,2.0,4.0,9.0,2.0,,,1.0,1.0,,2.0,,4.0,,,2.0,2.0,1.0,1.0,1.125,,0.5,,0.058823529411764705,0.01282051282051282,,,,0.07692307692307693,,,0.6666666666666666,0.8,0.07692307692307693,,,,1.0,0.5,1.0,0.2647058823529412,3.0,2.0,1.0,2.0,1.0,0.5,0.5,0.6,0.6,1.0,0.5,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,7821.0,130,34,259,262,85,143,26,521,7.0,10,1.0,3.0,10.0,24.0,3.0,1.0,1.0,10.0,19.0,4.0,22.0,45,12.0,22.0,29.0,109.0,282,4.0,3.0,6.0,13.0,5.0,9.0,27.0,26.0,18.0,36.0,18.0,10.0,5.0,7.0,5.0,12.0,,4.0,1.0,29.0,,1.0,26.0,33.0,3.0,36,3.0,,2.0,1.0,3.0,,5.0,1.0,7.0,11.0,1.0,31.0,16.0,,,,27.0,85,1.0,0.5909090909090909,0.6190476190476191,1.0,0.5454545454545454,0.5714285714285714,0.4888888888888889,0.46153846153846156,0.5970149253731343,0.5,0.689873417721519,0.5869565217391305,0.3283582089552239,0.1111111111111111,0.2,29.166666666666668,0.4,,0.25742574257425743,0.038461538461538464,0.2125984251968504,0.17857142857142858,0.375,0.21951219512195122,0.047619047619047616,0.14925373134328357,0.7,0.875,0.3582089552238806,0.4166666666666667,0.43478260869565216,0.8,0.04477611940298507,0.2835820895522388,0.5263157894736842,0.5263157894736842,1.0,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.05555555555555555,0.2222222222222222,0.47761194029850745,0.5555555555555556,0.47835378787878785,0.454725,0.4471676470588235,0.21052631578947367,0.2962962962962963,0.24770642201834864,12.022222222222222,26.12272727272727,0.3281853281853282,1.0,2.0,5.0,11.0,3.0,6.0,2.0,1.0,5.0,2.0,1.0,2.0,6.0,,3.0,1.0,1.0,,,0.75,0.42857142857142855,0.42857142857142855,0.041666666666666664,0.375,0.02197802197802198,0.043478260869565216,0.02631578947368421,0.05555555555555555,,0.02857142857142857,,,,,0.42857142857142855,0.16417910447761194,0.45454545454545453,0.5555555555555556,0.4,1.0,,0.6666666666666666,0.05504587155963303,2.0,,,2.0,7.0,0.4,0.18181818181818182,0.6666666666666666,0.6666666666666666,1.0,,2.0,2.0,1.0,1.0,3.0,0.2,0.2857142857142857,0.5,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
89,1610612742,Nick Van Exel,Nick Van Exel,89,DAL,9319.0,155,11,300,302,90,151,35,602,7.0,13,1.0,3.0,5.0,15.0,2.0,,,8.0,17.0,5.0,25.0,60,9.0,19.0,11.0,88.0,331,4.0,1.0,7.0,17.0,5.0,6.0,23.0,14.0,36.0,24.0,17.0,8.0,,24.0,8.0,32.0,2.0,14.0,,72.0,,4.0,9.0,13.0,1.0,14,4.0,2.0,11.0,8.0,3.0,1.0,14.0,3.0,3.0,4.0,,16.0,6.0,,,,23.0,90,,0.28,0.2916666666666667,0.8888888888888888,0.47368421052631576,0.47368421052631576,0.4166666666666667,0.4117647058823529,0.4873417721518987,0.38636363636363635,0.5116279069767442,0.42592592592592593,0.24050632911392406,,,29.325513196480937,0.7857142857142857,,0.07758620689655173,0.13333333333333333,0.08904109589041095,0.034482758620689655,0.02564102564102564,0.14583333333333334,0.11538461538461539,0.16455696202531644,0.5384615384615384,0.5384615384615384,0.189873417721519,0.3333333333333333,0.3333333333333333,,0.02531645569620253,0.21518987341772153,0.47058823529411764,0.47058823529411764,0.875,0.2,,0.13636363636363635,,0.22727272727272727,0.4050632911392405,0.47058823529411764,0.46334430379746844,0.4676125,0.4228954545454545,0.07228915662650602,0.09375,0.26136363636363635,9.58,24.7421052631579,0.3,,3.0,13.0,32.0,3.0,6.0,2.0,,6.0,10.0,,1.0,,1.0,2.0,3.0,,,,0.75,0.6,0.6,,,0.008333333333333333,,0.006802721088435374,0.038461538461538464,,,,0.25,0.022727272727272728,,0.2857142857142857,0.4050632911392405,0.40625,0.40625,0.38461538461538464,,,1.0,0.06818181818181818,1.0,,,1.0,2.0,0.2,,0.5,0.5,1.0,,1.0,1.0,2.0,,3.0,,0.2,0.2,3.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1952,1610612742,Raja Bell,Raja Bell,1952,DAL,3672.0,61,-2,124,124,17,40,10,248,1.0,2,,,1.0,6.0,2.0,,1.0,2.0,2.0,2.0,2.0,9,3.0,4.0,2.0,15.0,119,1.0,,,,3.0,2.0,11.0,2.0,2.0,9.0,2.0,2.0,,7.0,,7.0,,4.0,,14.0,,2.0,5.0,7.0,,7,6.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,,2.0,,,,,11.0,17,,0.5,0.5,1.0,0.75,0.75,0.2222222222222222,,0.5,1.5,0.5357142857142857,1.375,0.3076923076923077,,,13.235294117647058,0.75,,0.11627906976744186,0.13333333333333333,0.1206896551724138,,,0.20833333333333334,0.16666666666666666,0.15384615384615385,0.5,0.5,0.46153846153846156,0.16666666666666666,0.16666666666666666,1.0,0.15384615384615385,0.15384615384615385,1.0,1.0,1.0,,,,0.3333333333333333,0.6666666666666666,0.46153846153846156,1.0,0.4868923076923078,0.4284,0.51205,,,0.7333333333333333,14.433333333333334,24.725,0.13709677419354838,,,,1.0,,,,,,3.0,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,,,,,,,1.0,1.0,,3.0,,1.0,,0.5,0.5,1.0,1.0,,2.0,,1.0,1.0,,,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
422,1610612742,Avery Johnson,Avery Johnson,422,DAL,1877.0,31,-4,62,62,8,18,6,124,2.0,6,,,1.0,2.0,,,,,1.0,1.0,4.0,10,,1.0,4.0,12.0,55,1.0,,,,1.0,,,2.0,6.0,,1.0,,,3.0,,3.0,,,1.0,6.0,,,,,2.0,2,3.0,,2.0,2.0,2.0,,4.0,,,,,5.0,3.0,1.0,,1.0,,8,,0.25,0.25,,,,0.4,,0.36363636363636365,,0.46153846153846156,,0.09090909090909091,,,23.943661971830988,0.5,,,,,,,,,0.5454545454545454,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.5,0.5,1.0,,0.09090909090909091,,,,,,,,1.0,0.6363636363636364,,0.47449545454545455,0.3849,0.23025,0.23076923076923078,0.25,,5.2,29.2,0.12903225806451613,,,1.0,2.0,,,,,,2.0,,2.0,,,3.0,,,1.0,,,,,,,0.06666666666666667,,0.06451612903225806,,,0.15384615384615385,,,,,,0.18181818181818182,0.5,0.5,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,
461,1610612742,Popeye Jones,Popeye Jones,461,DAL,1529.0,25,-7,48,48,17,17,5,96,2.0,4,4.0,,1.0,6.0,,,,,,,3.0,10,,,,6.0,46,5.0,,,3.0,,,,2.0,4.0,,,,1.0,,,,,,,,,,7.0,7.0,4.0,11,1.0,,,,1.0,,1.0,,,4.0,1.0,2.0,,,,,,17,1.0,0.3333333333333333,1.0,,,,0.3,,0.3,,0.2727272727272727,,,0.1,0.25,21.428571428571427,,,0.4117647058823529,,0.30434782608695654,,0.7142857142857143,0.2857142857142857,,0.4,0.5,0.6666666666666666,0.6,0.16666666666666666,0.16666666666666666,1.0,,,,,,0.8,,,,,0.4,,0.4751,0.56364,0.3878,,,,11.49,,0.3541666666666667,2.0,,,,2.0,4.0,4.0,,,,,4.0,,1.0,1.0,,1.0,,,0.4,0.4,0.4,,,0.18181818181818182,,0.15384615384615385,0.5,,0.07692307692307693,,,0.16666666666666666,,,,,,,0.5,,,0.6666666666666666,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
2059,1610612742,Eduardo Najera,Eduardo Najera,2059,DAL,4546.0,76,10,155,151,50,81,15,306,5.0,8,4.0,1.0,1.0,3.0,,,,,,,8.0,17,,,2.0,18.0,164,4.0,,2.0,3.0,,,4.0,10.0,6.0,,,,2.0,2.0,2.0,4.0,,1.0,,10.0,,2.0,6.0,10.0,5.0,15,4.0,,1.0,1.0,1.0,,2.0,,5.0,13.0,2.0,4.0,2.0,2.0,1.0,2.0,4.0,50,2.0,0.625,0.8333333333333334,,,,0.47058823529411764,0.6666666666666666,0.47058823529411764,0.6666666666666666,0.47368421052631576,0.6666666666666666,,0.11764705882352941,0.125,12.352941176470589,0.5,,0.08955223880597014,0.15384615384615385,0.1,0.05263157894736842,0.13043478260869565,0.08,0.2,0.47058823529411764,0.625,0.7142857142857143,0.17647058823529413,0.3333333333333333,0.3333333333333333,1.0,,,,,,1.0,,0.3333333333333333,,,0.47058823529411764,,0.46420588235294113,0.579525,0.4728666666666667,0.10526315789473684,0.10526315789473684,0.2222222222222222,6.652941176470588,,0.3225806451612903,3.0,1.0,2.0,6.0,3.0,6.0,4.0,,2.0,1.0,,5.0,2.0,,4.0,,1.0,1.0,2.0,0.75,0.75,0.75,,0.2857142857142857,0.08620689655172414,,0.078125,0.18181818181818182,0.037037037037037035,0.1,,,,1.0,0.6,0.35294117647058826,0.3333333333333333,0.4,0.5,0.75,0.3333333333333333,1.0,0.3333333333333333,,,,,,,0.16666666666666666,,,,,,,,,,,,,,,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,
762,1610612742,Shawn Bradley,Shawn Bradley,762,DAL,4454.0,74,-1,146,146,42,75,14,292,9.0,10,2.0,4.0,,6.0,,,,,,,11.0,22,,,6.0,28.0,163,6.0,,3.0,8.0,,2.0,8.0,14.0,8.0,,,,2.0,,1.0,1.0,,,,3.0,,1.0,2.0,6.0,9.0,15,7.0,,2.0,2.0,4.0,,6.0,2.0,8.0,16.0,2.0,7.0,3.0,6.0,3.0,6.0,8.0,42,2.0,0.6363636363636364,0.7777777777777778,,,,0.5,0.375,0.5,0.375,0.56,0.4444444444444444,,0.09090909090909091,,19.1358024691358,0.3333333333333333,,0.0392156862745098,0.07692307692307693,0.046875,0.07142857142857142,0.047619047619047616,,0.1,0.45454545454545453,0.9,0.9,0.2727272727272727,,,,,,,,,0.3333333333333333,,0.5,,,0.45454545454545453,,0.4726999999999999,0.48541666666666666,0.4846875,0.125,0.125,0.2857142857142857,6.340909090909091,,0.2876712328767123,1.0,3.0,2.0,6.0,2.0,8.0,4.0,,1.0,,3.0,6.0,3.0,,7.0,,3.0,3.0,6.0,0.3333333333333333,0.3333333333333333,0.5,,0.3,0.10526315789473684,0.3333333333333333,0.13636363636363635,,0.041666666666666664,0.22727272727272727,0.5,,,1.0,0.7777777777777778,0.2727272727272727,0.3333333333333333,0.5,,0.5,,0.75,0.2857142857142857,,,4.0,,1.0,,0.3333333333333333,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,
