EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FTDefRebounds,Travels,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,DefFTReboundPct,HeaveAttempts,SecondChanceCorner3FGM,Blocked3s,BlockedArc3,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,BlockedCorner3,OffFTReboundPct,OffensiveGoaltends,on,Clear Path Fouls,Corner3PctBlocked
15,1610612746,Eric Piatkowski,Eric Piatkowski,15,LAC,34913.0,582,58.0,1101,1104,333,267,158,2205,40,60,8.0,11,14,18,10,25,16.0,33,9.0,24.0,1.0,2.0,5.0,27.0,56.0,5.0,10.0,11.0,20.0,66,118,36.0,80.0,51,291,1151,14,19,5.0,11.0,5.0,48,26,35,13.0,25.0,14,105,86,46,99.0,9.0,20.0,56.0,27.0,10.0,1.0,24,7.0,31,5.0,2.0,14,4.0,6,69,5.0,20,10,41,51,25,76,4.0,16,11,5.0,10,5.0,7,10,1.0,3,20,2.0,8,17,33,2.0,2.0,57,5.0,1.0,8.0,22,2.0,3,5.0,1.0,1.0,3.0,5.0,3.0,105,333,5,0.6515151515151515,0.7678571428571429,0.9166666666666666,0.45,0.45454545454545453,0.52,0.45,0.559322033898305,0.7368421052631579,0.7428571428571429,0.6060606060606061,0.7166666666666667,0.7583333333333333,0.6484018264840182,0.7419354838709677,0.7803030303030303,0.40404040404040403,0.0125,0.0847457627118644,0.13333333333333333,0.04,0.030303030303030304,0.017857142857142856,18.541505042668735,0.5,0.09534883720930233,0.047961630695443645,0.09345794392523364,0.047619047619047616,0.09497206703910614,0.04789272030651341,0.02631578947368421,0.06164383561643835,0.058823529411764705,0.039473684210526314,0.06896551724137931,0.06923076923076923,0.07258064516129033,0.13068181818181818,0.1038961038961039,0.06666666666666667,0.047619047619047616,0.6,0.30303030303030304,0.6666666666666666,0.7692307692307693,0.675,0.12626262626262627,0.4,0.4166666666666667,0.6,0.16666666666666666,0.48484848484848486,0.5,0.625,0.12121212121212122,0.375,0.375,1.0,0.2828282828282828,0.48214285714285715,0.4909090909090909,0.8888888888888888,0.36666666666666664,0.7272727272727273,0.125,0.03333333333333333,0.3333333333333333,0.5,0.8,0.3,0.7777777777777778,0.08333333333333333,0.4,0.3333333333333333,0.55,0.7070707070707071,0.48214285714285715,0.5232464646464643,0.5261692307692307,0.5127058333333333,0.1111111111111111,0.16296296296296298,0.024691358024691357,0.16494845360824742,0.36082474226804123,7.380508474576272,25.093749999999993,0.3024523160762943,,,,,,,,,,,,,,,,,True,,
1709,1610612746,Michael Olowokandi,Michael Olowokandi,1709,LAC,26641.0,444,-50.0,835,834,223,200,81,1669,16,21,3.0,5,5,7,38,106,3.0,10,,,,,,,,,,,,57,137,,,25,139,867,5,9,,,,10,14,30,,,17,45,72,42,,,4.0,,,8.0,,13,10.0,23,8.0,2.0,6,1.0,6,56,4.0,8,19,67,96,12,108,1.0,7,5,2.0,14,,7,30,7.0,7,44,1.0,14,11,31,3.0,7.0,38,,,,11,,8,30.0,19.0,,11.0,30.0,21.0,45,223,5,0.631578947368421,0.6545454545454545,,,,,,0.41605839416058393,0.5555555555555556,0.4666666666666667,0.41605839416058393,0.5555555555555556,0.4666666666666667,0.44551282051282054,0.5,0.5357142857142857,,,0.058394160583941604,0.19047619047619047,0.03773584905660377,,,21.62162162162162,0.3181818181818182,0.2120253164556962,0.027972027972027972,0.2159090909090909,0.047619047619047616,0.21287128712871287,0.032432432432432434,,0.03676470588235294,0.037037037037037035,0.058823529411764705,,0.14736842105263157,0.22522522522522523,0.2545454545454545,0.21739130434782608,0.21052631578947367,0.014084507042253521,0.7,0.15328467153284672,0.7619047619047619,0.9411764705882353,0.75,0.7737226277372263,0.3584905660377358,0.37254901960784315,0.5789473684210527,0.072992700729927,0.3,0.3,0.6666666666666666,,,,,,,,,0.5555555555555556,0.6,,,,,,0.23333333333333334,0.7142857142857143,,,,,0.15328467153284672,,0.41442189781021893,0.4844714285714286,0.42473000000000005,0.07432432432432433,0.07432432432432433,,0.07194244604316546,0.3237410071942446,7.6343065693430665,,0.26706586826347306,10.0,13.0,1.0,3.0,3.0,0.38461538461538464,,,,,,,,,,,True,,
1762,1610612746,Tremaine Fowlkes,Tremaine Fowlkes,1762,LAC,19278.0,321,94.0,607,603,163,149,83,1210,23,36,7.0,14,7,9,1,9,9.0,25,,3.0,,,1.0,1.0,3.0,,,,1.0,33,70,1.0,6.0,30,99,589,9,18,,,7.0,25,7,15,,2.0,9,23,48,18,3.0,,10.0,2.0,1.0,8.0,,9,4.0,13,3.0,1.0,6,2.0,1,30,7.0,23,6,24,31,30,61,2.0,13,8,5.0,4,2.0,3,4,,1,8,,3,8,32,4.0,1.0,33,1.0,,,16,,1,1.0,1.0,,,1.0,,23,163,3,0.7272727272727273,0.8571428571428571,1.0,0.16666666666666666,,,0.2,0.4714285714285714,0.5,0.4666666666666667,0.45394736842105265,0.5,0.4117647058823529,0.5380434782608695,0.5681818181818182,0.5476190476190477,0.07894736842105263,,0.11428571428571428,0.16666666666666666,0.1111111111111111,0.04,,14.124293785310734,0.5,0.11320754716981132,0.1050228310502283,0.10909090909090909,0.12962962962962962,0.11235955056179775,0.10989010989010989,0.11267605633802817,0.12345679012345678,0.07462686567164178,0.1111111111111111,0.16666666666666666,0.12280701754385964,0.11594202898550725,0.10465116279069768,0.10416666666666667,0.14285714285714285,0.0625,,0.47368421052631576,0.6388888888888888,0.7666666666666667,0.6521739130434783,0.11842105263157894,0.1111111111111111,0.125,1.0,0.32894736842105265,0.36,0.375,0.8888888888888888,0.039473684210526314,,,,0.039473684210526314,0.3333333333333333,0.3333333333333333,1.0,0.7777777777777778,0.5,0.2857142857142857,,,,,0.5294117647058824,0.7777777777777778,0.058823529411764705,,0.058823529411764705,,0.5526315789473685,0.5,0.49403600000000003,0.5081125,0.527625,0.17582417582417584,0.18823529411764706,,0.25252525252525254,0.23232323232323232,7.832857142857142,28.183333333333334,0.2685337726523888,1.0,,1.0,,,0.0625,1.0,,,,,,,,,,True,,
2039,1610612746,Keyon Dooling,Keyon Dooling,2039,LAC,25823.0,430,-43.0,800,807,261,269,104,1607,13,27,2.0,2,3,8,7,14,18.0,43,8.0,15.0,,2.0,3.0,18.0,50.0,3.0,7.0,5.0,17.0,38,84,26.0,65.0,23,177,860,4,6,3.0,7.0,3.0,20,11,28,7.0,20.0,14,57,14,62,60.0,18.0,2.0,50.0,18.0,7.0,1.0,28,10.0,38,10.0,,16,4.0,8,86,1.0,5,9,16,25,6,31,,9,7,2.0,9,4.0,5,12,3.0,4,21,1.0,8,12,37,2.0,2.0,31,2.0,1.0,1.0,7,2.0,7,3.0,1.0,1.0,1.0,3.0,,57,261,10,0.18421052631578946,0.1891891891891892,0.7692307692307693,0.4,0.42857142857142855,0.35,0.4,0.4523809523809524,0.6666666666666666,0.39285714285714285,0.5167785234899329,0.6538461538461539,0.4479166666666667,0.5462962962962963,0.7142857142857143,0.49137931034482757,0.436241610738255,0.015384615384615385,0.08333333333333333,0.14814814814814814,0.14285714285714285,0.023255813953488372,0.02,19.89130434782609,0.42857142857142855,0.05442176870748299,0.019011406844106463,0.09183673469387756,0.009009009009009009,0.06377551020408163,0.016042780748663103,0.023255813953488372,0.030303030303030304,,0.01098901098901099,,0.06097560975609756,0.025,0.06818181818181818,0.0821917808219178,0.12,,,0.18120805369127516,0.48148148148148145,0.5652173913043478,0.3076923076923077,0.09395973154362416,0.5,0.5833333333333334,,0.28859060402684567,0.4186046511627907,0.42857142857142855,0.16666666666666666,0.10067114093959731,0.5333333333333333,0.5333333333333333,0.875,0.33557046979865773,0.36,0.3673469387755102,0.7222222222222222,0.15384615384615385,1.0,,,0.5384615384615384,0.42857142857142855,0.3333333333333333,0.16666666666666666,0.375,0.0625,0.6666666666666666,0.3541666666666667,0.29411764705882354,0.6174496644295302,0.36,0.48481979865771785,0.46008499999999997,0.46133645833333325,0.05806451612903226,0.07865168539325842,0.030303030303030304,0.11299435028248588,0.3220338983050847,11.310714285714287,24.850769230769224,0.32625,,,1.0,,1.0,,,,,,,,,,,,True,,
2060,1610612746,Marko Jaric,Marko Jaric,2060,LAC,83011.0,1384,15.0,2604,2618,883,771,343,5222,71,148,9.0,20,25,45,11,37,44.0,95,15.0,36.0,5.0,4.0,8.0,38.0,130.0,1.0,8.0,10.0,39.0,126,280,53.0,166.0,79,490,2715,13,32,3.0,13.0,3.0,38,36,77,14.0,47.0,38,152,94,158,141.0,18.0,6.0,127.0,38.0,22.0,1.0,146,47.0,193,32.0,15.0,85,33.0,28,433,8.0,27,26,92,125,35,160,8.0,97,61,36.0,61,15.0,49,42,3.0,12,103,6.0,31,40,125,4.0,13.0,105,3.0,,2.0,35,,18,10.0,5.0,2.0,3.0,11.0,7.0,152,883,25,0.373015873015873,0.3821138211382114,0.8867924528301887,0.3192771084337349,0.23076923076923078,0.2978723404255319,0.32515337423312884,0.45,0.40625,0.4675324675324675,0.460762331838565,0.3888888888888889,0.4596774193548387,0.49294354838709675,0.40425531914893614,0.5100671140939598,0.3721973094170404,0.006024096385542169,0.07857142857142857,0.08108108108108109,0.24324324324324326,0.010526315789473684,0.007692307692307693,19.946719946719945,0.5922330097087378,0.09330628803245436,0.02922077922077922,0.09352517985611511,0.02867383512544803,0.09335443037974683,0.029093931837073983,0.039473684210526314,0.03303303303303303,0.013937282229965157,0.02252252252252252,0.05263157894736842,0.05084745762711865,0.11333333333333333,0.10997442455242967,0.09433962264150944,0.09090909090909091,0.03375527426160337,0.6363636363636364,0.33183856502242154,0.4797297297297297,0.5220588235294118,0.352112676056338,0.08295964125560538,0.2972972972972973,0.39285714285714285,0.18181818181818182,0.21300448430493274,0.4631578947368421,0.46808510638297873,0.45454545454545453,0.08071748878923767,0.4166666666666667,0.4166666666666667,0.9333333333333333,0.2914798206278027,0.2923076923076923,0.29457364341085274,0.868421052631579,0.4444444444444444,0.45,0.2222222222222222,0.1111111111111111,0.17777777777777778,0.125,1.0,0.3629032258064516,0.5555555555555556,0.06451612903225806,0.5,0.31451612903225806,0.2564102564102564,0.7040358744394619,0.2992125984251969,0.5134361173814898,0.48301944444444445,0.5064185950413223,0.07322175732217573,0.11217948717948718,,0.07755102040816327,0.31020408163265306,7.741428571428569,25.595180722891566,0.3390937019969278,7.0,6.0,,,3.0,0.09210526315789473,3.0,2.0,1.0,1.0,0.4,1.0,,,,,True,,
1882,1610612746,Elton Brand,Elton Brand,1882,LAC,42553.0,709,-13.0,1325,1334,400,369,188,2659,86,118,32.0,44,21,33,33,94,13.0,44,,,,,,,,,,,,132,256,,,78,342,1419,36,58,,,22.0,94,28,68,,,36,92,164,100,,,50.0,,,17.0,,25,17.0,42,14.0,3.0,14,2.0,9,101,17.0,61,27,74,115,80,195,4.0,17,9,8.0,18,2.0,8,20,1.0,10,38,5.0,11,24,50,8.0,7.0,109,11.0,,,45,,15,53.0,33.0,5.0,15.0,56.0,29.0,92,400,5,0.6212121212121212,0.7663551401869159,,,,,,0.515625,0.6206896551724138,0.4117647058823529,0.515625,0.6206896551724138,0.4117647058823529,0.5606557377049181,0.6714285714285714,0.5,,,0.06640625,0.07627118644067797,0.0851063829787234,,,22.229423201555413,0.47368421052631576,0.14313346228239845,0.12734864300626306,0.17880794701986755,0.11486486486486487,0.15119760479041916,0.12440191387559808,0.18493150684931506,0.0972972972972973,0.10810810810810811,0.12280701754385964,0.08823529411764706,0.17123287671232876,0.1242603550295858,0.13861386138613863,0.14912280701754385,0.2702702702702703,0.037383177570093455,0.5178571428571429,0.4609375,0.7288135593220338,0.7889908256880734,0.5813953488372093,0.3671875,0.35106382978723405,0.38372093023255816,0.6060606060606061,0.171875,0.29545454545454547,0.29545454545454547,0.9230769230769231,,,,,,,,,0.7586206896551724,0.7272727272727273,0.125,,,,,0.4852941176470588,0.6363636363636364,,,,,0.4609375,,0.48470507812499997,0.51002,0.46895441176470587,0.15517241379310345,0.15517241379310345,,0.27485380116959063,0.26900584795321636,6.14375,,0.3018867924528302,14.0,6.0,2.0,1.0,,0.358974358974359,,,3.0,1.0,,,2.0,2.0,0.05555555555555555,,True,,
1889,1610612746,Andre Miller,Andre Miller,1889,LAC,36067.0,601,7.0,1158,1155,430,375,141,2313,22,42,7.0,8,8,17,27,65,20.0,53,,1.0,,,,7.0,23.0,,,,7.0,69,160,7.0,24.0,91,250,1218,9,17,,,10.0,28,22,57,,7.0,52,96,42,96,15.0,6.0,8.0,19.0,7.0,13.0,,93,21.0,114,16.0,5.0,41,23.0,29,249,4.0,13,15,28,43,18,61,5.0,22,13,9.0,30,4.0,18,14,,12,44,1.0,12,6,39,2.0,10.0,107,5.0,,12.0,36,,14,3.0,3.0,,,3.0,3.0,96,430,4,0.30434782608695654,0.3230769230769231,0.7142857142857143,0.2916666666666667,,,0.35,0.43125,0.5294117647058824,0.38596491228070173,0.4320652173913043,0.5294117647058824,0.34375,0.5240174672489083,0.6363636363636364,0.5111111111111111,0.13043478260869565,,0.08125,0.11904761904761904,0.1076923076923077,0.018867924528301886,,20.82379862700229,0.6818181818181818,0.06572769953051644,0.03299492385786802,0.11363636363636363,0.03636363636363636,0.07706093189964158,0.03373015873015873,0.038461538461538464,0.024691358024691357,0.0390625,0.04597701149425287,,0.0703125,0.041666666666666664,0.08441558441558442,0.1111111111111111,0.12121212121212122,0.056179775280898875,1.0,0.22826086956521738,0.5238095238095238,0.5945945945945946,0.36363636363636365,0.3532608695652174,0.4153846153846154,0.46551724137931033,0.18518518518518517,0.28804347826086957,0.37735849056603776,0.38461538461538464,0.4,0.005434782608695652,,,,0.125,0.30434782608695654,0.30434782608695654,0.7142857142857143,0.47058823529411764,0.875,0.2857142857142857,,,,,0.265625,0.47058823529411764,,,0.109375,,0.358695652173913,0.3684210526315789,0.44797500000000007,0.4930615384615384,0.44336250000000005,0.16744186046511628,0.18848167539267016,,0.112,0.384,9.742499999999996,29.90416666666667,0.37132987910189985,,,,,,,4.0,,,,,,1.0,,0.02631578947368421,,True,,
399,1610612746,Sean Rooks,Sean Rooks,399,LAC,21120.0,352,-25.0,649,652,267,234,85,1301,13,15,6.0,6,7,8,3,12,21.0,48,,,,,,,,,,,,37,75,,,19,93,685,7,9,,,8.0,22,17,34,,,13,47,56,18,,,8.0,,,,,15,4.0,19,4.0,,9,4.0,2,42,6.0,9,10,24,38,15,53,2.0,11,10,1.0,19,3.0,13,8,1.0,6,27,1.0,9,39,59,1.0,1.0,25,3.0,,,10,,4,16.0,10.0,1.0,5.0,16.0,6.0,47,267,4,0.7567567567567568,0.8484848484848485,,,,,,0.49333333333333335,0.7777777777777778,0.5,0.49333333333333335,0.7777777777777778,0.5,0.5406976744186046,0.8461538461538461,0.573170731707317,,,,,,,,15.27027027027027,0.7037037037037037,0.09375,0.038461538461538464,0.1388888888888889,0.08823529411764706,0.10365853658536585,0.04966887417218543,0.06756756756756757,0.0273972602739726,0.022988505747126436,0.07142857142857142,0.16666666666666666,0.10714285714285714,0.0967741935483871,0.08181818181818182,0.14545454545454545,0.11764705882352941,0.05263157894736842,0.375,0.2,0.8666666666666667,0.8666666666666667,0.5384615384615384,0.16,0.25,0.25,0.6666666666666666,0.64,0.4375,0.4375,0.9047619047619048,,,,,,,,,0.6666666666666666,1.0,0.16666666666666666,,,,,0.23529411764705882,0.875,,,,,0.2,,0.42676,0.5178875000000001,0.4393735294117647,0.12195121951219512,0.12195121951219512,,0.23655913978494625,0.5053763440860215,13.18533333333333,,0.41140215716486905,4.0,1.0,,1.0,1.0,0.23529411764705882,,,,,,,,,,,True,,
1894,1610612746,Corey Maggette,Corey Maggette,1894,LAC,15971.0,266,10.0,518,522,257,191,63,1040,21,30,3.0,5,12,18,4,9,14.0,40,2.0,5.0,,,2.0,3.0,11.0,1.0,1.0,3.0,7.0,39,79,5.0,16.0,55,148,529,5,9,1.0,1.0,15.0,28,19,38,3.0,9.0,31,78,50,28,15.0,,8.0,11.0,3.0,10.0,1.0,12,2.0,14,2.0,,7,2.0,3,30,2.0,10,5,22,27,12,39,,8,6,2.0,9,1.0,3,9,3.0,6,18,,11,9,21,,2.0,65,7.0,,1.0,25,1.0,9,,,,,,,78,257,3,0.6410256410256411,0.7142857142857143,1.0,0.3125,1.0,0.3333333333333333,0.3125,0.4936708860759494,0.5555555555555556,0.5,0.48947368421052634,0.65,0.5,0.5975609756097561,0.8235294117647058,0.609375,0.16842105263157894,0.0625,0.12658227848101267,0.13333333333333333,0.3333333333333333,0.075,0.09090909090909091,24.1852487135506,0.5,0.11282051282051282,0.05847953216374269,0.09615384615384616,0.0425531914893617,0.10931174089068826,0.05504587155963303,0.08695652173913043,0.03333333333333333,0.06153846153846154,0.047619047619047616,,0.04838709677419355,0.11666666666666667,0.1643835616438356,0.1282051282051282,,,,0.3157894736842105,0.7,0.8076923076923077,0.6190476190476191,0.09473684210526316,0.4444444444444444,0.6666666666666666,0.75,0.42105263157894735,0.35,0.3783783783783784,0.6428571428571429,0.05263157894736842,0.4,0.4,1.0,0.11578947368421053,0.2727272727272727,0.3,1.0,0.5,0.6,,,0.1,1.0,1.0,0.3829787234042553,0.6666666666666666,0.0425531914893617,,0.14893617021276595,0.42857142857142855,0.4842105263157895,0.2727272727272727,0.5049089473684211,0.53015,0.5125489361702128,0.22807017543859648,0.25773195876288657,0.058823529411764705,0.1891891891891892,0.527027027027027,10.956962025316457,24.737499999999997,0.49613899613899615,,,,,,,,,,,,,,,,1.0,True,,
1917,1610612746,Wang Zhi-zhi,Wang Zhi-zhi,1917,LAC,14634.0,244,23.0,456,459,174,148,68,915,24,41,6.0,11,14,18,7,20,4.0,11,,1.0,,,,10.0,28.0,,,4.0,11.0,35,72,10.0,29.0,19,119,500,6,13,,,2.0,14,18,29,4.0,11.0,8,56,34,36,27.0,3.0,8.0,28.0,10.0,9.0,,4,1.0,5,1.0,,3,,1,11,4.0,11,5,23,32,15,47,4.0,6,5,1.0,13,,7,6,,6,19,2.0,5,13,25,2.0,4.0,27,5.0,,,15,,1,7.0,6.0,,1.0,7.0,3.0,56,174,2,0.4857142857142857,0.5483870967741935,0.9,0.3448275862068966,,0.36363636363636365,0.3448275862068966,0.4861111111111111,0.46153846153846156,0.6206896551724138,0.49504950495049505,0.46153846153846156,0.6,0.53125,0.5,0.6363636363636364,0.2871287128712871,,0.125,0.12195121951219512,0.15,0.09090909090909091,,24.349442379182157,0.6842105263157895,0.1464968152866242,0.07236842105263158,0.10869565217391304,0.06060606060606061,0.13793103448275862,0.06880733944954129,0.09375,0.02127659574468085,0.0975609756097561,0.03773584905660377,0.15384615384615385,0.22916666666666666,0.08888888888888889,0.125,0.11764705882352941,0.08333333333333333,0.08695652173913043,0.42857142857142855,0.40594059405940597,0.5853658536585366,0.6666666666666666,0.4583333333333333,0.19801980198019803,0.35,0.4117647058823529,0.2857142857142857,0.10891089108910891,0.36363636363636365,0.4,1.0,0.009900990099009901,,,,0.27722772277227725,0.35714285714285715,0.35714285714285715,0.9,0.8461538461538461,0.5454545454545454,,,,,,0.45,0.7777777777777778,,,0.275,0.36363636363636365,0.693069306930693,0.35714285714285715,0.49997920792079226,0.533090909090909,0.5106124999999999,0.13513513513513514,0.18292682926829268,,0.11764705882352941,0.47058823529411764,5.529166666666666,25.33448275862069,0.3815789473684211,4.0,2.0,,,,0.25,,,,,,,,,,,True,,
