EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,ThreePtAssists,Assists,Corner3Assists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,DefThreePtReboundPct,DefFGReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,LongMidRangeAssists,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,FTDefRebounds,DefFTReboundPct,DefLongMidRangeReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFtPoints,PtsPutbacks,AtRimAssists,OffThreePtRebounds,BadPassSteals,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyCorner3FGA,BadPassTurnovers,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,Offensive Fouls,Blocked3s,BlockedArc3,BlockedCorner3,BlockedShortMidRange,PenaltyCorner3Frequency,Arc3Assists,Travels,SecondChanceTurnovers,OffCorner3ReboundPct,SecondChanceFtPoints,OffShortMidRangeReboundPct,PenaltyCorner3FGM,PenaltyFG3M,ShortMidRangeAssists,PenaltyFg3Pct,PenaltyCorner3Accuracy,on,SecondChanceCorner3FGA,SecondChanceFG3A,Fg3aBlocked,SelfOReb,FG3APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,SelfORebPct,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,PtsUnassisted3s,HeaveAttempts,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,SecondChanceFg3Pct,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,FTOffRebounds,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,OffFTReboundPct,SecondChanceAtRimPctAssisted,Clear Path Fouls
123,1610612740,Robert Pack,Robert Pack,123,NOH,629.0,10,-11,20,21,6,15,2,41,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,2.0,8.0,31,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,6,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,0.5714285714285714,0.5,0.16666666666666666,0.3333333333333333,33.333333333333336,0.5,0.25,1.0,0.5,0.3333333333333333,0.5,1.0,0.16666666666666666,1.0,1.0,0.3333333333333333,0.5,0.5,0.5,0.5,0.4645333333333334,0.39745,0.14285714285714285,0.14285714285714285,0.25,6.95,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1610612740,David Wesley,David Wesley,133,NOH,1599.0,27,-8,51,54,14,19,5,105,,1.0,1.0,,1.0,1.0,5.0,1.0,7.0,2.0,16.0,56,,2.0,,2.0,,,1.0,2.0,1.0,5.0,,1.0,2.0,1.0,2.0,1.0,,14,,1.0,1.0,0.14285714285714285,,0.5833333333333334,,0.6153846153846154,,,,26.785714285714285,,0.05555555555555555,,0.08333333333333333,,,,0.08333333333333333,,,0.4166666666666667,0.2,0.2,0.3333333333333333,0.5,0.4888083333333333,0.48675,0.07692307692307693,0.125,,15.285714285714286,0.27450980392156865,2.0,2.0,2.0,3.0,1.0,4.0,5.0,1.0,12.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.8,0.8,0.4166666666666667,0.5,0.07142857142857142,0.043478260869565216,0.041666666666666664,0.07142857142857142,0.2,1.0,0.16666666666666666,1.0,1.0,1.0,0.25,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1610612740,P.J. Brown,P.J. Brown,136,NOH,1028.0,17,-5,31,34,4,17,4,65,,,,,,,2.0,,2.0,2.0,2.0,34,,,,,,,1.0,1.0,1.0,3.0,1.0,4.0,5.0,1.0,2.0,1.0,,4,,,,,,,,0.3333333333333333,,,,8.571428571428571,0.2,0.2857142857142857,0.25,,,,,,,,1.0,,,,,0.4002,,0.3333333333333333,0.3333333333333333,,16.0,0.12903225806451613,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,0.5,0.05555555555555555,0.05555555555555555,0.09090909090909091,,,,,,,,,,,,,,2.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,1610612740,Robert Traylor,Robert Traylor,1714,NOH,2172.0,36,-17,75,76,42,55,9,151,4.0,7.0,4.0,1.0,4.0,1.0,1.0,6.0,12.0,3.0,15.0,76,3.0,6.0,9.0,8.0,4.0,,,2.0,,4.0,5.0,9.0,14.0,6.0,5.0,2.0,9.0,42,,0.6666666666666666,0.8,0.5,0.5,0.46153846153846156,0.42857142857142855,0.5,0.5,,,18.823529411764707,0.5,0.2962962962962963,0.4,0.5384615384615384,0.5714285714285714,0.5714285714285714,0.5,0.3076923076923077,0.25,0.25,0.07692307692307693,1.0,1.0,0.5714285714285714,0.6153846153846154,0.5363230769230769,0.5824714285714286,0.14285714285714285,0.15384615384615385,0.6,4.066666666666666,0.56,,,,1.0,1.0,,1.0,1.0,,1.0,,2.0,,4.0,3.0,5.0,3.0,,,1.0,1.0,,1.0,,5.0,,,,0.07692307692307693,,0.17647058823529413,0.11428571428571428,0.12195121951219512,0.13636363636363635,,1.0,,,,,0.07692307692307693,,,,0.14285714285714285,,24.2,1.0,0.3333333333333333,0.5,2.0,4.0,2.0,2.0,5.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.4,0.16666666666666666,0.14285714285714285,0.2,0.16666666666666666,0.6,1.0,1.0,0.8,0.5,0.5,0.59445,0.26666666666666666,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2213,1610612740,Kirk Haston,Kirk Haston,2213,NOH,3489.0,58,-29,119,121,54,72,14,240,,1.0,,1.0,1.0,1.0,12.0,2.0,14.0,2.0,6.0,118,1.0,7.0,4.0,2.0,2.0,1.0,,3.0,,6.0,4.0,7.0,7.0,10.0,4.0,2.0,4.0,54,,0.5,0.5,0.14285714285714285,0.14285714285714285,0.11764705882352941,0.1,0.15789473684210525,0.16666666666666666,0.07142857142857142,1.0,19.548872180451127,0.3076923076923077,0.15217391304347827,0.2857142857142857,0.058823529411764705,,,,0.058823529411764705,1.0,1.0,0.7058823529411765,0.08333333333333333,0.08333333333333333,,0.23529411764705882,0.4321294117647059,0.43963,0.10526315789473684,0.125,0.6666666666666666,17.49285714285714,0.453781512605042,,1.0,,2.0,2.0,,3.0,3.0,,2.0,,3.0,,,3.0,,,,4.0,,3.0,2.0,7.0,4.0,5.0,,,,0.17647058823529413,0.5714285714285714,0.09090909090909091,,,,,,0.058823529411764705,,,,0.11764705882352941,,,,0.2,,23.766666666666666,,,0.07692307692307693,,,,,1.0,,2.0,,3.0,,,,,3.0,2.0,5.0,5.0,,,,,,,0.2222222222222222,0.3333333333333333,1.0,1.0,,,,0.3604,,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.1,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,1610612740,Jamal Mashburn,Jamal Mashburn,469,NOH,689.0,11,2,23,23,7,22,4,46,1.0,1.0,,,1.0,,2.0,1.0,4.0,1.0,3.0,24,,1.0,,,2.0,,2.0,3.0,,8.0,1.0,1.0,1.0,1.0,1.0,1.0,,7,,,,0.25,,0.2,,0.3,,,,19.23076923076923,0.25,0.125,,0.2,1.0,1.0,,0.2,,,0.4,,,,0.4,0.43849,0.430925,0.2,0.25,,10.525,0.30434782608695654,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,0.2,,,,0.5,,24.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,1610612740,Jerome Moiso,Jerome Moiso,2040,NOH,2099.0,35,-21,75,74,37,42,7,149,5.0,6.0,2.0,,2.0,,4.0,5.0,12.0,,10.0,74,2.0,3.0,4.0,6.0,4.0,,,,,,,7.0,9.0,4.0,,,4.0,37,2.0,0.6,0.6,0.4166666666666667,0.6666666666666666,0.4166666666666667,0.6666666666666666,0.4166666666666667,0.6666666666666666,,,22.22222222222222,,0.20588235294117646,,0.5,0.8333333333333334,0.8333333333333334,0.6,0.16666666666666666,,,0.3333333333333333,,,0.6666666666666666,0.5,0.5012833333333334,0.5652333333333334,,,0.4,6.900000000000001,0.49333333333333335,,,,,,,,,,,,,,1.0,7.0,2.0,2.0,,2.0,1.0,4.0,,6.0,1.0,1.0,,,,,0.3333333333333333,0.25925925925925924,0.03571428571428571,0.05714285714285714,,0.25,,,,,,,,,,,,,,,0.3,,1.0,2.0,,2.0,,,,,1.0,2.0,,,1.0,1.0,1.0,1.0,,,,0.14285714285714285,0.14285714285714285,,0.2222222222222222,,1.0,,0.5,,1.0,0.4546,,,2.0,,1.0,1.0,,,,,,,2.0,1.0,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,1610612740,Jamaal Magloire,Jamaal Magloire,2048,NOH,387.0,6,-1,14,15,11,12,3,29,1.0,1.0,,1.0,2.0,,,2.0,3.0,2.0,6.0,11,1.0,2.0,4.0,2.0,2.0,,,,,,,,2.0,1.0,2.0,1.0,4.0,11,,0.5,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.75,0.6666666666666666,,,27.77777777777778,,,,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,,,,,0.3333333333333333,0.4212,0.36625,0.25,0.25,0.6666666666666666,3.6999999999999997,0.7857142857142857,,,,,,,,,,,,,,2.0,,2.0,,,1.0,,,1.0,1.0,1.0,,,,,,1.0,,0.2,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,,0.5,,,,,,,,,,,0.3742,0.3333333333333333,,,,,,,,,,,,,,,2.0,0.5,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,1610612740,Elden Campbell,Elden Campbell,922,NOH,545.0,9,-11,18,18,5,1,4,36,,,,,,1.0,1.0,1.0,1.0,2.0,4.0,19,,,,2.0,,,,,,,,1.0,1.0,1.0,4.0,2.0,,5,,1.0,1.0,1.0,,1.0,,0.6666666666666666,,,,14.285714285714286,,,,,,,,,,,1.0,1.0,1.0,,,0.3975,,0.6666666666666666,0.6666666666666666,,15.2,0.2777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,2.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,0.3975,0.5,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1610612740,Kenny Anderson,Kenny Anderson,72,NOH,683.0,11,-4,25,24,21,14,2,49,1.0,2.0,2.0,1.0,1.0,,2.0,2.0,5.0,,4.0,21,2.0,5.0,4.0,2.0,2.0,,,3.0,,6.0,,1.0,1.0,3.0,,,4.0,21,,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,,,18.51851851851852,,0.1111111111111111,,0.4,0.5,0.5,1.0,0.2,1.0,1.0,0.4,,,0.4,0.4,0.44630000000000003,0.44630000000000003,,,1.0,8.08,0.84,,,,,,,,,,,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,0.2,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
