EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Offensive Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FtPoints,SecondChanceFG2A,PenaltyFtPoints,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,LostBallOutOfBoundsTurnovers,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGM,ShortMidRangeFGM,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,AtRimAssists,OffThreePtRebounds,FTDefRebounds,Travels,SecondChanceTurnovers,ShootingFouls,Loose Ball Fouls,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimAccuracy,SecondChancePointsPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,Corner3Assists,LostBallTurnovers,BlockedLongMidRange,SecondChanceFg3Pct,ShortMidRangePctBlocked,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3FGM,PtsUnassisted3s,ShortMidRangeAssists,DefThreePtRebounds,LostBallSteals,DefThreePtReboundPct,DefArc3ReboundPct,PenaltyArc3Accuracy,SelfOReb,SelfORebPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,ShortMidRangePctAssisted,DefCorner3ReboundPct,BadPassOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,on,SecondChanceCorner3FGM,HeaveAttempts,Clear Path Fouls,Defensive 3 Seconds Violations,LongMidRangePctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,Blocked3s,BlockedArc3,BlockedCorner3,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,OffFTReboundPct,SecondChanceAtRimPctAssisted,3pt And 1 Free Throw Trips,Corner3PctBlocked,HeaveMakes
1088,1610612765,Chucky Atkins,Chucky Atkins,1088,DET,2106.0,35,-14.0,68,69,19,27.0,10,137,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,4.0,2.0,10.0,8.0,67,1.0,1.0,2.0,1.0,2.0,5.0,2.0,6.0,5.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,19,1.0,1.0,1.0,0.2,0.5,0.2,0.25,0.5,0.2857142857142857,0.625,0.2857142857142857,0.625,0.7142857142857143,20.51282051282051,0.5,0.08333333333333333,0.07142857142857142,0.125,0.1111111111111111,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.5,0.5,1.0,0.35714285714285715,0.2,0.2,1.0,0.35714285714285715,0.2,0.2,1.0,1.0,0.25,1.0,0.25,0.7857142857142857,0.2,0.4991214285714286,0.56655,0.45345,0.625,11.8,24.97,0.27941176470588236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1888,1610612765,Richard Hamilton,Richard Hamilton,1888,DET,1160.0,19,,37,34,14,18.0,2,71,3.0,1.0,1.0,2.0,,,,,,,,,3.0,6.0,,,11.0,38,,1.0,3.0,,,4.0,6.0,,,,,1.0,1.0,1.0,,3.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,4.0,14,1.0,1.0,,,,,0.5,0.3333333333333333,0.5,0.3333333333333333,0.625,0.5,,21.951219512195124,,,,,,0.5,0.16666666666666666,0.3333333333333333,0.5,0.5,1.0,,,,,,,,,,,,,0.5,,0.4806166666666667,0.3901,0.49196666666666666,0.36363636363636365,7.983333333333334,,0.3783783783783784,2.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,0.16666666666666666,0.3333333333333333,0.09090909090909091,0.0625,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.5,0.2857142857142857,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
2246,1610612765,Mehmet Okur,Mehmet Okur,2246,DET,2811.0,47,-3.0,93,91,22,53.0,13,184,7.0,1.0,1.0,3.0,,1.0,,,,2.0,2.0,,8.0,11.0,2.0,3.0,28.0,89,,1.0,1.0,,,5.0,4.0,6.0,2.0,2.0,1.0,,1.0,,,2.0,7.0,8.0,14.0,,,,,2.0,2.0,,6.0,,5.0,22,0.25,0.4,1.0,0.6666666666666666,,0.6666666666666666,0.7272727272727273,1.0,0.7857142857142857,1.0,0.8235294117647058,1.25,0.21428571428571427,17.92452830188679,,0.2413793103448276,0.1891891891891892,0.25,0.15384615384615385,0.5,0.07142857142857142,0.21428571428571427,0.3333333333333333,0.3333333333333333,,0.07142857142857142,,,,0.14285714285714285,1.0,1.0,1.0,,,,,0.7142857142857143,1.0,0.5346714285714286,0.6581,0.5076,0.17857142857142858,5.572727272727272,25.96666666666667,0.23655913978494625,6.0,3.0,1.0,1.0,6.0,3.0,3.0,,2.0,6.0,1.0,7.0,1.0,,4.0,,,,0.07692307692307693,0.1276595744680851,,0.8571428571428571,0.8571428571428571,0.3333333333333333,1.0,1.0,1.0,0.23529411764705882,0.2857142857142857,3.0,1.0,3.0,1.0,7.0,12.0,6.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.1666666666666667,0.125,0.19047619047619047,0.25,0.0625,0.125,0.23076923076923078,0.375,0.6666666666666666,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
2419,1610612765,Tayshaun Prince,Tayshaun Prince,2419,DET,3841.0,64,1.0,129,129,44,64.0,15,258,7.0,5.0,,4.0,,4.0,,,1.0,3.0,6.0,2.0,7.0,16.0,3.0,10.0,26.0,119,1.0,2.0,6.0,,3.0,7.0,4.0,9.0,6.0,3.0,1.0,2.0,3.0,1.0,1.0,8.0,5.0,6.0,8.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,,7.0,44,0.2857142857142857,0.3333333333333333,1.0,0.3,,0.3,0.4375,0.3333333333333333,0.4423076923076923,0.2222222222222222,0.4642857142857143,0.3181818181818182,0.38461538461538464,21.52777777777778,0.6666666666666666,0.125,0.1,,0.15789473684210525,0.2692307692307692,0.19230769230769232,0.15384615384615385,,,,0.15384615384615385,,,,0.23076923076923078,0.5,0.5,1.0,,0.1111111111111111,,0.2222222222222222,0.6538461538461539,0.5,0.47726346153846155,0.573225,0.4708611111111111,0.2692307692307692,7.96875,24.900000000000002,0.34108527131782945,4.0,1.0,2.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,,4.0,,,,2.0,0.125,0.14285714285714285,0.05714285714285714,0.03076923076923077,,0.5714285714285714,0.6666666666666666,0.5,0.5,0.4444444444444444,0.5,,,1.0,3.0,1.0,,5.0,10.0,2.0,,,1.0,1.0,,2.0,,2.0,1.0,,2.0,1.0,1.0,1.0,1.25,1.25,0.25,,0.1,0.058823529411764705,,,0.16666666666666666,0.5,0.6,0.75,1.0,0.19230769230769232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
330,1610612765,Danny Manning,Danny Manning,330,DET,5278.0,88,5.0,172,171,52,83.0,23,343,11.0,4.0,3.0,9.0,1.0,4.0,,,,2.0,4.0,2.0,10.0,24.0,3.0,8.0,34.0,162,,2.0,3.0,1.0,2.0,9.0,14.0,6.0,4.0,2.0,6.0,1.0,7.0,1.0,1.0,15.0,6.0,11.0,18.0,9.0,3.0,5.0,2.0,2.0,7.0,,11.0,2.0,9.0,52,0.7,0.875,0.6666666666666666,0.375,0.5,0.375,0.4166666666666667,0.6666666666666666,0.453125,0.7,0.4857142857142857,0.75,0.25,21.31979695431472,0.7142857142857143,0.1111111111111111,0.11594202898550725,0.07692307692307693,0.16666666666666666,0.34375,0.125,0.28125,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.125,0.25,0.25,1.0,0.125,0.5,0.5,0.5,,,,0.4,0.59375,0.5,0.47547187499999993,0.47750000000000004,0.41670999999999997,0.2647058823529412,8.9125,24.8375,0.3023255813953488,7.0,3.0,1.0,1.0,5.0,4.0,2.0,1.0,6.0,7.0,,6.0,,,1.0,2.0,0.041666666666666664,0.09090909090909091,0.11320754716981132,0.07692307692307693,0.15384615384615385,0.6363636363636364,0.7,0.7142857142857143,0.75,0.2,1.0,0.030303030303030304,0.04,2.0,,2.0,,4.0,6.0,4.0,4.0,1.0,3.0,,1.0,6.0,,3.0,3.0,,3.0,1.0,,0.5,0.5,0.5,0.3333333333333333,0.02631578947368421,0.10526315789473684,0.09523809523809523,0.05,,0.058823529411764705,0.3333333333333333,,,0.6666666666666666,0.11764705882352941,,,,,3.0,,,,,,,1.0,3.0,1.0,2.0,6.0,0.13333333333333333,0.15384615384615385,0.5,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
361,1610612765,Clifford Robinson,Clifford Robinson,361,DET,236.0,4,-1.0,7,7,1,,1,14,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
468,1610612765,Jon Barry,Jon Barry,468,DET,3494.0,58,19.0,113,116,31,41.0,15,229,1.0,2.0,2.0,3.0,1.0,4.0,,,1.0,4.0,8.0,1.0,2.0,6.0,5.0,12.0,19.0,107,1.0,,1.0,,2.0,,2.0,9.0,8.0,4.0,7.0,5.0,12.0,4.0,,29.0,7.0,7.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,,,31,0.5,0.5,0.6,0.4166666666666667,,0.4166666666666667,0.3333333333333333,,0.5277777777777778,,0.5277777777777778,,0.6666666666666666,15.625,0.5,0.20588235294117646,0.16279069767441862,,0.2,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.2222222222222222,0.25,0.25,1.0,0.4444444444444444,0.5,0.5,0.5,,0.3333333333333333,,0.3333333333333333,0.7222222222222222,0.5,0.5058805555555556,0.41342500000000004,0.47813333333333335,,10.65,24.524999999999995,0.2743362831858407,,,,,,2.0,,,1.0,1.0,1.0,,,,,,,,0.03333333333333333,0.01818181818181818,0.1111111111111111,,,,,,,,,,,1.0,,2.0,2.0,,7.0,,,,,3.0,,1.0,1.0,,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,,,,,,,0.2857142857142857,1.0,,,,0.10526315789473684,,1.0,,1.0,,,,,0.3333333333333333,,,,6.0,,,,,,,1.0,0.09090909090909091,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
93,1610612765,Hubert Davis,Hubert Davis,93,DET,2655.0,44,8.0,87,88,24,49.0,13,175,1.0,1.0,1.0,6.0,,1.0,,,,2.0,6.0,4.0,2.0,8.0,2.0,7.0,11.0,75,1.0,1.0,2.0,1.0,4.0,6.0,2.0,6.0,6.0,2.0,,3.0,3.0,3.0,,9.0,5.0,5.0,7.0,1.0,1.0,,,,,,,,6.0,24,0.5,0.5,1.0,0.2857142857142857,0.25,0.2857142857142857,0.25,0.5,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.4666666666666667,15.0,,0.20833333333333334,0.15151515151515152,0.3333333333333333,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.4,0.16666666666666666,0.16666666666666666,1.0,0.06666666666666667,,,,0.4,0.3333333333333333,0.4,1.0,,,,0.6666666666666666,0.5333333333333333,0.3333333333333333,0.4455266666666667,0.5085999999999999,0.44506666666666667,0.5454545454545454,15.587500000000002,25.857142857142858,0.27586206896551724,,,,,1.0,1.0,1.0,,2.0,2.0,,1.0,,1.0,,,,,0.06896551724137931,0.04,,,,,,,,,,,1.0,1.0,,2.0,2.0,,,,,,,,,,,,,,,1.0,0.5,0.5,,,,0.13333333333333333,,,0.2222222222222222,,1.0,1.0,,0.18181818181818182,,1.0,,,,,,,0.5,,,1.0,,,,,,,0.25,1.0,0.1,1.0,0.14285714285714285,0.16666666666666666,,,,,,True,,,,,,,,,,,,,,,,,,,
690,1610612765,Don Reid,Don Reid,690,DET,602.0,10,-5.0,19,20,2,13.0,4,39,2.0,1.0,,,,,,,,,,,,3.0,,,1.0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,2,,,,,,,,,,,0.125,,,17.391304347826086,,,,,,0.6666666666666666,0.3333333333333333,,,,,,,,,,,,,,,,,0.6666666666666666,,0.6193000000000001,,,,1.9000000000000001,,0.10526315789473684,,,,,1.0,,,,,,,2.0,,,1.0,,,,,,,,,,,,,0.25,0.25,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
722,1610612765,Corliss Williamson,Corliss Williamson,722,DET,2099.0,35,20.0,66,65,23,18.0,9,131,11.0,4.0,,,,,,,,,,,8.0,15.0,,,20.0,58,,3.0,6.0,,,9.0,10.0,,,,,1.0,1.0,,,3.0,3.0,5.0,7.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,9.0,23,0.625,0.625,,,,,0.5333333333333333,0.5,0.5333333333333333,0.5,0.5882352941176471,0.5625,,25.974025974025974,0.3333333333333333,0.13636363636363635,0.10714285714285714,,0.125,0.7333333333333333,0.26666666666666666,,,,,,,,,,,,,,,,,0.7333333333333333,,0.5016799999999999,0.4261333333333333,0.5005000000000001,0.45,2.04,,0.3484848484848485,6.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,6.0,2.0,,3.0,1.0,0.2,0.2727272727272727,0.09090909090909091,0.058823529411764705,,0.5454545454545454,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.1875,0.1875,,2.0,,2.0,2.0,6.0,,,,2.0,,,1.0,,,,,,,,,,0.25,0.6666666666666666,,0.2,,,,0.2222222222222222,,0.5,0.5,,0.1,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.5,,,,,True,,,,,,,,,,,,,,,,,,,
