EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,AtRimAssists,ShortMidRangeAssists,LostBallSteals,BadPassOutOfBoundsTurnovers,BlockedLongMidRange,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,LongMidRangePctBlocked,OffAtRimReboundPct,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,PtsUnassisted3s,Blocked3s,BlockedArc3,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,Technical Free Throw Trips,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawn,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,on
111,1610612748,LaPhonso Ellis,LaPhonso Ellis,111,MIA,20035.0,334,-21,593,601,122,187,85,1194,6.0,14.0,1.0,6.0,2.0,7.0,12,12.0,36.0,4.0,14.0,1.0,1.0,2.0,12.0,39.0,1.0,4.0,12.0,25.0,62,16.0,53.0,25,123,580,3.0,11.0,2.0,7.0,13.0,4.0,10.0,5.0,14.0,11.0,34.0,30.0,20.0,48.0,4.0,1.0,38.0,12.0,4.0,1.0,2.0,5.0,7.0,3.0,2.0,2.0,19.0,5.0,10.0,1.0,7.0,32,7.0,46,16.0,62,1.0,6.0,6.0,7.0,6.0,5,2.0,1.0,2.0,12,1.0,1.0,15,31,3.0,1.0,30,2.0,10,6.0,5.0,3.0,2.0,5.0,4.0,34.0,122,2.0,0.6,0.6521739130434783,1.0,0.3018867924528302,0.35714285714285715,0.3076923076923077,0.4032258064516129,0.2727272727272727,0.4,0.4260869565217391,0.23076923076923078,0.4791666666666667,0.47674418604651164,0.40625,0.5483870967741935,0.4608695652173913,0.018867924528301886,0.06451612903225806,0.14285714285714285,0.16666666666666666,0.07142857142857142,20.085470085470085,0.5833333333333334,0.35,0.07692307692307693,0.13852813852813853,0.04184100418410042,0.1320754716981132,0.05952380952380952,0.13732394366197184,0.04643962848297214,0.07352941176470588,0.050505050505050504,0.06451612903225806,0.045454545454545456,0.13043478260869565,0.08333333333333333,0.18888888888888888,0.14285714285714285,0.09090909090909091,0.014925373134328358,0.8,0.12173913043478261,0.42857142857142855,0.5,0.6666666666666666,0.10434782608695652,0.5833333333333334,0.7,0.2857142857142857,0.3130434782608696,0.3333333333333333,0.3333333333333333,0.75,0.12173913043478261,0.2857142857142857,0.3076923076923077,1.0,0.3391304347826087,0.3076923076923077,0.3076923076923077,1.0,0.46153846153846156,0.16666666666666666,0.07692307692307693,0.07692307692307693,0.08333333333333333,0.08333333333333333,0.5,0.5,0.3333333333333333,0.5826086956521739,0.3157894736842105,0.4848168141592921,0.49158888888888885,0.4681568181818182,0.08130081300813008,0.14285714285714285,0.10569105691056911,0.2764227642276423,12.361290322580645,25.137735849056604,0.2057335581787521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1735,1610612748,Vladimir Stepania,Vladimir Stepania,1735,MIA,95664.0,1594,-165,2823,2836,695,941,427,5659,122.0,219.0,49.0,105.0,34.0,29.0,103,34.0,105.0,,,,,,,,,,,185.0,427,,,71,441,2822,63.0,148.0,,29.0,155.0,32.0,77.0,,,23.0,87.0,224.0,146.0,,100.0,,,,44.0,,18.0,6.0,24.0,4.0,2.0,7.0,54.0,31.0,177.0,3.0,55.0,259,29.0,343,211.0,554,17.0,45.0,27.0,32.0,12.0,37,6.0,20.0,5.0,69,7.0,13.0,67,169,33.0,13.0,134,12.0,59,14.0,40.0,29.0,10.0,40.0,23.0,87.0,695,29.0,0.6054054054054054,0.8296296296296296,,,,,0.4332552693208431,0.42567567567567566,0.4155844155844156,0.4332552693208431,0.42567567567567566,0.4155844155844156,0.45184426229508196,0.45321637426900585,0.4393939393939394,,,0.10304449648711944,0.1324200913242009,0.1262135922330097,,16.602086438152014,0.463768115942029,0.26605504587155965,0.03614457831325301,0.23207885304659498,0.1409235668789809,0.1936619718309859,0.10689655172413794,0.22428571428571428,0.13454075032341525,0.13742690058479531,0.10975609756097561,0.08133971291866028,0.1728395061728395,0.25,0.2361111111111111,0.2152777777777778,0.1963470319634703,0.18461538461538463,0.08717948717948718,0.575,0.5128805620608899,0.5570776255707762,0.6421052631578947,0.5327868852459017,0.24121779859484777,0.2815533980582524,0.32222222222222224,0.5517241379310345,0.2459016393442623,0.3238095238095238,0.3300970873786408,0.9117647058823529,,,,,,,,,0.7094594594594594,0.4666666666666667,,,0.44155844155844154,,,,,0.5128805620608899,,0.4772444964871193,0.5087201550387599,0.47030519480519484,0.12447257383966245,0.12447257383966245,0.35147392290249435,0.19727891156462585,6.3496487119437965,,0.24619199433227063,18.0,10.0,1.0,18.0,4.0,1.0,2.0,3.0,4.0,10.0,0.01904761904761905,0.19705882352941176,0.02040816326530612,0.5294117647058824,,,,,,,,,,,,,,,,,True
1853,1610612748,Anthony Carter,Anthony Carter,1853,MIA,21321.0,355,-46,647,641,137,174,82,1288,9.0,16.0,,,3.0,3.0,13,22.0,65.0,,,,,,,4.0,,,3.0,34.0,94,,4.0,7,75,660,1.0,1.0,,1.0,3.0,8.0,17.0,,3.0,3.0,19.0,38.0,30.0,,,1.0,3.0,,5.0,,59.0,15.0,74.0,7.0,8.0,16.0,163.0,,3.0,,4.0,23,1.0,28,3.0,31,2.0,14.0,7.0,19.0,16.0,11,,3.0,2.0,30,4.0,5.0,9,31,,3.0,13,1.0,4,3.0,1.0,,1.0,1.0,1.0,19.0,137,3.0,0.5588235294117647,0.5588235294117647,,,,,0.3617021276595745,1.0,0.47058823529411764,0.3469387755102041,1.0,0.4,0.3605769230769231,0.75,0.41304347826086957,0.04081632653061224,,0.05319148936170213,0.125,0.15384615384615385,,18.15718157181572,0.6333333333333333,0.038461538461538464,,0.09387755102040816,0.011538461538461539,0.056338028169014086,,0.08544303797468354,0.00964630225080386,0.015873015873015872,0.014184397163120567,,,0.09230769230769231,0.06741573033707865,0.12087912087912088,0.037037037037037035,0.11764705882352941,0.037037037037037035,1.0,0.16326530612244897,0.5625,0.6428571428571429,0.5555555555555556,0.1326530612244898,0.23076923076923078,0.2727272727272727,,0.6632653061224489,0.3384615384615385,0.34375,0.6363636363636364,,,,,0.04081632653061224,,,,,,,,0.15,,,0.15,,0.20408163265306123,,0.417271875,0.3689,0.38979473684210525,0.039603960396039604,0.041237113402061855,0.04,0.25333333333333335,13.74255319148936,39.05,0.2117465224111283,2.0,33.0,10.0,7.0,6.0,,,,,,0.015384615384615385,,,0.6666666666666666,,,,,,,,,,,,,,,,,True
2067,1610612748,Eddie House,Eddie House,2067,MIA,24526.0,409,-99,726,726,162,217,123,1452,10.0,15.0,1.0,1.0,6.0,6.0,19,27.0,92.0,4.0,19.0,1.0,1.0,4.0,7.0,23.0,1.0,,6.0,43.0,126,11.0,42.0,9,128,742,4.0,13.0,2.0,2.0,10.0,14.0,32.0,1.0,10.0,4.0,35.0,58.0,28.0,30.0,,2.0,21.0,7.0,5.0,1.0,23.0,10.0,33.0,4.0,6.0,8.0,76.0,2.0,6.0,,8.0,21,,29,8.0,37,1.0,15.0,9.0,10.0,6.0,8,2.0,4.0,,18,1.0,2.0,10,21,,,12,2.0,6,1.0,,,,1.0,,35.0,162,2.0,0.6744186046511628,0.6744186046511628,0.9090909090909091,0.2619047619047619,0.1,0.275,0.3412698412698413,0.3076923076923077,0.4375,0.3541666666666667,0.26666666666666666,0.36904761904761907,0.3699421965317919,0.3125,0.3977272727272727,0.25,0.023809523809523808,0.03968253968253968,0.06666666666666667,0.10526315789473684,0.05263157894736842,21.82857142857143,0.5555555555555556,,,0.07777777777777778,0.01729106628242075,0.1095890410958904,0.025,0.08454810495626822,0.01873536299765808,,0.011976047904191617,0.018518518518518517,0.038461538461538464,0.056338028169014086,0.03409090909090909,0.12612612612612611,0.1016949152542373,0.14285714285714285,0.00980392156862745,,0.08928571428571429,0.6666666666666666,0.7142857142857143,0.7,0.1130952380952381,0.3157894736842105,0.35294117647058826,0.3333333333333333,0.5476190476190477,0.29347826086956524,0.3,0.7407407407407407,0.1130952380952381,0.21052631578947367,0.2222222222222222,1.0,0.13690476190476192,0.30434782608695654,0.30434782608695654,0.8571428571428571,0.06666666666666667,1.0,0.06666666666666667,0.06666666666666667,0.14285714285714285,0.09523809523809523,0.25,0.14285714285714285,,0.3392857142857143,0.3333333333333333,0.4544201807228917,0.42039230769230773,0.45833250000000014,0.03488372093023256,0.046153846153846156,0.078125,0.2734375,15.12936507936508,25.638095238095236,0.2231404958677686,5.0,11.0,4.0,6.0,4.0,,,,,,0.021739130434782608,0.0449438202247191,1.0,0.8333333333333334,3.0,1.0,1.0,,,,,,,,,,,,,,True
2229,1610612748,Mike James,Mike James,2229,MIA,56343.0,939,-17,1643,1660,367,522,250,3303,40.0,76.0,6.0,12.0,14.0,11.0,34,32.0,80.0,10.0,22.0,2.0,2.0,6.0,26.0,91.0,9.0,2.0,19.0,83.0,190,36.0,113.0,44,318,1599,10.0,26.0,11.0,2.0,37.0,16.0,43.0,4.0,25.0,7.0,51.0,36.0,130.0,84.0,4.0,,91.0,26.0,17.0,,94.0,27.0,121.0,16.0,11.0,58.0,269.0,2.0,13.0,,19.0,54,4.0,77,15.0,92,3.0,37.0,14.0,33.0,23.0,30,4.0,10.0,2.0,63,6.0,15.0,26,88,1.0,13.0,67,8.0,30,6.0,1.0,1.0,,1.0,1.0,51.0,367,8.0,0.21686746987951808,0.2222222222222222,0.7777777777777778,0.3185840707964602,0.16,0.3185840707964602,0.4368421052631579,0.38461538461538464,0.37209302325581395,0.4521452145214521,0.47297297297297297,0.3235294117647059,0.4788519637462236,0.47435897435897434,0.3355263157894737,0.37293729372937295,,0.08947368421052632,0.17105263157894737,0.08823529411764706,,20.122574055158328,0.5238095238095238,0.06349206349206349,,0.08023774145616643,0.0182328190743338,0.11801242236024845,0.010638297872340425,0.08752997601918465,0.016648168701442843,0.015151515151515152,0.018461538461538463,0.007518796992481203,0.01818181818181818,0.08121827411167512,0.07281553398058252,0.08518518518518518,0.06557377049180328,0.28205128205128205,0.018633540372670808,1.0,0.2508250825082508,0.5263157894736842,0.6349206349206349,0.15,0.11221122112211221,0.3235294117647059,0.3548387096774194,0.18181818181818182,0.264026402640264,0.4,0.4050632911392405,0.3125,0.07260726072607261,0.45454545454545453,0.45454545454545453,1.0,0.30033003300330036,0.2857142857142857,0.2857142857142857,0.6923076923076923,0.32432432432432434,0.5,0.05405405405405406,0.24324324324324326,0.20588235294117646,0.08823529411764706,0.3333333333333333,0.27941176470588236,0.10526315789473684,0.6237623762376238,0.2857142857142857,0.49019042904290433,0.46921538461538453,0.4561147058823529,0.09230769230769231,0.14150943396226415,0.11635220125786164,0.16037735849056603,9.634736842105262,24.844247787610616,0.22337188070602557,7.0,26.0,10.0,23.0,7.0,,,,,1.0,0.0125,0.021052631578947368,,0.5,24.0,,,2.0,3.0,5.0,2.0,0.45454545454545453,1.0,1.0,0.3333333333333333,0.6666666666666666,,,,,True
2406,1610612748,Caron Butler,Caron Butler,2406,MIA,59892.0,998,-169,1767,1786,471,656,259,3553,76.0,141.0,13.0,31.0,31.0,23.0,87,43.0,98.0,4.0,13.0,,,1.0,7.0,29.0,3.0,4.0,9.0,142.0,326,11.0,42.0,123,440,1837,20.0,51.0,3.0,17.0,60.0,30.0,67.0,4.0,10.0,50.0,122.0,144.0,140.0,27.0,14.0,2.0,27.0,7.0,31.0,2.0,52.0,9.0,61.0,6.0,3.0,24.0,131.0,13.0,40.0,1.0,20.0,59,7.0,86,54.0,140,5.0,50.0,33.0,41.0,19.0,32,5.0,22.0,2.0,73,12.0,24.0,26,72,2.0,16.0,154,16.0,57,23.0,14.0,11.0,3.0,14.0,11.0,122.0,471,12.0,0.5070422535211268,0.5333333333333333,0.8181818181818182,0.2619047619047619,0.4,0.275,0.43558282208588955,0.39215686274509803,0.44776119402985076,0.43070652173913043,0.39814814814814814,0.4675324675324675,0.5034642032332564,0.4838709677419355,0.5833333333333334,0.11413043478260869,0.047619047619047616,0.0950920245398773,0.1347517730496454,0.13793103448275862,0.07692307692307693,24.1527446300716,0.5616438356164384,0.0945945945945946,0.017241379310344827,0.08638360175695461,0.05161290322580645,0.10256410256410256,0.07222222222222222,0.08997722095671981,0.05549738219895288,0.06278026905829596,0.04142011834319527,0.06766917293233082,0.0851063829787234,0.0821256038647343,0.10526315789473684,0.0749063670411985,0.10067114093959731,0.10869565217391304,0.02857142857142857,0.7857142857142857,0.38315217391304346,0.5390070921985816,0.6229508196721312,0.5,0.23641304347826086,0.26436781609195403,0.30666666666666664,0.2608695652173913,0.266304347826087,0.4387755102040816,0.4387755102040816,0.6511627906976745,0.035326086956521736,0.3076923076923077,0.3333333333333333,1.0,0.07880434782608696,0.2413793103448276,0.25,0.7142857142857143,0.5740740740740741,0.41935483870967744,,0.05555555555555555,0.4025974025974026,0.012987012987012988,,0.11688311688311688,0.4444444444444444,0.49728260869565216,0.25925925925925924,0.47850509641873296,0.48125666666666667,0.458983552631579,0.14146341463414633,0.1553133514986376,0.13636363636363635,0.2772727272727273,8.04907975460123,26.60714285714286,0.266553480475382,16.0,24.0,4.0,17.0,5.0,,1.0,,,1.0,,0.056074766355140186,0.23076923076923078,0.5161290322580645,6.0,,,,1.0,1.0,7.0,0.3333333333333333,,,0.3333333333333333,1.0,1.0,0.034482758620689655,0.023255813953488372,,True
2446,1610612748,Rasual Butler,Rasual Butler,2446,MIA,41241.0,687,-44,1226,1225,270,376,178,2451,18.0,45.0,2.0,7.0,18.0,13.0,44,28.0,96.0,9.0,26.0,3.0,,3.0,21.0,65.0,7.0,6.0,21.0,59.0,185,30.0,91.0,33,241,1197,5.0,16.0,10.0,,16.0,15.0,40.0,6.0,24.0,10.0,58.0,50.0,68.0,75.0,4.0,,65.0,21.0,15.0,,29.0,9.0,38.0,6.0,3.0,12.0,85.0,2.0,12.0,,19.0,34,7.0,60,14.0,74,4.0,10.0,6.0,25.0,18.0,13,1.0,7.0,3.0,38,1.0,4.0,23,45,1.0,3.0,46,3.0,16,7.0,23.0,16.0,3.0,24.0,17.0,58.0,270,3.0,0.423728813559322,0.43859649122807015,0.8333333333333334,0.32967032967032966,0.25,0.32967032967032966,0.31891891891891894,0.3125,0.375,0.37681159420289856,0.3076923076923077,0.375,0.4057239057239057,0.3076923076923077,0.4142857142857143,0.32971014492753625,,0.08108108108108109,0.2,0.11363636363636363,,23.07162534435262,0.6578947368421053,0.15555555555555556,,0.06786427145708583,0.022058823529411766,0.1623931623931624,0.016666666666666666,0.08576051779935275,0.02108433734939759,,0.0199203187250996,0.023255813953488372,,0.06493506493506493,0.0736196319018405,0.06521739130434782,0.19148936170212766,0.043478260869565216,0.023952095808383235,0.7083333333333334,0.16304347826086957,0.4,0.5,0.4444444444444444,0.15942028985507245,0.29545454545454547,0.3333333333333333,0.23076923076923078,0.34782608695652173,0.2916666666666667,0.29473684210526313,0.5,0.09420289855072464,0.34615384615384615,0.34615384615384615,1.0,0.23550724637681159,0.3230769230769231,0.3230769230769231,0.7619047619047619,0.2692307692307692,0.2857142857142857,0.11538461538461539,0.2692307692307692,0.28125,0.046875,,0.328125,0.2857142857142857,0.4927536231884058,0.3230769230769231,0.468318613138686,0.48209545454545455,0.48489596774193555,0.05862068965517241,0.08080808080808081,0.06639004149377593,0.24066390041493776,11.598378378378378,24.675824175824182,0.22022838499184338,7.0,12.0,5.0,4.0,3.0,4.0,,,,1.0,0.010416666666666666,0.04929577464788732,,0.3888888888888889,15.0,1.0,1.0,1.0,1.0,2.0,,0.2,0.3333333333333333,1.0,0.14285714285714285,1.0,1.0,,0.010869565217391304,,True
224,1610612748,Eddie Jones,Eddie Jones,224,MIA,36774.0,613,-38,1080,1089,295,417,177,2169,21.0,46.0,6.0,11.0,8.0,18.0,42,21.0,62.0,19.0,35.0,3.0,4.0,10.0,13.0,40.0,6.0,3.0,11.0,60.0,150,32.0,75.0,87,303,1080,12.0,20.0,9.0,14.0,44.0,12.0,35.0,7.0,21.0,39.0,84.0,40.0,80.0,96.0,10.0,3.0,37.0,13.0,13.0,,47.0,10.0,57.0,7.0,3.0,19.0,124.0,2.0,15.0,,9.0,41,8.0,58,17.0,75,3.0,22.0,17.0,21.0,12.0,12,1.0,9.0,2.0,33,3.0,9.0,15,43,5.0,5.0,108,6.0,32,16.0,9.0,7.0,2.0,10.0,4.0,84.0,295,5.0,0.3333333333333333,0.36363636363636365,1.0,0.4266666666666667,0.3333333333333333,0.4444444444444444,0.4,0.6,0.34285714285714286,0.48,0.5172413793103449,0.4017857142857143,0.542910447761194,0.6,0.5189873417721519,0.3333333333333333,,0.08666666666666667,0.15217391304347827,0.11904761904761904,,23.20740169622205,0.6363636363636364,0.16326530612244897,,0.09669811320754718,0.030991735537190084,0.09,0.016260162601626018,0.09541984732824428,0.02800658978583196,0.032520325203252036,0.028037383177570093,0.011494252873563218,0.027777777777777776,0.09230769230769231,0.06206896551724138,0.1342281879194631,0.0759493670886076,0.14285714285714285,0.02631578947368421,0.4,0.20444444444444446,0.45652173913043476,0.5384615384615384,0.23809523809523808,0.18666666666666668,0.42857142857142855,0.4864864864864865,0.3333333333333333,0.27555555555555555,0.3387096774193548,0.3442622950819672,0.42857142857142855,0.15555555555555556,0.5428571428571428,0.5428571428571428,1.0,0.17777777777777778,0.325,0.325,1.0,0.3793103448275862,0.5454545454545454,0.10344827586206896,0.20689655172413793,0.14285714285714285,0.17857142857142858,0.4,0.19642857142857142,0.2727272727272727,0.5377777777777778,0.35135135135135137,0.49021621621621625,0.5094944444444445,0.4818566037735849,0.13095238095238096,0.18181818181818182,0.14521452145214522,0.27722772277227725,9.822,25.394666666666662,0.27314814814814814,3.0,21.0,7.0,5.0,3.0,,,,,,0.016129032258064516,0.034013605442176874,,0.375,,1.0,1.0,1.0,1.0,2.0,15.0,0.2222222222222222,0.3333333333333333,1.0,0.16666666666666666,1.0,1.0,,0.013157894736842105,,True
2253,1610612748,Sean Lampley,Sean Lampley,2253,MIA,12922.0,215,-18,390,386,106,122,55,776,13.0,27.0,4.0,8.0,4.0,7.0,23,2.0,15.0,,,,,,,2.0,,,1.0,22.0,65,,2.0,23,67,364,4.0,9.0,,5.0,13.0,2.0,14.0,,1.0,12.0,16.0,14.0,30.0,,6.0,,2.0,,12.0,,12.0,1.0,13.0,1.0,,6.0,27.0,,10.0,,4.0,14,2.0,20,10.0,30,3.0,4.0,3.0,7.0,3.0,5,1.0,4.0,1.0,12,2.0,4.0,6,14,1.0,1.0,33,3.0,13,5.0,2.0,1.0,1.0,2.0,1.0,16.0,106,1.0,0.3181818181818182,0.3684210526315789,,,,,0.3384615384615385,0.4444444444444444,0.14285714285714285,0.3283582089552239,0.4444444444444444,0.13333333333333333,0.40853658536585363,0.5909090909090909,0.3333333333333333,0.029850746268656716,,0.18461538461538463,0.25925925925925924,0.21739130434782608,,20.524017467248907,0.5833333333333334,0.2,,0.09210526315789473,0.05434782608695652,0.10526315789473684,,0.09473684210526316,0.04830917874396135,0.05454545454545454,0.0410958904109589,,,0.047619047619047616,0.10869565217391304,0.109375,0.034482758620689655,0.3333333333333333,0.0967741935483871,0.5,0.40298507462686567,0.48148148148148145,0.65,0.38461538461538464,0.34328358208955223,0.30434782608695654,0.3888888888888889,0.14285714285714285,0.22388059701492538,0.13333333333333333,0.13333333333333333,0.5,,,,,0.029850746268656716,,,,0.8888888888888888,0.5,,,0.26666666666666666,,,0.06666666666666667,,0.43283582089552236,,0.43079925373134326,0.5230555555555556,0.38744333333333336,0.16883116883116883,0.17333333333333334,0.19402985074626866,0.23880597014925373,7.4861538461538455,26.049999999999997,0.2717948717948718,1.0,4.0,2.0,1.0,2.0,,,,,,,0.07142857142857142,0.25,0.25,,,,,,,,,,,,,,,,1.0,True
696,1610612748,Travis Best,Travis Best,696,MIA,36361.0,606,-81,1068,1075,323,389,175,2143,19.0,45.0,2.0,6.0,17.0,7.0,27,23.0,71.0,1.0,5.0,,1.0,3.0,11.0,36.0,4.0,2.0,12.0,49.0,143,12.0,41.0,39,173,1070,7.0,22.0,4.0,6.0,23.0,18.0,43.0,3.0,15.0,24.0,69.0,14.0,84.0,27.0,2.0,,36.0,11.0,12.0,,58.0,25.0,83.0,15.0,10.0,36.0,191.0,2.0,7.0,,9.0,28,,37,9.0,46,1.0,16.0,13.0,18.0,14.0,11,,4.0,2.0,29,1.0,11.0,21,54,,2.0,47,3.0,14,9.0,2.0,,2.0,2.0,1.0,69.0,323,9.0,0.14285714285714285,0.14583333333333334,0.75,0.2926829268292683,0.2,0.2926829268292683,0.34265734265734266,0.3181818181818182,0.4186046511627907,0.3641304347826087,0.3269230769230769,0.3879310344827586,0.4166666666666667,0.38333333333333336,0.4791666666666667,0.22282608695652173,,0.08391608391608392,0.2222222222222222,0.037037037037037035,,18.048024786986833,0.6206896551724138,,,0.06682577565632458,0.013972055888223553,0.08333333333333333,0.017241379310344827,0.07020872865275142,0.014586709886547812,0.021739130434782608,0.00904977375565611,,0.0625,0.043478260869565216,0.05,0.0975609756097561,0.09876543209876543,0.037037037037037035,0.00909090909090909,0.5,0.24456521739130435,0.4222222222222222,0.5428571428571428,0.15789473684210525,0.14673913043478262,0.25925925925925924,0.2692307692307692,,0.3858695652173913,0.323943661971831,0.32857142857142857,0.17391304347826086,0.02717391304347826,0.2,0.2,1.0,0.1956521739130435,0.3055555555555556,0.3055555555555556,0.7272727272727273,0.23076923076923078,0.3333333333333333,,0.15384615384615385,0.29310344827586204,0.05172413793103448,0.3333333333333333,0.20689655172413793,0.16666666666666666,0.4673913043478261,0.3055555555555556,0.4644192934782608,0.4457153846153846,0.4700155172413793,0.07179487179487179,0.09090909090909091,0.1329479768786127,0.3988439306358382,11.152447552447551,24.76829268292683,0.30243445692883897,8.0,14.0,8.0,3.0,7.0,,,,,,0.014084507042253521,0.014084507042253521,,0.47058823529411764,9.0,,,,1.0,1.0,4.0,0.25,,,0.25,,,,,,True
