EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceArc3FGA,SecondChanceFG3A,ShootingFouls,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceAtRimFGM,PenaltyAtRimFGM,Corner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,ShortMidRangeAssists,OffThreePtRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,SecondChanceFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,Corner3Frequency,SecondChanceAtRimAccuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,FTDefRebounds,BlockedShortMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations,AtRimPctBlocked,DefFTReboundPct,3SecondViolations,NonShootingPenaltyNonTakeFouls,LostBallOutOfBoundsTurnovers,OffensiveGoaltends,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,on,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFtPoints,PtsUnassisted3s,HeaveAttempts,Fg3aBlocked,Corner3Assists,FTOffRebounds,Travels,Clear Path Fouls,3pt And 1 Free Throw Trips,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,OffFTReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,Blocked3s,BlockedArc3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedCorner3
1503,1610612753,Tracy McGrady,Tracy McGrady,1503,ORL,2640.0,44,-10,88,88,13.0,19.0,9.0,176,2.0,9.0,1.0,1.0,12.0,22.0,1.0,7.0,1.0,2.0,14.0,31.0,1.0,7.0,7.0,38.0,95,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,6.0,14.0,14.0,3.0,2.0,7.0,1.0,2.0,4.0,1.0,5.0,1.0,2.0,2.0,11.0,4.0,2.0,4.0,6,4.0,10,2.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,9.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,6.0,13.0,0.5,0.5384615384615384,1.0,0.14285714285714285,0.5,0.14285714285714285,0.45161290322580644,0.5,0.3333333333333333,0.40789473684210525,0.5,0.5,0.45121951219512196,0.5,0.5,0.18421052631578946,0.06451612903225806,0.09090909090909091,44.89795918367347,1.0,0.14285714285714285,0.11428571428571428,0.2222222222222222,0.16216216216216217,0.08695652173913043,0.2857142857142857,0.08333333333333333,0.125,0.125,0.16666666666666666,0.2857142857142857,0.09523809523809523,0.5,0.23684210526315788,0.2222222222222222,0.2222222222222222,1.0,0.5789473684210527,0.5454545454545454,0.6,0.4166666666666667,0.18421052631578946,0.14285714285714285,0.14285714285714285,1.0,0.5,0.2,0.4,0.5,0.42105263157894735,0.14285714285714285,0.4710039473684211,0.5041,0.5162800000000001,0.075,0.0625,0.125,0.05263157894736842,0.15789473684210525,12.280645161290321,25.54285714285714,0.14772727272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,1610612753,Pat Garrity,Pat Garrity,1727,ORL,1332.0,22,-12,40,43,3.0,12.0,4.0,83,,,,,1.0,2.0,1.0,4.0,,,3.0,5.0,1.0,4.0,,9.0,57,,,,,,,,,,6.0,,3.0,,4.0,1.0,,2.0,,2.0,,,2.0,4.0,,,1.0,1,,1,,,,,,,,2.0,,,,,,,,,,,,,3.0,1.0,1.0,1.0,0.25,,0.25,0.6,,,0.5,,,0.5,,,0.4444444444444444,,,20.930232558139537,,0.07142857142857142,,,0.058823529411764705,,,,,0.3333333333333333,,,,,,,,,0.2222222222222222,0.5,0.5,1.0,0.4444444444444444,0.25,0.25,1.0,,,,,0.4444444444444444,0.25,0.4829611111111112,0.6231,,,,,,,13.48,24.75,0.075,2.0,3.0,1.0,1.0,2.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,1610612753,Mike Miller,Mike Miller,2034,ORL,3646.0,61,-8,113,115,23.0,30.0,17.0,228,2.0,3.0,2.0,1.0,3.0,10.0,5.0,7.0,1.0,2.0,5.0,13.0,5.0,8.0,,25.0,116,2.0,4.0,7.0,1.0,2.0,1.0,3.0,,5.0,4.0,6.0,15.0,2.0,7.0,5.0,,6.0,,6.0,,,4.0,12.0,2.0,1.0,7.0,8,3.0,11,,1.0,,2.0,1.0,4.0,,4.0,,,,,,,,,,,,5.0,23.0,0.4,0.5,1.0,0.625,0.3333333333333333,0.625,0.38461538461538464,0.5,0.5,0.5952380952380952,0.7,0.5,0.5952380952380952,0.7,0.5,0.38095238095238093,,,19.23076923076923,0.5,0.19444444444444445,0.04081632653061224,0.06666666666666667,0.1568627450980392,0.04918032786885246,0.07142857142857142,0.03571428571428571,,0.2222222222222222,0.29411764705882354,0.07692307692307693,,,0.14285714285714285,0.6666666666666666,0.6666666666666666,,0.47619047619047616,0.3,0.3,0.6666666666666666,0.3333333333333333,0.7142857142857143,0.7142857142857143,1.0,0.4,0.2,0.4,0.5,0.5238095238095238,0.7142857142857143,0.504497619047619,0.4901875,0.5869000000000001,,,,0.28,0.2,15.592307692307692,24.7125,0.20353982300884957,,,1.0,1.0,2.0,,,,,0.2,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.1,0.047619047619047616,0.5,1.0,1.0,1.0,0.2,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,1610612753,Grant Hill,Grant Hill,255,ORL,3466.0,58,-13,112,113,8.0,7.0,10.0,225,2.0,5.0,,1.0,4.0,7.0,,,,,7.0,17.0,,,4.0,18.0,115,,,,,4.0,,,1.0,1.0,4.0,10.0,,,,,2.0,6.0,1.0,7.0,1.0,3.0,3.0,15.0,2.0,4.0,8.0,14,2.0,16,,1.0,,6.0,6.0,10.0,,4.0,6.0,2.0,,4.0,,,1.0,,,1.0,1.0,1.0,8.0,0.2857142857142857,0.2857142857142857,,,,,0.4117647058823529,,,0.4117647058823529,,,0.47368421052631576,,0.1,,0.11764705882352941,,23.577235772357724,0.6,0.2222222222222222,0.04878048780487805,0.36363636363636365,0.2553191489361702,0.04,,0.08695652173913043,,0.38461538461538464,0.21428571428571427,0.4,,1.0,0.29411764705882354,0.4,0.6666666666666666,,0.4117647058823529,0.5714285714285714,0.5714285714285714,0.25,,,,,,0.25,,,0.29411764705882354,,0.4662647058823529,,0.4317,0.21052631578947367,0.21052631578947367,,,0.05555555555555555,9.911764705882353,,0.07142857142857142,1.0,5.0,,,1.0,0.29411764705882354,0.2,0.2,1.0,,,,,,,,,,1.0,3.0,4.0,,2.0,,1.0,,,,,,,,,,2.0,1.0,1.0,1.0,0.4,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,1610612753,Horace Grant,Horace Grant,270,ORL,5105.0,85,-14,162,165,24.0,30.0,19.0,327,2.0,3.0,,,10.0,20.0,,,,,13.0,25.0,,,,26.0,167,1.0,2.0,2.0,2.0,2.0,,,,4.0,26.0,,,,,,1.0,4.0,3.0,7.0,3.0,3.0,1.0,17.0,1.0,2.0,4.0,6,2.0,8,,3.0,2.0,,,1.0,,5.0,,,,,,,,,,,,4.0,24.0,1.0,1.0,,,,,0.52,0.5,1.0,0.52,0.5,1.0,0.52,0.5,1.0,,0.04,,14.3646408839779,,0.07407407407407407,0.015625,0.11764705882352941,0.08450704225352113,0.02564102564102564,0.058823529411764705,,0.0625,0.0625,0.09090909090909091,0.13333333333333333,,,0.12,0.6666666666666666,1.0,1.0,0.8,0.5,0.5,1.0,,,,,,,,,0.12,,0.406372,0.3845,0.36355,,,,0.07692307692307693,0.15384615384615385,15.835999999999999,,0.14814814814814814,1.0,2.0,,,3.0,0.08,0.5,0.5,1.0,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,0.07142857142857142,0.08333333333333333,,,,,,,,,,,0.3333333333333333,,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,1610612753,Darrell Armstrong,Darrell Armstrong,353,ORL,3529.0,59,-28,115,116,19.0,26.0,15.0,231,4.0,6.0,,,2.0,5.0,1.0,2.0,,1.0,6.0,12.0,1.0,3.0,1.0,16.0,123,,,,,2.0,,1.0,,,4.0,8.0,3.0,,2.0,1.0,,6.0,2.0,8.0,2.0,1.0,5.0,18.0,,,3.0,3,,3,,6.0,5.0,3.0,2.0,3.0,1.0,2.0,1.0,,1.0,,,,,,,,,,19.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,0.3333333333333333,0.5,,,0.5,,,0.5,,,0.2,,,13.740458015267174,1.0,0.075,,,0.06,,,,0.14285714285714285,,0.07142857142857142,,,,0.4,0.6666666666666666,0.6666666666666666,0.25,0.3333333333333333,0.4,0.4,0.5,0.13333333333333333,0.5,0.5,1.0,,,0.3333333333333333,,0.6,0.5,0.54333,,0.4620333333333333,,,,,,8.241666666666665,23.866666666666664,0.16521739130434782,,1.0,,,2.0,0.06666666666666667,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,0.06666666666666667,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2415,1610612753,Ryan Humphrey,Ryan Humphrey,2415,ORL,807.0,13,4,27,25,3.0,2.0,4.0,52,2.0,2.0,1.0,,,,,,,,2.0,3.0,,,,4.0,21,1.0,1.0,2.0,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,1.0,,1.0,1,1.0,2,,,,,,3.0,,2.0,,,,,,,1.0,1.0,,1.0,1.0,,3.0,0.5,1.0,,,,,0.6666666666666666,1.0,,0.6666666666666666,1.0,,0.6666666666666666,1.0,,,,,20.0,,0.08333333333333333,0.1111111111111111,,0.07692307692307693,0.1,0.5,,,,0.16666666666666666,,,1.0,0.6666666666666666,1.0,1.0,0.5,,,,,,,,,1.0,,,,0.6666666666666666,,0.5315,0.5442,,,,,0.5,,2.4,,0.1111111111111111,,1.0,,,,0.3333333333333333,,,,,1.0,,,,,,,,,,3.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,1610612753,Andrew DeClercq,Andrew DeClercq,692,ORL,2306.0,38,-9,70,71,17.0,15.0,10.0,141,4.0,6.0,2.0,1.0,,1.0,,,,,4.0,8.0,,,1.0,9.0,65,1.0,2.0,2.0,1.0,1.0,,,,2.0,6.0,2.0,,2.0,,,1.0,,1.0,1.0,1.0,,,3.0,4.0,1.0,7.0,9,4.0,13,,2.0,2.0,2.0,,4.0,1.0,6.0,2.0,,,1.0,,,1.0,1.0,,1.0,1.0,2.0,17.0,0.75,1.0,,,,,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,,0.125,,16.25,0.5,0.2916666666666667,0.13333333333333333,0.14285714285714285,0.25806451612903225,0.12121212121212122,0.1111111111111111,0.17647058823529413,0.5555555555555556,0.3333333333333333,,0.16666666666666666,,1.0,0.75,0.6666666666666666,0.6666666666666666,0.75,0.125,,,,,,,,1.0,1.0,,,0.75,,0.5486,0.60825,0.6243,0.1111111111111111,0.1111111111111111,,0.2222222222222222,0.2222222222222222,3.3375000000000004,,0.24285714285714285,,1.0,,,3.0,0.125,,,,,1.0,1.0,,,,,,,,,2.0,2.0,1.0,,2.0,,,,,0.5,,,1.0,,1.0,,2.0,,,0.5,,,,,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469,1610612753,Pat Burke,Pat Burke,2469,ORL,373.0,6,1,14,14,4.0,,,28,2.0,2.0,,1.0,,,,,,,2.0,3.0,,,,4.0,15,,,,1.0,1.0,,,,2.0,4.0,,,,,,,,,,,,,,,,1.0,1,,1,,,,,,,,3.0,,,,,,,,,,,,2.0,4.0,1.0,1.0,,,,,0.6666666666666666,,1.0,0.6666666666666666,,1.0,0.6666666666666666,,1.0,,,,21.428571428571427,,0.16666666666666666,,,0.16666666666666666,,,,,0.3333333333333333,,,,,0.6666666666666666,1.0,1.0,1.0,,,,,,,,,,1.0,,,0.6666666666666666,,0.5727333333333333,,0.5989,,,,,0.5,3.6333333333333333,,0.2857142857142857,,1.0,,,2.0,0.3333333333333333,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,1610612753,Shawn Kemp,Shawn Kemp,431,ORL,399.0,7,2,14,15,,3.0,2.0,29,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2,,2,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,1.0,,,0.6666666666666666,0.4,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
