EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SelfOReb,Travels,Technical Free Throw Trips,NonShootingFoulsDrawn,LongMidRangePctBlocked,SelfORebPct,SecondChanceTurnovers,Offensive Fouls,OffAtRimReboundPct,OffShortMidRangeReboundPct,FTOffRebounds,OffensiveGoaltends,3SecondViolations,OffFTReboundPct,DefensiveGoaltends,OffCorner3ReboundPct,PenaltyCorner3FGM,Blocked3s,BlockedArc3,PenaltyCorner3Accuracy,Defensive 3 Seconds Violations,on,Clear Path Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,FoulsDrawn,Offensive Fouls Drawn,BlockedCorner3,Corner3PctBlocked
1065,1610612754,Erick Strickland,Erick Strickland,1065,IND,18230.0,304,12,587,573,190,203,80,1160,11,22,1.0,2.0,3.0,5.0,3.0,14.0,8.0,23.0,2.0,7.0,2.0,2.0,2.0,10.0,32.0,1.0,1.0,5.0,15.0,22,59,12.0,39.0,16.0,96,544,3.0,6.0,3.0,3.0,2.0,17.0,7.0,17.0,5.0,17.0,11.0,40.0,16,28,33.0,3.0,2.0,1.0,31.0,10.0,3.0,1.0,43,7.0,50,6.0,1.0,10.0,12.0,21.0,107,1.0,3.0,7.0,20.0,3.0,30.0,4.0,34,10.0,5.0,5.0,18.0,5.0,14.0,6.0,1.0,4.0,24.0,8.0,10.0,30,3.0,22.0,2.0,12.0,4.0,2.0,1.0,1.0,4.0,3.0,40.0,190,5.0,0.36363636363636365,0.38095238095238093,0.9166666666666666,0.3076923076923077,1.0,0.29411764705882354,0.3157894736842105,0.3728813559322034,0.5,0.4117647058823529,0.40816326530612246,0.8333333333333334,0.4264705882352941,0.4444444444444444,0.85,0.5128205128205128,0.3979591836734694,0.02564102564102564,0.05084745762711865,0.09090909090909091,0.07142857142857142,0.03125,19.49778434268833,0.75,0.1,0.07662835249042145,0.012448132780082987,0.1590909090909091,0.017543859649122806,0.08852459016393442,0.013422818791946308,0.027522935779816515,0.023809523809523808,0.02531645569620253,0.0963855421686747,0.10101010101010101,0.14705882352941177,0.2,0.75,0.22448979591836735,0.5,0.55,0.36363636363636365,0.14285714285714285,0.21428571428571427,0.23076923076923078,0.3333333333333333,0.23469387755102042,0.34782608695652173,0.34782608695652173,0.375,0.07142857142857142,0.2857142857142857,0.2857142857142857,0.5,0.32653061224489793,0.3125,0.3225806451612903,1.0,0.2222222222222222,0.5,1.0,0.2222222222222222,1.0,0.5,0.1111111111111111,1.0,1.0,0.14705882352941177,0.6,0.058823529411764705,0.4411764705882353,0.3333333333333333,0.6224489795918368,0.3225806451612903,0.4821605263157895,0.5063124999999999,0.48482031249999996,0.1111111111111111,0.17391304347826086,0.17708333333333334,0.4166666666666667,9.86271186440678,26.230769230769234,0.32367972742759793,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1500,1610612754,Ron Mercer,Ron Mercer,1500,IND,25355.0,423,17,794,801,220,229,106,1595,14,26,,,3.0,8.0,1.0,5.0,49.0,108.0,,2.0,,1.0,,2.0,4.0,,,1.0,2.0,64,139,2.0,6.0,14.0,148,802,6.0,10.0,,1.0,2.0,14.0,16.0,36.0,1.0,2.0,4.0,39.0,102,26,3.0,3.0,2.0,1.0,3.0,2.0,3.0,,23,9.0,32,8.0,1.0,8.0,3.0,12.0,73,3.0,3.0,2.0,31.0,1.0,34.0,6.0,40,20.0,13.0,7.0,9.0,2.0,6.0,4.0,,3.0,13.0,6.0,15.0,29,1.0,17.0,2.0,7.0,2.0,1.0,,1.0,2.0,1.0,39.0,220,4.0,0.796875,0.8095238095238095,0.5,0.3333333333333333,,0.5,0.4,0.460431654676259,0.6,0.4444444444444444,0.46206896551724136,0.5454545454545454,0.4605263157894737,0.48344370860927155,0.5833333333333334,0.48717948717948717,0.041379310344827586,,0.02158273381294964,0.07692307692307693,,,17.96276013143483,0.6923076923076923,0.027777777777777776,0.0981012658227848,0.009375,0.03333333333333333,0.06,0.08776595744680851,0.016216216216216217,0.019230769230769232,0.09375,0.09345794392523364,0.11224489795918367,0.09009009009009009,0.023255813953488372,0.058823529411764705,0.5,0.1793103448275862,0.5384615384615384,0.5833333333333334,0.5,0.034482758620689655,0.2,0.2,1.0,0.7448275862068966,0.4537037037037037,0.45794392523364486,0.8775510204081632,0.013793103448275862,,,,0.027586206896551724,0.5,0.5,0.5,,,,0.09090909090909091,,,,,,0.21052631578947367,0.375,,0.05263157894736842,0.5,0.2206896551724138,0.6666666666666666,0.43093263888888883,0.4239611111111111,0.4113918918918919,0.04666666666666667,0.04861111111111111,0.0945945945945946,0.2635135135135135,14.997841726618704,29.299999999999997,0.2770780856423174,1.0,2.0,3.0,1.0,0.009259259259259259,0.013888888888888888,,,,,,,,,,,,,,,,True,,,,,,,,
1506,1610612754,Austin Croshere,Austin Croshere,1506,IND,13348.0,222,31,427,425,126,106,60,852,13,24,4.0,7.0,1.0,3.0,4.0,9.0,9.0,23.0,1.0,8.0,,1.0,1.0,8.0,14.0,1.0,1.0,2.0,2.0,26,56,9.0,22.0,19.0,98,407,5.0,8.0,1.0,2.0,3.0,16.0,5.0,11.0,2.0,3.0,5.0,21.0,34,18,21.0,6.0,8.0,,14.0,8.0,7.0,,18,4.0,22,4.0,,5.0,5.0,8.0,48,2.0,16.0,7.0,37.0,6.0,50.0,18.0,68,2.0,2.0,,7.0,,3.0,4.0,,4.0,11.0,3.0,9.0,15,1.0,23.0,4.0,11.0,2.0,1.0,,1.0,2.0,1.0,21.0,126,2.0,0.6538461538461539,0.7727272727272727,0.7777777777777778,0.4090909090909091,0.5,0.6666666666666666,0.4090909090909091,0.4642857142857143,0.625,0.45454545454545453,0.5064102564102564,0.65,0.5714285714285714,0.5574712643678161,0.6666666666666666,0.6176470588235294,0.28205128205128205,,0.125,0.20833333333333334,0.2222222222222222,,19.71830985915493,0.6363636363636364,0.3333333333333333,0.21142857142857144,0.09580838323353294,0.14893617021276595,0.0425531914893617,0.1981981981981982,0.08411214953271028,0.0759493670886076,0.06451612903225806,0.24074074074074073,0.16363636363636364,0.22727272727272727,0.18421052631578946,,0.5,0.3076923076923077,0.5416666666666666,0.6842105263157895,0.46153846153846156,0.11538461538461539,0.4444444444444444,0.5714285714285714,0.5,0.2948717948717949,0.391304347826087,0.391304347826087,1.0,0.10256410256410256,0.125,0.125,1.0,0.1794871794871795,0.5714285714285714,0.5714285714285714,0.75,0.7,0.5714285714285714,,0.1,,,0.1,1.0,,0.21428571428571427,0.3333333333333333,0.07142857142857142,0.14285714285714285,1.0,0.5897435897435898,0.5714285714285714,0.4794121794871796,0.5517625,0.4658928571428572,0.12941176470588237,0.1746031746031746,0.16326530612244897,0.21428571428571427,9.917857142857144,24.768181818181823,0.29508196721311475,1.0,1.0,1.0,2.0,,0.027777777777777776,1.0,2.0,0.16981132075471697,0.02857142857142857,,,,,,,,,,,,True,,,,,,,,
1802,1610612754,Brad Miller,Brad Miller,1802,IND,13310.0,222,4,428,426,188,162,53,854,13,20,3.0,4.0,7.0,11.0,4.0,13.0,5.0,21.0,,1.0,,,1.0,,1.0,,,,1.0,22,54,,2.0,40.0,84,434,3.0,5.0,,,5.0,11.0,12.0,25.0,,2.0,28.0,52.0,26,18,,,6.0,,1.0,,9.0,,20,,20,,,11.0,4.0,5.0,40,1.0,15.0,2.0,25.0,8.0,35.0,17.0,52,5.0,5.0,,6.0,,4.0,7.0,,2.0,13.0,4.0,10.0,25,2.0,49.0,2.0,12.0,7.0,6.0,,1.0,7.0,7.0,52.0,188,3.0,0.5909090909090909,0.6842105263157895,,,,,,0.4074074074074074,0.6,0.48,0.39285714285714285,0.6,0.4444444444444444,0.5253164556962026,0.7857142857142857,0.6190476190476191,0.03571428571428571,,0.16666666666666666,0.25,0.3076923076923077,,18.852459016393443,0.46153846153846156,0.5714285714285714,0.15151515151515152,0.09554140127388536,0.05714285714285714,0.03571428571428571,0.135,0.08648648648648649,0.08333333333333333,0.05555555555555555,0.21428571428571427,0.16981132075471697,0.07142857142857142,0.08,,1.0,0.35714285714285715,0.65,0.8666666666666667,0.6153846153846154,0.23214285714285715,0.3076923076923077,0.4444444444444444,,0.375,0.23809523809523808,0.23809523809523808,1.0,0.017857142857142856,,,,0.017857142857142856,,,,0.8,0.75,,,,,,,,0.4074074074074074,0.6363636363636364,0.037037037037037035,0.037037037037037035,,0.39285714285714285,,0.4573303571428572,0.5208,0.45661111111111113,0.18181818181818182,0.1875,0.13095238095238096,0.6190476190476191,9.864814814814814,23.85,0.4392523364485981,1.0,,1.0,13.0,,0.041666666666666664,2.0,3.0,0.14634146341463414,0.06818181818181818,1.0,1.0,2.0,0.06666666666666667,,,,,,,,True,,,,,,,,
1886,1610612754,Jonathan Bender,Jonathan Bender,1886,IND,49115.0,819,-22,1566,1569,532,514,213,3135,46,78,12.0,23.0,9.0,17.0,20.0,46.0,27.0,77.0,4.0,16.0,,,3.0,15.0,37.0,,1.0,4.0,12.0,93,201,19.0,53.0,60.0,303,1567,14.0,35.0,,1.0,8.0,36.0,21.0,48.0,4.0,15.0,29.0,83.0,122,64,57.0,,16.0,,37.0,15.0,22.0,,38,4.0,42,4.0,,14.0,5.0,19.0,88,6.0,34.0,18.0,69.0,4.0,91.0,42.0,133,8.0,7.0,1.0,17.0,3.0,6.0,25.0,5.0,11.0,42.0,18.0,41.0,86,5.0,84.0,11.0,41.0,56.0,39.0,3.0,14.0,56.0,35.0,83.0,532,12.0,0.6559139784946236,0.7176470588235294,1.0,0.3584905660377358,,0.26666666666666666,0.3584905660377358,0.4626865671641791,0.4,0.4375,0.47834645669291337,0.3888888888888889,0.42857142857142855,0.5224137931034483,0.43902439024390244,0.5123456790123457,0.20866141732283464,,0.10945273631840796,0.20512820512820512,0.13043478260869565,,18.322295805739515,0.40476190476190477,0.057971014492753624,0.10917721518987342,0.05405405405405406,0.13953488372093023,0.045454545454545456,0.11432325886990802,0.052562417871222074,0.04332129963898917,0.043010752688172046,0.08173076923076923,0.08333333333333333,0.15517241379310345,0.13402061855670103,0.15625,0.625,0.30708661417322836,0.5897435897435898,0.7419354838709677,0.6956521739130435,0.18110236220472442,0.43478260869565216,0.5,0.45,0.3031496062992126,0.35064935064935066,0.35064935064935066,0.7407407407407407,0.06299212598425197,0.25,0.25,1.0,0.14566929133858267,0.40540540540540543,0.40540540540540543,1.0,0.6388888888888888,0.5217391304347826,0.16666666666666666,,,,0.027777777777777776,,,0.2698412698412698,0.5294117647058824,0.047619047619047616,0.19047619047619047,0.3333333333333333,0.515748031496063,0.40540540540540543,0.47777519685039377,0.4779576923076923,0.47063412698412704,0.1443661971830986,0.1774891774891775,0.1188118811881188,0.2739273927392739,9.618905472636817,24.77547169811321,0.3397190293742018,3.0,3.0,1.0,6.0,,0.025210084033613446,6.0,13.0,0.08333333333333333,0.043478260869565216,2.0,,,0.037037037037037035,1.0,0.05128205128205128,,,,,,True,,,,,,,,
1897,1610612754,Metta World Peace,Metta World Peace,1897,IND,18517.0,309,-1,588,587,218,198,86,1175,33,50,7.0,12.0,15.0,24.0,7.0,24.0,6.0,14.0,1.0,7.0,,1.0,4.0,4.0,14.0,2.0,2.0,2.0,7.0,46,88,5.0,21.0,49.0,156,595,10.0,17.0,2.0,3.0,4.0,30.0,18.0,32.0,3.0,11.0,17.0,62.0,36,56,6.0,9.0,10.0,,14.0,4.0,7.0,1.0,28,6.0,34,4.0,2.0,6.0,3.0,19.0,74,1.0,15.0,8.0,24.0,1.0,33.0,16.0,49,19.0,13.0,6.0,12.0,1.0,5.0,8.0,,7.0,20.0,8.0,10.0,34,3.0,64.0,9.0,32.0,9.0,5.0,,4.0,10.0,6.0,62.0,218,10.0,0.391304347826087,0.43902439024390244,0.4,0.23809523809523808,0.6666666666666666,0.2727272727272727,0.23809523809523808,0.5227272727272727,0.5882352941176471,0.5625,0.4908256880733945,0.65,0.5232558139534884,0.5735294117647058,0.6818181818181818,0.5961538461538461,0.1926605504587156,0.047619047619047616,0.07954545454545454,0.06,0.16666666666666666,0.07142857142857142,22.707423580786024,0.6,0.045454545454545456,0.10344827586206896,0.06465517241379311,0.15384615384615385,0.0196078431372549,0.11267605633802817,0.05653710247349823,0.06451612903225806,0.02631578947368421,0.10465116279069768,0.06557377049180328,0.12941176470588237,0.1891891891891892,0.06666666666666667,0.6,0.45871559633027525,0.66,0.7021276595744681,0.42424242424242425,0.22018348623853212,0.2916666666666667,0.35,0.14285714285714285,0.12844036697247707,0.42857142857142855,0.42857142857142855,0.5,0.06422018348623854,0.14285714285714285,0.14285714285714285,1.0,0.12844036697247707,0.2857142857142857,0.3076923076923077,0.25,0.6,0.5833333333333334,0.2857142857142857,0.05,,,0.1,1.0,0.5,0.5581395348837209,0.625,0.09302325581395349,0.16279069767441862,0.2857142857142857,0.6513761467889908,0.2857142857142857,0.47901064814814825,0.49429722222222217,0.47558690476190485,0.24242424242424243,0.2882882882882883,0.19230769230769232,0.3974358974358974,6.19772727272727,25.757142857142856,0.3707482993197279,5.0,3.0,1.0,4.0,,0.11363636363636363,2.0,3.0,0.09523809523809523,0.039473684210526314,,,1.0,,,,1.0,1.0,1.0,0.25,,True,,,,,,,,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,19223.0,320,-14,598,613,163,179,96,1211,16,31,9.0,18.0,4.0,4.0,1.0,13.0,6.0,23.0,,,,,,,1.0,,,,1.0,23,67,,1.0,5.0,51,602,9.0,21.0,,,3.0,21.0,5.0,10.0,,1.0,2.0,12.0,22,24,,,16.0,1.0,,,5.0,,15,6.0,21,5.0,1.0,9.0,2.0,4.0,48,5.0,35.0,9.0,54.0,12.0,75.0,42.0,117,10.0,6.0,4.0,11.0,1.0,5.0,7.0,,6.0,18.0,3.0,18.0,35,5.0,17.0,3.0,9.0,10.0,7.0,,3.0,10.0,8.0,12.0,163,2.0,0.4782608695652174,0.7333333333333333,,,,,,0.34328358208955223,0.42857142857142855,0.5,0.3382352941176471,0.42857142857142855,0.45454545454545453,0.34,0.4375,0.46153846153846156,0.014705882352941176,,0.07462686567164178,0.0967741935483871,0.15384615384615385,,13.11706629055007,0.6111111111111112,0.5217391304347826,0.2297872340425532,0.13257575757575757,0.16363636363636364,0.11363636363636363,0.21724137931034482,0.12987012987012986,0.140625,0.06666666666666667,0.18421052631578946,0.28378378378378377,0.2235294117647059,0.1282051282051282,0.25,0.8,0.45588235294117646,0.5161290322580645,0.5714285714285714,0.25,0.19117647058823528,0.07692307692307693,0.09090909090909091,1.0,0.3382352941176471,0.2608695652173913,0.2608695652173913,1.0,,,,,0.014705882352941176,,,,0.8571428571428571,0.5,0.1111111111111111,,,,,,,0.36363636363636365,1.0,,0.09090909090909091,,0.47058823529411764,,0.468034328358209,0.5355749999999999,0.48925,0.12162162162162163,0.1232876712328767,0.4117647058823529,0.23529411764705882,7.979104477611939,55.8,0.2725752508361204,1.0,1.0,,1.0,,0.02564102564102564,5.0,2.0,0.11594202898550725,0.13432835820895522,2.0,,,0.09523809523809523,1.0,0.21428571428571427,,,,,2.0,True,,,,,,,,
2056,1610612754,Primoz Brezec,Primoz Brezec,2056,IND,2591.0,43,8,88,88,61,49,14,176,3,7,2.0,5.0,2.0,6.0,3.0,6.0,,4.0,,,,,,,,,,,,6,17,,,9.0,21,79,2.0,5.0,,,5.0,9.0,4.0,15.0,,,8.0,16.0,4,8,,,4.0,,,,1.0,,3,,3,,,2.0,,1.0,6,3.0,5.0,1.0,6.0,,7.0,8.0,15,2.0,1.0,1.0,3.0,,1.0,1.0,,2.0,4.0,3.0,3.0,9,,14.0,,4.0,2.0,2.0,,,2.0,2.0,16.0,61,6.0,0.3333333333333333,0.5,,,,,,0.35294117647058826,0.4,0.26666666666666666,0.35294117647058826,0.4,0.26666666666666666,0.4375,0.5625,0.38095238095238093,,,0.058823529411764705,0.14285714285714285,,,27.184466019417474,0.75,,0.15384615384615385,0.1724137931034483,0.1111111111111111,0.5,0.14583333333333334,0.22857142857142856,0.08333333333333333,0.3333333333333333,0.07692307692307693,0.2,0.1875,0.16666666666666666,,1.0,0.4117647058823529,0.42857142857142855,0.5,0.3333333333333333,0.35294117647058826,0.5,0.5,0.3333333333333333,0.23529411764705882,,,,,,,,,,,,1.0,0.4,,,,,,,,0.4,0.3333333333333333,,,,0.4117647058823529,,0.3929705882352941,0.42426,0.38389999999999996,0.19047619047619047,0.19047619047619047,0.42857142857142855,0.7619047619047619,8.223529411764705,,0.6931818181818182,1.0,,,3.0,,0.1,1.0,,0.3,0.14285714285714285,,1.0,,,,0.6666666666666666,,,,,,True,,,,,,,,
397,1610612754,Reggie Miller,Reggie Miller,397,IND,7833.0,131,-51,250,254,99,123,28,504,1,1,,,1.0,1.0,1.0,2.0,5.0,11.0,1.0,2.0,,,,3.0,9.0,1.0,1.0,1.0,4.0,7,14,4.0,11.0,4.0,30,274,,2.0,1.0,1.0,,3.0,4.0,6.0,1.0,4.0,,11.0,12,2,12.0,,,,9.0,3.0,,,7,2.0,9,1.0,1.0,2.0,1.0,4.0,20,,,,9.0,,9.0,,9,5.0,3.0,2.0,3.0,,2.0,2.0,,1.0,5.0,,1.0,12,,7.0,,3.0,,,,,,,11.0,99,3.0,0.8571428571428571,0.8571428571428571,1.0,0.36363636363636365,1.0,0.25,0.36363636363636365,0.5,,0.6666666666666666,0.52,0.5,0.55,0.5357142857142857,0.5,0.55,0.44,,,,,,11.538461538461538,0.6,,0.08737864077669903,,,,0.07692307692307693,,,,0.0967741935483871,0.11428571428571428,0.05405405405405406,,,,0.04,1.0,1.0,1.0,0.08,0.5,0.5,1.0,0.44,0.45454545454545453,0.45454545454545453,0.8,0.08,0.5,0.5,1.0,0.36,0.3333333333333333,0.3333333333333333,1.0,,,,,,,0.3333333333333333,1.0,1.0,0.1,1.0,,0.4,0.25,0.48,0.3333333333333333,0.4525619999999999,0.40825,0.433995,0.10714285714285714,0.17647058823529413,0.1,0.36666666666666664,16.835714285714285,25.39090909090909,0.396,,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,True,,,,,,,,
979,1610612754,Jermaine O'Neal,Jermaine O'Neal,979,IND,25499.0,425,-21,804,808,261,268,108,1612,28,44,6.0,8.0,5.0,11.0,40.0,102.0,15.0,43.0,,1.0,,,,3.0,4.0,,,1.0,2.0,83,189,3.0,5.0,43.0,218,809,10.0,26.0,,,6.0,26.0,20.0,57.0,1.0,2.0,14.0,57.0,112,54,3.0,6.0,10.0,,4.0,3.0,16.0,,24,4.0,28,3.0,1.0,14.0,2.0,8.0,60,7.0,14.0,21.0,63.0,13.0,97.0,22.0,119,8.0,5.0,3.0,10.0,2.0,3.0,19.0,1.0,7.0,29.0,15.0,28.0,57,7.0,61.0,6.0,28.0,22.0,16.0,1.0,5.0,22.0,14.0,57.0,261,6.0,0.6746987951807228,0.717948717948718,0.3333333333333333,0.6,,0.5,0.6,0.43915343915343913,0.38461538461538464,0.3508771929824561,0.45103092783505155,0.38461538461538464,0.3644067796610169,0.49095022624434387,0.4032258064516129,0.41911764705882354,0.02577319587628866,,0.08465608465608465,0.11363636363636363,0.09803921568627451,,27.056277056277057,0.3448275862068966,0.3611111111111111,0.18051575931232092,0.043478260869565216,0.35,0.09722222222222222,0.20537897310513448,0.0532994923857868,0.022222222222222223,0.058823529411764705,0.11504424778761062,0.2169811320754717,0.2076923076923077,0.3541666666666667,0.3333333333333333,0.6363636363636364,0.2268041237113402,0.6363636363636364,0.717948717948718,0.7142857142857143,0.5257731958762887,0.39215686274509803,0.43478260869565216,0.6,0.22164948453608246,0.3488372093023256,0.35714285714285715,0.8,0.005154639175257732,,,,0.020618556701030927,0.75,0.75,0.3333333333333333,0.3076923076923077,0.75,0.16666666666666666,,,,,,,0.1864406779661017,0.45454545454545453,,0.03389830508474576,0.5,0.25257731958762886,0.75,0.4255018041237115,0.43211818181818185,0.4161152542372881,0.12962962962962962,0.13270142180094788,0.11926605504587157,0.26146788990825687,8.80793650793651,24.86,0.3246268656716418,2.0,4.0,1.0,5.0,0.023255813953488372,0.021739130434782608,2.0,8.0,0.06666666666666667,0.05357142857142857,1.0,,3.0,0.038461538461538464,1.0,0.19047619047619047,,,,,1.0,True,,,,,,,,
