EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3Assists,FTDefRebounds,Travels,SecondChanceTurnovers,Clear Path Fouls,Loose Ball Fouls,BlockedShortMidRange,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,DefFTReboundPct,HeaveAttempts,FTOffRebounds,BlockedCorner3,OffFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,ThreePtShootingFoulsDrawn,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,on,3pt And 1 Free Throw Trips,OffensiveGoaltends,Corner3PctBlocked
15,1610612746,Eric Piatkowski,Eric Piatkowski,15,LAC,20854.0,348,9,649,650,172,180,90,1299,22,31,2.0,3.0,6.0,7,6,17,7.0,18,3.0,11.0,2.0,12.0,40.0,3.0,2.0,11.0,35,66,15.0,51.0,32,147,666,3.0,5,3.0,2.0,8,10,15,2.0,13.0,7,33,44,26.0,36.0,9.0,4.0,40.0,12.0,4,11,3.0,14,3.0,5,4.0,2.0,31,3.0,6,5,19,24,9,33,3.0,6,1,5.0,7,4.0,3.0,6,1.0,4,13,6.0,14,20,1.0,37,4.0,7.0,15,2,2.0,1.0,1.0,1.0,1.0,3.0,3.0,33,172,3.0,0.6285714285714286,0.6666666666666666,0.8,0.29411764705882354,0.15384615384615385,0.29411764705882354,0.5303030303030303,0.6,0.6666666666666666,0.49145299145299143,0.375,0.4642857142857143,0.5461538461538461,0.4444444444444444,0.5161290322580645,0.4358974358974359,0.06060606060606061,0.03225806451612903,0.11764705882352941,0.05555555555555555,19.01595744680851,0.5384615384615384,0.0695970695970696,0.02510460251046025,0.07936507936507936,0.036585365853658534,0.07142857142857142,0.028037383177570093,0.020833333333333332,0.036585365853658534,0.01639344262295082,0.030303030303030304,0.0625,0.03896103896103896,0.08602150537634409,0.07766990291262135,0.043478260869565216,0.17647058823529413,0.04838709677419355,1.0,0.26495726495726496,0.7096774193548387,0.7333333333333333,0.5454545454545454,0.1452991452991453,0.35294117647058826,0.4,0.8333333333333334,0.15384615384615385,0.3888888888888889,0.4117647058823529,0.7142857142857143,0.09401709401709402,0.2727272727272727,0.2727272727272727,1.0,0.3418803418803419,0.3,0.3,0.75,0.375,0.6666666666666666,0.375,0.25,0.8571428571428571,0.07142857142857142,0.39285714285714285,0.18181818181818182,0.7008547008547008,0.3,0.5084918803418803,0.49761249999999996,0.5054214285714286,0.1171875,0.19480519480519481,0.05442176870748299,0.22448979591836735,7.6803030303030315,25.509803921568622,0.2650231124807396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1709,1610612746,Michael Olowokandi,Michael Olowokandi,1709,LAC,23879.0,398,-107,768,767,234,212,109,1535,10,20,,3.0,3.0,7,45,107,,6,,,,,,,,,55,133,,,16,126,796,5.0,14,,2.0,12,14,33,,,9,37,64,46.0,,,4.0,,,7,2,5.0,7,3.0,1,,1.0,19,2.0,18,13,59,80,20,100,2.0,7,7,,10,2.0,7.0,21,2.0,3,31,10.0,17,31,4.0,24,2.0,,8,5,25.0,,,13.0,,25.0,18.0,37,234,4.0,0.5818181818181818,0.6037735849056604,,,,,0.41353383458646614,0.35714285714285715,0.42424242424242425,0.41353383458646614,0.35714285714285715,0.42424242424242425,0.4375,0.4,0.45121951219512196,,0.05263157894736842,0.2,0.028037383177570093,,19.596864501679732,0.3225806451612903,0.19032258064516128,0.05921052631578947,0.19402985074626866,0.020202020202020204,0.1909814323607427,0.04962779156327544,0.031578947368421054,0.04861111111111111,0.12307692307692308,0.011494252873563218,0.08333333333333333,0.18666666666666668,0.18803418803418803,0.19491525423728814,0.22727272727272727,0.13043478260869565,0.02857142857142857,0.72,0.15037593984962405,0.5,0.625,0.9,0.8045112781954887,0.4205607476635514,0.4326923076923077,0.5111111111111111,0.045112781954887216,,,,,,,,,,,,0.21428571428571427,,,0.21212121212121213,0.42857142857142855,,,,0.15037593984962405,,0.4205729323308271,0.431375,0.4311636363636364,0.05755395683453238,0.05755395683453238,0.09523809523809523,0.29365079365079366,7.367669172932332,,0.3046875,2.0,8.0,11.0,1.0,1.0,1.0,12.0,1.0,1.0,5.0,0.42105263157894735,,,,,,,,,,,,,,,,,,,,,,,True,,,
1882,1610612746,Elton Brand,Elton Brand,1882,LAC,48453.0,808,-59,1529,1546,507,432,228,3075,74,119,27.0,45.0,19.0,29,37,108,17.0,46,,,,,1.0,,,1.0,128,273,,1.0,88,344,1593,34.0,63,,23.0,91,28,66,,1.0,47,103,160,96.0,,,52.0,,,21,27,22.0,49,19.0,17,4.0,6.0,120,21.0,64,20,88,126,86,212,7.0,26,14,12.0,30,2.0,14.0,25,7.0,16,55,15.0,31,70,6.0,127,17.0,,50,22,49.0,2.0,1.0,27.0,4.0,51.0,28.0,103,507,7.0,0.625,0.7843137254901961,,,,,0.46886446886446886,0.5396825396825397,0.42424242424242425,0.46715328467153283,0.5396825396825397,0.417910447761194,0.5227963525835866,0.5759493670886076,0.5099009900990099,0.0036496350364963502,0.07692307692307693,0.1092436974789916,0.07407407407407407,,21.40468227424749,0.5454545454545454,0.14402618657937807,0.11149825783972125,0.12738853503184713,0.11413043478260869,0.140625,0.11213720316622691,0.14358974358974358,0.10714285714285714,0.07741935483870968,0.12101910828025478,0.07407407407407407,0.13157894736842105,0.1588785046728972,0.13877551020408163,0.09433962264150944,0.19607843137254902,0.056910569105691054,0.5490196078431373,0.4343065693430657,0.6218487394957983,0.6981132075471698,0.5675675675675675,0.39416058394160586,0.3425925925925926,0.37,0.6216216216216216,0.1678832116788321,0.3695652173913043,0.3695652173913043,0.8823529411764706,,,,,0.0036496350364963502,,,,0.7142857142857143,0.6,,0.43283582089552236,0.6551724137931034,,0.014925373134328358,,0.43795620437956206,,0.4812996336996337,0.510633962264151,0.479810606060606,0.16286644951140064,0.16339869281045752,0.26453488372093026,0.29941860465116277,6.294871794871796,42.4,0.3315892740353172,3.0,18.0,6.0,5.0,,5.0,18.0,4.0,1.0,3.0,0.47368421052631576,1.0,1.0,1.0,0.015625,0.07407407407407407,,,,,,,,,,,,,,,,,,True,,,
1889,1610612746,Andre Miller,Andre Miller,1889,LAC,50464.0,841,-104,1618,1625,584,517,244,3243,43,80,5.0,8.0,14.0,25,40,103,17.0,51,1.0,4.0,3.0,2.0,20.0,2.0,,11.0,100,234,3.0,24.0,106,315,1721,9.0,24,3.0,9.0,27,29,73,1.0,14.0,58,119,40,160.0,9.0,,8.0,17.0,2.0,31,132,29.0,161,23.0,56,30.0,46.0,351,6.0,17,17,47,65,24,89,4.0,24,12,12.0,34,9.0,22.0,27,3.0,12,61,20.0,12,63,13.0,126,11.0,9.0,45,19,2.0,,,1.0,1.0,2.0,1.0,119,584,16.0,0.2,0.20833333333333334,1.0,0.125,0.07142857142857142,0.14285714285714285,0.42735042735042733,0.375,0.3972602739726027,0.4050387596899225,0.3333333333333333,0.3505747126436782,0.49356913183279744,0.421875,0.49159663865546216,0.09302325581395349,0.13247863247863248,0.175,0.13592233009708737,0.058823529411764705,19.640971488912353,0.5573770491803278,0.07979626485568761,0.02711323763955343,0.09770114942528736,0.031914893617021274,0.08387942332896461,0.02822085889570552,0.009345794392523364,0.04048582995951417,0.030120481927710843,0.03225806451612903,0.030303030303030304,0.07741935483870968,0.06796116504854369,0.09210526315789473,0.08771929824561403,0.11666666666666667,0.03361344537815126,0.5,0.31007751937984496,0.5375,0.6515151515151515,0.2558139534883721,0.3992248062015504,0.3883495145631068,0.449438202247191,0.05,0.19767441860465115,0.3333333333333333,0.3541666666666667,0.4117647058823529,0.015503875968992248,0.25,0.25,1.0,0.07751937984496124,0.1,0.1,1.0,0.2962962962962963,0.625,0.07407407407407407,0.28735632183908044,0.56,0.034482758620689655,0.12643678160919541,,0.40310077519379844,0.11764705882352941,0.46392007874015767,0.4377090909090909,0.47111325301204815,0.1541095890410959,0.16791044776119404,0.08571428571428572,0.37777777777777777,8.170940170940169,29.224999999999998,0.36093943139678614,6.0,1.0,1.0,3.0,,3.0,,,,,0.022222222222222223,3.0,1.0,,0.01639344262295082,0.4,1.0,1.0,0.037037037037037035,0.3333333333333333,,,,,,,,,,,,,,True,,,
2047,1610612746,Quentin Richardson,Quentin Richardson,2047,LAC,82087.0,1368,-159,2575,2604,815,751,373,5179,99,210,31.0,65.0,20.0,55,18,69,25.0,69,8.0,25.0,7.0,53.0,173.0,13.0,15.0,55.0,142,348,61.0,198.0,85,552,2713,32.0,73,15.0,15.0,88,36,92,18.0,62.0,31,157,122,162.0,162.0,21.0,54.0,168.0,53.0,35,39,13.0,52,11.0,18,12.0,9.0,117,16.0,78,44,135,183,98,281,14.0,35,24,11.0,38,6.0,18.0,26,6.0,20,64,23.0,47,92,6.0,124,9.0,1.0,54,12,9.0,1.0,1.0,5.0,1.0,10.0,8.0,157,815,16.0,0.4295774647887324,0.5304347826086957,0.8852459016393442,0.30808080808080807,0.2903225806451613,0.3160621761658031,0.40804597701149425,0.4383561643835616,0.391304347826087,0.42765567765567764,0.4147727272727273,0.4090909090909091,0.45688225538971805,0.4444444444444444,0.4460227272727273,0.3626373626373626,0.10057471264367816,0.10476190476190476,0.15942028985507245,0.028985507246376812,22.21112221112221,0.59375,0.135,0.08016443987667009,0.16541353383458646,0.050793650793650794,0.14139020537124802,0.07298136645962733,0.1,0.07262569832402235,0.06415094339622641,0.05343511450381679,0.03773584905660377,0.09259259259259259,0.15976331360946747,0.14285714285714285,0.15135135135135136,0.19753086419753085,0.048109965635738834,0.8,0.38461538461538464,0.4714285714285714,0.526595744680851,0.45454545454545453,0.12637362637362637,0.2608695652173913,0.3103448275862069,0.2777777777777778,0.12637362637362637,0.36231884057971014,0.373134328358209,0.44,0.045787545787545784,0.32,0.32,0.875,0.31684981684981683,0.3063583815028902,0.31176470588235294,0.8867924528301887,0.7386363636363636,0.47692307692307695,0.14772727272727273,0.35714285714285715,0.36363636363636365,0.045454545454545456,0.35714285714285715,0.2727272727272727,0.7472527472527473,0.31547619047619047,0.5113802973977697,0.5453361842105263,0.49843333333333334,0.09137055837563451,0.13740458015267176,0.15942028985507245,0.28442028985507245,5.3885057471264375,26.20959595959596,0.31650485436893205,2.0,4.0,3.0,11.0,,7.0,3.0,4.0,2.0,,0.05263157894736842,5.0,4.0,,0.046511627906976744,0.0967741935483871,2.0,3.0,0.022727272727272728,0.42857142857142855,3.0,3.0,3.0,0.2,0.015151515151515152,0.017341040462427744,0.23076923076923078,0.6666666666666666,,,,,,True,,,
2039,1610612746,Keyon Dooling,Keyon Dooling,2039,LAC,24371.0,406,-83,747,761,222,183,92,1508,9,25,,,3.0,6,3,8,18.0,47,3.0,12.0,2.0,15.0,46.0,3.0,5.0,14.0,30,80,18.0,58.0,21,135,795,1.0,1,4.0,,8,9,22,7.0,16.0,9,48,12,48.0,36.0,18.0,,46.0,15.0,9,23,11.0,34,10.0,11,8.0,4.0,79,,1,10,15,25,1,26,,11,8,3.0,16,4.0,11.0,16,2.0,5,32,12.0,14,33,3.0,27,3.0,1.0,8,5,3.0,,,1.0,,3.0,1.0,48,222,5.0,0.2,0.2,0.6666666666666666,0.3103448275862069,0.4375,0.3103448275862069,0.375,1.0,0.4090909090909091,0.41304347826086957,0.8,0.5131578947368421,0.44966442953020136,0.8,0.5454545454545454,0.42028985507246375,0.1125,0.32,,0.02127659574468085,21.294117647058822,0.5,0.04983388704318937,0.00390625,0.14285714285714285,,0.0673854447439353,0.0027397260273972603,,0.009345794392523364,,,,0.06578947368421052,0.031914893617021274,0.05343511450381679,0.16326530612244897,0.09523809523809523,,0.3333333333333333,0.18115942028985507,0.36,0.5294117647058824,0.3333333333333333,0.057971014492753624,0.375,0.375,,0.34057971014492755,0.3829787234042553,0.391304347826087,0.16666666666666666,0.08695652173913043,0.25,0.25,1.0,0.3333333333333333,0.32608695652173914,0.3333333333333333,0.6,,,0.6,0.15789473684210525,0.5,0.05263157894736842,0.3684210526315789,0.35714285714285715,0.6014492753623188,0.32608695652173914,0.4777086956521739,0.50664,0.4634934210526315,0.0625,0.09411764705882353,0.05925925925925926,0.35555555555555557,12.127500000000001,24.944827586206895,0.2971887550200803,1.0,,1.0,3.0,,1.0,2.0,,,1.0,,,,,,,1.0,2.0,0.2,1.0,1.0,2.0,1.0,0.5,0.017241379310344827,0.021739130434782608,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.01694915254237288,True,,,
1894,1610612746,Corey Maggette,Corey Maggette,1894,LAC,22958.0,383,-45,752,759,302,277,110,1511,36,63,9.0,14.0,13.0,28,5,16,13.0,32,2.0,7.0,3.0,19.0,38.0,7.0,10.0,20.0,54,111,21.0,45.0,73,244,833,12.0,18,7.0,12.0,51,17,42,11.0,23.0,37,104,62,46.0,51.0,12.0,18.0,37.0,19.0,12,21,4.0,25,4.0,11,4.0,6.0,54,5.0,18,5,35,41,24,65,4.0,11,8,3.0,14,,8.0,10,3.0,6,24,11.0,11,41,7.0,91,6.0,7.0,31,11,5.0,,,2.0,3.0,5.0,2.0,104,302,11.0,0.5740740740740741,0.6888888888888889,0.8095238095238095,0.4666666666666667,0.4782608695652174,0.4772727272727273,0.4864864864864865,0.6666666666666666,0.40476190476190477,0.5480769230769231,0.78,0.5153846153846153,0.615979381443299,0.85,0.5977011494252874,0.28846153846153844,0.10810810810810811,0.14285714285714285,0.0625,0.0625,24.857468643101484,0.5833333333333334,0.12589928057553956,0.06870229007633588,0.08333333333333333,0.060240963855421686,0.11834319526627218,0.06666666666666667,0.050505050505050504,0.07446808510638298,0.08695652173913043,0.07142857142857142,,0.08860759493670886,0.11702127659574468,0.1619047619047619,0.12195121951219512,,0.06153846153846154,0.4,0.40384615384615385,0.5714285714285714,0.6666666666666666,0.6111111111111112,0.10256410256410256,0.3125,0.3333333333333333,0.4,0.20512820512820512,0.40625,0.43333333333333335,0.5384615384615384,0.04487179487179487,0.2857142857142857,0.2857142857142857,0.5,0.24358974358974358,0.5,0.5,0.8421052631578947,0.56,0.6428571428571429,0.28,0.4307692307692308,0.4642857142857143,0.046153846153846156,0.3076923076923077,0.5,0.6923076923076923,0.5135135135135135,0.5225751612903227,0.5428409090909091,0.5316601562499998,0.18032786885245902,0.22794117647058823,0.20901639344262296,0.4262295081967213,7.222522522522523,25.28444444444444,0.4015957446808511,,1.0,,1.0,,,,,,,0.045454545454545456,1.0,1.0,,0.02857142857142857,0.1111111111111111,,1.0,,0.3333333333333333,5.0,5.0,,0.7142857142857143,,,0.7142857142857143,0.8,,2.0,,,0.0425531914893617,True,,,
399,1610612746,Sean Rooks,Sean Rooks,399,LAC,25767.0,429,-54,790,808,243,231,118,1598,7,8,4.0,5.0,2.0,2,2,12,22.0,53,,,,,1.0,1.0,,,31,73,,1.0,15,77,832,5.0,8,1.0,7.0,17,10,22,,,9,29,50,12.0,,,8.0,1.0,,1,14,8.0,22,7.0,13,1.0,,52,5.0,14,16,37,60,19,79,,14,12,2.0,18,6.0,12.0,8,,6,26,13.0,29,52,,19,1.0,,7,3,16.0,,,9.0,,16.0,9.0,29,243,4.0,0.8064516129032258,0.9259259259259259,,,,,0.4246575342465753,0.625,0.45454545454545453,0.4189189189189189,0.5555555555555556,0.45454545454545453,0.463855421686747,0.6538461538461539,0.5370370370370371,0.013513513513513514,0.0136986301369863,,0.08333333333333333,,11.796536796536797,0.6923076923076923,0.12416107382550336,0.04501607717041801,0.19047619047619047,0.050505050505050504,0.1387434554973822,0.046341463414634146,0.06422018348623854,0.01904761904761905,0.05154639175257732,0.06329113924050633,,0.16,0.13978494623655913,0.09230769230769231,0.1774193548387097,0.22727272727272727,,0.5625,0.10810810810810811,0.875,0.875,0.42857142857142855,0.16216216216216217,0.16666666666666666,0.18181818181818182,0.5,0.7162162162162162,0.41509433962264153,0.41509433962264153,0.9545454545454546,,,,,0.013513513513513514,,,,0.5555555555555556,0.8,0.1111111111111111,0.09090909090909091,1.0,,,,0.12162162162162163,,0.4098263513513513,0.47793125000000003,0.3955227272727273,0.0875,0.08860759493670886,0.22077922077922077,0.37662337662337664,15.230136986301366,25.2,0.30759493670886073,1.0,7.0,1.0,2.0,,3.0,7.0,1.0,,1.0,0.2413793103448276,,,,,,,,,,,,,,,,,,,,,,,True,,,
685,1610612746,Cherokee Parks,Cherokee Parks,685,LAC,12891.0,215,-49,392,399,113,124,61,791,11,20,3.0,8.0,3.0,6,6,14,6.0,17,,1.0,1.0,,,,,,23,51,,1.0,4,50,452,5.0,17,1.0,,10,5,13,,1.0,2,12,36,10.0,,,8.0,,,3,9,,9,,6,1.0,2.0,18,3.0,14,10,17,34,17,51,1.0,6,5,1.0,3,3.0,2.0,4,1.0,1,7,3.0,6,18,,11,1.0,,4,2,6.0,,,5.0,,6.0,4.0,12,113,3.0,0.782608695652174,0.9473684210526315,,,,,0.45098039215686275,0.29411764705882354,0.38461538461538464,0.4423076923076923,0.2777777777777778,0.35714285714285715,0.43859649122807015,0.2777777777777778,0.35294117647058826,0.019230769230769232,0.058823529411764705,0.1,0.07142857142857142,,13.822894168466522,0.42857142857142855,0.1223021582733813,0.0915032679738562,0.20833333333333334,0.061224489795918366,0.1443850267379679,0.08415841584158416,0.08771929824561403,0.09523809523809523,0.09259259259259259,0.05128205128205128,0.1,0.10256410256410256,0.13333333333333333,0.12727272727272726,0.2631578947368421,,0.038461538461538464,0.6666666666666666,0.38461538461538464,0.55,0.6111111111111112,0.7272727272727273,0.2692307692307692,0.42857142857142855,0.46153846153846156,0.6666666666666666,0.3269230769230769,0.35294117647058826,0.35294117647058826,1.0,0.019230769230769232,,,,,,,,0.4444444444444444,0.375,,0.42857142857142855,0.5,0.07142857142857142,,,0.40384615384615385,,0.4486692307692308,0.4616533333333334,0.46654285714285715,0.07272727272727272,0.07407407407407407,0.2,0.24,8.919607843137255,23.0,0.288265306122449,,7.0,,2.0,,,1.0,,,,0.4117647058823529,,,,,,1.0,,0.05555555555555555,,,,,,,,,,,,,,,True,,,
2060,1610612746,Marko Jaric,Marko Jaric,2060,LAC,28429.0,474,-41,872,890,265,253,118,1762,23,46,1.0,4.0,8.0,13,5,9,19.0,38,5.0,11.0,4.0,8.0,50.0,5.0,3.0,14.0,47,93,13.0,61.0,27,160,894,5.0,12,7.0,2.0,15,14,24,5.0,18.0,9,52,32,62.0,36.0,3.0,2.0,48.0,8.0,3,51,18.0,69,15.0,31,13.0,7.0,156,4.0,6,9,33,43,10,53,2.0,36,23,13.0,17,5.0,13.0,18,1.0,4,35,5.0,14,46,7.0,36,1.0,1.0,13,5,3.0,1.0,1.0,2.0,1.0,4.0,2.0,52,265,8.0,0.3404255319148936,0.34782608695652173,0.9230769230769231,0.21311475409836064,0.2777777777777778,0.22033898305084745,0.5053763440860215,0.4166666666666667,0.5833333333333334,0.4318181818181818,0.34210526315789475,0.5119047619047619,0.4649122807017544,0.375,0.5416666666666666,0.3961038961038961,0.03225806451612903,0.06521739130434782,,,20.375865479723046,0.4857142857142857,0.0967741935483871,0.018808777429467086,0.0891089108910891,0.03418803418803419,0.09502262443438914,0.022935779816513763,0.016260162601626018,0.02857142857142857,0.01098901098901099,0.030927835051546393,0.05,0.06,0.0990990990990991,0.12307692307692308,0.10666666666666667,0.038461538461538464,0.023255813953488372,0.5,0.2987012987012987,0.5,0.5348837209302325,0.2608695652173913,0.05844155844155844,0.5555555555555556,0.5555555555555556,0.2,0.24675324675324675,0.5,0.5,0.47368421052631576,0.07142857142857142,0.45454545454545453,0.45454545454545453,1.0,0.3246753246753247,0.16,0.16,0.875,0.21052631578947367,0.25,0.2631578947368421,0.30952380952380953,0.6153846153846154,0.09523809523809523,0.3333333333333333,0.21428571428571427,0.6948051948051948,0.16666666666666666,0.5039536184210527,0.4445071428571428,0.4804575000000001,0.0783132530120482,0.12380952380952381,0.09375,0.325,8.843010752688171,26.095081967213126,0.3038990825688073,3.0,1.0,3.0,1.0,,2.0,,,,1.0,0.037037037037037035,2.0,,,,,2.0,2.0,0.10526315789473684,0.5,,1.0,,0.14285714285714285,,,,,1.0,,0.5,1.0,,True,,,
