EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Loose Ball Fouls,Offensive Fouls,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChancePointsPct,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,Fg3aBlocked,Technical Free Throw Trips,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGM,ThreePtShootingFoulsDrawn,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,FTOffRebounds,OffFTReboundPct,on,Clear Path Fouls,OffensiveGoaltends,Corner3PctBlocked,HeaveMakes
1088,1610612765,Chucky Atkins,Chucky Atkins,1088,DET,7891.0,132,-30,245,249,90,100,20.0,494,6.0,11.0,1.0,3.0,4.0,3.0,13.0,1.0,5.0,1.0,3.0,16.0,1.0,2.0,10.0,9.0,24,4.0,21.0,4.0,34.0,231,1.0,1.0,3.0,9.0,2.0,11.0,3.0,15.0,10.0,8.0,12.0,1.0,15.0,3.0,12.0,5.0,17.0,3.0,2.0,3.0,2.0,7.0,39.0,1.0,4.0,5.0,5.0,3.0,2.0,1.0,10.0,1.0,8.0,4.0,2.0,2.0,1.0,14.0,2.0,3.0,3.0,9.0,5.0,1.0,1.0,2.0,15.0,90,3.0,0.5555555555555556,0.5555555555555556,1.0,0.19047619047619047,0.18181818181818182,0.2,0.375,0.3333333333333333,0.3333333333333333,0.3,0.3617021276595745,0.3409090909090909,0.4666666666666667,22.846441947565545,0.7142857142857143,0.03773584905660377,0.06666666666666667,0.04132231404958678,0.03571428571428571,0.029411764705882353,0.045454545454545456,0.1,0.24444444444444444,0.5454545454545454,0.5454545454545454,0.3333333333333333,0.28888888888888886,0.23076923076923078,0.23076923076923078,1.0,0.1111111111111111,0.2,0.2,1.0,0.35555555555555557,0.1875,0.1875,1.0,0.5,0.5,0.2,0.75,0.05,0.5,0.2,0.7111111111111111,0.2,0.49353636363636366,0.56535,0.4589625,0.022222222222222223,0.041666666666666664,0.4411764705882353,9.958333333333334,26.76666666666667,0.3673469387755102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1112,1610612765,Ben Wallace,Ben Wallace,1112,DET,78181.0,1303,-61,2333,2376,387,356,223.0,4709,65.0,102.0,30.0,8.0,11.0,10.0,36.0,,,,,,,,,84.0,168,,,37.0,205.0,2353,35.0,,10.0,20.0,,,12.0,32.0,118.0,50.0,,,,,42.0,9.0,51.0,8.0,1.0,15.0,5.0,22.0,111.0,40.0,313.0,376.0,484.0,53.0,35.0,18.0,18.0,5.0,13.0,21.0,2.0,5.0,4.0,39.0,4.0,8.0,51.0,81.0,77.0,3.0,30.0,10.0,32.0,387,3.0,0.7023809523809523,0.8428571428571429,,,,,0.5,0.5,0.5,0.5,0.5,0.45714285714285713,,9.41721343110768,0.46153846153846156,0.3142570281124498,0.23952095808383234,0.3035253654342218,0.2702702702702703,0.3161764705882353,0.34345794392523366,0.248,0.6071428571428571,0.6372549019607843,0.6565656565656566,0.7538461538461538,0.21428571428571427,0.2777777777777778,0.2777777777777778,0.5,,,,,,,,,0.8571428571428571,,0.55,0.7272727272727273,,,,0.6071428571428571,,0.484014880952381,0.5362823529411764,0.45877,0.15384615384615385,0.15384615384615385,0.15609756097560976,5.146428571428571,,0.16588084012001714,17.0,9.0,30.0,19.0,11.0,49.0,28.0,10.0,21.0,87.0,23.0,108.0,5.0,7.0,7.0,117.0,2.0,1.0,79.0,1.0,9.0,29.0,119.0,74.0,8.0,2.0,3.0,0.5428571428571428,0.5428571428571428,0.5833333333333334,0.05952380952380952,0.029411764705882353,0.23333333333333334,0.5348837209302325,0.10023041474654378,0.09502262443438914,0.09917355371900827,0.11538461538461539,0.11353711790393013,0.08584686774941995,0.0935672514619883,0.1,0.21428571428571427,0.06944444444444445,0.6218487394957983,0.17857142857142858,0.3,0.391304347826087,0.5555555555555556,0.5666666666666667,0.23529411764705882,0.23902439024390243,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1442,1610612765,Zeljko Rebraca,Zeljko Rebraca,1442,DET,11864.0,198,7,350,351,60,48,35.0,701,10.0,17.0,7.0,3.0,4.0,4.0,9.0,,,,,,,,,28.0,56,,,15.0,71.0,331,12.0,,6.0,8.0,,,9.0,21.0,34.0,22.0,,,,,5.0,2.0,7.0,2.0,,3.0,2.0,,16.0,3.0,21.0,25.0,38.0,2.0,2.0,,5.0,1.0,3.0,16.0,,2.0,5.0,21.0,1.0,6.0,9.0,31.0,18.0,,4.0,5.0,21.0,60,2.0,0.6071428571428571,0.68,,,,,0.5,0.75,0.5,0.75,0.5461538461538461,0.8076923076923077,,22.10796915167095,0.23809523809523808,0.13725490196078433,0.2,0.14285714285714285,0.07142857142857142,0.125,0.19047619047619047,0.2857142857142857,0.30357142857142855,0.5882352941176471,0.6666666666666666,0.7,0.16071428571428573,0.4444444444444444,0.5,0.75,,,,,,,,,0.5833333333333334,,0.5,0.75,,,,0.30357142857142855,,0.4349571428571429,0.4924100000000001,0.45838749999999995,0.06666666666666667,0.06666666666666667,0.29577464788732394,7.971428571428571,,0.17142857142857143,5.0,14.0,30.0,5.0,,10.0,6.0,4.0,3.0,10.0,1.0,13.0,1.0,3.0,8.0,7.0,,,5.0,,,2.0,7.0,6.0,,1.0,1.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.07142857142857142,0.11764705882352941,0.03333333333333333,0.14285714285714285,0.08333333333333333,0.1111111111111111,0.08843537414965986,0.06451612903225806,0.04878048780487805,0.125,0.13636363636363635,,0.125,0.041666666666666664,0.8571428571428571,0.5357142857142857,0.4666666666666667,0.4827586206896552,0.5,0.7142857142857143,0.4,0.14084507042253522,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1888,1610612765,Richard Hamilton,Richard Hamilton,1888,DET,89708.0,1495,-76,2688,2714,464,389,270.0,5402,108.0,201.0,29.0,19.0,39.0,138.0,341.0,8.0,18.0,3.0,9.0,38.0,6.0,1.0,10.0,311.0,707,17.0,56.0,214.0,887.0,2728,71.0,8.0,45.0,107.0,1.0,13.0,72.0,165.0,348.0,274.0,48.0,,38.0,9.0,98.0,22.0,120.0,16.0,6.0,39.0,18.0,41.0,262.0,33.0,100.0,135.0,180.0,32.0,21.0,11.0,58.0,14.0,31.0,58.0,12.0,27.0,5.0,116.0,8.0,19.0,42.0,118.0,257.0,16.0,96.0,34.0,165.0,464,8.0,0.5594855305466238,0.5780730897009967,0.9411764705882353,0.30357142857142855,0.07692307692307693,0.30357142857142855,0.43988684582743987,0.4205607476635514,0.44102228047182174,0.3875,0.49942987457240595,0.5061728395061729,0.07339449541284404,33.05564811729423,0.5,0.09057971014492754,0.1746031746031746,0.102861562258314,0.10802469135802469,0.09797297297297297,0.0743801652892562,0.16551724137931034,0.2634338138925295,0.5373134328358209,0.6467065868263473,0.5092592592592593,0.44692005242463956,0.4046920821114369,0.42073170731707316,0.6666666666666666,0.023591087811271297,0.4444444444444444,0.4444444444444444,0.875,0.04980340760157274,0.23684210526315788,0.24324324324324326,1.0,0.3670886075949367,0.0759493670886076,0.325,0.48717948717948717,0.025,0.08333333333333333,0.1,0.33682830930537355,0.23684210526315788,0.4582604330708661,0.4885458333333333,0.47190083333333327,0.11387900355871886,0.12198221092757307,0.18602029312288612,10.93719943422914,25.10714285714286,0.17261904761904762,16.0,65.0,165.0,39.0,15.0,105.0,20.0,60.0,8.0,37.0,2.0,45.0,16.0,2.0,19.0,7.0,1.0,1.0,1.0,,4.0,2.0,8.0,4.0,,,1.0,0.5492957746478874,0.569620253164557,0.5919540229885057,0.08486562942008487,0.1691542288557214,0.07878787878787878,0.037037037037037035,0.03681592039800995,0.03018867924528302,0.03543307086614173,0.04365079365079365,0.04198473282442748,0.03054989816700611,0.03398058252427184,0.01694915254237288,0.20454545454545456,0.0431266846361186,0.5,0.2162516382699869,0.3939393939393939,0.4276315789473684,0.4153846153846154,0.5517241379310345,0.4375,0.11837655016910936,0.03812316715542522,1.0,2.0,3.0,4.0,3.0,1.0,14.0,0.5,0.017857142857142856,0.02631578947368421,0.02531645569620253,0.5,1.0,0.5,1.0,,,,,,,,True,,,,
688,1610612765,Michael Curry,Michael Curry,688,DET,93310.0,1555,-132,2795,2847,519,471,279.0,5642,29.0,55.0,12.0,4.0,6.0,46.0,110.0,4.0,22.0,3.0,12.0,32.0,4.0,1.0,2.0,76.0,175,16.0,54.0,36.0,236.0,2873,23.0,4.0,9.0,21.0,2.0,5.0,10.0,34.0,132.0,20.0,48.0,,32.0,12.0,72.0,32.0,104.0,23.0,9.0,18.0,12.0,42.0,240.0,8.0,98.0,111.0,127.0,44.0,24.0,20.0,20.0,4.0,14.0,23.0,2.0,6.0,4.0,43.0,4.0,7.0,64.0,163.0,45.0,2.0,17.0,5.0,34.0,519,8.0,0.868421052631579,0.8918918918918919,1.0,0.2962962962962963,0.4,0.2962962962962963,0.4342857142857143,0.42857142857142855,0.4366812227074236,0.46153846153846156,0.472,0.53125,0.23580786026200873,9.394036550176338,0.46511627906976744,0.08484848484848485,0.041025641025641026,0.07851851851851852,0.09011627906976744,0.1064516129032258,0.06786427145708583,0.03355704697986577,0.24017467248908297,0.5272727272727272,0.6304347826086957,0.7931034482758621,0.48034934497816595,0.41818181818181815,0.41818181818181815,0.9130434782608695,0.09606986899563319,0.18181818181818182,0.18181818181818182,1.0,0.13973799126637554,0.375,0.375,1.0,0.4444444444444444,0.14814814814814814,0.23076923076923078,0.6666666666666666,0.11538461538461539,0.07692307692307693,0.5,0.4759825327510917,0.375,0.480427729257642,0.49913695652173923,0.46344807692307693,0.07346938775510205,0.08947368421052632,0.1440677966101695,12.677714285714288,25.040740740740745,0.1856887298747764,5.0,1.0,10.0,7.0,4.0,21.0,4.0,9.0,2.0,14.0,5.0,16.0,2.0,4.0,13.0,4.0,,,1.0,,2.0,1.0,4.0,3.0,,,,0.30434782608695654,0.3148148148148148,0.375,0.05142857142857143,0.16363636363636364,,0.08620689655172414,0.013435700575815739,0.007220216606498195,0.012130401819560273,0.030418250950570342,0.0036900369003690036,0.00984251968503937,0.009302325581395349,,0.06521739130434782,0.015748031496062992,0.75,0.043668122270742356,0.1,0.1,1.0,0.4166666666666667,0.6,0.08898305084745763,,,,1.0,1.0,,,,0.25,,,,,,0.25,1.0,1.0,1.0,0.3333333333333333,0.01818181818181818,,,,True,,,,
1497,1610612765,Chauncey Billups,Chauncey Billups,1497,DET,83815.0,1397,-83,2507,2552,427,364,254.0,5059,43.0,84.0,3.0,3.0,10.0,64.0,151.0,24.0,41.0,3.0,68.0,172.0,21.0,15.0,41.0,132.0,291,92.0,213.0,168.0,708.0,2587,12.0,23.0,14.0,40.0,17.0,44.0,60.0,139.0,78.0,186.0,162.0,,172.0,68.0,155.0,17.0,172.0,10.0,7.0,52.0,23.0,80.0,361.0,22.0,102.0,125.0,147.0,34.0,16.0,18.0,57.0,12.0,33.0,29.0,4.0,24.0,1.0,86.0,3.0,12.0,31.0,76.0,190.0,11.0,72.0,23.0,139.0,427,7.0,0.29545454545454547,0.29545454545454547,0.5869565217391305,0.431924882629108,0.38636363636363635,0.431924882629108,0.4536082474226804,0.35,0.5357142857142857,0.47023809523809523,0.597623089983022,0.5805084745762712,0.4226190476190476,24.08134141990724,0.6627906976744186,0.09970674486803519,0.12359550561797752,0.10324729392173189,0.07516339869281045,0.09259259259259259,0.12080536912751678,0.11678832116788321,0.16666666666666666,0.5119047619047619,0.6231884057971014,0.18604651162790697,0.2996031746031746,0.423841059602649,0.4413793103448276,0.421875,0.08134920634920635,0.5853658536585366,0.5853658536585366,0.75,0.3412698412698413,0.3953488372093023,0.4,0.5294117647058824,0.08571428571428572,0.6,0.11904761904761904,0.3,0.03571428571428571,0.4880952380952381,0.36585365853658536,0.5892857142857143,0.3953488372093023,0.49685546719681906,0.5154966666666667,0.4835951807228916,0.13074204946996468,0.20454545454545456,0.1963276836158192,11.603092783505152,25.55774647887324,0.17032309533306741,1.0,25.0,56.0,6.0,5.0,50.0,,29.0,5.0,17.0,1.0,22.0,6.0,1.0,10.0,10.0,1.0,1.0,4.0,,3.0,3.0,11.0,7.0,,,,0.5,0.6428571428571429,0.6578947368421053,0.09965635738831616,0.17857142857142858,0.14285714285714285,0.018518518518518517,0.018065887353878853,0.02032520325203252,0.018534119629317607,0.029045643153526972,0.008130081300813009,0.01762114537444934,0.025906735751295335,,0.14634146341463414,0.024291497975708502,0.6363636363636364,0.1111111111111111,0.44642857142857145,0.5208333333333334,0.16,0.3333333333333333,1.0,0.07062146892655367,0.039735099337748346,1.0,2.0,10.0,11.0,114.0,2.0,7.0,0.4782608695652174,0.009389671361502348,0.011627906976744186,0.05714285714285714,0.5,1.0,0.47619047619047616,0.8,2.0,2.0,0.6666666666666666,0.009345794392523364,1.0,,,True,,,,
2246,1610612765,Mehmet Okur,Mehmet Okur,2246,DET,15199.0,253,-65,452,464,100,98,56.0,916,20.0,33.0,12.0,6.0,9.0,4.0,12.0,,2.0,,2.0,9.0,1.0,,3.0,31.0,63,2.0,11.0,13.0,81.0,506,16.0,1.0,6.0,12.0,,3.0,4.0,16.0,42.0,20.0,6.0,,9.0,2.0,6.0,4.0,10.0,4.0,,2.0,1.0,3.0,24.0,3.0,35.0,42.0,69.0,6.0,4.0,2.0,4.0,,1.0,5.0,,3.0,1.0,9.0,2.0,2.0,21.0,31.0,21.0,3.0,10.0,2.0,16.0,100,,0.6774193548387096,0.875,1.0,0.18181818181818182,,0.18181818181818182,0.49206349206349204,0.5,0.4594594594594595,0.4,0.4879518072289157,0.4444444444444444,0.14864864864864866,17.79497098646035,0.4444444444444444,0.21739130434782608,0.10714285714285714,0.20105820105820105,0.17647058823529413,0.3055555555555556,0.20270270270270271,0.09090909090909091,0.44594594594594594,0.6060606060606061,0.6666666666666666,0.55,0.16216216216216217,0.3333333333333333,0.4,1.0,0.02702702702702703,,,,0.12162162162162163,0.2222222222222222,0.2222222222222222,1.0,0.7058823529411765,0.058823529411764705,0.6,0.6666666666666666,,0.2,,0.5945945945945946,0.2222222222222222,0.48455337837837836,0.5351366666666666,0.5119066666666667,0.12345679012345678,0.14285714285714285,0.19753086419753085,5.879365079365079,25.672727272727272,0.22123893805309736,8.0,7.0,18.0,10.0,3.0,23.0,14.0,6.0,8.0,19.0,4.0,27.0,,2.0,4.0,4.0,,,3.0,,,1.0,4.0,2.0,,,,0.625,0.5882352941176471,0.6388888888888888,0.09523809523809523,0.09090909090909091,0.05555555555555555,0.3333333333333333,0.1111111111111111,0.14035087719298245,0.11842105263157894,0.14583333333333334,0.13043478260869565,0.07792207792207792,0.17391304347826086,,0.16666666666666666,,0.5,0.24324324324324326,0.3888888888888889,0.4117647058823529,0.8571428571428571,0.6666666666666666,0.125,0.2839506172839506,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,True,,,,
361,1610612765,Clifford Robinson,Clifford Robinson,361,DET,77155.0,1286,-99,2314,2355,443,367,226.0,4669,38.0,75.0,20.0,6.0,8.0,62.0,163.0,7.0,18.0,3.0,21.0,69.0,5.0,,13.0,160.0,376,28.0,87.0,60.0,464.0,2397,38.0,5.0,22.0,39.0,2.0,16.0,27.0,77.0,196.0,124.0,81.0,1.0,68.0,21.0,90.0,27.0,117.0,17.0,10.0,44.0,13.0,33.0,261.0,20.0,76.0,108.0,144.0,39.0,28.0,11.0,43.0,11.0,29.0,35.0,7.0,14.0,7.0,78.0,5.0,16.0,46.0,110.0,97.0,7.0,39.0,13.0,77.0,443,11.0,0.6125,0.6282051282051282,0.9642857142857143,0.3218390804597701,0.125,0.32558139534883723,0.425531914893617,0.5641025641025641,0.43628509719222464,0.45454545454545453,0.4566929133858268,0.5133333333333333,0.1879049676025918,22.748447204968944,0.5512820512820513,0.0794979079497908,0.12195121951219512,0.08571428571428572,0.0625,0.07539682539682539,0.09375,0.12213740458015267,0.16198704103671707,0.5066666666666667,0.5757575757575758,0.5526315789473685,0.35205183585313177,0.3803680981595092,0.3875,0.8225806451612904,0.038876889848812095,0.3888888888888889,0.3888888888888889,0.8571428571428571,0.1490280777537797,0.30434782608695654,0.30434782608695654,1.0,0.46511627906976744,0.11627906976744186,0.14545454545454545,0.75,0.05454545454545454,0.23636363636363636,,0.34989200863930886,0.3088235294117647,0.4488728354978354,0.5178470588235294,0.45297500000000007,0.07878787878787878,0.09558823529411764,0.16594827586206898,10.644148936170215,25.593103448275862,0.19144338807260156,10.0,60.0,138.0,18.0,8.0,44.0,8.0,19.0,6.0,28.0,12.0,36.0,12.0,3.0,9.0,30.0,,,22.0,,2.0,6.0,30.0,19.0,1.0,,4.0,0.47368421052631576,0.4186046511627907,0.4489795918367347,0.05053191489361702,0.12,0.050724637681159424,0.2553191489361702,0.032407407407407406,0.02575107296137339,0.03099361896080219,0.03167420814479638,0.03349282296650718,0.03225806451612903,0.027777777777777776,0.018867924528301886,0.12121212121212122,0.04743083003952569,0.6333333333333333,0.2980561555075594,0.43478260869565216,0.4580152671755725,0.43333333333333335,0.5,0.6,0.09482758620689655,0.018404907975460124,,,,,3.0,,,,,,,,,,,2.0,,0.6666666666666666,,,2.0,0.03333333333333333,True,,,,
722,1610612765,Corliss Williamson,Corliss Williamson,722,DET,3824.0,64,-59,117,140,35,73,16.0,257,6.0,11.0,5.0,1.0,2.0,2.0,7.0,,,,,1.0,,,1.0,10.0,28,,1.0,4.0,24.0,146,7.0,,1.0,5.0,,1.0,,2.0,10.0,10.0,,1.0,,,2.0,,2.0,,,1.0,,1.0,4.0,1.0,9.0,12.0,20.0,,,,5.0,,2.0,,,3.0,,5.0,2.0,,3.0,7.0,4.0,2.0,3.0,,2.0,35,2.0,0.5,0.7142857142857143,,,,,0.35714285714285715,0.2,0.3448275862068966,0.16666666666666666,0.4,0.16666666666666666,0.034482758620689655,25.36231884057971,1.0,0.2,0.06666666666666667,0.16666666666666666,0.11764705882352941,0.15384615384615385,0.3333333333333333,0.07692307692307693,0.3793103448275862,0.5454545454545454,0.6,0.5,0.2413793103448276,0.2857142857142857,0.2857142857142857,0.5,,,,,0.034482758620689655,,,,0.7142857142857143,,0.3333333333333333,0.5,,0.16666666666666666,,0.41379310344827586,,0.45676428571428573,0.48841428571428575,0.3819,0.1,0.10344827586206896,0.08333333333333333,7.614285714285714,63.3,0.29914529914529914,3.0,2.0,10.0,3.0,,6.0,6.0,2.0,1.0,7.0,2.0,8.0,2.0,2.0,,1.0,,,1.0,,,,1.0,1.0,,,,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.07142857142857142,0.09090909090909091,0.1,0.4,0.1346153846153846,0.07142857142857142,0.12121212121212122,0.26666666666666666,0.13333333333333333,0.045454545454545456,0.1,,,0.125,1.0,0.3448275862068966,0.2,0.2222222222222222,0.5,0.6,,0.25,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
468,1610612765,Jon Barry,Jon Barry,468,DET,2674.0,45,-20,91,98,53,52,6.0,189,,,,,,3.0,3.0,,,,2.0,3.0,,1.0,1.0,3.0,3,2.0,3.0,11.0,23.0,107,,,2.0,2.0,1.0,1.0,7.0,14.0,6.0,,6.0,,3.0,2.0,4.0,2.0,6.0,1.0,1.0,2.0,1.0,1.0,14.0,,4.0,4.0,4.0,4.0,2.0,2.0,,,,,,,,,,,,2.0,14.0,,4.0,3.0,14.0,53,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,1.1666666666666667,0.8846153846153846,1.0,0.5,13.402061855670103,,0.10526315789473684,,0.09302325581395349,0.16666666666666666,0.15384615384615385,,,,,,,0.5,1.0,1.0,1.0,,,,,0.5,0.6666666666666666,0.6666666666666666,1.0,,,,,,0.3333333333333333,1.0,0.5,0.6666666666666666,0.46678333333333333,,0.44501666666666667,0.4,0.5714285714285714,0.6086956521739131,19.599999999999998,25.46666666666667,0.5824175824175825,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
