EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,Fg3aBlocked,OffThreePtRebounds,DefThreePtRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,BlockedShortMidRange,RecoveredBlocks,FG3APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,DefThreePtReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,PtsPutbacks,HeaveAttempts,BlockedLongMidRange,DefCorner3ReboundPct,FTOffRebounds,SelfOReb,Loose Ball Fouls,DefensiveGoaltends,3SecondViolations,OffFTReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceTurnovers,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,on,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,Blocked3s,BlockedArc3,SecondChanceFg3Pct,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedCorner3,OffensiveGoaltends,Clear Path Fouls
147,1610612741,Jalen Rose,Jalen Rose,147,CHI,6498.0,108,208,200,93,112,22,408,4.0,9.0,1.0,1.0,2.0,7.0,6.0,12.0,6.0,14.0,2.0,7.0,2.0,2.0,4.0,6.0,1.0,1.0,1.0,16.0,35,6.0,13.0,20.0,70,227,1.0,4.0,1.0,5.0,7.0,9.0,19.0,3.0,3.0,11.0,38.0,10.0,22.0,15.0,3.0,6.0,4.0,2.0,10.0,2.0,12.0,1.0,1.0,4.0,4.0,2.0,26.0,2.0,5.0,2.0,7.0,2.0,9.0,4.0,4.0,4.0,2.0,5.0,1.0,2.0,2.0,9.0,4.0,1.0,8.0,2.0,24.0,3.0,1.0,4.0,8.0,1.0,3.0,1.0,1.0,1.0,38.0,93,3.0,0.3125,0.3125,0.8333333333333334,0.46153846153846156,1.0,0.46153846153846156,0.45714285714285713,0.25,0.47368421052631576,0.5208333333333334,0.2,0.6136363636363636,0.5892857142857143,0.42857142857142855,0.6481481481481481,0.2708333333333333,0.05714285714285714,0.16666666666666666,27.659574468085104,0.4444444444444444,0.16666666666666666,0.07352941176470588,0.028169014084507043,0.05434782608695652,0.023529411764705882,0.05263157894736842,0.05,0.043478260869565216,0.13333333333333333,0.06666666666666667,0.1875,0.4444444444444444,0.4444444444444444,0.25,0.25,0.5,0.6,0.3333333333333333,0.2916666666666667,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.14583333333333334,0.2857142857142857,0.2857142857142857,1.0,0.125,0.6666666666666666,0.6666666666666666,0.75,0.2,1.0,0.2,0.3181818181818182,0.2857142857142857,0.09090909090909091,1.0,0.045454545454545456,1.0,0.4583333333333333,0.6666666666666666,0.465225,0.46387,0.4449,0.16981132075471697,0.2,0.07692307692307693,0.1,0.5428571428571428,10.462857142857144,25.223076923076924,0.44711538461538464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1594,1610612741,Rick Brunson,Rick Brunson,1594,CHI,11626.0,194,369,364,133,163,43,733,4.0,8.0,,,,1.0,2.0,4.0,13.0,32.0,2.0,3.0,,1.0,2.0,3.0,,1.0,2.0,19.0,44,4.0,6.0,10.0,60,380,,4.0,,,,1.0,7.0,1.0,3.0,6.0,11.0,22.0,16.0,12.0,,3.0,2.0,2.0,33.0,3.0,36.0,,3.0,14.0,11.0,8.0,75.0,3.0,12.0,1.0,15.0,4.0,19.0,10.0,7.0,13.0,9.0,4.0,,4.0,,17.0,5.0,11.0,20.0,1.0,12.0,,,,4.0,,2.0,3.0,,3.0,11.0,133,2.0,0.5789473684210527,0.5789473684210527,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.4318181818181818,,0.14285714285714285,0.5,,0.25,0.5357142857142857,,0.39285714285714285,0.12,0.045454545454545456,,17.38095238095238,0.7647058823529411,0.05,0.096,0.022727272727272728,0.08433734939759036,0.025806451612903226,0.05263157894736842,,0.05128205128205128,0.07692307692307693,0.13333333333333333,0.16,0.5,0.5714285714285714,0.5,0.08,0.5,0.5,0.5,0.64,0.40625,0.41935483870967744,0.6153846153846154,0.06,0.6666666666666666,0.6666666666666666,1.0,0.06,0.6666666666666666,1.0,1.0,,,,0.1,,0.1,,0.2,0.5,0.28,0.6666666666666666,0.42918799999999996,0.3579666666666667,0.41463,0.07407407407407407,0.08333333333333333,,,0.18333333333333332,14.670454545454545,24.099999999999998,0.3604336043360434,6.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,0.16666666666666666,0.125,0.03125,0.3333333333333333,0.04878048780487805,0.043478260869565216,0.017241379310344827,0.07692307692307693,0.06666666666666667,0.3333333333333333,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1944,1610612741,Eddie Robinson,Eddie Robinson,1944,CHI,5580.0,93,177,175,50,79,20,352,5.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,8.0,1.0,1.0,,,,1.0,,,1.0,10.0,16,1.0,2.0,3.0,26,195,2.0,3.0,,,4.0,2.0,2.0,,1.0,1.0,5.0,12.0,8.0,3.0,,,,,5.0,4.0,9.0,4.0,,1.0,2.0,2.0,22.0,4.0,7.0,2.0,13.0,5.0,18.0,5.0,3.0,2.0,1.0,,,1.0,,2.0,,2.0,7.0,,4.0,,,,2.0,,,1.0,,1.0,5.0,50,3.0,0.6,0.75,1.0,0.5,,1.0,0.625,0.6666666666666666,1.0,0.6388888888888888,0.6666666666666666,0.6666666666666666,0.65,0.6666666666666666,0.625,0.1111111111111111,,,10.784313725490195,1.0,0.14285714285714285,0.11475409836065574,0.06060606060606061,0.13580246913580246,0.06944444444444445,0.0625,0.045454545454545456,0.18181818181818182,0.06666666666666667,0.08333333333333333,0.2777777777777778,1.0,1.0,0.4,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.4444444444444444,0.375,0.375,1.0,0.05555555555555555,1.0,1.0,1.0,0.05555555555555555,,,,0.3333333333333333,1.0,,0.3333333333333333,1.0,,,0.3333333333333333,,0.3888888888888889,,0.48426470588235293,0.4234,0.6234999999999999,0.1,0.1111111111111111,,0.15384615384615385,0.19230769230769232,10.499999999999998,32.900000000000006,0.2824858757062147,3.0,,1.0,4.0,2.0,,,1.0,,,,,0.2,0.16666666666666666,0.07142857142857142,0.3333333333333333,0.14285714285714285,1.0,4.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2033,1610612741,Marcus Fizer,Marcus Fizer,2033,CHI,5726.0,95,176,171,62,73,19,347,13.0,22.0,3.0,5.0,4.0,7.0,13.0,26.0,3.0,10.0,,,,,,,,,,29.0,58,,,10.0,68,182,4.0,9.0,,,8.0,8.0,21.0,,,7.0,23.0,30.0,28.0,,,,,4.0,6.0,,6.0,,,2.0,1.0,3.0,12.0,5.0,5.0,3.0,12.0,8.0,20.0,2.0,,2.0,2.0,6.0,2.0,,,8.0,4.0,4.0,13.0,3.0,13.0,1.0,,,6.0,,1.0,2.0,1.0,2.0,23.0,62,2.0,0.5172413793103449,0.6,,,,,0.5,0.4444444444444444,0.38095238095238093,0.5,0.4444444444444444,0.38095238095238093,0.53125,0.4444444444444444,0.46,,0.06896551724137931,,35.467980295566505,0.25,0.25,0.08928571428571429,0.07246376811594203,0.10843373493975904,0.09210526315789473,0.15789473684210525,0.043478260869565216,0.1111111111111111,0.11764705882352941,0.047619047619047616,0.3793103448275862,0.5909090909090909,0.7222222222222222,0.38461538461538464,0.4482758620689655,0.5,0.5,0.6153846153846154,0.1724137931034483,0.3,0.3,0.6666666666666666,,,,,,,,,0.5555555555555556,0.6,,0.3333333333333333,0.5714285714285714,,,,,0.3793103448275862,,0.43870344827586216,0.46090000000000003,0.3940904761904762,0.09523809523809523,0.09523809523809523,,0.11764705882352941,0.3382352941176471,6.774137931034483,,0.3522727272727273,10.0,,2.0,4.0,2.0,,,1.0,,0.18181818181818182,,,0.14814814814814814,0.2857142857142857,0.037037037037037035,,0.15,0.5,8.0,,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,0.25,0.6666666666666666,0.041666666666666664,,,,,,True,,,,,,,,,,,,,,
2199,1610612741,Tyson Chandler,Tyson Chandler,2199,CHI,2464.0,41,78,79,28,41,8,157,3.0,5.0,,1.0,1.0,1.0,3.0,4.0,,,,,,,,,,,,6.0,9,,,,12,97,,1.0,,,,1.0,1.0,,,,2.0,12.0,,,,,,,1.0,1.0,2.0,1.0,,1.0,,,5.0,1.0,3.0,1.0,5.0,1.0,6.0,2.0,2.0,1.0,1.0,,,,,1.0,,1.0,2.0,,1.0,1.0,,,1.0,,,2.0,2.0,2.0,2.0,28,,1.0,1.0,,,,,0.6666666666666666,,1.0,0.6666666666666666,,1.0,0.6666666666666666,,1.0,,,,11.494252873563218,1.0,1.0,0.12,0.04,0.13333333333333333,0.029411764705882353,,0.14285714285714285,,,0.1875,0.5555555555555556,0.6,0.6,1.0,0.4444444444444444,0.75,0.75,1.0,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,0.5555555555555556,,0.5125333333333334,0.558,0.6336,0.1111111111111111,0.1111111111111111,,,0.16666666666666666,3.9111111111111105,,0.358974358974359,-22.0,,,1.0,,,,2.0,,,,,0.2,,,,,1.0,,,,0.3333333333333333,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2201,1610612741,Eddy Curry,Eddy Curry,2201,CHI,4108.0,68,134,131,50,28,15,265,14.0,20.0,4.0,6.0,5.0,6.0,1.0,5.0,,,,,,,,,,,,15.0,25,,,7.0,37,118,4.0,6.0,,2.0,10.0,5.0,6.0,,,1.0,11.0,24.0,6.0,,,,,1.0,2.0,,2.0,,,,1.0,1.0,4.0,7.0,10.0,1.0,12.0,7.0,19.0,,,3.0,,3.0,,3.0,,6.0,1.0,9.0,16.0,3.0,9.0,3.0,,,6.0,,,2.0,2.0,2.0,11.0,50,,0.8,0.9230769230769231,,,,,0.6,0.6666666666666666,0.8333333333333334,0.6,0.6666666666666666,0.8333333333333334,0.6607142857142857,0.8333333333333334,0.9166666666666666,,0.04,,22.36842105263158,0.5,0.2,0.2,0.12962962962962962,0.1746031746031746,0.11475409836065574,0.29411764705882354,0.07692307692307693,0.21428571428571427,0.09090909090909091,0.24,0.8,0.7,0.7368421052631579,0.7857142857142857,0.2,0.2,0.2,1.0,,,,,,,,,,,,,1.0,0.6666666666666666,,1.0,0.8333333333333334,,,,,0.8,,0.56644,0.59975,0.6529666666666666,0.21428571428571427,0.21428571428571427,,0.2702702702702703,0.2972972972972973,1.7080000000000002,,0.373134328358209,12.0,,,1.0,,,,2.0,,0.05,,,0.07692307692307693,,0.041666666666666664,,0.1,1.0,4.0,,,,,1.0,2.0,,,,,0.1111111111111111,1.0,1.0,0.25,,,True,,,,,,,,,,,,,,
916,1610612741,Corie Blount,Corie Blount,916,CHI,4294.0,72,134,136,36,63,17,270,2.0,3.0,,,,,3.0,3.0,1.0,4.0,,,,,,,,,,6.0,10,,,3.0,15,145,,2.0,,2.0,2.0,1.0,3.0,,,2.0,4.0,12.0,,,,,,1.0,3.0,1.0,4.0,,1.0,,2.0,1.0,9.0,5.0,6.0,1.0,11.0,5.0,16.0,1.0,1.0,4.0,3.0,2.0,,1.0,1.0,6.0,1.0,10.0,15.0,1.0,4.0,,,,2.0,,,4.0,2.0,4.0,4.0,36,1.0,1.0,1.0,,,,,0.6,,0.3333333333333333,0.6,,0.3333333333333333,0.625,0.3333333333333333,0.5,,0.1,,11.920529801324504,0.6666666666666666,0.09090909090909091,0.14634146341463414,0.12195121951219512,0.18181818181818182,0.10638297872340426,,0.2,0.2727272727272727,0.125,0.09090909090909091,0.3,0.6666666666666666,1.0,1.0,0.3,1.0,1.0,1.0,0.4,0.25,0.25,1.0,,,,,,,,,,,,,,,,,,0.3,,0.43544,0.398,0.39633333333333337,0.16666666666666666,0.16666666666666666,,0.13333333333333333,0.26666666666666666,9.92,,0.26865671641791045,13.0,,,4.0,,,,3.0,,0.3333333333333333,,,0.2857142857142857,,0.15,,0.3,0.75,,,2.0,0.25,,,1.0,,,,,,1.0,2.0,,,,True,,,,,,,,,,,,,,
923,1610612741,Donyell Marshall,Donyell Marshall,923,CHI,3465.0,58,110,106,47,75,13,216,5.0,10.0,2.0,3.0,5.0,8.0,5.0,7.0,1.0,4.0,,,,,,2.0,,,,11.0,21,,2.0,4.0,26,119,5.0,7.0,,,10.0,7.0,12.0,,,4.0,18.0,14.0,8.0,,,2.0,,3.0,2.0,,2.0,,,1.0,,1.0,4.0,6.0,8.0,4.0,14.0,6.0,20.0,3.0,3.0,1.0,1.0,3.0,1.0,,,4.0,1.0,9.0,12.0,2.0,6.0,,,,1.0,,2.0,1.0,1.0,1.0,18.0,47,,0.6363636363636364,1.0,,,,,0.5238095238095238,0.7142857142857143,0.5833333333333334,0.4782608695652174,0.7142857142857143,0.5833333333333334,0.5,0.7142857142857143,0.6,0.08695652173913043,0.14285714285714285,,24.0,0.25,0.5714285714285714,0.1951219512195122,0.17647058823529413,0.18518518518518517,0.13636363636363635,0.36363636363636365,,0.2222222222222222,,0.23529411764705882,0.43478260869565216,0.5,0.625,0.6,0.30434782608695654,0.7142857142857143,0.7142857142857143,0.6,0.17391304347826086,0.25,0.3333333333333333,1.0,,,,,0.08695652173913043,,,,0.42857142857142855,0.6666666666666666,,0.6666666666666666,0.625,,,,,0.5217391304347826,,0.502095652173913,0.46882857142857143,0.5363833333333333,0.041666666666666664,0.045454545454545456,,0.38461538461538464,0.6923076923076923,5.9190476190476184,25.950000000000003,0.42727272727272725,-1.0,,,2.0,,,,1.0,,0.2,0.25,,0.15384615384615385,,0.14285714285714285,,0.1111111111111111,1.0,8.0,,,0.25,,1.0,,,,,,0.1111111111111111,1.0,,,,,True,,,,,,,,,,,,,,
2037,1610612741,Jamal Crawford,Jamal Crawford,2037,CHI,1636.0,27,56,54,27,25,3,110,3.0,4.0,,,1.0,1.0,2.0,3.0,,2.0,,,,,,2.0,,,1.0,5.0,9,,2.0,4.0,14,47,,1.0,,,,1.0,3.0,,1.0,,2.0,2.0,8.0,,,2.0,,1.0,2.0,,2.0,,,,1.0,1.0,4.0,,4.0,,5.0,,5.0,1.0,1.0,1.0,1.0,2.0,,,,3.0,2.0,,,,4.0,,,,1.0,,1.0,,,,2.0,27,,0.2,0.2,,,,,0.5555555555555556,,0.3333333333333333,0.45454545454545453,,0.25,0.5384615384615384,,0.25,0.18181818181818182,0.1111111111111111,0.3333333333333333,26.229508196721312,0.3333333333333333,,0.17391304347826086,,0.18518518518518517,,,,0.3,,0.1111111111111111,0.36363636363636365,0.75,0.75,0.3333333333333333,0.2727272727272727,0.6666666666666666,1.0,,0.18181818181818182,,,,,,,,0.18181818181818182,,,,,,,0.25,1.0,,,0.25,,0.5454545454545454,,0.5164818181818182,0.3691,0.4741625,0.08333333333333333,0.1,,,0.14285714285714285,6.877777777777778,25.5,0.48214285714285715,11.0,,,1.0,,1.0,,,,,,,0.25,,,,,,,,,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2239,1610612741,Trenton Hassell,Trenton Hassell,2239,CHI,3875.0,65,123,123,42,47,13,246,,,,,,,2.0,2.0,2.0,6.0,,,,,,2.0,,,1.0,4.0,8,,2.0,,8,125,,,,,,,,,1.0,,,6.0,2.0,,,2.0,,,2.0,,2.0,,,,2.0,,4.0,,6.0,,7.0,,7.0,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,6.0,,,,,,,,,3.0,2.0,3.0,,42,2.0,0.75,0.75,,,,,0.5,,,0.4,,,0.4,,,0.2,,,8.088235294117647,1.0,,0.13043478260869565,,0.11475409836065574,,,,0.1875,0.18181818181818182,0.05263157894736842,,,,,0.2,1.0,1.0,0.5,0.6,0.3333333333333333,0.3333333333333333,1.0,,,,,0.2,,,,,,,,,,,1.0,,0.2,,0.39263,,0.35205,,,,,,18.3375,25.15,0.34146341463414637,-16.0,,,1.0,,,,2.0,,,,,0.06666666666666667,,,,0.08333333333333333,0.6666666666666666,,,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
