EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG3M,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,ShortMidRangeAssists,OffThreePtRebounds,SelfOReb,Travels,SecondChanceTurnovers,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,ShortMidRangePctBlocked,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,FTOffRebounds,FTDefRebounds,BlockedShortMidRange,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,DefFTReboundPct,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,HeaveAttempts,Clear Path Fouls,on,BlockedCorner3,Corner3PctBlocked
123,1610612740,Robert Pack,Robert Pack,123,NOH,6821.0,114,-14.0,220,217,81,95.0,26.0,437,4.0,15.0,2.0,1.0,5.0,1.0,4.0,9.0,18.0,1.0,1.0,1.0,3.0,1.0,14.0,37,4.0,18.0,46,224,2.0,1.0,1.0,1.0,3.0,11.0,2.0,6.0,12.0,20.0,8.0,3.0,8.0,1.0,17.0,5.0,22.0,2.0,3.0,10.0,7.0,49.0,1.0,1.0,6.0,7.0,1.0,8.0,10.0,2.0,8.0,6.0,1.0,2.0,3.0,1.0,4.0,9.0,2.0,4.0,12.0,1.0,1.0,21.0,1.0,6.0,5.0,12.0,81,2.0,0.7142857142857143,0.7142857142857143,0.3783783783783784,0.2727272727272727,0.34146341463414637,0.23076923076923078,0.45098039215686275,0.125,0.35294117647058826,0.0975609756097561,0.25,0.21621621621621623,0.4,0.1111111111111111,0.3333333333333333,24.0,0.6666666666666666,0.06741573033707865,0.012658227848101266,0.05,0.06422018348623854,0.010101010101010102,0.045454545454545456,0.06451612903225806,0.11428571428571428,0.07142857142857142,0.36585365853658536,0.26666666666666666,0.4444444444444444,0.5,0.0975609756097561,0.25,0.25,0.43902439024390244,0.5,0.5625,0.8888888888888888,0.024390243902439025,0.07317073170731707,0.6666666666666666,0.3333333333333333,0.38461538461538464,0.2,0.07692307692307693,0.07692307692307693,0.4634146341463415,0.4707912499999999,0.5503833333333334,0.48427692307692305,0.13043478260869565,0.14285714285714285,0.021739130434782608,0.2608695652173913,10.21891891891892,27.599999999999998,0.36818181818181817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
133,1610612740,David Wesley,David Wesley,133,NOH,53856.0,898,48.0,1695,1697,437,408.0,275.0,3392,26.0,52.0,4.0,6.0,14.0,10.0,23.0,86.0,214.0,34.0,6.0,8.0,68.0,17.0,122.0,289,102.0,77.0,438,1704,23.0,15.0,5.0,47.0,22.0,59.0,25.0,37.0,120.0,180.0,64.0,68.0,15.0,4.0,70.0,19.0,89.0,12.0,7.0,28.0,25.0,197.0,10.0,8.0,40.0,48.0,16.0,64.0,46.0,24.0,22.0,22.0,8.0,13.0,25.0,5.0,9.0,47.0,11.0,21.0,49.0,2.0,7.0,96.0,5.0,31.0,16.0,120.0,437,4.0,0.7377049180327869,0.75,0.42214532871972316,0.3728813559322034,0.4616368286445013,0.49404761904761907,0.5023041474654378,0.5875,0.5613207547169812,0.2608695652173913,0.0392156862745098,0.05190311418685121,0.19230769230769232,0.009345794392523364,0.058823529411764705,23.727137913989125,0.46808510638297873,0.05714285714285714,0.01394700139470014,0.057971014492753624,0.057279236276849645,0.01834862385321101,0.019801980198019802,0.06324110671936758,0.05925925925925926,0.05263157894736842,0.1329923273657289,0.5,0.6190476190476191,0.5384615384615384,0.058823529411764705,0.43478260869565216,0.5,0.5473145780051151,0.40186915887850466,0.4056603773584906,0.8488372093023255,0.08695652173913043,0.17391304347826086,0.10526315789473684,0.15789473684210525,0.16666666666666666,0.42857142857142855,0.09523809523809523,0.20238095238095238,0.3938618925831202,0.48312076923076946,0.4933808823529412,0.48076626506024084,0.07655502392344497,0.09841269841269841,0.10730593607305935,0.273972602739726,14.865051903114184,24.40588235294117,0.25781710914454276,3.0,14.0,3.0,4.0,25.0,3.0,9.0,9.0,39.0,12.0,6.0,13.0,111.0,6.0,4.0,25.0,17.0,6.0,6.0,4.0,7.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,0.9487179487179487,0.38235294117647056,0.4,0.52,0.38235294117647056,0.5217391304347826,0.5526315789473685,0.13043478260869565,0.03870967741935484,0.011235955056179775,0.011869436201780416,0.05454545454545454,0.04519774011299435,0.06976744186046512,0.028708133971291867,0.5,0.3,0.4117647058823529,0.4117647058823529,1.0,0.36764705882352944,0.390625,0.92,0.75,0.5,1.0,0.23684210526315788,0.3333333333333333,1.0,0.5,0.5294117647058824,0.36764705882352944,0.009708737864077669,,,,,,,,,,,,,,True,,
136,1610612740,P.J. Brown,P.J. Brown,136,NOH,44680.0,745,96.0,1387,1383,311,292.0,239.0,2770,33.0,61.0,26.0,8.0,13.0,20.0,48.0,50.0,80.0,,,,1.0,1.0,103.0,189,1.0,48.0,254,1402,42.0,,14.0,54.0,26.0,40.0,1.0,18.0,70.0,152.0,54.0,1.0,12.0,,28.0,10.0,38.0,5.0,5.0,10.0,15.0,86.0,56.0,18.0,108.0,135.0,72.0,207.0,18.0,13.0,5.0,22.0,,11.0,15.0,1.0,11.0,37.0,9.0,18.0,44.0,5.0,6.0,58.0,2.0,24.0,6.0,70.0,311,7.0,0.7378640776699029,0.8636363636363636,0.544973544973545,0.65,0.5421052631578948,0.6341463414634146,0.5825688073394495,0.54,0.660377358490566,0.005263157894736842,,0.06349206349206349,0.13114754098360656,,,15.169541939321833,0.5945945945945946,0.19014084507042253,0.09671848013816926,0.1592920353982301,0.18502202643171806,0.09943181818181818,0.08666666666666667,0.13861386138613863,0.2149122807017544,0.13253012048192772,0.32105263157894737,0.5409836065573771,0.6226415094339622,0.5454545454545454,0.25263157894736843,0.4166666666666667,0.45454545454545453,0.42105263157894735,0.625,0.625,0.86,,0.005263157894736842,0.6190476190476191,,0.3170731707317073,0.6153846153846154,,0.024390243902439025,0.3263157894736842,0.4523342105263157,0.48567567567567566,0.4422414634146341,0.11320754716981132,0.11374407582938388,0.2125984251968504,0.2755905511811024,9.456084656084657,25.0,0.22422494592645997,12.0,,,,,,,,,20.0,,,,,30.0,,3.0,14.0,1.0,2.0,5.0,,,21.0,,,18.0,2.0,21.0,14.0,,,,,,0.47619047619047616,0.47619047619047616,0.08333333333333333,0.112,0.08536585365853659,0.10943396226415095,0.11827956989247312,0.2246376811594203,0.23333333333333334,0.0136986301369863,0.6666666666666666,0.75,,,,,,,0.46153846153846156,,,,,,,,,,2.0,9.0,1.0,4.0,1.0,5.0,2.0,0.4090909090909091,0.06451612903225806,0.09375,,,,True,,
1714,1610612740,Robert Traylor,Robert Traylor,1714,NOH,16370.0,273,26.0,516,504,151,208.0,102.0,1020,27.0,43.0,24.0,9.0,15.0,7.0,18.0,5.0,18.0,,,,2.0,1.0,39.0,79,2.0,12.0,93,482,33.0,,4.0,42.0,10.0,23.0,1.0,2.0,22.0,46.0,32.0,2.0,4.0,,21.0,,21.0,,,7.0,13.0,42.0,30.0,7.0,38.0,49.0,33.0,82.0,9.0,4.0,5.0,6.0,2.0,,14.0,2.0,6.0,20.0,3.0,30.0,59.0,4.0,4.0,20.0,,8.0,2.0,22.0,151,5.0,0.5897435897435898,0.8846153846153846,0.4936708860759494,0.43478260869565216,0.5,0.4166666666666667,0.510989010989011,0.5833333333333334,0.4230769230769231,0.024691358024691357,,0.05063291139240506,0.09302325581395349,,,17.50788643533123,0.3,0.19487179487179487,0.12244897959183673,0.18421052631578946,0.19313304721030042,0.11870503597122302,0.18181818181818182,0.14102564102564102,0.20253164556962025,0.18518518518518517,0.5308641975308642,0.627906976744186,0.6923076923076923,0.48148148148148145,0.2222222222222222,0.3888888888888889,0.3888888888888889,0.2222222222222222,0.2777777777777778,0.2777777777777778,1.0,,0.024691358024691357,0.7272727272727273,,0.625,0.6,,0.041666666666666664,0.5555555555555556,0.47819938271604945,0.50599375,0.4823374999999999,0.0898876404494382,0.09195402298850575,0.45161290322580644,0.23655913978494625,5.737974683544304,24.6,0.2926356589147287,15.0,,,,1.0,,,,1.0,19.0,,,,3.0,26.0,1.0,1.0,3.0,3.0,2.0,3.0,,,18.0,,,12.0,1.0,18.0,13.0,,0.5,,,0.5,0.5757575757575758,0.5757575757575758,,0.09090909090909091,0.14285714285714285,0.08130081300813008,0.07407407407407407,0.2894736842105263,0.18181818181818182,0.08333333333333333,0.7222222222222222,0.7142857142857143,,,,0.5,0.5,,0.625,,,,,,,,0.5,,,4.0,5.0,1.0,2.0,2.0,1.0,0.26666666666666666,,0.16666666666666666,0.2,,,True,,
248,1610612740,George Lynch,George Lynch,248,NOH,89761.0,1496,127.0,2797,2788,662,664.0,436.0,5585,73.0,148.0,56.0,13.0,25.0,12.0,43.0,34.0,89.0,40.0,7.0,11.0,39.0,12.0,119.0,280,79.0,41.0,363,2739,77.0,9.0,13.0,93.0,20.0,50.0,23.0,17.0,78.0,158.0,80.0,37.0,37.0,,88.0,16.0,104.0,11.0,5.0,36.0,38.0,224.0,114.0,34.0,169.0,215.0,138.0,353.0,66.0,39.0,27.0,26.0,10.0,19.0,26.0,1.0,7.0,52.0,8.0,72.0,136.0,5.0,7.0,74.0,4.0,30.0,9.0,78.0,662,10.0,0.6638655462184874,0.8229166666666666,0.425,0.4,0.44846796657381616,0.4178082191780822,0.4606598984771574,0.4793814432989691,0.43820224719101125,0.2200557103064067,,0.13214285714285715,0.19594594594594594,0.011235955056179775,,13.389372560792554,0.5,0.1458153580672994,0.09636517328825021,0.1552511415525114,0.14731494920174165,0.09507042253521127,0.11585365853658537,0.12082262210796915,0.13626834381551362,0.13071895424836602,0.41225626740947074,0.49324324324324326,0.6134453781512605,0.5342465753424658,0.11977715877437325,0.27906976744186046,0.3333333333333333,0.2479108635097493,0.38202247191011235,0.38636363636363635,0.9117647058823529,0.11142061281337047,0.10863509749303621,0.6511627906976745,0.08139534883720931,0.3424657534246575,0.52,0.1506849315068493,0.1643835616438356,0.6323119777158774,0.513570168067227,0.512623611111111,0.5038028169014085,0.07792207792207792,0.09803921568627451,0.256198347107438,0.21487603305785125,7.062142857142857,24.383544303797468,0.2366821594565606,30.0,19.0,2.0,5.0,9.0,,2.0,2.0,28.0,37.0,2.0,7.0,72.0,12.0,46.0,9.0,14.0,21.0,11.0,3.0,7.0,,,19.0,,,12.0,1.0,19.0,10.0,0.8571428571428571,0.35443037974683544,0.2222222222222222,0.30434782608695654,0.36363636363636365,0.4805194805194805,0.46511627906976744,0.16279069767441862,0.08860759493670886,0.08868501529051988,0.08901515151515152,0.11176470588235295,0.1945392491467577,0.21212121212121213,0.06470588235294118,0.5263157894736842,0.75,0.475,0.475,0.9473684210526315,0.23076923076923078,0.23076923076923078,0.6666666666666666,0.5357142857142857,0.2857142857142857,1.0,0.023255813953488372,,,0.45454545454545453,0.16666666666666666,0.24324324324324326,,3.0,12.0,6.0,1.0,1.0,1.0,2.0,0.1791044776119403,0.038461538461538464,0.029850746268656716,0.16666666666666666,2.0,,True,,
2048,1610612740,Jamaal Magloire,Jamaal Magloire,2048,NOH,55145.0,919,80.0,1706,1704,354,319.0,265.0,3410,76.0,123.0,36.0,18.0,25.0,29.0,86.0,8.0,26.0,,,,1.0,1.0,113.0,235,1.0,86.0,312,1720,55.0,,28.0,90.0,24.0,37.0,1.0,34.0,82.0,146.0,80.0,,14.0,,35.0,12.0,47.0,6.0,6.0,11.0,19.0,106.0,78.0,35.0,132.0,180.0,97.0,277.0,11.0,6.0,5.0,26.0,3.0,11.0,43.0,5.0,15.0,69.0,8.0,35.0,88.0,13.0,20.0,114.0,8.0,42.0,19.0,82.0,354,5.0,0.6460176991150443,0.7849462365591398,0.4808510638297872,0.6486486486486487,0.4788135593220339,0.631578947368421,0.5397923875432526,0.6338028169014085,0.7068965517241379,0.00423728813559322,,0.059574468085106386,0.08943089430894309,,,17.583497053045186,0.37681159420289856,0.18307905686546463,0.11048158640226628,0.26119402985074625,0.1953216374269006,0.1118800461361015,0.12041884816753927,0.1625,0.18543046357615894,0.3263157894736842,0.5211864406779662,0.6178861788617886,0.6785714285714286,0.6052631578947368,0.3644067796610169,0.3372093023255814,0.3493975903614458,0.11016949152542373,0.3076923076923077,0.3076923076923077,0.875,,0.00423728813559322,0.6545454545454545,,0.6578947368421053,0.72,,0.02631578947368421,0.5254237288135594,0.4908182978723403,0.4949739130434782,0.5347837837837838,0.15555555555555556,0.15613382899628253,0.28846153846153844,0.26282051282051283,4.8472340425531915,52.9,0.20750293083235638,25.0,,,,,,,,,31.0,,,,,40.0,,5.0,19.0,12.0,9.0,8.0,,,40.0,1.0,1.0,30.0,3.0,41.0,22.0,,,,,,0.5636363636363636,0.5636363636363636,0.03488372093023256,0.11801242236024845,0.12690355329949238,0.09433962264150944,0.10619469026548672,0.20670391061452514,0.10256410256410256,0.1111111111111111,0.5365853658536586,0.6896551724137931,,,,,,,0.6944444444444444,,,,,,,,,,,13.0,7.0,1.0,,6.0,1.0,0.4482758620689655,,0.14583333333333334,0.12,1.0,,True,,
469,1610612740,Jamal Mashburn,Jamal Mashburn,469,NOH,68972.0,1150,92.0,2145,2141,535,483.0,350.0,4286,47.0,82.0,12.0,15.0,27.0,66.0,147.0,83.0,223.0,26.0,5.0,9.0,82.0,13.0,196.0,452,108.0,110.0,634,2146,50.0,16.0,14.0,87.0,55.0,127.0,22.0,57.0,182.0,146.0,246.0,82.0,33.0,,150.0,26.0,176.0,15.0,11.0,52.0,70.0,378.0,17.0,22.0,105.0,133.0,21.0,154.0,41.0,31.0,10.0,60.0,8.0,30.0,30.0,4.0,30.0,90.0,19.0,24.0,57.0,4.0,9.0,134.0,14.0,45.0,22.0,182.0,535,3.0,0.37244897959183676,0.3802083333333333,0.4336283185840708,0.4330708661417323,0.46785714285714286,0.41946308724832215,0.5089722675367048,0.6041666666666666,0.5028248587570622,0.19285714285714287,,0.07300884955752213,0.2073170731707317,0.03139013452914798,,27.27978269305394,0.6666666666666666,0.11904761904761904,0.018722466960352423,0.12429378531073447,0.11992445703493862,0.018066847335140017,0.012145748987854251,0.10299003322259136,0.11602209944751381,0.12598425196850394,0.14642857142857144,0.573170731707317,0.7230769230769231,0.425531914893617,0.2625,0.4489795918367347,0.4782608695652174,0.3982142857142857,0.3721973094170404,0.38425925925925924,0.43373493975903615,0.04642857142857143,0.14642857142857144,0.18181818181818182,0.07575757575757576,0.18120805369127516,0.5555555555555556,0.06040268456375839,0.087248322147651,0.3392857142857143,0.45258410714285713,0.4598421052631579,0.43821510067114094,0.07614213197969544,0.09316770186335403,0.13722397476340695,0.2870662460567823,11.975442477876111,24.44814814814815,0.2494172494172494,6.0,12.0,3.0,2.0,32.0,8.0,11.0,3.0,44.0,20.0,11.0,5.0,120.0,12.0,8.0,32.0,28.0,3.0,2.0,3.0,7.0,14.0,,6.0,,,4.0,1.0,6.0,3.0,0.9090909090909091,0.4074074074074074,0.6875,0.22727272727272727,0.4074074074074074,0.4,0.553030303030303,0.061224489795918366,0.01507537688442211,0.007751937984496124,0.02977667493796526,0.020833333333333332,0.1461187214611872,0.12,0.007067137809187279,0.5,0.25757575757575757,0.46153846153846156,0.46153846153846156,1.0,0.3902439024390244,0.3902439024390244,0.875,0.5,0.6,1.0,0.16666666666666666,0.7272727272727273,0.875,0.2222222222222222,0.23076923076923078,0.3902439024390244,,1.0,6.0,1.0,,,,1.0,0.13636363636363635,0.017241379310344827,,0.3333333333333333,,,True,,
922,1610612740,Elden Campbell,Elden Campbell,922,NOH,17158.0,286,4.0,523,531,99,93.0,57.0,1054,15.0,36.0,8.0,3.0,6.0,18.0,51.0,9.0,26.0,1.0,,1.0,,,42.0,113,1.0,34.0,118,485,13.0,,3.0,21.0,6.0,16.0,1.0,4.0,16.0,48.0,36.0,,9.0,,15.0,2.0,17.0,1.0,1.0,5.0,6.0,36.0,10.0,5.0,34.0,44.0,15.0,59.0,9.0,6.0,3.0,5.0,3.0,4.0,13.0,,1.0,18.0,4.0,20.0,45.0,3.0,9.0,41.0,3.0,21.0,1.0,16.0,99,2.0,0.5714285714285714,0.6666666666666666,0.37168141592920356,0.375,0.3684210526315789,0.35294117647058826,0.44360902255639095,0.7,0.4,0.008771929824561403,,0.07964601769911504,0.1388888888888889,,,25.42087542087542,0.2777777777777778,0.14049586776859505,0.04524886877828054,0.1282051282051282,0.1387900355871886,0.056818181818181816,0.0847457627118644,0.09859154929577464,0.15,0.09090909090909091,0.3157894736842105,0.4166666666666667,0.4838709677419355,0.4,0.4473684210526316,0.35294117647058826,0.3829787234042553,0.22807017543859648,0.34615384615384615,0.34615384615384615,1.0,0.008771929824561403,,0.6153846153846154,,0.35294117647058826,0.5,0.058823529411764705,,0.32456140350877194,0.4352728070175439,0.47608888888888895,0.43652941176470594,0.1590909090909091,0.16030534351145037,0.17796610169491525,0.13559322033898305,8.053982300884956,23.7,0.18929254302103252,6.0,,,,,,,,,9.0,,,,,12.0,,4.0,5.0,3.0,1.0,1.0,,,11.0,,,7.0,,11.0,4.0,,,,,,0.6923076923076923,0.6923076923076923,0.0784313725490196,0.11627906976744186,0.02702702702702703,0.03409090909090909,0.03571428571428571,0.16901408450704225,0.17647058823529413,0.047619047619047616,0.36363636363636365,0.5,,,,,,,0.75,,,,,,,,,,,5.0,4.0,1.0,,,2.0,0.2777777777777778,,0.26666666666666666,0.16666666666666666,,1.0,True,,
2040,1610612740,Jerome Moiso,Jerome Moiso,2040,NOH,10317.0,172,,327,322,67,92.0,41.0,649,13.0,16.0,6.0,3.0,4.0,8.0,15.0,4.0,10.0,,,,,,25.0,41,,3.0,53,298,9.0,,,14.0,5.0,12.0,,1.0,11.0,34.0,16.0,,,,4.0,1.0,5.0,1.0,,1.0,3.0,11.0,7.0,3.0,23.0,28.0,8.0,36.0,4.0,3.0,1.0,6.0,1.0,3.0,8.0,,3.0,14.0,2.0,13.0,22.0,,4.0,6.0,,2.0,1.0,11.0,67,,0.68,0.7727272727272727,0.6097560975609756,0.4166666666666667,0.6097560975609756,0.4166666666666667,0.6022727272727273,0.7777777777777778,0.39285714285714285,,,,,,,15.384615384615385,0.42857142857142855,0.1597222222222222,0.050359712230215826,0.21428571428571427,0.16455696202531644,0.05,0.075,0.16216216216216217,0.109375,0.09090909090909091,0.3902439024390244,0.8125,0.8125,0.7692307692307693,0.36585365853658536,0.5333333333333333,0.5333333333333333,0.24390243902439024,0.4,0.4,0.5,,,0.6666666666666666,,0.3333333333333333,0.75,,,0.3902439024390244,0.45945609756097566,0.5082111111111112,0.4252916666666666,0.046511627906976744,0.046511627906976744,0.2641509433962264,0.20754716981132076,6.926829268292682,,0.20489296636085627,4.0,,,,,,,,,7.0,,,,,6.0,,,1.0,2.0,2.0,1.0,,,15.0,,,11.0,,15.0,11.0,,,,,,0.7777777777777778,0.7777777777777778,,0.047619047619047616,0.09375,0.014925373134328358,,0.23255813953488372,0.6666666666666666,0.125,0.7333333333333333,0.625,,,,,,,0.6666666666666666,,,,,,,,,,,2.0,4.0,1.0,,1.0,,0.2222222222222222,,0.2,0.5,,,True,,
278,1610612740,Stacey Augmon,Stacey Augmon,278,NOH,17936.0,299,44.0,565,568,111,136.0,68.0,1133,15.0,29.0,3.0,1.0,2.0,9.0,26.0,1.0,13.0,,,,1.0,,25.0,68,1.0,17.0,67,518,7.0,1.0,4.0,8.0,2.0,11.0,,4.0,8.0,42.0,8.0,1.0,9.0,,15.0,7.0,22.0,5.0,2.0,6.0,9.0,51.0,10.0,8.0,25.0,33.0,11.0,44.0,10.0,2.0,8.0,11.0,3.0,7.0,5.0,,4.0,16.0,1.0,13.0,31.0,2.0,1.0,24.0,2.0,12.0,1.0,8.0,111,4.0,0.84,0.875,0.36764705882352944,0.18181818181818182,0.36231884057971014,0.18181818181818182,0.41875,0.36363636363636365,0.3076923076923077,0.014492753623188406,,0.1323529411764706,0.20689655172413793,,,14.701378254211331,0.6875,0.10330578512396695,0.043668122270742356,0.25,0.12043795620437957,0.0421455938697318,0.04918032786885246,0.09859154929577464,0.13592233009708737,0.2727272727272727,0.42028985507246375,0.5172413793103449,0.6521739130434783,0.8666666666666667,0.37681159420289856,0.34615384615384615,0.391304347826087,0.18840579710144928,0.07692307692307693,0.07692307692307693,,,0.014492753623188406,0.375,,0.18181818181818182,0.5,,,0.43478260869565216,0.49020362318840577,0.4701666666666667,0.4418181818181818,0.1518987341772152,0.15384615384615385,0.11940298507462686,0.11940298507462686,6.995588235294117,28.5,0.19646017699115045,1.0,,,,,,1.0,,,2.0,,,,,2.0,,,1.0,1.0,1.0,1.0,,,4.0,,,3.0,,4.0,2.0,,,,,,0.2857142857142857,0.25,0.11538461538461539,0.03125,0.027777777777777776,0.052083333333333336,0.047619047619047616,0.058823529411764705,0.2,0.02857142857142857,0.5,0.8888888888888888,,,,,,,0.3333333333333333,,,0.125,,,,,,,,,1.0,1.0,,,,,,,,,,True,,
