EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyFG2M,PtsUnassisted3s,SecondChanceTurnovers,2pt And 1 Free Throw Trips,PenaltyFg2Pct,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,SecondChanceFtPoints,HeaveAttempts,Arc3Assists,FTOffRebounds,LostBallTurnovers,Travels,BlockedLongMidRange,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,AtRimPctBlocked,OffFTReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Technical Free Throw Trips,Blocked3s,BlockedArc3,LongMidRangePctBlocked,SecondChanceCorner3FGM,ThreePtShootingFoulsDrawn,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,on,Fg3aBlocked,BlockedCorner3,FG3APctBlocked,Corner3PctBlocked,3pt And 1 Free Throw Trips,Arc3PctBlocked,Clear Path Fouls
109,1610612747,Robert Horry,Robert Horry,109,LAL,11272.0,188,6,352,342,84,114,47,694,3,6,1.0,4.0,2,2.0,5,3.0,9.0,2.0,6.0,2.0,1.0,3.0,1.0,3.0,1.0,8,20,3.0,9.0,6.0,31,347,2.0,6,2.0,4.0,2,1.0,4.0,4.0,7.0,8.0,8.0,9.0,2.0,3.0,1.0,1.0,16,1.0,17,1.0,6.0,5.0,5.0,35,3.0,7,9.0,22,3.0,34,10,44,1.0,5.0,1.0,4.0,5.0,3.0,5.0,6.0,1.0,11.0,4.0,10,20,2.0,1.0,8.0,2.0,2.0,5.0,4.0,1.0,5.0,3.0,7.0,84,1.0,0.5,0.5714285714285714,1.0,0.3333333333333333,0.25,0.3333333333333333,0.4,0.3333333333333333,0.43103448275862066,0.25,0.25,0.4696969696969697,0.25,0.3888888888888889,0.3103448275862069,0.05,0.2,10.784313725490195,0.45454545454545453,0.23076923076923078,0.16296296296296298,0.04964539007092199,0.21951219512195122,0.08108108108108109,0.17613636363636365,0.056179775280898875,0.029411764705882353,0.08108108108108109,0.13043478260869565,0.1891891891891892,0.14285714285714285,0.16326530612244897,0.15151515151515152,0.5,0.06666666666666667,0.6,0.20689655172413793,0.5,0.5,0.6666666666666666,0.1724137931034483,0.4,0.5,0.3103448275862069,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.20689655172413793,0.3333333333333333,0.3333333333333333,1.0,0.10344827586206896,0.3333333333333333,0.3333333333333333,1.0,0.5,0.25,0.25,0.3333333333333333,0.5,0.3333333333333333,0.16666666666666666,0.5172413793103449,0.3333333333333333,0.47101071428571434,0.5191625,0.5534916666666666,0.06451612903225806,0.09090909090909091,0.12903225806451613,0.22580645161290322,10.469999999999999,25.022222222222222,0.23863636363636365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
145,1610612747,Tracy Murray,Tracy Murray,145,LAL,3621.0,60,-16,124,130,54,89,21,254,1,4,,1.0,2,1.0,2,3.0,6.0,,1.0,,,,4.0,9.0,4.0,5,12,4.0,10.0,3.0,25,137,1.0,2,1.0,2.0,5,2.0,4.0,1.0,13.0,8.0,2.0,9.0,,9.0,4.0,1.0,3,1.0,4,1.0,1.0,1.0,1.0,9,,2,1.0,3,,4,2,6,,1.0,1.0,,3.0,1.0,3.0,2.0,1.0,5.0,,1,3,,,5.0,3.0,,1.0,1.0,,1.0,,13.0,54,1.0,0.8,0.8,0.75,0.4,0.5,0.4,0.4166666666666667,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5208333333333334,0.3333333333333333,0.65,0.45454545454545453,0.08333333333333333,0.5,18.589743589743588,0.6,,0.06818181818181818,0.03571428571428571,0.1111111111111111,,0.07547169811320754,0.028169014084507043,,0.10526315789473684,,0.058823529411764705,0.1111111111111111,0.05555555555555555,0.14285714285714285,,,,0.18181818181818182,0.25,0.25,1.0,0.09090909090909091,0.5,1.0,0.2727272727272727,0.5,0.5,1.0,0.045454545454545456,,,,0.4090909090909091,0.4444444444444444,0.4444444444444444,0.75,0.3333333333333333,,,0.2222222222222222,,,0.4444444444444444,0.6363636363636364,0.4444444444444444,0.5138863636363636,0.6786,0.5093833333333333,0.125,0.21428571428571427,0.08,0.52,10.025,25.18,0.43548387096774194,1.0,1.0,2.0,3.0,3.0,1.0,1.0,0.6,0.3333333333333333,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
2098,1610612747,Slava Medvedenko,Slava Medvedenko,2098,LAL,37179.0,620,-54,1211,1199,315,426,174,2410,51,93,24.0,41.0,28,30.0,78,31.0,85.0,,,,,,,2.0,1.0,112,256,,2.0,31.0,255,1245,32.0,57,,72.0,61,,1.0,9.0,57.0,140.0,84.0,,52.0,1.0,,19.0,13,5.0,18,1.0,3.0,3.0,7.0,41,13.0,49,11.0,59,5.0,75,66,141,12.0,11.0,7.0,4.0,16.0,2.0,8.0,21.0,3.0,37.0,7.0,51,118,10.0,6.0,43.0,19.0,5.0,8.0,4.0,3.0,8.0,5.0,57.0,315,13.0,0.625,0.813953488372093,,,,,0.4375,0.5614035087719298,0.43410852713178294,0.5614035087719298,0.3870967741935484,0.4602888086642599,0.5901639344262295,0.41304347826086957,0.007751937984496124,0.07421875,0.08974358974358974,21.988795518207283,0.43243243243243246,0.10869565217391304,0.13169642857142858,0.09702970297029703,0.09243697478991597,0.10483870967741936,0.12345679012345678,0.0985691573926868,0.14925373134328357,0.0673076923076923,0.06521739130434782,0.13333333333333333,0.10810810810810811,0.15,0.0967741935483871,0.07692307692307693,0.096,0.625,0.36046511627906974,0.5483870967741935,0.6296296296296297,0.47058823529411764,0.3023255813953488,0.38461538461538464,0.4225352112676056,0.32945736434108525,0.36470588235294116,0.36470588235294116,0.7741935483870968,,,,,0.007751937984496124,,,,0.7192982456140351,0.5853658536585366,,0.45161290322580644,,,0.016129032258064516,0.3682170542635659,,0.4682752918287938,0.5273520833333333,0.48327704918032793,0.06985294117647059,0.07037037037037037,0.2823529411764706,0.2235294117647059,8.431640625,34.75,0.26011560693641617,15.0,,,24.0,,4.0,5.0,0.39344262295081966,,0.5357142857142857,,8.0,1.0,4.0,4.0,8.0,5.0,1.0,1.0,1.0,3.0,2.0,0.12903225806451613,0.14285714285714285,0.09202453987730061,0.21875,0.7333333333333333,0.041666666666666664,,,,,,,,,,,,,,,True,,,,,,,
216,1610612747,Brian Shaw,Brian Shaw,216,LAL,16688.0,278,-27,542,540,128,187,77,1082,3,9,,2.0,2,7.0,19,10.0,22.0,1.0,4.0,,,2.0,11.0,30.0,16.0,20,50,12.0,34.0,2.0,78,540,,4,7.0,12.0,5,5.0,18.0,,23.0,20.0,20.0,36.0,,29.0,11.0,3.0,33,5.0,38,1.0,12.0,9.0,12.0,81,,4,8.0,22,2.0,32,4,36,,10.0,9.0,1.0,12.0,3.0,11.0,5.0,2.0,17.0,4.0,9,15,,,2.0,1.0,,6.0,5.0,1.0,6.0,2.0,23.0,128,1.0,0.5,0.5,1.0,0.35294117647058826,0.2777777777777778,0.36363636363636365,0.4,,0.4523809523809524,0.5454545454545454,0.5,0.4588235294117647,0.5454545454545454,0.5,0.40476190476190477,0.06,0.05263157894736842,16.037735849056602,0.7058823529411765,0.08695652173913043,0.10628019323671498,0.017167381974248927,0.14545454545454545,,0.11450381679389313,0.013745704467353952,0.01818181818181818,,,0.06896551724137931,0.136986301369863,0.10526315789473684,0.16279069767441862,0.08333333333333333,,0.3333333333333333,0.10714285714285714,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.2261904761904762,0.3684210526315789,0.3888888888888889,0.2619047619047619,0.45454545454545453,0.45454545454545453,0.7,0.047619047619047616,0.25,0.25,1.0,0.35714285714285715,0.36666666666666664,0.36666666666666664,1.0,0.18181818181818182,,,0.08695652173913043,0.08695652173913043,,0.6956521739130435,0.5119047619047619,0.3793103448275862,0.4623638554216868,0.52234,0.49214772727272715,0.011764705882352941,0.0196078431372549,0.15384615384615385,0.2948717948717949,11.262,25.97647058823529,0.23616236162361623,2.0,7.0,5.0,4.0,,,,0.8,0.6363636363636364,1.0,0.3125,,1.0,4.0,,1.0,,,,,,,0.2222222222222222,,0.04,,0.14285714285714285,,4.0,4.0,0.5714285714285714,0.5714285714285714,1.0,,,,,,,,,,True,,,,,,,
2457,1610612747,Jannero Pargo,Jannero Pargo,2457,LAL,7445.0,124,15,249,240,53,113,46,489,3,4,,,2,2.0,5,5.0,15.0,,3.0,,,,2.0,8.0,1.0,10,24,2.0,11.0,,26,227,1.0,3,,2.0,5,,1.0,,8.0,10.0,10.0,3.0,,8.0,2.0,,12,4.0,16,1.0,6.0,1.0,5.0,36,1.0,3,3.0,5,,8,4,12,,6.0,1.0,5.0,9.0,4.0,6.0,5.0,,14.0,5.0,5,15,,,,,,1.0,,1.0,1.0,1.0,8.0,53,3.0,0.5,0.5,0.5,0.18181818181818182,,0.18181818181818182,0.4166666666666667,0.3333333333333333,0.37142857142857144,0.3333333333333333,0.6666666666666666,0.37142857142857144,0.3333333333333333,0.6666666666666666,0.3142857142857143,,,16.387959866220733,0.6428571428571429,,0.0625,0.027522935779816515,0.13043478260869565,0.030303030303030304,0.07766990291262135,0.028169014084507043,0.037037037037037035,0.01818181818181818,0.04,0.06666666666666667,0.07142857142857142,0.05405405405405406,0.058823529411764705,0.3333333333333333,,1.0,0.11428571428571428,0.75,0.75,0.6666666666666666,0.14285714285714285,0.4,0.4,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.4,0.08571428571428572,,,,0.22857142857142856,0.25,0.25,0.5,,,,0.3333333333333333,,,0.16666666666666666,0.42857142857142855,0.25,0.4697557142857143,0.31315,0.4663,,,0.07692307692307693,0.3076923076923077,14.079166666666666,22.563636363636363,0.21285140562248997,2.0,,,4.0,3.0,,,0.8,,1.0,,,,3.0,,3.0,,,,,,,,,0.037037037037037035,,0.5,,,,,,,,,,,,,,,,True,,,,,,,
977,1610612747,Kobe Bryant,Kobe Bryant,977,LAL,26374.0,440,-5,847,837,216,252,119,1684,37,58,9.0,13.0,17,20.0,45,34.0,89.0,2.0,6.0,1.0,,1.0,14.0,38.0,19.0,91,192,16.0,44.0,68.0,298,871,15.0,24,5.0,44.0,52,6.0,20.0,38.0,100.0,90.0,92.0,33.0,10.0,38.0,14.0,13.0,59,17.0,76,7.0,25.0,14.0,20.0,169,4.0,15,13.0,44,3.0,60,20,80,4.0,26.0,20.0,6.0,28.0,8.0,12.0,19.0,4.0,47.0,7.0,5,21,,5.0,81.0,33.0,8.0,5.0,3.0,2.0,6.0,2.0,100.0,216,3.0,0.4945054945054945,0.5232558139534884,0.6875,0.36363636363636365,0.3,0.36363636363636365,0.4739583333333333,0.625,0.4872881355932203,0.5689655172413793,0.4305555555555556,0.5422794117647058,0.6323529411764706,0.5268817204301075,0.1864406779661017,0.06770833333333333,0.06666666666666667,31.93193193193193,0.5957446808510638,0.09375,0.14102564102564102,0.04297994269340974,0.14772727272727273,0.05,0.1425,0.04428904428904429,0.0425531914893617,0.05,0.03571428571428571,0.07228915662650602,0.1485148514851485,0.1796875,0.16923076923076924,0.08695652173913043,0.03571428571428571,0.3333333333333333,0.2457627118644068,0.6379310344827587,0.7551020408163265,0.5135135135135135,0.1906779661016949,0.4444444444444444,0.47619047619047616,0.3771186440677966,0.38202247191011235,0.38636363636363635,0.47058823529411764,0.025423728813559324,0.3333333333333333,0.3333333333333333,1.0,0.16101694915254236,0.3684210526315789,0.3684210526315789,0.6428571428571429,0.4482758620689655,0.6923076923076923,0.034482758620689655,0.2361111111111111,0.013888888888888888,,0.2638888888888889,0.4322033898305085,0.3684210526315789,0.4680902542372882,0.48333269230769227,0.46687222222222236,0.125,0.15,0.1476510067114094,0.33557046979865773,10.663541666666669,25.388636363636362,0.2550177095631641,10.0,4.0,6.0,22.0,15.0,3.0,5.0,0.4230769230769231,0.13793103448275862,0.5882352941176471,0.3157894736842105,11.0,,10.0,1.0,16.0,,,1.0,,,,0.15517241379310345,0.05263157894736842,0.034782608695652174,0.08333333333333333,0.5,0.1111111111111111,1.0,1.0,0.2,0.25,1.0,4.0,1.0,1.0,0.011235955056179775,,,,,,True,,,,,,,
965,1610612747,Derek Fisher,Derek Fisher,965,LAL,17754.0,296,-25,582,570,193,186,77,1152,6,13,,,2,2.0,8,21.0,38.0,6.0,10.0,2.0,3.0,4.0,4.0,13.0,5.0,29,59,10.0,23.0,16.0,104,621,3.0,4,2.0,12.0,17,5.0,9.0,10.0,41.0,38.0,20.0,30.0,,13.0,4.0,3.0,30,8.0,38,1.0,14.0,4.0,12.0,84,1.0,4,5.0,16,4.0,25,5,30,1.0,6.0,3.0,3.0,6.0,2.0,6.0,5.0,1.0,11.0,2.0,8,20,2.0,1.0,20.0,6.0,3.0,1.0,1.0,,1.0,1.0,41.0,193,5.0,0.6551724137931034,0.6551724137931034,1.0,0.43478260869565216,0.5555555555555556,0.43478260869565216,0.4915254237288136,0.75,0.5365853658536586,1.0,0.5961538461538461,0.5722222222222222,1.0,0.6612903225806451,0.2804878048780488,0.05084745762711865,0.125,14.940828402366865,0.5454545454545454,0.16666666666666666,0.08,0.017777777777777778,0.08620689655172414,0.018867924528301886,0.08139534883720931,0.017985611510791366,0.03389830508474576,0.012048192771084338,0.024390243902439025,,0.1388888888888889,0.07228915662650602,0.10638297872340426,,0.025,1.0,0.15853658536585366,0.46153846153846156,0.5454545454545454,0.5,0.0975609756097561,0.25,0.2857142857142857,0.4634146341463415,0.5526315789473685,0.5526315789473685,0.7619047619047619,0.12195121951219512,0.6,0.6,1.0,0.15853658536585366,0.3076923076923077,0.3076923076923077,1.0,,,0.3333333333333333,0.07692307692307693,0.15384615384615385,0.75,0.19230769230769232,0.43902439024390244,0.3076923076923077,0.4875548780487805,0.452925,0.46246730769230765,0.08045977011494253,0.09523809523809523,0.11538461538461539,0.3942307692307692,13.659322033898302,24.61304347826087,0.3316151202749141,,,2.0,8.0,,,2.0,0.47058823529411764,,,0.4,,,7.0,,,,,,,,,0.15384615384615385,,0.012048192771084338,,,,,2.0,1.0,,,1.0,,,,2.0,1.0,1.0,1.0,0.041666666666666664,True,,,,,,,
1904,1610612747,Devean George,Devean George,1904,LAL,13201.0,220,-37,429,419,133,175,67,848,8,18,2.0,8.0,8,5.0,16,8.0,26.0,1.0,2.0,,,1.0,3.0,15.0,7.0,21,60,4.0,17.0,12.0,66,432,2.0,9,3.0,4.0,15,2.0,8.0,4.0,20.0,32.0,10.0,12.0,4.0,15.0,3.0,2.0,7,5.0,12,1.0,4.0,1.0,2.0,29,1.0,7,9.0,28,4.0,41,10,51,1.0,4.0,1.0,3.0,6.0,,3.0,5.0,1.0,11.0,3.0,15,28,,2.0,12.0,5.0,2.0,11.0,4.0,5.0,11.0,5.0,20.0,133,3.0,0.7619047619047619,0.8421052631578947,1.0,0.23529411764705882,0.25,0.23529411764705882,0.35,0.2222222222222222,0.35064935064935066,0.16666666666666666,0.34782608695652173,0.4024390243902439,0.16666666666666666,0.4,0.22077922077922077,0.03333333333333333,,18.199608610567513,0.5454545454545454,0.3333333333333333,0.1564245810055866,0.03783783783783784,0.21951219512195122,0.02040816326530612,0.16818181818181818,0.03418803418803419,0.06,0.025,0.02702702702702703,0.1206896551724138,0.19642857142857142,0.15384615384615385,0.24242424242424243,0.125,0.020833333333333332,0.45454545454545453,0.23376623376623376,0.4444444444444444,0.5,0.625,0.2077922077922078,0.3125,0.3125,0.33766233766233766,0.3076923076923077,0.3076923076923077,0.875,0.025974025974025976,0.5,0.5,1.0,0.19480519480519481,0.2,0.2,1.0,0.6666666666666666,0.25,,0.34782608695652173,0.043478260869565216,,0.30434782608695654,0.45454545454545453,0.2,0.45599220779220784,0.5308299999999999,0.47988043478260856,0.0625,0.07936507936507936,0.06060606060606061,0.30303030303030304,9.981666666666666,25.16470588235294,0.31002331002331,2.0,3.0,2.0,5.0,,2.0,2.0,0.3333333333333333,0.25,0.25,0.2857142857142857,,,4.0,2.0,3.0,1.0,2.0,,,,,0.1111111111111111,0.18181818181818182,0.03636363636363636,,0.8,,,,,,,,,,,,,,,,True,,,,,,,
2416,1610612747,Kareem Rush,Kareem Rush,2416,LAL,13082.0,218,-63,436,442,92,207,60,878,10,17,2.0,2.0,1,4.0,14,6.0,21.0,2.0,10.0,1.0,,2.0,5.0,13.0,3.0,20,52,7.0,23.0,3.0,64,459,3.0,6,1.0,9.0,5,1.0,5.0,,11.0,18.0,22.0,21.0,4.0,13.0,5.0,4.0,20,3.0,23,,6.0,8.0,6.0,49,4.0,3,4.0,21,,25,7,32,,6.0,5.0,1.0,9.0,2.0,7.0,8.0,2.0,17.0,5.0,11,15,,2.0,6.0,3.0,1.0,2.0,2.0,,2.0,1.0,11.0,92,,0.45,0.5,1.0,0.30434782608695654,0.2,0.30434782608695654,0.38461538461538464,0.5,0.4066666666666667,0.6428571428571429,0.55,0.4155844155844156,0.6428571428571429,0.55,0.30666666666666664,0.07692307692307693,0.2857142857142857,18.181818181818183,0.5294117647058824,,0.11731843575418995,0.016042780748663103,0.10256410256410256,0.08163265306122448,0.11467889908256881,0.029661016949152543,,0.013333333333333334,0.09375,0.09230769230769231,0.09615384615384616,0.16129032258064516,0.09090909090909091,0.16666666666666666,,0.5,0.22666666666666666,0.5882352941176471,0.5882352941176471,0.6,0.18666666666666668,0.2857142857142857,0.4,0.28,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.13333333333333333,0.2,0.2,1.0,0.17333333333333334,0.38461538461538464,0.38461538461538464,1.0,0.2857142857142857,1.0,0.14285714285714285,0.1,0.2,,0.3,0.5333333333333333,0.38461538461538464,0.47265666666666667,0.46240000000000003,0.44432,0.039473684210526314,0.05660377358490566,0.140625,0.171875,9.317307692307695,24.57826086956522,0.21100917431192662,1.0,,1.0,4.0,,1.0,2.0,0.8,,1.0,0.3333333333333333,,,3.0,,2.0,1.0,,,,,2.0,,,0.03389830508474576,0.058823529411764705,0.25,,,1.0,1.0,,,,,,,1.0,,1.0,1.0,,True,,,,,,,
296,1610612747,Rick Fox,Rick Fox,296,LAL,16595.0,277,-13,531,532,114,117,69,1063,7,13,3.0,5.0,2,,7,8.0,20.0,3.0,7.0,,,,8.0,24.0,11.0,15,40,11.0,31.0,5.0,68,556,3.0,6,2.0,9.0,6,3.0,11.0,,11.0,18.0,12.0,33.0,6.0,24.0,8.0,3.0,22,5.0,27,3.0,12.0,4.0,6.0,59,1.0,9,10.0,20,8.0,38,10,48,,5.0,4.0,1.0,4.0,2.0,3.0,5.0,,9.0,,9,20,1.0,2.0,10.0,3.0,2.0,2.0,,2.0,2.0,1.0,11.0,114,2.0,0.6,0.75,1.0,0.3548387096774194,0.2727272727272727,0.3548387096774194,0.375,0.5,0.44366197183098594,0.5625,0.3235294117647059,0.4473684210526316,0.5625,0.2894736842105263,0.43661971830985913,0.075,0.14285714285714285,13.843648208469055,0.4444444444444444,0.4444444444444444,0.10869565217391304,0.04205607476635514,0.17543859649122806,0.02040816326530612,0.12448132780082988,0.03802281368821293,0.06557377049180328,0.025,0.02702702702702703,0.09090909090909091,0.12121212121212122,0.10588235294117647,0.16279069767441862,0.21428571428571427,,0.5,0.18309859154929578,0.5384615384615384,0.5833333333333334,0.42857142857142855,0.09859154929577464,,,0.28169014084507044,0.4,0.42105263157894735,0.75,0.09859154929577464,0.42857142857142855,0.42857142857142855,1.0,0.3380281690140845,0.3333333333333333,0.3333333333333333,1.0,0.625,0.6,,0.11764705882352941,,,0.6470588235294118,0.6197183098591549,0.3333333333333333,0.4956380281690141,0.48750714285714286,0.4506441176470588,0.04054054054054054,0.06976744186046512,0.1323529411764706,0.16176470588235295,10.6825,24.690322580645162,0.21468926553672316,1.0,2.0,3.0,1.0,,,,0.16666666666666666,0.25,0.5,0.2727272727272727,,,2.0,,1.0,,,,,,,0.07692307692307693,,0.0410958904109589,,,,1.0,1.0,0.5,0.5,1.0,,,,0.05,,,,,,True,,,,,,,
